标题,标题链接,查看数,参与数,需求价格,详情标题,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【LOGO设计】公司LOGO设计,https://task.epwk.com/732681/,6561人,81人,¥888,,o5cacc075957d2,￥ 888,￥ 888,2019.04.09,公司主要经营中小型线下收单授权商户提供入网及管理、支付行业、金融产品，需要设计师发挥想象；公司名称：内蒙古尖峰数据服务有限公司LOGO简称：尖峰简洁、时尚有创意。有一定的冲击力，让人一看到LOGO就知道什么行业。主要用动物：蜜蜂来提现提现几个关键词，金钱，团队，大气,任务编号：732681,与世无争视觉策划,金标点品牌设计
【产品外观设计】磨刀器的外观设计,https://task.epwk.com/730136/,4711人,16人,"¥3,000",,zheng33,￥ 3000,￥ 3000,2019.04.03,"我司主营磨刀器，油石等产品磨刀器系列外观设计征集要求：天马星空，没有外观限制，可自行了解下磨刀器产品磨刀器为手动，分单段双段多段要求造型新颖，原创，可申请外观设计提供stp文件如有疑问，请加微信联系郑先生：936727573  知识产权说明：1. 所设计的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。2. 中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。(一等奖二等奖版权均属于我方所有)",任务编号：730136,倾心工业设计,辉灿工作室-工业产品一站式服务
【LOGO设计】“知行亲子淘”亲子类logo设计,https://task.epwk.com/731616/,4347人,49人,¥500,,飞翔自由,￥ 500,￥ 500,2019.04.07,为 “知行亲子淘”网站设计LOGO一枚知行亲子淘： 主要业务亲子活动，线上线下亲子信息发布实施，户外出游，培训课程发布，旅行票务，育儿需求等。 设计要求：1；主体颜色要求橙色，黄色或绿色融合设计，请设计师自主把握，可以是由1个图案配文字上下或左右组合。2；也可以是文字做变形设计。3，LOGO能体现出儿童或亲子意涵。4，“知  行”为主，或“知行亲子淘”几个字个别字做创意组合。5，除了主体logo也可以配以下几个字组合“知心  知行  知陪伴”,任务编号：731616,七里云电子商务,o59e7f27d1207f
【标签设计】白酒标签设计,https://task.epwk.com/731572/,3225人,20人,¥300,,空灵杨,￥ 300,￥ 300,2019.04.07,白酒标签设计（最好是有白酒设计经验的设计师）：要求：1. 风格：做旧风格和常规风格最好各做一个2. 瓶型：汾酒瓶3. 尺寸：大约在90*70mm4. 形状：贴合瓶型5. 工艺：一个标（正反面都有内容）6. 采用山西省悬空寺为元素  7. 内容：    LOGO：恒山（用楷体）无图形logo，不用专门设计图形商标/老白干酒  酒精度：42%vol   净含量：500ml 纯粮酿造 清香型白酒  条码：6959958401046公司名称：浑源县恒山酿酒厂有限公司其他内容：品名：恒山老白干酒  原料：纯净水、高粱、大麦、豌豆执行标准：GB/T 10781.2（一级）生产许可证编号：SC11514022511335贮存条件：常温、防潮、避光生产日期：见瓶盖  产地：山西大同制造商：浑源县恒山酿酒厂有限公司 地址：浑源县北环三八路98号全国免费电话：40109994398电话：0352-8380000过量饮酒 有害健康客户提供图片仅供参考,任务编号：731572,创文艺武品牌设计,小花猫平面设计
【LOGO设计】装饰公司LOGO需要设计,https://task.epwk.com/729954/,5442人,74人,¥600,,wolfkiss,￥ 600,￥ 600,2019.04.02,"公司简称：深圳快装，网址：www.szkuaizhuang.com要求满足快速装修的理念，容易记知识产权说明：1. 所设计的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。2. 中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：729954,特别的左耳,柒叁品牌设计
【LOGO设计】“金佛山”文字及图片设计，搭配礼品包装使用,https://task.epwk.com/727568/,3157人,30人,¥920,,o5bf3d9b60eca9,￥ 920,￥ 920,2019.03.28,1、设计1款简易logo或商标2、体现“金佛山”字样，配合金佛山相关图案（重庆南川金佛山）3、与现有内、外包装设计整体协调、搭配4、设计的logo主要用于中药材相关健康产品的包装。5、原创，杜绝抄袭。,任务编号：727568,龙蛇映像,初二设计
【包装设计】邦宝士涂料桶外包装设计,https://task.epwk.com/727395/,3394人,18人,"¥1,000",,o5c710938dc80b,￥ 1000,￥ 1000,2019.03.27,Log已有，及桶规格图请，设计师下载中文名：康居（净味）墙面漆广告语：涂出自然 焕新生活产品特点：净味无醛并持久吸收净化甲醛使用说明：本产品是用于内墙裝修的高級保健墙面漆，拥有超强的吸收浄化甲醛的能力，效果持久，同时具备了传统优质涂料各种功能指标，附着力强、抗碱、防霉、防測、抗老化，耐污性、耐擦洗性优异，便于施工。（1）、表而处理：墙面必须经过处理后方可施工，墙面底材集合紧密牢固，表面平整，无油脂，灰尘。水份以及霉点。新批灰墙墙面必须干透，底面均使用邦宝士涂料为佳。（2）、施工要求：木产品可刷涂、滚涂、喷涂，施工前可稀释一定量的清水、并充分搅拌均匀，当室温低于5度时不宜使用本产品。重涂时间间隔2小时以上。本产品应密闭储放于零度至35度的阴凉干爽环境中，运输按非危险品办理执行标准：GB「T9756－2009GB18582－2018生产企业：邦宝士（广州）涂料有限公司全国统一兔费服务热线：4008777902网址：www．bangbaoshi888．com地址：中国•广东•广州保质期：18个月备注：尺寸要求：5L（237mm＊550mm）和【18L（356mm＊850mm）或20L（390mm＊850mm）】请设计师展示5L和（18L或20L选其一）一大一小2个包装的涂料桶效果，包装为圆柱体铁桶样式便于我们选稿。且允许我在中标后修改文案内容，谢谢要求“原创”、高档、华丽、时尚、大气。,任务编号：727395,沙洲设计工作室,栀子品牌策划
【标签设计】水标签设计,https://task.epwk.com/726898/,4207人,23人,¥360,,空灵杨,￥ 360,￥ 360,2019.03.26,"VI应用内容：设计不干胶标签，类似百岁山标签特性，正背标。                                     设计要求：                                                                            1、大气、简洁、明快;                                                                2、有视觉冲击力，醒目易识别;                                                                3、能体现特色，LOGO已有，但如限制了设计师的创意，可重新设计。                                                                4、附上创意说明。                                                                        知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：726898,河北点博印刷有限公司,品创设计工作室
【LOGO设计】购物品牌LOGO设计,https://task.epwk.com/726864/,3532人,40人,¥500,,大小石头,￥ 500,￥ 500,2019.03.26,用《易得优品》字样设计图形商标，易得优品是线上电商线下实体店都有的购物品牌，也是产品的OEM品牌。设计上突出《得》字，参考优之良品、良品铺子、无印良品,任务编号：726864,VICI设计工作室,o5b3b3af0c7f94
【宣传单设计】高尔夫系列产品宣传单设计,https://task.epwk.com/725750/,3234人,24人,¥400,,广州市卓历体育用品有限公司,￥ 400,￥ 400,2019.03.24,"高尔夫系列产品宣传单设计                                    经营介绍：                    公司主营高尔夫系列产品，如：高尔夫手推车、球包、拾球器、球钉等等                                    VI应用内容：设计一张正反两面的宣传单，展会派发给客人以便客人更了解我们的产品                                    设计要求：                                                                            1、大气、简洁、具有现代科技气息                                            2、醒目易识别产品，突出高尔夫产品元素;                                                                3、能体现特色，LOGO和大体排版内容已有，但如限制了设计师的创意，可根据设计重新排版，但LOGO以及文案宣传内容不可更改和删减。                                                                4、附上创意说明。 5、宣传单大小为普通A4纸大小，正反两面设计                                                    知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：725750,o5a2e8aa7cf1b7,宽合品牌设计
【LOGO设计】新疆珠宝玉器店商标设计,https://task.epwk.com/723937/,5635人,44人,"¥1,500",,冠程壹号,￥ 1500,￥ 1500,2019.03.20,珠宝玉器店名称是“水磨沟区昆仑路奇珀浩然玉器店”，主要商品包括一手货源的琥珀、蜜蜡、和田玉石等。老板娘是个大美女，去过很多国家，还会讲俄语。现在准备把“奇珀浩然”四个字连同设计的LOGO注册成商标，为以后的业务拓展打下基础。设计作品要让人感觉到灵性、佛性以及国际范儿，与“奇珀浩然”很搭配的感觉。色调最好以黑色、白色、黄色、红色等颜色为主，但别太花哨。请大家展现才华吧。,任务编号：723937,华中创意空间,速豹品牌设计
【吉祥物设计】机器人图标设计,https://task.epwk.com/723633/,2888人,31人,¥600,,ufboss,￥ 600,￥ 600,2019.03.19,"设计要求：机器人标志图标，简约，具有科技感，用于英文UFBOSS品牌的图标知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品UFBOSS品牌简介：UFBOSS品牌主要产品网络周边产品（如5G有线网卡，5G无线网卡，路由器，交换机等），苹果电脑笔记本配件，智能HUB集线器（机器人HUB集线器），音箱，数据线等产品。",任务编号：723633,米诺设计,蝶飞设计室
【LOGO设计】燕窝logo设计,https://task.epwk.com/723447/,3727人,33人,¥600,,会力,￥ 600,￥ 600,2019.03.19,中文：安达曼海燕燕窝。英文：andaman petrel bird's nest要求：（1）商标中英可并用。           （2）精简。           （3）商标放在不同礼盒展示效果，没必要放在名片及企业墙等。,任务编号：723447,北京冀鹏扬天科技有限公司,清月品牌设计
【海报设计】主持人比赛活动主KV设计,https://task.epwk.com/722878/,3431人,70人,¥800,,makssEVO,￥ 800,￥ 800,2019.03.17,"事业单位内部主持人比赛，主KV设计要求：横版   150DPI及以上分辨率  虽在事业单位内部活动采用，但是拒绝番茄炒蛋的设计。最后需提供分层PSD文件或CDR文件，方便根据应用场景进行简单调整                                    知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：722878,呜韮,巨猩影视工作室
【包装设计】五金产品包装设计,https://task.epwk.com/721844/,2365人,27人,"¥3,000",,Mr137****1568,￥ 3000,￥ 3000,2019.03.15,一．设计要求：1.本次设计为对原有设计方案的升级，即要求在原有基础上进行升级改进，请结合所用钉子这一五金产品的建材特点，突出力量、锋利、速度的特征。2.新包装尽可能保留原来的设计用色，不要与原设计区别过大。3.风格要求简洁、大气。二．外箱尺寸：长宽高42.5cm*24cm*13cm，内盒尺寸另行提供。三．文字、内容版式布局请参考之前定稿。四：要求源文件为AI或者PSD格式，以便直接印刷。,任务编号：721844,上海吾一品牌设计,郎乾设计的店铺
【服装设计】个性创意图形设计——运动时尚品牌,https://task.epwk.com/721448/,4895人,16人,¥500,,shirley女郎,￥ 500,￥ 500,2019.03.14,"我们要寻找的是最新潮、时尚、有个性的球拍握把绑带设计，这种绑带可以用于多种球拍。我们的受众人群是相对年轻、对时尚和自我有追求的球拍运动爱好者。请参考我们现有的设计。交稿要求： 每个稿件请提供三款设计，每款设计的图案最好就一到两种颜色，相对简洁，但是有创意有个性，图案是重复、均匀的覆盖整条绑带，绑带尺寸：1100*27mm，我们需要的源文件稿件是1100*1100mm的整版设计，设计需要达到裁切不影响单条效果。请注意，不能有渐进色。我们的办公室在厦门，并在香港和美国都有注册公司，主要外销： 欧洲、美国、澳大利亚。希望能通过此项目找到长期合作的超级有才华的设计师。谢谢！期待你的加入！** 需要提供源文件（ai）,我们要寻找的是最新潮、时尚、有个性的球拍握把绑带设计，这种绑带可以用于多种球拍。我们的受众人群是相对年轻、对时尚和自我有追求的球拍运动爱好者。请参考我们现有的设计。交稿要求： 每个稿件请提供三款设计，每款设计的图案最好就一到两种颜色，相对简洁，但是有创意有个性，图案是重复、均匀的覆盖整条绑带，绑带尺寸：1100*27mm，我们需要的源文件稿件是1100*1100mm的整版设计，设计需要达到裁切不影响单条效果。请注意，不能有渐进色。我们的办公室在厦门，并在香港和美国都有注册公司，主要外销： 欧洲、美国、澳大利亚。希望能通过此项目找到长期合作的超级有才华的设计师。谢谢！期待你的加入！** 需要提供源文件（ai）",任务编号：721448,ISSUER设计工作室,绘设计在线--Well Design Online
【宣传单设计】公司宣传单设计,https://task.epwk.com/717964/,3632人,27人,¥300,,mf189****0678,￥ 300,￥ 300,2019.03.06,要求看附件,任务编号：717964,DH品牌策划,Ai创设计丶
【LOGO设计】企业logo设计,https://task.epwk.com/717836/,11597人,100人,"¥3,000",,o5c7e****975d6,￥ 3000,￥ 3000,2019.03.05,具体设计内容看附件,任务编号：717836,极点科技,仙鹤品牌设计
【LOGO设计】狗粮猫粮需要logo,https://task.epwk.com/717420/,9775人,65人,"¥3,000",,o5c18****2f9c6,￥ 3000,￥ 3000,2019.03.05,母品牌LOGO设计需求一：宠の优品（猫粮、狗粮公司母品牌）子品牌LOGO设计需求二：需求2.1: 骨力多（猫粮、狗粮子品牌，功效：壮骨强关节）；需求2.2: 汪小帅（狗粮子品牌，功效亮毛）、喵小帅（猫粮子品牌，功效亮毛）；需求2.3: 喵乐滋（猫粮子品牌，功效100%鲜肉）、汪乐滋（狗粮子品牌，功效100%鲜肉）；设计要求：一、除“宠の优品”外，其他子品牌设计风格尽量统一二、至少体现下列5点之一，兼顾更赞！ 2.1 简洁简洁再简洁——最好能做到：普通人看了LOGO，可凭记忆一笔画2.2 暗示——日企出品2.3 暗示——猫粮、狗粮2.4 暗示——人类可食用级-天然粮2.5 暗示——每款产品各自功效,任务编号：717420,巨猩影视工作室,MRKANG设计工作室
【广告设计】国家森林运动小镇入口标识牌设计,https://task.epwk.com/717241/,4674人,35人,"¥1,200",,简畅广告标识,￥ 1200,￥ 1200,2019.03.04,"经营介绍：国家森林运动小镇 特殊基地：森林百里徒步基地     森林汽车穿越基地    丛林穿越基地  射击射箭基地   极限运动体验基地                                    设计要求：                                                                            1、大气、简洁、明快;                                                                2、有视觉冲击力，醒目易识别，设在公路边主题元素：山林、树木、山路   文字：灵鹫山国家森林运动小镇      越运动 越幸福                                            3、能体现特色，LOGO已有，但如限制了设计师的创意，可重新设计。                                                                4、附上创意说明。                                                                        知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：717241,瑞艺品牌全案机构,会凌网络
【LOGO设计】南阳艾草行业简单logo设计,https://task.epwk.com/713721/,6756人,106人,"¥1,000",,laoailing,￥ 1000,￥ 1000,2019.02.23,"“老艾岭”是艾草行业知名厂家，现设计LOGO图标（不需要搭配字体设计，纯图片设计）经营介绍： “老艾岭”是一家以经营高品质真效果艾条、艾柱为主的厂家，主要为全国线下艾灸馆、美容院、中医院、医疗器械行业、医院客户提供贴牌定制艾产品，合作客户30000家以上。设计内容：设计形似山岭的LOGO图。设计要求：•	1、天然、绿色、健康、简洁、易记; •	2、有视觉冲击力，醒目易识别，突出天然、野生、自然、山岭元素;•	3、老艾岭LOGO以英文字母“M”或者“AAA”为基础发挥，突出山岭视觉、抽象视觉。•	4、老艾岭的“岭”字在百度百科寓意为：相连的山，连绵的高山，岭的特点是：坡度和缓，连绵。所以设计时候围绕英文字母:“M”或者“AAA”来发挥想象、抽象来设计出山岭视觉、感觉效果。•	5、也可结合“老艾岭”英文首字母：L A L 发挥想象来结合设计。•	6.最终设计出来的LOGO看上去要像简洁抽象的山岭，最好设计好后的山岭LOGO里面还包含了“老艾岭”英文首字母：L A L的抽象寓意。知识产权说明：•	1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;•	2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：713721,莫言设计,林视觉LINVISION
【名片设计】个人名片设计（内容已有，需简单排版，见附件）,https://task.epwk.com/713419/,6290人,78人,¥300,,o5bf3d9b60eca9,￥ 300,￥ 300,2019.02.22,1、大气、简洁、明快;2、有视觉冲击力，醒目易识别3、能体现特色，LOGO已有4.具体内容见word及附件5.如设计排版过程中，遇到问题，可QQ1538836536交流,任务编号：713419,艾斯设计,木橙设计杂货铺
【LOGO设计】一键智能家装APP命名及LOGO设计,https://task.epwk.com/711980/,5663人,58人,"¥4,000",,y8158****,￥ 4000,￥ 4000,2019.02.18,"APP命名及LOGO设计任务书 一、公司简介武汉绘一科技有限公司是一家致力于通过运用人工智能技术，帮助年轻人设计自己的家；我们希望让设计不再有门槛，同时释放每个人的灵感，让家装原本枯燥无味变得生动有趣起来，名字中的“绘一”由“绘一个家”而来。 二、APP产品介绍APP是通过运用人工智能技术，帮助年轻人设计自己的家；简单来说就是一款利用你在家喝咖啡的闲暇时光，就能自己动手设计家的APP。自己动手设计家？乍一听以为只是新概念，但事实上越来越多的用户对于家装设计不再满足千篇一律的标准化，个性化需求越加明显，年轻人的小清新？工业风？日式风格？都在不断的变化，设计师都难以把控的用户心里，不如让用户自己决定自己的家是什么样子。 三、任务要求：产品APP命名+标语（slogan）与标识（LOGO）设计，围绕家、科技、设计、创造、个性化为创意点；LOGO设计简洁与APP产品名称搭配规范。（可参考一些家装品牌与室内设计，建筑类品牌LOGO的设计语言或构思）。 （1）APP命名要求1.app名称可与企业名称（武汉绘一科技有限公司）无关，例如阿里旗下的淘宝与支付宝...2.app名称也可以与企业名称有关且能够组成一个系列（如小米与红米...Apple与ipad，iphone）。3.app名称有中英文互译优先考虑，可以是创造词，如腾讯Tencent、抖音Tik Tok、爱彼迎Airbnb、油管Youtube、站酷zcool。4.app名称要具有一定的唯一性，特殊性：在百度, app store搜索时不会出现太多重名 （搜索优先度级别高）。5.app名称容易记忆，朗朗上口。6.app名称的由来具有故事性可优先考虑。 （2）APP Logo设计要求1.标识（LOGO）设计要求构思新颖、视觉感强、现代感与科技感的结合；无字体产权纠纷（勿用版权字体）。2.商标注册通过率高的优先；作品此前未以任何形式发表并具备完整的知识产权。3.在任何宣传环境中能够和谐、大方的应用；整体设计风格易于辨认，具有形象延展性，便于印刷和其他设计制作；便于应用在企业物料、画册、展会及相关广告宣传的应用；有辅助图形便于后期延展的优先。4.应征作品风格不限，必须为原创，此前未以任何形式公开发表。5.Logo能够有创意的，很形象的展现产品名称和特点，如特斯拉Tesla的logo是‘T’字型且其图案设计原型是特斯拉车电动马达的横切面。6.Logo能够容易让人产生一些联想，如容易联想到家，个性化设计等。7.Logo要求构图简洁大方，色彩明快，个性鲜明，寓意深刻，富有美感，具有视觉冲击力，便于记忆和识别。 （投稿要求与联系方式见附件）",任务编号：711980,HFin9 Studio,o5bf01e2adadc4
【名片设计】中餐館名片設計,https://task.epwk.com/709305/,7331人,50人,¥360,,yuhannl,￥ 360,￥ 360,2019.02.09,"我們是在澳大利亞開餐館的所以內容儘量適合中西方(英文)人士閱讀 (設計者有幫在澳大利亞客戶設計名片的經驗那就更好了)正面:餐館名稱已經內建在商標上餐館經營川湘粵菜- 可寫類似 川湘粵 私房菜 蓋澆飯地址 Shop 1, 70 Pinelands Rd Sunnybank QLD 4109電話0490 090 931地址電話電郵可用小圖示背面:需有微信及臉書二維碼 (請看附件)需地圖簡圖/示意圖, 主要道路及地標已經標註在附件地圖上可融入本餐館餐飲照片設計 - https://1drv.ms/f/s!At1nB0pn5tN5tW_n_zUlMRnkqTi3如果做非白底名片的話，LOGO可以換為全白色。因為作為餐館名片並不需要預留寫個人名字的空間，不過希望底色不要太深這樣需要寫上個人聯絡資訊的時候才看得到。名片規格為90X55，需要留印刷出血3mm (96x61)須提供原始檔需原創及不侵犯他人版權",任务编号：709305,冰冰秦5821,森中老林
【LOGO设计】LOGO应用场景征集设计,https://task.epwk.com/707992/,2546人,26人,¥500,,o5bcc8e629b7ac,￥ 500,￥ 500,2019.01.29,"我公司从事少儿英语培训行业。公司有已经设计好的LOGO：山姆宝贝少儿英语。我们现在提供LOGO矢量图，希望能寻求设计人员帮我们设计一批LOGO在不同场景应用的立体效果图。效果越立体、越逼真越好。例如LOGO用在门牌、水杯、大厦顶部、信纸、前台、教材等场景都可以。要求一定要立体感十足。附件是我公司LOGO文件知识产权说明：1. 所设计的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。2. 中标的设计作品（一等奖至五等奖），我方支付设计制作费，即拥有该作品的知识产权（一等奖至五等奖），包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：707992,图度文化,睿珑视觉
【LOGO设计】设计旅游品牌logo,https://task.epwk.com/706847/,4963人,62人,¥600,,o5902a9c3ec0ee,￥ 600,￥ 600,2019.01.25,"应用场景：一家旅游企业，品牌‘’#下#一#站#x#t#s#t#o#p‘’（去除#）。 设计要求：请结合旅游场景， 就上述品牌进行logo设计。 1、大气、简洁、明快，符合旅游场景。 2、纯图形、文字或字符，或组合。不限于抽象旅行者形象，字符变形等。 3、有视觉冲击力，醒目易识别； 4、附上创意说明。 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：706847,yi-设计品牌策划机构,新设计商店
【其他宣传品设计】设计挪车二维码停车牌/静电贴,https://task.epwk.com/704783/,3492人,13人,¥500,,lizhibin,￥ 500,￥ 500,2019.01.18,一、设计需求：挪车二维码静电贴或者纸质停车牌尺寸：静电贴不大于10cmx10cm（贴前档玻璃，面积太大容易阻挡视线），停车牌尺寸不大于30x20（放前挡风玻璃下）形状：不限，可设计为异形也可设计为方正行或者圆形文案：不限，自由发挥，只要让看的人知道挪车就扫二维码就可以了二、投稿说明：总共需求10份（或者10款），因为悬赏最多只能设置5个，因此我们将总共筛选出5名设计师，每人设计2份鉴于第一点，建议每个设计是最少设计2个稿件供我们选择附件为Logo、当前的静电贴、停车牌设计稿，供各位参考。但是请勿受其影响。二、产品介绍：这是一款通过扫描二维码即可通知车主挪车的神器二维码是小程序专属的小程序码，安全可靠目前产品形式为静电贴和纸质挪车牌三、版权要求作品必须为提交者自行设计，谢绝抄袭，如生产印刷后遇上版权问题，由提交者负责处理所有侵权事宜，我司不承担任何侵权责任。作品一经采用，我司即拥有该作品的所有权属包括但不限于版权、使用权。作品一经采用，未经我方允许，不得将设计创意再应用于其他公司。作品一经采用，请务必提供psd、cdr的源文件,任务编号：704783,岩淞视觉设计工作室,天一品牌设计
,,,,,,,,,,,,,
【LOGO设计】自主五金品牌LOGO设计,https://task.epwk.com/699520/,6640人,68人,"¥1,000",,jxh021,￥ 1000,￥ 1000,2019.01.04,1、公司及品牌创始人为来自安徽六安寿县，可适当加入地域情怀。2、自主注册商标“蜂鸟”第6类；“晶徽”第19类“。3、主营产品：自攻钉、干壁钉、钢排钉、瓦斯钉、平头螺丝、自攻自钻螺丝、钢钉、码钉、枪钉、元钉、美固钉。4、有视觉冲击力，醒目易识别，突出建筑装饰材料元素; 5、能体现企业特色——成熟、稳健、创新6、优先考虑富有内涵、创意新颖的设计7、要求原创、附上创意说明。 8、现用公司名称：上海石秀装饰材料有限公司,任务编号：699520,龙天设计,清月品牌设计
【LOGO设计】江苏贤辰机电工程有限公司LOGO设计,https://task.epwk.com/697955/,4045人,71人,¥780,,风之迹,￥ 780,￥ 780,2018.12.29,江苏贤辰机电工程有限公司是一家主要从事电梯安装、维护、销售的公司，因业务发展需要设计企业LOGO要求：1、简洁大气，2、突出行业特点  3、尽量不用过渡色，利于后期制作,任务编号：697955,意象设计,tomzhouwei
【LOGO设计】新材料有限公司品牌LOGO设计,https://task.epwk.com/696599/,3969人,44人,"¥1,000",,叶小寂,￥ 1000,￥ 1000,2018.12.25,"公司简介:珠海天威新材料股份有限公司是国内率先自主开发数码喷印墨水，并集研发、生产、销售于一体的技术密集型高新技术企业，是国内规模较大的数码喷印墨水供应商，公司开发的产品有：工业领域数码喷印墨水、户内户外广告墨水、影楼写真墨水、办公打印墨水、数码印花纺织墨水及方案、UV紫外光固化墨水、建筑装饰陶瓷墨水、玻璃烧结墨水、特殊应用墨水等.这些产品被广泛应用在纺织印花、建材装饰、商业艺术、日常生活等方面。是一家多元化的墨水厂家.我们的口号是,色彩改变世界!投稿内容：1、设计内容应着眼于“珠海天威新材料股份有限公司”的特色，商标设计要素可以从对公司企业文化、经营理念、公司名称等方面着手，标识能体现墨水行业特色。2、标识能很好地诠释内涵，可设计标新立异的标志，品牌商标设计可含有字体、天、威、中英文、标的延伸、图标、简称，并附带设计理念。版权说明：1、所提交作品必须为原创，不得抄袭和模仿其他企业标识，此前未以任何形式发表，并具备完整的知识产权。2、应征作品设计风格和类型不限，但必须符合法律和社会公序良俗的要求。",任务编号：696599,速 豹 品 牌 设 计,认知设计
