标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10
【详情页设计】新店开业需求产品的图片和文字，要到淘宝上找,https://task.epwk.com/166218/,4533人,0人,¥143,yuyitao915,￥ 143,,2012.03.14,"现在正在筹划在淘宝上开一家美国代购母婴产品的网站，需求产品的图片和文字，要到淘宝找图片和文字。

经营介绍： 以代购婴儿奶粉，辅食，BABY 洗护餐具，孕产妇妈咪护理为主的网店
要求淘宝上能找到的：

奶粉品牌美国雅培，美国美赞臣，美国雀巢(每个牌子0到3段）
辅食品牌：美国嘉宝（米粉，果泥，零食）4个月以上
奶粉和辅食文字资料要求【产品名称】【产品规格】【产品产地】【适用年龄】【产品特点】【营养含量】【使用方法】储藏方法】【注意事项】日期察看方式（有图片也可）

妈咪宝宝护理品牌：Palmers雅儿，Pampers/帮宝适：尿片 文字要求 （规格:产地:适用年龄:适用范围:产品说明 产品特点 推荐人群 特别提示
 ）
宝宝洗护品牌：CaliforniaBaby/加州宝宝，Episencial，Burts Bees小蜜蜂（面霜,身体乳液沐浴,洗发,护发按摩油,精油我爱泡泡浴湿疹尿布疹,疤痕瘀伤,外伤,烫伤防蚊,防晒,痱子）的产品 
文字要求：规格:产地:适用年龄:适用范围:产品说明 产品特点 推荐人群 特别提示
日期察看方式（有图片也可）

洗护餐具和医疗品牌：布朗博士，Munchkin，Playtex，AVENT（奶瓶,奶嘴及附件勺,叉,碗训练杯,水杯吸管杯,保温杯咬胶,安抚奶嘴口水巾 领巾 吐奶巾餐包,餐椅食品料理工具)的产品
【产品名称】【产品规格】【产品产地】【产品材质】【产品特点】【产品说明】【使用方法】储藏方法】【注意事项】日期察看方式（有图片也可）


一个品牌算一个稿件（一个品牌下面多个产品，一个产品至少要5张图片）
每个产品都要有图片和资料（越多越好），文字资料要保证跟图片一致（最好是无水印图片，谢谢）

知识产权说明：
1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;
2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：166218,,,,,,,,,,
【LOGO设计】30秒注册赚3元!在线审!,https://task.epwk.com/160009/,4207人,0人,¥50,fengy__36,￥ 50,,2011.10.31,"到这个网站注册http://www.866.cn/，需要手机接收一条验 证码决不扣费
第一步：登陆www.866.cn

第二步：页面右上角点击会员注册开始注册，名字必须是规范中文姓名（3个或者2个汉字），推荐人号码13750416259，必须填，注册后点现在就去验证手机收到二维码且手机验证，否则无效。（必须要验证手机，不然一律无效！）

提交稿件格式：“注册姓名+注册电话号码”即完成任务得1元。
注意：此任务可以重复做。可以拿家人跟朋友的手机号码来做！不限制！！！但姓名不可重复！卡商无效！

联系我QQ：1498761821",任务编号：160009,,,,,,,,,,
【LOGO设计】简单30秒 做一个1元,https://task.epwk.com/159951/,8251人,3人,¥50,康丽,￥ 50,￥4,2011.10.31,"简单30秒 做一个1元
一元一个注册 网站还送50元购物积分


第一步：登陆www.866.cn

第二步：页面右上角点击""免费注册""开始注册，名字:正规中文姓名（3个或者2个汉字），

 注意：推荐人号码必须填13236858872 推荐人 康丽


第三步.会员姓名:填你的姓名（格式是：（姓+名），并且必须是（中文名）同一个会员注册多个姓名请不要相同。）


第四步，然后点击手机验证，手机收到短信彩信各一条，填好短信码点击请求发卡就OK。（非常重要）

  注意：手机一定要接收并填写二维验证码，提示：“恭喜您，操作成功！”才算合格了，否则不合格。



注意：此任务一个手机一次 ,可以拿家人跟朋友的手机号码来做！不限制ip！！！



交稿格式提交： 手机号 和 姓名
做任务有疑问的请加QQ群：178275459   想长期网的加网友的交流群 101746545     注册成功的朋友们可以登录上面的网址 另有50元积分可以购物！！


温馨提醒：任务征集期间，交易双方交流可通过:一品威客站内信、任务详情之威客任务交流区或咨询一品威客在线客服人员。",任务编号：159951,"个人 |            
            linbinbinjiayou的店铺","个人 |            
            赚钱的店铺","个人 |            
            赚钱的店铺","个人 |            
            冰泉",,,,,,
【LOGO设计】简单30秒 做一个1元,https://task.epwk.com/159950/,4524人,0人,¥50,康丽,￥ 50,,2011.10.31,"简单30秒 做一个1元
一元一个注册 网站还送50元购物积分



第一步：登陆www.866.cn

第二步：页面右上角点击""免费注册""开始注册，名字:正规中文姓名（3个或者2个汉字），

 注意：推荐人号码必须填13236858872 推荐人 康丽


第三步.会员姓名:填你的姓名（格式是：（姓+名），并且必须是（中文名）同一个会员注册多个姓名请不要相同。）


第四步，然后点击手机验证，手机收到短信彩信各一条，填好短信码点击请求发卡就OK。（非常重要）

  注意：手机一定要接收并填写二维验证码，提示：“恭喜您，操作成功！”才算合格了，否则不合格。



注意：此任务一个手机一次 ,可以拿家人跟朋友的手机号码来做！不限制ip！！！



交稿格式提交： 手机号 和 姓名
做任务有疑问的请加QQ群：178275459   想长期网的加网友的交流群 101746545     注册成功的朋友们可以登录上面的网址 另有50元积分可以购物！！

温馨提醒：任务征集期间，交易双方交流可通过:一品威客站内信、任务详情之威客任务交流区或咨询一品威客在线客服人员。",任务编号：159950,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
【LOGO设计】简单注册轻松任务，每稿2元,https://task.epwk.com/159339/,8203人,4人,¥60,wskihiq,￥ 60,￥4,2011.10.21,"同城交友联盟,,下线20元/个,!30元起结算/日付 CPA广告联盟 http://www.cpa898.com/1207 无需审核，没网站也行，推广手法任意发挥，我来拉下线",任务编号：159339,"个人 |            
            枫叶2011的店铺","个人 |            
            lixuanhui800的店铺",,,,,,,,
【LOGO设计】为男友征集生日祝福短信 急！！！,https://task.epwk.com/158026/,18081人,11人,¥50,夜色微澜,￥ 50,￥22,2011.09.13,1.今天是男友二十三岁生日，希望二十三个不同地方的人为他送上生日祝福。 2.接受短信人手机号码：13984328763 3.短信内容大概如下：你好！我是来自某地的xx，代杨小姐，向她男朋友，送来了生日祝福+详细祝语。不希望出现重复的短信内容，谢谢！ 4.短信发送时间为2011-9-13 23:50 前,任务编号：158026,"个人 |            
            三品威客的商铺","个人 |            
            liuyan的店铺","个人 |            
            liuyan的店铺","个人 |            
            bpmo的店铺","个人 |            
            bpmo的店铺","个人 |            
            Neil的商铺","工作室 |            
            双胞胎文案策划中心","个人 |            
            bpmo的店铺","个人 |            
            merry的店铺","个人 |            
            merry的店铺"
【LOGO设计】新手必做。3元一单，最高116元,https://task.epwk.com/157854/,5651人,0人,¥51,dandelion5,￥ 51,,2011.09.04,"易窝网任务（注册类任务）（只要按要求的100%成功）大家加油了！
任务地址：http://www.yiiwo.com/reg.asp?r=dandelion （必须通过此链接）
1、用上面的链接注册一个用户，以前已经注册过易窝网的朋友不可以再做。
2、注册、登陆、找到体验广告一栏，体验广告赚成长值。
3、右上角的积分达到100后，请提交数字ID和会员中心截图来交稿。

小提示：注册成功后，在‘体验广告’里面，自动核审的找那些广告来体验，自动核审的广告完成后刷新页面就可以领取奖励，手动核审的需要1-30天来核审，所以建议大家先体验自动核审的（注：有几个有IP限制的，体验之前先阅读广告介绍）成长值达到100时，所得的窝头也可以兑换2-5元，加上我给的3元。你30分钟左右可以赚5-8元！

视频教程地址：http://v.youku.com/v_show/id_XMjkyMjEzNzA0.html
这任务可以长期做，继续往后面做还有奖励：
成长值100=3元
成长值200=5元
成长值500=8元
成长值1000=20元
成长值5000=80元
任务赏金共116元，而且这只是我给你的任务赏金，你在易窝网.赚的窝头也可以提现成人民币。

任务到期我会重新发布，交任务不限期数，这期的任务，下期来交稿也是可以的，可以加我QQ：45719780 
大家可以在易窝网里面填写详细资料，再设置提现方式，1000窝头就可以提现了，1000窝头号1RMB，注册送500个，再做个体验广告就可以提现赚1元了。到有100积分的时候，窝头至少有3000，相当于我给你3RMB+你提现的3RMB=6RMB。",任务编号：157854,,,,,,,,,,
【LOGO设计】推广，宣传我的半边街时尚购物城,https://task.epwk.com/157787/,11617人,12人,¥60,半边街时尚购物城,￥ 60,￥13.5,2011.08.31,"我的网上购物商城：半边街时尚购物城www.banbj.com用QQ群推广，发布到40个QQ群（不能是同行的），主要是针对有网上购物需求的QQ群，群人数至少要有50人以上，1.5元一个群。

qq群主要发布内容为：
www.banbj.com主要以年轻时尚的品牌各类服饰，以女装，女包，内衣位主推产品，客服热线：400-630-9218，QQ：1872756965
交稿以截图方式来提交",任务编号：157787,"个人 |            
            contrary的店铺","个人 |            
            nihaonpa的商铺","个人 |            
            思想微凉的店铺","个人 |            
            panzhizheng的店铺","个人 |            
            panzhizheng的店铺","个人 |            
            11","个人 |            
            11","个人 |            
            天方夜谭的商铺","个人 |            
            jiahaijie的店铺",
【LOGO设计】新手必做10秒简单注册，闪电式审核。,https://task.epwk.com/157312/,8263人,5人,¥52,王者归来,￥ 52,￥7.8,2011.08.10,"1、(复制、粘贴、链接）
http://www.p.cn/reg.aspx?uid=16638446382&p_id=union&sub_id=channel_28&serviceurl=http://union.p.cn
  注册普通用户，非此链接注册的不予通过。非个人真实信息不通过审核！
2、 用刚注册好的DTN帐号登陆http://un.p.cn  完善个人资料，资料里的“推荐人DTN”填写16638446382 （这个一定要填，否则不予通过审核） 
3、然后到频道推广里选几个网站点预览看一下，一个小时后就能看到收入!而且每个月会免费赠送60分钟的长途电话费！每周15分钟。
合格要求：
1、有效邮箱、真实中文姓名、手机注册。
2、必须是新用户，以前没有注册过的。作弊者请绕行。
3、提交任务所需内容如下： 
（1）真实用户姓名：XXX  （即：注册步骤1的用户姓名）
（2）用户信息截图
DTN：XXXXXXXXXXX
推荐人DTN：16638446382
状态：通过 
上次登陆IP：185.326.171.163
上次登陆时间：2011-05-03 15:16:20
截图样式详见附件
任务截图请登录：http://un.p.cn  用刚注册好的账号登录，然后点击“用户信息”。
没按合格要求注册并提交任务的都不予通过，非诚勿扰，作弊者请绕行，谢谢！",任务编号：157312,"个人 |            
            衡扬企业建站","个人 |            
            q111349902的店铺","个人 |            
            美丽的猪的店铺","个人 |            
            美丽的猪的店铺","个人 |            
            yy303023858的店铺","个人 |            
            美丽的猪的店铺",,,,
【LOGO设计】还在为百度打工？你out了,https://task.epwk.com/157140/,6369人,1人,¥50,grams21,￥ 50,,2011.08.02,"任务需求： 
任务详见：以下链接
 
http://blog.sina.com.cn/s/blog_70b6e48e0100txyd.html
 要认真做哦。。
 要交截图的、截图交您的信息。做了就知道。
 要填真实信息。所有信息都真实，一项不是，就不合格。
 做好了，您也可以通过那个赚钱的。",任务编号：157140,,,,,,,,,,
【LOGO设计】10秒1元！24小时诚信审！简单必做,https://task.epwk.com/156983/,4843人,0人,¥50,罗曼蒂克,￥ 50,,2011.07.24,"10秒简单任务，24小时在线审稿，合格率高！

谢谢合作！                     

任务说明地址 ：

http://blog.sina.com.cn/s/blog_84f7207d0100uqf9.html",任务编号：156983,,,,,,,,,,
【LOGO设计】24小时诚信审核！新手必做！急,https://task.epwk.com/156970/,6657人,2人,¥50,罗曼蒂克,￥ 50,￥1,2011.07.23,"10秒简单任务，24小时在线审稿，合格率高！

谢谢合作！一定用博客里给的步骤做，以免不必要的失误，谢谢！
 
任务地址链接：http://blog.sina.com.cn/s/blog_84f7207d0100uqf9.html",任务编号：156970,"个人 |            
            听誓言盼永恒的店铺",,,,,,,,,
【LOGO设计】新手简单必做!24小时诚信审核!,https://task.epwk.com/156883/,9097人,6人,¥50,罗曼蒂克,￥ 50,￥6,2011.07.18,"一、任务描述
10秒简单任务，24小时在线审稿，合格率高！
谢谢合作！一定用博客里给的步骤做，以免不必要的失误，谢谢！           
任务地址链接：http://blog.sina.com.cn/s/blog_84f7207d0100uqf9.html

二、任务征集期间，联系方式可通过:一品威客站内信、任务详情之威客任务交流区或咨询一品威客在线客服人员。",任务编号：156883,"个人 |            
            皓皓威客的店铺","个人 |            
            创意宝","个人 |            
            这个是你家","个人 |            
            i0858的商铺","个人 |            
            鸿亚设计的店铺","个人 |            
            大圆小圆的店铺",,,,
【LOGO设计】做任务，浏览网页，为自己赚钱。,https://task.epwk.com/156871/,8302人,1人,¥50,grams21,￥ 50,,2011.07.18,"任务详见：
 
http://blog.sina.com.cn/s/blog_70b6e48e0100txyd.html
 
要认真做哦。。
 
要交截图的、截图交您的信息。做了就知道。
 
要填真实信息。
 
做好了，您也可以通过那个赚钱的。",任务编号：156871,,,,,,,,,,
