标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,��段14,字段15,字段16
【APP推广】学生党必做，简单软件注册，纯看视频即可,https://task.epwk.com/884765/,804人,0人,¥600,花不是我偷的,￥ 600,,2020.08.12,第一步，扫下方二维码进入“哔哩哔哩”下载页面，然后输入手机号第二步，用输入的手机号注册并登录，通过扫码下载的无需填写邀请码，通过其他方式下载的需要填写邀请码，下载APP后要在24小时内绑定，邀请码：CMAZCJU第三步，看十分钟视频，连续看三天视频，每天十分钟即可，只能多看，不能少看，一定要够十分钟才行交稿格式：图2包含用户昵称的界面图注：注册的设备及手机号必须是之前从未下载过且从未登录过“哔哩哔哩”APP的才行，手机号须为中国大陆地区归属，可以交多个稿，但必须是不同的手机不同的手机号才可以，否则无效如有不清楚可以私聊我或者加VX：Rose123151 请大家按照要求完成任务，以任何第三方软件或不正当方式参与的无效完成后每单赏金为7.5元,任务编号：884765,,,,,,,,,,
【网站优化方案】(仅限南京地区手机注册)南京砂之船商场新会员注册,https://task.epwk.com/884735/,642人,1人,¥500,taylordrose,￥ 500,￥3.01,2020.08.12,【仅限江苏南京地区手机注册】南京砂之船商场新会员注册注册地址→https://wxzhsc.sasseur.com/newlapp/#/menu/10058?go=user%2Findex （要求使用手机端打开）或者点击附件注册二维码识别进入。交稿要求以及审核标准：1、提交注册手机号码【仅限江苏南京区域手机，其他地区的手机号码均视为无效】2、完成注册消息界面的截图。（请查看第三个附件的示例，按照示例界面截图交稿审核）3、交稿后我方会尽快审核，后台会审核注册会员号与注册手机号是否一致，如不一致将会进行淘汰，非南京地区手机号码也会进行淘汰。,任务编号：884735,hu380806,,,,,,,,,
【微信推广】简单转发朋友圈 5元一条,https://task.epwk.com/884568/,1880人,42人,¥500,qw120****467,￥ 500,￥285,2020.08.11,任务需求推广人群：需个人常用微信号，好友数大于500人。任务需求：1、朋友圈设置所有人可见。2、朋友圈至少保留5小时（交稿的图片需显示5小时前发布，否则无效）。3、每人参与一次重复无效。微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们审核;4、转发内容为文字+图片！5、所有截图最上面需显示手机上面的时间。6、使用同一数字字母组合的微信号，营销号进行批量推广的判定为无效号，也会淘汰，只需求个人微信号，感谢理解！7、一个一品账户仅限交稿一次提交任务的时候请上传三张截图：第一张是您微信号截图，点击微信菜单“我”然后截图。第二张是通讯录拉到底显示的好友数截图，好友人数需大于500人。第三张是您转发至朋友圈5小时后截图。文字内容如下：(评论区也需要发一次本内容)你知道微信除了用来聊天，晒自拍，刷朋友圈之外，还能用来赚钱吗？只要动动手，分享分享从消费到挣钱你只需要一个“呆萌价” 扫码下载，立即开启躺赚吧！邀请码：A00009,任务编号：884568,"个人 |            
            denglong","个人 |            
            denglong","个人 |            
            denglong",mf189****8909,四川曾先生,乔伊伊,mf189****8909,安美人,o5c08acb49efa3,阿碧姑娘
【APP推广】采源宝简单注册任务,https://task.epwk.com/884603/,1817人,66人,¥600,一叶天心,￥ 600,￥417,2020.08.12,阿里巴巴新推出的APP社群新电商平台：采源宝，每日早上10:00必推10~20款爆款，限时团购。物美价廉，不容错过！采源宝是以主打精品爆款团购模式存在的一个新社交电商平台，消费者用户可以在这里买到最优质的精选后具备高性价比的商品，掌柜们可以通过分享平台上的好货好物赚取返佣一个管道持续稳定收益，提供给大家的是一个良好的创业环境，且无需任何的投资。 8月31日前只要满足邀请20个粉丝就能升级采源宝掌柜。成为掌柜不仅省钱，还能赚钱！采源宝助你0元撬动千亿市场。采源宝升级掌柜有什么用？1、分享赚钱：普通买家的权益只有自购省钱，无法分享商品赚钱。但是升级到掌柜之后，就可以分享商品赚钱啦。2、自购省钱：返现比普通买家高。3、高利润商品：升级掌柜后可以获取到高佣金商品，提升我们的推广收益。4、专属营销活动：平台举办的活动有些只针对掌柜才能参与。5、丰富分享素材：可以分享链接、单图、长图、多图、短视频。6、多渠道分享：可以分享到微信、朋友圈、抖音、微博、QQ空间。扫描以下二维码，下载采源宝APP，支付宝或淘宝账号登录然后点击右下角“我的”截图交稿即可，截图务必显示出左上角的用户名，及我的邀请人是：一叶无余  否则不合格。,任务编号：884603,四川曾先生,乔伊伊,安美人,阿碧姑娘,o5d511af56dfec,四川曾先生,"个人 |            
            slosao",o5b6c04b568c58,"工作室 |            
            luo0710",乔伊伊
【APP推广】简单APP注册，一稿3.33元,https://task.epwk.com/883526/,1532人,53人,¥500,liu62****70,￥ 500,￥376.29,2020.08.07,任务要求：下载PP并注册登陆即可。第一步：下载二维码在下方附件需要用手机浏览器打开。浏览器扫描附件二维码下载APP也可以。第二步：安装APP在手机上登陆。第三步：用手机注册 并且登录，手机号注册绑定即可交稿。别的支付宝和微信不用绑定。交稿：提供注册手机号及APP中的用户信息，交稿后拿佣金3.33元。本APP可以一人交多搞，但是必须手机号码不一样，每一个手机号只能过一次。交稿格式：提交登录的用户信息截图，加注册的手机号后4位重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：883526,鹏宇杂货铺,山抹微雾,黎黄武ww,o5c9f215881c48,大勋,悠然一品,可可谷谷,o5f20492d59958,梦魇的girl,qwepoi2008
【APP推广】学生党必做，简单软件注册，纯看视频即可,https://task.epwk.com/883062/,1680人,18人,¥600,失落之城,￥ 600,￥102.84,2020.08.05,第一步，扫下方二维码进入“哔哩哔哩”下载页面，然后输入手机号第二步，用输入的手机号注册并登录，通过扫码下载的无需填写邀请码，通过其他方式下载的需要填写邀请码，下载APP后要在24小时内绑定，邀请码：C3P5BWG第三步，看十分钟视频，连续看三天视频，每天十分钟即可，只能多看，不能少看，一定要够十分钟才行交稿格式：图2包含用户昵称的界面图注：注册的设备及手机号必须是之前从未下载过且从未登录过“哔哩哔哩”APP的才行，手机号须为中国大陆地区归属，可以交多个稿，但必须是不同的手机不同的手机号才可以，否则无效如有不清楚可以私聊我或者加VX：xy52ss 请大家按照要求完成任务，以任何第三方软件或不正当方式参与的无效,任务编号：883062,"个人 |            
            slosao",yuesine,"工作室 |            
            luo0710",wyfxa,o5b6c04b568c58,路口人生,l906735851,"个人 |            
            denglong",atease,wyfxa
【微信推广】微信转发文章到朋友圈每稿5元,https://task.epwk.com/882749/,1053人,36人,¥500,心起福流,￥ 500,￥475,2020.08.04,审核要求：1、微信好友人数大于500人，（死号，营销号，小号，无效好友的视为不合格）不可屏蔽分组、不可设置观看权限（微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核）；2、朋友圈保留12小时以上（交稿的图片需显示是12小时之前发布的，如未满时间就提交截图视为无效）；3、朋友圈内容截图需显示完整，包括配图文字，所有截图最上面需显示手机上面的时间；4、每个一品威客账号和微信账号只能参与一次，重复无效；5、使用同一数字、字母组合的微信号，营销号进行批量推广的判定为无效号，也会淘汰，只需求个人微信号，感谢理解！6、提交任务的时候请上传三张截图：第一张是您微信号截图，点击微信菜单“我”然后截图。第二张是通讯录拉到底显示的好友数截图，好友人数需大于500人。第三张是您转发至朋友圈24小时后截图。朋友圈转发内容是文章链接加文字，文章链接如下：https://mp.weixin.qq.com/s?__biz=MzA4ODUxNDM3NQ==&mid=100000175&idx=1&sn=1d081162f0ff2d7b9cadc497668dcd9a&exportkey=AaZ2eyy5I02ZF4iKIw7P4eA%3D&pass_ticket=GSQO70IBkAuQapE1ecI%2FLwh9VaU%2BUSXF8xGoHPwWPJLfZXSNt2qMNcsuexppAWQi&wx_header=0- 文字如下：系统培训让新手变专家，国家职业技能中级认证，圆梦清北顶级名校进修，开启高薪副业完美人生。,任务编号：882749,mf189****8909,o5c08acb49efa3,qwepoi2008,可可谷谷,o5c08aa4477b3c,o5c08acb49efa3,小郑同学,o5f20492d59958,"工作室 |            
            小小龙儿","个人 |            
            慕容苓泽"
【微信推广】微信转发文章到朋友圈，每稿7.14块,https://task.epwk.com/882599/,1555人,27人,¥500,q1986****81,￥ 500,￥378.42,2020.08.04,审核要求：1、微信好友人数大于500人，（死号，营销号，小号，无效好友的视为不合格）不可屏蔽分组、不可设置观看权限（微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核）；2、朋友圈保留12小时以上（交稿的图片需显示是12小时之前发布的，如未满时间就提交截图视为无效）；3、朋友圈内容截图需显示完整，包括配图文字，所有截图最上面需显示手机上面的时间；4、每个一品威客账号和微信账号只能参与一次，重复无效；5、使用同一数字、字母组合的微信号，营销号进行批量推广的判定为无效号，也会淘汰，只需求个人微信号，感谢理解！6、提交任务的时候请上传三张截图：第一张是您微信号截图，点击微信菜单“我”然后截图。第二张是通讯录拉到底显示的好友数截图，好友人数需大于300人。第三张是您转发至朋友圈24小时后截图。朋友圈转发内容是图片加文字（4张图片），文字如下:刷抖音玩抖音，赚取佣金轻轻动手，点赞转发就有钱拿，更多惊喜请扫一扫！如图：,任务编号：882599,"个人 |            
            denglong","工作室 |            
            luo0710",o5b6c04b568c58,"个人 |            
            slosao",yuesine,四川曾先生,乔伊伊,阿碧姑娘,wyfxa,"个人 |            
            slosao"
【产品推广】注册ebay开发者账号，一稿10元，可多次注册,https://task.epwk.com/882280/,2997人,39人,¥501,十秒多重性格,￥ 501,￥470.94,2020.08.03,https://developer.ebay.com/signin?tab=register1、需要到这个链接注册账号（填写真实信息）2、电话需要选择中国3、注册完成以后会提示到QQ邮箱接收消息4、qq邮箱邮件确认注册完成5、等待一个工作日进行登陆6、登陆成功才算一个合格稿件需提供账号密码PS：需要大量注册账号，欢迎打扰,任务编号：882280,"工作室 |            
            小小龙儿",Reeeeeee,qwepoi2008,k2786740691,"工作室 |            
            小小龙儿",可可谷谷,qwepoi2008,hero5211,xym0822,xym0822
【APP推广】蜜源注册，一稿3元,https://task.epwk.com/881296/,939人,0人,¥500,o5f21165bf2d99,￥ 500,,2020.07.29,1.通过邀请码NSMNDB注册蜜源APP。（进入APP市场查找蜜源APP下载即可，注册时需填写邀请码）再邀请3个好友注册2.在app内“我的”页面上，找上方自己的邀请码，用自己的邀请码邀请3位好友注册蜜源（好友通过蜜源领券到淘宝天猫购物的佣金你得！）3.完成后请告诉你的手机尾号后四位后台可以看到邀请人数（要求自己注册的手机号码后四位）4.一品账户仅限交稿一次,任务编号：881296,,,,,,,,,,
【微信推广】简单高价微信群发好友，5元一单,https://task.epwk.com/881264/,1281人,12人,¥500,o5f1bcf86a4b70,￥ 500,￥140,2020.07.29,不限营销微信号，僵死号无效，请勿交稿，需个人常用微信号，好友数大于1000人。可多做！1.请记住你最后选的第200人的名字，这样发下一个200人的时候，你知道从哪里开始。2.发重了，不审核。每人可以多做，只审核群发200人。每群发200人为一稿！3.内容为文字+图片！文字内容和 1张图片必须全部群发发出去！每稿都要有4.内容见转发文章内容  图片见附件文字内容:  亲，你平时用淘宝天猫购物吗❓我给你介绍一个APP，以后你在淘宝、天猫、京东、拼多多等大平台上消费，所有的商品都可以领取优惠券，很多商品都只要一半的钱就能买到，都是不需要投资的！完全免费！审核标准：所有截图最上面必须显示手机上面的时间   1  微信群发内容截图（群发内容显示完整的文字+图片）；       2 “我”微信截图；      3 提交好友人数截图（微信通讯录下拉到底，可以看到“xxx位联系人”）；,任务编号：881264,哎呦丫头,悠然一品,悠然一品,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿",可可谷谷,可可谷谷,可可谷谷,mf189****8909
【小程序推广】微信小程序群置顶,https://task.epwk.com/880913/,1539人,2人,¥500,o5da8546b3ddcc,￥ 500,￥20,2020.07.28,1.搜索：友佳天气，或者扫描附件里面的二维码，点击并且分享到自己管理的微信群2.设置为群代办3.群人数大于300人4.至少5个人打开群代办需要提供：1.群人数截图2.五个人打开群代办截图3.小程序分享到群截图,任务编号：880913,"个人 |            
            树上有风","个人 |            
            树上有风","个人 |            
            树上有风",清梦视频剪辑,,,,,,
"【微信推广】简单高价微信群发好友,4元/单！可多做！",https://task.epwk.com/880727/,1288人,9人,¥500,润润和彤彤,￥ 500,￥104,2020.07.27,推广人群：不限营销微信号，仅限石家庄、邯郸、保定地区的威友，僵死号无效，请勿交稿，需个人常用微信号，好友数大于1000人。可多做！1.请记住你最后选的第200人的名字，这样发下一个200人的时候，你知道从哪里开始。2.发重了，不审核。每人可以多做，只审核群发200人。每群发200人为一稿！3.内容为文字+图片！文字内容和 1张图片必须全部群发发出去！每稿都要有4.内容见转发文章内容  图片见附件  文字内容:  这是阳光学校的老师，他们给孩子准备了学习资料送给您！回复对应数字领取！ 回复“1” 免费领取《初中物理知识大全》回复“2” 免费领取《2021中考手册》回复“3” 免费领取《小学数学公式定理挂图》回复“4” 咨询其他课程回复“5” 咨询阳光艺术高级中学（火热招生中）由于咨询的家长比较多，如果未能及时回复您，请您谅解！扫码详询↓↓↓ 审核标准：所有截图最上面必须显示手机上面的时间1、请证明自己属于 石家庄、邯郸、保定3个地区的威友；2、微信群发内容截图（群发内容显示完整的文字+图片）；3、“我”微信截图；4、提交好友人数截图（微信通讯录下拉到底，可以看到“xxx位联系人”）；,任务编号：880727,mf189****8909,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿",o5c08acb49efa3,悠然一品,悠然一品,可可谷谷,可可谷谷,可可谷谷
【APP推广】每单3元，快手极速版注册,https://task.epwk.com/880238/,2007人,13人,¥501,o5ef9****447f0,￥ 501,￥30,2020.07.24,"一，步骤：第1步：下载安装快手极速版第2步：复制这串字符##Ya7ja0H2_AO##，打开【快手极速版】填写我的邀请码：687823503，截图；被邀请成功后再载图；第3步：完成注册与邀请后，当天再看完至少6个视频，并截图，就可以了，一共3张截图；如果到此结束且符合标准，则得3元。第4步：连续看4天，每天看完6个视频并截图保存联系我微信18879708924，有额外奖励！二，注意事项：1，推荐人一定是jackie发784才给合格。2，留言你的快手号核实。3，一个手机只能填写一次，用应用分身无效。,一，步骤：第1步：下载安装快手极速版第2步：复制这串字符##Ya7ja0H2_AO##，打开【快手极速版】填写我的邀请码：687823503，截图；被邀请成功后再载图；第3步：完成注册与邀请后，当天再看完至少6个视频，并截图，就可以了，一共3张截图；如果到此结束且符合标准，则得3元。第4步：连续看4天，每天看完6个视频并截图保存联系我微信18879708924，有额外奖励！二，注意事项：1，推荐人一定是jackie发784才给合格。2，留言你的快手号核实。3，一个手机只能填写一次，用应用分身无效。",任务编号：880238,o5f1ab36606ab0,zw222426,Reeeeeee,o5ef329ef0822c,o5f30965380d87,lyswinner,"公司 |            
            优才科技",o5d2d3dd495e0f,C2627737954常杰,o5f1a5c6261a93
【APP推广】简单APP注册，一稿5元,https://task.epwk.com/879896/,1337人,1人,¥500,o5eee3856f1d12,￥ 500,￥5,2020.07.23,"任务需求第一步：打开微信，扫描下方附件中的二维码图片（必须之前没下载过）第二步：下载安装注册登录第三步：连续登陆3天即可，每天观看视频12分钟任务要求：下载APP连续登陆3天，每天观看视频12分钟即可提交（为了防止刷号）交稿格式：提交登录的昵称截图，（要求连续登陆3天，每天观看视频12分钟，在第三天的时候提交昵称截图，请严格按照交稿格式提交，请不要提前提交）领取佣金（例如7月23日注册的，请与7月8日后再登陆提交昵称截图，后台能查询登陆记录，必须有3天每天登录观看12分钟以上的记录）必须是7月23日之后注册的新用户才可以（APP必须从本任务首次下载才可交稿）（注意：为防止刷号，本任务仅限新手威客，九品威客参与（刚注册就是九品，所以说新手威客可以参与），品级高于九品的1-8品请勿参与，名字是xx营销，xx工作室，xx传媒的请勿参与，每人仅限提交一次稿件） 重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,第一步：打开微信，扫描下方附件中的二维码图片（必须之前没下载过）第二步：下载安装注册登录第三步：连续登陆3天即可，每天观看视频12分钟任务要求：下载APP连续登陆3天，每天观看视频12分钟即可提交（为了防止刷号）交稿格式：提交登录的昵称截图，（要求连续登陆3天，每天观看视频12分钟，在第三天的时候提交昵称截图，请严格按照交稿格式提交，请不要提前提交）领取佣金（例如7月23日注册的，请与7月8日后再登陆提交昵称截图，后台能查询登陆记录，必须有3天每天登录观看12分钟以上的记录）必须是7月23日之后注册的新用户才可以（APP必须从本任务首次下载才可交稿）（注意：为防止刷号，本任务仅限新手威客，九品威客参与（刚注册就是九品，所以说新手威客可以参与），品级高于九品的1-8品请勿参与，名字是xx营销，xx工作室，xx传媒的请勿参与，每人仅限提交一次稿件） 重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。",任务编号：879896,ych7912,,,,,,,,,
【APP推广】20S 手机app简单注册任务，3元/稿,https://task.epwk.com/879339/,1209人,43人,¥500,树上有风,￥ 500,￥123.41,2020.07.21,任务需求：采源宝是一款团购APP，依托于淘宝天猫平台，为广大用户提供海量优惠券，致力于帮助用户买到最具性价比的网购商品。 自买省钱，分享赚钱，请保存在手机里长期使用，同时也能邀请朋友一起来省赚。任务：第一步：在应用商店下载 “采源宝”第二步：手机号注册绑定即可，填写邀请码： 175EEE第三步：采源宝app-我的，然后截图交稿。要求采源宝app-我的，然后截图交稿注意：1-手机号必须真实有效，虚拟号码无效。2-需要个人的，用软件批量刷无效。3-营销工作室请勿打扰，稿件无效！已做过的和营销号请不要做 采源宝app-我的-我的邀请人必须是： “枫溪t” 否者无效 一个一品威客最多只能参加1次。,任务编号：879339,"工作室 |            
            小小龙儿","个人 |            
            慕容苓泽",四川曾先生,安美人,乔伊伊,可有可无的过客,"个人 |            
            slosao",阿碧姑娘,"工作室 |            
            luo0710",yuesine
【公众号推广】关注微信公众号并转发一个文章到朋友圈即可得3元,https://task.epwk.com/878942/,1989人,45人,¥500,o5f143e27374bb,￥ 500,￥171.57,2020.07.19,任务要求：1、先关注公众号“历史小笼包”，可以搜索也可以扫描附件公众号二维码，截稿之前不可取消关注。转发公众号的文章（扫描附近文章二维码）并配文。2、朋友圈转发内容是文章+文字，文字内容是：“这个公众号说历史真的好有趣呀！”审核要求：1、微信好友人数大于500人，（营销号，小号，无效好友的视为不合格）不可屏蔽分组、不可设置观看权限（微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核）；2、朋友圈保留48小时以上（交稿的图片需显示是48小时之前发布的，如未满时间就提交截图视为无效）；3、朋友圈内容截图需显示完整，包括配图文字，所有截图最上面需显示手机上面的时间；4、每个一品威客账号和微信账号只能参与一次，重复无效；5、使用同一数字 字母组合的微信号，营销号进行批量推广的判定为无效号，也会淘汰，只需求个人微信号，感谢理解！提交任务要求：提交上传四张图：第一张是关注图的截图；第二张是微信号截图，点击“我”然后截图；第三张是好友数量截图；第四张是您转发朋友圈后的截图。,任务编号：878942,qwepoi2008,可可谷谷,wyfxa,feng0aee0,"个人 |            
            denglong","个人 |            
            denglong","工作室 |            
            luo0710",四川曾先生,乔伊伊,"个人 |            
            slosao"
,,,,,,,,,,,,,,,,,,,,
【微信推广】简单易做，朋友圈转发图文，一单5元，长期有效任务,https://task.epwk.com/878908/,2963人,71人,¥500,大鸟叔,￥ 500,￥35,2020.07.19,推广人群：营销微信号，僵死号无效，请勿交稿，需个人常用微信号，好友数大于300人。任务需求：1、朋友圈设置所有人可见，该条朋友圈必须对所有好友可见。2、朋友圈至少保留24小时（交稿的图片需要显示是24小时之前发布的，如未满时间就提交截图交稿则无效）。3、每个一品威客账号和微信账号只能参与一次，重复无效。微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核;4、转发内容为文字+图片！文字内容和 图片必须全部转发出去，每稿都要有！5、朋友圈内容截图需显示完整，包括配图文字，所有截图最上面需显示手机上面的时间。6、使用同一数字 字母组合的微信号，营销号进行批量推广的判定为无效号，也会淘汰，只需求个人微信号，感谢理解！提交任务的时候请上传三张截图：第一张是您微信号截图，点击微信菜单“我”然后截图。第二张是通讯录拉到底显示的好友数截图，好友人数需大于300人。第三张是您转发至朋友圈24小时后截图。 朋友圈转发内容是图片加文字，文字如下:AI智能算面相，算手相，真的好准，好好玩！,任务编号：878908,"个人 |            
            一颗冰心",路易十三家,桃花园记,o5ca05a9086915,"个人 |            
            会飞的梦","个人 |            
            小小羊的店",o5e68532734e4b,,,
【微信推广】朋友圈转发5元一条，简单好赚.,https://task.epwk.com/878433/,1517人,35人,¥500,o5f10****76541,￥ 500,￥500,2020.07.16,推广人群：营销微信号，僵死号无效，请勿交稿，需个人常用微信号，好友数大于500人。任务需求：1、朋友圈设置所有人可见，该条朋友圈必须对所有好友可见。2、朋友圈至少保留24小时（交稿的图片需要显示是24小时之前发布的，如未满时间就提交截图交稿则无效）。3、每个一品威客账号和微信账号只能参与一次，重复无效。微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核;4、转发内容为文字+图片！文字内容和 图片必须全部转发出去，每稿都要有！5、朋友圈内容截图需显示完整，包括配图文字，所有截图最上面需显示手机上面的时间。6、使用同一数字字母组合的微信号，营销号进行批量推广的判定为无效号，也会淘汰，只需求个人微信号，感谢理解！7、一个一品账户仅限交稿一次提交任务的时候请上传三张截图：第一张是您微信号截图，点击微信菜单“我”然后截图。第二张是通讯录拉到底显示的好友数截图，好友人数需大于500人。第三张是您转发至朋友圈24小时后截图。文字内容如下：分享个朋友在做的好项目给大家，大家把握机会，阿里巴巴上市公司，阿里巴巴在，采源宝在，感兴趣的加他，还有丰厚的团队扶持哦~,任务编号：878433,mf189****8909,四川曾先生,乔伊伊,wyfxa,"个人 |            
            denglong",yuesine,"个人 |            
            denglong",安美人,可可谷谷,"工作室 |            
            luo0710"
"【微信推广】简单高价微信群发好友,4元/单！可多做！",https://task.epwk.com/877773/,1986人,19人,¥500,o5ee86a0f2e1c6,￥ 500,￥168,2020.07.14,推广人群：不限营销微信号，僵死号无效，请勿交稿，需个人常用微信号，好友数大于1000人。可多做！1.请记住你最后选的第200人的名字，这样发下一个200人的时候，你知道从哪里开始。2.发重了，不审核。每人可以多做，只审核群发200人。每群发200人为一稿！3.内容为文字+图片！文字内容和 1张图片必须全部群发发出去！每稿都要有4.内容见转发文章内容  图片见附件 文字内容:     抱歉，这是一条广告在家不想做饭外卖满足你的胃需求上饿了么/美团外卖店外卖先领优惠券再下单，最高可领66元！省下来的钱买奶茶不香吗？PS：优惠券每日可无限次数领取！审核标准：所有截图最上面必须显示手机上面的时间1、微信群发内容截图（群发内容显示完整的文字+图片）2、“我”微信截图3、提交好友人数截图（微信通讯录下拉到底，可以看到“xxx位联系人”）,任务编号：877773,mf189****8909,mf159****8041,mf159****8041,可可谷谷,可可谷谷,悠然一品,可可谷谷,qwepoi2008,qwepoi2008,qwepoi2008
【APP推广】简单APP下载注册，一单3元,https://task.epwk.com/877267/,1149人,12人,¥501,失落之城,￥ 501,￥36,2020.07.12,第一步，下载“快手极速版”可扫下方二维码下载或在应用市场搜索下载，第二步，注册登录，点击“左上角菜单三道杠”--“去赚钱”--填写邀请码：657731797 （需截图）第三步然后看三分钟左右的视频，必须得看完五到六个小视频左右，交稿格式：图2填写邀请码界面截图，图3获得金币奖励截图，图4包含用户昵称的界面图，注：仅限第一次下载快手极速的新用户，为防止刷号，每个一品账号仅限提交一次稿件，谢谢。如有不清楚可以私聊我或者加VX：xy52ss 光注册是不行的请大家按照要求完成任务，就一定会通过的，不要只填邀请码哟，谢谢。,任务编号：877267,o5f0a7b22d702d,o5f0e515bed784,lsl8832162,zzz175130,o5f1064ffc57c7,布偶先生,Powermint,o5f12bfb744320,any樊少,o5f12fc251c44c
【APP推广】值盟APP注册下载，可长期外包,https://task.epwk.com/877274/,1703人,39人,¥600,yyf74269,￥ 600,￥297,2020.07.12,值盟：是一款对接淘宝、京东、拼多多，唯品会，美团等网上商城的购物返利软件。在淘宝京东拼多多各大网购平台，都有内部优惠券，还有商家设置的高额佣金。佣金秒杀市场上绝大部分返利APP，在应用商店下载【值盟】邀请码111，即可开通推广者身份，不仅自己购物省钱，还能推广赚钱，真的很实惠。PS：值盟里面还有隐藏小福利哦任务要求：下载值盟APP并注册登陆即可。第一步：值盟下载链接：https://dwz.cn/pyz6Zegd111邀请码：111（复制网址到微信聊天框里打开。或者微信扫描附件二维码下载APP也可以。第二步：手机号注册下载，绑定微信即可交稿。交稿：提供注册手机号及推荐人截图（推荐人邀请码一定是111才给合格），一定是2020年7月份后注册的新用户才给合格。交稿后拿佣金3元。备注：一个一品威客账户只能参加一次，不清楚的可以加V咨询,任务编号：877274,"工作室 |            
            luo0710","个人 |            
            slosao","个人 |            
            一颗冰心",wyfxa,o5d1593ea18754,cccmmma,feng0aee0,"工作室 |            
            小小龙儿","个人 |            
            慕容苓泽",yuesine
【公众号推广】关注微信公众号并转发一个文章到朋友圈即可得5元,https://task.epwk.com/877019/,2077人,51人,¥500,o5f087eeb722dc,￥ 500,￥84.28,2020.07.11,任务要求：1、先关注公众号“富聚知识”，可以搜索也可以扫描附件二维码，截稿之前不可取消关注。转发公众号的文章并配文。2、朋友圈转发内容是文章+文字，文字内容是：“富聚知识即可以学习也可以赚取两级佣金！”审核要求：1、微信好友人数大于500人，（营销号，小号，无效好友的视为不合格）不可屏蔽分组、不可设置观看权限（加微FUJU178，微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核）；2、朋友圈保留24小时以上（交稿的图片需显示是24小时之前发布的，如未满时间就提交截图视为无效）；3、朋友圈内容截图需显示完整，包括配图文字，所有截图最上面需显示手机上面的时间；4、每个一品威客账号和微信账号只能参与一次，重复无效；5、使用同一数字 字母组合的微信号，营销号进行批量推广的判定为无效号，也会淘汰，只需求个人微信号，感谢理解！提交任务要求：提交上传四张图：第一张是关注图的截图；第二张是微信号截图，点击“我”然后截图；第三张是好友数量截图；第四张是您转发朋友圈后的截图。,任务编号：877019,o5d1593ea18754,"个人 |            
            denglong",wyfxa,qwepoi2008,四川曾先生,feng0aee0,"个人 |            
            slosao",安美人,"工作室 |            
            luo0710",yuesine
