标题,browser,字段1,价格,status,字段2
【品牌策划】品牌全案,149人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】医药品包装,285人,1人,¥35000,圆满完成,直接雇佣
【微信推广】微信H5定制开发交互设计ih5认证设计师微信推广,186人,1人,¥20000,圆满完成,直接雇佣
【微信推广】五一主题微信h5定制开发,159人,1人,¥20000,圆满完成,直接雇佣
【微信代运营】微信代运营,186人,1人,¥3900,圆满完成,直接雇佣
【品牌策划】品牌全案,127人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案,84人,1人,¥2500,圆满完成,直接雇佣
【微信代运营】品牌全案,143人,1人,¥4300,圆满完成,直接雇佣
【微信代运营】微信代运营,223人,1人,¥2400,圆满完成,直接雇佣
【品牌策划】品牌全案,101人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】上席河鲜,357人,1人,¥38000,圆满完成,直接雇佣
【品牌策划】御府家宴,187人,1人,¥37500,圆满完成,直接雇佣
【APP推广】百度百科,322人,1人,¥3500,圆满完成,直接雇佣
【APP推广】品牌全案,132人,1人,¥4200,圆满完成,直接雇佣
【微信代运营】微信代运营,142人,1人,¥4200,圆满完成,直接雇佣
【微信代运营】微信代运营,99人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案,97人,1人,¥2500,圆满完成,直接雇佣
【微信推广】五一主题H5微信设计定制,382人,1人,¥20000,圆满完成,直接雇佣
【微博营销】艺龙旅游消费话题影响方案,696人,1人,¥2300,圆满完成,直接雇佣
【微信代运营】微信代运营,158人,1人,¥5700,圆满完成,直接雇佣
【微信代运营】微信代运营,130人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案,143人,1人,¥2500,圆满完成,直接雇佣
【微信代运营】微信代运营,198人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,132人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】鱼头火锅,183人,1人,¥20000,圆满完成,直接雇佣
【微信代运营】微信代运营,145人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案,139人,1人,¥2500,圆满完成,直接雇佣
,,,,,
【活动策划】清明营销方案,417人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案,138人,1人,¥4300,圆满完成,直接雇佣
【微信代运营】微信代运营,111人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案,84人,1人,¥3500,圆满完成,直接雇佣
【微信代运营】微信代运营,101人,1人,¥2200,圆满完成,直接雇佣
【品牌策划】品牌全案,281人,1人,¥2800,圆满完成,直接雇佣
【微信代运营】微信公众号关注/公众号关注/微信买粉/微信运营推广丝,581人,1人,¥240,圆满完成,直接雇佣
【微信代运营】微信公众号关注/公众号关注/微信买粉/微信运营推广丝,355人,1人,¥65,圆满完成,直接雇佣
【微信推广】微信H5定制开发交互设计ih5认证设计师微信推广,568人,1人,¥80000,圆满完成,直接雇佣
【品牌策划】珠宝品牌策划,399人,1人,¥7000,圆满完成,直接雇佣
【品牌策划】果酒品牌策划,280人,1人,¥8000,圆满完成,直接雇佣
【微信代运营】微信代运营,110人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案,142人,1人,¥3500,圆满完成,直接雇佣
【微信代运营】微信代运营微信,141人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,127人,1人,¥2500,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计ih5认证设计师,202人,1人,¥15000,圆满完成,直接雇佣
【品牌策划】大米的品牌故事,213人,1人,¥3000,圆满完成,直接雇佣
【产品推广】电话营销 呼叫中心-AI智能电话语音机器人,280人,1人,¥7800,圆满完成,直接雇佣
【产品推广】电话营销 呼叫中心-AI智能电话语音机器人,269人,1人,¥15800,圆满完成,直接雇佣
【品牌策划】品牌全案,96人,1人,¥1800,圆满完成,直接雇佣
【微信代运营】微信代运营,121人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】商业计划书,86人,1人,¥4800,圆满完成,直接雇佣
【品牌策划】品牌全案,103人,1人,¥2600,圆满完成,直接雇佣
【微信代运营】微信代运营,175人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,97人,1人,¥3500,圆满完成,直接雇佣
【APP推广】品牌官网推广托管,277人,1人,¥4987,圆满完成,直接雇佣
【微信推广】微信朋友圈转发，直发，公众号关注，点赞，阅读，微信群,381人,1人,¥100,圆满完成,直接雇佣
【品牌策划】农产品品牌策划，包装创意,346人,1人,¥10000,圆满完成,直接雇佣
【微信推广】微信朋友圈转发，直发，公众号关注，点赞，阅读，微信群,336人,1人,¥100,圆满完成,直接雇佣
【品牌策划】品牌全案,96人,1人,¥6700,圆满完成,直接雇佣
,,,,,
【微信代运营】微信代运营,117人,1人,¥2100,圆满完成,直接雇佣
【品牌策划】品牌全案,84人,1人,¥4200,圆满完成,直接雇佣
【微信代运营】微信代运营,134人,1人,¥2800,圆满完成,直接雇佣
【网站优化方案】网站定制开发/网站二次开发/网站优化,171人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案,86人,1人,¥2500,圆满完成,直接雇佣
【信息流】粉丝,875人,1人,¥20,圆满完成,直接雇佣
【产品试用】商品调研,1282人,1人,¥5000,圆满完成,直接雇佣
【活动策划】清明线上推广方案,368人,1人,¥5000,圆满完成,直接雇佣
【品牌策划】品牌策划,87人,1人,¥5000,圆满完成,直接雇佣
【微信代运营】微信代运营,113人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】品牌全案,125人,1人,¥2500,圆满完成,直接雇佣
【微信推广】愚人节微信H5主题定制,179人,1人,¥20000,圆满完成,直接雇佣
【品牌策划】品牌全案,175人,1人,¥3700,圆满完成,直接雇佣
【品牌策划】活动策划,63人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】商业计划书,159人,1人,¥4200,圆满完成,直接雇佣
【品牌策划】品牌全案,68人,1人,¥3500,圆满完成,直接雇佣
【网站优化方案】网站更新维护,521人,1人,¥650,圆满完成,直接雇佣
【微信代运营】增加微信好友关注公众号,574人,1人,¥90,圆满完成,直接雇佣
【品牌策划】品牌全案,87人,1人,¥3500,圆满完成,直接雇佣
【信息流】朋友圈广告,1016人,1人,¥5000,圆满完成,直接雇佣
【品牌策划】品牌全案,82人,1人,¥5700,圆满完成,直接雇佣
【微信代运营】微信代运营,86人,1人,¥3500,圆满完成,直接雇佣
【网店推广】全网整合营销,247人,1人,¥3800,圆满完成,直接雇佣
【品牌策划】品牌全案,103人,1人,¥3500,圆满完成,直接雇佣
【微信代运营】微信代运营,95人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌全案,111人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,89人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案,75人,1人,¥2300,圆满完成,直接雇佣
【微信代运营】微信代运营,147人,1人,¥5200,圆满完成,直接雇佣
【网店推广】全网整合营销,252人,1人,¥6800,圆满完成,直接雇佣
,,,,,
【品牌策划】品牌全案,76人,1人,¥3500,圆满完成,直接雇佣
【活动策划】品牌全案品牌故事品牌策划方案公司简介产品广告语撰写微信招商文案公众号,623人,1人,¥500,圆满完成,直接雇佣
【视频推广】品牌推广,535人,1人,¥5000,圆满完成,直接雇佣
【活动策划】清明主题推广方案和物料视觉设计,367人,1人,¥5000,圆满完成,直接雇佣
【品牌策划】品牌全案,129人,1人,¥3400,圆满完成,直接雇佣
【微信代运营】微信代运营,210人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案,131人,1人,¥5500,圆满完成,直接雇佣
【网店推广】全网整合营销,258人,1人,¥7800,圆满完成,直接雇佣
【品牌策划】品牌全案,107人,1人,¥4500,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计ih5认证设计师微,412人,1人,¥20000,圆满完成,直接雇佣
【微信推广】微信转发/微信朋友圈转发/微信直发/朋友圈转发/朋友圈直发,199人,1人,¥250,圆满完成,直接雇佣
【品牌策划】品牌全案,88人,1人,¥3100,圆满完成,直接雇佣
【微信代运营】微信代运营,132人,1人,¥2200,圆满完成,直接雇佣
【微信代运营】商业计划书,122人,1人,¥4200,圆满完成,直接雇佣
【微信代运营】品牌全案,101人,1人,¥4600,圆满完成,直接雇佣
【APP推广】微信代运营,306人,1人,¥4600,圆满完成,直接雇佣
【APP推广】百度百科,179人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】商业计划书,114人,1人,¥4300,圆满完成,直接雇佣
【品牌策划】品牌全案,72人,1人,¥3500,圆满完成,直接雇佣
【微信推广】微信公众号推广微信推广微信粉丝微信群转发微信朋友圈转发,181人,1人,¥1000,圆满完成,直接雇佣
【微信推广】微信H5定制开发交互设计ih5认证设计师微信推广,258人,1人,¥6400,圆满完成,直接雇佣
【APP推广】扫码下载注册,311人,1人,¥800,圆满完成,直接雇佣
【品牌策划】品牌全案,123人,1人,¥2900,圆满完成,直接雇佣
【网店推广】全网整合,262人,1人,¥4800,圆满完成,直接雇佣
【APP推广】百度百科,143人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案,105人,1人,¥2800,圆满完成,直接雇佣
【微信代运营】微信代运营,125人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,88人,1人,¥3500,圆满完成,直接雇佣
【微信推广】微信H5定制开发交互设计ih5认证设计师微信推广,158人,1人,¥30000,圆满完成,直接雇佣
【微信推广】愚人节主题h5主题设计,207人,1人,¥35000,圆满完成,直接雇佣
,,,,,
【微信推广】微信公众号,103人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案,79人,1人,¥3500,圆满完成,直接雇佣
【微信推广】微信公众号,118人,1人,¥2800,圆满完成,直接雇佣
【微信推广】要求已经通过微信发送,462人,1人,¥400,圆满完成,直接雇佣
【微信推广】微信公众号推广微信推广,153人,1人,¥690,圆满完成,直接雇佣
【活动策划】网络销售策划,614人,1人,¥30000,圆满完成,直接雇佣
【微信推广】微信公众号代运营,166人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,169人,1人,¥1800,圆满完成,直接雇佣
【品牌策划】品牌全案,95人,1人,¥2500,圆满完成,直接雇佣
【网店推广】全网整合营销,230人,1人,¥4800,圆满完成,直接雇佣
【微信推广】微信公众号,99人,1人,¥3300,圆满完成,直接雇佣
【品牌策划】品牌全案,134人,1人,¥4500,圆满完成,直接雇佣
【微信推广】微信转发/微信朋友圈转发/微信直发/朋友圈转发/朋友圈直发,493人,1人,¥218,圆满完成,直接雇佣
【微信推广】微信H5定制开发交互设计ih5认证设计师微信推广,178人,1人,¥50000,圆满完成,直接雇佣
【微信推广】增加粉丝,312人,1人,¥300,圆满完成,直接雇佣
【品牌策划】品牌全案,74人,1人,¥2600,圆满完成,直接雇佣
【品牌策划】品牌全案,81人,1人,¥3200,圆满完成,直接雇佣
【网店推广】全网整合营销,154人,1人,¥2800,圆满完成,直接雇佣
【微信推广】微信公众号,100人,1人,¥1800,圆满完成,直接雇佣
【品牌策划】品牌全案,85人,1人,¥2700,圆满完成,直接雇佣
【微信推广】微信H5主题定制,127人,1人,¥20000,圆满完成,直接雇佣
【微信代运营】微信代运营,105人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】品牌全案,128人,1人,¥3200,圆满完成,直接雇佣
【微信代运营】微信代运营,163人,1人,¥2600,圆满完成,直接雇佣
【网店推广】全网整合营销,293人,1人,¥2830,圆满完成,直接雇佣
【品牌策划】品牌全案,80人,1人,¥2600,圆满完成,直接雇佣
【关键词优化】小程序分销版（含一次性定制费1500）,293人,1人,¥5496,圆满完成,直接雇佣
【关键词优化】智慧餐饮小程序版（含一次性定制费1500元）,305人,1人,¥5099,圆满完成,直接雇佣
【关键词优化】网站优化 SEO优化千城千站SEO站群优化系统（标准版）,360人,1人,¥9800,圆满完成,直接雇佣
【微信代运营】微信代运营,164人,1人,¥2900,圆满完成,直接雇佣
,,,,,
【微信代运营】全网整合营销,160人,1人,¥4300,圆满完成,直接雇佣
【微信代运营】微信代运营,105人,1人,¥1500,圆满完成,直接雇佣
【微信代运营】品牌全案,219人,1人,¥3200,圆满完成,直接雇佣
【网店推广】全网整合营销,214人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案,56人,1人,¥2600,圆满完成,直接雇佣
【公众号推广】公众号推广,785人,1人,¥50,圆满完成,直接雇佣
【关键词优化】外贸网站seo优化,422人,1人,¥22000,圆满完成,直接雇佣
【活动策划】线上疫情营销方案,1536人,1人,¥5000,圆满完成,直接雇佣
【产品推广】继续上次的任务二期,460人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌故事,71人,1人,¥1300,圆满完成,直接雇佣
【微信代运营】微信代运营,99人,1人,¥2800,圆满完成,直接雇佣
【网店推广】全网整合营销,284人,1人,¥4800,圆满完成,直接雇佣
【品牌策划】品牌全案,131人,1人,¥3600,圆满完成,直接雇佣
【网店推广】全网整合营销,259人,1人,¥3200,圆满完成,直接雇佣
【微信代运营】微信代运营,124人,1人,¥1800,圆满完成,直接雇佣
【品牌策划】品牌策划案，产品招商手册设计,220人,1人,¥4980,圆满完成,直接雇佣
【微信推广】朋友圈直发,502人,1人,¥70,圆满完成,直接雇佣
【网店推广】全网整合营销,273人,1人,¥3400,圆满完成,直接雇佣
【品牌策划】商业计划书,83人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】品牌全案,80人,1人,¥2800,圆满完成,直接雇佣
【微信推广】朋友圈直发,441人,1人,¥98,圆满完成,直接雇佣
【关键词优化】网站优化 SEO优化网站推广SEO站群优化系统（高级版）,210人,1人,¥18000,圆满完成,直接雇佣
【产品推广】电话营销 呼叫中心-AI智能电话语音机器人,268人,1人,¥15800,圆满完成,直接雇佣
【品牌策划】品牌全案,117人,1人,¥2500,圆满完成,直接雇佣
【微信推广】微信H5定制开发交互设计ih5认证设计师微信推广,130人,1人,¥20000,圆满完成,直接雇佣
【网店推广】全网整合营销,249人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】品牌全案,108人,1人,¥2600,圆满完成,直接雇佣
【微信推广】朋友圈直发,260人,1人,¥98,圆满完成,直接雇佣
【微信推广】朋友圈直发,381人,1人,¥98,圆满完成,直接雇佣
【品牌策划】小程序,389人,1人,¥66000,圆满完成,直接雇佣
,,,,,
【微信推广】情人节主题微信h5设计定制.数量7，售后晓晓跟进,285人,1人,¥35000,圆满完成,直接雇佣
【微信推广】【微信H5】情人节微信H5定制开发交互设计ih5,332人,1人,¥60000,圆满完成,直接雇佣
【信息流】blued粉丝blued加粉,668人,1人,¥20,圆满完成,直接雇佣
【微信推广】微信个人朋友圈转发,607人,1人,¥100,圆满完成,直接雇佣
【信息流】blued粉丝blued加粉20元=1000粉(好评在送,1502人,1人,¥20,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计微信推广,241人,1人,¥20000,圆满完成,直接雇佣
【信息流】blued粉丝blued加粉,839人,1人,¥20,圆满完成,直接雇佣
【品牌策划】品牌全案,134人,1人,¥4100,圆满完成,直接雇佣
【网店推广】全网整合营销,261人,1人,¥4800,圆满完成,直接雇佣
【品牌策划】品牌全案,149人,1人,¥3500,圆满完成,直接雇佣
【网店推广】全网整合营销,317人,1人,¥4200,圆满完成,直接雇佣
【品牌策划】品牌全案,145人,1人,¥5000,圆满完成,直接雇佣
【活动策划】品牌策划案,643人,1人,¥7600,圆满完成,直接雇佣
【活动策划】教育机构全面营销活动方案,670人,1人,¥7810,圆满完成,直接雇佣
【微信代运营】微信加粉 微信推广加好友 100元加1000微信好友,457人,1人,¥50,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计ih5认证设计师,205人,1人,¥20000,圆满完成,直接雇佣
【产品推广】blued关注营销推广,374人,1人,¥10,圆满完成,直接雇佣
【微信推广】淘淘推广,233人,1人,¥2000,圆满完成,直接雇佣
【口碑营销】百度营销,256人,1人,¥700,圆满完成,直接雇佣
【网店推广】全网整合营销,241人,1人,¥5300,圆满完成,直接雇佣
【品牌策划】品牌全案,233人,1人,¥2200,圆满完成,直接雇佣
【网店推广】全网整合营销,260人,1人,¥4200,圆满完成,直接雇佣
【品牌策划】品牌全案,130人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案,162人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案,167人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,303人,1人,¥3500,圆满完成,直接雇佣
【网店推广】全网整合营销,287人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】品牌全案,156人,1人,¥3500,圆满完成,直接雇佣
【微信推广】微信群邀请 微信群加人 微信群营销 微信群拉人,467人,1人,¥100,圆满完成,直接雇佣
【品牌策划】品牌全案,96人,1人,¥2500,圆满完成,直接雇佣
,,,,,
【品牌策划】品牌全案,160人,1人,¥4500,圆满完成,直接雇佣
【网店推广】全网整合营销,132人,1人,¥8500,圆满完成,直接雇佣
【网店推广】全网整合营销,144人,1人,¥9500,圆满完成,直接雇佣
【品牌策划】品牌全案,95人,1人,¥7500,圆满完成,直接雇佣
【产品推广】电话营销 呼叫中心-AI智能电话语音机器人,351人,1人,¥9460,圆满完成,直接雇佣
【网店推广】全网整合营销,210人,1人,¥9600,圆满完成,直接雇佣
【品牌策划】品牌全案品,93人,1人,¥6500,圆满完成,直接雇佣
【APP推广】百度问答发布,704人,1人,¥4000,圆满完成,直接雇佣
【网店推广】全网整合营销,187人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】活动策划案,139人,1人,¥4300,圆满完成,直接雇佣
【品牌策划】品牌全案,97人,1人,¥6500,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计,219人,1人,¥50000,圆满完成,直接雇佣
【品牌策划】品牌全案,79人,1人,¥4200,圆满完成,直接雇佣
【网店推广】全网整合营销,184人,1人,¥5200,圆满完成,直接雇佣
【品牌策划】品牌全案,162人,1人,¥4300,圆满完成,直接雇佣
【APP推广】任务简单，易操作,357人,1人,¥100,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计ih5认证设计师微,156人,1人,¥20000,圆满完成,直接雇佣
【信息流】媒体宣传,721人,1人,¥5600,圆满完成,直接雇佣
【信息流】软文需要发布,598人,1人,¥5000,圆满完成,直接雇佣
【微信推广】易社保1月8日活动微信群推广,197人,1人,¥1000,圆满完成,直接雇佣
【品牌策划】品牌全案,127人,1人,¥5200,圆满完成,直接雇佣
【品牌策划】品牌全案,95人,1人,¥5800,圆满完成,直接雇佣
【网店推广】全网整合营销,147人,1人,¥7200,圆满完成,直接雇佣
【品牌策划】品牌全案,109人,1人,¥4500,圆满完成,直接雇佣
【信息流】媒体发布,479人,1人,¥500,圆满完成,直接雇佣
【网店推广】全网整合营销,122人,1人,¥6500,圆满完成,直接雇佣
【品牌策划】品牌全案,109人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案,129人,1人,¥7600,圆满完成,直接雇佣
【网店推广】全网整合营销,105人,1人,¥8500,圆满完成,直接雇佣
【品牌策划】品牌全案,112人,1人,¥7500,圆满完成,直接雇佣
,,,,,
【网店推广】全网整合营销,108人,1人,¥9500,圆满完成,直接雇佣
【品牌策划】品牌全案,79人,1人,¥6500,圆满完成,直接雇佣
【品牌策划】植发相关品牌故事,455人,1人,¥5000,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计ih5认证设计师,201人,1人,¥15000,圆满完成,直接雇佣
【微信推广】微信推广,157人,1人,¥1000,圆满完成,直接雇佣
【品牌策划】品牌全案,102人,1人,¥5500,圆满完成,直接雇佣
【网店推广】全网整合营销,144人,1人,¥7800,圆满完成,直接雇佣
【微信代运营】公众号代运营,277人,1人,¥6300,圆满完成,直接雇佣
【网店推广】商业计划书,188人,1人,¥4300,圆满完成,直接雇佣
【网店推广】全网整合营销,126人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案,137人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案,121人,1人,¥6500,圆满完成,直接雇佣
【网店推广】全网整合营销,147人,1人,¥8500,圆满完成,直接雇佣
【网店推广】活动策划,160人,1人,¥3600,圆满完成,直接雇佣
【品牌策划】品牌全案,92人,1人,¥4500,圆满完成,直接雇佣
【微信推广】表决的事情,725人,1人,¥130,圆满完成,直接雇佣
【微信推广】表决的事情,264人,1人,¥65,圆满完成,直接雇佣
【网站优化方案】营销推广,332人,1人,¥1000,圆满完成,直接雇佣
【品牌策划】品牌全案,138人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】活动策划,112人,1人,¥4400,圆满完成,直接雇佣
【品牌策划】商业计划书,140人,1人,¥4300,圆满完成,直接雇佣
【品牌策划】品牌全案,111人,1人,¥4500,圆满完成,直接雇佣
【微信推广】表决的事情,173人,1人,¥325,圆满完成,直接雇佣
【微信推广】微信新媒体运营,168人,1人,¥65,圆满完成,直接雇佣
【品牌策划】品牌全案,77人,1人,¥2900,圆满完成,直接雇佣
【品牌策划】品牌全案,95人,1人,¥4500,圆满完成,直接雇佣
【网店推广】全网整合营销,129人,1人,¥4800,圆满完成,直接雇佣
【品牌策划】品牌全案,70人,1人,¥3500,圆满完成,直接雇佣
【网店推广】全网整合营销,151人,1人,¥3800,圆满完成,直接雇佣
【网店推广】品牌全案,78人,1人,¥3500,圆满完成,直接雇佣
,,,,,
【网店推广】商业计划书,169人,1人,¥3200,圆满完成,直接雇佣
【微信推广】我需要微信推广,163人,1人,¥1500,圆满完成,直接雇佣
【网店推广】全网整合营销,146人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】品牌全案,132人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌起名+品牌简介+品牌文化,509人,1人,¥1000,圆满完成,直接雇佣
【微信代运营】微信公众号代运营,278人,1人,¥23000,圆满完成,直接雇佣
【品牌策划】品牌全案,86人,1人,¥5200,圆满完成,直接雇佣
【口碑营销】全网整合营销,106人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案,82人,1人,¥3000,圆满完成,直接雇佣
【品牌策划】活动策划,88人,1人,¥3400,圆满完成,直接雇佣
【口碑营销】全网整合营销,117人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】商业计划,92人,1人,¥3300,圆满完成,直接雇佣
【品牌策划】品牌全案,153人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案,95人,1人,¥5200,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计ih5认证设计师,188人,1人,¥20000,圆满完成,直接雇佣
【品牌策划】品牌全案,95人,1人,¥4200,圆满完成,直接雇佣
【品牌策划】年会活动策划,88人,1人,¥4800,圆满完成,直接雇佣
【品牌策划】全网整合营销,130人,1人,¥7200,圆满完成,直接雇佣
【品牌策划】商业计划书,126人,1人,¥5500,圆满完成,直接雇佣
【品牌策划】品牌全案,130人,1人,¥4500,圆满完成,直接雇佣
【微信代运营】公众号代运营,658人,1人,¥60000,圆满完成,直接雇佣
【品牌策划】活动策划,192人,1人,¥2000,圆满完成,直接雇佣
【产品推广】闲鱼点赞评论留言我想要快速提升宝宝排名聚集人气,642人,1人,¥200,圆满完成,直接雇佣
【品牌策划】全网整合营销,87人,1人,¥4200,圆满完成,直接雇佣
【品牌策划】品牌全案,127人,1人,¥3400,圆满完成,直接雇佣
【品牌策划】活动策划,87人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】商业计划书,130人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案,69人,1人,¥2700,圆满完成,直接雇佣
【营销解决方案】【点创营销】大众点评代运营/大众点评营销,855人,1人,¥1200,圆满完成,直接雇佣
【活动策划】元旦活动策划,407人,1人,¥2500,圆满完成,直接雇佣
,,,,,
【微信代运营】游戏网站开发第二期,188人,1人,¥20000,圆满完成,直接雇佣
【微信代运营】优惠券APP开发,166人,1人,¥25000,圆满完成,直接雇佣
【微信代运营】公众号推广代运营第三期,217人,1人,¥33100,圆满完成,直接雇佣
【微信代运营】公众号推广代运营第二期,996人,1人,¥65900,圆满完成,直接雇佣
【品牌策划】商业计划书,103人,1人,¥4300,圆满完成,直接雇佣
【品牌策划】品牌全案,63人,1人,¥3500,圆满完成,直接雇佣
【网站优化方案】网站优化 SEO优化 网站推，站群优化系统,208人,1人,¥9800,圆满完成,直接雇佣
【品牌策划】全网整合营销,130人,1人,¥7200,圆满完成,直接雇佣
【品牌策划】品牌全案,99人,1人,¥3400,圆满完成,直接雇佣
【品牌策划】全网整合营销,105人,1人,¥5800,圆满完成,直接雇佣
【品牌策划】活动策划,143人,1人,¥2300,圆满完成,直接雇佣
【网店推广】商业计划书,131人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】活动策划,155人,1人,¥1800,圆满完成,直接雇佣
【网店推广】品牌全案,75人,1人,¥2400,圆满完成,直接雇佣
【品牌策划】商业计划书,104人,1人,¥3000,圆满完成,直接雇佣
【网店推广】全网整合营销,108人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案,127人,1人,¥2600,圆满完成,直接雇佣
【品牌策划】品牌全案,92人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,62人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】活动策划,70人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案,70人,1人,¥2500,圆满完成,直接雇佣
【关键词优化】网站优化 SEO优化 网站推广,301人,1人,¥9800,圆满完成,直接雇佣
【微信推广】【微信H5】微信H5定制开发交互设计ih5认证设计师,181人,1人,¥20000,圆满完成,直接雇佣
【网店推广】logo设计,119人,1人,¥500,圆满完成,直接雇佣
【网店推广】活动策划,119人,1人,¥1800,圆满完成,直接雇佣
【网店推广】全网整合营销,144人,1人,¥2800,圆满完成,直接雇佣
【网店推广】商业计划书,87人,1人,¥2300,圆满完成,直接雇佣
【网店推广】品牌全案,174人,1人,¥2500,圆满完成,直接雇佣
【网店推广】全网整合营销,117人,1人,¥2600,圆满完成,直接雇佣
【网店推广】活动策划,118人,1人,¥2300,圆满完成,直接雇佣
,,,,,
【网店推广】全网整合营销,126人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案,70人,1人,¥2500,圆满完成,直接雇佣
【信息流】产品推广营销第二期,714人,1人,¥36000,圆满完成,直接雇佣
【信息流】产品推广营销,840人,1人,¥63900,圆满完成,直接雇佣
【微信代运营】微信群转发推广,199人,1人,¥300,圆满完成,直接雇佣
【品牌策划】活动策划,111人,1人,¥1800,圆满完成,直接雇佣
【品牌策划】商业计划书,74人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】品牌全案,63人,1人,¥2600,圆满完成,直接雇佣
【品牌策划】品牌故事,107人,1人,¥600,圆满完成,直接雇佣
【品牌策划】活动策划,86人,1人,¥800,圆满完成,直接雇佣
【品牌策划】公司简介,127人,1人,¥500,圆满完成,直接雇佣
【品牌策划】活动策划,118人,1人,¥800,圆满完成,直接雇佣
【品牌策划】品牌故事,131人,1人,¥600,圆满完成,直接雇佣
【品牌策划】logo设计,122人,1人,¥480,圆满完成,直接雇佣
【品牌策划】logo设计,180人,1人,¥500,圆满完成,直接雇佣
【品牌策划】logo设计,154人,1人,¥480,圆满完成,直接雇佣
【品牌策划】品牌全案,127人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】活动策划,158人,1人,¥2600,圆满完成,直接雇佣
【品牌策划】开业活动策划,84人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】商业计划书,101人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】品牌全案,82人,1人,¥2600,圆满完成,直接雇佣
【关键词优化】关键词搜索优化,700人,1人,¥49000,圆满完成,直接雇佣
【APP推广】qq群僵尸人qq群拉假人qq群僵尸人qq群新媒体运营qq群门面人,2141人,1人,¥10,圆满完成,直接雇佣
