标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【APP开发】即时通讯APP开发,https://task.epwk.com/1029808/,593人,1人,¥3600,圆满完成,,o5a93cbb8d84c7,即时通讯APP开发，原生android、uniapp、web端均已开发测试完成。缺flutter端，接口都是现成的，参照了现有的android端开发就行，要求flutter技术熟练，新手勿扰。,2023-02-17,2023.02.22,任务编号：1029808,3600.0,60天,山东省-淄博市,淄博嘉朵网络科技有限公司,https://shop.epwk.com/2j5xog8yk5xm/,淄博嘉朵网络科技有限公司,出售服务,https://shop.epwk.com/2j5xog8yk5xm/chushou/,企业,一品,65分,总 60 次中标，交易总金额,￥27.79万,淄博嘉朵网络科技有限公司,,淘宝主图详情页,"￥800
            /起",小程序界面设计,"￥1899
            /起",APP界面设计,"￥1899
            /起",网页设计服务,"￥1899
            /起",,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】人事管理APP开发（第三笔费用）,https://task.epwk.com/1029776/,160人,1人,¥7600,圆满完成,,vitorru,"项目:人事管理APP开发（第三笔费用）地区:江苏,淮安市需求:人事管理APP开发，雇主要做一个人事大全app，已确定合作，按双方事先沟通好的要求来做，合作愉快",2023-02-17,2024.01.03,任务编号：1029776,7600.0,70天,江苏省-徐州市,澜海科技,https://shop.epwk.com/0jnekep34nv3/,澜海科技,出售服务,https://shop.epwk.com/0jnekep34nv3/chushou/,企业,三品,53分,,,澜海科技,,企业推广、关键词优化,"￥1000
            /次",企业VI设计,"￥500
            /起",logo设计、商标设计,"￥200
            /起",网站开发、网站建设,"￥1000
            /年",小程序定制开发,"￥2000
            /起",APP开发/APP定制,"￥5000
            /起",,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】人事管理APP开发（第二笔）,https://task.epwk.com/1029774/,68人,1人,¥7600,圆满完成,,vitorru,"项目:人事管理APP开发（第二笔费用）地区:江苏,淮安市需求:人事管理APP开发，雇主要做一个人事大全app，已确定合作，按双方事先沟通好的要求来做，合作愉快",2023-02-17,2023.03.24,任务编号：1029774,7600.0,70天,江苏省-徐州市,澜海科技,https://shop.epwk.com/0jnekep34nv3/,澜海科技,出售服务,https://shop.epwk.com/0jnekep34nv3/chushou/,企业,三品,53分,,,澜海科技,,企业推广、关键词优化,"￥1000
            /次",企业VI设计,"￥500
            /起",logo设计、商标设计,"￥200
            /起",网站开发、网站建设,"￥1000
            /年",小程序定制开发,"￥2000
            /起",APP开发/APP定制,"￥5000
            /起",,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】人事管理APP开发（第一笔费用）,https://task.epwk.com/1029773/,75人,1人,¥7600,圆满完成,,vitorru,"项目:人事管理APP开发（第一笔费用）地区:江苏,淮安市（服务商江苏或上海都行）需求:人事管理APP开发，雇主要做一个人事大全app，已确定合作，按双方事先沟通好的要求来做，合作愉快",2023-02-17,2023.02.17,任务编号：1029773,7600.0,70天,江苏省-徐州市,澜海科技,https://shop.epwk.com/0jnekep34nv3/,澜海科技,出售服务,https://shop.epwk.com/0jnekep34nv3/chushou/,企业,三品,53分,,,澜海科技,,企业推广、关键词优化,"￥1000
            /次",企业VI设计,"￥500
            /起",logo设计、商标设计,"￥200
            /起",网站开发、网站建设,"￥1000
            /年",小程序定制开发,"￥2000
            /起",APP开发/APP定制,"￥5000
            /起",,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】人事大全app开发（尾款）,https://task.epwk.com/1029756/,223人,1人,¥7600,圆满完成,,vitorru,需求:人事大全app开发，雇主要做一个人事大全app，想要先模板开发，计划明年2月份上线，其他详谈，要求服务商熟悉人事开发经验的。已确定合作，按双方事先沟通好的要求来做，合作愉快,2023-02-17,2024.03.08,任务编号：1029756,7600.0,70天,江苏省-徐州市,澜海科技,https://shop.epwk.com/0jnekep34nv3/,澜海科技,出售服务,https://shop.epwk.com/0jnekep34nv3/chushou/,企业,三品,53分,,,澜海科技,,企业推广、关键词优化,"￥1000
            /次",企业VI设计,"￥500
            /起",logo设计、商标设计,"￥200
            /起",网站开发、网站建设,"￥1000
            /年",小程序定制开发,"￥2000
            /起",APP开发/APP定制,"￥5000
            /起",,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】人事大全app开发（第四期）,https://task.epwk.com/1029755/,203人,1人,¥7600,圆满完成,,vitorru,需求:人事大全app开发，雇主要做一个人事大全app，想要先模板开发，计划明年2月份上线，其他详谈，要求服务商熟悉人事开发经验的。已确定合作，按双方事先沟通好的要求来做，合作愉快,2023-02-17,2024.02.04,任务编号：1029755,7600.0,70天,江苏省-徐州市,澜海科技,https://shop.epwk.com/0jnekep34nv3/,澜海科技,出售服务,https://shop.epwk.com/0jnekep34nv3/chushou/,企业,三品,53分,,,澜海科技,,企业推广、关键词优化,"￥1000
            /次",企业VI设计,"￥500
            /起",logo设计、商标设计,"￥200
            /起",网站开发、网站建设,"￥1000
            /年",小程序定制开发,"￥2000
            /起",APP开发/APP定制,"￥5000
            /起",,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【ERP系统】机电工厂简易ERP系统一期款,https://task.epwk.com/1029698/,104人,1人,¥4740,圆满完成,,vitorru,项目:机电工厂简易ERP系统称呼:苏先生地区:浙江温州市限温州需求:机电工厂简易ERP系统，根据自己的需求做，有类似的模板可以套用最好。限温州当地的技术公司沟通报价,2023-02-17,2023.02.17,任务编号：1029698,4740.0,30天,浙江省-温州市,赛特网络--专注20多年的网络增值服务商,https://shop.epwk.com/4rn8qq4z3ngm/,赛特网络--专注20多年的网络增值服务商,出售服务,https://shop.epwk.com/4rn8qq4z3ngm/chushou/,企业,一品,75分,总 115 次中标，交易总金额,￥149.9万,赛特网络--专注20多年的网络增值服务商,,物联网硬件开发,价格面议,物联网软件开发,价格面议,电商系统平台开发,价格面议,O2O类平台定制开发,价格面议,APP定制开发,价格面议,小程序定制开发,价格面议,电动汽车充电桩平台开发,价格面议,电动摩托车充电桩平台开发,价格面议,酒店无人售货机平台开发,价格面议,ERP系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP界面设计】表情包、进度条gif，要求在附件,https://task.epwk.com/1029628/,161人,1人,¥1000,圆满完成,,o60492b773d15d,任务简单：表情包、进度条gif可以找网络资源，符合要求即可，详细要求看附件,2023-02-16,2023.02.23,任务编号：1029628,1000.0,20天,湖北省-宜昌市,星雨设计,https://shop.epwk.com/2j5jjg9975pz/,星雨设计,出售服务,https://shop.epwk.com/2j5jjg9975pz/chushou/,企业,七品,43分,,,星雨设计,,电商主图+详情页设计,"￥2000
            /起",小程序界面设计,"￥2000
            /起",网站页面设计,"￥2000
            /起",APP界面设计,"￥2000
            /起",,,,,,,,,,,APP界面设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【H5开发】2个简单页面开发,https://task.epwk.com/1029622/,6838人,1人,¥800,圆满完成,,元宇智创,图片较多，联系我给你详细的需求。具体就是像短视频渠道加粉推广的广告一样，扫描一个二维码，进入到一个支付页，付完款可以查询自己的信息。开发这边只需要做支付页和查询页就行。,2023-02-16,2023.03.31,任务编号：1029622,300.0,3天,上海市-市辖区-浦东新区,上海沌创信息技术有限公司,https://shop.epwk.com/3gd2mv31pner/,上海沌创信息技术有限公司,出售服务,https://shop.epwk.com/3gd2mv31pner/chushou/,企业,五品,46分,,,上海沌创信息技术有限公司,,,,,,,,,,,,,,,,,,,,H5开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【企业官网】企业官网开发,https://task.epwk.com/1029473/,311人,1人,¥4000,圆满完成,,bjzhcbkj,企业官网开发，具体需求已和威客谈好，其他人无需联系，谢谢。,2023-02-15,2023.03.19,任务编号：1029473,4000.0,15天,广东省-深圳市-龙岗区,天新通软件开发公司,https://shop.epwk.com/qgdmjorxydke/,天新通软件开发公司,出售服务,https://shop.epwk.com/qgdmjorxydke/chushou/,企业,七品,43分,,,天新通软件开发公司,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【其他网站】简单3个页面的网页开发,https://task.epwk.com/1029416/,653人,2人,¥200,圆满完成,,过站不停,按附件中的图片样式制作3个页面，要求代码规整，方便二次修改。,2023-02-15,2023.02.18,任务编号：1029416,200.0,"2天,2天","河北省-邯郸市-邯山区,上海市-市辖区-浦东新区",邯郸市迅铭科技有限公司,https://shop.epwk.com/v0n1xwv9k57y/,邯郸市迅铭科技有限公司,出售服务,https://shop.epwk.com/v0n1xwv9k57y/chushou/,企业,九品,43分,,,邯郸市迅铭科技有限公司,,小程序定制开发解决方案,"￥3000
            /起",APP个性定制开发,"￥5000
            /起",,,,,,,,,,,,,,,其他网站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【小程序开发】开发小程序前端页面－不用写业务逻辑,https://task.epwk.com/1029420/,1124人,6人,¥7000,圆满完成,,o5c988162ef72a,小程序前端页面还原（在蓝湖）和对接后台接口（入参、展示数据基本操作）；四十个页面左右，附件中的首页和订单页是复杂一点的，其他页面更简单；所有业务都在后台处理，前端不用写后台，也不用写业务逻辑。要求：１、uniapp开发；２、具备ui能力，接受页面微调，可能会新增3-5个页面；３、会用git提交代码，为提高进度，每周五必须提交所有代码；４、验收时间(阳历)：3月20日所有功能要能测试通过，按时完成额外奖励1000元；最晚在3月26日要全部完成，若因服务商原因超过此日期才完成，雇主在付款时将扣除掉总金额的30%违约费。服务商还原所有页面后并对接好授权接口，预付1000元。对接时间：周-至周六(9点至18点)。,2023-02-15,2023.05.12,任务编号：1029420,7000.0,"20天,30天,20天,38天","山东省-菏泽市,河南省-洛阳市,山东省-淄博市,福建省-泉州市-丰泽区",山东乐其信息科技有限公司,https://shop.epwk.com/78dlj80w65lx/,山东乐其信息科技有限公司,出售服务,https://shop.epwk.com/78dlj80w65lx/chushou/,企业,五品,41分,,,山东乐其信息科技有限公司,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【小程序开发】预约上门安装的微信小程序开发  确定合作者,https://task.epwk.com/1029392/,354人,1人,¥5500,圆满完成,,k7303****70,项目:预约上门安装的微信小程序开发  确定合作者称呼:万先生地区:广东省湛江市（服务商地域不限）需求:预约上门安装的微信小程序开发，目前是个人要做，有营业执照，小程序按不同城市，预约下单等功能，模板定制未定预算:需要报价备注：微信是手机号【推广员任务许玲】,2023-02-15,2023.04.28,任务编号：1029392,5500.0,20天,北京市-北京市-通州区,祥云科技,https://shop.epwk.com/m7d7wzz1w5q8/,祥云科技,出售服务,https://shop.epwk.com/m7d7wzz1w5q8/chushou/,工作室,六品,58分,总 2 次中标，交易总金额,￥8025.00,祥云科技,,本地外包小程序,价格面议,物业管理小程序,价格面议,定制大头贴小程序,价格面议,本地上门家政服务,价格面议,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】MUI获取的uuid问题,https://task.epwk.com/1029343/,9463人,1人,¥200,圆满完成,,YWCHENG,"联想平板操作系统（Android 10） 1：mui通过官方getDeviceInfo获取的uuid，每个应用获取不一样，并且不同网络下获取不一样，想获取稳定相同的值function getDeviceInfo(){var clientid=''plus.device.getInfo({success:function(e){clientid=e.uuid;    mui.alert(clientid);      console.log('getDeviceInfo success: '+JSON.stringify(e));},fail:function(e){console.log('getDeviceInfo failed: '+JSON.stringify(e));}});}",2023-02-14,2023.10.27,任务编号：1029343,200.0,1天,河南省-郑州市-金水区,简然网络科技,https://shop.epwk.com/0z5o4x9zxnjq/,简然网络科技,出售服务,https://shop.epwk.com/0z5o4x9zxnjq/chushou/,企业,五品,43分,,,简然网络科技,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】嵌入式游戏软件开发（尾款）,https://task.epwk.com/1029336/,131人,1人,¥10000,圆满完成,,vitorru,"项目:嵌入式游戏软件开发地区:辽宁省,大连市需求:雇主公司主要做蓝莓相关的产品，鲜果和种植；想要做一个嵌入式软件，功能也是QQ农场，我们有一个自己的商城在微信公众号里，想把这个游戏嵌入到这个公众号里，锁定客户，这样的功能，就类似于QQ农场那样，需要有一个交互的这个环节，好友之间能偷菜，使坏那种的。我们主要是做蓝莓的，我们只种蓝莓的相关的一些东西，他这边果实成熟之后，可以兑换金币，或说其他的什么，再兑换我们商城的这个优惠券，所以说这个游戏可能需要跟我们商城这边衔接一下。想要看服务商以往做过的案例，工期越快越好。已确定合作，按双方事先沟通好的要求来做，合作愉快",2023-02-14,2023.02.15,任务编号：1029336,10000.0,10天,云南省-昆明市-五华区,互领科技（云南）有限公司,https://shop.epwk.com/78dlj2g395lx/,互领科技（云南）有限公司,出售服务,https://shop.epwk.com/78dlj2g395lx/chushou/,企业,四品,41分,,,互领科技（云南）有限公司,,OA系统开发,"￥29800
            /年",各类APP开发,"￥29800
            /年",互领云享SaaS软件,"￥19800
            /年",,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【小程序开发】商家B2B小程序开发（尾款）,https://task.epwk.com/1029327/,246人,1人,¥4000,圆满完成,,靓荐nk0wZ,需求:商家B2B小程序开发，已确定合作，按双方事先沟通好的要求来做，合作愉快,2023-02-14,2023.03.31,任务编号：1029327,4000.0,30天,辽宁省-大连市,大连思博网络科技有限公司,https://shop.epwk.com/m7d7wv82y5q8/,大连思博网络科技有限公司,出售服务,https://shop.epwk.com/m7d7wv82y5q8/chushou/,企业,二品,55分,,,大连思博网络科技有限公司,,知识付费｜网校+双端APP,"￥20000
            /起",APP定制开发｜APP开发｜服务类APP开发｜商城APP开发｜各类型APP平台开发,"￥2000
            /起",管理系统定制开发｜办公软件 OA 审批流管理｜各行业办公管理系统定制,"￥2000
            /起",直播开发｜APP直播｜网站直播｜小程序直播｜商城直播,"￥30000
            /起",微信开发 微信公众号 微信商城开发 微信小程序 H5定制开发,"￥2000
            /起",商城小程序开发｜直播小程序｜微信小程序定制开发,"￥2000
            /起",,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【网站二次开发】弘德燊盲盒抢购商城二次开发,https://task.epwk.com/1029312/,409人,2人,¥5000,圆满完成,,西部之星,一、待升级：1.盲盒抢购预约，取消押积分，预约后可抢多单。（修改预约机制，取消扣除押金抢单，因为目前抢不成功 押金也不退回，所以取消算了。取消预约次数，预约之后，可抢N单，不限制单量）。2.盲盒抢购请设置分享奖，分配方案为：盲盒利润分配办法直接分享奖、间接分享奖的分配办法：首发订单利润除以产品盲盒额度值乘以空盲盒额度再乘以分享奖发放比例（直推奖，间推奖无法实现，需要查看问题原因，首发订单利润“除以”产品盲盒额度值“乘以”空盲盒额度再乘以分享奖发放比例）。3.股东分红分配办法：首发盲盒订单利润减去每次订单发放分享奖额度再乘以80%用来加权分红（目前系统是按照首发订单的利润来分配的，要求升级为首发盲盒订单利润减去每次订单发放分享奖额度再乘以80%用来加权分红，剩余20%成为公司发展基金）。4.盲盒商品订单全额计入个人购物业绩和团队销售业绩，会员手机端帐户一次显示盲盒订单数为10单，超过10单不显示，老订单结束后，新订单补上。（目前盲盒系统状态产品订单是既没有计入个人购物业绩，也没有计入团队销售业绩。盲盒商品订单全额计入个人购物业绩和团队销售业绩）。5.商城购物时订单为一单时，分享奖和平台利润和分红额均正确，一次订购同类产品两单以上全部出错（例如售价100元，成本40元，用60元利润按照会员职绩发放直接分享和间接分享奖，剩下的纯利润按照現有系统20%公司节流成为发展基金，80%分红权加权分红）。,2023-02-14,2023.03.09,任务编号：1029312,5000.0,20天,河南省-洛阳市,洛阳蓝普网络技术有限公司,https://shop.epwk.com/v0n1x1mq257y/,洛阳蓝普网络技术有限公司,出售服务,https://shop.epwk.com/v0n1x1mq257y/chushou/,企业,一品,105分,总 388 次中标，交易总金额,￥199.47万,洛阳蓝普网络技术有限公司,,php项目定制开发,￥1000,微信小程序定制开发,"￥1000
            /件",,,,,,,,,,,,,,,网站二次开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】做个脚本,https://task.epwk.com/1029160/,1175人,1人,¥800,圆满完成,,星享事成KhG7w,设置一个悬浮窗1.设置每群检测间隔时间2.开始按钮3.关键词设置群聊界面，从第一个群开始按序打开看，看本次打开能看见的文字中有没有设置的关键词。如果没有，则发送一条消息（消息来源:系统剪贴板）。如果有，看下一个群。最后一个群看完继续从第一个群又看。往复循环。如果剪切板的内容为“ ”（三个空格）或按音量上，则停止操作。上次做的微信已完工，这次再次发布做QQ,2023-02-13,2023.02.20,任务编号：1029160,800.0,5天,山东省-青岛市-黄岛区,菠菜软件定制工作室,https://shop.epwk.com/0z5o4x6glnjq/,菠菜软件定制工作室,出售服务,https://shop.epwk.com/0z5o4x6glnjq/chushou/,工作室,一品,60分,总 44 次中标，交易总金额,￥27.29万,菠菜软件定制工作室,,app协议网页协议脚本协议app开发抢购抢票,"￥300
            /起",脚本开发易语言autojs制作数据采集手机电脑网页协议,"￥500
            /起",采集软件python脚本开发定制/网站APP数据资料抓取搜集,"￥500
            /起",全网数据抓取/网站APP信息收集采集定制/数据分析/市场调研,"￥200
            /起",安卓模拟器按键精灵autojs免root手机脚本模拟抢单器,价格面议,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【脚本开发】手机模拟点击搜索获取号码,https://task.epwk.com/1029146/,530人,1人,¥600,圆满完成,,o5ec7db7eadbaa,Excel表格里的快递单号输入快递APP查询客户信息再重新输入Excel表格中,2023-02-13,2023.02.16,任务编号：1029146,600.0,6天,山东省-青岛市-黄岛区,菠菜软件定制工作室,https://shop.epwk.com/0z5o4x6glnjq/,菠菜软件定制工作室,出售服务,https://shop.epwk.com/0z5o4x6glnjq/chushou/,工作室,一品,60分,总 44 次中标，交易总金额,￥27.29万,菠菜软件定制工作室,,app协议网页协议脚本协议app开发抢购抢票,"￥300
            /起",脚本开发易语言autojs制作数据采集手机电脑网页协议,"￥500
            /起",采集软件python脚本开发定制/网站APP数据资料抓取搜集,"￥500
            /起",全网数据抓取/网站APP信息收集采集定制/数据分析/市场调研,"￥200
            /起",安卓模拟器按键精灵autojs免root手机脚本模拟抢单器,价格面议,,,,,,,,,脚本开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【模板建站】修改网站模板,https://task.epwk.com/1029044/,1332人,1人,¥800,圆满完成,,o6173****0b6d8,对我的网页模板进行修改。我自己的网站地址是：http://ht.666.666.666.666.hetongdaquanwang.cn/模仿的网站地址是：https://chaojihetong.com/,2023-02-11,2023.02.18,任务编号：1029044,800.0,7天,山东省-潍坊市-青州市,山东兆通网络科技,https://shop.epwk.com/9w56e46rwdv1/,山东兆通网络科技,出售服务,https://shop.epwk.com/9w56e46rwdv1/chushou/,企业,八品,40分,,,山东兆通网络科技,,APP个性订制开发,"￥1000
            /年",小程序定制开发,"￥1000
            /年",微信小程序开发|商城小程序|食品饮料零售百货,"￥1000
            /年",直销|分销商城小程序|电商小程序||多级分销小程序,"￥1000
            /年",购物商城开发,"￥1000
            /年",品牌网站企业网站定制开发,"￥1000
            /年",,,,,,,模板建站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】教育前端开发首付款,https://task.epwk.com/1028822/,613人,7人,¥9600,圆满完成,,APP定制和开发,做一个关于高考方面的教育app，后台有人开发，现在需要安卓原生开发一个前端,2023-02-09,2023.02.20,任务编号：1028822,9600.0,"40天,20天,20天,20天","山东省-烟台市-芝罘区,山东省-济南市-天桥区,山东省-淄博市,北京市-北京市-朝阳区",聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【门户网站】门户网站（仿站）开发,https://task.epwk.com/1028270/,1924人,5人,¥800,圆满完成,,小二威威kO3sc,门户网站，项目紧急：一般需要开发和下面一样的门户网站，如下。https://c1207415779lyd.scd.wezhan.cn/sy 需求1.兼容手机端2.出三个banner 3.可以提交留言版4.网站客服聊天打开QQ即可5.首页模块。增加我的产品-标题-图片列表6.联系我们模块。增加我的荣誉-标题-图片列表7.联系我们模块。增加百度地图显示公司地址,2023-02-03,2023.02.13,任务编号：1028270,800.0,"5天,2天","河南省-郑州市-上街区,山东省-济南市",会凌网络,https://shop.epwk.com/p05qj9oyodev/,会凌网络,出售服务,https://shop.epwk.com/p05qj9oyodev/chushou/,工作室,二品,38分,,,会凌网络,,企业模板网站+个性化,"￥800
            /套",网站维护/优化/迁移/搬家,"￥200
            /起",API接口定制开发,价格面议,商城二次开发,"￥800
            /起",微信小程序开发,"￥3000
            /起",高端响应式企业网站定制开发,"￥2980
            /起",,,,,,,门户网站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】商城APP开发首付款,https://task.epwk.com/1028125/,227人,1人,¥105000,圆满完成,,vitorru,商城APP开发，工业品细分行业的app+pc+小程序，具体按照合同开发,2023-02-02,2023.02.03,任务编号：1028125,105000.0,30天,广东省-佛山市,广州风浪科技有限公司,https://shop.epwk.com/7lngqgzk8dmr/,广州风浪科技有限公司,出售服务,https://shop.epwk.com/7lngqgzk8dmr/chushou/,企业,一品,41分,,,广州风浪科技有限公司,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【小程序开发】淘宝购物小程序申请文案撰写,https://task.epwk.com/1028080/,205人,1人,¥3000,圆满完成,,聚度网络,淘宝购物小程序申请项目文案撰写,2023-02-02,2023.02.06,任务编号：1028080,3000.0,10天,山东省-烟台市,聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【后端开发】服务端根据前端窗口大小解析html并分页,https://task.epwk.com/1028035/,358人,2人,¥1000,圆满完成,,uuz2333,服务端根据前端窗口大小解析html并分页,2023-02-01,2023.02.03,任务编号：1028035,1000.0,"3天,2天","湖南省-长沙市-芙蓉区,山东省-济南市-天桥区",泰晟科技,https://shop.epwk.com/3gd2mqlmwner/,泰晟科技,出售服务,https://shop.epwk.com/3gd2mqlmwner/chushou/,企业,六品,44分,,,泰晟科技,,UI设计定制服务,"￥15000
            /起",H5应用定制开发,"￥16000
            /件",网站应用定制开发,"￥8000
            /年",微信公众应用定制开发,"￥15000
            /年",苹果安卓App应用定制开发,"￥20000
            /起",小程序定制开发,"￥15000
            /年",,,,,,,后端开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【门户网站】开发房地产楼盘展示网站（只需电脑端前端页面）（二期款）,https://task.epwk.com/1027992/,446人,1人,¥3000,圆满完成,,ygkk2020,开发一套楼盘展示网站，只需制作前端页面（后台管理系统已有，只需做关联对接）环境为PC端电脑版本，开发语言不限（最好为HTML5），域名及空间已开通。需求：具体模块我已整理好，见附件。参考网站https://huzhou.loupan.com/xinfang/注：最好以前做过类似的整站建设有这方面的经验只需稍加修改即可。联系Q ，验证备注一品,2023-02-01,2023.04.15,任务编号：1027992,3000.0,30天,山东省-淄博市,淄博嘉朵网络科技有限公司,https://shop.epwk.com/2j5xog8yk5xm/,淄博嘉朵网络科技有限公司,出售服务,https://shop.epwk.com/2j5xog8yk5xm/chushou/,企业,一品,65分,总 60 次中标，交易总金额,￥27.79万,淄博嘉朵网络科技有限公司,,淘宝主图详情页,"￥800
            /起",小程序界面设计,"￥1899
            /起",APP界面设计,"￥1899
            /起",网页设计服务,"￥1899
            /起",,,,,,,,,,,门户网站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【SAAS软件】窗户幕墙设计系统二阶段款,https://task.epwk.com/1027920/,144人,1人,¥10000,圆满完成,,o5fa0e663319ad,窗户幕墙设计系统，有类似经验的联系，无经验的勿扰，需要采用网页或者客户端都可以,2023-01-31,2023.01.31,任务编号：1027920,10000.0,10天,湖南省-长沙市-岳麓区,湖南三行云智信息科技有限公司,https://shop.epwk.com/89dvgg2p4dl2/,湖南三行云智信息科技有限公司,出售服务,https://shop.epwk.com/89dvgg2p4dl2/chushou/,企业,一品,53分,总 128 次中标，交易总金额,￥402.04万,湖南三行云智信息科技有限公司,,区块链DAPP开发,"￥9999
            /起",企业网站定制开发,"￥2000
            /起",金融类APP订制开发,"￥50000
            /起",APP个性订制开发,"￥50000
            /起",医疗类 微信/APP 开发,"￥20000
            /起",三级分销-微信商城(接入微信支付/多方快递系统),"￥20000
            /套",B2B电商平台,"￥50000
            /套",读书公众号,"￥2000
            /套",VIS品牌形象设计,"￥2000
            /起",SAAS软件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【小程序开发】小程序前端页面开发尾款,https://task.epwk.com/1027912/,141人,1人,¥2000,圆满完成,,首智汇云,小程序前端页面开发尾款，具体需求已谈妥，其他威客请勿联系，谢谢。,2023-01-31,2023.02.02,任务编号：1027912,2000.0,10天,河南省-郑州市-金水区,谷微智能科技,https://shop.epwk.com/89dvg1kvzdl2/,谷微智能科技,出售服务,https://shop.epwk.com/89dvg1kvzdl2/chushou/,企业,六品,44分,,,谷微智能科技,,APP定制开发,"￥1999
            /次",前端程序开发,"￥1999
            /次",综合服务平台,"￥1999
            /次",微信小程序开发,"￥1999
            /次",,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
