标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,知识
【小程序开发】OA办公软件的开发,https://task.epwk.com/412678/,190人,1人,"¥17,000",圆满完成,https://task.epwk.com/page2714.html?m=6&o=7,OA办公软件的开发,直接雇佣￥ 17000,￥ 17000,任务编号：412678,2000-2900.csv,,"OA办公软件, 开发"
【网站UI设计】海报设计个首页设计,https://task.epwk.com/412679/,446人,1人,"¥1,100",圆满完成,https://task.epwk.com/page2714.html?m=6&o=7,海报设计个首页设计,直接雇佣￥ 1100,￥ 1100,任务编号：412679,2000-2900.csv,,"首页设计, 海报设计"
【卡通形象设计】卡通形象设计,https://task.epwk.com/412681/,279人,1人,"¥1,370",圆满完成,https://task.epwk.com/page2714.html?m=6&o=7,卡通形象设计,直接雇佣￥ 1370,￥ 1370,任务编号：412681,2000-2900.csv,,"卡通形象, 设计"
餐饮品牌标志设计,https://task.epwk.com/412684/,161人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2714.html?m=6&o=7,餐饮品牌标志设计,直接雇佣￥ 5000,￥ 5000,任务编号：412684,2000-2900.csv,,"餐饮品牌, 标志设计"
餐饮会所标志设计,https://task.epwk.com/412686/,124人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2714.html?m=6&o=7,餐饮会所标志设计,直接雇佣￥ 5000,￥ 5000,任务编号：412686,2000-2900.csv,,"餐饮会所, 标志设计"
整套APP的UI设计,https://task.epwk.com/412699/,272人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2714.html?m=6&o=7,整套APP的UI设计,直接雇佣￥ 10000,￥ 10000,任务编号：412699,2000-2900.csv,,"APP UI设计, 整套设计"
【图片处理】平面图草图软件制图,https://task.epwk.com/412701/,795人,1人,¥20,圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,平面图草图软件制图,直接雇佣￥ 20,￥ 20,任务编号：412701,2000-2900.csv,,"平面图, 草图, 软件制图"
【企业官网】付租金项目第二期托管,https://task.epwk.com/412706/,245人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,付租金项目第二期托管,直接雇佣￥ 10000,￥ 10000,任务编号：412706,2000-2900.csv,,"租金托管, 项目托管"
【嵌入式软件】嵌入式软件开发,https://task.epwk.com/412712/,2036人,1人,"¥49,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,嵌入式软件开发,直接雇佣￥ 49000,￥ 49000,任务编号：412712,2000-2900.csv,,"嵌入式软件, 开发"
【APP开发】开发一款蓝牙气垫的IOS版控制APP,https://task.epwk.com/412714/,232人,1人,"¥49,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,开发一款蓝牙气垫的IOS版控制APP,直接雇佣￥ 49000,￥ 49000,任务编号：412714,2000-2900.csv,,"蓝牙气垫, IOS版, 控制APP"
【APP开发】类似于在家点点的APP开发,https://task.epwk.com/412715/,476人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,类似于在家点点的APP开发,直接雇佣￥ 40000,￥ 40000,任务编号：412715,2000-2900.csv,,"在家点点, APP开发, 任务管理"
【APP开发】机床行业商城APP建设,https://task.epwk.com/412716/,125人,1人,"¥38,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,机床行业商城APP建设,直接雇佣￥ 38000,￥ 38000,任务编号：412716,2000-2900.csv,,"机床行业, 商城APP, 电商应用"
【APP开发】搭建电子交易平台,https://task.epwk.com/412717/,123人,1人,"¥23,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,搭建电子交易平台,直接雇佣￥ 23000,￥ 23000,任务编号：412717,2000-2900.csv,,"电子交易, 平台搭建"
【后端开发】JAVA接口开发,https://task.epwk.com/412727/,1652人,1人,"¥23,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,JAVA接口开发,直接雇佣￥ 23000,￥ 23000,任务编号：412727,2000-2900.csv,,"JAVA接口, 开发"
【小程序开发】网站部分功能二次开发,https://task.epwk.com/412728/,210人,1人,"¥28,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,网站部分功能二次开发,直接雇佣￥ 28000,￥ 28000,任务编号：412728,2000-2900.csv,,"网站功能, 二次开发"
【APP开发】团购APP二次开发,https://task.epwk.com/412732/,120人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,团购APP二次开发,直接雇佣￥ 15000,￥ 15000,任务编号：412732,2000-2900.csv,,"团购APP, 二次开发"
【其他软件开发】在线客服系统,https://task.epwk.com/412733/,348人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,在线客服系统,直接雇佣￥ 45000,￥ 45000,任务编号：412733,2000-2900.csv,,"在线客服, 系统"
【其他软件开发】在线客服系统二期,https://task.epwk.com/412735/,246人,1人,"¥26,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,在线客服系统二期,直接雇佣￥ 26000,￥ 26000,任务编号：412735,2000-2900.csv,,"在线客服系统, 二期"
【其他软件开发】停车场收费管理,https://task.epwk.com/412736/,197人,1人,"¥34,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,停车场收费管理,直接雇佣￥ 34000,￥ 34000,任务编号：412736,2000-2900.csv,,"停车场管理, 收费系统"
【其他软件开发】停车场收费管理二期,https://task.epwk.com/412739/,167人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,停车场收费管理二期,直接雇佣￥ 45000,￥ 45000,任务编号：412739,2000-2900.csv,,"停车场收费管理, 二期系统"
【网站UI设计】网站及公众号美工,https://task.epwk.com/412746/,319人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,网站及公众号美工,直接雇佣￥ 1000,￥ 1000,任务编号：412746,2000-2900.csv,,"网站设计, 公众号设计"
【小程序开发】QQ协商了,https://task.epwk.com/412750/,344人,1人,¥240,圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,QQ协商了,直接雇佣￥ 240,￥ 240,任务编号：412750,2000-2900.csv,,QQ协商
【小程序开发】QQ协商了,https://task.epwk.com/412751/,645人,1人,¥500,圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,QQ协商了,直接雇佣￥ 500,￥ 500,任务编号：412751,2000-2900.csv,,QQ协商
【包装设计】固体酵素包装设计,https://task.epwk.com/412755/,203人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,固体酵素包装设计,直接雇佣￥ 1000,￥ 1000,任务编号：412755,2000-2900.csv,,"固体酵素, 包装设计"
【包装设计】果酒的包装设计,https://task.epwk.com/412757/,211人,1人,"¥1,400",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,果酒的包装设计,直接雇佣￥ 1400,￥ 1400,任务编号：412757,2000-2900.csv,,"果酒, 包装设计"
【VI设计】连锁酒店VI设计,https://task.epwk.com/412772/,259人,1人,"¥25,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,连锁酒店VI设计,直接雇佣￥ 25000,￥ 25000,任务编号：412772,2000-2900.csv,,"连锁酒店, VI设计"
【小程序开发】连锁酒店官网制作,https://task.epwk.com/412774/,188人,1人,"¥35,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,连锁酒店官网制作,直接雇佣￥ 35000,￥ 35000,任务编号：412774,2000-2900.csv,,"连锁酒店, 官网制作"
【小程序开发】连锁酒店官网后期推广,https://task.epwk.com/412775/,243人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,连锁酒店官网后期推广,直接雇佣￥ 30000,￥ 30000,任务编号：412775,2000-2900.csv,,"连锁酒店, 官网推广, 后期推广"
【小程序开发】连锁企业官网二次开发以及维护,https://task.epwk.com/412777/,189人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,连锁企业官网二次开发以及维护,直接雇佣￥ 20000,￥ 20000,任务编号：412777,2000-2900.csv,,"连锁企业官网, 二次开发, 维护"
【电路设计】电源管理芯片电路设计,https://task.epwk.com/412778/,2336人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,电源管理芯片电路设计,直接雇佣￥ 2000,￥ 2000,任务编号：412778,2000-2900.csv,,"电源管理芯片, 电路设计"
【小程序开发】分销管理系统开发,https://task.epwk.com/412779/,189人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,分销管理系统开发,直接雇佣￥ 40000,￥ 40000,任务编号：412779,2000-2900.csv,,"分销管理系统, 系统开发"
【宣传册设计】画面设计,https://task.epwk.com/412782/,276人,1人,¥300,圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,画面设计,直接雇佣￥ 300,￥ 300,任务编号：412782,2000-2900.csv,,画面设计
【宣传册设计】企业宣传册设计,https://task.epwk.com/412783/,533人,1人,"¥1,100",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,企业宣传册设计,直接雇佣￥ 1100,￥ 1100,任务编号：412783,2000-2900.csv,,"企业宣传册, 设计"
【企业官网】做一个美团APP,https://task.epwk.com/412790/,129人,1人,"¥48,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,做一个美团APP,直接雇佣￥ 48000,￥ 48000,任务编号：412790,2000-2900.csv,,"美团APP, 应用开发"
【企业官网】直销系统开发,https://task.epwk.com/412792/,152人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,直销系统开发,直接雇佣￥ 40000,￥ 40000,任务编号：412792,2000-2900.csv,,"直销系统, 开发"
【APP开发】安卓视频聊天类APP应用开发,https://task.epwk.com/412807/,179人,1人,"¥48,000",圆满完成,https://task.epwk.com/page2713.html?m=6&o=7,安卓视频聊天类APP应用开发,直接雇佣￥ 48000,￥ 48000,任务编号：412807,2000-2900.csv,,"安卓视频聊天, APP应用开发"
【APP开发】安卓视频聊天类APP应用开发第二期,https://task.epwk.com/412808/,391人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,安卓视频聊天类APP应用开发第二期,直接雇佣￥ 45000,￥ 45000,任务编号：412808,2000-2900.csv,,"安卓视频聊天, APP应用开发, 第二期"
【APP开发】户外APP开发,https://task.epwk.com/412810/,150人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,户外APP开发,直接雇佣￥ 20000,￥ 20000,任务编号：412810,2000-2900.csv,,"户外APP, 开发"
【企业官网】仿一个网站,https://task.epwk.com/412848/,219人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,仿一个网站,直接雇佣￥ 4000,￥ 4000,任务编号：412848,2000-2900.csv,,"网站仿制, 网站设计"
【LOGO设计】山海淘食品有限公司 商标LOGO设计,https://task.epwk.com/412877/,257人,1人,¥100,圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,山海淘食品有限公司 商标LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：412877,2000-2900.csv,,"山海淘食品, 商标LOGO设计"
【小程序开发】项目预付,https://task.epwk.com/412878/,175人,1人,"¥8,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,项目预付,直接雇佣￥ 8000,￥ 8000,任务编号：412878,2000-2900.csv,,项目预付
【电商网站】ECSHOP二次开发,https://task.epwk.com/412884/,367人,1人,¥500,圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,ECSHOP二次开发,直接雇佣￥ 500,￥ 500,任务编号：412884,2000-2900.csv,,"ECSHOP, 二次开发"
【安全服务】高可用高安全的企业级内网服务（VPN）系统搭建,https://task.epwk.com/412895/,1807人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,高可用高安全的企业级内网服务（VPN）系统搭建,直接雇佣￥ 15000,￥ 15000,任务编号：412895,2000-2900.csv,,"高可用, 高安全, 企业级内网, VPN系统"
完成一个手绘地图,https://task.epwk.com/412900/,131人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,完成一个手绘地图,直接雇佣￥ 1000,￥ 1000,任务编号：412900,2000-2900.csv,,"手绘地图, 地图绘制"
制作一个外贸网站,https://task.epwk.com/412902/,146人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,制作一个外贸网站,直接雇佣￥ 5000,￥ 5000,任务编号：412902,2000-2900.csv,,"外贸网站, 网站制作"
【关键词优化】公众号以及网站推广,https://task.epwk.com/412903/,581人,1人,"¥33,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,公众号以及网站推广,直接雇佣￥ 33000,￥ 33000,任务编号：412903,2000-2900.csv,,"公众号, 网站推广"
【效果图设计】优化处理一套别墅效果图,https://task.epwk.com/412904/,238人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,优化处理一套别墅效果图,直接雇佣￥ 5000,￥ 5000,任务编号：412904,2000-2900.csv,,"别墅效果图, 优化处理"
【安全服务】企业OA管理系统的开发,https://task.epwk.com/412905/,1472人,1人,"¥38,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,企业OA管理系统的开发,直接雇佣￥ 38000,￥ 38000,任务编号：412905,2000-2900.csv,,"企业OA系统, 管理系统开发"
【施工图设计】设计一套别墅施工图,https://task.epwk.com/412908/,202人,1人,¥500,圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,设计一套别墅施工图,直接雇佣￥ 500,￥ 500,任务编号：412908,2000-2900.csv,,"别墅施工图, 设计"
【后期制作】制作一段VCR,https://task.epwk.com/412909/,626人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,制作一段VCR,直接雇佣￥ 5000,￥ 5000,任务编号：412909,2000-2900.csv,,"VCR制作, 视频制作"
【小程序开发】扇贝网,https://task.epwk.com/412912/,206人,1人,¥600,圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,扇贝网,直接雇佣￥ 600,￥ 600,任务编号：412912,2000-2900.csv,,扇贝网
【其他软件开发】修改一个小程序,https://task.epwk.com/412914/,197人,1人,"¥2,100",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,修改一个小程序,直接雇佣￥ 2100,￥ 2100,任务编号：412914,2000-2900.csv,,小程序修改
【网站UI设计】大图两张，震撼展示、彰显魅力,https://task.epwk.com/412916/,256人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,大图两张，震撼展示、彰显魅力,直接雇佣￥ 1000,￥ 1000,任务编号：412916,2000-2900.csv,,"大图, 惊叹展示, 魅力彰显"
【安全服务】资金系统定制,https://task.epwk.com/412918/,1365人,1人,"¥39,800",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,资金系统定制,直接雇佣￥ 39800,￥ 39800,任务编号：412918,2000-2900.csv,,"资金系统, 定制"
【安全服务】资金系统定制第二期,https://task.epwk.com/412919/,1602人,1人,"¥38,200",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,资金系统定制第二期,直接雇佣￥ 38200,￥ 38200,任务编号：412919,2000-2900.csv,,"资金系统, 定制, 第二期"
【小程序开发】门禁报警软件开发,https://task.epwk.com/412920/,463人,1人,"¥42,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,门禁报警软件开发,直接雇佣￥ 42000,￥ 42000,任务编号：412920,2000-2900.csv,,"门禁系统, 报警软件, 软件开发"
【小程序开发】门禁报警软件开发尾款,https://task.epwk.com/412921/,243人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,门禁报警软件开发尾款,直接雇佣￥ 30000,￥ 30000,任务编号：412921,2000-2900.csv,,"门禁报警, 软件开发"
【小程序开发】B/S无盘系统开发,https://task.epwk.com/412923/,147人,1人,"¥46,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,B/S无盘系统开发,直接雇佣￥ 46000,￥ 46000,任务编号：412923,2000-2900.csv,,"B/S系统, 无盘系统"
【VI设计】成都某餐厅VI设计,https://task.epwk.com/412928/,368人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,成都某餐厅VI设计,直接雇佣￥ 3000,￥ 3000,任务编号：412928,2000-2900.csv,,"餐厅VI设计, 餐厅设计, VI设计"
【企业官网】婚礼摄影制作网站,https://task.epwk.com/412931/,235人,1人,"¥35,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,婚礼摄影制作网站,直接雇佣￥ 35000,￥ 35000,任务编号：412931,2000-2900.csv,,"婚礼摄影, 网站设计"
【企业官网】婚礼摄影制作网站二期,https://task.epwk.com/412932/,331人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,婚礼摄影制作网站二期,直接雇佣￥ 30000,￥ 30000,任务编号：412932,2000-2900.csv,,"婚礼摄影, 网站制作, 二期更新"
【LOGO设计】起名设计Logo,https://task.epwk.com/412935/,123人,1人,¥200,圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,起名设计Logo,直接雇佣￥ 200,￥ 200,任务编号：412935,2000-2900.csv,,"起名, Logo设计"
【LOGO设计】百捷物流LOGO设计,https://task.epwk.com/412946/,226人,1人,¥300,圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,百捷物流LOGO设计,直接雇佣￥ 300,￥ 300,任务编号：412946,2000-2900.csv,,"百捷物流, LOGO设计"
【APP开发】a5设计、微信、App开发,https://task.epwk.com/412952/,204人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,a5设计、微信、App开发,直接雇佣￥ 45000,￥ 45000,任务编号：412952,2000-2900.csv,,"a5设计, 微信, App开发"
【APP开发】监控大屏展示设计,https://task.epwk.com/412953/,234人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,监控大屏展示设计,直接雇佣￥ 40000,￥ 40000,任务编号：412953,2000-2900.csv,,"监控大屏, 展示设计"
【工商变更】applied regression analysis lab5,https://task.epwk.com/412971/,847人,1人,¥625,圆满完成,https://task.epwk.com/page2712.html?m=6&o=7,applied regression analysis lab5,直接雇佣￥ 625,￥ 625,任务编号：412971,2000-2900.csv,,"回归分析, 实验室作业, lab5"
【产品推广】微信软文,https://task.epwk.com/412975/,358人,1人,¥500,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,微信软文,直接雇佣￥ 500,￥ 500,任务编号：412975,2000-2900.csv,,微信软文
【小程序开发】交易软件开发,https://task.epwk.com/413006/,181人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,交易软件开发,直接雇佣￥ 20000,￥ 20000,任务编号：413006,2000-2900.csv,,"交易软件, 软件开发"
【施工图设计】小商场布局施工图,https://task.epwk.com/413007/,370人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,小商场布局施工图,直接雇佣￥ 30000,￥ 30000,任务编号：413007,2000-2900.csv,,"小商场, 布局, 施工图"
【企业官网】软件BUG处理和维护,https://task.epwk.com/413008/,165人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,软件BUG处理和维护,直接雇佣￥ 10000,￥ 10000,任务编号：413008,2000-2900.csv,,"软件BUG, 维护"
建立一个多用户平台的商城开发,https://task.epwk.com/413012/,198人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,建立一个多用户平台的商城开发,直接雇佣￥ 10000,￥ 10000,任务编号：413012,2000-2900.csv,,"多用户平台, 商城开发"
【网站UI设计】公司网站后台管理布局修改,https://task.epwk.com/413026/,308人,1人,¥200,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,公司网站后台管理布局修改,直接雇佣￥ 200,￥ 200,任务编号：413026,2000-2900.csv,,"公司网站, 后台管理, 布局修改"
【APP开发】制作手机APP,https://task.epwk.com/413030/,188人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,制作手机APP,直接雇佣￥ 4000,￥ 4000,任务编号：413030,2000-2900.csv,,"手机APP, 应用开发"
【电商网站】网上商城建设一期,https://task.epwk.com/413031/,285人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,网上商城建设一期,直接雇佣￥ 45000,￥ 45000,任务编号：413031,2000-2900.csv,,"网上商城, 建设, 一期"
【电商网站】网上商城建设二期,https://task.epwk.com/413032/,275人,1人,"¥43,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,网上商城建设二期,直接雇佣￥ 43000,￥ 43000,任务编号：413032,2000-2900.csv,,"网上商城, 二期建设"
【电商网站】网上商城建设三期,https://task.epwk.com/413033/,289人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,网上商城建设三期,直接雇佣￥ 40000,￥ 40000,任务编号：413033,2000-2900.csv,,"网上商城, 三期建设"
【电商网站】比特币交易平台开发一期,https://task.epwk.com/413034/,394人,1人,"¥46,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,比特币交易平台开发一期,直接雇佣￥ 46000,￥ 46000,任务编号：413034,2000-2900.csv,,"比特币交易平台, 开发, 一期"
【电商网站】比特币交易平台开发二期,https://task.epwk.com/413037/,280人,1人,"¥26,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,比特币交易平台开发二期,直接雇佣￥ 26000,￥ 26000,任务编号：413037,2000-2900.csv,,"比特币交易平台, 二期开发"
【网站UI设计】医疗资讯类网站设计,https://task.epwk.com/413047/,469人,1人,"¥2,500",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,医疗资讯类网站设计,直接雇佣￥ 2500,￥ 2500,任务编号：413047,2000-2900.csv,,"医疗资讯, 网站设计"
【LOGO设计】个人网站LOGO设计,https://task.epwk.com/413051/,277人,1人,¥600,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,个人网站LOGO设计,直接雇佣￥ 600,￥ 600,任务编号：413051,2000-2900.csv,,"个人网站, LOGO设计"
【小程序开发】仿软件开发,https://task.epwk.com/413069/,228人,1人,"¥25,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,仿软件开发,直接雇佣￥ 25000,￥ 25000,任务编号：413069,2000-2900.csv,,"仿软件, 开发"
【APP开发】仿一个滴滴软件开发,https://task.epwk.com/413070/,149人,1人,"¥25,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,仿一个滴滴软件开发,直接雇佣￥ 25000,￥ 25000,任务编号：413070,2000-2900.csv,,"滴滴软件, 软件开发"
【企业官网】开发一个综合性网站,https://task.epwk.com/413072/,203人,1人,"¥26,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,开发一个综合性网站,直接雇佣￥ 26000,￥ 26000,任务编号：413072,2000-2900.csv,,"综合性网站, 网站开发"
求在不会有很大影响seo排名的情况下完成网站改版。,https://task.epwk.com/413100/,252人,1人,"¥4,600",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,求在不会有很大影响seo排名的情况下完成网站改版。,直接雇佣￥ 4600,￥ 4600,任务编号：413100,2000-2900.csv,,"网站改版, SEO排名, 影响"
【网站UI设计】工艺品官方网站设计（尾款）,https://task.epwk.com/413120/,354人,1人,"¥1,800",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,工艺品官方网站设计（尾款）,直接雇佣￥ 1800,￥ 1800,任务编号：413120,2000-2900.csv,,"工艺品官方网站设计, 尾款"
【游戏其他】游戏试玩,https://task.epwk.com/413137/,817人,1人,¥540,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,游戏试玩,直接雇佣￥ 540,￥ 540,任务编号：413137,2000-2900.csv,,游戏试玩
【LOGO设计】博万鑫信息科技有限公司 公司LOGO设计,https://task.epwk.com/413144/,145人,1人,¥100,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,博万鑫信息科技有限公司 公司LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：413144,2000-2900.csv,,"公司LOGO设计, 信息科技公司"
【品牌起名】具有建设性的名称征集,https://task.epwk.com/413147/,967人,1人,¥200,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,具有建设性的名称征集,直接雇佣￥ 200,￥ 200,任务编号：413147,2000-2900.csv,,"名称征集, 建设性"
【海报设计】海报设计,https://task.epwk.com/413163/,469人,1人,¥350,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,海报设计,直接雇佣￥ 350,￥ 350,任务编号：413163,2000-2900.csv,,海报设计
【网站UI设计】设计一个页面,https://task.epwk.com/413165/,883人,1人,¥800,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,设计一个页面,直接雇佣￥ 800,￥ 800,任务编号：413165,2000-2900.csv,,页面设计
【LOGO设计】logo设计,https://task.epwk.com/413168/,374人,1人,¥150,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,logo设计,直接雇佣￥ 150,￥ 150,任务编号：413168,2000-2900.csv,,logo设计
【企业官网】图书出版社官网制作,https://task.epwk.com/413169/,294人,1人,"¥15,998",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,图书出版社官网制作,直接雇佣￥ 15998,￥ 15998,任务编号：413169,2000-2900.csv,,"图书出版社, 官网制作"
【包装设计】筷勺套装品牌策划产品设计及包装设计,https://task.epwk.com/413172/,378人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,筷勺套装品牌策划产品设计及包装设计,直接雇佣￥ 5000,￥ 5000,任务编号：413172,2000-2900.csv,,"筷勺套装, 品牌策划, 包装设计"
【图片处理】房子展UV上贴图,https://task.epwk.com/413181/,325人,1人,¥180,圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,房子展UV上贴图,直接雇佣￥ 180,￥ 180,任务编号：413181,2000-2900.csv,,"房子展, UV上贴图"
【微信推广】微信、微博推广,https://task.epwk.com/413182/,210人,1人,"¥43,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,微信、微博推广,直接雇佣￥ 43000,￥ 43000,任务编号：413182,2000-2900.csv,,"微信推广, 微博推广"
【小程序开发】RFID基础上的库存管理跟踪系统开发第二期,https://task.epwk.com/413196/,150人,1人,"¥46,000",圆满完成,https://task.epwk.com/page2711.html?m=6&o=7,RFID基础上的库存管理跟踪系统开发第二期,直接雇佣￥ 46000,￥ 46000,任务编号：413196,2000-2900.csv,,"RFID, 库存管理, 跟踪系统"
【包装设计】加两款方案,https://task.epwk.com/413216/,322人,1人,¥240,圆满完成,https://task.epwk.com/page2710.html?m=6&o=7,加两款方案,直接雇佣￥ 240,￥ 240,任务编号：413216,2000-2900.csv,,"方案设计, 产品设计"
【其他软件开发】cocos2d-x 3.x流媒体视频播放插件开发,https://task.epwk.com/413217/,327人,1人,¥700,圆满完成,https://task.epwk.com/page2710.html?m=6&o=7,cocos2d-x 3.x流媒体视频播放插件开发,直接雇佣￥ 700,￥ 700,任务编号：413217,2000-2900.csv,,"cocos2d-x, 流媒体视频播放, 插件开发"
【其他软件开发】电脑桌面终端工具开发,https://task.epwk.com/413225/,454人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2710.html?m=6&o=7,电脑桌面终端工具开发,直接雇佣￥ 1000,￥ 1000,任务编号：413225,2000-2900.csv,,"电脑桌面, 终端工具, 开发"
【小程序开发】金融互助网站开发,https://task.epwk.com/413234/,253人,1人,"¥8,000",圆满完成,https://task.epwk.com/page2710.html?m=6&o=7,金融互助网站开发,直接雇佣￥ 8000,￥ 8000,任务编号：413234,2000-2900.csv,,"金融互助, 网站开发"
【电商网站】比特币交易平台开发尾款,https://task.epwk.com/413271/,345人,1人,"¥49,000",圆满完成,https://task.epwk.com/page2710.html?m=6&o=7,比特币交易平台开发尾款,直接雇佣￥ 49000,￥ 49000,任务编号：413271,2000-2900.csv,,"比特币交易平台, 尾款"
