标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,知识
【商业提案】征集商业文案,https://task.epwk.com/253620/,235人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,征集商业文案,直接雇佣￥ 300,￥ 300,任务编号：253620,3153-3304.csv,,,商业文案
【专业代笔】文章的撰写,https://task.epwk.com/253653/,234人,1人,¥200,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,文章的撰写,直接雇佣￥ 200,￥ 200,任务编号：253653,3153-3304.csv,,,文章撰写
【LOGO设计】网站的LOGO设计,https://task.epwk.com/253670/,222人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,网站的LOGO设计,直接雇佣￥ 300,￥ 300,任务编号：253670,3153-3304.csv,,,"网站LOGO, 设计"
【数据录入】信息数据录入之269,https://task.epwk.com/253698/,152人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,信息数据录入之269,直接雇佣￥ 300,￥ 300,任务编号：253698,3153-3304.csv,,,"信息数据录入, 269"
【VI设计】高端茶馆会所品牌VI设计,https://task.epwk.com/253704/,319人,1人,"¥12,000",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,高端茶馆会所品牌VI设计,直接雇佣￥ 12000,￥ 12000,任务编号：253704,3153-3304.csv,,,"高端茶馆, 品牌VI设计, 会所"
【排版设计】排版设计出片服务加画图服务,https://task.epwk.com/253705/,410人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,排版设计出片服务加画图服务,直接雇佣￥ 3000,￥ 3000,任务编号：253705,3153-3304.csv,,,"排版设计, 出片服务, 画图服务"
【包装设计】易拉宝的设计,https://task.epwk.com/253711/,545人,1人,¥500,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,易拉宝的设计,直接雇佣￥ 500,￥ 500,任务编号：253711,3153-3304.csv,,,"易拉宝, 设计"
【其他宣传品设计】5L润滑油桶形设计（一）,https://task.epwk.com/253714/,974人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,5L润滑油桶形设计（一）,直接雇佣￥ 1500,￥ 1500,任务编号：253714,3153-3304.csv,,,"5L润滑油桶, 设计"
【其他宣传品设计】润滑油桶形设计（二）,https://task.epwk.com/253717/,1232人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,润滑油桶形设计（二）,直接雇佣￥ 1500,￥ 1500,任务编号：253717,3153-3304.csv,,,"润滑油桶, 形设计"
【LOGO设计】设计一家IT企业的logo,https://task.epwk.com/253835/,435人,1人,¥380,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,设计一家IT企业的logo,直接雇佣￥ 380,￥ 380,任务编号：253835,3153-3304.csv,,,"IT企业, logo设计"
【小程序开发】界面及报表开发二期,https://task.epwk.com/253847/,525人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,界面及报表开发二期,直接雇佣￥ 1000,￥ 1000,任务编号：253847,3153-3304.csv,,,"界面开发, 报表开发, 二期"
【小程序开发】cad解码程序开发,https://task.epwk.com/253871/,389人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,cad解码程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：253871,3153-3304.csv,,,"cad解码, 程序开发"
【表情设计】征求原创QQ动态表情 (十二),https://task.epwk.com/253877/,704人,1人,"¥2,160",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征求原创QQ动态表情 (十二),直接雇佣￥ 2160,￥ 2160,任务编号：253877,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【小程序开发】金融会员系统网站开发,https://task.epwk.com/253917/,217人,1人,¥590,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,金融会员系统网站开发,直接雇佣￥ 590,￥ 590,任务编号：253917,3153-3304.csv,,,"金融会员系统, 网站开发"
【企业官网】网页制作第四期合作,https://task.epwk.com/253941/,236人,1人,¥900,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,网页制作第四期合作,直接雇佣￥ 900,￥ 900,任务编号：253941,3153-3304.csv,,,"网页制作, 合作"
【APP开发】考试应用APP开发,https://task.epwk.com/253955/,215人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,考试应用APP开发,直接雇佣￥ 1500,￥ 1500,任务编号：253955,3153-3304.csv,,,"考试应用, APP开发"
【数据录入】信息数据录入之270,https://task.epwk.com/253990/,175人,1人,¥300,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,信息数据录入之270,直接雇佣￥ 300,￥ 300,任务编号：253990,3153-3304.csv,,,"信息数据录入, 270"
【表情设计】征求原创QQ动态表情 (十三),https://task.epwk.com/254011/,412人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征求原创QQ动态表情 (十三),直接雇佣￥ 1200,￥ 1200,任务编号：254011,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【数据录入】信息数据录入之271,https://task.epwk.com/254052/,132人,1人,¥300,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,信息数据录入之271,直接雇佣￥ 300,￥ 300,任务编号：254052,3153-3304.csv,,,"信息数据录入, 271"
【商业提案】征集商业文案,https://task.epwk.com/254060/,287人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征集商业文案,直接雇佣￥ 1200,￥ 1200,任务编号：254060,3153-3304.csv,,,商业文案
【商业提案】征集商业文案,https://task.epwk.com/254066/,203人,1人,¥900,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征集商业文案,直接雇佣￥ 900,￥ 900,任务编号：254066,3153-3304.csv,,,商业文案
【企业官网】电子消费网站交易功能维护,https://task.epwk.com/254092/,168人,1人,"¥1,900",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,电子消费网站交易功能维护,直接雇佣￥ 1900,￥ 1900,任务编号：254092,3153-3304.csv,,,"电子消费网站, 交易功能, 维护"
【企业官网】品牌日网站设计,https://task.epwk.com/254120/,245人,1人,"¥3,240",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,品牌日网站设计,直接雇佣￥ 3240,￥ 3240,任务编号：254120,3153-3304.csv,,,"品牌日, 网站设计"
【产品外观设计】湿巾盒的设计,https://task.epwk.com/254152/,1763人,1人,"¥4,240",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,湿巾盒的设计,直接雇佣￥ 4240,￥ 4240,任务编号：254152,3153-3304.csv,,,"湿巾盒, 设计"
【商业提案】征集商业文案,https://task.epwk.com/254198/,212人,1人,"¥1,900",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征集商业文案,直接雇佣￥ 1900,￥ 1900,任务编号：254198,3153-3304.csv,,,商业文案
【LOGO设计】用卡能和Cokin2个词组合成一个商标LOGO,https://task.epwk.com/254201/,271人,1人,¥300,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,用卡能和Cokin2个词组合成一个商标LOGO,直接雇佣￥ 300,￥ 300,任务编号：254201,3153-3304.csv,,,"商标LOGO, 卡能, Cokin"
【VI设计】设计一个logo及标准色配色,https://task.epwk.com/254215/,462人,1人,¥500,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,设计一个logo及标准色配色,直接雇佣￥ 500,￥ 500,任务编号：254215,3153-3304.csv,,,"logo, 标准色配色"
【VI设计】利众的一些VI设计,https://task.epwk.com/254221/,422人,1人,¥800,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,利众的一些VI设计,直接雇佣￥ 800,￥ 800,任务编号：254221,3153-3304.csv,,,"VI设计, 利众"
【LOGO设计】产品资料LOGO设计,https://task.epwk.com/254222/,505人,1人,¥500,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,产品资料LOGO设计,直接雇佣￥ 500,￥ 500,任务编号：254222,3153-3304.csv,,,"产品资料, LOGO设计"
【企业官网】博科奇创公司网站开发,https://task.epwk.com/254246/,227人,1人,"¥1,300",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,博科奇创公司网站开发,直接雇佣￥ 1300,￥ 1300,任务编号：254246,3153-3304.csv,,,"博科奇创公司, 网站开发"
【网站UI设计】按要求做网页设计,https://task.epwk.com/254268/,322人,1人,¥700,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,按要求做网页设计,直接雇佣￥ 700,￥ 700,任务编号：254268,3153-3304.csv,,,"网页设计, 任务要求"
【其他设计】做一个纸卡的设计,https://task.epwk.com/254299/,607人,1人,¥150,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,做一个纸卡的设计,直接雇佣￥ 150,￥ 150,任务编号：254299,3153-3304.csv,,,纸卡设计
【商业提案】征集商业文案,https://task.epwk.com/254321/,162人,1人,¥350,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征集商业文案,直接雇佣￥ 350,￥ 350,任务编号：254321,3153-3304.csv,,,商业文案
【包装设计】需要设计一个包装,https://task.epwk.com/254324/,224人,1人,¥100,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,需要设计一个包装,直接雇佣￥ 100,￥ 100,任务编号：254324,3153-3304.csv,,,包装设计
【小程序开发】汉英-英汉外宣翻译平行语料库,https://task.epwk.com/254335/,416人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,汉英-英汉外宣翻译平行语料库,直接雇佣￥ 4000,￥ 4000,任务编号：254335,3153-3304.csv,,,"汉英翻译, 英汉翻译, 外宣翻译, 平行语料库"
【招牌设计】产品详情页设计,https://task.epwk.com/254408/,784人,1人,¥600,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,产品详情页设计,直接雇佣￥ 600,￥ 600,任务编号：254408,3153-3304.csv,,,"产品详情页, 设计"
【LOGO设计】电影logo设计,https://task.epwk.com/254409/,250人,1人,¥50,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,电影logo设计,直接雇佣￥ 50,￥ 50,任务编号：254409,3153-3304.csv,,,"电影, logo设计"
【企业官网】快递网站开发,https://task.epwk.com/254421/,217人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,快递网站开发,直接雇佣￥ 10000,￥ 10000,任务编号：254421,3153-3304.csv,,,"快递网站, 网站开发"
【数据录入】信息数据录入之272,https://task.epwk.com/254425/,104人,1人,¥100,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,信息数据录入之272,直接雇佣￥ 100,￥ 100,任务编号：254425,3153-3304.csv,,,"信息数据录入, 272"
【数据录入】信息数据录入之273,https://task.epwk.com/254432/,143人,1人,¥500,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,信息数据录入之273,直接雇佣￥ 500,￥ 500,任务编号：254432,3153-3304.csv,,,"信息数据录入, 273"
【商业提案】征集商业文案,https://task.epwk.com/254466/,196人,1人,¥900,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,征集商业文案,直接雇佣￥ 900,￥ 900,任务编号：254466,3153-3304.csv,,,商业文案
【企业官网】泉州金融超市修改部份补贴款,https://task.epwk.com/254474/,270人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,泉州金融超市修改部份补贴款,直接雇佣￥ 4000,￥ 4000,任务编号：254474,3153-3304.csv,,,"泉州金融超市, 补贴款修改"
【产品外观设计】IH电饭煲外观设计（一）,https://task.epwk.com/254475/,1595人,1人,"¥12,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,IH电饭煲外观设计（一）,直接雇佣￥ 12000,￥ 12000,任务编号：254475,3153-3304.csv,,,"IH电饭煲, 外观设计"
【其他工业设计】控制面板模具承包跟踪,https://task.epwk.com/254505/,1690人,1人,"¥14,500",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,控制面板模具承包跟踪,直接雇佣￥ 14500,￥ 14500,任务编号：254505,3153-3304.csv,,,"控制面板, 模具, 承包跟踪"
【卡通形象设计】蜜蜂卡通形象设计,https://task.epwk.com/254511/,433人,1人,¥800,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,蜜蜂卡通形象设计,直接雇佣￥ 800,￥ 800,任务编号：254511,3153-3304.csv,,,"蜜蜂卡通, 形象设计"
【专业代笔】文章撰写,https://task.epwk.com/254517/,237人,1人,¥300,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,文章撰写,直接雇佣￥ 300,￥ 300,任务编号：254517,3153-3304.csv,,,文章撰写
【小程序开发】请按照附件完成软件开发（六）,https://task.epwk.com/254523/,206人,1人,¥625,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,请按照附件完成软件开发（六）,直接雇佣￥ 625,￥ 625,任务编号：254523,3153-3304.csv,,,"软件开发, 附件, 任务完成"
【机械设备】机械制图设计,https://task.epwk.com/254525/,3267人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,机械制图设计,直接雇佣￥ 1800,￥ 1800,任务编号：254525,3153-3304.csv,,,"机械制图, 设计"
【其他软件开发】flash地图的开发,https://task.epwk.com/254527/,338人,1人,¥400,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,flash地图的开发,直接雇佣￥ 400,￥ 400,任务编号：254527,3153-3304.csv,,,"flash地图, 开发"
【网站UI设计】使用一个现有网站的模板，换成自己的内容,https://task.epwk.com/254538/,346人,1人,¥950,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,使用一个现有网站的模板，换成自己的内容,直接雇佣￥ 950,￥ 950,任务编号：254538,3153-3304.csv,,,"现有网站模板, 内容替换"
【小程序开发】驾校预约软件开发,https://task.epwk.com/254546/,289人,1人,"¥5,500",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,驾校预约软件开发,直接雇佣￥ 5500,￥ 5500,任务编号：254546,3153-3304.csv,,,"驾校预约, 软件开发"
【LOGO设计】移动应用LOGO启动图设计,https://task.epwk.com/254598/,350人,1人,¥600,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,移动应用LOGO启动图设计,直接雇佣￥ 600,￥ 600,任务编号：254598,3153-3304.csv,,,"移动应用, LOGO, 启动图"
【产品外观设计】自行车灯外观设计（二）,https://task.epwk.com/254605/,1609人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,自行车灯外观设计（二）,直接雇佣￥ 2000,￥ 2000,任务编号：254605,3153-3304.csv,,,"自行车灯, 外观设计"
【宣传策划】自行车灯推广,https://task.epwk.com/254611/,270人,1人,¥100,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,自行车灯推广,直接雇佣￥ 100,￥ 100,任务编号：254611,3153-3304.csv,,,"自行车灯, 推广"
【产品卖点】产品宣传文案设计,https://task.epwk.com/254630/,576人,1人,¥100,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,产品宣传文案设计,直接雇佣￥ 100,￥ 100,任务编号：254630,3153-3304.csv,,,"产品宣传, 文案设计"
【软件UI设计】海报图片,https://task.epwk.com/254649/,486人,1人,¥300,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,海报图片,直接雇佣￥ 300,￥ 300,任务编号：254649,3153-3304.csv,,,"海报设计, 图片设计"
【表情设计】征求原创QQ动态表情 (十四),https://task.epwk.com/254650/,459人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,征求原创QQ动态表情 (十四),直接雇佣￥ 1200,￥ 1200,任务编号：254650,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【小程序开发】完成程序编写工作,https://task.epwk.com/254651/,218人,1人,¥400,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,完成程序编写工作,直接雇佣￥ 400,￥ 400,任务编号：254651,3153-3304.csv,,,"程序编写, 工作完成"
【编辑校对】编辑校对,https://task.epwk.com/254671/,1382人,1人,¥500,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,编辑校对,直接雇佣￥ 500,￥ 500,任务编号：254671,3153-3304.csv,,,编辑校对
【网站优化方案】网站优化到百度排名第一页,https://task.epwk.com/254752/,385人,1人,¥500,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,网站优化到百度排名第一页,直接雇佣￥ 500,￥ 500,任务编号：254752,3153-3304.csv,,,"网站优化, 百度排名"
【宣传册设计】青岛口袋网络传媒宣传册设计,https://task.epwk.com/254761/,515人,1人,"¥2,250",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,青岛口袋网络传媒宣传册设计,直接雇佣￥ 2250,￥ 2250,任务编号：254761,3153-3304.csv,,,"青岛口袋网络传媒, 宣传册设计"
【小程序开发】一些程序后续的修改,https://task.epwk.com/254778/,260人,1人,¥500,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,一些程序后续的修改,直接雇佣￥ 500,￥ 500,任务编号：254778,3153-3304.csv,,,"程序修改, 后续维护"
【APP开发】儿童游戏教学应用APP开发制作[二],https://task.epwk.com/254807/,213人,1人,"¥8,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,儿童游戏教学应用APP开发制作[二],直接雇佣￥ 8000,￥ 8000,任务编号：254807,3153-3304.csv,,,"儿童游戏教学, 应用APP, 教学内容"
【企业官网】按照要求做一个网站,https://task.epwk.com/254831/,289人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,按照要求做一个网站,直接雇佣￥ 1200,￥ 1200,任务编号：254831,3153-3304.csv,,,"网站设计, 网站开发"
【其他软件开发】实时监控第一阶段开发,https://task.epwk.com/254912/,415人,1人,"¥8,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,实时监控第一阶段开发,直接雇佣￥ 8000,￥ 8000,任务编号：254912,3153-3304.csv,,,"实时监控, 开发, 第一阶段"
【其他软件开发】实时监控第二阶段开发,https://task.epwk.com/254921/,384人,1人,"¥8,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,实时监控第二阶段开发,直接雇佣￥ 8000,￥ 8000,任务编号：254921,3153-3304.csv,,,"实时监控, 开发, 第二阶段"
【服装设计】黑白配服装展示空间,https://task.epwk.com/254981/,1671人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,黑白配服装展示空间,直接雇佣￥ 1200,￥ 1200,任务编号：254981,3153-3304.csv,,,"黑白配服装, 展示空间"
【LOGO设计】新品外包装设计,https://task.epwk.com/254998/,419人,1人,"¥2,400",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,新品外包装设计,直接雇佣￥ 2400,￥ 2400,任务编号：254998,3153-3304.csv,,,"新品外包装, 设计"
【其他工具软件】仿阿里旺旺即时通讯软件,https://task.epwk.com/255074/,762人,1人,"¥25,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,仿阿里旺旺即时通讯软件,直接雇佣￥ 25000,￥ 25000,任务编号：255074,3153-3304.csv,,,"即时通讯软件, 仿阿里旺旺"
【LOGO设计】设计包装袋和LOGO,https://task.epwk.com/255075/,200人,1人,¥500,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,设计包装袋和LOGO,直接雇佣￥ 500,￥ 500,任务编号：255075,3153-3304.csv,,,"包装袋, logo"
【产品外观设计】感应器设计,https://task.epwk.com/255087/,1586人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,感应器设计,直接雇佣￥ 1200,￥ 1200,任务编号：255087,3153-3304.csv,,,"感应器, 设计"
【APP开发】针对某大学丢东西找东西的应用,https://task.epwk.com/255144/,331人,1人,¥600,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,针对某大学丢东西找东西的应用,直接雇佣￥ 600,￥ 600,任务编号：255144,3153-3304.csv,,,"大学物品管理, 丢失物品查找, 物品定位"
【宣传册设计】平面设计第一期,https://task.epwk.com/255151/,287人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,平面设计第一期,直接雇佣￥ 1000,￥ 1000,任务编号：255151,3153-3304.csv,,,"平面设计, 第一期"
【网站UI设计】汽车美容整站设计,https://task.epwk.com/255185/,206人,1人,¥700,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,汽车美容整站设计,直接雇佣￥ 700,￥ 700,任务编号：255185,3153-3304.csv,,,"汽车美容, 整站设计"
【表情设计】征求原创QQ动态表情 (十五),https://task.epwk.com/255205/,471人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,征求原创QQ动态表情 (十五),直接雇佣￥ 1200,￥ 1200,任务编号：255205,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【专业代笔】画里的节日美术教学实施途径,https://task.epwk.com/255255/,281人,1人,¥170,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,画里的节日美术教学实施途径,直接雇佣￥ 170,￥ 170,任务编号：255255,3153-3304.csv,,,"节日美术, 教学实施, 美术教学"
【FLASH制作】flash课件制作,https://task.epwk.com/255319/,468人,1人,¥300,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,flash课件制作,直接雇佣￥ 300,￥ 300,任务编号：255319,3153-3304.csv,,,"flash课件, 制作"
【商业提案】征集商业文案一篇,https://task.epwk.com/255334/,252人,1人,¥250,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,征集商业文案一篇,直接雇佣￥ 250,￥ 250,任务编号：255334,3153-3304.csv,,,"商业文案, 文案征集"
【数据录入】信息数据录入之274,https://task.epwk.com/255338/,205人,1人,¥500,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,信息数据录入之274,直接雇佣￥ 500,￥ 500,任务编号：255338,3153-3304.csv,,,"信息数据录入, 274"
【网站UI设计】天猫店铺装修设计,https://task.epwk.com/255342/,365人,1人,"¥4,300",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,天猫店铺装修设计,直接雇佣￥ 4300,￥ 4300,任务编号：255342,3153-3304.csv,,,"天猫店铺, 装修设计"
【数据录入】信息数据录入之275,https://task.epwk.com/255356/,299人,1人,¥300,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,信息数据录入之275,直接雇佣￥ 300,￥ 300,任务编号：255356,3153-3304.csv,,,"信息数据录入, 275"
【LOGO设计】按照手绘初图加以修饰设计,https://task.epwk.com/255365/,340人,1人,¥500,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,按照手绘初图加以修饰设计,直接雇佣￥ 500,￥ 500,任务编号：255365,3153-3304.csv,,,"手绘初图, 修饰设计"
【企业官网】门网站建设首付款,https://task.epwk.com/255372/,240人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,门网站建设首付款,直接雇佣￥ 2000,￥ 2000,任务编号：255372,3153-3304.csv,,,"门网站, 首付款"
【APP开发】系统程序开发应用（二）,https://task.epwk.com/255377/,301人,1人,"¥34,775",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,系统程序开发应用（二）,直接雇佣￥ 34775,￥ 34775,任务编号：255377,3153-3304.csv,,,"系统程序开发, 应用"
【表情设计】征求原创[足球迷]QQ动态表情 (二),https://task.epwk.com/255387/,594人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,征求原创[足球迷]QQ动态表情 (二),直接雇佣￥ 5000,￥ 5000,任务编号：255387,3153-3304.csv,,,"足球迷, QQ动态表情, 原创"
【商业提案】商业文案一篇,https://task.epwk.com/255390/,274人,1人,¥200,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,商业文案一篇,直接雇佣￥ 200,￥ 200,任务编号：255390,3153-3304.csv,,,商业文案
【品牌故事】修改一篇文章,https://task.epwk.com/255443/,330人,1人,¥380,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,修改一篇文章,直接雇佣￥ 380,￥ 380,任务编号：255443,3153-3304.csv,,,文章修改
"【APP开发】安卓APP,支付宝付费程序设计",https://task.epwk.com/255447/,399人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,"安卓APP,支付宝付费程序设计",直接雇佣￥ 2000,￥ 2000,任务编号：255447,3153-3304.csv,,,"安卓APP, 支付宝支付, 程序设计"
【企业官网】discuz程序修改,https://task.epwk.com/255588/,223人,1人,¥200,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,discuz程序修改,直接雇佣￥ 200,￥ 200,任务编号：255588,3153-3304.csv,,,"discuz程序, 程序修改"
【企业官网】门户网站尾款,https://task.epwk.com/255601/,328人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,门户网站尾款,直接雇佣￥ 1000,￥ 1000,任务编号：255601,3153-3304.csv,,,"门户网站, 尾款"
【产品推广】官网外链发送任务,https://task.epwk.com/255640/,271人,1人,¥800,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,官网外链发送任务,直接雇佣￥ 800,￥ 800,任务编号：255640,3153-3304.csv,,,"官网外链, 任务发送"
【卡通形象设计】企业卡通吉祥物设计,https://task.epwk.com/255650/,180人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,企业卡通吉祥物设计,直接雇佣￥ 2000,￥ 2000,任务编号：255650,3153-3304.csv,,,"企业卡通, 吉祥物设计"
【小程序开发】对F1型进行重新开发设计,https://task.epwk.com/255651/,256人,1人,"¥15,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,对F1型进行重新开发设计,直接雇佣￥ 15000,￥ 15000,任务编号：255651,3153-3304.csv,,,"F1型, 重新开发设计"
【专业代笔】旅游管理议论文,https://task.epwk.com/255660/,259人,1人,¥450,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,旅游管理议论文,直接雇佣￥ 450,￥ 450,任务编号：255660,3153-3304.csv,,,"旅游管理, 议论文"
【小程序开发】按照附件完成软件开发任务（七）,https://task.epwk.com/255666/,165人,1人,¥625,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,按照附件完成软件开发任务（七）,直接雇佣￥ 625,￥ 625,任务编号：255666,3153-3304.csv,,,"软件开发, 附件任务, 任务完成"
【LOGO设计】班徽LOGO设计,https://task.epwk.com/255687/,205人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,班徽LOGO设计,直接雇佣￥ 1000,￥ 1000,任务编号：255687,3153-3304.csv,,,"班徽, LOGO设计"
【品牌故事】文案撰写,https://task.epwk.com/255726/,310人,1人,¥500,圆满完成,https://task.epwk.com/page3210.html?m=6&o=7,文案撰写,直接雇佣￥ 500,￥ 500,任务编号：255726,3153-3304.csv,,,文案撰写
【商业提案】商业文案修改,https://task.epwk.com/255749/,402人,1人,¥300,圆满完成,https://task.epwk.com/page3209.html?m=6&o=7,商业文案修改,直接雇佣￥ 300,￥ 300,任务编号：255749,3153-3304.csv,,,"商业文案, 文案修改"
【包装设计】预备教材内外包装设计,https://task.epwk.com/255754/,164人,1人,¥600,圆满完成,https://task.epwk.com/page3209.html?m=6&o=7,预备教材内外包装设计,直接雇佣￥ 600,￥ 600,任务编号：255754,3153-3304.csv,,,"教材包装, 设计, 教材内外包装"
【小程序开发】远程看板软件开发,https://task.epwk.com/255812/,344人,1人,¥300,圆满完成,https://task.epwk.com/page3209.html?m=6&o=7,远程看板软件开发,直接雇佣￥ 300,￥ 300,任务编号：255812,3153-3304.csv,,,"远程看板, 软件开发"
【图片处理】图片PS处理设计,https://task.epwk.com/255814/,536人,1人,¥120,圆满完成,https://task.epwk.com/page3209.html?m=6&o=7,图片PS处理设计,直接雇佣￥ 120,￥ 120,任务编号：255814,3153-3304.csv,,,"图片PS设计, 图片处理"
【小程序开发】看板软件开发,https://task.epwk.com/255815/,332人,1人,"¥2,700",圆满完成,https://task.epwk.com/page3209.html?m=6&o=7,看板软件开发,直接雇佣￥ 2700,￥ 2700,任务编号：255815,3153-3304.csv,,,"看板软件, 开发"
