标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【商业提案】养老院商业计划书,https://task.epwk.com/998849/,1366人,1人,3000-5000元,圆满完成,o5f499d18743ca,项目：养老院商业计划书称呼：余先生（决策者）地区: 浙江衢州，服务商地域不限需求: 想吸引政府投资，报告要交给发改委。与以前养老院的写作方式不一样，此外还要突出当地的“有礼文化”预算: 看服务商报价时间：一周左右备注：微信是手机号,2022-06-02,2022.06.28,任务编号：998849,3800.0,8天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",商业提案
【其他内容创作】竞聘PPT制作,https://task.epwk.com/998425/,912人,2人,1000元以内,圆满完成,o626e50b5b1d9a,制作竞聘PPT。,2022-05-30,2022.07.07,任务编号：998425,800.0,"3天,3天","陕西省-西安市-未央区,山东省-济南市",鲸叹号●爆款产品包装设计,https://shop.epwk.com/7g5ykpwg9n0q/,鲸叹号●爆款产品包装设计,出售服务,https://shop.epwk.com/7g5ykpwg9n0q/chushou/,企业,一品,109分,总 198 次中标，交易总金额,￥34.6万,鲸叹号●爆款产品包装设计,,VI设计/品牌设计/视觉识别系统/标志应用设计,8000,文创品设计/文创品开发/文创品规划,"￥5000
            /件",品牌策划/文案策划/营销策划/活动策划/广告策划,"￥8000
            /件",吉祥物设计/IP人物设计/插画设计/品牌IP设计,"￥4000
            /件",包装设计/系列包装/产品规划,"￥2980
            /件",logo设计/标志设计/品牌设计/原创设计,"￥1500
            /件",爆款产品包装设计/卖点提炼/爆点策划,"￥5000
            /件",创意包装设计/原创设计/爆款产品,"￥3500
            /件",,,其他内容创作
【宣传策划】奇门WMS应用申请PRD、MRD、应用架构图制作,https://task.epwk.com/997003/,823人,1人,3000-5000元,圆满完成,威府SeDhd,奇门WMS申请PRD、MRD、应用架构图、功能模块详细1. 根据淘宝的要求编写应用入驻的MRD/PRD/系统架构及说明。2. 必须能够通过淘宝审批（通过后才付款），可以与我商议调整（或新增）应用的功能以达到此目的。3. 必须有淘宝应用入驻文档编写的经验。说明：主要任务是协助完成申请奇门WMS资质申请,2022-05-20,2022.06.24,任务编号：997003,3000.0,60天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",宣传策划
【品牌故事】公司的简介理念和未来发展撰写,https://task.epwk.com/994116/,616人,2人,1000元以内,圆满完成,高地密码UnGE4,公司的简介理念和未来发展，大健康平台，围绕大健康给本公司做个背书,2022-04-30,2022.05.07,任务编号：994116,500.0,"7天,2天","吉林省-长春市,山东省-济南市",96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,品牌故事
【商业提案】资金使用计划书,https://task.epwk.com/986919/,548人,1人,1000-3000元,圆满完成,k9382****99,"项目:资金使用计划书称呼:李先生地区:湖南省,株洲市需求:农场，有投资方投资了一千万，但是需要客户出具资金使用计划书，加微信沟通",2022-03-17,2022.05.19,任务编号：986919,1000.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",商业提案
【其他内容创作】实体娱乐定制游戏策划,https://task.epwk.com/984792/,1030人,1人,3000-5000元,圆满完成,o6220b74cbafb1,实体娱乐定制游戏策划，具体详谈,2022-03-03,2022.05.12,任务编号：984792,3000.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",其他内容创作
【其他内容创作】房地产短视频短视频平台认证剧本,https://task.epwk.com/983405/,1418人,1人,3000-5000元,圆满完成,铸威,围绕售楼部或置业顾问发生的故事，简单植入项目信息。最好是类似(爱情公寓）的幽默短剧，一个故事2000-10000字左右，长期合作。,2022-02-23,2022.04.07,任务编号：983405,3000.0,7天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",其他内容创作
【专业代笔】代写微信服务商开发能力说明文档,https://task.epwk.com/982812/,581人,2人,1000元以内,圆满完成,o5c07e34b0088d,代写微信服务商开发能力说明文档，具体细节详谈,2022-02-18,2022.02.28,任务编号：982812,300.0,"3天,7天","四川省-绵阳市-涪城区,山东省-青岛市",腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",专业代笔
【产品卖点】找人代写众包文案,https://task.epwk.com/981576/,703人,2人,1000元以内,圆满完成,伯爵dOfil,找人代写众包文案 具体需求详谈,2022-02-10,2022.03.01,任务编号：981576,200.0,"1天,1天","吉林省-长春市-宽城区,四川省-成都市",96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,产品卖点
【产品卖点】知识付费平台的营销文案,https://task.epwk.com/981378/,1601人,1人,5000-10000元,圆满完成,威领iSmj9,项目:知识付费平台的营销文案称呼:何先生 地区:广东深圳需求:知识付费平台，要做营销文案撰写，具体详谈,2022-02-08,2022.03.16,任务编号：981378,5000.0,30天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",产品卖点
【商业提案】餐饮方面的商业计划书,https://task.epwk.com/978740/,1065人,1人,1000-3000元,圆满完成,k1104****89,"项目:餐饮方面的商业计划书称呼:李先生地区:湖南省,长沙市需求:餐饮方面的商业计划书，这周六要用，没有字数和格式要求，具体详谈，尽快对接。预算:联系报价",2022-01-11,2022.03.02,任务编号：978740,1500.0,5天,四川省-成都市-市辖区,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",商业提案
【商业提案】产能扩建的商业计划书,https://task.epwk.com/977222/,479人,1人,1000元以内,圆满完成,vitorru,"项目:产能扩建的商业计划书称呼:周先生地区:江苏省,苏州市需求:写一个商业计划书，雇主自己有文档朝这个文档去写就可以，是为了产能扩建给别人汇报工作用的",2021-12-31,2021.12.31,任务编号：977222,200.0,2天,山东省-济南市-槐荫区,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【专业代笔】论文的开题报告,https://task.epwk.com/973316/,593人,2人,1000元以内,圆满完成,o6057f8dab2997,论文的开题报告，已谈好合作,2021-12-07,2021.12.14,任务编号：973316,500.0,"7天,3天","河北省-廊坊市,山东省-青岛市",阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【专业代笔】会销演讲稿撰写---后期会需要全套营销方案,https://task.epwk.com/973308/,690人,3人,1000元以内,圆满完成,o5ba500bb61c43,明日无界（成都）科技 有限公司——中扶九州有限公司是中国扶贫开发协会全资子公司、国际中富达实业总公司全资控股的国有企业、中国扶贫开发协会是由国务院扶贫开发领导小组办公室发起并设立，老凤翔珠宝99%的直接控股单位。为大力开展扶贫事业，明日无界提供两大拳头产品：超抵折扣机票和政要通道（非VIP），折扣机票比携程还要便宜，政要通道可用于接待重要客户。比如说龙腾出行的政要通道双流机场报价1500元，草莓报价只需要750元。会销客户：喜欢跳舞或旅游的中老年领队或旅游组织者产品特点：1，高品质旅游，景点为5A级，住宿三星级以上，2，不包含大交通费用（机票、火车票），包含吃、住、景点门票、当地大巴、导游服务及旅行社保险3，可以通过分享赚钱   如何赚钱：1、交398成为会员2、可以得398购物券，在商城抵扣同价值商品3、送价值1680三亚双人游4、分享可得150现金补贴，间接分享可得50补贴,2021-12-07,2021.12.15,任务编号：973308,400.0,"5天,3天,3天","海南省-三亚市-吉阳区,山东省-青岛市,河北省-廊坊市",北京幻视互娱,https://shop.epwk.com/9w56eqokwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【商业提案】建筑行业融资招商计划书,https://task.epwk.com/963560/,904人,1人,5000-10000元,圆满完成,k5973****48,项目:建筑行业融资招商计划书称呼:小布（女士）地区:廊坊需求:建筑行业融资招商计划书，雇主是建筑公司，多地都要分公司，主要是围绕规划建筑工程领域内还能做哪些加盟，还能做哪些延展预算:报价联系,2021-10-27,2021.11.10,任务编号：963560,6800.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",商业提案
【营销推广软文】酒店设计行业软文,https://task.epwk.com/956748/,577人,1人,1000元以内,圆满完成,FHD凡恩酒店设计,项目:酒店设计行业软文称呼:杨女士地区:广东需求:酒店设计行业软文，观点和案例解析预算:联系报价,2021-09-23,2021.10.20,任务编号：956748,700.0,5天,吉林省-长春市-宽城区,96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,营销推广软文
【编辑校对】图案设计编辑校对,https://task.epwk.com/959972/,1133人,1人,1000-3000元,圆满完成,k9945****2,懂绘画，有绘画功底的，有经验,2021-09-22,2021.10.04,任务编号：959972,3000.0,7天,新疆-乌鲁木齐市-市辖区,k856533561,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【宣传策划】儿童功能营养软糖PPT,https://task.epwk.com/956275/,528人,1人,3000-5000元,圆满完成,k1948****12,项目:儿童功能营养软糖PPT称呼:姜先生地区:安徽安庆需求:儿童功能营养软糖PPT，要比较专业做PPT的公司，懂得策划的，会写脚本，经验丰富专业性强的。PPT是给客户做 ，培训课件。内容素材我可以提供设计稿的源文件，可以提供。一共有6-7个品种，做一起，页数待定，工期：10天之内。预算:联系报价,2021-09-20,2021.10.18,任务编号：956275,3000.0,7天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",宣传策划
【编辑校对】【编辑校对】文件校对,https://task.epwk.com/959963/,1208人,1人,1000元以内,圆满完成,k1361****1,我这有套文件是我们一个外贸员翻译的，想找专业人士校对下，精通俄语的,2021-09-20,2021.10.07,任务编号：959963,800.0,9天,浙江省-温州市-市辖区,k453721373,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【编辑校对】专业文章校对，建筑类文章校对编辑,https://task.epwk.com/959849/,689人,1人,1000-3000元,圆满完成,k9972****2,类型：建筑类 要求：懂建筑知识,2021-09-20,2021.10.04,任务编号：959849,1500.0,5天,福建省-福州市-市辖区,k830492370,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【编辑校对】法律文书编辑校对,https://task.epwk.com/959865/,899人,1人,1000-3000元,圆满完成,k9543****2,熟悉法律法规和法律文书写作格式，有经验者优先,2021-09-20,2021.10.03,任务编号：959865,1000.0,5天,贵州省-贵阳市-市辖区,k264152000,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【编辑校对】我需要文案编辑校对,https://task.epwk.com/959665/,2575人,1人,1000元以内,圆满完成,k7498****0,短视频渠道代运营文案编辑校对，口语化接地气一点，字数在300～400字,2021-09-18,2021.10.06,任务编号：959665,300.0,7天,山东省-潍坊市-市辖区,k730715346,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【文学创作】讴歌企业发展的诗歌,https://task.epwk.com/960293/,437人,2人,1000元以内,圆满完成,k5117****9,庆祝公司成立10周年，现需要一篇讴歌企业发展的诗歌。字数不限，最好原创,2021-09-18,2021.10.05,任务编号：960293,800.0,"8天,7天","江苏省-南京市-市辖区,重庆市-重庆市-市辖区",k668922098,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【百科/问答撰写】需要教育行业的百度百科撰写,https://task.epwk.com/960094/,409人,1人,3000-5000元,圆满完成,k3821****9,我是做教育的，想做一个百度百科，要求有经验,2021-09-18,2021.09.29,任务编号：960094,3000.0,3天,浙江省-温州市-市辖区,k980833310,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【百科/问答撰写】房地产企业的百科撰写,https://task.epwk.com/960188/,795人,3人,5000-10000元,圆满完成,k4548****0,要求熟悉百度百科审核标准,2021-09-18,2021.10.04,任务编号：960188,5000.0,"8天,5天,6天","陕西省-西安市-市辖区,新疆-乌鲁木齐市-市辖区,安徽省-芜湖市-市辖区",k872729570,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【编辑校对】需要编辑校对,https://task.epwk.com/959676/,534人,1人,1000元以内,圆满完成,k1330****1,桶装水订单信息录入，具有一定的Office使用能力,2021-09-18,2021.10.05,任务编号：959676,500.0,8天,浙江省-绍兴市-市辖区,k324547797,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【百科/问答撰写】互联网公司百科撰写,https://task.epwk.com/960107/,617人,3人,3000-5000元,圆满完成,k4519****9,包括人物百科撰写、品牌撰写，要有过互联网撰写经验的,2021-09-18,2021.10.06,任务编号：960107,4000.0,"7天,7天,8天","内蒙古-包头市-市辖区,四川省-绵阳市-市辖区,河南省-商丘市-市辖区",醉榻天下设计室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【百科/问答撰写】企业品牌百科编辑,https://task.epwk.com/959971/,334人,1人,1000元以内,圆满完成,k8545****5,给企业品牌做百度百科编辑，词条包过,2021-09-18,2021.10.01,任务编号：959971,1000.0,7天,江苏省-南京市-市辖区,k517168399,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【编辑校对】审稿校对编辑加工,https://task.epwk.com/959552/,394人,1人,1000元以内,圆满完成,k9484****0,稿件：环境工程技术学报  懂术语并具有一定的排版校对经验,2021-09-17,2021.10.04,任务编号：959552,1000.0,10天,河北省-保定市-市辖区,蓝梦月影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【宣传策划】关于“不走弯路，管出孩子好视力”文案撰写,https://task.epwk.com/955496/,670人,2人,1000-3000元,圆满完成,东向科技,通过查找公开的专业资料，撰写一份主题为“不走弯路，管出孩子好视力！”的文案。内容共6部分：1、发刊词；2-5为内容主体。每一部分字数约2000字，总字数约12000字。文案交付后，会考虑做成音频，所以，遣词用句，分段分行，需符合录制音频需要。,2021-09-16,2021.10.01,任务编号：955496,1500.0,"3天,7天","山东省-青岛市,北京市-北京市-东城区",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",宣传策划
【文学创作】写一篇财务管理专业有关的论文,https://task.epwk.com/960093/,460人,1人,1000-3000元,圆满完成,k8888****9,写一篇财务管理专业有关的论文，要求能过查重,2021-09-16,2021.09.29,任务编号：960093,2000.0,10天,山西省-太原市-市辖区,k839030371,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【百科/问答撰写】要专业的百度百科撰写,https://task.epwk.com/959864/,494人,2人,1000-3000元,圆满完成,k8897****7,要专业的百科撰写，通过率高的，懂平台审核规则的,2021-09-16,2021.09.26,任务编号：959864,2500.0,"3天,5天","四川省-成都市-市辖区,山东省-济南市-市辖区",k739325196,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【百科/问答撰写】小众品牌创建百科词条,https://task.epwk.com/959848/,556人,1人,3000-5000元,圆满完成,k2849****7,公司的机构名称是比较正规的“某某某有限公司”，创建专业的百度词条，潮服类,2021-09-15,2021.10.03,任务编号：959848,3000.0,8天,江苏省-南京市-市辖区,迟墨轻点创意工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【百科/问答撰写】企业老板百度百科撰写,https://task.epwk.com/959664/,388人,1人,1000-3000元,圆满完成,k6717****5,公司老板想撰写百度百科人物，有经验的来,2021-09-15,2021.10.05,任务编号：959664,3000.0,5天,广东省-广州市-市辖区,k625014554,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【编辑校对】文章出版编辑校对,https://task.epwk.com/959202/,489人,1人,1000元以内,圆满完成,k9268****9,最近手中的稿子是别人博客里的文章，里面很多网络用的字符，比如说波浪号、滴汗表情什么的，还有就是北方方言，需要会这方面编辑校对的,2021-09-15,2021.10.02,任务编号：959202,500.0,7天,江西省-南昌市-市辖区,占心为王,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【文学创作】急需写一篇短文诗歌,https://task.epwk.com/959961/,557人,1人,1000元以内,圆满完成,k9988****4,急需写一篇短文诗歌，主题围绕爱国的,2021-09-15,2021.09.26,任务编号：959961,800.0,3天,黑龙江省-哈尔滨市-市辖区,k407753230,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
