标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【OA系统】教培行业课消管理系统结构（一阶段）,https://task.epwk.com/985041/,1095人,1人,"¥13,500",圆满完成,,教培行业课消管理系统结构（一阶段）,直接雇佣￥ 13500,￥ 13500,任务编号：985041,0-88.csv,,,,"教培行业, 课消管理, 系统结构"
【其他软件开发】嵌入式软件开发四期,https://task.epwk.com/985126/,377人,1人,"¥25,000",圆满完成,,嵌入式软件开发四期,直接雇佣￥ 25000,￥ 25000,任务编号：985126,0-88.csv,,,,"嵌入式软件, 开发, 四期"
【商城建设】电商平台及APP开发及后期宣传营销维护一期,https://task.epwk.com/985134/,395人,1人,"¥55,221",圆满完成,,电商平台及APP开发及后期宣传营销维护一期,直接雇佣￥ 55221,￥ 55221,任务编号：985134,0-88.csv,,,,"电商平台, APP开发, 宣传营销, 后期维护"
【其他软件开发】脚本开发,https://task.epwk.com/985145/,522人,1人,¥600,圆满完成,,脚本开发,直接雇佣￥ 600,￥ 600,任务编号：985145,0-88.csv,,,,脚本开发
【书籍装帧】书本装帧排版设计,https://task.epwk.com/985237/,340人,1人,"¥8,960",圆满完成,,书本装帧排版设计,直接雇佣￥ 8960,￥ 8960,任务编号：985237,0-88.csv,,,,"书本装帧, 排版设计"
【企业官网】物业管理系统定制,https://task.epwk.com/985250/,298人,1人,"¥20,000",圆满完成,,物业管理系统定制,直接雇佣￥ 20000,￥ 20000,任务编号：985250,0-88.csv,,,,"物业管理, 系统定制"
【APP开发】银行app、理财app,https://task.epwk.com/985255/,230人,1人,"¥30,000",圆满完成,,银行app、理财app,直接雇佣￥ 30000,￥ 30000,任务编号：985255,0-88.csv,,,,"银行app, 理财app"
【商城建设】项目测试调整,https://task.epwk.com/985321/,335人,1人,"¥9,500",圆满完成,,项目测试调整,直接雇佣￥ 9500,￥ 9500,任务编号：985321,0-88.csv,,,,"项目测试, 调整"
【其他软件开发】电视台小程序开发及21年尾款结算,https://task.epwk.com/985329/,338人,1人,"¥8,400",圆满完成,,电视台小程序开发及21年尾款结算,直接雇佣￥ 8400,￥ 8400,任务编号：985329,0-88.csv,,,,"电视台小程序, 尾款结算"
【LOGO设计】农庄LOGO设计,https://task.epwk.com/985334/,199人,1人,"¥4,980",圆满完成,,农庄LOGO设计,直接雇佣￥ 4980,￥ 4980,任务编号：985334,0-88.csv,,,,"农庄, LOGO设计"
【园林设计】CAD画图,https://task.epwk.com/985368/,501人,1人,¥300,圆满完成,,CAD画图,直接雇佣￥ 300,￥ 300,任务编号：985368,0-88.csv,,,,"CAD绘图, 图纸设计"
【APP开发】上号器,https://task.epwk.com/985382/,283人,1人,"¥5,000",圆满完成,,上号器,直接雇佣￥ 5000,￥ 5000,任务编号：985382,0-88.csv,,,,上号器
【手机网站】微物业,https://task.epwk.com/985428/,517人,1人,"¥6,000",圆满完成,,微物业,直接雇佣￥ 6000,￥ 6000,任务编号：985428,0-88.csv,,,,"微物业, 物业管理"
【排版设计】中文商标用吉立能，英文商标用CPY,https://task.epwk.com/985530/,351人,1人,¥500,圆满完成,,中文商标用吉立能，英文商标用CPY,直接雇佣￥ 500,￥ 500,任务编号：985530,0-88.csv,,,,"中文商标, 英文商标"
【定制开发】采购网站开发,https://task.epwk.com/985621/,423人,1人,"¥5,000",圆满完成,,采购网站开发,直接雇佣￥ 5000,￥ 5000,任务编号：985621,0-88.csv,,,,"网站开发, 采购系统"
【书籍装帧】商务杂志,https://task.epwk.com/985637/,377人,1人,"¥10,240",圆满完成,,商务杂志,直接雇佣￥ 10240,￥ 10240,任务编号：985637,0-88.csv,,,,"商务杂志, 商业资讯, 企业报道"
【包装设计】食品包装设计,https://task.epwk.com/985645/,273人,1人,"¥3,600",圆满完成,,食品包装设计,直接雇佣￥ 3600,￥ 3600,任务编号：985645,0-88.csv,,,,"食品包装, 设计"
【其他软件开发】嵌入式软件开发尾款,https://task.epwk.com/985667/,274人,1人,"¥25,000",圆满完成,,嵌入式软件开发尾款,直接雇佣￥ 25000,￥ 25000,任务编号：985667,0-88.csv,,,,"嵌入式软件开发, 尾款"
【包装设计】茉莉花、洛神花标签设计,https://task.epwk.com/985822/,297人,1人,¥800,圆满完成,,茉莉花、洛神花标签设计,直接雇佣￥ 800,￥ 800,任务编号：985822,0-88.csv,,,,"茉莉花, 洛神花, 标签设计"
【其他软件开发】2月云服务器费用,https://task.epwk.com/985859/,298人,1人,"¥40,000",圆满完成,,2月云服务器费用,直接雇佣￥ 40000,￥ 40000,任务编号：985859,0-88.csv,,,,"云服务器, 费用"
【金融】金融类小程序开发,https://task.epwk.com/985882/,229人,1人,"¥20,000",圆满完成,,金融类小程序开发,直接雇佣￥ 20000,￥ 20000,任务编号：985882,0-88.csv,,,,"金融类小程序, 开发"
【网站UI设计】公司门户网站UI设计,https://task.epwk.com/985892/,392人,1人,"¥8,000",圆满完成,,公司门户网站UI设计,直接雇佣￥ 8000,￥ 8000,任务编号：985892,0-88.csv,,,,"公司门户网站, UI设计"
【定制开发】电商定制网站开发,https://task.epwk.com/985901/,553人,1人,"¥50,000",圆满完成,,电商定制网站开发,直接雇佣￥ 50000,￥ 50000,任务编号：985901,0-88.csv,,,,"电商定制网站, 网站开发"
【展台展厅】毛坯房设计,https://task.epwk.com/985975/,423人,1人,"¥3,500",圆满完成,,毛坯房设计,直接雇佣￥ 3500,￥ 3500,任务编号：985975,0-88.csv,,,,毛坯房设计
【VI设计】logo设计,https://task.epwk.com/986004/,325人,1人,"¥1,000",圆满完成,,logo设计,直接雇佣￥ 1000,￥ 1000,任务编号：986004,0-88.csv,,,,logo设计
【VI设计】家装公司VI设计,https://task.epwk.com/986064/,273人,1人,"¥8,800",圆满完成,,家装公司VI设计,直接雇佣￥ 8800,￥ 8800,任务编号：986064,0-88.csv,,,,"家装公司, VI设计"
【宣传册设计】宣传画册排版设计,https://task.epwk.com/986130/,338人,1人,"¥5,280",圆满完成,,宣传画册排版设计,直接雇佣￥ 5280,￥ 5280,任务编号：986130,0-88.csv,,,,"宣传画册, 排版设计"
【APP界面设计】公益性质的小程序,https://task.epwk.com/986141/,357人,1人,"¥2,000",圆满完成,,公益性质的小程序,直接雇佣￥ 2000,￥ 2000,任务编号：986141,0-88.csv,,,,"公益性质, 小程序"
【LOGO设计】动态logo设计海报名片公司企业标志产品商标品牌VI诊断,https://task.epwk.com/986158/,168人,1人,¥500,圆满完成,,动态logo设计海报名片公司企业标志产品商标品牌VI诊断,直接雇佣￥ 500,￥ 500,任务编号：986158,0-88.csv,,,,"动态logo, 企业标志, 品牌VI"
【小程序开发】微信小程序开发,https://task.epwk.com/986197/,181人,1人,"¥5,000",圆满完成,,微信小程序开发,直接雇佣￥ 5000,￥ 5000,任务编号：986197,0-88.csv,,,,"微信小程序, 开发"
【微信开发】咨询网站和付费模块搭建,https://task.epwk.com/986240/,12756人,1人,"¥8,500",圆满完成,,咨询网站和付费模块搭建,直接雇佣￥ 8500,￥ 8500,任务编号：986240,0-88.csv,,,,网站咨询
【其他软件开发】线上行为实验平台（付费任务）,https://task.epwk.com/986250/,511人,1人,"¥23,500",圆满完成,,线上行为实验平台（付费任务）,直接雇佣￥ 23500,￥ 23500,任务编号：986250,0-88.csv,,,,"线上行为实验, 付费任务"
【LOGO设计】文化科技公司商标设计,https://task.epwk.com/986401/,326人,1人,"¥5,000",圆满完成,,文化科技公司商标设计,直接雇佣￥ 5000,￥ 5000,任务编号：986401,0-88.csv,,,,"文化科技, 商标设计"
【展台展厅】需要设计一小面展厅墙的摆放设计 包括海报,https://task.epwk.com/986408/,194人,1人,¥100,圆满完成,,需要设计一小面展厅墙的摆放设计 包括海报,直接雇佣￥ 100,￥ 100,任务编号：986408,0-88.csv,,,,"展厅墙摆放设计, 海报设计"
【视频定制】需求室内设计效果图,https://task.epwk.com/986421/,481人,1人,¥100,圆满完成,,需求室内设计效果图,直接雇佣￥ 100,￥ 100,任务编号：986421,0-88.csv,,,,"室内设计, 效果图"
【排版设计】2022年3月刊排版设计,https://task.epwk.com/986471/,344人,1人,"¥6,528",圆满完成,,2022年3月刊排版设计,直接雇佣￥ 6528,￥ 6528,任务编号：986471,0-88.csv,,,,"2022年3月刊, 排版设计"
【网站二次开发】phptp框架修改,https://task.epwk.com/986571/,424人,1人,¥360,圆满完成,,phptp框架修改,直接雇佣￥ 360,￥ 360,任务编号：986571,0-88.csv,,,,"phptp框架, 修改"
【书籍装帧】装帧及排版设计,https://task.epwk.com/986596/,326人,1人,"¥7,580",圆满完成,,装帧及排版设计,直接雇佣￥ 7580,￥ 7580,任务编号：986596,0-88.csv,,,,"装帧设计, 排版设计"
【项目管理软件】项目管理软件开发,https://task.epwk.com/986621/,826人,1人,"¥50,000",圆满完成,,项目管理软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：986621,0-88.csv,,,,"项目管理, 软件开发"
【商业提案】需要做LOGO,https://task.epwk.com/986640/,369人,1人,"¥20,000",圆满完成,,需要做LOGO,直接雇佣￥ 20000,￥ 20000,任务编号：986640,0-88.csv,,,,LOGO设计
【其他软件开发】报价软件、自动打印软件及相关的ERP系统,https://task.epwk.com/986672/,395人,1人,"¥35,000",圆满完成,,报价软件、自动打印软件及相关的ERP系统,直接雇佣￥ 35000,￥ 35000,任务编号：986672,0-88.csv,,,,"报价软件, 自动打印软件, ERP系统"
【LOGO设计】LOGO设计卡通地产企业教育产品动态公司logo商标字体,https://task.epwk.com/986702/,153人,1人,¥300,圆满完成,,LOGO设计卡通地产企业教育产品动态公司logo商标字体,直接雇佣￥ 300,￥ 300,任务编号：986702,0-88.csv,,,,"LOGO设计, 卡通, 地产企业, 教育产品, 动态, 商标, 字体"
【脚本开发】二次开发,https://task.epwk.com/986723/,725人,1人,"¥6,500",圆满完成,,二次开发,直接雇佣￥ 6500,￥ 6500,任务编号：986723,0-88.csv,,,,二次开发
【公共场所】设计一小面展厅墙的摆放设计+海报【二期】,https://task.epwk.com/986788/,163人,1人,¥100,圆满完成,,设计一小面展厅墙的摆放设计+海报【二期】,直接雇佣￥ 100,￥ 100,任务编号：986788,0-88.csv,,,,"展厅墙摆放设计, 海报设计, 二期"
【娱乐休闲】室内设计需求（二期）,https://task.epwk.com/986790/,178人,1人,¥100,圆满完成,,室内设计需求（二期）,直接雇佣￥ 100,￥ 100,任务编号：986790,0-88.csv,,,,"室内设计, 二期需求"
【定制开发】做一个法务公司的网站,https://task.epwk.com/986796/,639人,1人,"¥8,800",圆满完成,,做一个法务公司的网站,直接雇佣￥ 8800,￥ 8800,任务编号：986796,0-88.csv,,,,"法务公司, 网站设计"
【定制开发】二期系统，按照沟通好的来,https://task.epwk.com/986826/,288人,1人,¥105,圆满完成,,二期系统，按照沟通好的来,直接雇佣￥ 105,￥ 105,任务编号：986826,0-88.csv,,,,"二期系统, 系统开发"
【其他软件开发】excel软件,https://task.epwk.com/986849/,688人,1人,¥500,圆满完成,,excel软件,直接雇佣￥ 500,￥ 500,任务编号：986849,0-88.csv,,,,"excel, 软件"
【APP开发】休闲体育赛事资讯开发【二期】,https://task.epwk.com/986975/,247人,1人,"¥10,500",圆满完成,,休闲体育赛事资讯开发【二期】,直接雇佣￥ 10500,￥ 10500,任务编号：986975,0-88.csv,,,,"休闲体育, 赛事资讯, 二期开发"
【网站UI设计】OA系统UI设计,https://task.epwk.com/986987/,609人,1人,"¥3,000",圆满完成,,OA系统UI设计,直接雇佣￥ 3000,￥ 3000,任务编号：986987,0-88.csv,,,,"OA系统, UI设计"
【后期制作】阿胶五味糕,https://task.epwk.com/987002/,451人,1人,"¥1,000",圆满完成,,阿胶五味糕,直接雇佣￥ 1000,￥ 1000,任务编号：987002,0-88.csv,,,,"阿胶, 五味糕"
【办公空间】需要办公室装修 风格待定,https://task.epwk.com/987064/,151人,1人,¥100,圆满完成,,需要办公室装修 风格待定,直接雇佣￥ 100,￥ 100,任务编号：987064,0-88.csv,,,,"办公室装修, 风格设计"
【展台展厅】室内设计效果图,https://task.epwk.com/987066/,333人,1人,¥100,圆满完成,,室内设计效果图,直接雇佣￥ 100,￥ 100,任务编号：987066,0-88.csv,,,,"室内设计, 效果图"
【餐饮饮食】设计一小面展厅墙的摆放设计+海报【三期】,https://task.epwk.com/987067/,271人,1人,¥100,圆满完成,,设计一小面展厅墙的摆放设计+海报【三期】,直接雇佣￥ 100,￥ 100,任务编号：987067,0-88.csv,,,,"展厅墙摆放设计, 海报设计, 三期"
【定制开发】智慧社区系统开发一期款,https://task.epwk.com/987114/,427人,1人,"¥6,105",圆满完成,,智慧社区系统开发一期款,直接雇佣￥ 6105,￥ 6105,任务编号：987114,0-88.csv,,,,"智慧社区, 系统开发, 一期款"
【小程序开发】小程序开发,https://task.epwk.com/987123/,200人,1人,"¥2,500",圆满完成,,小程序开发,直接雇佣￥ 2500,￥ 2500,任务编号：987123,0-88.csv,,,,小程序开发
【定制开发】企业网站定制开发,https://task.epwk.com/987133/,381人,1人,"¥40,000",圆满完成,,企业网站定制开发,直接雇佣￥ 40000,￥ 40000,任务编号：987133,0-88.csv,,,,"企业网站, 定制开发"
【APP开发】安卓开发需求,https://task.epwk.com/987366/,195人,1人,"¥2,000",圆满完成,,安卓开发需求,直接雇佣￥ 2000,￥ 2000,任务编号：987366,0-88.csv,,,,"安卓开发, 需求"
【主图设计】AMZ主图，A+设计,https://task.epwk.com/987471/,187人,1人,¥500,圆满完成,,AMZ主图，A+设计,直接雇佣￥ 500,￥ 500,任务编号：987471,0-88.csv,,,,"AMZ主图, A+设计"
【海报设计】平面包月,https://task.epwk.com/987497/,875人,1人,"¥1,200",圆满完成,,平面包月,直接雇佣￥ 1200,￥ 1200,任务编号：987497,0-88.csv,,,,"面包, 月"
【前端开发】wb211 WEPY小程序开发4/4,https://task.epwk.com/987513/,821人,1人,"¥1,200",圆满完成,,wb211 WEPY小程序开发4/4,直接雇佣￥ 1200,￥ 1200,任务编号：987513,0-88.csv,,,,"WEPY小程序, 开发"
【APP开发】APP首页和个人中心页面样式优化,https://task.epwk.com/987581/,240人,1人,"¥1,500",圆满完成,,APP首页和个人中心页面样式优化,直接雇佣￥ 1500,￥ 1500,任务编号：987581,0-88.csv,,,,"APP首页, 个人中心, 页面样式"
【VI设计】企业VI,https://task.epwk.com/987684/,311人,1人,"¥9,000",圆满完成,,企业VI,直接雇佣￥ 9000,￥ 9000,任务编号：987684,0-88.csv,,,,"企业, VI设计"
【LOGO设计】一汽党支部 logo设计,https://task.epwk.com/987689/,194人,1人,¥700,圆满完成,,一汽党支部 logo设计,直接雇佣￥ 700,￥ 700,任务编号：987689,0-88.csv,,,,"一汽党支部, logo设计"
【网站二次开发】php tp6动态理财 开发授权接口用户完成回调一期定金,https://task.epwk.com/988046/,317人,1人,"¥1,000",圆满完成,,php tp6动态理财 开发授权接口用户完成回调一期定金,直接雇佣￥ 1000,￥ 1000,任务编号：988046,0-88.csv,,,,"php tp6, 理财开发, 授权接口, 用户回调, 定金"
【主图设计】AMZ主图，A+设计,https://task.epwk.com/988106/,166人,1人,¥500,圆满完成,,AMZ主图，A+设计,直接雇佣￥ 500,￥ 500,任务编号：988106,0-88.csv,,,,"AMZ主图, A+设计"
【小程序开发】增加功能,https://task.epwk.com/988181/,4800人,1人,¥400,圆满完成,,增加功能,直接雇佣￥ 400,￥ 400,任务编号：988181,0-88.csv,,,,功能增加
【LOGO设计】餐饮业LOGO,https://task.epwk.com/988182/,330人,1人,"¥4,600",圆满完成,,餐饮业LOGO,直接雇佣￥ 4600,￥ 4600,任务编号：988182,0-88.csv,,,,"餐饮业, LOGO"
【LOGO设计】医美商标设计,https://task.epwk.com/988394/,351人,1人,"¥5,000",圆满完成,,医美商标设计,直接雇佣￥ 5000,￥ 5000,任务编号：988394,0-88.csv,,,,"医美, 商标设计"
【LOGO设计】设计企业logo,https://task.epwk.com/988511/,553人,1人,¥800,圆满完成,,设计企业logo,直接雇佣￥ 800,￥ 800,任务编号：988511,0-88.csv,,,,"企业logo, 设计"
【APP开发】电商平台及APP开发及后期宣传营销维护二期,https://task.epwk.com/988552/,457人,1人,"¥55,627",圆满完成,,电商平台及APP开发及后期宣传营销维护二期,直接雇佣￥ 55627,￥ 55627,任务编号：988552,0-88.csv,,,,"电商平台, APP开发, 宣传营销, 后期维护"
【响应式网站】tp6.0+bootstrap后台加3个页面功能开发,https://task.epwk.com/988587/,437人,1人,"¥1,050",圆满完成,,tp6.0+bootstrap后台加3个页面功能开发,直接雇佣￥ 1050,￥ 1050,任务编号：988587,0-88.csv,,,,"tp6.0, bootstrap, 页面功能"
【其他软件开发】wb304全亿近效期商品促销需求变更修改（增加）,https://task.epwk.com/988647/,7434人,1人,¥800,圆满完成,,wb304全亿近效期商品促销需求变更修改（增加）,直接雇佣￥ 800,￥ 800,任务编号：988647,0-88.csv,,,,"wb304, 全亿, 近效期商品, 促销需求, 变更修改, 增加"
【图像识别】图像识别软件开发一期,https://task.epwk.com/988715/,661人,1人,"¥20,000",圆满完成,,图像识别软件开发一期,直接雇佣￥ 20000,￥ 20000,任务编号：988715,0-88.csv,,,,"图像识别, 软件开发, 一期"
【排版设计】期刊排版设计,https://task.epwk.com/988767/,178人,1人,"¥7,920",圆满完成,,期刊排版设计,直接雇佣￥ 7920,￥ 7920,任务编号：988767,0-88.csv,,,,"期刊排版, 设计"
【LOGO设计】商标logo设计,https://task.epwk.com/988803/,1403人,1人,"¥5,000",圆满完成,,商标logo设计,直接雇佣￥ 5000,￥ 5000,任务编号：988803,0-88.csv,,,,"商标, logo"
【主图设计】AMZ设计,https://task.epwk.com/989114/,151人,1人,¥270,圆满完成,,AMZ设计,直接雇佣￥ 270,￥ 270,任务编号：989114,0-88.csv,,,,"AMZ设计, 产品设计"
【书籍装帧】商务杂志,https://task.epwk.com/989266/,387人,1人,"¥10,240",圆满完成,,商务杂志,直接雇佣￥ 10240,￥ 10240,任务编号：989266,0-88.csv,,,,"商务杂志, 杂志设计"
【包装设计】芝士乳酪产品包装设计,https://task.epwk.com/989269/,747人,1人,¥350,工作中,,芝士乳酪产品包装设计,直接雇佣￥ 350,￥ 350,任务编号：989269,0-88.csv,,,,"芝士乳酪, 包装设计"
【企业官网】企业网站开发,https://task.epwk.com/989388/,252人,1人,"¥2,000",圆满完成,,企业网站开发,直接雇佣￥ 2000,￥ 2000,任务编号：989388,0-88.csv,,,,"企业网站, 网站开发"
【书籍装帧】画册设计  企业画册设计  产品画册设计  宣传画册设计,https://task.epwk.com/989471/,371人,1人,¥500,圆满完成,,画册设计  企业画册设计  产品画册设计  宣传画册设计,直接雇佣￥ 500,￥ 500,任务编号：989471,0-88.csv,,,,"画册设计, 企业画册设计, 产品画册设计, 宣传画册设计"
【园林设计】不可抄袭，作假,https://task.epwk.com/989498/,324人,1人,"¥1,800",圆满完成,,不可抄袭，作假,直接雇佣￥ 1800,￥ 1800,任务编号：989498,0-88.csv,,,,"不可抄袭, 作假"
【包装设计】宠物胸背,https://task.epwk.com/989906/,494人,1人,¥600,圆满完成,,宠物胸背,直接雇佣￥ 600,￥ 600,任务编号：989906,0-88.csv,,,,"宠物胸背, 宠物服饰设计"
【定制开发】直播弹幕互动,https://task.epwk.com/989941/,578人,1人,"¥11,000",圆满完成,,直播弹幕互动,直接雇佣￥ 11000,￥ 11000,任务编号：989941,0-88.csv,,,,"直播弹幕, 互动"
【运维服务】3月云服务器费用,https://task.epwk.com/990083/,625人,1人,"¥22,222",圆满完成,,3月云服务器费用,直接雇佣￥ 22222,￥ 22222,任务编号：990083,0-88.csv,,,,"云服务器, 费用"
【运维服务】3月云服务器流量+技术服务费,https://task.epwk.com/990084/,683人,1人,"¥26,666",圆满完成,,3月云服务器流量+技术服务费,直接雇佣￥ 26666,￥ 26666,任务编号：990084,0-88.csv,,,,"云服务器, 流量, 技术服务"
【LOGO设计】商城LOGO设计,https://task.epwk.com/990127/,293人,1人,"¥5,000",圆满完成,,商城LOGO设计,直接雇佣￥ 5000,￥ 5000,任务编号：990127,0-88.csv,,,,"商城LOGO, 设计"
【其他软件开发】gp软件,https://task.epwk.com/990142/,275人,1人,"¥2,000",圆满完成,,gp软件,直接雇佣￥ 2000,￥ 2000,任务编号：990142,0-88.csv,,,,gp软件
【海报设计】平面包月,https://task.epwk.com/990153/,746人,1人,"¥1,200",圆满完成,,平面包月,直接雇佣￥ 1200,￥ 1200,任务编号：990153,0-88.csv,,,,"面包, 月"
【其他工具软件】探探脚本开发,https://task.epwk.com/990164/,357人,1人,¥500,圆满完成,,探探脚本开发,直接雇佣￥ 500,￥ 500,任务编号：990164,0-88.csv,,,,"探探, 脚本开发"
【小程序开发】复制小程序,https://task.epwk.com/990216/,142人,1人,"¥2,000",圆满完成,,复制小程序,直接雇佣￥ 2000,￥ 2000,任务编号：990216,0-88.csv,,,,小程序复制
【其他软件开发】园林系统,https://task.epwk.com/990389/,245人,1人,"¥8,000",圆满完成,,园林系统,直接雇佣￥ 8000,￥ 8000,任务编号：990389,0-88.csv,,,,"园林系统, 园林设计, 系统开发"
【手机网站】问答开发,https://task.epwk.com/990419/,3421人,1人,¥900,圆满完成,,问答开发,直接雇佣￥ 900,￥ 900,任务编号：990419,0-88.csv,,,,问答开发
【APP开发】商城APP二次开发,https://task.epwk.com/990462/,216人,1人,"¥4,000",圆满完成,,商城APP二次开发,直接雇佣￥ 4000,￥ 4000,任务编号：990462,0-88.csv,,,,"商城APP, 二次开发"
【产品外观设计】产品外观设计,https://task.epwk.com/990496/,823人,1人,¥250,圆满完成,,产品外观设计,直接雇佣￥ 250,￥ 250,任务编号：990496,0-88.csv,,,,"产品外观, 设计"
【画册设计】产品画册排版设计,https://task.epwk.com/990556/,317人,1人,"¥5,120",圆满完成,,产品画册排版设计,直接雇佣￥ 5120,￥ 5120,任务编号：990556,0-88.csv,,,,"产品画册, 排版设计"
【其他工具软件】Newegg实时调价工具,https://task.epwk.com/990610/,153人,1人,"¥3,500",圆满完成,,Newegg实时调价工具,直接雇佣￥ 3500,￥ 3500,任务编号：990610,0-88.csv,,,,"实时调价, Newegg, 工具"
【响应式网站】H5前端页面html+css+js,https://task.epwk.com/990654/,333人,1人,"¥1,200",圆满完成,,H5前端页面html+css+js,直接雇佣￥ 1200,￥ 1200,任务编号：990654,0-88.csv,,,,"H5前端页面, html, css, js"
【商城建设】网站开发,https://task.epwk.com/990831/,379人,1人,"¥6,000",圆满完成,,网站开发,直接雇佣￥ 6000,￥ 6000,任务编号：990831,0-88.csv,,,,网站开发
【APP开发】图像识别软件开发二期,https://task.epwk.com/990877/,279人,1人,"¥30,000",圆满完成,,图像识别软件开发二期,直接雇佣￥ 30000,￥ 30000,任务编号：990877,0-88.csv,,,,"图像识别, 软件开发, 二期"
【小程序开发】网上祭祀公众号小程序搭建,https://task.epwk.com/990880/,213人,1人,"¥5,000",圆满完成,,网上祭祀公众号小程序搭建,直接雇佣￥ 5000,￥ 5000,任务编号：990880,0-88.csv,,,,"网上祭祀, 微信公众号, 小程序"
【其他软件开发】FB营销软件定制多线程自动控制,https://task.epwk.com/990918/,251人,1人,"¥3,000",圆满完成,,FB营销软件定制多线程自动控制,直接雇佣￥ 3000,￥ 3000,任务编号：990918,0-88.csv,,,,"FB营销, 软件定制, 多线程控制"
【VI设计】农业商城VI设计任务1,https://task.epwk.com/990957/,357人,1人,"¥1,000",圆满完成,,农业商城VI设计任务1,直接雇佣￥ 1000,￥ 1000,任务编号：990957,0-88.csv,,,,"农业商城, VI设计"
【APP开发】模仿杰夫与友开发安卓版本的广告素材编辑器,https://task.epwk.com/991138/,265人,1人,"¥15,000",圆满完成,,模仿杰夫与友开发安卓版本的广告素材编辑器,直接雇佣￥ 15000,￥ 15000,任务编号：991138,0-88.csv,,,,"模仿杰夫, 广告素材编辑器, 安卓版本"
【画册设计】画册设计 宣传册设计,https://task.epwk.com/991181/,339人,1人,"¥1,000",圆满完成,,画册设计 宣传册设计,直接雇佣￥ 1000,￥ 1000,任务编号：991181,0-88.csv,,,,"画册设计, 宣传册设计"
【公众号推广】制作公众号,https://task.epwk.com/991213/,403人,1人,"¥1,000",圆满完成,,制作公众号,直接雇佣￥ 1000,￥ 1000,任务编号：991213,0-88.csv,,,,微信公众号
【APP开发】APP功能优化,https://task.epwk.com/991231/,312人,1人,"¥1,000",圆满完成,,APP功能优化,直接雇佣￥ 1000,￥ 1000,任务编号：991231,0-88.csv,,,,"APP功能, 优化"
【包装设计】不干胶贴,https://task.epwk.com/991248/,639人,1人,¥200,工作中,,不干胶贴,直接雇佣￥ 200,￥ 200,任务编号：991248,0-88.csv,,,,"不干胶贴, 贴纸设计"
【网站UI设计】设计三个界面app的,https://task.epwk.com/991267/,482人,1人,¥300,圆满完成,,设计三个界面app的,直接雇佣￥ 300,￥ 300,任务编号：991267,0-88.csv,,,,"设计界面, app界面设计"
【PPT设计】品牌策划,https://task.epwk.com/991285/,442人,1人,¥990,圆满完成,,品牌策划,直接雇佣￥ 990,￥ 990,任务编号：991285,0-88.csv,,,,品牌策划
【彩页设计】产品说明书,https://task.epwk.com/991352/,177人,1人,"¥5,440",圆满完成,,产品说明书,直接雇佣￥ 5440,￥ 5440,任务编号：991352,0-88.csv,,,,产品说明书
【定制开发】php网站实现特定功能,https://task.epwk.com/991400/,359人,1人,"¥1,500",圆满完成,,php网站实现特定功能,直接雇佣￥ 1500,￥ 1500,任务编号：991400,0-88.csv,,,,"php网站, 特定功能"
【前端开发】后台系统前端开发制作第一笔预付款,https://task.epwk.com/991472/,144人,1人,"¥1,500",圆满完成,,后台系统前端开发制作第一笔预付款,直接雇佣￥ 1500,￥ 1500,任务编号：991472,0-88.csv,,,,"后台系统, 前端开发, 预付款"
【网站UI设计】家装小程序UI设计,https://task.epwk.com/991535/,386人,1人,"¥2,500",圆满完成,,家装小程序UI设计,直接雇佣￥ 2500,￥ 2500,任务编号：991535,0-88.csv,,,,"家装小程序, UI设计"
【详情页设计】S修色,https://task.epwk.com/991667/,132人,1人,¥425,圆满完成,,S修色,直接雇佣￥ 425,￥ 425,任务编号：991667,0-88.csv,,,,"修色, 图像处理"
【海报设计】折页,https://task.epwk.com/991671/,258人,1人,¥100,圆满完成,,折页,直接雇佣￥ 100,￥ 100,任务编号：991671,0-88.csv,,,,"折页设计, 折页制作"
【H5设计】企业网站版面设计PSD,https://task.epwk.com/991813/,398人,1人,¥500,圆满完成,,企业网站版面设计PSD,直接雇佣￥ 500,￥ 500,任务编号：991813,0-88.csv,,,,"企业网站, 版面设计, PSD"
【VI设计】VI设计,https://task.epwk.com/991826/,291人,1人,"¥9,168",圆满完成,,VI设计,直接雇佣￥ 9168,￥ 9168,任务编号：991826,0-88.csv,,,,VI设计
【APP开发】APP二开项目,https://task.epwk.com/991899/,281人,1人,"¥6,000",圆满完成,,APP二开项目,直接雇佣￥ 6000,￥ 6000,任务编号：991899,0-88.csv,,,,"APP二开, 项目开发"
【后期制作】视频声音画面不同步，调整一下,https://task.epwk.com/992016/,858人,1人,¥100,圆满完成,,视频声音画面不同步，调整一下,直接雇佣￥ 100,￥ 100,任务编号：992016,0-88.csv,,,,"视频声音画面不同步, 调整同步"
【定制开发】发布类小程序,https://task.epwk.com/992152/,403人,1人,"¥8,000",圆满完成,,发布类小程序,直接雇佣￥ 8000,￥ 8000,任务编号：992152,0-88.csv,,,,发布类小程序
【定制开发】企业网站定制开发,https://task.epwk.com/992180/,302人,1人,"¥35,000",圆满完成,,企业网站定制开发,直接雇佣￥ 35000,￥ 35000,任务编号：992180,0-88.csv,,,,"企业网站, 定制开发"
