标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,知识
【APP开发】办公软件,https://task.epwk.com/835745/,99人,1人,"¥20,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,办公软件,直接雇佣￥ 20000,￥ 20000,任务编号：835745,413-500.csv,,,,,,办公软件
【小程序开发】壁纸小程序开发,https://task.epwk.com/835751/,163人,1人,"¥32,700",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,壁纸小程序开发,直接雇佣￥ 32700,￥ 32700,任务编号：835751,413-500.csv,,,,,,"壁纸, 小程序"
【OA系统】办公管理软件五期,https://task.epwk.com/835759/,1379人,1人,"¥45,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,办公管理软件五期,直接雇佣￥ 45000,￥ 45000,任务编号：835759,413-500.csv,,,,,,"办公管理软件, 五期"
【网站UI设计】web端和移动端首页设计，翻译，UI部署,https://task.epwk.com/835762/,299人,1人,"¥3,500",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,web端和移动端首页设计，翻译，UI部署,直接雇佣￥ 3500,￥ 3500,任务编号：835762,413-500.csv,,,,,,"web端首页, 移动端首页, UI部署"
【微信开发】公众号程序开发一期,https://task.epwk.com/835781/,365人,1人,"¥6,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,公众号程序开发一期,直接雇佣￥ 6000,￥ 6000,任务编号：835781,413-500.csv,,,,,,"公众号程序, 开发, 一期"
【企业官网】企业网站开发,https://task.epwk.com/835803/,127人,1人,"¥25,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,企业网站开发,直接雇佣￥ 25000,￥ 25000,任务编号：835803,413-500.csv,,,,,,"企业网站, 网站开发"
宣传片策划、拍摄,https://task.epwk.com/835808/,109人,1人,"¥30,100",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,宣传片策划、拍摄,直接雇佣￥ 30100,￥ 30100,任务编号：835808,413-500.csv,,,,,,"宣传片策划, 拍摄"
小程序,https://task.epwk.com/835814/,48人,1人,"¥30,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,小程序,直接雇佣￥ 30000,￥ 30000,任务编号：835814,413-500.csv,,,,,,小程序
【VI设计】制作一套大米的包装VI设计,https://task.epwk.com/835818/,303人,1人,"¥35,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,制作一套大米的包装VI设计,直接雇佣￥ 35000,￥ 35000,任务编号：835818,413-500.csv,,,,,,"大米包装, VI设计"
【LOGO设计】小柯品牌设计,https://task.epwk.com/835822/,427人,1人,"¥49,869",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,小柯品牌设计,直接雇佣￥ 49869,￥ 49869,任务编号：835822,413-500.csv,,,,,,"品牌设计, 小柯"
【品牌策划】品牌全案,https://task.epwk.com/835824/,109人,1人,"¥2,600",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,品牌全案,直接雇佣￥ 2600,￥ 2600,任务编号：835824,413-500.csv,,,,,,品牌全案
【宣传策划】商业计划书,https://task.epwk.com/835828/,131人,1人,"¥2,300",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,商业计划书,直接雇佣￥ 2300,￥ 2300,任务编号：835828,413-500.csv,,,,,,商业计划书
【网店推广】全网整合营销,https://task.epwk.com/835832/,250人,1人,"¥3,200",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,全网整合营销,直接雇佣￥ 3200,￥ 3200,任务编号：835832,413-500.csv,,,,,,"全网营销, 营销策略"
【LOGO设计】LOGO设计,https://task.epwk.com/835835/,95人,1人,"¥1,200",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,LOGO设计,直接雇佣￥ 1200,￥ 1200,任务编号：835835,413-500.csv,,,,,,LOGO设计
【电商】电商系统软件开发,https://task.epwk.com/835836/,216人,1人,"¥50,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,电商系统软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：835836,413-500.csv,,,,,,"电商系统, 软件开发"
【营销型网站】团购网站二次开发,https://task.epwk.com/835839/,421人,1人,"¥15,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,团购网站二次开发,直接雇佣￥ 15000,￥ 15000,任务编号：835839,413-500.csv,,,,,,"团购网站, 二次开发"
【包装设计】包装设计,https://task.epwk.com/835841/,263人,1人,"¥2,200",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,包装设计,直接雇佣￥ 2200,￥ 2200,任务编号：835841,413-500.csv,,,,,,包装设计
【宣传策划】活动策划,https://task.epwk.com/835842/,168人,1人,"¥1,500",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,活动策划,直接雇佣￥ 1500,￥ 1500,任务编号：835842,413-500.csv,,,,,,活动策划
【LOGO设计】LOGO设计,https://task.epwk.com/835847/,292人,1人,"¥1,500",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,LOGO设计,直接雇佣￥ 1500,￥ 1500,任务编号：835847,413-500.csv,,,,,,LOGO设计
【APP开发】商城app开发 一期,https://task.epwk.com/835856/,79人,1人,"¥35,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,商城app开发 一期,直接雇佣￥ 35000,￥ 35000,任务编号：835856,413-500.csv,,,,,,"商城app, 一期开发"
【微信推广】微信H5定制开发交互设计ih5认证设计师微信推广,https://task.epwk.com/835858/,131人,1人,"¥20,000",圆满完成,https://task.epwk.com/page538.html?m=6&o=7,微信H5定制开发交互设计ih5认证设计师微信推广,直接雇佣￥ 20000,￥ 20000,任务编号：835858,413-500.csv,,,,,,"微信H5定制开发, 交互设计, ih5认证设计师, 微信推广"
【品牌策划】品牌全案,https://task.epwk.com/835862/,118人,1人,"¥2,500",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,品牌全案,直接雇佣￥ 2500,￥ 2500,任务编号：835862,413-500.csv,,,,,,品牌全案
【宣传策划】活动策划,https://task.epwk.com/835864/,290人,1人,"¥1,200",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,活动策划,直接雇佣￥ 1200,￥ 1200,任务编号：835864,413-500.csv,,,,,,活动策划
【店铺装修】【电商设计】电商设计整店装修天猫淘宝京东商城,https://task.epwk.com/835872/,261人,1人,"¥40,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,【电商设计】电商设计整店装修天猫淘宝京东商城,直接雇佣￥ 40000,￥ 40000,任务编号：835872,413-500.csv,,,,,,"电商设计, 整店装修, 天猫淘宝京东商城"
【其他建筑设计】厦门锦绣翔安小三房室内设计,https://task.epwk.com/835877/,433人,1人,"¥20,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,厦门锦绣翔安小三房室内设计,直接雇佣￥ 20000,￥ 20000,任务编号：835877,413-500.csv,,,,,,"厦门锦绣翔安小三房, 室内设计"
【其他软件开发】社交软件开发,https://task.epwk.com/835879/,206人,1人,"¥50,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,社交软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：835879,413-500.csv,,,,,,"社交软件, 软件开发"
【小程序开发】抽奖小程序开发,https://task.epwk.com/835882/,217人,1人,"¥4,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,抽奖小程序开发,直接雇佣￥ 4000,￥ 4000,任务编号：835882,413-500.csv,,,,,,"抽奖小程序, 开发"
【APP开发】客户管理、办公app,https://task.epwk.com/835883/,129人,1人,"¥26,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,客户管理、办公app,直接雇佣￥ 26000,￥ 26000,任务编号：835883,413-500.csv,,,,,,"客户管理, 办公应用"
【APP开发】开发一个语音直播房间社交聊天工具,https://task.epwk.com/835887/,150人,1人,"¥32,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,开发一个语音直播房间社交聊天工具,直接雇佣￥ 32000,￥ 32000,任务编号：835887,413-500.csv,,,,,,"语音直播, 社交聊天, 房间工具"
【书籍装帧】杂志期刊装帧设计,https://task.epwk.com/835891/,592人,1人,"¥7,560",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,杂志期刊装帧设计,直接雇佣￥ 7560,￥ 7560,任务编号：835891,413-500.csv,,,,,,"杂志期刊, 装帧设计"
【彩页设计】葡萄酒海报设计,https://task.epwk.com/835897/,844人,1人,¥300,圆满完成,https://task.epwk.com/page537.html?m=6&o=7,葡萄酒海报设计,直接雇佣￥ 300,￥ 300,任务编号：835897,413-500.csv,,,,,,"葡萄酒海报, 设计"
【口译】会议翻译口译,https://task.epwk.com/835900/,779人,1人,"¥30,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,会议翻译口译,直接雇佣￥ 30000,￥ 30000,任务编号：835900,413-500.csv,,,,,,"会议翻译, 口译"
【小程序开发】微信小程序开发,https://task.epwk.com/835901/,114人,1人,"¥18,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,微信小程序开发,直接雇佣￥ 18000,￥ 18000,任务编号：835901,413-500.csv,,,,,,"微信小程序, 开发"
【APP开发】开发一个语音直播房间社交聊天工具二期,https://task.epwk.com/835910/,157人,1人,"¥28,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,开发一个语音直播房间社交聊天工具二期,直接雇佣￥ 28000,￥ 28000,任务编号：835910,413-500.csv,,,,,,"语音直播, 社交聊天, 房间工具"
【刷脸支付】第三方支付开发一期,https://task.epwk.com/835920/,267人,1人,"¥16,330",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,第三方支付开发一期,直接雇佣￥ 16330,￥ 16330,任务编号：835920,413-500.csv,,,,,,"第三方支付, 开发, 一期"
【后端开发】紫翼网后台接口开发,https://task.epwk.com/835926/,1354人,1人,"¥1,960",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,紫翼网后台接口开发,直接雇佣￥ 1960,￥ 1960,任务编号：835926,413-500.csv,,,,,,"紫翼网, 后台接口, 接口开发"
【影视特效】云林山风景照片精修,https://task.epwk.com/835927/,1648人,1人,"¥1,980",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,云林山风景照片精修,直接雇佣￥ 1980,￥ 1980,任务编号：835927,413-500.csv,,,,,,"云林山风景, 照片精修"
【前端开发】雷动网前端页面开发,https://task.epwk.com/835930/,1311人,1人,"¥1,970",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,雷动网前端页面开发,直接雇佣￥ 1970,￥ 1970,任务编号：835930,413-500.csv,,,,,,"前端页面, 雷动网, 页面开发"
【产品推广】电话营销 呼叫中心-AI智能电话语音机器人,https://task.epwk.com/835939/,269人,1人,"¥15,800",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,电话营销 呼叫中心-AI智能电话语音机器人,直接雇佣￥ 15800,￥ 15800,任务编号：835939,413-500.csv,,,,,,"电话营销, 呼叫中心, AI智能电话, 语音机器人"
【APP开发】在线教育培训课程app开发,https://task.epwk.com/835949/,416人,1人,"¥45,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,在线教育培训课程app开发,直接雇佣￥ 45000,￥ 45000,任务编号：835949,413-500.csv,,,,,,"在线教育, 课程app, app开发"
【微信开发】培训服务公众号增加功能,https://task.epwk.com/835950/,190人,1人,"¥3,200",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,培训服务公众号增加功能,直接雇佣￥ 3200,￥ 3200,任务编号：835950,413-500.csv,,,,,,"培训服务, 公众号, 功能增加"
【手提袋设计】手提袋设计,https://task.epwk.com/835969/,881人,1人,"¥4,800",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,手提袋设计,直接雇佣￥ 4800,￥ 4800,任务编号：835969,413-500.csv,,,,,,"手提袋, 设计"
【别墅设计】广东佛山四层半别墅建筑设计,https://task.epwk.com/836012/,464人,1人,"¥24,500",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,广东佛山四层半别墅建筑设计,直接雇佣￥ 24500,￥ 24500,任务编号：836012,413-500.csv,,,,,,"广东别墅, 四层半, 别墅设计"
【APP开发】商城app开发 二期,https://task.epwk.com/836070/,171人,1人,"¥45,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,商城app开发 二期,直接雇佣￥ 45000,￥ 45000,任务编号：836070,413-500.csv,,,,,,"商城app, 二期开发"
【其他行业】成品APP,https://task.epwk.com/836071/,150人,1人,"¥5,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,成品APP,直接雇佣￥ 5000,￥ 5000,任务编号：836071,413-500.csv,,,,,,成品APP
【APP开发】分销商城app,https://task.epwk.com/836098/,253人,1人,"¥10,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,分销商城app,直接雇佣￥ 10000,￥ 10000,任务编号：836098,413-500.csv,,,,,,"分销商城, app"
教培直播软件开发第一期,https://task.epwk.com/836101/,85人,1人,"¥31,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,教培直播软件开发第一期,直接雇佣￥ 31000,￥ 31000,任务编号：836101,413-500.csv,,,,,,"教培直播, 软件开发, 第一期"
【宣传策划】宣传软文撰写,https://task.epwk.com/836108/,367人,1人,"¥1,200",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,宣传软文撰写,直接雇佣￥ 1200,￥ 1200,任务编号：836108,413-500.csv,,,,,,"宣传软文, 撰写"
种草APP功能开发,https://task.epwk.com/836111/,46人,1人,"¥6,400",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,种草APP功能开发,直接雇佣￥ 6400,￥ 6400,任务编号：836111,413-500.csv,,,,,,"种草APP, 功能开发"
【手游开发】手游开发尾款,https://task.epwk.com/836122/,856人,1人,"¥25,000",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,手游开发尾款,直接雇佣￥ 25000,￥ 25000,任务编号：836122,413-500.csv,,,,,,"手游开发, 尾款"
【包装设计】包装盒设计,https://task.epwk.com/836128/,242人,1人,"¥4,600",圆满完成,https://task.epwk.com/page537.html?m=6&o=7,包装盒设计,直接雇佣￥ 4600,￥ 4600,任务编号：836128,413-500.csv,,,,,,"包装盒, 设计"
【APP开发】游戏APP开发,https://task.epwk.com/836153/,180人,1人,"¥60,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,游戏APP开发,直接雇佣￥ 60000,￥ 60000,任务编号：836153,413-500.csv,,,,,,"游戏APP, 开发"
【APP开发】社区水果微信小程序开发二期,https://task.epwk.com/836154/,105人,1人,"¥36,500",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,社区水果微信小程序开发二期,直接雇佣￥ 36500,￥ 36500,任务编号：836154,413-500.csv,,,,,,"社区水果, 微信小程序, 小程序开发"
【小程序开发】微信游戏开发,https://task.epwk.com/836155/,186人,1人,"¥60,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,微信游戏开发,直接雇佣￥ 60000,￥ 60000,任务编号：836155,413-500.csv,,,,,,"微信游戏, 游戏开发"
【小程序开发】程序二开,https://task.epwk.com/836156/,172人,1人,"¥60,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,程序二开,直接雇佣￥ 60000,￥ 60000,任务编号：836156,413-500.csv,,,,,,程序二开
【脚本开发】游戏程序优化,https://task.epwk.com/836160/,841人,1人,"¥70,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,游戏程序优化,直接雇佣￥ 70000,￥ 70000,任务编号：836160,413-500.csv,,,,,,"游戏程序, 优化"
【手提袋设计】手提袋设计,https://task.epwk.com/836167/,708人,1人,"¥4,930",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,手提袋设计,直接雇佣￥ 4930,￥ 4930,任务编号：836167,413-500.csv,,,,,,"手提袋, 设计"
【产品外观设计】雕塑建模设计项目尾款,https://task.epwk.com/836172/,1871人,1人,"¥15,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,雕塑建模设计项目尾款,直接雇佣￥ 15000,￥ 15000,任务编号：836172,413-500.csv,,,,,,"雕塑建模, 设计项目, 尾款"
【关键词优化】网站优化 SEO优化网站推广SEO站群优化系统（高级版）,https://task.epwk.com/836173/,211人,1人,"¥18,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,网站优化 SEO优化网站推广SEO站群优化系统（高级版）,直接雇佣￥ 18000,￥ 18000,任务编号：836173,413-500.csv,,,,,,"网站优化, SEO优化, 网站推广, 站群优化, 系统"
【产品外观设计】医院环境设备建模设计项目定金,https://task.epwk.com/836174/,1476人,1人,"¥11,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,医院环境设备建模设计项目定金,直接雇佣￥ 11000,￥ 11000,任务编号：836174,413-500.csv,,,,,,"医院环境, 设备建模, 项目设计"
【小程序开发】APP开发,https://task.epwk.com/836213/,315人,1人,"¥20,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,APP开发,直接雇佣￥ 20000,￥ 20000,任务编号：836213,413-500.csv,,,,,,APP开发
【微信推广】朋友圈直发,https://task.epwk.com/836216/,442人,1人,¥98,圆满完成,https://task.epwk.com/page536.html?m=6&o=7,朋友圈直发,直接雇佣￥ 98,￥ 98,任务编号：836216,413-500.csv,,,,,,朋友圈直发
【PPT设计】ppt介绍,https://task.epwk.com/836217/,1608人,1人,"¥3,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,ppt介绍,直接雇佣￥ 3000,￥ 3000,任务编号：836217,413-500.csv,,,,,,"PPT, 介绍"
烟花爆竹行业APP开发二期,https://task.epwk.com/836219/,86人,1人,"¥30,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,烟花爆竹行业APP开发二期,直接雇佣￥ 30000,￥ 30000,任务编号：836219,413-500.csv,,,,,,"烟花爆竹行业, APP开发, 二期"
【APP开发】商城app开发 三期,https://task.epwk.com/836225/,113人,1人,"¥45,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,商城app开发 三期,直接雇佣￥ 45000,￥ 45000,任务编号：836225,413-500.csv,,,,,,"商城app, 三期开发"
【小程序开发】微信小程序开发,https://task.epwk.com/836226/,110人,1人,"¥8,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,微信小程序开发,直接雇佣￥ 8000,￥ 8000,任务编号：836226,413-500.csv,,,,,,"微信小程序, 开发"
US实训独立站开发首期款,https://task.epwk.com/836227/,59人,1人,"¥40,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,US实训独立站开发首期款,直接雇佣￥ 40000,￥ 40000,任务编号：836227,413-500.csv,,,,,,"US实训, 独立站开发"
活动,https://task.epwk.com/836228/,364人,1人,"¥2,300",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,活动,直接雇佣￥ 2300,￥ 2300,任务编号：836228,413-500.csv,,,,,,活动
【包装设计】任务发布集资app,https://task.epwk.com/836263/,311人,1人,"¥17,100",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,任务发布集资app,直接雇佣￥ 17100,￥ 17100,任务编号：836263,413-500.csv,,,,,,"集资, app, 任务发布"
商城网站开发,https://task.epwk.com/836265/,156人,1人,"¥20,000",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,商城网站开发,直接雇佣￥ 20000,￥ 20000,任务编号：836265,413-500.csv,,,,,,"商城网站, 开发"
【小程序开发】商城小程序,https://task.epwk.com/836266/,158人,1人,"¥14,900",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,商城小程序,直接雇佣￥ 14900,￥ 14900,任务编号：836266,413-500.csv,,,,,,商城小程序
【品牌策划】品牌全案,https://task.epwk.com/836298/,81人,1人,"¥2,800",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,品牌全案,直接雇佣￥ 2800,￥ 2800,任务编号：836298,413-500.csv,,,,,,品牌全案
【品牌策划】商业计划书,https://task.epwk.com/836299/,84人,1人,"¥2,300",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,商业计划书,直接雇佣￥ 2300,￥ 2300,任务编号：836299,413-500.csv,,,,,,商业计划书
【网店推广】全网整合营销,https://task.epwk.com/836305/,274人,1人,"¥3,400",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,全网整合营销,直接雇佣￥ 3400,￥ 3400,任务编号：836305,413-500.csv,,,,,,"全网营销, 营销策略"
【小程序开发】地区天气数据统计模块开发,https://task.epwk.com/836306/,94人,1人,"¥1,960",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,地区天气数据统计模块开发,直接雇佣￥ 1960,￥ 1960,任务编号：836306,413-500.csv,,,,,,地区天气数据
【H5开发】斗江湖小游戏H5页面开发,https://task.epwk.com/836307/,1407人,1人,"¥1,970",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,斗江湖小游戏H5页面开发,直接雇佣￥ 1970,￥ 1970,任务编号：836307,413-500.csv,,,,,,"斗江湖, H5页面, 游戏开发"
【其他宣传品设计】乐乐直播课堂宣传海报设计,https://task.epwk.com/836308/,562人,1人,"¥1,980",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,乐乐直播课堂宣传海报设计,直接雇佣￥ 1980,￥ 1980,任务编号：836308,413-500.csv,,,,,,"直播课堂, 宣传海报, 设计"
【LOGO设计】LOGO设计,https://task.epwk.com/836309/,77人,1人,"¥1,200",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,LOGO设计,直接雇佣￥ 1200,￥ 1200,任务编号：836309,413-500.csv,,,,,,LOGO设计
【LOGO设计】LOGO设计,https://task.epwk.com/836311/,183人,1人,"¥1,800",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,LOGO设计,直接雇佣￥ 1800,￥ 1800,任务编号：836311,413-500.csv,,,,,,LOGO设计
【宣传策划】品牌全案,https://task.epwk.com/836313/,146人,1人,"¥2,400",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,品牌全案,直接雇佣￥ 2400,￥ 2400,任务编号：836313,413-500.csv,,,,,,品牌全案
【宣传策划】活动策划,https://task.epwk.com/836315/,107人,1人,"¥1,600",圆满完成,https://task.epwk.com/page536.html?m=6&o=7,活动策划,直接雇佣￥ 1600,￥ 1600,任务编号：836315,413-500.csv,,,,,,活动策划
商城小程序开发,https://task.epwk.com/836322/,66人,1人,"¥8,000",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,商城小程序开发,直接雇佣￥ 8000,￥ 8000,任务编号：836322,413-500.csv,,,,,,"商城小程序, 开发"
【小程序开发】微信小程序开发,https://task.epwk.com/836357/,114人,1人,"¥10,000",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,微信小程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：836357,413-500.csv,,,,,,"微信小程序, 开发"
【其他宣传品设计】折页设计,https://task.epwk.com/836371/,776人,1人,"¥4,950",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,折页设计,直接雇佣￥ 4950,￥ 4950,任务编号：836371,413-500.csv,,,,,,折页设计
【LOGO设计】棘固体饮料设计,https://task.epwk.com/836379/,314人,1人,"¥49,993",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,棘固体饮料设计,直接雇佣￥ 49993,￥ 49993,任务编号：836379,413-500.csv,,,,,,"棘固体饮料, 包装设计"
【APP开发】修改App,https://task.epwk.com/836405/,274人,1人,"¥1,000",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,修改App,直接雇佣￥ 1000,￥ 1000,任务编号：836405,413-500.csv,,,,,,App修改
【企业官网】跑腿小程序开发,https://task.epwk.com/836430/,326人,1人,"¥20,490",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,跑腿小程序开发,直接雇佣￥ 20490,￥ 20490,任务编号：836430,413-500.csv,,,,,,"跑腿, 小程序, 开发"
【口译】会议翻译,https://task.epwk.com/836449/,379人,1人,"¥49,500",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,会议翻译,直接雇佣￥ 49500,￥ 49500,任务编号：836449,413-500.csv,,,,,,会议翻译
直播一期,https://task.epwk.com/836459/,101人,1人,"¥8,000",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,直播一期,直接雇佣￥ 8000,￥ 8000,任务编号：836459,413-500.csv,,,,,,"直播, 一期"
【吉祥物设计】公司吉祥物设计,https://task.epwk.com/836460/,977人,1人,"¥37,501",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,公司吉祥物设计,直接雇佣￥ 37501,￥ 37501,任务编号：836460,413-500.csv,,,,,,"公司吉祥物, 设计"
【吉祥物设计】logo设计+VI23项基础+18项应用,https://task.epwk.com/836463/,780人,1人,"¥27,102",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,logo设计+VI23项基础+18项应用,直接雇佣￥ 27102,￥ 27102,任务编号：836463,413-500.csv,,,,,,"logo设计, VI系统, 应用设计"
【小程序开发】微信小程序设计,https://task.epwk.com/836465/,234人,1人,"¥50,000",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,微信小程序设计,直接雇佣￥ 50000,￥ 50000,任务编号：836465,413-500.csv,,,,,,"微信小程序, 设计"
【APP开发】雇员app开发一期,https://task.epwk.com/836466/,170人,1人,"¥4,600",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,雇员app开发一期,直接雇佣￥ 4600,￥ 4600,任务编号：836466,413-500.csv,,,,,,"雇员app, 一期开发"
【影视特效】百花谷风景照片精修,https://task.epwk.com/836471/,725人,1人,"¥1,960",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,百花谷风景照片精修,直接雇佣￥ 1960,￥ 1960,任务编号：836471,413-500.csv,,,,,,"百花谷风景, 照片精修"
【脚本开发】显卡检测更新脚本开发,https://task.epwk.com/836472/,174人,1人,"¥1,980",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,显卡检测更新脚本开发,直接雇佣￥ 1980,￥ 1980,任务编号：836472,413-500.csv,,,,,,"显卡检测, 脚本开发"
【前端开发】数客网络官网前端页面开发,https://task.epwk.com/836474/,1341人,1人,"¥1,970",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,数客网络官网前端页面开发,直接雇佣￥ 1970,￥ 1970,任务编号：836474,413-500.csv,,,,,,"数客网络官网, 前端页面开发"
定制小票打印程序开发,https://task.epwk.com/836476/,53人,1人,"¥3,100",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,定制小票打印程序开发,直接雇佣￥ 3100,￥ 3100,任务编号：836476,413-500.csv,,,,,,"定制小票, 打印程序, 程序开发"
【小程序开发】蔬东坡小程序,https://task.epwk.com/836477/,296人,1人,"¥20,000",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,蔬东坡小程序,直接雇佣￥ 20000,￥ 20000,任务编号：836477,413-500.csv,,,,,,"蔬东坡, 小程序"
【APP开发】ERP系统开发三期,https://task.epwk.com/836487/,118人,1人,"¥9,980",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,ERP系统开发三期,直接雇佣￥ 9980,￥ 9980,任务编号：836487,413-500.csv,,,,,,"ERP系统, 开发, 三期"
【APP开发】第三方支付开发二期,https://task.epwk.com/836488/,102人,1人,"¥32,888",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,第三方支付开发二期,直接雇佣￥ 32888,￥ 32888,任务编号：836488,413-500.csv,,,,,,"第三方支付, 支付开发, 二期"
【小程序开发】商城小程序开发,https://task.epwk.com/836496/,114人,1人,"¥11,098",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,商城小程序开发,直接雇佣￥ 11098,￥ 11098,任务编号：836496,413-500.csv,,,,,,"商城小程序, 开发"
【微信开发】我们创业吧小程序,https://task.epwk.com/836521/,190人,1人,"¥12,000",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,我们创业吧小程序,直接雇佣￥ 12000,￥ 12000,任务编号：836521,413-500.csv,,,,,,"创业吧, 小程序"
【APP开发】智能条码仓库APP,https://task.epwk.com/836522/,110人,1人,"¥25,000",圆满完成,https://task.epwk.com/page535.html?m=6&o=7,智能条码仓库APP,直接雇佣￥ 25000,￥ 25000,任务编号：836522,413-500.csv,,,,,,"智能条码, 仓库管理, APP"
