标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,知识
【APP推广】网站论坛推广（十二）,https://task.epwk.com/334492/,306人,1人,"¥40,000",圆满完成,https://task.epwk.com/page3084.html?m=6&o=7,网站论坛推广（十二）,直接雇佣￥ 40000,￥ 40000,任务编号：334492,2900-3152.csv,,,,,,,,网站论坛推广
【OA系统】扩展现有系统的站内通知和邮件、短信功能,https://task.epwk.com/334502/,1553人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3084.html?m=6&o=7,扩展现有系统的站内通知和邮件、短信功能,直接雇佣￥ 4000,￥ 4000,任务编号：334502,2900-3152.csv,,,,,,,,"站内通知, 邮件功能, 短信功能"
【企业官网】御美广告公司网站开发,https://task.epwk.com/334506/,218人,1人,"¥1,300",圆满完成,https://task.epwk.com/page3084.html?m=6&o=7,御美广告公司网站开发,直接雇佣￥ 1300,￥ 1300,任务编号：334506,2900-3152.csv,,,,,,,,"御美广告公司, 网站开发"
Runice全套切图,https://task.epwk.com/334515/,208人,1人,"¥2,500",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,Runice全套切图,直接雇佣￥ 2500,￥ 2500,任务编号：334515,2900-3152.csv,,,,,,,,"Runice, 切图"
【企业官网】因《蓝精灵全能王》原软件生产方消失寻求有能力改进该软件服务,https://task.epwk.com/334525/,271人,1人,"¥88,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,因《蓝精灵全能王》原软件生产方消失寻求有能力改进该软件服务,直接雇佣￥ 88000,￥ 88000,任务编号：334525,2900-3152.csv,,,,,,,,"蓝精灵全能王, 软件改进, 服务能力"
【小程序开发】淘宝软件开发：查别人淘宝店的访客数及浏览总量,https://task.epwk.com/334526/,289人,1人,"¥55,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,淘宝软件开发：查别人淘宝店的访客数及浏览总量,直接雇佣￥ 55000,￥ 55000,任务编号：334526,2900-3152.csv,,,,,,,,"淘宝店访客数, 淘宝店浏览总量, 软件开发"
【企业官网】开发网站，会MVC设计模式外包人员驻场开发3个月,https://task.epwk.com/334528/,425人,1人,"¥101,010",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,开发网站，会MVC设计模式外包人员驻场开发3个月,直接雇佣￥ 101010,￥ 101010,任务编号：334528,2900-3152.csv,,,,,,,,"网站开发, MVC设计模式, 驻场开发"
【小程序开发】C++ 2D游戏二次开发(有源码例子参考),https://task.epwk.com/334530/,1108人,1人,"¥111,790",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,C++ 2D游戏二次开发(有源码例子参考),直接雇佣￥ 111790,￥ 111790,任务编号：334530,2900-3152.csv,,,,,,,,"C++, 2D游戏, 二次开发"
医院wap网站开发,https://task.epwk.com/334533/,189人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,医院wap网站开发,直接雇佣￥ 2000,￥ 2000,任务编号：334533,2900-3152.csv,,,,,,,,"医院网站, wap开发"
"【关键词优化】360,百度,搜狗,搜索引擎优化",https://task.epwk.com/334594/,487人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,"360,百度,搜狗,搜索引擎优化",直接雇佣￥ 10000,￥ 10000,任务编号：334594,2900-3152.csv,,,,,,,,"搜索引擎优化, 百度, 搜狗"
【产品推广】网站论坛推广（十三）,https://task.epwk.com/334613/,302人,1人,"¥40,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,网站论坛推广（十三）,直接雇佣￥ 40000,￥ 40000,任务编号：334613,2900-3152.csv,,,,,,,,网站论坛推广
类似美拍app开发,https://task.epwk.com/334624/,278人,1人,"¥95,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,类似美拍app开发,直接雇佣￥ 95000,￥ 95000,任务编号：334624,2900-3152.csv,,,,,,,,"美拍app, app开发"
阿凡达小吃餐厅logo和部份VI设计,https://task.epwk.com/334627/,159人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,阿凡达小吃餐厅logo和部份VI设计,直接雇佣￥ 5000,￥ 5000,任务编号：334627,2900-3152.csv,,,,,,,,"阿凡达小吃餐厅, logo, VI设计"
公司官网的开发与设计,https://task.epwk.com/334647/,272人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,公司官网的开发与设计,直接雇佣￥ 20000,￥ 20000,任务编号：334647,2900-3152.csv,,,,,,,,"公司官网, 开发, 设计"
企业VI设计四期,https://task.epwk.com/334659/,189人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,企业VI设计四期,直接雇佣￥ 5000,￥ 5000,任务编号：334659,2900-3152.csv,,,,,,,,"企业VI设计, 四期"
求一段高清的MAX地产漫游动画,https://task.epwk.com/334666/,149人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,求一段高清的MAX地产漫游动画,直接雇佣￥ 20000,￥ 20000,任务编号：334666,2900-3152.csv,,,,,,,,"MAX地产, 漫游动画, 高清"
ui设计,https://task.epwk.com/334668/,143人,1人,"¥10,200",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,ui设计,直接雇佣￥ 10200,￥ 10200,任务编号：334668,2900-3152.csv,,,,,,,,UI设计
UI设计第二阶段,https://task.epwk.com/334671/,198人,1人,"¥5,100",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,UI设计第二阶段,直接雇佣￥ 5100,￥ 5100,任务编号：334671,2900-3152.csv,,,,,,,,"UI设计, 第二阶段"
产品故事文案编创,https://task.epwk.com/334677/,575人,1人,¥500,圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,产品故事文案编创,直接雇佣￥ 500,￥ 500,任务编号：334677,2900-3152.csv,,,,,,,,"产品故事, 文案编创"
图片数据采集及ocr识别系统开发,https://task.epwk.com/334682/,210人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,图片数据采集及ocr识别系统开发,直接雇佣￥ 10000,￥ 10000,任务编号：334682,2900-3152.csv,,,,,,,,"图片数据采集, OCR识别, 系统开发"
仿站,https://task.epwk.com/334684/,230人,1人,¥500,圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,仿站,直接雇佣￥ 500,￥ 500,任务编号：334684,2900-3152.csv,,,,,,,,"仿站, 网站设计, 网站复制"
【电商网站】某购物多用户商城建设与维护,https://task.epwk.com/334688/,276人,1人,"¥59,600",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,某购物多用户商城建设与维护,直接雇佣￥ 59600,￥ 59600,任务编号：334688,2900-3152.csv,,,,,,,,"多用户商城, 购物系统, 商城维护"
【小程序开发】某公司PHP程序设计,https://task.epwk.com/334695/,238人,1人,"¥59,800",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,某公司PHP程序设计,直接雇佣￥ 59800,￥ 59800,任务编号：334695,2900-3152.csv,,,,,,,,"PHP程序设计, 公司系统开发"
【企业官网】某医院门诊管理系统,https://task.epwk.com/334698/,228人,1人,"¥59,700",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,某医院门诊管理系统,直接雇佣￥ 59700,￥ 59700,任务编号：334698,2900-3152.csv,,,,,,,,"门诊管理, 医院系统, 管理系统"
手机邮箱APP开发,https://task.epwk.com/334716/,237人,1人,"¥45,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,手机邮箱APP开发,直接雇佣￥ 45000,￥ 45000,任务编号：334716,2900-3152.csv,,,,,,,,"手机邮箱, APP开发"
手机邮箱APP开发第二期,https://task.epwk.com/334717/,159人,1人,"¥48,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,手机邮箱APP开发第二期,直接雇佣￥ 48000,￥ 48000,任务编号：334717,2900-3152.csv,,,,,,,,"手机邮箱, APP开发, 第二期"
网站建设,https://task.epwk.com/334718/,59人,1人,"¥6,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,网站建设,直接雇佣￥ 6000,￥ 6000,任务编号：334718,2900-3152.csv,,,,,,,,网站建设
【软件UI设计】Form-World平台客户端登录界面设计,https://task.epwk.com/334737/,911人,1人,¥300,圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,Form-World平台客户端登录界面设计,直接雇佣￥ 300,￥ 300,任务编号：334737,2900-3152.csv,,,,,,,,"Form-World平台, 客户端登录界面, 设计"
【企业官网】静态页面修改,https://task.epwk.com/334743/,137人,1人,¥200,圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,静态页面修改,直接雇佣￥ 200,￥ 200,任务编号：334743,2900-3152.csv,,,,,,,,"静态页面, 页面修改"
【企业官网】200元修改一个页面,https://task.epwk.com/334746/,312人,1人,¥200,圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,200元修改一个页面,直接雇佣￥ 200,￥ 200,任务编号：334746,2900-3152.csv,,,,,,,,页面修改
基于微信的管理平台,https://task.epwk.com/334749/,176人,1人,"¥33,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,基于微信的管理平台,直接雇佣￥ 33000,￥ 33000,任务编号：334749,2900-3152.csv,,,,,,,,"微信管理平台, 管理系统"
【LOGO设计】福建省甘肃商会的会徽LOGO及口号设计,https://task.epwk.com/334779/,340人,1人,¥500,圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,福建省甘肃商会的会徽LOGO及口号设计,直接雇佣￥ 500,￥ 500,任务编号：334779,2900-3152.csv,,,,,,,,"福建省甘肃商会, 会徽, LOGO, 口号设计"
【微博营销】微博互粉一期,https://task.epwk.com/334784/,634人,1人,"¥55,000",圆满完成,https://task.epwk.com/page3083.html?m=6&o=7,微博互粉一期,直接雇佣￥ 55000,￥ 55000,任务编号：334784,2900-3152.csv,,,,,,,,"微博互粉, 一期"
修改几个图,https://task.epwk.com/334795/,226人,1人,¥50,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,修改几个图,直接雇佣￥ 50,￥ 50,任务编号：334795,2900-3152.csv,,,,,,,,"修改, 图"
【封面设计】设计一个能成为品牌的高中同步教辅图书封面！,https://task.epwk.com/334798/,493人,1人,¥865,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,设计一个能成为品牌的高中同步教辅图书封面！,直接雇佣￥ 865,￥ 865,任务编号：334798,2900-3152.csv,,,,,,,,"品牌设计, 高中教辅, 图书封面"
切图,https://task.epwk.com/334815/,252人,1人,¥220,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,切图,直接雇佣￥ 220,￥ 220,任务编号：334815,2900-3152.csv,,,,,,,,切图
开发一款限制来电的APP,https://task.epwk.com/334847/,61人,1人,"¥29,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,开发一款限制来电的APP,直接雇佣￥ 29000,￥ 29000,任务编号：334847,2900-3152.csv,,,,,,,,"限制来电, APP开发"
产品手册,https://task.epwk.com/334855/,221人,1人,¥448,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,产品手册,直接雇佣￥ 448,￥ 448,任务编号：334855,2900-3152.csv,,,,,,,,产品手册
商业办公楼装修设计,https://task.epwk.com/334859/,426人,1人,"¥57,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,商业办公楼装修设计,直接雇佣￥ 57000,￥ 57000,任务编号：334859,2900-3152.csv,,,,,,,,"商业办公楼, 装修设计"
剧本征集,https://task.epwk.com/334873/,258人,1人,¥100,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,剧本征集,直接雇佣￥ 100,￥ 100,任务编号：334873,2900-3152.csv,,,,,,,,剧本征集
我公司鸡精类产品宣传画册,https://task.epwk.com/334901/,63人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,我公司鸡精类产品宣传画册,直接雇佣￥ 3000,￥ 3000,任务编号：334901,2900-3152.csv,,,,,,,,"鸡精产品, 宣传画册, 产品宣传"
师专附小18个页面切图,https://task.epwk.com/334904/,254人,1人,"¥2,200",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,师专附小18个页面切图,直接雇佣￥ 2200,￥ 2200,任务编号：334904,2900-3152.csv,,,,,,,,"师专附小, 页面切图"
【APP开发】开发一个移动导航监控系统,https://task.epwk.com/334909/,323人,1人,"¥55,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,开发一个移动导航监控系统,直接雇佣￥ 55000,￥ 55000,任务编号：334909,2900-3152.csv,,,,,,,,"移动导航, 监控系统"
【表情设计】增加设计费,https://task.epwk.com/334914/,687人,1人,¥100,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,增加设计费,直接雇佣￥ 100,￥ 100,任务编号：334914,2900-3152.csv,,,,,,,,设计费
网站开发二期,https://task.epwk.com/334924/,268人,1人,"¥2,500",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,网站开发二期,直接雇佣￥ 2500,￥ 2500,任务编号：334924,2900-3152.csv,,,,,,,,"网站开发, 二期"
单身公寓装修设计图,https://task.epwk.com/334932/,73人,1人,"¥26,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,单身公寓装修设计图,直接雇佣￥ 26000,￥ 26000,任务编号：334932,2900-3152.csv,,,,,,,,"单身公寓, 装修设计, 室内设计"
【小程序开发】急需雇佣微信分销系统开发团队，PHP工程师，前端开发工程师等,https://task.epwk.com/334938/,598人,1人,"¥157,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,急需雇佣微信分销系统开发团队，PHP工程师，前端开发工程师等,直接雇佣￥ 157000,￥ 157000,任务编号：334938,2900-3152.csv,,,,,,,,"微信分销系统, PHP工程师, 前端开发工程师"
【小程序开发】实时英语在线教育平台的开发（类似Vipabc 麦其英语）,https://task.epwk.com/334940/,674人,1人,"¥100,100",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,实时英语在线教育平台的开发（类似Vipabc 麦其英语）,直接雇佣￥ 100100,￥ 100100,任务编号：334940,2900-3152.csv,,,,,,,,"实时英语教育, 在线教育平台, 英语教学"
[急] 制作女性推广活动宣传图1张,https://task.epwk.com/334956/,119人,1人,¥300,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,[急] 制作女性推广活动宣传图1张,直接雇佣￥ 300,￥ 300,任务编号：334956,2900-3152.csv,,,,,,,,"女性推广活动, 宣传图"
枕头包装设计,https://task.epwk.com/334993/,170人,1人,"¥5,500",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,枕头包装设计,直接雇佣￥ 5500,￥ 5500,任务编号：334993,2900-3152.csv,,,,,,,,枕头包装设计
自建房装修效果图和平面设计图设计,https://task.epwk.com/335006/,283人,1人,"¥57,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,自建房装修效果图和平面设计图设计,直接雇佣￥ 57000,￥ 57000,任务编号：335006,2900-3152.csv,,,,,,,,"自建房装修, 效果图, 平面设计图"
需要一个管理公司资产的软件一期,https://task.epwk.com/335014/,249人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,需要一个管理公司资产的软件一期,直接雇佣￥ 5000,￥ 5000,任务编号：335014,2900-3152.csv,,,,,,,,"公司资产, 软件, 管理系统"
需要一个管理公司资产的软件二期,https://task.epwk.com/335015/,106人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,需要一个管理公司资产的软件二期,直接雇佣￥ 5000,￥ 5000,任务编号：335015,2900-3152.csv,,,,,,,,"公司资产, 软件, 二期"
需要一个管理公司资产的软件三期,https://task.epwk.com/335016/,94人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,需要一个管理公司资产的软件三期,直接雇佣￥ 5000,￥ 5000,任务编号：335016,2900-3152.csv,,,,,,,,"公司资产, 软件, 管理系统"
北京医康世纪科技有限公司手提包装袋设计,https://task.epwk.com/335028/,413人,1人,¥350,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,北京医康世纪科技有限公司手提包装袋设计,直接雇佣￥ 350,￥ 350,任务编号：335028,2900-3152.csv,,,,,,,,"手提包装袋, 医康世纪科技, 设计"
一款手表外形设计,https://task.epwk.com/335036/,164人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,一款手表外形设计,直接雇佣￥ 2000,￥ 2000,任务编号：335036,2900-3152.csv,,,,,,,,手表外形设计
人物百度百科创建 包过 创建后付款,https://task.epwk.com/335061/,141人,1人,¥500,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,人物百度百科创建 包过 创建后付款,直接雇佣￥ 500,￥ 500,任务编号：335061,2900-3152.csv,,,,,,,,"人物百科, 创建, 付款"
【企业官网】两个静态页面设置,https://task.epwk.com/335063/,115人,1人,¥350,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,两个静态页面设置,直接雇佣￥ 350,￥ 350,任务编号：335063,2900-3152.csv,,,,,,,,"静态页面, 页面设置"
开发OA系统第二期,https://task.epwk.com/335083/,79人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,开发OA系统第二期,直接雇佣￥ 20000,￥ 20000,任务编号：335083,2900-3152.csv,,,,,,,,"OA系统, 系统开发"
【微博营销】微博互粉二期,https://task.epwk.com/335087/,632人,1人,"¥55,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,微博互粉二期,直接雇佣￥ 55000,￥ 55000,任务编号：335087,2900-3152.csv,,,,,,,,"微博互粉, 二期"
【营销型网站】仿一个团购网站,https://task.epwk.com/335089/,555人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,仿一个团购网站,直接雇佣￥ 10000,￥ 10000,任务编号：335089,2900-3152.csv,,,,,,,,"团购网站, 仿站"
做一个抓羊H5小游戏,https://task.epwk.com/335116/,183人,1人,¥200,圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,做一个抓羊H5小游戏,直接雇佣￥ 200,￥ 200,任务编号：335116,2900-3152.csv,,,,,,,,"抓羊, H5游戏, 小游戏"
打车APP开发,https://task.epwk.com/335117/,191人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3082.html?m=6&o=7,打车APP开发,直接雇佣￥ 20000,￥ 20000,任务编号：335117,2900-3152.csv,,,,,,,,"打车APP, 开发"
贵州遵义沼阳科技有限责任公司VIS设计,https://task.epwk.com/335133/,310人,1人,"¥6,500",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,贵州遵义沼阳科技有限责任公司VIS设计,直接雇佣￥ 6500,￥ 6500,任务编号：335133,2900-3152.csv,,,,,,,,"贵州遵义沼阳科技, VIS设计"
【微博营销】微博互粉三期,https://task.epwk.com/335145/,381人,1人,"¥15,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,微博互粉三期,直接雇佣￥ 15000,￥ 15000,任务编号：335145,2900-3152.csv,,,,,,,,"微博互粉, 三期"
【店铺厂房】加盟店媛星甲壳虫美甲加盟店（会所、商场门面装修设计图）,https://task.epwk.com/335163/,999人,1人,"¥131,111",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,加盟店媛星甲壳虫美甲加盟店（会所、商场门面装修设计图）,直接雇佣￥ 131111,￥ 131111,任务编号：335163,2900-3152.csv,,,,,,,,"加盟店, 美甲店, 装修设计图"
国企的朋友叫找人设计展板,https://task.epwk.com/335166/,240人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,国企的朋友叫找人设计展板,直接雇佣￥ 3000,￥ 3000,任务编号：335166,2900-3152.csv,,,,,,,,"国企, 展板设计"
单身公寓装修设计尾款,https://task.epwk.com/335170/,74人,1人,"¥26,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,单身公寓装修设计尾款,直接雇佣￥ 26000,￥ 26000,任务编号：335170,2900-3152.csv,,,,,,,,"单身公寓, 装修设计, 尾款"
丝迈尔面膜招商！需要一份宣传软文,https://task.epwk.com/335185/,667人,1人,¥100,圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,丝迈尔面膜招商！需要一份宣传软文,直接雇佣￥ 100,￥ 100,任务编号：335185,2900-3152.csv,,,,,,,,"面膜招商, 宣传软文"
【小程序开发】安全标准化管理系统开发,https://task.epwk.com/335201/,272人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,安全标准化管理系统开发,直接雇佣￥ 5000,￥ 5000,任务编号：335201,2900-3152.csv,,,,,,,,"安全标准化, 管理系统, 系统开发"
【小程序开发】安全标准化管理系统开发任务二,https://task.epwk.com/335211/,247人,1人,"¥8,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,安全标准化管理系统开发任务二,直接雇佣￥ 8000,￥ 8000,任务编号：335211,2900-3152.csv,,,,,,,,"安全标准化, 管理系统, 系统开发"
【广告设计】包装设计修改,https://task.epwk.com/335215/,202人,1人,¥200,圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,包装设计修改,直接雇佣￥ 200,￥ 200,任务编号：335215,2900-3152.csv,,,,,,,,"包装设计, 修改"
办公用党建系统开发，包括web后台系统和ios,https://task.epwk.com/335221/,549人,1人,"¥30,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,办公用党建系统开发，包括web后台系统和ios,直接雇佣￥ 30000,￥ 30000,任务编号：335221,2900-3152.csv,,,,,,,,"党建系统, web后台, ios系统"
【海报设计】品牌刹车片广告宣传海报设计,https://task.epwk.com/335227/,159人,1人,¥600,圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,品牌刹车片广告宣传海报设计,直接雇佣￥ 600,￥ 600,任务编号：335227,2900-3152.csv,,,,,,,,"品牌刹车片, 广告海报, 设计"
伦式电商LOGO设计,https://task.epwk.com/335231/,165人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,伦式电商LOGO设计,直接雇佣￥ 2000,￥ 2000,任务编号：335231,2900-3152.csv,,,,,,,,"伦式电商, LOGO设计"
打车APP二次开发,https://task.epwk.com/335233/,135人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,打车APP二次开发,直接雇佣￥ 20000,￥ 20000,任务编号：335233,2900-3152.csv,,,,,,,,"打车APP, 二次开发"
【VI设计】公司LOGO和VI设计,https://task.epwk.com/335241/,232人,1人,"¥8,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,公司LOGO和VI设计,直接雇佣￥ 8000,￥ 8000,任务编号：335241,2900-3152.csv,,,,,,,,"公司LOGO, VI设计"
艺星公司商城建设,https://task.epwk.com/335264/,432人,1人,"¥80,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,艺星公司商城建设,直接雇佣￥ 80000,￥ 80000,任务编号：335264,2900-3152.csv,,,,,,,,"艺星公司, 商城建设"
【电商网站】中英文商城建设 第二阶段,https://task.epwk.com/335279/,392人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,中英文商城建设 第二阶段,直接雇佣￥ 2000,￥ 2000,任务编号：335279,2900-3152.csv,,,,,,,,"中英文商城, 建设, 第二阶段"
【APP界面设计】即时通讯软件UI制作,https://task.epwk.com/335285/,557人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,即时通讯软件UI制作,直接雇佣￥ 5000,￥ 5000,任务编号：335285,2900-3152.csv,,,,,,,,"即时通讯, UI设计"
【微博营销】微博互粉三期,https://task.epwk.com/335296/,419人,1人,"¥25,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,微博互粉三期,直接雇佣￥ 25000,￥ 25000,任务编号：335296,2900-3152.csv,,,,,,,,"微博互粉, 三期"
投资网站前端和后台系统制作,https://task.epwk.com/335322/,210人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,投资网站前端和后台系统制作,直接雇佣￥ 10000,￥ 10000,任务编号：335322,2900-3152.csv,,,,,,,,"投资网站, 前端系统, 后台系统"
5000米平方商铺装修设计，需要效果图和设计图,https://task.epwk.com/335332/,345人,1人,"¥57,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,5000米平方商铺装修设计，需要效果图和设计图,直接雇佣￥ 57000,￥ 57000,任务编号：335332,2900-3152.csv,,,,,,,,"商铺装修设计, 效果图, 设计图"
【APP开发】ecmobile（ecshop）二次开发(最好郑州),https://task.epwk.com/335348/,196人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,ecmobile（ecshop）二次开发(最好郑州),直接雇佣￥ 3000,￥ 3000,任务编号：335348,2900-3152.csv,,,,,,,,"ecmobile, ecshop, 二次开发"
【电商网站】ecshop会员卡充值功能,https://task.epwk.com/335355/,241人,1人,¥400,圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,ecshop会员卡充值功能,直接雇佣￥ 400,￥ 400,任务编号：335355,2900-3152.csv,,,,,,,,"会员卡, 充值功能, ecshop"
2分钟二维产品小动画,https://task.epwk.com/335362/,179人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,2分钟二维产品小动画,直接雇佣￥ 4000,￥ 4000,任务编号：335362,2900-3152.csv,,,,,,,,"二维动画, 产品动画"
唐花一现主题海报设计,https://task.epwk.com/335372/,179人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,唐花一现主题海报设计,直接雇佣￥ 1000,￥ 1000,任务编号：335372,2900-3152.csv,,,,,,,,"唐花一现, 海报设计"
【小程序开发】汽车定位管理系统开发【第二期】,https://task.epwk.com/335381/,267人,1人,"¥50,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,汽车定位管理系统开发【第二期】,直接雇佣￥ 50000,￥ 50000,任务编号：335381,2900-3152.csv,,,,,,,,"汽车定位管理, 系统开发, 定位系统"
机器人logo设计,https://task.epwk.com/335386/,354人,1人,¥200,圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,机器人logo设计,直接雇佣￥ 200,￥ 200,任务编号：335386,2900-3152.csv,,,,,,,,"机器人, logo设计"
【微博营销】微博互粉四期,https://task.epwk.com/335394/,442人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,微博互粉四期,直接雇佣￥ 20000,￥ 20000,任务编号：335394,2900-3152.csv,,,,,,,,"微博互粉, 四期"
【APP开发】青岛仿一微信外卖,https://task.epwk.com/335395/,246人,1人,"¥2,500",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,青岛仿一微信外卖,直接雇佣￥ 2500,￥ 2500,任务编号：335395,2900-3152.csv,,,,,,,,"青岛仿一, 微信外卖"
【APP开发】厦门找人养老院网站建设,https://task.epwk.com/335400/,189人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,厦门找人养老院网站建设,直接雇佣￥ 2000,￥ 2000,任务编号：335400,2900-3152.csv,,,,,,,,"养老院, 网站建设"
四幅3d效果图 场景图,https://task.epwk.com/335433/,458人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3081.html?m=6&o=7,四幅3d效果图 场景图,直接雇佣￥ 1000,￥ 1000,任务编号：335433,2900-3152.csv,,,,,,,,"3d效果图, 场景图"
2天内设计出LOGO,https://task.epwk.com/335434/,199人,1人,¥200,圆满完成,https://task.epwk.com/page3080.html?m=6&o=7,2天内设计出LOGO,直接雇佣￥ 200,￥ 200,任务编号：335434,2900-3152.csv,,,,,,,,"LOGO, 设计, 2天内"
meiya美芽卡通标志设计,https://task.epwk.com/335439/,150人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3080.html?m=6&o=7,meiya美芽卡通标志设计,直接雇佣￥ 3000,￥ 3000,任务编号：335439,2900-3152.csv,,,,,,,,"meiya美芽, 卡通标志, 设计"
