标题,标题链接,查看数,参与数,需求价���,状态,需求方,需求文本,发布时间,完成时间,任务编号,赏金总额,参与交稿,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12
【LOGO设计】拼音和汉字设计,https://task.epwk.com/1098091/,1298人,27人,,圆满完成,兵行车道,LiuLin.     刘林基本需求，大气  灵动一点，最好有点火的原素，注册商标使,2024.12.01,2024.12.13,任务编号：1098091,￥ 500,42,宇易品牌策划,https://shop.epwk.com/m7d7wz62w5q8/,宇易品牌策划,出售服务,https://shop.epwk.com/m7d7wz62w5q8/chushou/,工作室,三品,43分,,,宇易品牌策划,,LOGO设计,"￥300
            /日",,,,,,,,,,,,,,,,
【产品外观设计】牙线棒 产品外观设计,https://task.epwk.com/1097870/,1812人,17人,,圆满完成,vitorru,"牙线品牌名：“大虎妈妈 Mrs.Da Hu”设计一款牙线棒应用内容：牙线棒 产品外观设计设计要求：牙线棒单支尺寸‌：7.6cm 弓口1.6cm 1、设计简洁明了，注重功能性。采用单色或简单图案，便于大规模生产，易于推广。2、注重外观的时尚感和个性化，吸引年轻消费者，增加产品的趣味性和吸引力。3、设计注重人体工学原理，手柄形状、大小、以提供最佳的使用体验。注重细节处理和工艺水平，提升产品档次和品牌形象，满足高端消费者的需求。4、设计过程中，应充分考虑目标消费者的需求和偏好，以及产品的实用性和美观性，既符合市场需求又具有竞争力的牙线棒产品。5、投稿请上传3D渲染图，正视图，侧视图，45°角度图，附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品",2024.11.28,2025.01.07,任务编号：1097870,￥ 2500,20,星岬设计工作室,https://shop.epwk.com/v0n1xwwl257y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】厂房外立面包装设计,https://task.epwk.com/1098026/,693人,10人,,圆满完成,创意就是生产力,给污水处理厂的外立面做装饰。有趣，可以做实际的立体造型，也可以做出视觉上的立体感，只要美观有趣就好。,2024.11.30,2024.12.15,任务编号：1098026,￥ 500,9,NOVA2081,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【海报设计】公益海报设计,https://task.epwk.com/1098008/,3983人,42人,,圆满完成,合业手7KCx8,"海报主题：护密设计要求：1、主要是创意。表现形式不限。（可以看下其他行业的海报创意。）2、可以1张创意海报，最好是3张1个系列。3、海报需要创意重点是“护密”，概念紧密结合。4、不可与之前获奖的作品雷同。5、可以天马行空的创意形式。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2024.11.29,2024.12.18,任务编号：1098008,￥ 1000,49,贝诺一生,https://shop.epwk.com/78n96req8nkv/,贝诺一生,出售服务,https://shop.epwk.com/78n96req8nkv/chushou/,个人,四品,38分,,,贝诺一生,,,,,,,,,,,,,,,,,,,
【LOGO设计】一个熊猫轻快标设计,https://task.epwk.com/1097911/,1423人,37人,,圆满完成,微服S8UcQ,设计一个熊猫的图标，一，用于原创童装；二，禁止抄袭；三，可选加Panda Liu；四，运动清新五，方便注册。,2024.11.28,2024.12.12,任务编号：1097911,￥ 666,50,未来优创,https://shop.epwk.com/2j5xo48705xm/,未来优创,出售服务,https://shop.epwk.com/2j5xo48705xm/chushou/,工作室,四品,57分,总 34 次中标，交易总金额,￥2.4万,未来优创,,画册设计书籍排版期刊杂志展架易拉宝,"￥100
            /件",详情页设计店铺装修电商美工主图制作,"￥500
            /件",手绘插画漫画国潮贴纸商业动漫,"￥500
            /件",IP形象设计吉祥物手绘表情包,"￥500
            /件",,,,,,,,,,
【LOGO设计】某酒店logo设计，见附件！,https://task.epwk.com/1097910/,1190人,32人,,圆满完成,骄世客TMAzt,某酒店logo设计，名字及要求见附件！,2024.11.28,2024.12.27,任务编号：1097910,￥ 500,52,金生设计室,https://shop.epwk.com/4rn8qvk03ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】攀多渔现烤海味logo设计,https://task.epwk.com/1097825/,3897人,65人,,圆满完成,威府ls6LH,1、文字logo：攀多渔 现烤海味。2、图形logo：鱼型图案、简约流畅。3、辅助文案：现烤海味小零食。4、辅助英文：SEAFOOD SNACK5、本店位于一线大型购物中心，logo图形要求时尚简约，装修风格类似奶茶店/面包店。6、参考logo和图案——山缓缓。见附件,2024.11.28,2024.12.20,任务编号：1097825,￥ 1000,93,托马斯的店铺,https://shop.epwk.com/m7d7wlo9w5q8/,托马斯的店铺,出售服务,https://shop.epwk.com/m7d7wlo9w5q8/chushou/,个人,五品,37分,,,托马斯的店铺,,,,,,,,,,,,,,,,,,,
【LOGO设计】中国实验动物学会水生实验动物专业委员会LOGO设计,https://task.epwk.com/1097786/,1852人,44人,,圆满完成,威赞mcq0J,征集内容：中国实验动物学会水生实验动物专业委员会LOGO作品素材：1. 中文全称：中国实验动物学会水生实验动物专业委员会2. 英文名称：Chinese Association for Aquatic Laboratory Animal Sciences （CAALAS）3. LOGO设计应内涵丰硕、感染力强、立意明确、独具创意、简练明了、外形美观、内容健康，充分表现水生实验动物的特色和中国元素；4. 设计者提供的作品应为原创，提供JPG格式的文件。中标后设计者必需提供设计作品完整的方案，包括各类矢量图形源文件和所用到的字体等；5. 可供参考的图形标识：中国实验动物学会、国家水生生物种质资源库、国家斑马鱼资源中心、中国动物学会斑马鱼分会关于学会简介、投稿及知识产权说明，请参见附件。,2024.11.27,2025.02.24,任务编号：1097786,￥ 800,62,tomzhouwei,https://shop.epwk.com/z2nkzrxv2nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】关务通GWT字母LOGO设计方案征集,https://task.epwk.com/1097745/,4219人,68人,,圆满完成,epqihua,关务通是中国一家面向中小企业提供对外贸易数智化通关及物流服务解决方案提供商。关务通旗下拥有三大业务板块：关务通通关服务平台及软件数据服务、物流配送服务、货务运输代理及报关服务。LOGO设计要求：简洁、大气、国际化，体现行业特色。字母基础上微处理，采用GWT三个字母做一图形，图形中嵌入物流或通关服务、智能无人货车等相关元素。类似美国政府效率部的字母嵌入国旗等元素。更多内容请下载文档查看。,2024.11.27,2025.01.02,任务编号：1097745,￥ 1500,95,青岛不二设计,https://shop.epwk.com/z2nkzpzqpnqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】马拉松运营计时公司logo设计,https://task.epwk.com/1097654/,858人,25人,,圆满完成,大美女2333,公司名称：无锡行者科技有限公司公司介绍：基于RFID技术，为马拉松运动员跑步计时。自动感知并记录运动员到达各节点的时间设计要求：科技感，简约。公司名称未最终确定，可以以跑步的人为主要意象，或其他创意，直观体现马拉松运营业务。,2024.11.26,2024.12.03,任务编号：1097654,￥ 500,43,深圳非凡设计工作室,https://shop.epwk.com/78dljyqv65lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】工具类的品牌logo设计,https://task.epwk.com/1097625/,853人,28人,,圆满完成,韬领NBVB4,我想设计一款英文商标，针对出口自己自营品牌，一定要大气，有内涵，我们主要做五金工具，电动工具，全品类工具类目我想用的英文是:PCTOP就按照这个英文进行修改设计，创新，,2024.11.26,2024.12.03,任务编号：1097625,￥ 500,41,速 豹 品 牌 设 计,https://shop.epwk.com/0jnekk24xnv3/,速 豹 品 牌 设 计,出售服务,https://shop.epwk.com/0jnekk24xnv3/chushou/,工作室,一品,58分,,,速 豹 品 牌 设 计,,十年老品牌 品质有保障 客户的需求 就是我们的要求！,￥500,,,,,,,,,,,,,,,,
【排版设计】校园值班表设计,https://task.epwk.com/1097606/,309人,8人,,圆满完成,mf136****1359,根据需求设计一个校园值班表张贴在各个办公室内。要求：定点 定时 定人。  在表格中，清晰明确的显示出一定值班时间内，值班人是谁，值班地点在哪。现有两个表格，合并成一个总表，要求排版清晰简洁，任务明确，能够做到定点定人定时。,2024.11.26,2024.11.30,任务编号：1097606,￥ 300,8,沈阳中瑞恒信,https://shop.epwk.com/78n96rmkonkv/,沈阳中瑞恒信,出售服务,https://shop.epwk.com/78n96rmkonkv/chushou/,工作室,六品,51分,总 14 次中标，交易总金额,￥9132.00,沈阳中瑞恒信,,,,,,,,,,,,,,,,,,,
【LOGO设计】西瓜logo设计,https://task.epwk.com/1097600/,1447人,26人,,圆满完成,o58a6c41fdfb7d,"西瓜，LOGO设计及简单应用VI应用内容：设计LOGO。VI应用到包装上看效果。设计要求： 1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出西瓜品牌元素;3、能体现特色，西瓜名字已有“驴粪蛋”，但如限制了设计师的创意，可重新起名设计。4、附上创意说明。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2024.11.25,2024.12.19,任务编号：1097600,￥ 500,36,灵珊品牌设计,https://shop.epwk.com/81n41291onp6/,灵珊品牌设计,出售服务,https://shop.epwk.com/81n41291onp6/chushou/,工作室,七品,55分,总 11 次中标，交易总金额,￥2113.04,灵珊品牌设计,,台历品牌宣传品台历设计,"￥200
            /起",宣传画册设计,"￥200
            /页",电商广告设计,"￥500
            /套",创意海报设计,"￥500
            /款",,,,,,,,,,
【LOGO设计】环保科技公司logo设计,https://task.epwk.com/1097504/,1290人,31人,,圆满完成,上上视觉,名称：绿洁坤以微生物技术为核心的科技企业   以处理污泥为可回收再利用资源的新技术公司 技术专利全国领先   环保科技企业提报要求：logo+一款应用样机   LOGO矢量源文件可注册,2024.11.24,2024.12.15,任务编号：1097504,￥ 500,51,一念阁 | 设计,https://shop.epwk.com/09drjyxj153w/,一念阁 | 设计,出售服务,https://shop.epwk.com/09drjyxj153w/chushou/,个人,三品,45分,,,一念阁 | 设计,,LOGO设计,价格面议,,,,,,,,,,,,,,,,
【LOGO设计】粉黛琢颜产品LOGO设计,https://task.epwk.com/1097321/,1474人,33人,,圆满完成,风速阁Uxvsg,"一、粉黛琢颜产品LOGO设计要求：1、产品名为粉黛琢颜，主要是精油药油类的产品，包括花精(香料);化妆品用香料;干花瓣与香料混合物(香料)，LOGO自由发挥，最好要有中国风元素体现，构图清晰、明快、简洁、大方、色调和谐、易记忆，可在各种场合、标牌和载体上使用，便于制作和传播。2、LOGO设计应简洁明了、符合产品特色，不得与其他公司设计雷同。3、附上创意说明。二、投稿要求1、稿件为矢量图或不小于300dpi可用于印刷制作的作品源文件，注明标准比例、标准色、字体和尺寸。2、设计稿件附带100-200字左右的文字说明。说明设计意图、创作理念。3、附上1-3个LOGO应用效果图，可以直接做到我上传的白色包装上三、知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;",2024.11.21,2024.12.08,任务编号：1097321,￥ 500,54,隐形人设计工作室,https://shop.epwk.com/omdwkv97mdrp/,隐形人设计工作室,出售服务,https://shop.epwk.com/omdwkv97mdrp/chushou/,工作室,一品,53分,,,隐形人设计工作室,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页",,,,,,,,,,
【包装设计】面包卷膜设计,https://task.epwk.com/1097168/,854人,13人,,圆满完成,陕西星期八设计,1、设计稿上要有唐旺logo，唐旺宣传语“让生活更美味，让美味更健康”可以选加。2、卷膜颜色不做限制。面包卷膜表面可以透明，可以选择不规则图形或者纹理等。面包卷膜底部可以做不规则图案，色块设计。3、此卷膜设计可以适用于不同大小的面包包装（见图1）4、设计风格参考（见图2）—也可以应用参考图里的元素。,2024.11.19,2024.12.28,任务编号：1097168,￥ 300,12,o60a45088b8d38,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】严融建设公司LOGO设计,https://task.epwk.com/1097149/,1293人,43人,,圆满完成,胡胡5220,简单、大气、阳光、向上发展,2024.11.19,2024.12.09,任务编号：1097149,￥ 500,65,沐风设计,https://shop.epwk.com/2j5jjj8v25pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】原创商标设计（注册商标用）,https://task.epwk.com/1097144/,3797人,60人,,圆满完成,mf186****6277,一、产品商标设计要求1. 希望产品商标能与公司产品相符合； 2. 作品风格、形式不限，但必须原创，设计的LOGO将用于商标注册，；  3. 必须是彩色原稿，能以不同的比例尺寸清晰显示，格式多样； 4. 标识应为平面形式，可用于产品上、产品包装、各类广告、宣传品及附属品的印刷； 5. 投稿人必须说明设计的创意（设计思路）；6. 此项目需要开发 票。二、公司主营产品及公司名称1、公司专业生产研发直线导轨、滚珠丝杠、传动类产品，2、公司名称：精诚齐创科技（山东）有限公司三、知识产权说明 1、所设计的作品为原创，且第一次使用，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任； 2、中标的设计作品，我方支付设计制作费，即我方拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用；设计者不得再向其他任何地方提供使用该设计作品。,2024.11.19,2024.12.19,任务编号：1097144,￥ 1000,94,金生设计室,https://shop.epwk.com/4rn8qvk03ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】污水厂LOGO设计,https://task.epwk.com/1097094/,3576人,66人,,圆满完成,创意就是生产力,给葛洲坝生态环保有限公司，即天津污水处理厂做一个LOGO。企业介绍https://mp.weixin.qq.com/s?__biz=MjM5NDMzMDEyNg==&mid=2649953187&idx=1&sn=8906083cdda3fe4a44c6a8e51c243855&chksm=bf7ace50a7997939e05de3987543838846dbdb7b1804457b7b12f1c426ab1e6367754a3a1112&scene=27要求：简洁时尚，构思巧妙，能体现行业特点。有非常好的延展性，适合做四方连续的装饰图案，参考附件图片7,2024.11.18,2024.12.15,任务编号：1097094,￥ 1000,95,北京大匠设计工作室,https://shop.epwk.com/2j5jjy6825pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】宣传LOGO设计,https://task.epwk.com/1096943/,1917人,44人,,圆满完成,威创源okljn,1、无人机宣传LOGO设计，包含LOGO图案、企业名称“云德智能”、英文名称“Yunde smart Technology。2、要求表现出速度感、力量感。3、思路一：用Y和D两个字母组成LOGO图案，成为无人机和云朵的抽象图案。4、思路二：用抽象的电子线路图和翅膀，构成LOGO图案。5、思路三：用飞行的动物（鹰、海鸥、凤凰）抽象图案作为LOGO图案。6、思路四：参考附件图片，做一个类似的LOGO图案,2024.11.16,2024.12.02,任务编号：1096943,￥ 500,62,布鲁恩设计,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】保管箱，保险柜LOGO设计,https://task.epwk.com/1096812/,1435人,42人,,圆满完成,群V荟萃Zch7U,1.Logo名称：Mboko2.涉及产品类目：保险箱，保管箱，保险柜3.设计要求：1）该LOGO涉及商标注册，务必原创，不得在其它公司已设计好的logo上增减笔画、变换颜色等。建议LOGO体现行业属性。如有好的创意可不拘泥于此。2）简约直观、大气、易识别、有内涵；3）在黑色和白色底色下均能良好显示；4）在小尺寸下能良好显示；5）LOGO中不出现汉字，仅纯图形或者纯英文字母或图形及英文结合展现6）在众多情况下能良好显示（如产品包装，广告、名片等）4.知识产权说明1）所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2）中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用；3）中标作品一经采用，设计者不得再在其他任何地方使用该作品，或为第三人提供该作品创意方案，否则构成侵权，本公司保留依法追究设计方法律责任的权利。 5.交付使用1）附上创意说明。2）要求能注册商标。3）提供矢量图源文件，能以不同的比例尺寸清晰显示，可进行修改。,2024.11.14,2024.12.03,任务编号：1096812,￥ 500,62,佳动设计工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】食物风干机logo设计,https://task.epwk.com/1096811/,1328人,36人,,圆满完成,群V荟萃Zch7U,1.Logo名称：Konfintos2.涉及产品类目：食物风干机，果蔬脱水机3.设计要求：1）该LOGO涉及商标注册，务必原创，不得在其它公司已设计好的logo上增减笔画、变换颜色等。建议LOGO体现行业属性。如有好的创意可不拘泥于此。2）简约直观、大气、易识别、有内涵；3）在黑色和白色底色下均能良好显示；4）在小尺寸下能良好显示；5）LOGO中不出现汉字，仅纯图形或者纯英文字母或图形及英文结合展现6）在众多情况下能良好显示（如产品包装，广告、名片等）4.知识产权说明1）所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2）中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用；3）中标作品一经采用，设计者不得再在其他任何地方使用该作品，或为第三人提供该作品创意方案，否则构成侵权，本公司保留依法追究设计方法律责任的权利。 5.交付使用1）附上创意说明。2）要求能注册商标。3）提供矢量图源文件，能以不同的比例尺寸清晰显示，可进行修改。,2024.11.14,2024.12.02,任务编号：1096811,￥ 500,59,一念阁 | 设计,https://shop.epwk.com/09drjyxj153w/,一念阁 | 设计,出售服务,https://shop.epwk.com/09drjyxj153w/chushou/,个人,三品,45分,,,一念阁 | 设计,,LOGO设计,价格面议,,,,,,,,,,,,,,,,
【LOGO设计】森海医药logo 设计,https://task.epwk.com/1096729/,1596人,43人,,圆满完成,chang7834,"药店的logo ,森海来自于healthy 海森的反方向，寓意找回健康。",2024.11.14,2024.12.05,任务编号：1096729,￥ 500,61,易联宝0x8Ym,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】设计一款年轻化牙线棒外包装袋,https://task.epwk.com/1096622/,2047人,30人,,圆满完成,vitorru,"牙线品牌名：“大虎妈妈  Mrs.Da Hu”设计100支牙线包装袋设计要求：1、大气、简洁、清新、明快、年轻化，上档次，（适合25--35岁人群使用）;2、能体现产品特色，有视觉冲击力，醒目易识别，让人一眼记住，突出牙线元素，牙线口味为：薄荷味;3、牙线数量：100支/袋   牙线包装袋尺寸为：宽：140mm   高：195mm4、LOGO可用现有中英文替代或者自行设计5、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2024.11.12,2024.11.29,任务编号：1096622,￥ 1500,32,奇墨设计,https://shop.epwk.com/v0n1x1qp057y/,奇墨设计,出售服务,https://shop.epwk.com/v0n1x1qp057y/chushou/,工作室,四品,38分,,,奇墨设计,,新年贺卡设计,"￥500
            /件",宣传折页设计,"￥500
            /件",网页美化,￥1000,字体设计,100,,,,,,,,,,
【LOGO设计】LOGO设计，名称：阳光汽车主题民宿,https://task.epwk.com/1096582/,1184人,32人,,圆满完成,灵感6688,LOGO名称：阳光汽车主题民宿（民宿要突出：汽车主题）要求：LOGO设计含汽车主题，阳光温馨朝气，整体名宿简约新中式竹林元素装修风格。注附件有加了房间装修的现场照片，可以看一下装修风格！,2024.11.12,2024.11.29,任务编号：1096582,￥ 500,44,佳动设计工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】图形LOGO设计,https://task.epwk.com/1096488/,1533人,39人,,圆满完成,企特约lr2mb,我的品牌名的英文是一种龙舌兰科的植物。我们现在想要做一个简单的图形LOGO，是龙舌兰的简笔画。最好就是那种流畅的线条画出来，要写意随性一些。最好是一笔到头的。植物的样子我放在附件区。只是参考的，不用那么像，只需要有这个意境就可以了。单图像LOGO ，无需文字。,2024.11.11,2024.11.29,任务编号：1096488,￥ 500,60,布鲁恩设计,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】经络梳产品外包装设计,https://task.epwk.com/1096294/,593人,8人,,圆满完成,安徽木头记,设计理念：1、木制经络梳的外包装设计2、我们的理念是“不做森林的破坏者！”“维护森林的可持续发展”“FSC认证”3、年轻感、唯美感4、包装盒型搭配自由选择，要好看好用,2024.11.09,2024.11.30,任务编号：1096294,￥ 500,8,MAX空间设计,https://shop.epwk.com/qgdmjoe7odke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】logo设计，复活节雕像,https://task.epwk.com/1096189/,1291人,30人,,圆满完成,邱邱邱,我们是做数字人的公司，公司业务主要是把个人形象上传到我们公司网站然后，只需要复制爆款文案，我们公司系统可以通过系统驱动生成原视频声音通过大数据算法改正口型，代替真人出镜减少梳妆打扮被搞时间成本，1分钟可以生成出爆款视频，我需要您帮我设计一款LOGO，给客户一种感觉我们可以帮他打造数字人形象让他的形象可以在这个世界永世长存，打造个人IP，我希望用复活岛雕像来唤醒关联这个印象，所以需要您给我设计出来复活节岛雕像的风格作为我的logo，附件里有一些参考图，期待与您合作,2024.11.07,2024.11.16,任务编号：1096189,￥ 688,43,隐形人设计工作室,https://shop.epwk.com/omdwkv97mdrp/,隐形人设计工作室,出售服务,https://shop.epwk.com/omdwkv97mdrp/chushou/,工作室,一品,53分,,,隐形人设计工作室,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页",,,,,,,,,,
【LOGO设计】怡朗电梯logo设计,https://task.epwk.com/1096185/,1555人,44人,,圆满完成,怡朗电梯,"怡朗电梯设计个图形logo,目前注册的商标怡朗YLNO",2024.11.07,2024.11.27,任务编号：1096185,￥ 500,71,深圳非凡设计工作室,https://shop.epwk.com/78dljyqv65lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】品牌LOGO设计,https://task.epwk.com/1095772/,2127人,41人,,圆满完成,小蜜蜂2bI73,关键词条：熙洋，熙洋跨境，熙洋电商设计想法：希望设计师们天马行空，尽情发挥自己的想象需求原则：一经采纳，该设计方案的著作权即版权则视为归雇主所有设计要求：1、要求必须具备易识别，易记忆，难忘记；2、要与其他的LOGO有明显的区别，要有明显的特征；3、LOGO必须有符合关键词条的象征意义；4、要注意敏感的字样、形状；5、LOGO的颜色、结构能带给人强烈的心理暗示，容易吸引眼球等；6、一经采纳，设计方须提交完整的设计源文件，包括但不限于jpg、png、doc、pptx、pdf等格式文件。,2024.11.04,2024.12.02,任务编号：1095772,￥ 500,67,创益设计,https://shop.epwk.com/7lngqwwo3dmr/,创益设计,出售服务,https://shop.epwk.com/7lngqwwo3dmr/chushou/,工作室,七品,37分,,,创益设计,,,,,,,,,,,,,,,,,,,
【包装设计】薯片包装设计,https://task.epwk.com/1095885/,4284人,31人,,圆满完成,合业手7KCx8,名字：Beschips  百事怡4个口味，用颜色和图案区分。马铃薯原味、酸辣番茄味、蜂蜜黄油味、椒香麻辣味。标志先用有中英文替代。文字：70克，图片仅供参考。其他文字、英文可以根据需要添加。背面文字先用其他薯片的替代。参考：chipsy的包装（见参考图）、乐事的颜色尺寸：袋子宽180mmx高250mm（展开380mmx250mm），参考乐事（可以去商场参考一下乐事薯片）要求：薯片和图片有食欲，一定避免版权。,2024.11.05,2024.12.21,任务编号：1095885,￥ 1000,30,叁点设计,https://shop.epwk.com/zqdplg4okn1v/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】“E22同心社”LOGO设计,https://task.epwk.com/1095821/,1972人,36人,,圆满完成,搜才,1、LOGO名称：E22同心社。2、设计要求：北大国家发展研究院EMBA班级成立一个班级同心社组织，这个组织需要设计一个“E22同心社”logo， 口号slogan是“ 同心同德，永不毕业！”这个logo要求互助友爱、团结向上、充满热情！3、可提供多种版本，如果可能的话，可提供设计释义。4、效果图要求：以茶杯、旗帜、T恤、纪念品等为展示实例知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的设计作品，我方支付设计制作费。即拥有该作品的知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用，设计者不得再向其他任何地方使用该设计作品；3、中标后投稿人应提供完整的、可用的矢量图形及源文件，标明标准色值、注明各部分比例、尺寸、颜色、字体。,2024.11.04,2024.11.12,任务编号：1095821,￥ 1000,54,金生设计室,https://shop.epwk.com/4rn8qvk03ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】眼药水包装设计,https://task.epwk.com/1095803/,1064人,16人,,圆满完成,聚品创客WXPJ6,"包装设计是6面体，前期只要先提交正反2面，后续稿件通过后再设计另外的4面内容即可（另外4面大部分都是已确认的文字，不需要过多元素）整体要求1.字体必须是绝对免费的、2.感觉高大上、最好有中医药元素或者科技元素3.因为成分有麝香和珍珠，如果可以希望能体现出来、4.外包装最好是一看就知道是滴眼液。附件上传的2个图片肖像商标和图形商标不一定要体现在反正面，但是必须体现在外包装上。5.正面需要留出一个可粘贴野生背书二维码的空间尺寸为31.5cm正反面需要体现元素正面：产品名称：""麝珠明目滴眼液 """"主治功能：消翳明目、用于老年性初、中期白内障、视疲劳、眼酸胀痛、眼干涩、视物模糊""""国药准字Z19990015“  ,OTC”,“外”,“国药准字Z19990015”,“福建麝珠明股份有限公司”反面设计师可以自主创作",2024.11.04,2024.11.24,任务编号：1095803,￥ 818,17,文心艺境,https://shop.epwk.com/81n41ggxonp6/,文心艺境,出售服务,https://shop.epwk.com/81n41ggxonp6/chushou/,企业,五品,87分,总 8 次中标，交易总金额,￥1.21万,文心艺境,,设计类丨LOGO标志,价格面议,设计类丨VI视觉应用,价格面议,设计类丨画册设计,价格面议,设计类丨包装设计,价格面议,,,,,,,,,,
