标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,,,
【APP开发】单机游戏模拟器二次或逆向开发,https://task.epwk.com/1122348/,35人,1人,"¥5,000",圆满完成,,单机游戏模拟器二次或逆向开发,直接雇佣￥ 5000,￥ 5000,任务编号：1122348,0-88.csv,,,,
【网站二次开发】fastadmin框架的cms插件网站复制,https://task.epwk.com/1122443/,70人,1人,"¥2,500",圆满完成,,fastadmin框架的cms插件网站复制,直接雇佣￥ 2500,￥ 2500,任务编号：1122443,0-88.csv,,,,
【网站二次开发】远程部署网站,https://task.epwk.com/1122613/,250人,1人,"¥1,000",圆满完成,,远程部署网站,直接雇佣￥ 1000,￥ 1000,任务编号：1122613,0-88.csv,,,,
【其他工具软件】原生安卓美颜插件打包成uniapp,https://task.epwk.com/1122646/,25人,1人,"¥1,500",圆满完成,,原生安卓美颜插件打包成uniapp,直接雇佣￥ 1500,￥ 1500,任务编号：1122646,0-88.csv,,,,
【商城建设】h5开发,https://task.epwk.com/1122715/,17人,1人,¥300,圆满完成,,h5开发,直接雇佣￥ 300,￥ 300,任务编号：1122715,0-88.csv,,,,
【定制开发】网站源码修改。,https://task.epwk.com/1122759/,830人,1人,"¥5,365",圆满完成,,网站源码修改。,直接雇佣￥ 5365,￥ 5365,任务编号：1122759,0-88.csv,,,,
【定制开发】源码第二阶段。,https://task.epwk.com/1122760/,822人,1人,"¥2,739",圆满完成,,源码第二阶段。,直接雇佣￥ 2739,￥ 2739,任务编号：1122760,0-88.csv,,,,
【其他软件开发】软件开发服务（一期）,https://task.epwk.com/1123049/,3038人,1人,"¥5,200",圆满完成,,软件开发服务（一期）,直接雇佣￥ 5200,￥ 5200,任务编号：1123049,0-88.csv,,,,
【其他软件开发】软件开发服务（二期）,https://task.epwk.com/1123051/,3049人,1人,"¥3,900",圆满完成,,软件开发服务（二期）,直接雇佣￥ 3900,￥ 3900,任务编号：1123051,0-88.csv,,,,
【其他软件开发】软件开发服务（三期）,https://task.epwk.com/1123052/,3241人,1人,"¥3,900",圆满完成,,软件开发服务（三期）,直接雇佣￥ 3900,￥ 3900,任务编号：1123052,0-88.csv,,,,
【定制开发】服务器配置,https://task.epwk.com/1123084/,3170人,1人,"¥1,524",圆满完成,,服务器配置,直接雇佣￥ 1524,￥ 1524,任务编号：1123084,0-88.csv,,,,
【排版设计】格林童话绘本内页图制作6本,https://task.epwk.com/1123133/,48人,1人,"¥2,800",圆满完成,,格林童话绘本内页图制作6本,直接雇佣￥ 2800,￥ 2800,任务编号：1123133,0-88.csv,,,,
【定制开发】深圳市广艺松井油墨科技有,https://task.epwk.com/1123199/,3001人,1人,"¥4,000",工作中,,深圳市广艺松井油墨科技有,直接雇佣￥ 4000,￥ 4000,任务编号：1123199,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1123345/,2975人,1人,¥500,圆满完成,,app开发,直接雇佣￥ 500,￥ 500,任务编号：1123345,0-88.csv,,,,
【包装设计】根据样板图设计包装,https://task.epwk.com/1123751/,33人,1人,¥300,圆满完成,,根据样板图设计包装,直接雇佣￥ 300,￥ 300,任务编号：1123751,0-88.csv,,,,
【小程序开发】医疗行业小程序开发,https://task.epwk.com/1123763/,18人,1人,"¥7,600",圆满完成,,医疗行业小程序开发,直接雇佣￥ 7600,￥ 7600,任务编号：1123763,0-88.csv,,,,
【定制开发】优译有限公司建站沟通群,https://task.epwk.com/1124066/,265人,1人,"¥5,500",工作中,,优译有限公司建站沟通群,直接雇佣￥ 5500,￥ 5500,任务编号：1124066,0-88.csv,,,,
【APP开发】ERP界面,https://task.epwk.com/1124131/,3586人,1人,"¥4,500",圆满完成,,ERP界面,直接雇佣￥ 4500,￥ 4500,任务编号：1124131,0-88.csv,,,,
【通讯聊天】数据恢复,https://task.epwk.com/1124230/,3165人,1人,"¥1,000",圆满完成,,数据恢复,直接雇佣￥ 1000,￥ 1000,任务编号：1124230,0-88.csv,,,,
【包装设计】礼盒设计,https://task.epwk.com/1124455/,96人,1人,"¥5,680",圆满完成,,礼盒设计,直接雇佣￥ 5680,￥ 5680,任务编号：1124455,0-88.csv,,,,
【小程序开发】人生法律风险地图,https://task.epwk.com/1124493/,915人,1人,"¥12,800",圆满完成,,人生法律风险地图,直接雇佣￥ 12800,￥ 12800,任务编号：1124493,0-88.csv,,,,
【影视拍摄】玉石原石拍照录像,https://task.epwk.com/1124515/,15人,1人,"¥2,660",圆满完成,,玉石原石拍照录像,直接雇佣￥ 2660,￥ 2660,任务编号：1124515,0-88.csv,,,,
【交互设计】重新设计web网站app,https://task.epwk.com/1124654/,67人,1人,"¥9,600",工作中,,重新设计web网站app,直接雇佣￥ 9600,￥ 9600,任务编号：1124654,0-88.csv,,,,
【AI设计】绘本制作6本,https://task.epwk.com/1124875/,122人,1人,"¥2,450",圆满完成,,绘本制作6本,直接雇佣￥ 2450,￥ 2450,任务编号：1124875,0-88.csv,,,,
【定制开发】源码修改。,https://task.epwk.com/1124977/,1062人,1人,¥454,圆满完成,,源码修改。,直接雇佣￥ 454,￥ 454,任务编号：1124977,0-88.csv,,,,
【定制开发】服务器搭建,https://task.epwk.com/1125143/,132人,1人,"¥1,424",圆满完成,,服务器搭建,直接雇佣￥ 1424,￥ 1424,任务编号：1125143,0-88.csv,,,,
【H5设计】小程序UI设计,https://task.epwk.com/1125212/,35人,1人,"¥3,000",圆满完成,,小程序UI设计,直接雇佣￥ 3000,￥ 3000,任务编号：1125212,0-88.csv,,,,
【微信开发】搭建web版本聊天软件，加功能改版，加机器人功能。,https://task.epwk.com/1125395/,2688人,1人,"¥10,000",圆满完成,,搭建web版本聊天软件，加功能改版，加机器人功能。,直接雇佣￥ 10000,￥ 10000,任务编号：1125395,0-88.csv,,,,
【LOGO设计】全屋定制LOGO,https://task.epwk.com/1125667/,23人,1人,¥299,圆满完成,,全屋定制LOGO,直接雇佣￥ 299,￥ 299,任务编号：1125667,0-88.csv,,,,
【定制开发】网站源码编程器,https://task.epwk.com/1125777/,1494人,1人,¥360,圆满完成,,网站源码编程器,直接雇佣￥ 360,￥ 360,任务编号：1125777,0-88.csv,,,,
【手机网站】H5网站优化,https://task.epwk.com/1125808/,912人,1人,"¥1,500",圆满完成,,H5网站优化,直接雇佣￥ 1500,￥ 1500,任务编号：1125808,0-88.csv,,,,
【APP开发】嵌入式linux系统平台开发首付款,https://task.epwk.com/1126060/,442人,1人,"¥20,520",圆满完成,,嵌入式linux系统平台开发首付款,直接雇佣￥ 20520,￥ 20520,任务编号：1126060,0-88.csv,,,,
【小程序开发】金手指。塑胶直供小程序补充功能开发,https://task.epwk.com/1126106/,388人,1人,"¥2,800",圆满完成,,金手指。塑胶直供小程序补充功能开发,直接雇佣￥ 2800,￥ 2800,任务编号：1126106,0-88.csv,,,,
【网站UI设计】通讯录等图标,https://task.epwk.com/1126215/,50人,1人,¥200,圆满完成,,通讯录等图标,直接雇佣￥ 200,￥ 200,任务编号：1126215,0-88.csv,,,,
【其他网站】成都维垣起重设备,https://task.epwk.com/1126522/,2988人,1人,"¥2,000",圆满完成,,成都维垣起重设备,直接雇佣￥ 2000,￥ 2000,任务编号：1126522,0-88.csv,,,,
【定制开发】网站程序搭建平台,https://task.epwk.com/1126626/,2809人,1人,"¥7,009",圆满完成,,网站程序搭建平台,直接雇佣￥ 7009,￥ 7009,任务编号：1126626,0-88.csv,,,,
【工业产品设计】机床结构设计的平台手续费,https://task.epwk.com/1126902/,28人,1人,"¥1,375",圆满完成,,机床结构设计的平台手续费,直接雇佣￥ 1375,￥ 1375,任务编号：1126902,0-88.csv,,,,
【企业官网】网站维护+阿里云服务器一年续费费用,https://task.epwk.com/1127146/,2721人,1人,"¥8,012",圆满完成,,网站维护+阿里云服务器一年续费费用,直接雇佣￥ 8012,￥ 8012,任务编号：1127146,0-88.csv,,,,
【宣传册设计】科技画册设计,https://task.epwk.com/1127158/,10人,1人,"¥3,500",圆满完成,,科技画册设计,直接雇佣￥ 3500,￥ 3500,任务编号：1127158,0-88.csv,,,,
【LOGO设计】logo设计/标志设计/品牌设计/原创设计,https://task.epwk.com/1127170/,91人,1人,"¥1,500",圆满完成,,logo设计/标志设计/品牌设计/原创设计,直接雇佣￥ 1500,￥ 1500,任务编号：1127170,0-88.csv,,,,
【APP开发】万年历app,https://task.epwk.com/1127223/,2811人,1人,"¥13,500",圆满完成,,万年历app,直接雇佣￥ 13500,￥ 13500,任务编号：1127223,0-88.csv,,,,
【其他网站】绍兴新视界进出口有限公司,https://task.epwk.com/1127385/,1976人,1人,"¥4,500",工作中,,绍兴新视界进出口有限公司,直接雇佣￥ 4500,￥ 4500,任务编号：1127385,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1127411/,19人,1人,¥366,圆满完成,,app开发,直接雇佣￥ 366,￥ 366,任务编号：1127411,0-88.csv,,,,
【小程序开发】crmeb多商户系统前端页面定制及素材管理功能定制,https://task.epwk.com/1127471/,1127人,1人,"¥7,000",圆满完成,,crmeb多商户系统前端页面定制及素材管理功能定制,直接雇佣￥ 7000,￥ 7000,任务编号：1127471,0-88.csv,,,,
【定制开发】从PDF中自动提取文本块,https://task.epwk.com/1127480/,1288人,1人,"¥12,000",工作中,,从PDF中自动提取文本块,直接雇佣￥ 12000,￥ 12000,任务编号：1127480,0-88.csv,,,,
【AI设计】绘本内容制作2本,https://task.epwk.com/1127518/,43人,1人,"¥1,100",圆满完成,,绘本内容制作2本,直接雇佣￥ 1100,￥ 1100,任务编号：1127518,0-88.csv,,,,
【小程序开发】参照对标模板制作,https://task.epwk.com/1127579/,685人,1人,"¥1,500",圆满完成,,参照对标模板制作,直接雇佣￥ 1500,￥ 1500,任务编号：1127579,0-88.csv,,,,
【虚拟人】爱因斯坦数字人形象与unity组件程序开发,https://task.epwk.com/1127626/,378人,1人,"¥19,500",圆满完成,,爱因斯坦数字人形象与unity组件程序开发,直接雇佣￥ 19500,￥ 19500,任务编号：1127626,0-88.csv,,,,
【包装设计】一款茶叶包装设计,https://task.epwk.com/1127745/,20人,1人,"¥1,000",圆满完成,,一款茶叶包装设计,直接雇佣￥ 1000,￥ 1000,任务编号：1127745,0-88.csv,,,,
【其他软件开发】微信小程序支付V3接口下单代码,https://task.epwk.com/1127970/,31人,1人,¥200,圆满完成,,微信小程序支付V3接口下单代码,直接雇佣￥ 200,￥ 200,任务编号：1127970,0-88.csv,,,,
【AI设计】绘本内容制作4本,https://task.epwk.com/1128286/,60人,1人,"¥1,950",圆满完成,,绘本内容制作4本,直接雇佣￥ 1950,￥ 1950,任务编号：1128286,0-88.csv,,,,
【其他软件开发】微信小程序支付V3接口统一下单接口开发,https://task.epwk.com/1128606/,70人,1人,¥300,圆满完成,,微信小程序支付V3接口统一下单接口开发,直接雇佣￥ 300,￥ 300,任务编号：1128606,0-88.csv,,,,
【区块链应用】TON链  NFT 自动抢购系统,https://task.epwk.com/1128971/,17人,1人,"¥7,000",工作中,,TON链  NFT 自动抢购系统,直接雇佣￥ 7000,￥ 7000,任务编号：1128971,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1128982/,14人,1人,¥500,圆满完成,,app开发,直接雇佣￥ 500,￥ 500,任务编号：1128982,0-88.csv,,,,
【脚本开发】合并色块,https://task.epwk.com/1128988/,1198人,1人,"¥2,000",圆满完成,,合并色块,直接雇佣￥ 2000,￥ 2000,任务编号：1128988,0-88.csv,,,,
【包装设计】​黄精茶的包装设计,https://task.epwk.com/1129034/,53人,1人,"¥3,500",工作中,,​黄精茶的包装设计,直接雇佣￥ 3500,￥ 3500,任务编号：1129034,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1129134/,13人,1人,¥260,圆满完成,,app开发,直接雇佣￥ 260,￥ 260,任务编号：1129134,0-88.csv,,,,
【定制开发】网站源码搭建,https://task.epwk.com/1129222/,399人,1人,¥773,圆满完成,,网站源码搭建,直接雇佣￥ 773,￥ 773,任务编号：1129222,0-88.csv,,,,
【SAAS软件】物流配送平台第一期开发,https://task.epwk.com/1129285/,155人,1人,"¥1,500",工作中,,物流配送平台第一期开发,直接雇佣￥ 1500,￥ 1500,任务编号：1129285,0-88.csv,,,,
【产品外观设计】医院一次性湿化瓶外管设计,https://task.epwk.com/1129505/,35人,1人,"¥2,500",圆满完成,,医院一次性湿化瓶外管设计,直接雇佣￥ 2500,￥ 2500,任务编号：1129505,0-88.csv,,,,
【影视拍摄】宠物产品图拍摄,https://task.epwk.com/1129507/,60人,1人,¥500,圆满完成,,宠物产品图拍摄,直接雇佣￥ 500,￥ 500,任务编号：1129507,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1129555/,14人,1人,¥360,圆满完成,,app开发,直接雇佣￥ 360,￥ 360,任务编号：1129555,0-88.csv,,,,
【AI设计】绘本制作5本,https://task.epwk.com/1129676/,185人,1人,"¥2,425",工作中,,绘本制作5本,直接雇佣￥ 2425,￥ 2425,任务编号：1129676,0-88.csv,,,,
【详情页设计】一套主图+详情,https://task.epwk.com/1129908/,34人,1人,¥270,圆满完成,,一套主图+详情,直接雇佣￥ 270,￥ 270,任务编号：1129908,0-88.csv,,,,
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商设计,https://task.epwk.com/1130083/,41人,1人,"¥1,350",圆满完成,,详情页设计淘宝短视频平台天猫美团亚马逊电商设计,直接雇佣￥ 1350,￥ 1350,任务编号：1130083,0-88.csv,,,,
【易拉宝/展架设计】宣传画册宣传品传单折页设计宣传单宣传册设计易拉宝展架海报,https://task.epwk.com/1130128/,32人,1人,"¥1,625",工作中,,宣传画册宣传品传单折页设计宣传单宣传册设计易拉宝展架海报,直接雇佣￥ 1625,￥ 1625,任务编号：1130128,0-88.csv,,,,
【剪辑服务】视频后期剪辑或特效,https://task.epwk.com/1130156/,72人,1人,¥50,圆满完成,,视频后期剪辑或特效,直接雇佣￥ 50,￥ 50,任务编号：1130156,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1130163/,15人,1人,¥230,圆满完成,,app开发,直接雇佣￥ 230,￥ 230,任务编号：1130163,0-88.csv,,,,
【产品视频】视频剪辑,https://task.epwk.com/1130266/,110人,1人,¥50,圆满完成,,视频剪辑,直接雇佣￥ 50,￥ 50,任务编号：1130266,0-88.csv,,,,
【APP开发】自动填词软件,https://task.epwk.com/1130294/,41人,1人,¥400,圆满完成,,自动填词软件,直接雇佣￥ 400,￥ 400,任务编号：1130294,0-88.csv,,,,
【定制开发】定制平面图设计,https://task.epwk.com/1130784/,3205人,1人,"¥3,500",圆满完成,,定制平面图设计,直接雇佣￥ 3500,￥ 3500,任务编号：1130784,0-88.csv,,,,
【3D建模】传感器安装机,https://task.epwk.com/1130828/,122人,1人,"¥3,500",圆满完成,,传感器安装机,直接雇佣￥ 3500,￥ 3500,任务编号：1130828,0-88.csv,,,,
【其他软件开发】荣耀商城下单辅助软件,https://task.epwk.com/1130853/,3254人,1人,"¥5,000",圆满完成,,荣耀商城下单辅助软件,直接雇佣￥ 5000,￥ 5000,任务编号：1130853,0-88.csv,,,,
【小程序开发】金手指塑胶直供小程序二次开发,https://task.epwk.com/1131080/,3139人,1人,"¥1,800",工作中,,金手指塑胶直供小程序二次开发,直接雇佣￥ 1800,￥ 1800,任务编号：1131080,0-88.csv,,,,
【网站二次开发】培训网站二次开发,https://task.epwk.com/1131140/,8人,1人,"¥2,000",圆满完成,,培训网站二次开发,直接雇佣￥ 2000,￥ 2000,任务编号：1131140,0-88.csv,,,,
【网站二次开发】商城网站对接银联支付,https://task.epwk.com/1131236/,2987人,1人,"¥2,000",工作中,,商城网站对接银联支付,直接雇佣￥ 2000,￥ 2000,任务编号：1131236,0-88.csv,,,,
【后端开发】微信已沟通，0803,https://task.epwk.com/1131295/,2247人,1人,"¥1,600",圆满完成,,微信已沟通，0803,直接雇佣￥ 1600,￥ 1600,任务编号：1131295,0-88.csv,,,,
【后端开发】微信已沟通0806,https://task.epwk.com/1131573/,2849人,1人,"¥2,000",圆满完成,,微信已沟通0806,直接雇佣￥ 2000,￥ 2000,任务编号：1131573,0-88.csv,,,,
【APP开发】app,https://task.epwk.com/1131685/,12人,1人,¥500,圆满完成,,app,直接雇佣￥ 500,￥ 500,任务编号：1131685,0-88.csv,,,,
【后端开发】优化0807,https://task.epwk.com/1131753/,16人,1人,¥300,圆满完成,,优化0807,直接雇佣￥ 300,￥ 300,任务编号：1131753,0-88.csv,,,,
【定制开发】网站程序搭建,https://task.epwk.com/1131822/,1753人,1人,"¥2,294",圆满完成,,网站程序搭建,直接雇佣￥ 2294,￥ 2294,任务编号：1131822,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1131889/,232人,1人,¥500,圆满完成,,app开发,直接雇佣￥ 500,￥ 500,任务编号：1131889,0-88.csv,,,,
【后端开发】微信已沟通0810,https://task.epwk.com/1131954/,4人,1人,"¥1,300",圆满完成,,微信已沟通0810,直接雇佣￥ 1300,￥ 1300,任务编号：1131954,0-88.csv,,,,
【定制开发】AI软件开发,https://task.epwk.com/1132057/,31人,1人,"¥1,000",圆满完成,,AI软件开发,直接雇佣￥ 1000,￥ 1000,任务编号：1132057,0-88.csv,,,,
【封面设计】纯音乐单曲封面设计,https://task.epwk.com/1132108/,27人,1人,"¥2,000",圆满完成,,纯音乐单曲封面设计,直接雇佣￥ 2000,￥ 2000,任务编号：1132108,0-88.csv,,,,
【APP开发】嵌入式linux系统平台开发二期款,https://task.epwk.com/1132187/,71人,1人,"¥41,040",圆满完成,,嵌入式linux系统平台开发二期款,直接雇佣￥ 41040,￥ 41040,任务编号：1132187,0-88.csv,,,,
【定制开发】网站修改一下,https://task.epwk.com/1132367/,221人,1人,"¥1,100",圆满完成,,网站修改一下,直接雇佣￥ 1100,￥ 1100,任务编号：1132367,0-88.csv,,,,
【其他软件开发】木模板套料算法系统开发项目,https://task.epwk.com/1132455/,18人,1人,"¥30,000",工作中,,木模板套料算法系统开发项目,直接雇佣￥ 30000,￥ 30000,任务编号：1132455,0-88.csv,,,,
【定制开发】anflow后台管理系统开发,https://task.epwk.com/1132510/,32人,1人,"¥22,000",工作中,,anflow后台管理系统开发,直接雇佣￥ 22000,￥ 22000,任务编号：1132510,0-88.csv,,,,
【其他软件开发】amlogicT972实现wifi-display投屏,https://task.epwk.com/1132713/,128人,1人,¥800,工作中,,amlogicT972实现wifi-display投屏,直接雇佣￥ 800,￥ 800,任务编号：1132713,0-88.csv,,,,
【其他软件开发】uni-app安卓原生插件开发,https://task.epwk.com/1132761/,257人,1人,"¥1,000",工作中,,uni-app安卓原生插件开发,直接雇佣￥ 1000,￥ 1000,任务编号：1132761,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1132879/,11人,1人,¥400,待验收,,app开发,直接雇佣￥ 400,￥ 400,任务编号：1132879,0-88.csv,,,,
【APP开发】APP开发,https://task.epwk.com/1133023/,18人,1人,"¥5,092",圆满完成,,APP开发,直接雇佣￥ 5092,￥ 5092,任务编号：1133023,0-88.csv,,,,
【LOGO设计】家政养老行业LOGO设计,https://task.epwk.com/1133231/,0人,1人,¥665,工作中,,家政养老行业LOGO设计,直接雇佣￥ 665,￥ 665,任务编号：1133231,0-88.csv,,,,
