标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【小程序开发】自动生成图片的软件开发,https://task.epwk.com/1034166/,126人,1人,1000-3000元,圆满完成,k3324****03,项目:自动生成图片的软件开发称呼:张女士地区:广东 广州（服务商地域不限）需求:雇主公司周年庆，想设计一个头像框，员工扫码登入后，可以上传自己各自的头像到这个框里，生成图片可以下载下来周年庆是4月10日 希望是3月底做好预算:需要报价备注：微信是手机号【推广员任务许玲】,2023-03-24,2023.04.04,任务编号：1034166,2000.0,7天,辽宁省-沈阳市-和平区,铭扬卓越,https://shop.epwk.com/3gd2mvrqwner/,铭扬卓越,出售服务,https://shop.epwk.com/3gd2mvrqwner/chushou/,企业,六品,43分,,,铭扬卓越,,创意设计制作,"￥100
            /起",VR应用开发,"￥2000
            /起",AR应用开发,"￥2000
            /起",H5定制开发,"￥500
            /起",小程序设计制作,"￥500
            /起",网站定制开发,"￥1000
            /起",,,,,,,小程序开发
【其他软件开发】现有H5页面添加录音功能,https://task.epwk.com/1034119/,2003人,1人,1000元以内,圆满完成,ggpgao2019,现有H5页面添加录音功能，具体详谈,2023-03-24,2023.04.05,任务编号：1034119,800.0,5天,广东省-深圳市-宝安区,皮纳兹软件开发,https://shop.epwk.com/j7n38qz295e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他软件开发
【其他软件开发】APP上架应用市场,https://task.epwk.com/1033908/,374人,2人,1000-3000元,圆满完成,huan1491,短视频直播类的APP上架应用市场,2023-03-22,2023.05.06,任务编号：1033908,1000.0,10天,江苏省-苏州市,苏州誉宸数字科技有限公司,https://shop.epwk.com/2j5xogxkx5xm/,苏州誉宸数字科技有限公司,出售服务,https://shop.epwk.com/2j5xogxkx5xm/chushou/,企业,四品,69分,,,苏州誉宸数字科技有限公司,,,,,,,,,,,,,,,,,,,,其他软件开发
【APP开发】模拟器是无效的，Vmos无效，需要实现真机登录app。,https://task.epwk.com/1033498/,293人,1人,3000-5000元,圆满完成,威赞1IE8P,"我们的应用场景，之前是使用模拟器，下载app，登录账号，做一些手工操作。现在，app做了一些防守，模拟器运行的一切操作，被识别为无效。
真机测试过以后，是有效的。
现在就需要做一个，真机注册，然后我们做一些人为操作这样。",2023-03-20,2023.04.11,任务编号：1033498,2000.0,10天,福建省-厦门市-湖里区,小小菜网络,https://shop.epwk.com/9w56e1l96dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发
【其他软件开发】做一个类似微信这样的聊天app,https://task.epwk.com/1033499/,1455人,7人,2万-5万元,圆满完成,创时空krpBj,做一个类似微信这样的聊天app，具体详谈,2023-03-20,2023.04.23,任务编号：1033499,40000.0,"20天,30天,30天,35天,30天,90天","北京市-北京市,河南省-郑州市,山东省-烟台市,福建省-厦门市-集美区,重庆市-市辖区,陕西省-西安市-雁塔区",云趣纵横,https://shop.epwk.com/81n41qj30np6/,云趣纵横,出售服务,https://shop.epwk.com/81n41qj30np6/chushou/,企业,四品,42分,,,云趣纵横,,SaaS软件开发,"￥8888
            /起",企业官网开发,"￥1888
            /起",商城小程序开发,"￥1888
            /起",应用软件开发,"￥1888
            /起",微信小程序开发,"￥1888
            /起",APP定制开发,"￥1888
            /起",,,,,,,其他软件开发
【小程序开发】uni前端+php后端小程序二次开发,https://task.epwk.com/1033419/,490人,1人,5000-10000元,圆满完成,o6007de46279fe,现有小程序已经用UNI做了前端，后端是PHP，熟悉微擎系统，在原有前后端功能基础上增加：1增加批量自动录入系统功能， 产品数据更新；2增加几个查询的API，分享功能具体内容已经在合同上进行明确标注，详情参见合同附件；,2023-03-19,2023.07.31,任务编号：1033419,8000.0,20天,河南省-洛阳市,洛阳蓝普网络技术有限公司,https://shop.epwk.com/v0n1x1mq257y/,洛阳蓝普网络技术有限公司,出售服务,https://shop.epwk.com/v0n1x1mq257y/chushou/,企业,一品,105分,总 388 次中标，交易总金额,￥199.47万,洛阳蓝普网络技术有限公司,,php项目定制开发,￥1000,微信小程序定制开发,"￥1000
            /件",,,,,,,,,,,,,,,小程序开发
【响应式网站】需要一个物流比价软件或者网站,https://task.epwk.com/1033349/,3891人,1人,1000元以内,圆满完成,威多宝lwW96,"需要一个物流比价软件或者网站，前台输入收货国家，和包裹的重量，尺寸信息，出现各个物流渠道的价格。后台通过excel,提交各个物流的报价。参考图如下：",2023-03-18,2023.04.12,任务编号：1033349,800.0,10天,辽宁省-阜新市,源发科技,https://shop.epwk.com/omdwk9wwmdrp/,源发科技,出售服务,https://shop.epwk.com/omdwk9wwmdrp/chushou/,企业,七品,40分,,,源发科技,,网站设计开发,"￥500
            /起",小游戏开发游戏开发,"￥500
            /款",平面设计——一对一专业设计,"￥100
            /起",微信小程序需求定制开发,"￥100
            /起",,,,,,,,,,,响应式网站
【小程序开发】连锁酒店铺货管理系统,https://task.epwk.com/1033229/,1022人,9人,1万-2万元,圆满完成,威科AKnJN,商家铺货平台1.平台角色：区域代理、服务商、商家、门店服务员2.订单流程：平台可以分类发布产品-区域代理商招募服务商-服务商可以选择平台产品发往商家设定自己出售的价格，可以选择产品给商家补货添加库存-服务员接单配送到指定房间3.商家管理：商家可以生成每个房间的下单二维码、查看订单详情、商家服务员管理、营业时间设置、超过营业时间不能下单、客户浏览商品时最后30分钟可以看到打烊提醒。4.模板消息通知：用户下单可以模板消息通知 服务商、商家、门店服务员5.服务商中心：可以查看每个商家的货物库存、可以计时购买平台产品进行补货，补货可以使用佣金支付，下单时需要选择商家地址6.小票打印：每个商家可以绑定一个小票打印机，来单可以打印小票7.佣金分配：平台可以设置区域代理、服务商、商家、服务员分成，订单完成后可以自动分成、分成可以设置提现门槛8.平台可以招募平台直管门店、由平台补货、平台可以社区权限账号、查看权限账号操作记录9.服务员换班：服务员可以手动切换上班状态、也可以生成二维码扫码换班，换班后切换佣金分配人员,2023-03-17,2023.06.19,任务编号：1033229,10000.0,"30天,30天,30天,30天,30天,40天,7天","陕西省-西安市,河南省-郑州市,浙江省-杭州市,河南省-洛阳市,重庆市-重庆市-大渡口区,北京市-北京市-顺义区,山东省-烟台市",西安神兽科技有限公司,https://shop.epwk.com/7lngqwez6dmr/,西安神兽科技有限公司,出售服务,https://shop.epwk.com/7lngqwez6dmr/chushou/,企业,四品,42分,,,西安神兽科技有限公司,,VR系统定制开发,"￥3888
            /年",系统定制开发,"￥6888
            /年",行业软件系统开发,"￥3888
            /年",公众号设计开发,"￥1888
            /年",小程序app开发,"￥1888
            /年",网站建设开发,"￥888
            /年",,,,,,,小程序开发
【网站二次开发】网站、小程序二次开发一期,https://task.epwk.com/1033190/,586人,4人,5000-10000元,圆满完成,智业宝,tp6.0+vue+uni已有的功能逻辑修改、界面优化和部分bug修复,2023-03-16,2023.03.24,任务编号：1033190,5000.0,"40天,15天","山东省-烟台市-芝罘区,河南省-洛阳市",聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",网站二次开发
【小程序开发】文件管理小程序开发,https://task.epwk.com/1033176/,1222人,8人,1000-3000元,圆满完成,o5f56****97378,实现文件上传和下载，类别上传，人员管理，具体详谈,2023-03-16,2023.05.12,任务编号：1033176,1000.0,"14天,7天,10天,30天,9天","辽宁省-沈阳市-皇姑区,四川省-自贡市,河南省-洛阳市,江苏省-常州市,湖南省-长沙市-芙蓉区",皓月科技,https://shop.epwk.com/78n96reponkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小程序开发
【安监系统软件】智慧供暖尾款,https://task.epwk.com/1033164/,211人,1人,1万-2万元,圆满完成,o5fba71af10ebf,智慧供暖项目，已指定供应商，其他勿扰,2023-03-16,2023.03.16,任务编号：1033164,13000.0,5天,湖南省-长沙市-岳麓区,湖南三行云智信息科技有限公司,https://shop.epwk.com/89dvgg2p4dl2/,湖南三行云智信息科技有限公司,出售服务,https://shop.epwk.com/89dvgg2p4dl2/chushou/,企业,一品,53分,总 128 次中标，交易总金额,￥402.04万,湖南三行云智信息科技有限公司,,区块链DAPP开发,"￥9999
            /起",企业网站定制开发,"￥2000
            /起",金融类APP订制开发,"￥50000
            /起",APP个性订制开发,"￥50000
            /起",医疗类 微信/APP 开发,"￥20000
            /起",三级分销-微信商城(接入微信支付/多方快递系统),"￥20000
            /套",B2B电商平台,"￥50000
            /套",读书公众号,"￥2000
            /套",VIS品牌形象设计,"￥2000
            /起",安监系统软件
【小程序开发】开发查询类微信小程序,https://task.epwk.com/1032993/,507人,1人,1000-3000元,圆满完成,风速阁4916F,开发查询类微信小程序，具体细节详谈,2023-03-15,2023.03.27,任务编号：1032993,1000.0,7天,辽宁省-阜新市-海州区,源发科技,https://shop.epwk.com/omdwk9wwmdrp/,源发科技,出售服务,https://shop.epwk.com/omdwk9wwmdrp/chushou/,企业,七品,40分,,,源发科技,,网站设计开发,"￥500
            /起",小游戏开发游戏开发,"￥500
            /款",平面设计——一对一专业设计,"￥100
            /起",微信小程序需求定制开发,"￥100
            /起",,,,,,,,,,,小程序开发
【商城建设】需要小程序模板开发附带即时结算支付系统,https://task.epwk.com/1032987/,365人,5人,1000-3000元,圆满完成,o60e0****9208d,模板或者模仿一级分销微信美妆小程序加上在线支付,2023-03-15,2023.03.31,任务编号：1032987,1800.0,"7天,10天,15天,5天","河北省-石家庄市,四川省-自贡市,河南省-洛阳市,山东省-烟台市",河北领雁信息科技有限公司,https://shop.epwk.com/7lngqwj48dmr/,河北领雁信息科技有限公司,出售服务,https://shop.epwk.com/7lngqwj48dmr/chushou/,企业,四品,66分,总 12 次中标，交易总金额,￥5.97万,河北领雁信息科技有限公司,,,,,,,,,,,,,,,,,,,,商城建设
【其他软件开发】使用pdflib.js生成PDF文件第一期,https://task.epwk.com/1032903/,300人,2人,3000-5000元,圆满完成,一伽科技,已有api和数据和表单设计，要求使用https://github.com/Hopding/pdf-lib 生成pdf文件。需求1、有10种类型的表单，需要还原表单设计，并根据不同的api动态生成pdf文件. 有demo代码可以提供2、表单中包含列表数据，需要能自适应匹配3、表单包含附件图片和其他pdf文件，需要通过pdf-lib拼接到表单尾部4、最终交付10个不同类型表单的js函数，时间期限一个月,2023-03-15,2023.04.06,任务编号：1032903,3000.0,"21天,30天","广东省-深圳市,广东省-深圳市",小火花软件,https://shop.epwk.com/j7n38o4x35e1/,小火花软件,出售服务,https://shop.epwk.com/j7n38o4x35e1/chushou/,企业,一品,110分,,,小火花软件,,原型设计,"￥3000
            /起",IT解决方案,"￥20000
            /起",公众号开发,"￥20000
            /起",小程序开发,"￥20000
            /起",企业官网定制,"￥2980
            /起",交互界面设计,"￥1000
            /起",嵌入式设备,"￥1000
            /起",电商系统开发,"￥20000
            /起",logo设计,"￥500
            /起",其他软件开发
【APP开发】app界面制作,https://task.epwk.com/1031871/,77人,1人,1000元以内,圆满完成,君客行LKMaX,APP剩下界面的制作。原生开发，需要提供源代码。,2023-03-07,2023.03.15,任务编号：1031871,500.0,5天,广东省-广州市,尖兵开发工作室,https://shop.epwk.com/0jnekeggjnv3/,尖兵开发工作室,出售服务,https://shop.epwk.com/0jnekeggjnv3/chushou/,个人,四品,35分,,,尖兵开发工作室,,,,,,,,,,,,,,,,,,,,APP开发
【小程序开发】修改小程序功能,https://task.epwk.com/1031761/,895人,10人,1000-3000元,圆满完成,o5b2bd563df091,修改批量上传功能,2023-03-06,2023.03.08,任务编号：1031761,1000.0,"6天,7天,10天,7天,3天","北京市-北京市,河南省-洛阳市-洛龙区,陕西省-西安市-莲湖区,浙江省-杭州市-富阳区,云南省-丽江市-玉龙纳西族自治县",相问开发工作室,https://shop.epwk.com/rp5z40340dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小程序开发
【小程序开发】简单的可以预览、储存、下载视频的小程序,https://task.epwk.com/1031725/,536人,4人,1000-3000元,圆满完成,尊服O0nyi,简单的 可以在线预览视频，和下载视频 的小程序   参考案例微信小程序“橱窗学堂”一模一样就可以。,2023-03-06,2023.03.19,任务编号：1031725,1500.0,"5天,10天,7天,7天","河北省-石家庄市,河南省-洛阳市,陕西省-西安市-莲湖区,四川省-成都市-双流县",石家庄恒韵网络科技有限公司,https://shop.epwk.com/7g5ykwe26n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小程序开发
【网站二次开发】影视站开发,https://task.epwk.com/1031609/,796人,6人,1万-2万元,圆满完成,影视888999,1、开发语言：PHP或者node2、页面渲染需要完全静态化，不经过服务端。且页面是通过脚手架类似工具生成3、前端首页可以手动切换主题4、每个页面的title、description等meta属性内容不能相同5、页面加载图片时，需要懒加载处理6、自适应PC和wap7、需要会员体系8、需要记录播放量9、需要支持类型或者频道、排行榜、评分筛选10、支持搜索11、预留广告位12.支持批量导入更新影库不可复制盗用 源码站的资源,2023-03-05,2023.04.26,任务编号：1031609,19000.0,"30天,35天,25天,15天","广东省-汕头市,河南省-洛阳市,陕西省-西安市-莲湖区,云南省-昆明市-五华区",启商（广东）网络服务有限公司,https://shop.epwk.com/2j5xo466k5xm/,启商（广东）网络服务有限公司,出售服务,https://shop.epwk.com/2j5xo466k5xm/chushou/,企业,一品,84分,总 28 次中标，交易总金额,￥22.54万,启商（广东）网络服务有限公司,,品牌UI设计、LOGO平面设计，插画包装,"￥100
            /页",小程序APP定制开发,"￥1000
            /起",,,,,,,,,,,,,,,网站二次开发
【小程序开发】小程序二次开发,https://task.epwk.com/1031686/,2411人,3人,1000元以内,圆满完成,o5f3bb28f323cc,小程序后台是用c#语言写的，要求有相应开发者,2023-03-06,2023.03.20,任务编号：1031686,700.0,"2天,5天,7天","广西壮族自治区-桂林市-七星区,山东省-烟台市,云南省-丽江市-古城区",广西优视智能科技有限公司,https://shop.epwk.com/m7d7w70jp5q8/,广西优视智能科技有限公司,出售服务,https://shop.epwk.com/m7d7w70jp5q8/chushou/,企业,四品,44分,,,广西优视智能科技有限公司,,网站定制化开发,价格面议,商城网站建设,价格面议,其它各类企业内部软件定制,价格面议,小程序开发服务,价格面议,H5开发服务,价格面议,App开发服务,价格面议,,,,,,,小程序开发
【安监系统软件】智慧供暖二期,https://task.epwk.com/1031583/,331人,1人,2万-5万元,圆满完成,o5fba71af10ebf,智慧供暖项目，已指定供应商，其他勿扰,2023-03-05,2023.03.07,任务编号：1031583,32000.0,30天,湖南省-长沙市-市辖区,湖南三行云智信息科技有限公司,https://shop.epwk.com/89dvgg2p4dl2/,湖南三行云智信息科技有限公司,出售服务,https://shop.epwk.com/89dvgg2p4dl2/chushou/,企业,一品,53分,总 128 次中标，交易总金额,￥402.04万,湖南三行云智信息科技有限公司,,区块链DAPP开发,"￥9999
            /起",企业网站定制开发,"￥2000
            /起",金融类APP订制开发,"￥50000
            /起",APP个性订制开发,"￥50000
            /起",医疗类 微信/APP 开发,"￥20000
            /起",三级分销-微信商城(接入微信支付/多方快递系统),"￥20000
            /套",B2B电商平台,"￥50000
            /套",读书公众号,"￥2000
            /套",VIS品牌形象设计,"￥2000
            /起",安监系统软件
【其他软件开发】百度接口修复,https://task.epwk.com/1031421/,769人,3人,1000-3000元,圆满完成,o5f65c85fc8b07,"原接口弃用换了新接口,c#程序开发，有源代码。不是技术不要联系我，不要浪费时间，有经验的做。",2023-03-03,2023.03.08,任务编号：1031421,1000.0,"3天,5天","湖北省-武汉市,山东省-烟台市",武汉动阅科技有限公司,https://shop.epwk.com/7lngqgkq3dmr/,武汉动阅科技有限公司,出售服务,https://shop.epwk.com/7lngqgkq3dmr/chushou/,企业,六品,44分,,,武汉动阅科技有限公司,,服务 - 网站建设,价格面议,服务 - 系统开发,价格面议,服务 - 小程序开发,价格面议,服务 - APP开发,价格面议,服务 - 定制开发,价格面议,服务 - 逆向工程,价格面议,,,,,,,其他软件开发
【APP开发】实时音视频交流软件开发,https://task.epwk.com/1031331/,1899人,5人,2万-5万元,圆满完成,威斯特Uina7,可以远程控制摄像头，可以进行用户管理，可以分享屏幕，可以一对一一对多音视频通话，可以接入其他的智能设备，比如烟感水质报警器,2023-03-02,2025.01.25,任务编号：1031331,38000.0,"90天,15天,30天,30天","广东省-汕头市-潮阳区,山东省-烟台市,河南省-信阳市,云南省-昆明市-盘龙区",启商（广东）网络服务有限公司,https://shop.epwk.com/2j5xo466k5xm/,启商（广东）网络服务有限公司,出售服务,https://shop.epwk.com/2j5xo466k5xm/chushou/,企业,一品,84分,总 28 次中标，交易总金额,￥22.54万,启商（广东）网络服务有限公司,,品牌UI设计、LOGO平面设计，插画包装,"￥100
            /页",小程序APP定制开发,"￥1000
            /起",,,,,,,,,,,,,,,APP开发
【小程序开发】修改小程序的功能和开发分销,https://task.epwk.com/1031228/,538人,1人,1000-3000元,圆满完成,立意A7z1J,目前小程序车检页面是直接填写表单购买的。需要修改可以选择类型下单。附件图片1是目前的功能，需要改成附件2的功能就是说   可以选择年检站 然后选择自己的汽车类型 比如 纯电车 混动车 燃油车，然后选择不同的车型和不同的检测站 价格不一样，然后选择的参数 后台可以控制 和修改价格会的技术大神请联系我。晚上也可以联系我,2023-03-02,2023.03.07,任务编号：1031228,1200.0,3天,河南省-洛阳市,洛阳蓝普网络技术有限公司,https://shop.epwk.com/v0n1x1mq257y/,洛阳蓝普网络技术有限公司,出售服务,https://shop.epwk.com/v0n1x1mq257y/chushou/,企业,一品,105分,总 388 次中标，交易总金额,￥199.47万,洛阳蓝普网络技术有限公司,,php项目定制开发,￥1000,微信小程序定制开发,"￥1000
            /件",,,,,,,,,,,,,,,小程序开发
【H5开发】原生微信小程序改成H5实现,https://task.epwk.com/1031040/,757人,13人,5000-10000元,圆满完成,binggo123,现有一原生微信小程序，前端改成由H5来实现：1、实现现有小程序前端所有功能2、建议采用Bootstrap+JQuery 现实3、响应式，需要兼容主流的手机,2023-02-28,2023.06.02,任务编号：1031040,5000.0,"25天,15天,10天,30天,10天","河南省-洛阳市,陕西省-西安市-雁塔区,云南省-昆明市,江苏省-南京市,广东省-深圳市-坪山区",洛阳蓝普网络技术有限公司,https://shop.epwk.com/v0n1x1mq257y/,洛阳蓝普网络技术有限公司,出售服务,https://shop.epwk.com/v0n1x1mq257y/chushou/,企业,一品,105分,总 388 次中标，交易总金额,￥199.47万,洛阳蓝普网络技术有限公司,,php项目定制开发,￥1000,微信小程序定制开发,"￥1000
            /件",,,,,,,,,,,,,,,H5开发
【安监系统软件】智慧供暖项目无经验者勿扰,https://task.epwk.com/1031016/,322人,1人,5万-10万元,圆满完成,o5fba71af10ebf,需要做智慧供暖项目，有过智慧社区、园区的案例经验联系，无经验勿扰,2023-02-28,2023.03.01,任务编号：1031016,38000.0,20天,湖南省-长沙市-市辖区,湖南三行云智信息科技有限公司,https://shop.epwk.com/89dvgg2p4dl2/,湖南三行云智信息科技有限公司,出售服务,https://shop.epwk.com/89dvgg2p4dl2/chushou/,企业,一品,53分,总 128 次中标，交易总金额,￥402.04万,湖南三行云智信息科技有限公司,,区块链DAPP开发,"￥9999
            /起",企业网站定制开发,"￥2000
            /起",金融类APP订制开发,"￥50000
            /起",APP个性订制开发,"￥50000
            /起",医疗类 微信/APP 开发,"￥20000
            /起",三级分销-微信商城(接入微信支付/多方快递系统),"￥20000
            /套",B2B电商平台,"￥50000
            /套",读书公众号,"￥2000
            /套",VIS品牌形象设计,"￥2000
            /起",安监系统软件
【H5开发】开发甘特图增加实际时间联动与计划时间形成对比,https://task.epwk.com/1030667/,338人,3人,1000-3000元,圆满完成,威威起家QndPT,能开发要求甘特图增加实际时间联动与计划时间形成对比 增加实际开始与计划时间，实际时间超过计划时间后变成红色，未超过结束时间绿色，实际开始时间，可以在计划开始时间前，也可以在计划开始后Jquery 开发的代码使用以下项目进行增加功能https://github.com/robicch/jQueryGantt,2023-02-25,2023.03.01,任务编号：1030667,1500.0,"3天,5天","河北省-石家庄市-新华区,广东省-深圳市-坪山区",石家庄恒韵网络科技有限公司,https://shop.epwk.com/7g5ykwe26n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H5开发
【其他软件开发】PC桌面exe打印程序开发,https://task.epwk.com/1030647/,554人,1人,1万-2万元,圆满完成,威主力z2hHI,要求用c#开发客户端，硬件是微主机，win7-win10系统，直接调用打印机进行打印，获取打印机参数，设置，前端UI图一设计好https://lanhuapp.com/link/#/invite?sid=lX01VpIJ  能对接到我的小程序。做过类似的或者有相关经验的，懂的来,2023-02-24,2023.05.18,任务编号：1030647,11000.0,30天,江苏省-南京市,南京领尚信息科技有限公司,https://shop.epwk.com/j7n38qml35e1/,南京领尚信息科技有限公司,出售服务,https://shop.epwk.com/j7n38qml35e1/chushou/,企业,四品,114分,,,南京领尚信息科技有限公司,,,,,,,,,,,,,,,,,,,,其他软件开发
【手游开发】找城池策略类游戏源码 或者cocos程序员外包,https://task.epwk.com/1030550/,3234人,1人,1万-2万元,圆满完成,leimeng1011,我们要一款策略类游戏源码   注意要源码  类似城池战游戏 我们自己修改。,2023-02-24,2023.05.11,任务编号：1030550,10000.0,15天,广东省-广州市-海珠区,睿博品牌策划（品牌设计 、互联网开发）,https://shop.epwk.com/78dlj280x5lx/,睿博品牌策划（品牌设计 、互联网开发）,出售服务,https://shop.epwk.com/78dlj280x5lx/chushou/,企业,三品,41分,,,睿博品牌策划（品牌设计 、互联网开发）,,,,,,,,,,,,,,,,,,,,手游开发
【电商网站】商城平台网页,https://task.epwk.com/1030295/,5960人,10人,3000-5000元,圆满完成,k4629****22,项目:商城平台网页称呼:罗先生地区:广西壮族自治区南宁市需求:商城平台网页，简单功能的商城平台，第三方的平台网页版，模板开发，预算2000内。预算内能做的在联系沟通,2023-02-22,2023.04.11,任务编号：1030295,3000.0,"7天,10天,5天,5天,10天,10天,15天","山东省-青岛市,河南省-洛阳市,山东省-烟台市,山东省-济南市,安徽省-合肥市,广东省-广州市-天河区,广东省-深圳市",上海智桐信息科技有限公司,https://shop.epwk.com/9w56e4xo6dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,电商网站
【小程序开发】建材行业商城类小程序开发(已确定合作者),https://task.epwk.com/1030236/,69人,1人,3000-5000元,圆满完成,vitorru,项目：建材行业商城类小程序开发(已确定合作者)称呼：邹先生地区: 长沙，本地服务商，面谈需求: 具体要求面谈。预算: 看服务商报价时间：未定备注：微信是手机号,2023-02-22,2023.02.22,任务编号：1030236,4500.0,40天,湖南省-长沙市,特科动力,https://shop.epwk.com/78dlj29me5lx/,特科动力,出售服务,https://shop.epwk.com/78dlj29me5lx/chushou/,企业,七品,56分,,,特科动力,,TD物联网云平台,"￥32000
            /月",TD微信公众号开发,"￥9000
            /月",TD微信小程序,"￥18000
            /月",,,,,,,,,,,,,小程序开发
【手机网站】小程序商城开发,https://task.epwk.com/1030137/,193人,1人,1000-3000元,圆满完成,o605e774258bdc,小程序页面展示，简单商城开发，可以模板站改,2023-02-21,2023.03.03,任务编号：1030137,1000.0,7天,陕西省-西安市-莲湖区,陕西鸿睿致诚网络科技有限公司,https://shop.epwk.com/p05qj8m4ydev/,陕西鸿睿致诚网络科技有限公司,出售服务,https://shop.epwk.com/p05qj8m4ydev/chushou/,企业,七品,42分,,,陕西鸿睿致诚网络科技有限公司,,小程序开发-小程序,"￥10000
            /套",公众号开发-公众号,"￥10000
            /套",app开发-app,"￥10000
            /套",网页设计服务,价格面议,,,,,,,,,,,手机网站
【SAAS软件】服务平台建设-车险,https://task.epwk.com/1030021/,540人,1人,5万-10万元,圆满完成,o5fa0e663319ad,相关保险行业SAAS服务平台建设，有相关保险业务的公司联系，无经验勿扰,2023-02-20,2023.02.20,任务编号：1030021,39000.0,10天,湖南省-长沙市-市辖区,湖南三行云智信息科技有限公司,https://shop.epwk.com/89dvgg2p4dl2/,湖南三行云智信息科技有限公司,出售服务,https://shop.epwk.com/89dvgg2p4dl2/chushou/,企业,一品,53分,总 128 次中标，交易总金额,￥402.04万,湖南三行云智信息科技有限公司,,区块链DAPP开发,"￥9999
            /起",企业网站定制开发,"￥2000
            /起",金融类APP订制开发,"￥50000
            /起",APP个性订制开发,"￥50000
            /起",医疗类 微信/APP 开发,"￥20000
            /起",三级分销-微信商城(接入微信支付/多方快递系统),"￥20000
            /套",B2B电商平台,"￥50000
            /套",读书公众号,"￥2000
            /套",VIS品牌形象设计,"￥2000
            /起",SAAS软件
【其他软件开发】读取文件夹的截图并拼接,https://task.epwk.com/1029895/,419人,1人,1000-3000元,圆满完成,o6173****0b6d8,读取文件夹的截图并拼接,2023-02-19,2023.03.22,任务编号：1029895,1000.0,14天,广东省-江门市-蓬江区,创梦科技工作室,https://shop.epwk.com/j7n38qowo5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他软件开发
【OA系统】.net版OA系统开发第一期,https://task.epwk.com/1029772/,2683人,4人,2万-5万元,圆满完成,o5a460a1133d4b,1、总体预算13万，工期要求五月一日之前完成。2、第一笔费用30%委托到一品威客，完成核心功能模块后，支付第一笔费用。3、开发、测试、部署完成后支付第二笔费用40%。4、一年维护结束后支付尾款30%。功能需求见附件,2023-02-17,2023.04.06,任务编号：1029772,39000.0,"60天,60天","湖南省-长沙市,辽宁省-沈阳市-铁西区",长沙畅为软件开发有限公司,https://shop.epwk.com/m7d7w7ler5q8/,长沙畅为软件开发有限公司,出售服务,https://shop.epwk.com/m7d7w7ler5q8/chushou/,企业,四品,42分,,,长沙畅为软件开发有限公司,,GIS系统开发服务,"￥20000
            /套",GB28281网络视频监系统开发,"￥20000
            /套",微信公众号定制开发,价格面议,大数据系统开发,价格面议,智慧XXX系列软件开发,价格面议,企事业系统定制开发,价格面议,微信小程序、微信公众号、企业微信、支付宝、百度小程序开发,价格面议,,,,,OA系统
【小程序开发】共享WIFI小程序开发,https://task.epwk.com/1029739/,320人,2人,3000-5000元,圆满完成,k6763****41,项目：共享WIFI小程序开发称呼：航先生地区: 广东广州，服务商地域不限需求: 用户要看广告，才能免费使用WIFI。系统可以自动生成很多商家的WIFI二维码，服务商报价联系预算：看服务商报价时间：未定备注：微信是手机号,2023-02-17,2023.03.10,任务编号：1029739,4000.0,15天,广东省-广州市,广州凯宸科技服务有限公司,https://shop.epwk.com/7g5ykpwq2n0q/,广州凯宸科技服务有限公司,出售服务,https://shop.epwk.com/7g5ykpwq2n0q/chushou/,企业,四品,68分,总 2 次中标，交易总金额,￥2.68万,广州凯宸科技服务有限公司,,,,,,,,,,,,,,,,,,,,小程序开发
