标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16
【网络接单】知乎任务回答，操作一分内搞定,https://task.epwk.com/589908/,5123人,33人,¥500,o5a66d384d5835,￥ 500,￥72,2018.03.12,第一步：　https://www.zhihu.com/question/31477843　　打开链接第二：在上面的链接中回答问题（问题在附件中直接粘上去就可以，附件中图片也要上传上去）第三：回答的问题　至发布成功日起　存活五天为有效贴子　且回答的内容不可折叠否则计为无效第四：交搞方式，提交你回答上去的用户ＩＤ+截图（截图为你发上去的内容的图片截图）　否则视为无效贴,任务编号：589908,mf157****1247,田佳安,qiubeishimao,o591586703ef1f,云隐云翳,予眠音顾北,wzq97199974,o5ab1e36293be3,o5ab310233a392,阿meic
【网络接单】淘宝任务，8元一稿,https://task.epwk.com/589756/,3858人,27人,¥500,citieouba,￥ 500,￥145.08,2018.03.12,准备一个从来没有注册过淘宝的手机号码第一步：没有的下载一个手机淘宝，下载过手机淘宝把之前登陆的账号退出去第二步：复制淘口令｛复制这条信息，￥R5Ly0pYMbT4￥｝到手机淘宝打开第三步：点击，领取礼包第四步：输入要注册的手机号码和验证码第五步：同意注册手机淘宝领取新年礼包第六步：拉一点选择0元购商品，不喜欢这组往下拉点击【换一换】第七步：选中0元购商品下单留地址付款完成（领取礼包之后1个小时内要下单）交稿的时候只要把注册用的手机号码发出来即可,任务编号：589756,罗网天成,o5aa09dc19fbc9,泠宝宝的奶粉,o5aa9eec7ce087,o5aa8989a343a5,水木166,o5aab3f2378522,o5aab2a7e1fdc2,o5aadeebc673ac,Hongxin00
【网络接单】注册送一元直接到账，新手必做，体验站任务 5元一稿,https://task.epwk.com/589634/,2172人,1人,¥550,mf53c75c33df3a0,￥ 550,,2018.03.12,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409（复制此链接到浏览器打开）任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你的余额（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得的U币还可以在网站兑换成5元现金，至此10元到手。提示：网站新上线的福利任务不错，你可以去试试，做好了更新奖励需要2~3天。刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！PS:附送一个读新闻可以赚钱的APP，扫描附件二维码即可下载,任务编号：589634,,,,,,,,,,
【网络接单】网络推广，电脑体验站赚钱，5元一稿,https://task.epwk.com/587272/,11523人,40人,¥1100,mf53c75c33df3a0,￥ 1100,￥25,2018.03.06,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409（复制此链接到浏览器打开）任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你的余额（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得的U币还可以在网站兑换成5元现金，至此10元到手。提示：网站新上线的福利任务不错，你可以去试试，做好了更新奖励需要2~3天。刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！PS:附送一个读新闻可以赚钱的APP，扫描附件二维码即可下载,任务编号：587272,v1057690679,o5aaa0e8482fec,o5ab922c05a667,o5acb09c83a5ec,"工作室 |            
            诗轻轩",,,,,
【网络接单】网页游戏试玩任务 长期任务 多做多得,https://task.epwk.com/586948/,6828人,30人,¥1050,mf53c75c33df3a0,￥ 1050,￥25,2018.03.05,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409（复制此链接到浏览器打开）任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你的余额（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得的U币还可以在网站兑换成5元现金，至此10元到手。提示：网站新上线的福利任务不错，你可以去试试，做好了更新奖励需要2~3天。刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！,任务编号：586948,妖精淘小坏,肖明,岫岩二狗子哥,拳撸双马,无名王姓,,,,,
【网络接单】网站平台体验赚钱，10元一单,https://task.epwk.com/586171/,5508人,21人,¥900,十年信誉,￥ 900,￥60,2018.03.02,提示：参加的试玩游戏网站会获得5元，本任务再发赏金10元，总共15元到手。很感谢一品威客网提供这么好的平台。这个任务适合喜欢玩游戏的朋友，喜欢理财或者签到的话也可以做。基本上就是一个游戏打开玩一会儿或者挂着自动打，网站就会给游戏试玩的钱。本任务随时完成都可以提交，如果在游戏网站达到5元就在这里提交可以获得额外的10元赏金，总共15元到手。如果游戏试玩赚了50元可以找到我发任务的列表在60元的任务里面提交，可以再获得赏金。下面说下任务要求注册地址（复制此链接到浏览器打开）：http://www.juxiangyou.com/floor/recom/15172221任务要求：如果不是在我的网址里面注册的，请在我上面发的网址里面重新注册我这边才有记录，才能合格，注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你10元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此15元到手。提示：刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！,任务编号：586171,chengguowei1111,高朋满座,颜心玉,短腿的小木偶,惠济小崔,宇景301,,,,
【网络接单】游戏试玩，15元一稿,https://task.epwk.com/586152/,1785人,3人,¥500,baiypgfj,￥ 500,,2018.03.02,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/19217028任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你10元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此15元到手。提示：必须使用上面的链接才有效哦。,任务编号：586152,,,,,,,,,,
【文化艺术服务】四线少儿美术机构（画室）地址与联系方式收集,https://task.epwk.com/585624/,3826人,4人,¥500,芝麻味的芝麻糊,￥ 500,￥195,2018.03.01,任务需求：1.寻找江苏省、安徽省、福建省、江西省、甘肃省的三四线城市的少儿美术机构或者少儿画室。2.填写下 XX省XX市XX区XX路  XXXXX(少儿美术机构名称或者画室名称)             该少儿美术机构或者画室的联系电话3.填写信息必须真实有效4.填写信息不得与他人重复（若有重复的按照先提交的为准）,任务编号：585624,"工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣"
【网络接单】简单微信关注完成任务，一稿10元,https://task.epwk.com/580355/,1697人,1人,¥500,o5a6331e923b6f,￥ 500,,2018.02.04,"这个任务适合喜欢有业余时间操作。操作简单，可日结或周结，名额有限【1】拿出手机，搜索个人微信号：kefuhao6678 加关注,或扫描下面微信二维码微信加关注 【2】关注回复QP，进行领取任务交稿方式：直接截图操作页面截图，每个游戏至少玩5分钟，或者可以直接提供试玩账号也行,这个任务适合喜欢有业余时间操作。操作简单，可日结或周结，名额有限【1】拿出手机，搜索个人微信号：kefuhao6678 加关注,或扫描下面微信二维码微信加关注 【2】关注回复QP，进行领取任务交稿方式：直接截图操作页面截图，每个游戏至少玩5分钟，或者可以直接提供试玩账号也行",任务编号：580355,,,,,,,,,,
【网络接单】12元1单，微信小任务,https://task.epwk.com/579989/,29384人,270人,¥1800,mfdsfffewfg,￥ 1800,￥60,2018.02.02,获取步骤：（12元/单）（日赚80）（长期可做）1、微信-添加-公众号：easy3632、关注后，打开--自动弹出--的【专区入口】3、领取12元佣金 ：完成任意2个任务，即可； （特别说明：每单做完额外可再得20元奖励）注：（也可打开附件图片，微信扫码关注）注：（如果不会 ＋ 微信:  2217054636 ）    -------------------------------------------（不要求银行身份认证 ）（不收任何费用）,任务编号：579989,mf188****3592,mf188****3592,o5697146ac3bc6,mf159****0911,mf159****0911,,,,,
【网络接单】5元1稿  新手任务 关注微信做任务,https://task.epwk.com/579931/,8078人,86人,¥650,相信爱情,￥ 650,￥435,2018.02.02,【1】拿出手机，搜索个人微信号：szqq995加关注。或下载下面微信二维码微信加关注         【2】关注后回复数字5，领取任务，并按要求完成任务（3分钟即可完成）【3】交稿：你注册得手机后5位数即可(至此5元到手）,任务编号：579931,o5a743dcdbcf55,o5a743dcdbcf55,o5a743593f3239,o5a743593f3239,三岁oll,三岁oll,mf134****8269,mf134****8269,mf134****8269,gym19931221
【网络接单】正品任务 试玩游戏赚钱 可长期做,https://task.epwk.com/579755/,4044人,14人,¥750,mf53c75c33df3a0,￥ 750,￥10,2018.02.02,这个任务适合玩游戏、做理财、玩竞彩、撸羊毛的朋友下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409   （复制链接到浏览器打开）任务要求：注册好以后，你可以进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取U币也可以，然后截图你U币的余额（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得的U币还可以在网站兑换成5元现金，至此10元到手。提示：网站新上线的福利任务不错，你可以去试试，做好了更新奖励需要2~3天。刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！在此付上本人真实的提现图，希望能对你有所激励，你也可以做到的！,任务编号：579755,o5a6b351d4a796,o5a7d7143b6485,,,,,,,,
【网络接单】网站平台体验赚钱，10元一单，电脑手机都可做,https://task.epwk.com/579496/,3730人,5人,¥600,十年信誉,￥ 600,￥30,2018.02.01,提示：参加的试玩游戏网站会获得5元，本任务再发赏金10元，总共15元到手。很感谢一品威客网提供这么好的平台。这个任务适合喜欢玩游戏的朋友，喜欢理财或者签到的话也可以做。基本上就是一个游戏打开玩一会儿或者挂着自动打，网站就会给游戏试玩的钱。本任务随时完成都可以提交，如果在游戏网站达到5元就在这里提交可以获得额外的10元赏金，总共15元到手。如果游戏试玩赚了50元可以找到我发任务的列表在60元的任务里面提交，可以再获得赏金。下面说下任务要求注册地址（复制此链接到浏览器打开）：http://www.juxiangyou.com/floor/recom/15172221任务要求：如果不是在我的网址里面注册的，请在我上面发的网址里面重新注册我这边才有记录，才能合格，注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你10元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此15元到手。提示：刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！,任务编号：579496,o5a74523168135,叶807260504,"工作室 |            
            陌上新桑",,,,,,,
【网络接单】福利任务，5元一稿,https://task.epwk.com/579162/,9920人,40人,¥750,mf53c75c33df3a0,￥ 750,￥25,2018.01.31,这个任务适合玩游戏、做理财、玩竞彩、撸羊毛的朋友下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409   （复制链接到浏览器打开）任务要求：注册好以后，你可以进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取U币也可以，然后截图你U币的余额（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得的U币还可以在网站兑换成5元现金，至此10元到手。提示：网站新上线的福利任务不错，你可以去试试，做好了更新奖励需要2~3天。刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！在此付上本人真实的提现图，希望能对你有所激励，你也可以做到的！,任务编号：579162,子衿Aaron,o5a7d7143b6485,o5a8bf09ad1771,"工作室 |            
            轩印传媒",J_H_Lee,,,,,
【网络接单】12元1单，微信小任务,https://task.epwk.com/578374/,18520人,220人,¥2052,mfdsfffewfg,￥ 2052,￥72,2018.01.28,获取步骤：（12元/单）（日赚80）（长期可做）1、微信-添加-公众号：easy3632、关注后，打开--自动弹出--的【专区入口】3、领取12元佣金 ：完成任意2个任务，即可； （特别说明：每单做完额外可再得20元奖励）注：（也可打开附件图片，微信扫码关注）注：（如果不会 ＋ 微信:  2217054636 ）    -------------------------------------------（不要求银行身份认证 ）（不收任何费用）,任务编号：578374,mf159****0911,mf159****0911,mf188****3592,o5697146ac3bc6,o5697146ac3bc6,zpx996236870,,,,
【网络接单】游戏试玩，10元一稿,https://task.epwk.com/578249/,603人,0人,¥500,baiypgfj,￥ 500,,2018.01.27,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/18880410任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此10元到手。提示：必须使用上面的链接才有效哦。,任务编号：578249,,,,,,,,,,
【网络接单】猫眼电影美团电影APP点想看，一稿3元,https://task.epwk.com/578019/,3050人,15人,¥500,腿毛哥,￥ 500,￥45.45,2018.01.26,1、前提：在美团上或者猫眼电影APP买过电影票（无论何时何地什么电影都行），只要买过就达到前提要求了。2、下载猫眼电影APP，登录美团帐号或者猫眼帐号3、打开猫眼电影APP，在搜索框里输入“古墓丽影-源起之战”4、点击想看，然后点最下面任务栏“我的”。5、点击之后。最上面昵称右边有个箭头，点击之后，截图。6、只提交第三步的一张截图就算完成。备注：如果截图上圈住的地方显示 “购票0张”是不合格的。不予结算。,任务编号：578019,壹二五创意,p32656,墨色,MENG***G123,o5a6c39fb3dbf9,热血椰子君,赚钱花花,一品33,少年与海,o5a6d0de4b828f
【网络接单】年末好赚任务，10元一稿，3分钟完成,https://task.epwk.com/577883/,2657人,0人,¥510,o5a6331e923b6f,￥ 510,,2018.01.26,你如果爱好玩彩/票、喜欢理财的话最适合你做。任务完成轻松，快的3分钟搞定，边玩边赚钱，学生，带孩子的妈妈，上班族，只要你有时间都可以赚钱。联系微信请求任务，微信号：XP-hope任务要求：领取任务后，注册好以后，试玩2分钟，截图完成。,任务编号：577883,,,,,,,,,,
【网络接单】下载安装app试玩一下，一稿三元,https://task.epwk.com/577183/,1016人,0人,¥600,纳兹的火焰,￥ 600,,2018.01.24,3元一稿，苹果3分钟完成 有手机就能做 1.用微信扫描附件二维码，根据引导下载安装App软件，必须首次2.打开软件会领到1元至1.5元左右3.进入软件 首页面点击 试玩赚钱  苹果手机只要软件账户内大于2元合格安卓手机软件账户需要大于10元以上合格4.交稿提交id截图在账户设置里面和余额截图5更多手机试玩app软件赚钱苹果或ipad直接用Safari浏览器登录网站 www.wzsjapp.com 安卓手机请用自带浏览器登录网站 （此任务无需实名认证及银行卡认证）,任务编号：577183,,,,,,,,,,
【网络接单】网站体验，10元一单,https://task.epwk.com/576588/,716人,0人,¥500,mf188****7894,￥ 500,,2018.01.22,"国内性价比最高的长期赚钱网站，注册并完善资料送1元（1万U币），试玩网页游戏，打码，新手体验很快就能赚10元，做完再领取赏金10元。共赚20元，长期赚钱【1】复制下方网址在浏览器打开，注册（不是此链接注册的不合格）网址：http://www.juxiangyou.com/floor/recom/18938535【2】通过完成新人任务、游戏试玩、广告理财等赚到100000U币就算完成任务交稿格式：提交 聚享游ID 截图（余额显示为必须为100000U币以上,可提10元）交稿领取10元佣金手机任务和电脑任务可同时做，长期赚钱本任务无需实名和银行认证！附件：http://p1.j.680.com/2018-1/20/201801201011228771_0.png",任务编号：576588,,,,,,,,,,
【网络接单】新年必做的赚钱任务，10元一稿，电脑完成,https://task.epwk.com/576284/,833人,1人,¥500,yqgl威客,￥ 500,￥5,2018.01.22,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/3078360任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此10元到手。提示：刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！,任务编号：576284,h17769757195,,,,,,,,,
【网络接单】5元1稿，新手任务，关注微信做任务,https://task.epwk.com/576197/,5018人,31人,¥700,相信爱情,￥ 700,￥225,2018.01.22,【1】拿出手机，搜索个人微信号：szqq995加关注。或下载下面微信二维码微信加关注         【2】关注后回复数字5，领取任务，并按要求完成任务（3分钟即可完成）【3】交稿：你注册得手机后5位数即可(至此5元到手）,任务编号：576197,goyes,goyes,行与者而前一步,行与者而前一步,小鱼干拿来,小鱼干拿来,a354406215,a354406215,"个人 |            
            莫念一九九四","个人 |            
            莫念一九九四"
【网络接单】13元1单，微信小任务,https://task.epwk.com/575995/,2951人,1人,¥1088,o5a0306f43fb1e,￥ 1088,,2018.01.21,任务步骤：（13元/单）（日赚100）（长期可做关注就赚钱）1、微信-添加-公众号：swzm3602、关注后，打开--点击苹果试玩--识别二维码接取      任务主要是下载手机app，体验3到5分钟即可3、领取13元佣金 ：完成任意2个任务，试玩达到10元即可，提交试玩截图 （特别说明：每单做完额外可再得20元奖励）4、新手任务，必须是没有注册过，一个账户只能提交一次☆注：可直接下载附件扫码直接接取任务☆注：不会加美女客服微信:  1367854835☆注：无需提供身份证银行卡，无需任何费用,任务编号：575995,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
【网络接单】金牌任务仅剩10位 50元一稿可收藏长期赚钱 新手必做,https://task.epwk.com/574712/,4119人,4人,¥500,三只鹅,￥ 500,,2018.01.18,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），都是免费首次赏金50加上网站50，共100元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址 https://www.juxiangyou.com/floor/recom/7914874   （复制浏览器打开此链接，按照提示完善资料，奖励1元）                                                                           3. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够50万U币（网站虚拟币，相当于50RMB），就可以获得50RMB,交稿后我赏金给50，一共100元。交稿：余额显示为50万U币（相当于赚50RMB可提）以上即可，然后交稿我再给50，共100本平台可长期赚钱，做的好每天在平台免费赚80-500元不等，看个人的熟练程度，本平台完全免费",任务编号：574712,,,,,,,,,,
【网络接单】5元一个，简单注册,https://task.epwk.com/574475/,2015人,9人,¥500,abc3538,￥ 500,￥10,2018.01.17,1，注册地址    http://t.cn/RTCLxAM 2，完成网站的 新人任务 即可合格。 3，提交你 完成新人任务 的截图。每稿奖励5元。备注：本任务无需银行卡认证，也不强制要求提现。,任务编号：574475,qq2677797220,xihaijjk,,,,,,,,
【网络接单】APP注册推广,https://task.epwk.com/574257/,1466人,6人,¥501,说好的幸福de呢,￥ 501,￥12,2018.01.17,1.必须通过二维码扫码注册才可以。2.必须注册当天通过阅读获得60金币，才视为合格。3.必须提交图一图二，后台监控。,任务编号：574257,o5a5fa95d97bca,a1363249691,o58f4380699940,h17769757195,,,,,,
【网络接单】30元一稿 有视频操作教程,https://task.epwk.com/573503/,1500人,0人,¥600,纳兹的火焰,￥ 600,,2018.01.15,长期有效，必须是首次，必须是首次，1 直接复制下方链接到电脑上注册http://www.juxiangyou.com/floor/recom/75684232 注册就送（10000U币=1元），通过网站完成 新人任务 悬赏任务 游戏试玩任务   等 余额达到500000U币合格，交稿领取额外30元共赚80元3.新手操作教程必看复制链接打开，有视频操作攻略http://www.wzsjapp.com/index.php?c=content&a=show&id=2834.交稿（下方提交附件示范截图）,任务编号：573503,,,,,,,,,,
【网络接单】仅限女性，赚钱小任务，秒拿佣金,https://task.epwk.com/572949/,2434人,4人,¥500,mf153****9550,￥ 500,￥3.33,2018.01.12,注：必须要女性，威客账号信息与微信账号信息、头像判断男女，只有女性才可通过获取步骤：1、微信-添加-公众号：封峰聚2、关注后，开始做微信小任务，每个任务做完app里都有钱拿，做完5个任务以上即可注：必须要女性，威客账号信息与微信账号信息、头像判断男女，只有女性才可通过注：也可打开附件图片，微信扫码关注注：如果不会 公众平台里直接发文字，有人会回复解答交稿要求：可提交余额截图或完成任务截图或者微信号,任务编号：572949,o5a5c5c1bd7aaf,,,,,,,,,
【网络接单】下载趣头条APP注册并输入邀请码,https://task.epwk.com/572762/,964人,0人,¥500,o5a57bd6556a52,￥ 500,,2018.01.12,邀请码：A108631634，进入任务系统完成任务获得金币1000+，或者可以加我QQ1047847246，阅读文章可获得金币，你获得同样我也有，只要因为你我获得了100金币就行，所以有时候可能不需要1000+金币，加我QQ可以更好了解，然后坚持三天每天阅读文章使我能获得60金币任务根据任务系统的提示里面有很多任务，比如首次注册的阅读三篇文章即可获得200金币，还有其他任务可以获得金币，注册需使用手机号，一个手机号只能用一次，完成任务截图示意（完成金币的截图及阅读三天的记录截图）,任务编号：572762,,,,,,,,,,
【网络接单】APP试玩任务，一单3元收益，长期赚钱！,https://task.epwk.com/572070/,1015人,1人,¥500,o5a37c3d4028a3,￥ 500,,2018.01.10,任务步骤：（18元/单）（日赚100）（安全可靠）1、微信-添加-公众号：fast6662     （也可以用微信扫描下方二维码入口进入）2、关注后  苹果手机回复【苹果】领取任务                 任务要求：苹果手机：任意2个平台中每个赚取15元，即可；（约25分钟即可完成）一个平台算一单15+3奖励此18元一单，多赚多得！投稿时需附带任务平台ID截图(可多个平台一起做，奖励更高）每天下午16点有大量软件下载任务更新，推荐从上往下做，所有平台都是免费靠谱赚钱的，威客们放心操作即可，此任务只是为了给大家推广赚钱平台，让每个人在闲暇时间动动手指就可以赚钱！之前做过的就不要再交稿了（可以选择以前没有下载过的平台做），我们有后台数据对比,任务编号：572070,,,,,,,,,,
【网络接单】小任务，启动寒假赚钱的慢慢长路，5元一稿，可长期做,https://task.epwk.com/572016/,6580人,33人,¥500,博正钢铁,￥ 500,￥105,2018.01.10,喜欢玩游戏的朋友可以来接任务了，不过你如果爱好玩彩票、喜欢理财的话也可以做。按任务要求一个游戏打开玩一会儿，网站就会给你钱。长期做的可以加微信：Zyan140805 共同探讨（备注威客）下面说下任务：1.注册地址： http://ttz.china.com/fd/15602115 2.任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导完成网站的 新人任务 即可合格（参照下方的截图示范），我审核通过后会付给你5元的稿费，你获得3万黄钻在网站可兑换成3元现金（可微信提现）。提示：刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，按新手专区的引导完成网站的进级任务轻松赚取4.5万黄钻，能在此平台月入1万的人不在少数，请大家加油！备注：本任务无需银行卡认证，也不强制要求提现。,任务编号：572016,o5a560f9718eb3,王子公主,李先森看电影,o5a5bc630a8cf8,moneytogether,柠檬灬丶丶,春天花开雨,o5a5f4a73f3214,o5a61ed66817a4,a1363249691
【网络接单】微信推广，1分钟完成（只有部分微信符合要求，看清要求再领任务）,https://task.epwk.com/571554/,1837人,1人,¥500,dandanyancao,￥ 500,,2018.01.09,本任务是帮微信推广微粒贷功能。无需去贷款，只要查看额度就行。无需下载任何app。每人限1次。要求：1，您的微信有微粒贷借钱入口（入口位置见附件图片）            2，您没有在微粒贷里面借过钱            3，您以前没有用过微粒贷，也就是您不知道你的微粒贷的可借钱额度            4，本次任务就是邀请您首次查看借钱额度，在我发送邀请链接（微信官方链接，非第三方链接）前千万不要自行去查看额度，否则您就不符合要求，即任务失败。            5，查看额度成功后截图发给我，我再推荐你关注一个公众号，关注公众号后，这个公众号会给你发送5元红包，同样把界面截图发给我。至此任务完成。符合上述要求的，加我微信号dandanyancao510359或扫描图片附件中的二维码加我。,任务编号：571554,,,,,,,,,,
【数据录入】网页游戏试玩任务 10元一单 多做多得,https://task.epwk.com/571560/,19690人,18人,¥750,mf53c75c33df3a0,￥ 750,￥15,2018.01.09,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409（复制此链接到浏览器打开）任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此10元到手。提示：刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！再次提示：网站新上的福利任务版块任务很简单，赚钱很容易，但是要注意完成了不是马上能领钱的，等审核过了更新了以后才可以领,任务编号：571560,WDYKWX,o5a9ae0014dbac,xyearn,,,,,,,
【网络接单】苹果APP试玩，只需完成前两个下载任务，3元一单,https://task.epwk.com/571416/,917人,0人,¥500,鑫诚网络,￥ 500,,2018.01.08,此任务暂时只支持苹果手机和ipad ，安卓手机无法试玩此任务只是为了给大家推广赚钱平台，让每个人在闲暇时间动动手指就可以赚钱！1；微信关注公众号 源财试玩宝 2；点击试玩入口，选择第一个平台进入，（必须是从我们公众号进入，否则后台没有你的数据是无法审核成功的）根据指示成功试玩任意两个APP即可注；（必须首次才会给合格，之前做过的就不要来了）3；交稿，提交一张平台ID截图即可。审核后便会发放奖励！此任务不涉及银行卡 身份证实名认证如有不懂，可在公众号内查看客服威信 添加备注威客试玩,任务编号：571416,,,,,,,,,,
