标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,能力标签
【LOGO设计】新能源行业，公司LOGO设计加对应英文,https://task.epwk.com/947948/,1564人,4人,1000-3000元,圆满完成,o6108a04d7bcf1,"经营介绍：分布式光伏电站的建设、运维（特别突出运维服务 ），建筑环境和工业节能研发、综合能源投资开发运维、电力设计和电力总承包、新能源装备制造Logo应用内容：公司背景墙、官网、合同等一切公司相关的活动场景。设计要求：1、大气、简洁、明快；2、醒目易识别，突出新能源绿色环保元素；3、设计独特可成功注册；4、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。注：官网地址 https://www.thever.cn/",2021-08-04,2021.08.19,任务编号：947948,1000.0,"4天,5天,5天,10天","四川省-眉山市-东坡区,广东省-深圳市,山东省-青岛市,江苏省-无锡市",瑞艺品牌全案机构,https://shop.epwk.com/zqdplw136n1v/,,,,,,,,,,,,,,,,,,,LOGO设计
【包装设计】化工原料的包装设计定金,https://task.epwk.com/947947/,653人,1人,1000元以内,圆满完成,k3004****20,"项目:化工原料的包装设计称呼:胡先生地区:浙江省,宁波市需求:化工原料包装设计，有四个产品需要设计，不需要太花俏，只需要突出品牌，具体详谈",2021-08-04,2022.04.21,任务编号：947947,100.0,3天,浙江省-杭州市-萧山区,杭州无垠文化策划有限公司,https://shop.epwk.com/7lngqvx18dmr/,杭州无垠文化策划有限公司,出售服务,https://shop.epwk.com/7lngqvx18dmr/chushou/,企业,七品,40分,,,杭州无垠文化策划有限公司,,活动全案设计,"￥25000
            /起",h5设计,"￥2000
            /起",海报设计,"￥500
            /起",ppt设计,"￥1200
            /起",包装设计
【宣传册设计】工程建设行业宣传册设计,https://task.epwk.com/947909/,484人,1人,1000元以内,圆满完成,k9837****38,项目:工程建设行业宣传册设计称呼:张先生地区:浙江宁波需求:要求：做常规的公司简介，彩页做个十来七八张，然后是要做成PPT 形式，或者是那转H5的，同事比较容易查看。根据整理的素材，尽量压缩到8张左右，因为还有客户专用的产品要放进去，方案再放进去的话 ，加起来就超过20多张了，案例圈起来的内容要凸显出来，在前一两页就要体现出，或者放在目录一块儿都可以的。联系报价预算:,2021-08-03,2021.08.06,任务编号：947909,500.0,1天,福建省-厦门市,韵成品牌策划,https://shop.epwk.com/rp5z40wwjdx3/,,,,,,,,,,,,,,,,,,,宣传册设计
【LOGO设计】水果行业LOGO设计,https://task.epwk.com/947817/,292人,1人,1000元以内,圆满完成,vitorru,项目: 水果行业LOGO设计称呼: 崔先生地区: 江苏，服务商地域不限需求: 最基本的VI设计，雇主线上线下都有，想做品牌。最好做过食品生鲜类，其次是做过大食品类的服务商预算：看服务商报价时间：未定备注：手机是微信号,2021-08-03,2021.08.03,任务编号：947817,899.0,7天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3487 次中标，交易总金额,￥1073.48万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",LOGO设计
【LOGO设计】企业logo设计,https://task.epwk.com/947768/,445人,3人,1000元以内,圆满完成,k1352****88,项目:企业logo设计称呼: 尹先生  地区: 天津需求: 伊丽膳元，是企业名称和商标名称，目前需要字体设计及标志设计，设计好用于注册，联系报价,2021-08-03,2021.08.07,任务编号：947768,500.0,"3天,7天","山东省-聊城市-市辖区,浙江省-杭州市-萧山区",汉悦佳美品牌策划,https://shop.epwk.com/v0n1xzl4257y/,,,,,,,,,,,,,,,,,,,LOGO设计
【包装设计】做一个产品盒子的外观设计,https://task.epwk.com/947647/,537人,1人,1000-3000元,圆满完成,k5407****29,"项目:做一个产品盒子的外观设计称呼:田女士地区:广东省,广州市 地区不限需求:需求：做一个产品盒子的外观设计。类别：教育产品。风格：素雅、大气。时间：8月8日前交初稿，20日前交终稿。盒子尺寸-----外径：32*23.5*8CM预算:",2021-08-02,2021.08.18,任务编号：947647,1000.0,7天,广东省-广州市-白云区,晶构创意,https://shop.epwk.com/j7n38q2025e1/,,,,,,,,,,,,,,,,,,,包装设计
【PPT设计】餐饮企业宣传PPT制作,https://task.epwk.com/947573/,988人,8人,1000-3000元,圆满完成,o61075b226f2b2,餐饮企业宣传PPT制作，具体细节详谈,2021-08-02,2021.08.15,任务编号：947573,1400.0,"5天,5天,1天,7天","辽宁省-大连市,山东省-青岛市,北京市-北京市-丰台区,山东省-德州市-德城区",原色设计工作室,https://shop.epwk.com/7g5ykgm9gn0q/,原色设计工作室,出售服务,https://shop.epwk.com/7g5ykgm9gn0q/chushou/,企业,四品,60分,总 38 次中标，交易总金额,￥5.3万,原色设计工作室,,LOGO/VIS/包装设计/画册设计/海报设计,"￥1200
            /起",UI设计/APP界面/H5设计/小程序界面设计,"￥2000
            /起",食品、日化内外包装设计,"￥1800
            /件",京东/淘宝/团购平台/店铺装修定制设计 详情页  海报,"￥1800
            /起",PPT设计
【宣传册设计】uv打印行业公司宣传册设计,https://task.epwk.com/947563/,711人,1人,1000元以内,圆满完成,k7271****52,"项目:uv打印行业公司宣传册设计称呼:李女士地区:广东省,深圳市 地区不限需求:uv打印行业公司宣传册设计，有整理大概需求文档，在客户那，设计要求简单，具体需求详谈，联系报价。客户有发类似案例的视频参考。预算:",2021-08-02,2021.08.30,任务编号：947563,1000.0,,,极跃设计（广州）有限公司,https://shop.epwk.com/09drj1wol53w/,极跃设计（广州）有限公司,出售服务,https://shop.epwk.com/09drj1wol53w/chushou/,企业,七品,72分,,,极跃设计（广州）有限公司,,海报设计,"￥688
            /起",详情页设计,"￥899
            /起",产品外观设计,价格面议,包装设计,价格面议,宣传册设计
【包装设计】香包包装设计,https://task.epwk.com/947551/,590人,1人,1000-3000元,圆满完成,k1691****18,项目:香包包装设计称呼:王先生地区:河北保定需求:香包包装设计，袋装盒装都需要，时尚大牌点的感觉，具体详谈,2021-08-02,2021.08.18,任务编号：947551,1000.0,4天,江苏省-南京市-鼓楼区,格物美径,https://shop.epwk.com/0z5o41p7xnjq/,格物美径,出售服务,https://shop.epwk.com/0z5o41p7xnjq/chushou/,工作室,六品,40分,,,格物美径,,VI系统 基础规范 应用规范,"￥1200
            /起",提供各品类产品外包装设计,"￥800
            /起",形象画册、产品手册杂志、书籍装帧,"￥200
            /页",企业形象海报、产品海报、各类展示画面,"￥800
            /起",包装设计
【书籍装帧】书本的封面设计,https://task.epwk.com/947467/,1061人,1人,1000元以内,圆满完成,o61062dcf30636,书本的封面设计，设计风格，简约风，有整理文档,2021-08-01,2021.08.04,任务编号：947467,500.0,7天,福建省-厦门市,厦门山梦创意文化传媒有限公司,https://shop.epwk.com/2j5jj7qk75pz/,厦门山梦创意文化传媒有限公司,出售服务,https://shop.epwk.com/2j5jj7qk75pz/chushou/,企业,五品,45分,,,厦门山梦创意文化传媒有限公司,,包装 画册 设计,"￥800
            /起",VI设计,"￥5000
            /起",logo商标设计,"￥600
            /起",logo设计,"￥200
            /起",书籍装帧
【详情页设计】做一个天猫品牌产品详情页,https://task.epwk.com/947418/,568人,2人,1000元以内,圆满完成,上上上尚,做一个天猫品牌产品详情页详情页内要体现品牌获得荣耀，整版详情页要反复强调品牌，加入一个健康专家建议板块，一个板块放质检报告体现产品安全卫生，一个板块体现设计师，最后一个板块体现品牌简介主营厨房产品，简约风。,2021-08-01,2021.08.08,任务编号：947418,800.0,3天,山东省-日照市-东港区,崇尚简约品牌设计,https://shop.epwk.com/p05qjmk6odev/,,,,,,,,,,,,,,,,,,,详情页设计
【店铺装修】淘宝店铺装修,https://task.epwk.com/947158/,1343人,8人,1000元以内,圆满完成,o60b4bb4821ed7,淘宝店铺装修 具体需求详谈,2021-07-29,2021.08.19,任务编号：947158,500.0,"5天,7天,2天,3天,1天","广东省-广州市,山东省-青岛市-城阳区,福建省-厦门市,山东省-日照市-东港区,山东省-德州市-德城区",爱设计｜品牌视觉设计有限公司,https://shop.epwk.com/mod04xygl5yv/,,,,,,,,,,,,,,,,,,,店铺装修
【VI设计】小程序页面美化VI设计,https://task.epwk.com/947007/,959人,7人,1000元以内,圆满完成,o6042d0f5dec45,小程序VI设计，重新包装设计一下，具体细节详谈，微信沟通，请勿致电,2021-07-29,2021.07.31,任务编号：947007,600.0,"1天,5天,15天,7天,5天","山东省-日照市-东港区,广东省-深圳市,江苏省-南京市-玄武区,山东省-青岛市,山东省-烟台市",崇尚简约品牌设计,https://shop.epwk.com/p05qjmk6odev/,,,,,,,,,,,,,,,,,,,VI设计
【详情页设计】详情页设计,https://task.epwk.com/946927/,448人,1人,1000元以内,圆满完成,k6012****78,非常简单的详情页跟主图修改，就是几张图片，没有多少文字，具体细节详谈,2021-07-28,2021.08.02,任务编号：946927,300.0,2天,广东省-深圳市-龙岗区,47号设计工作室,https://shop.epwk.com/81n41mxm0np6/,,,,,,,,,,,,,,,,,,,详情页设计
【展示设计】展厅企业宣传墙的VI和广告设计,https://task.epwk.com/946915/,827人,3人,1000-3000元,圆满完成,Lenovogaokui,展厅平面设计：展厅用于展示我司的品牌形象、产品工艺、合作客户，能有网红打卡区域最好。共三个区域需要制作平面图。1，天花软膜  2.形象墙 3，柱子的设计,2021-07-28,2021.08.27,任务编号：946915,1200.0,6天,广东省-深圳市-龙华区,深圳山河品牌顾问,https://shop.epwk.com/89dvgvkmgdl2/,,,,,,,,,,,,,,,,,,,展示设计
【LOGO设计】需要设计电子音乐网站的LOGO,https://task.epwk.com/946907/,672人,10人,1000元以内,圆满完成,o60572de27ab21,您好，需要设计定制LOGO，是设计 一家电子音乐网站的LOGO，名称为 澎湃电音 PPEDM，要求大气有创意，最好是含有闪电或其他电子音乐相关的元素。主要颜色为黑白。,2021-07-28,2021.08.02,任务编号：946907,500.0,"7天,3天","福建省-厦门市,福建省-厦门市",厦门山梦创意文化传媒有限公司,https://shop.epwk.com/2j5jj7qk75pz/,厦门山梦创意文化传媒有限公司,出售服务,https://shop.epwk.com/2j5jj7qk75pz/chushou/,企业,五品,45分,,,厦门山梦创意文化传媒有限公司,,包装 画册 设计,"￥800
            /起",VI设计,"￥5000
            /起",logo商标设计,"￥600
            /起",logo设计,"￥200
            /起",LOGO设计
【包装设计】酱料的瓶贴设计,https://task.epwk.com/946868/,674人,1人,1000-3000元,圆满完成,k2610****56,项目:酱料的瓶贴设计称呼:鹿先生地区:山东 淄博 地区不限需求:品牌是精良优品，要做酱焖鱼汁酱的瓶贴设计，就像李子柒做的那种酱料的瓶贴，客户有提供尺寸图跟参考图。具体细节详谈，联系报价,2021-07-28,2021.08.26,任务编号：946868,2000.0,10天,上海市-市辖区,晨明文化传媒,https://shop.epwk.com/81n41qwgenp6/,,,,,,,,,,,,,,,,,,,包装设计
【动漫其他】通信行业动画设计,https://task.epwk.com/946733/,1808人,1人,3000-5000元,圆满完成,k4778****29,项目: 通信行业动画设计称呼: 袁先生地区: 安徽滁州，服务商地域不限需求：线缆路径仿真运动动画设计，3分钟，已有模型 预算：1000-3000时间：9月底前完成备注：微信是手机号,2021-07-27,2021.11.24,任务编号：946733,4000.0,15天,广东省-深圳市,深圳市平行视界影视传媒有限责任公司,https://shop.epwk.com/zqdplx02kn1v/,深圳市平行视界影视传媒有限责任公司,出售服务,https://shop.epwk.com/zqdplx02kn1v/chushou/,工作室,四品,61分,,,深圳市平行视界影视传媒有限责任公司,,,,,,,,,,动漫其他
【包装设计】挂面的包装设计,https://task.epwk.com/946732/,466人,1人,1000元以内,圆满完成,k6588****45,项目:挂面的包装设计称呼:张女士地区:安徽 阜阳需求:挂面的包装袋 跟 外包装箱设计，按双方沟通好的来设计。,2021-07-27,2021.08.01,任务编号：946732,500.0,5天,北京市-北京市,北京美陈广告有限公司,https://shop.epwk.com/j7n38q22l5e1/,北京美陈广告有限公司,出售服务,https://shop.epwk.com/j7n38q22l5e1/chushou/,企业,六品,40分,,,北京美陈广告有限公司,,商业美陈,"￥1000
            /起",创意设计,"￥500
            /起",动画制作,"￥1000
            /起",商业街区设计,"￥1000
            /起",包装设计
【海报设计】海报设计,https://task.epwk.com/946719/,1241人,1人,1000元以内,圆满完成,k5977****32,项目:海报设计称呼:张先生地区:安徽池州需求:一张简单的中秋活动产品套餐的图片，今天就需要的,2021-07-27,2021.07.28,任务编号：946719,100.0,1天,山东省-淄博市,维度品牌設计工作室,https://shop.epwk.com/0z5o4xg2xnjq/,,,,,,,,,,,,,,,,,,,海报设计
【彩页设计】产品服务彩页设计,https://task.epwk.com/946589/,427人,1人,1000元以内,圆满完成,k4395****27,项目:产品服务彩页设计称呼:陈先生地区:北京 东城需求:产品服务彩页设计，设计要求：美观漂亮、重点突出，有整理一些文字和图形，有发类似参考案例，想要大概做成那有，周三五点前就要做好，微信联系，晚上六点半以后再联系。预算:,2021-07-26,2021.07.29,任务编号：946589,800.0,2天,广东省-汕尾市,广东利方传媒工作室,https://shop.epwk.com/0z5o4x2qonjq/,广东利方传媒工作室,出售服务,https://shop.epwk.com/0z5o4x2qonjq/chushou/,工作室,四品,75分,,,广东利方传媒工作室,,产品包装/工业设计/外观设计,"￥100
            /起",LOGO/商标/标志设计,"￥100
            /起",,,,,彩页设计
【3D建模】工业产品的3D的平面图设计,https://task.epwk.com/946238/,1991人,1人,1000-3000元,圆满完成,o60fa98cc83249,项目:工业的3D的平面图设计称呼:何先生地区:四川成都 地区不限 需求:工业方面的一些产品，需要做一个3D的平面图，建模出效果图，资料还没有准备完，具体尺寸还没有确定，需要设计师帮忙引导下，案例报价。预算:详谈,2021-07-24,2021.07.29,任务编号：946238,2000.0,3天,广东省-广州市-荔湾区,广州极米设计有限公司,https://shop.epwk.com/2j5jj70m25pz/,广州极米设计有限公司,出售服务,https://shop.epwk.com/2j5jj70m25pz/chushou/,企业,五品,40分,,,广州极米设计有限公司,,产品开发设计  工业设计  产品建模渲染  产品材质工艺,"￥5000
            /起",三维效果渲染  3D建模  效果渲染,"￥2000
            /起",产品外观手板制作  产品结构手板制作  3D打印,"￥2000
            /起",产品结构设计  产品结构开发  结构专利申请,"￥5000
            /起",3D建模
【宣传册设计】吊车机械设备宣传册设计,https://task.epwk.com/946026/,622人,1人,1000元以内,圆满完成,k1650****88,项目:吊车机械设备宣传册设计称呼:李先生地区:江苏泰州需求:吊车机械设备宣传册设计，之前未设计过，规格：A4，大概3-4页左右（双面），第一页公司简介，第二页公司资质证件 第3-4页是一些案例图片，宣传册主要是放在公司可以让客户看的预算:联系报价,2021-07-23,2021.07.28,任务编号：946026,800.0,3天,贵州省-贵阳市-云岩区,色咖品牌设计,https://shop.epwk.com/2j5xojxxk5xm/,色咖品牌设计,出售服务,https://shop.epwk.com/2j5xojxxk5xm/chushou/,企业,六品,40分,,,色咖品牌设计,,原创 LOGO 设计,"￥500
            /起",宣传册 / 画册 / 折页 设计,"￥100
            /页",包装设计,"￥500
            /起",海报 / 展架 / 展板 设计,"￥300
            /起",宣传册设计
【VI设计】互联网公司吉祥物形象设计,https://task.epwk.com/945945/,1610人,15人,1000-3000元,圆满完成,o60f9313b44a5f,互联网公司吉祥物形象设计，用于公司品牌宣传。吉祥物形象最好科技灵动一些。具体详谈请提供案例参考。,2021-07-22,2021.08.02,任务编号：945945,1500.0,"10天,5天,7天,7天,10天,7天","天津市-市辖区-河东区,广东省-深圳市,山西省-太原市-晋源区,浙江省-温州市-市辖区,江苏省-无锡市,北京市-北京市-东城区",天津博漫插画设计有限公司,https://shop.epwk.com/2j5xojk335xm/,天津博漫插画设计有限公司,出售服务,https://shop.epwk.com/2j5xojk335xm/chushou/,企业,二品,129分,总 56 次中标，交易总金额,￥11.16万,天津博漫插画设计有限公司,,CG插画&游戏原画,"￥1800
            /起",,,,,,,VI设计
【LOGO设计】关键词图标LOGO设计,https://task.epwk.com/945904/,354人,1人,1000元以内,圆满完成,k4027****17,项目：关键词图标LOGO设计称呼: 宋先生地区: 湖南，不要湖南本地的，其他服务商地域不限需求: 每个关键词设计一个图标，可以体现这个关键词的含义。比如专业介绍、录取等，不同的图标设计出来。大约需要设计 10-20个小LOGO预算：看服务商报价时间：越快越好备注：微信是手机号,2021-07-22,2021.07.26,任务编号：945904,800.0,3天,四川省-成都市-锦江区,壹鑫品牌设计,https://shop.epwk.com/78dljmpel5lx/,,,,,,,,,,,,,,,,,,,LOGO设计
【宣传单设计】餐饮行业传单设计,https://task.epwk.com/945880/,547人,1人,1000元以内,圆满完成,k6693****35,项目:餐饮行业传单设计称呼: 钱先生地区: 云南 昆明需求: 餐饮行业传单设计，带案例沟通，联系评估报价。,2021-07-22,2021.07.24,任务编号：945880,400.0,2天,贵州省-贵阳市-云岩区,色咖品牌设计,https://shop.epwk.com/2j5xojxxk5xm/,色咖品牌设计,出售服务,https://shop.epwk.com/2j5xojxxk5xm/chushou/,企业,六品,40分,,,色咖品牌设计,,原创 LOGO 设计,"￥500
            /起",宣传册 / 画册 / 折页 设计,"￥100
            /页",包装设计,"￥500
            /起",海报 / 展架 / 展板 设计,"￥300
            /起",宣传单设计
【包装设计】卤味零食的包装设计,https://task.epwk.com/945706/,1232人,1人,5000-10000元,圆满完成,k6237****84,项目:卤味零食的包装设计称呼:周先生地区:安徽芜湖，没地区要求需求:卤味零食的包装设计，其他的要求看看相关的案例再说，微信是手机号,2021-07-21,2021.09.06,任务编号：945706,6800.0,15天,辽宁省-丹东市,一诺创意设计,https://shop.epwk.com/7g5ykp9kgn0q/,一诺创意设计,出售服务,https://shop.epwk.com/7g5ykp9kgn0q/chushou/,工作室,三品,65分,总 26 次中标，交易总金额,￥6.93万,一诺创意设计,,微信小程序设计开发（定制）,"￥5000
            /起",微信小程序设计开发（模板）,"￥5000
            /起",商城\店铺装修设计,"￥5000
            /起",网站设计制作（PC端及手机端）,"￥5000
            /起",包装设计
【宣传册设计】创新型高新企业的宣传册设计,https://task.epwk.com/945610/,525人,1人,1000元以内,圆满完成,k9827****25,"项目:创新型高新企业的宣传册设计称呼:郭先生地区:北京市,北京市需求:想做一个公司介绍的宣传资料 外加一个媒体平台的宣传海报  ，版面清晰简洁，颜色要阳光点的。有提供资料。联系报价预算:详谈",2021-07-21,2021.07.26,任务编号：945610,530.0,2天,广东省-广州市-荔湾区,极跃设计（广州）有限公司,https://shop.epwk.com/09drj1wol53w/,极跃设计（广州）有限公司,出售服务,https://shop.epwk.com/09drj1wol53w/chushou/,企业,七品,72分,,,极跃设计（广州）有限公司,,海报设计,"￥688
            /起",详情页设计,"￥899
            /起",产品外观设计,价格面议,包装设计,价格面议,宣传册设计
【插画设计】T恤图案设计,https://task.epwk.com/945596/,1461人,5人,3000-5000元,圆满完成,o60f5b53d7ecd8,设计一套T恤图案，男女两款（非情侣款）要求原创设计，有经验者优先。,2021-07-21,2021.07.30,任务编号：945596,3000.0,"10天,6天","四川省-成都市,山东省-烟台市",以探传媒,https://shop.epwk.com/2j5xo3k1x5xm/,,,,,,,,,,,,,,,,,,,插画设计
【宣传册设计】企业宣传册设计4P初稿比稿,https://task.epwk.com/945504/,2322人,5人,3000-5000元,圆满完成,o5ecf70fd5e29f,企业宣传册设计 共20P，预算300/p仅限深圳地区比稿模式（提供4P初稿筛选）最好有做过招商引资行业的宣传册商务风，题材尺寸不限自由发挥微信联系，直接发送初稿及公司名字，截稿日期7/22（本周五7/23选稿）,2021-07-20,2021.08.24,任务编号：945504,3000.0,"7天,7天,7天","浙江省-杭州市,广东省-深圳市,广东省-深圳市-龙岗区",杭州无垠文化策划有限公司,https://shop.epwk.com/7lngqvx18dmr/,杭州无垠文化策划有限公司,出售服务,https://shop.epwk.com/7lngqvx18dmr/chushou/,企业,七品,40分,,,杭州无垠文化策划有限公司,,活动全案设计,"￥25000
            /起",h5设计,"￥2000
            /起",海报设计,"￥500
            /起",ppt设计,"￥1200
            /起",宣传册设计
【LOGO设计】广元市遂宁商会的会徽设计,https://task.epwk.com/945456/,426人,1人,1000元以内,圆满完成,k6191****88,项目：广元市遂宁商会的会徽设计称呼:陈先生地区:四川广元需求:广元市遂宁商会的会徽设计，要求广元的地标和遂宁的地标融进去，弄成简笔画，四川广元市凤凰楼，四川遂宁是灵泉寺，要求越快越好。预算：报价联系,2021-07-20,2021.08.03,任务编号：945456,999.0,5天,四川省-成都市,以探传媒,https://shop.epwk.com/2j5xo3k1x5xm/,,,,,,,,,,,,,,,,,,,LOGO设计
【海报设计】建筑资质咨询公司海报设计,https://task.epwk.com/945425/,729人,1人,1000元以内,圆满完成,k9602****67,"项目:建筑资质咨询公司海报设计称呼:闻女士地区:北京市,北京市通州区需求:建筑资质咨询公司海报设计，先加微信，备注一品威客服务商，用于招商，对象是企业客户 投放电梯推广，风格简单明了，最迟这周四前要做好，预算:联系报价",2021-07-20,2021.07.22,任务编号：945425,300.0,3天,浙江省-杭州市-萧山区,杭州无垠文化策划有限公司,https://shop.epwk.com/7lngqvx18dmr/,杭州无垠文化策划有限公司,出售服务,https://shop.epwk.com/7lngqvx18dmr/chushou/,企业,七品,40分,,,杭州无垠文化策划有限公司,,活动全案设计,"￥25000
            /起",h5设计,"￥2000
            /起",海报设计,"￥500
            /起",ppt设计,"￥1200
            /起",海报设计
【LOGO设计】店铺LOGO设计,https://task.epwk.com/944442/,482人,1人,1000-3000元,圆满完成,k2998****50,项目:店铺LOGO设计称呼:段女士地区:河南洛阳需求:店铺LOGO设计，之前产品比较单一，现在店铺扩张，品种比较齐全了，想重新设计一个LOGO，具体详谈,2021-07-14,2021.08.05,任务编号：944442,1500.0,5天,福建省-厦门市-湖里区,南山公社,https://shop.epwk.com/4rn8qjg06ngm/,,,,,,,,,,,,,,,,,,,LOGO设计
【LOGO设计】公司LOGO设计,https://task.epwk.com/944387/,341人,1人,1000元以内,圆满完成,k4144****75,项目:公司LOGO设计称呼:温女士地区:广东深圳需求:长园长通新材料股份有限公司，还是想延续集团的这个商标，做些改变，利于公司申请新商标，具体详谈,2021-07-14,2021.10.12,任务编号：944387,800.0,5天,湖南省-长沙市,八月江水品牌设计,https://shop.epwk.com/mod04zkyk5yv/,八月江水品牌设计,出售服务,https://shop.epwk.com/mod04zkyk5yv/chushou/,企业,四品,66分,,,八月江水品牌设计,,插画设计/国潮插画/文创插画/插画包装/手绘插画/古风插画/卡通插画/商业插画,"￥1000
            /起",LOGO设计/VI品牌设计/标志设计/商标设计/卡通形象设计/IP设计/公司形象设计,"￥500
            /起",手绘包装设计/系列包装/食品包装设计/产品包装设计/饮品包装设计/礼品包装设计,"￥1500
            /起",,,LOGO设计
【包装设计】羊肉串半成品包装袋,https://task.epwk.com/944240/,854人,2人,1000-3000元,圆满完成,k9439****12,项目:羊肉串半成品包装袋称呼:吴先生地区:浙江 绍兴需求:羊肉串半成品包装袋，1款，带案例沟通，联系报价,2021-07-13,2021.08.16,任务编号：944240,1500.0,8天,广东省-汕头市-龙湖区,零零品牌设计,https://shop.epwk.com/09drj899q53w/,,,,,,,,,,,,,,,,,,,包装设计
【宣传册设计】三折页设计加印刷,https://task.epwk.com/943999/,1410人,1人,1000-3000元,圆满完成,k8180****07,"项目:三折页设计加印刷称呼:周先生地区:上海市,上海市需求:食品行业，要做三折页设计加印刷，尺寸450*240,200克的铜版纸覆膜，印刷1500份，十天内就要的",2021-07-12,2021.08.03,任务编号：943999,2100.0,9天,上海市-上海市-静安区,上海名道广告,https://shop.epwk.com/9w56eql76dv1/,,,,,,,,,,,,,,,,,,,宣传册设计
【LOGO设计】品牌LOGO设计,https://task.epwk.com/943977/,552人,1人,1000元以内,圆满完成,k7001****99,项目:品牌LOGO设计称呼:陆先生需求:根据提供的外形图片加入HM跟狼元素，图片上面的装饰件更换其它，具体加微信沟通，手机卡还在补卡,2021-07-12,2021.07.26,任务编号：943977,299.0,8天,上海市-市辖区,驼笛创意设计（上海）有限公司,https://shop.epwk.com/mod04xzg45yv/,驼笛创意设计（上海）有限公司,出售服务,https://shop.epwk.com/mod04xzg45yv/chushou/,企业,四品,42分,,,驼笛创意设计（上海）有限公司,,【自媒体全套包装】 logo商标演绎丨片头片尾丨关注引导,"￥499
            /套",企业品牌VI设计,"￥3000
            /起",企业IP吉祥物设计,"￥1500
            /起",工业仿真视频制作,"￥300
            /秒",LOGO设计
【包装设计】养生茶国潮外观设计,https://task.epwk.com/943964/,2074人,9人,1000-3000元,圆满完成,dekolabs,设计需求养生茶产品：安眠茶、润肺降燥茶、提神茶主要目标客群：25-35岁白领风格：清新结合简单国潮元素包装：外壳盒装，内部小袋装设计方案希望可以结合美观的同时便于执行落地。根据合作情况，有持续产品设计需求。,2021-07-12,2021.07.19,任务编号：943964,2400.0,"7天,5天,5天,5天,5天","山西省-太原市-晋源区,山东省-青岛市,山东省-青岛市,山东省-烟台市,上海市-上海市-静安区",美卓文化,https://shop.epwk.com/4rn8qr4m3ngm/,美卓文化,出售服务,https://shop.epwk.com/4rn8qr4m3ngm/chushou/,企业,五品,18分,,,美卓文化,,,,,,,,,,包装设计
【包装设计】植物营养液的包装设计,https://task.epwk.com/943526/,685人,2人,3000-5000元,圆满完成,k2375****05,项目:植物营养液的包装设计称呼:朱先生地区:浙江 金华 地区不限需求:要做三四款包装，商标有了，根据客户整理的需求文档设计，具体详谈。预算:详谈,2021-07-08,2021.07.26,任务编号：943526,3800.0,"7天,5天","广东省-深圳市,山东省-烟台市",容本设计,https://shop.epwk.com/p05qj8r2wdev/,容本设计,出售服务,https://shop.epwk.com/p05qj8r2wdev/chushou/,个人,六品,44分,,,容本设计,,容本设计企业形象VI设计品牌视觉全套原创VI字体LOGO标志,"￥1899
            /套",容本设计企业形象LOGO设计品牌商标VI设计视觉全套LOGO商标字体,"￥889
            /件",,,,,包装设计
【LOGO设计】化工行业logo设计,https://task.epwk.com/943393/,431人,1人,1000元以内,圆满完成,k3032****85,项目:化工行业logo设计称呼:向先生地区:湖南 长沙需求:化工行业logo设计，图案+文字（公司英文名或拼音），带案例沟通，联系报价。,2021-07-08,2021.07.09,任务编号：943393,300.0,2天,湖南省-长沙市-天心区,名创文化,https://shop.epwk.com/qgdmj3g3ydke/,,,,,,,,,,,,,,,,,,,LOGO设计
【LOGO设计】医疗器械行业LOGO设计,https://task.epwk.com/943311/,263人,1人,1000元以内,圆满完成,k6135****69,项目: 医疗器械行业LOGO设计称呼: 刘先生地区: 成都，不限区域服务商需求: 贴合行业 中文字体组合“四川长预”预算: 几百  时间：这两天备注：微信是手机号,2021-07-07,2021.07.12,任务编号：943311,600.0,3天,广东省-深圳市,长沙新琼设计工作室,https://shop.epwk.com/zqdplm7von1v/,,,,,,,,,,,,,,,,,,,LOGO设计
