标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【短视频营销】连衣裙短视频营销,https://task.epwk.com/1043676/,47人,1人,1000-3000元,圆满完成,k6198****9,为了推广产品或展示其时尚性、舒适性等特点，需要先确定拍摄的目的和场景。可以选择在室内或室外拍摄，或者在不同的环境下展示裙子的搭配效果。可以多次重复拍摄，以保证最终制作效果的质量。,2023.03.03,2023.03.14,任务编号：1043676,￥3000,3天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】视频剪辑制作,https://task.epwk.com/1031020/,866人,1人,1000元以内,圆满完成,k6529****70,"项目:视频剪辑制作称呼:田先生地区:江苏,无锡市需求:有拍摄好的视频，只需要做后期剪辑制作，找长期合作的团队",2023.02.28,2023.03.04,任务编号：1031020,￥120,2天,广东省-深圳市-南山区,噔噔工作室,https://shop.epwk.com/mod04ewyx5yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【三维动画】Maya动画设计,https://task.epwk.com/1030708/,724人,4人,5000-10000元,圆满完成,领尊rt1A8,设计一项奥运项目的10秒动画（例如 篮球足球之类）要求全程必须使用Maya 进行完成（建模，渲染等）（建模使用Maya的HumanIK），需要自己进行设计，不可以抄袭，3D设计。人物可以是机器人，也可以是动物之类的,2023.02.26,2023.03.13,任务编号：1030708,"￥5000,￥7500,￥8000","30天,3天,5天","重庆市-市辖区,山东省-青岛市,广东省-深圳市",瑞讯（重庆）文化传媒有限公司,https://shop.epwk.com/89dvg10rkdl2/,瑞讯（重庆）文化传媒有限公司,出售服务,https://shop.epwk.com/89dvg10rkdl2/chushou/,企业,四品,40分,,,瑞讯（重庆）文化传媒有限公司,,3D建模、3D打印、3D扫描、各类3D效果图,"￥300
            /件",VR/AR虚拟现实、增强现实,"￥1000
            /件",二维风格动画,"￥1000
            /件",三维影视特效,"￥1000
            /件",,,,,,,,,,
【产品拍摄】日化产品拍摄,https://task.epwk.com/1044454/,70人,2人,1000元以内,圆满完成,k7671****3,"需要了解产品的特点、使用情况和优势，以便更好地展示产品的特点和吸引力。
在拍摄时需要注意选取合适的角度和距离。使用平面视角来展示产品的正面和背面，一些角度能够突出产品的亮点、区别或特殊功能等。需要注意调整和选择合适的距离，以便适应不同的商品。",2023.02.21,2023.03.19,任务编号：1044454,"￥800,￥1000","2天,1天","北京市-北京市-市辖区,陕西-宝鸡市-市辖区",野创传媒,https://shop.epwk.com/9w56e4j13dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【二维动画】针灸针二维动画,https://task.epwk.com/1046207/,164人,2人,5000-10000元,圆满完成,k8176****9,"任务要求：
创意：根据我们提供的针灸知识和技术内容，设计一份有趣且易于理解的针灸针二维动画。
制作：需要使用专业的动画软件和工具，制作高质量的动画视频。",2023.02.20,2023.03.18,任务编号：1046207,"￥8000,￥10000","10天,10天","江苏-南京市-市辖区,陕西-西安市-市辖区",南京玳墨动画,https://shop.epwk.com/z2nkzp4xonqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【产品拍摄】踩屎感拖鞋产品拍摄,https://task.epwk.com/1043663/,65人,2人,1000元以内,圆满完成,k1909****2,了解产品特点和品牌风格，拍摄踩屎感拖鞋产品的照片或视频，确保产品亮点得到充分展示。根据拍摄方案，调整角度、构图、光线等各项拍摄细节。,2023.02.20,2023.03.03,任务编号：1043663,"￥500,￥800","1天,2天","青海-西宁市-市辖区,河北-石家庄市-市辖区",横行天下有限公司,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【产品拍摄】紫米面包产品拍摄,https://task.epwk.com/1045351/,60人,2人,1000元以内,圆满完成,k4519****9,"将紫米面包展现出它的魅力和品质，吸引更多消费者愿意尝试和购买。任务具体要求：
1.对于食品拍摄和美学有深入的了解和热情，能够将紫米面包的质感和口感准确展现出来。
2.具备一定的产品摄影技巧，能够通过光线和摆拍布局等手段，为紫米面包拍摄出高质量的照片和视频素材。",2023.02.17,2023.03.15,任务编号：1045351,"￥1000,￥1000","2天,2天","北京市-北京市-市辖区,陕西-宝鸡市-市辖区",野创传媒,https://shop.epwk.com/9w56e4j13dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【产品拍摄】洞洞鞋产品拍摄,https://task.epwk.com/1044662/,77人,2人,1000元以内,圆满完成,k7671****3,拍摄角度需要多变，从不同角度拍摄产品的不同部位，将洞洞鞋的细节特点展现出来，如鞋子上的孔、鞋底和鞋头等。需要把握产品的细节部位，比如鞋带、鞋底、材质等，从不同角度和距离进行拍摄，以展现产品的特点和质感。,2023.02.14,2023.03.12,任务编号：1044662,"￥1000,￥1000","2天,2天","北京市-北京市-市辖区,安徽-合肥市-市辖区",野创传媒,https://shop.epwk.com/9w56e4j13dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【企业宣传片】互联网教育企业宣传片制作,https://task.epwk.com/1043234/,89人,1人,1000-3000元,圆满完成,k6753****7,宣传片需要能够直观和准确地展示企业及其服务的优势，强调其偏向的教育场景和该企业所擅长的教育领域的构造，设施等，让受众充分了解企业的定位和发展方向。通过选用多种视觉元素(如人员拍摄、办公环境、技术亮点、教学场景等)，呈现出企业的品质和技术实力，刻画出企业的专业形象和价值理念，并表现出企业团队的创新性和韧性。,2023.02.11,2023.02.24,任务编号：1043234,￥1500,3天,吉林-长春市-市辖区,凉辰梦瑾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【VR效果图】连锁美容美发vr效果图,https://task.epwk.com/1043233/,38人,1人,1000-3000元,圆满完成,k3821****9,需要一组连锁美容美发的 VR 效果图，展示店铺内部设计和环境，凸显品牌理念和服务特色。根据品牌理念和服务特色，配合色调和风格进行室内设计，造型和灯光效果，让 VR 效果图充满美感和时尚感。,2023.02.10,2023.02.23,任务编号：1043233,￥3000,5天,广东-深圳市-市辖区,浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剧本创作】机车剧本创作,https://task.epwk.com/1044456/,82人,2人,1000-3000元,圆满完成,k2268****7,"在创作机车剧本时，编剧需要明确故事情节，包括角色和剧情发展。可以通过故事的结构和情节点，让故事更加生动有趣，让观众更深入地了解机车行业，并突出特定主题。
编剧需要充分挖掘人物之间的关系，并深入地描述他们之间的感情体验和交流。这有助于叙事的连续性和感情的表达。",2023.02.09,2023.03.07,任务编号：1044456,"￥3000,￥2500","5天,3天","江苏-南京市-市辖区,宁夏-银川市-市辖区",南京星逸文化传媒有限公司,https://shop.epwk.com/p05qj3rwrdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【产品拍摄】荔枝产品视频拍摄,https://task.epwk.com/1043237/,73人,1人,3000-5000元,圆满完成,k2856****5,一段荔枝产品的宣传视频，长度为60秒左右。视频需要展示荔枝产品的特点和优势，同时突出产品的美味和营养价值。,2023.02.05,2023.02.22,任务编号：1043237,￥5500,7天,山东-青岛市-市辖区,風雨英雄,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剧本创作】青岛石老人故事皮影剧本,https://task.epwk.com/1043665/,80人,2人,5000-10000元,圆满完成,k1909****2,青岛开设皮影剧场，需要皮影剧本，内容石老人故事，故事有历史依据，完整，表演时长大概10分钟，可以用灯光音效场景,2023.02.04,2023.02.22,任务编号：1043665,"￥5000,￥6500","7天,5天","安徽-合肥市-市辖区,广东-深圳市-市辖区",酷也孤独,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剧本创作】微电影剧本创作,https://task.epwk.com/1043235/,336人,1人,5000-10000元,圆满完成,k4880****1,长度在10分钟以内的电影，具有紧凑的叙事结构、独特的视觉效果和丰富的意象符号，以情感为主题，微电影时长较短，因此剧情节奏要紧凑、连贯，能够吸引观众的注意力并产生共鸣。,2023.02.03,2023.02.24,任务编号：1043235,￥8000,8天,湖南-长沙市-市辖区,傲世有限公司,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】团员创意拜年视频剪辑,https://task.epwk.com/1027233/,2435人,1人,5000-10000元,圆满完成,k8940****34,项目:团员创意拜年视频剪辑称呼:李总地区:北京市（服务商地域不限）需求:拍好了几段视频，有的还需要剪辑修改，横版竖版都有，比较混乱，大概剪辑成1-2分钟，类型就是团员创意拜年视频，有点着急，安排一家最专业的吧，这一两天就要剪出初稿预算:需要报价备注：微信是手机号【推广员任务许玲】,2023.01.16,2023.01.28,任务编号：1027233,￥7200,7天,广东省-深圳市,楷峰文化,https://shop.epwk.com/j7n38qo0o5e1/,楷峰文化,出售服务,https://shop.epwk.com/j7n38qo0o5e1/chushou/,工作室,一品,92分,总 76 次中标，交易总金额,￥28.35万,楷峰文化,,产品外观设计 深圳公司,"￥8000
            /起",包装设计 深圳公司,"￥3500
            /起",创意商业摄影 深圳公司,"￥5000
            /起",,,,,,,,,,,,
【二维动画】砖石项链二维动画,https://task.epwk.com/1045348/,53人,2人,1000-3000元,圆满完成,k8525****2,"制定一个令人难以忘记的砖石项链二维动画。该动画旨在向潜在客户展示砖石项链的优雅和价值，并提高他们的购买意愿。任务具体要求：
对于珠宝和美学有深入的了解和热情，能够准确表现砖石项链的品质和特点。",2023.01.13,2023.02.08,任务编号：1045348,"￥3000,￥3000","5天,5天","江苏-南京市-市辖区,福建-福州市-市辖区",南京玳墨动画,https://shop.epwk.com/z2nkzp4xonqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【二维动画】二维医学动画,https://task.epwk.com/1044659/,89人,2人,1000-3000元,圆满完成,k3173****0,需要传达医学知识，了解相关的医学知识是制作医学动画的前提。需要结合医学书籍、期刊、以及网络资料等多种来源，全面掌握相关医学知识。注重画面的视觉效果，包括医学图形的表现形式、医学数据的可视化和呈现方法。可以使用一些美术手法，比如动画、特效等来增强视觉效果，提升画面质量和视觉感受。,2023.01.11,2023.02.06,任务编号：1044659,"￥3000,￥3000","5天,3天","江苏-南京市-市辖区,上海市-上海市-市辖区",南京玳墨动画,https://shop.epwk.com/z2nkzp4xonqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【动画设计】游戏人物及地图设计,https://task.epwk.com/1026712/,943人,3人,1万-2万元,圆满完成,o5e42459d3f264,游戏人物及地图设计，需要原创，二次原风格，2D立绘，具体详谈。,2023.01.07,2023.02.22,任务编号：1026712,"￥10800,￥10000","17天,5天","辽宁省-大连市,广东省-深圳市",甜薪文化,https://shop.epwk.com/09drjygle53w/,甜薪文化,出售服务,https://shop.epwk.com/09drjygle53w/chushou/,企业,四品,44分,,,甜薪文化,,宣传片AE特效剪辑,"￥1000
            /件",MG动画3D三维立体动画影视制作,"￥70
            /秒",3D建模人物道具游戏影视原创建模骨胳绑定,"￥1000
            /款",原创创意包装手绘包装,"￥1000
            /款",吉详物原创设计版权吉祥物,"￥500
            /件",原创VI系统设计企业集团上市注册,"￥1600
            /套",,,,,,
【企业宣传片】青安岗汇报视频编辑,https://task.epwk.com/1024566/,2001人,6人,1000-3000元,圆满完成,wlgg8899,"视频长度为4分半左右，喊录音文字，有视频及图片，https://v.qq.com/x/page/a088476mr8o.html     参考视频链接设计要求： 1、大气、简洁、明快;2、有视觉冲击力，;3、能体现特色，但如限制了设计师的创意，可重新设计。4、附上创意说明。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2022.12.11,2023.09.04,任务编号：1024566,"￥2500,￥2000,￥1800","7天,3天,4天","北京市-北京市-海淀区,山东省-青岛市,湖南省-长沙市-雨花区",BOMUNI工作室,https://shop.epwk.com/m7d7wom7k5q8/,BOMUNI工作室,出售服务,https://shop.epwk.com/m7d7wom7k5q8/chushou/,企业,五品,44分,,,BOMUNI工作室,,游戏开发定制游戏源码3D游戏H5游戏微信小程序,"￥500
            /件",视频制作剪辑包装字幕特效片头企业宣传片短视频拍摄制作,"￥1000
            /件",3D建模渲染三维IP形象吉祥物3D主图3D产品3D人物设计,"￥100
            /件",logo设计动态logo公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",lcon设计系统图标设计按钮设计图形设计,"￥500
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",海报设计平面设计美工展板PS处理画册设计包装设计,"￥20
            /起",插画设计海报设计手绘卡通动漫人物头像代画文创国朝,"￥500
            /起",商业计划书融资策划书策划广告策划创业招商项目路演写作撰写,"￥2000
            /起"
【剪辑服务】短视频剪辑,https://task.epwk.com/1023764/,4006人,13人,1000元以内,圆满完成,特斯威cmx6t,每个月最少剪辑25条，要长期合作，一条100,2022.12.02,2022.12.13,任务编号：1023764,"￥100,￥1000,￥200,￥1000,￥100,￥800,￥1000,￥500,￥1000,￥1000","2天,30天,30天,26天,26天,30天,30天,1天,3天,1天","河北省-廊坊市,浙江省-杭州市-富阳市,甘肃省-天水市-秦安县,广西-南宁市-青秀区,广东省-惠州市-惠城区,江苏省-南京市-江宁区,云南省-保山市-隆阳区,广东省-深圳市,安徽省-淮南市-田家庵区,江苏省-徐州市-睢宁县",墨柒设计,https://shop.epwk.com/m7d7woplw5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】纺织品面料短视频拍摄,https://task.epwk.com/1023246/,340人,1人,1000-3000元,圆满完成,k8271****33,项目:纺织品面料短视频拍摄称呼:邓女士地区:广东省深圳市需求:纺织品面料短视频拍摄。用于短视频渠道营销推广等渠道。性价比高的产品可以寄出。具体联系报价,2022.11.28,2022.12.17,任务编号：1023246,￥1800,15天,广东省-深圳市-宝安区,楷峰文化,https://shop.epwk.com/j7n38qo0o5e1/,楷峰文化,出售服务,https://shop.epwk.com/j7n38qo0o5e1/chushou/,工作室,一品,92分,总 76 次中标，交易总金额,￥28.35万,楷峰文化,,产品外观设计 深圳公司,"￥8000
            /起",包装设计 深圳公司,"￥3500
            /起",创意商业摄影 深圳公司,"￥5000
            /起",,,,,,,,,,,,
【三维动画】3D的VR动画设计（已确定合作者）,https://task.epwk.com/1023175/,250人,1人,1000-3000元,圆满完成,k1676****57,项目：3D的VR动画设计称呼：何先生地区: 不详，服务商地域不限需求: 需要一套分镜外包，以实际沟通的需求为准预算: 看服务商报价时间：未定备注：微信是手机号,2022.11.28,2022.12.20,任务编号：1023175,￥2000,7天,湖北省-襄樊市-樊城区,白泽（湖北）新媒体,https://shop.epwk.com/78n96r032nkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【三维动画】需要建筑漫游视频,https://task.epwk.com/1019312/,782人,5人,3000-5000元,圆满完成,o5ae2ca2c6eab5,提供现成的的模型，模型复用性比较强，需要你们调整材质和景观，然后渲染视频出来,2022.10.25,2022.11.24,任务编号：1019312,"￥3000,￥4000","7天,7天","天津市-市辖区-西青区,江苏省-淮安市-淮阴区",蘑力动画,https://shop.epwk.com/0z5o4xo0lnjq/,蘑力动画,出售服务,https://shop.epwk.com/0z5o4xo0lnjq/chushou/,个人,七品,40分,,,蘑力动画,,摄像录影航拍,"￥100
            /起",三维动画制作,"￥100
            /起",三维建筑（场景）制作搭建,"￥100
            /起",二维动画制作,"￥100
            /起",,,,,,,,,,
【动画设计】APP抽奖动画设计,https://task.epwk.com/1018243/,468人,3人,1000元以内,圆满完成,o5bd03767de70e,APP抽奖动画设计  具体需求详谈,2022.10.17,2022.10.21,任务编号：1018243,"￥500,￥800","2天,3天","重庆市-市辖区-沙坪坝区,山东省-青岛市",趣易开发设计,https://shop.epwk.com/0z5o4xmrxnjq/,趣易开发设计,出售服务,https://shop.epwk.com/0z5o4xmrxnjq/chushou/,企业,六品,44分,,,趣易开发设计,,APP动效，游戏技能动效,"￥500
            /件",LOGO设计,"￥500
            /件",吉祥物\手办\动漫形象\3D打印,"￥2000
            /件",,,,,,,,,,,,
【影视特效】【影视建模】毕设短片用机器人建模,https://task.epwk.com/1018057/,3412人,1人,1000-3000元,圆满完成,威斯特fn8Xs,含贴图材质，无面部特征，近人形 轻型 需要骨骼绑定，避免运动穿模有参考图集,2022.10.15,2023.02.08,任务编号：1018057,￥2500,7天,广东省-深圳市-福田区,深圳市平行视界影视传媒有限责任公司,https://shop.epwk.com/zqdplx02kn1v/,深圳市平行视界影视传媒有限责任公司,出售服务,https://shop.epwk.com/zqdplx02kn1v/chushou/,工作室,四品,61分,,,深圳市平行视界影视传媒有限责任公司,,,,,,,,,,,,,,,,,,,
【剪辑服务】需要剪辑5个游戏或者动漫电脑视频按照我需求的做,https://task.epwk.com/1016739/,1329人,3人,1000元以内,圆满完成,o6238****d9a64,需要剪辑5个游戏或者动漫电脑视频按照我需求的做   有做过这些视频的 最号 有经验的最号  多加点元素就行 配音 标题,2022.10.07,2022.10.08,任务编号：1016739,"￥150,￥1000","2天,7天","天津市-市辖区,河北省-石家庄市-新华区",天津讯特品牌设计有限公司,https://shop.epwk.com/4rn8qjp69ngm/,天津讯特品牌设计有限公司,出售服务,https://shop.epwk.com/4rn8qjp69ngm/chushou/,企业,四品,49分,,,天津讯特品牌设计有限公司,,高端菜谱设计,"￥260
            /起",品牌战略策划,"￥80000
            /起",kv创意设计,"￥1200
            /起",创意海报设计,"￥1000
            /起",包装创意设计,"￥5000
            /起",地产全案设计,"￥10000
            /起",品牌画册设计,"￥260
            /页",logo高端设计,"￥2000
            /起",vis品牌设计,"￥8000
            /起"
【影视拍摄】视频剪辑及拍摄,https://task.epwk.com/1015224/,275人,1人,1000-3000元,圆满完成,k5232****85,项目：视频剪辑及拍摄称呼：殷先生地区: 郑州，服务商地域不限需求: 需要剪辑2条视频，每条一分钟以内。到贵州拍摄视频，内容是关于酒类的。提供案例和报价预算: 看服务商报价时间：本月备注：微信是手机号,2022.09.22,2022.10.10,任务编号：1015224,￥1500,7天,福建省-厦门市-思明区,荣观文化传媒,https://shop.epwk.com/mod04xoex5yv/,荣观文化传媒,出售服务,https://shop.epwk.com/mod04xoex5yv/chushou/,企业,五品,40分,,,荣观文化传媒,,短视频策划/拍摄/剪辑、配音、字幕/短视频平台视频/火山小视频/淘宝短视频等,价格面议,产品宣传/包装设计/LOGO设计/电商类产品拍摄、详情页等...一站式服务,"￥300
            /起",演示动画/Flash动画/AE动画/MG动画/企业宣传片/产品宣传片等...,价格面议,三维影视动画/三维施工动画/三维宣传片/产品三维动画/工业三维动画/三维医学动画/建筑房产三维等...,"￥1500
            /起",企业宣传/企业VI全案/活动宣传/项目宣传/人物宣传等...,"￥1000
            /起",,,,,,,,
【创意短视频】推广app视频制作,https://task.epwk.com/1014645/,357人,1人,1000元以内,圆满完成,鼎昌胜砂石,项目:推广app视频制作称呼:姓王地区:地域不限需求:鼎昌胜砂石网APP  这个是我们开发的  先来一小部分功能做个Demo  看看可以的话后续所有的操作和推广都是需要视频的  不用现场拍摄，就做这样类似的视频如附件所示，视频想显的专业点  带声音描述文字描述的 ，工期时间：2-3个工作日都可以  预算有限，希望视频效果 质量过关预算:联系报价 注意：联系说一品威客小丽推荐  备注:推广员秀L引进【推广员任务】,2022.09.19,2022.09.22,任务编号：1014645,￥200,3天,内蒙古-赤峰市-市辖区,蒙创传媒,https://shop.epwk.com/2j5xogpwg5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【企业宣传片】企业宣传片视频后期制作,https://task.epwk.com/1013957/,751人,1人,1000-3000元,圆满完成,o5d79fe87c4824,企业宣传片后期制作，提供所有素材，大概几分钱时长，比较简单。要求：有做过企业 宣传案例，可长期合作。工期：晚上出初稿,2022.09.14,2022.09.15,任务编号：1013957,￥2000,1天,上海市-上海市-宝山区,致尚工作室.,https://shop.epwk.com/zqdplmqmgn1v/,致尚工作室.,出售服务,https://shop.epwk.com/zqdplmqmgn1v/chushou/,个人,七品,83分,总 1 次中标，交易总金额,￥2000.00,致尚工作室.,,广告片拍摄制作,"￥5000
            /起",视频后期制作,"￥5000
            /起",特效处理制作,"￥5000
            /起",影片后期剪辑,"￥3000
            /起",摄影摄像制作,"￥2000
            /起",影视广告制作,"￥5000
            /起",宣传片拍摄制作,"￥2000
            /起",,,,
【剪辑服务】视频剪辑制作,https://task.epwk.com/1008567/,7650人,11人,3000-5000元,圆满完成,老fw,生活中录的视频，照片，有素材提供，需要找人帮忙剪辑,2022.08.04,2022.09.02,任务编号：1008567,"￥3000,￥2000,￥2200,￥3000,￥3000","7天,15天,5天,1天,10天","陕西省-西安市,河北省-石家庄市-新华区,山东省-聊城市-阳谷县,甘肃省-兰州市-永登县,广东省-佛山市",陆一捌（陕西）广告,https://shop.epwk.com/78dlj28ep5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】视频剪辑  熟悉王者荣耀 玩过也可以,https://task.epwk.com/1006645/,2258人,10人,1000元以内,圆满完成,常快乐tan,剪辑游戏 主王者荣耀 想象力丰富 有耐心的 在家就可以 有电脑 手机 熟悉剪辑软件 会用各种BGM 卡点 变速卡点类 情景对话类 精彩击杀集锦类 剪辑高手欢迎报价 可以长期合作 两天一个视频左右,2022.07.22,2022.07.25,任务编号：1006645,"￥120,￥150,￥800,￥300,￥150,￥100,￥200","1天,1天,2天,1天,1天,1天,1天","甘肃省-兰州市-永登县,河南省-信阳市-浉河区,北京市-北京市-朝阳区,湖南省-常德市-市辖区,河南省-郑州市-管城回族区,江苏省-南京市-雨花台区,河北省-承德市",梁少Team,https://shop.epwk.com/j7n38q9p95e1/,梁少Team,出售服务,https://shop.epwk.com/j7n38q9p95e1/chushou/,工作室,九品,37分,,,梁少Team,,,,,,,,,,,,,,,,,,,
【创意短视频】视频剪辑拼装积木跑车内容剪辑制作,https://task.epwk.com/1003489/,9396人,6人,1000-3000元,圆满完成,领航PdCkn,按要求制作相关短视频,2022.07.03,2022.12.21,任务编号：1003489,"￥1500,￥800,￥888,￥1000","7天,3天,3天,3天","湖北省-武汉市-武昌区,山东省-青岛市,广东省-广州市,湖南省-常德市-市辖区",武汉市签亿文化传媒有限公司,https://shop.epwk.com/9w56eq4zkdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【后期制作】视频后期剪辑制作,https://task.epwk.com/1003280/,2234人,2人,1000元以内,圆满完成,k5447****34,项目:视频后期剪辑制作称呼:刘先生地区:上海需求:我想在这个视频里加一句话，：“这个作品，我以后都不会再烧了，以后主攻的方向就是柴窑。请您放心！”  视频后续能保持原音尽量用原音  不能保持可以换掉，不过要像一个60岁人的声音 ，之前有找过别人弄，但是声音太年轻，不适用，可以做的微信沟通，报价 预算:联系报价 注意：联系说一品威客小丽推荐,2022.07.01,2022.07.14,任务编号：1003280,￥600,1天,云南省-昆明市-五华区,云南合一文化传媒有限公司,https://shop.epwk.com/zqdplm96kn1v/,云南合一文化传媒有限公司,出售服务,https://shop.epwk.com/zqdplm96kn1v/chushou/,企业,七品,40分,,,云南合一文化传媒有限公司,,后期视频制作,"￥3000
            /分钟",宣传片设计制作,"￥3000
            /分钟",三维动画制作,"￥500
            /秒",MG动画制作,"￥3000
            /分钟",,,,,,,,,,
【创意短视频】游戏买量视频制作,https://task.epwk.com/1000673/,1769人,1人,3000-5000元,圆满完成,睿铃科技,"固定游戏的，买量视频。最好是广东地区搜索复制< iframe src="""">< /iframe>",2022.06.14,2022.06.20,任务编号：1000673,￥3000,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起"
【动画设计】操作手册的简单视频制作,https://task.epwk.com/996429/,903人,2人,1000元以内,圆满完成,容易智能,将4页操作手册PPT转换成简单的视频，直接用PPT生成的视频也行。需要把PPT的操作手册，配上我司的IP人物（我方会提供IP和动作图片）加上配音进行制作。,2022.05.17,2022.06.02,任务编号：996429,"￥600,￥2000","2天,3天","天津市-天津市-滨海新区,山东省-青岛市",亘鼎文化,https://shop.epwk.com/89dvgv1ozdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【后期制作】给视频中的产品换LOGO,https://task.epwk.com/994739/,1337人,2人,1000元以内,圆满完成,升华设计,我以前请模特拍了视频，现在换了LOGO卖货，所以想请高人给我将视频中的LOGO换掉，产品是耳机，模特戴着耳机在视频里活动，不知道有没有这样的技术。新旧LOGO都是3个字幕。视频长达约1分钟。,2022.05.06,2022.05.07,任务编号：994739,"￥800,￥800","1天,3天","广东省-佛山市,湖南省-郴州市-汝城县",熙攘广告视频制作,https://shop.epwk.com/mod04qe445yv/,熙攘广告视频制作,出售服务,https://shop.epwk.com/mod04qe445yv/chushou/,企业,八品,42分,,,熙攘广告视频制作,,纪录片制作服务,"￥50000
            /起",短视频制作服务,"￥5000
            /起",TVC广告制作服务,"￥50000
            /起",MG动画视频制作,"￥5000
            /起",企业宣传片制作,"￥20000
            /起",,,,,,,,
【影视拍摄】短视频拍摄,https://task.epwk.com/994587/,583人,3人,1000-3000元,圆满完成,k3793****21,项目:短视频拍摄称呼:贺文华地区:湖南长沙需求:短视频拍摄，产品可以邮寄，有提供类似的视频，要拍摄两个，具体详谈,2022.05.06,2022.05.16,任务编号：994587,"￥1000,￥1000,￥3000","3天,4天,5天","河南省-郑州市-管城回族区,广东省-广州市-番禺区,陕西省-西安市",河南影虫文化传媒有限公司,https://shop.epwk.com/mod04q6345yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
