标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,知识
【机械设备】爬楼机器人改良,https://task.epwk.com/252816/,1876人,1人,¥800,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,爬楼机器人改良,直接雇佣￥ 800,￥ 800,任务编号：252816,3153-3304.csv,,,"爬楼机器人, 改良"
【企业官网】做一个门户网站（二）,https://task.epwk.com/252823/,242人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,做一个门户网站（二）,直接雇佣￥ 2000,￥ 2000,任务编号：252823,3153-3304.csv,,,"门户网站, 二次设计"
【数据录入】信息数据录入之258,https://task.epwk.com/252832/,213人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之258,直接雇佣￥ 4000,￥ 4000,任务编号：252832,3153-3304.csv,,,"信息数据录入, 258"
【数据录入】信息数据录入之259,https://task.epwk.com/252842/,346人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之259,直接雇佣￥ 4000,￥ 4000,任务编号：252842,3153-3304.csv,,,"信息数据录入, 259"
【数据录入】信息数据录入之260,https://task.epwk.com/252860/,2014人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之260,直接雇佣￥ 5000,￥ 5000,任务编号：252860,3153-3304.csv,,,"信息数据录入, 260"
【数据录入】信息数据录入之261,https://task.epwk.com/252862/,916人,1人,"¥4,200",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之261,直接雇佣￥ 4200,￥ 4200,任务编号：252862,3153-3304.csv,,,"信息数据录入, 261"
【宣传册设计】证券公司画册设计,https://task.epwk.com/252864/,242人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,证券公司画册设计,直接雇佣￥ 10000,￥ 10000,任务编号：252864,3153-3304.csv,,,"证券公司, 画册设计"
【数据录入】信息数据录入之262,https://task.epwk.com/252897/,110人,1人,¥100,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之262,直接雇佣￥ 100,￥ 100,任务编号：252897,3153-3304.csv,,,"信息数据录入, 262"
【数据录入】信息数据录入之263,https://task.epwk.com/252904/,153人,1人,¥100,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之263,直接雇佣￥ 100,￥ 100,任务编号：252904,3153-3304.csv,,,"信息数据录入, 263"
【广告设计】按照具体的要求做任务,https://task.epwk.com/252913/,297人,1人,¥100,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,按照具体的要求做任务,直接雇佣￥ 100,￥ 100,任务编号：252913,3153-3304.csv,,,"任务要求, 具体要求"
【小程序开发】基于安卓平台的app开发,https://task.epwk.com/252975/,263人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,基于安卓平台的app开发,直接雇佣￥ 2000,￥ 2000,任务编号：252975,3153-3304.csv,,,"安卓平台, app开发"
【数据录入】信息数据录入之264,https://task.epwk.com/252987/,135人,1人,¥100,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之264,直接雇佣￥ 100,￥ 100,任务编号：252987,3153-3304.csv,,,"信息数据录入, 264"
【软文发布】2014新品采购会宣传文章发布,https://task.epwk.com/253012/,336人,1人,"¥2,300",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,2014新品采购会宣传文章发布,直接雇佣￥ 2300,￥ 2300,任务编号：253012,3153-3304.csv,,,"2014新品, 采购会, 宣传文章"
【网站UI设计】网页美工设计（二）,https://task.epwk.com/253082/,286人,1人,¥150,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,网页美工设计（二）,直接雇佣￥ 150,￥ 150,任务编号：253082,3153-3304.csv,,,"网页美工, 设计"
【数据录入】信息数据录入之265,https://task.epwk.com/253086/,147人,1人,¥300,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之265,直接雇佣￥ 300,￥ 300,任务编号：253086,3153-3304.csv,,,"信息数据录入, 265"
【APP界面设计】设计一个拜神应用,https://task.epwk.com/253110/,315人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,设计一个拜神应用,直接雇佣￥ 5000,￥ 5000,任务编号：253110,3153-3304.csv,,,"拜神, 应用设计"
【其他软件开发】虚拟币钱包安装,https://task.epwk.com/253125/,393人,1人,¥300,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,虚拟币钱包安装,直接雇佣￥ 300,￥ 300,任务编号：253125,3153-3304.csv,,,"虚拟币钱包, 安装"
【数据录入】信息数据录入之266,https://task.epwk.com/253142/,105人,1人,¥300,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之266,直接雇佣￥ 300,￥ 300,任务编号：253142,3153-3304.csv,,,"信息数据录入, 266"
【数据录入】信息数据录入之267,https://task.epwk.com/253143/,252人,1人,¥300,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,信息数据录入之267,直接雇佣￥ 300,￥ 300,任务编号：253143,3153-3304.csv,,,"信息数据录入, 267"
【LOGO设计】电力设备公司LOGO设计,https://task.epwk.com/253175/,271人,1人,¥500,圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,电力设备公司LOGO设计,直接雇佣￥ 500,￥ 500,任务编号：253175,3153-3304.csv,,,"电力设备公司, LOGO设计"
【APP开发】android图片处理技术外包,https://task.epwk.com/253202/,244人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3214.html?m=6&o=7,android图片处理技术外包,直接雇佣￥ 1500,￥ 1500,任务编号：253202,3153-3304.csv,,,"android图片处理, 技术外包"
【小程序开发】app手机互助平台开发（一）,https://task.epwk.com/253222/,343人,1人,"¥8,000",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,app手机互助平台开发（一）,直接雇佣￥ 8000,￥ 8000,任务编号：253222,3153-3304.csv,,,"app手机互助平台, 互助功能开发"
【数据录入】信息数据录入之268,https://task.epwk.com/253244/,128人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,信息数据录入之268,直接雇佣￥ 300,￥ 300,任务编号：253244,3153-3304.csv,,,"信息数据录入, 268"
【表情设计】征求原创QQ动态表情（七）,https://task.epwk.com/253300/,651人,1人,"¥2,400",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,征求原创QQ动态表情（七）,直接雇佣￥ 2400,￥ 2400,任务编号：253300,3153-3304.csv,,,"QQ动态表情, 原创设计"
【表情设计】征求原创QQ动态表情（八）,https://task.epwk.com/253303/,441人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,征求原创QQ动态表情（八）,直接雇佣￥ 1200,￥ 1200,任务编号：253303,3153-3304.csv,,,"QQ动态表情, 原创设计"
【品牌故事】旅游管理文章撰写,https://task.epwk.com/253307/,233人,1人,¥700,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,旅游管理文章撰写,直接雇佣￥ 700,￥ 700,任务编号：253307,3153-3304.csv,,,"旅游管理, 文章撰写"
【网站UI设计】仿站并按求改版成为我方网站,https://task.epwk.com/253316/,220人,1人,"¥2,800",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,仿站并按求改版成为我方网站,直接雇佣￥ 2800,￥ 2800,任务编号：253316,3153-3304.csv,,,"仿站, 网站改版"
【产品外观设计】自行车灯外观设计（一）,https://task.epwk.com/253338/,1423人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,自行车灯外观设计（一）,直接雇佣￥ 2000,￥ 2000,任务编号：253338,3153-3304.csv,,,"自行车灯, 外观设计"
【机械设备】智能家居系列家庭厨房助炒机设计,https://task.epwk.com/253373/,1924人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,智能家居系列家庭厨房助炒机设计,直接雇佣￥ 10000,￥ 10000,任务编号：253373,3153-3304.csv,,,"智能家居, 厨房助炒机, 设计"
【品牌故事】关于疯狂猜图游戏文章撰写,https://task.epwk.com/253394/,364人,1人,¥800,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,关于疯狂猜图游戏文章撰写,直接雇佣￥ 800,￥ 800,任务编号：253394,3153-3304.csv,,,"疯狂猜图, 游戏文章, 撰写"
【详情页设计】12款产品的宝贝描述详情页产品主图设计,https://task.epwk.com/253396/,272人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,12款产品的宝贝描述详情页产品主图设计,直接雇佣￥ 1200,￥ 1200,任务编号：253396,3153-3304.csv,,,"产品主图设计, 宝贝描述, 详情页"
【企业官网】小型弹幕视频网站整站建设(第一期),https://task.epwk.com/253414/,505人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,小型弹幕视频网站整站建设(第一期),直接雇佣￥ 3000,￥ 3000,任务编号：253414,3153-3304.csv,,,"弹幕视频, 网站建设, 视频网站"
【效果图设计】100平家装效果图制作,https://task.epwk.com/253429/,540人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,100平家装效果图制作,直接雇佣￥ 300,￥ 300,任务编号：253429,3153-3304.csv,,,"家装效果图, 室内设计"
【表情设计】征求原创QQ动态表情 (十),https://task.epwk.com/253434/,521人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,征求原创QQ动态表情 (十),直接雇佣￥ 1800,￥ 1800,任务编号：253434,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【表情设计】征求原创QQ动态表情 (十一),https://task.epwk.com/253435/,403人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,征求原创QQ动态表情 (十一),直接雇佣￥ 1800,￥ 1800,任务编号：253435,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【表情设计】征求原创QQ动态表情 (九),https://task.epwk.com/253436/,441人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,征求原创QQ动态表情 (九),直接雇佣￥ 1800,￥ 1800,任务编号：253436,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【其他软件开发】面板数据的负二项式回归进行相关性分析,https://task.epwk.com/253447/,638人,1人,¥400,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,面板数据的负二项式回归进行相关性分析,直接雇佣￥ 400,￥ 400,任务编号：253447,3153-3304.csv,,,"面板数据, 负二项式回归, 相关性分析"
【手机网站】手机wap站开发,https://task.epwk.com/253479/,629人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,手机wap站开发,直接雇佣￥ 300,￥ 300,任务编号：253479,3153-3304.csv,,,"手机网站, wap站开发"
【电商网站】按需求公司网站制作,https://task.epwk.com/253494/,212人,1人,"¥3,200",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,按需求公司网站制作,直接雇佣￥ 3200,￥ 3200,任务编号：253494,3153-3304.csv,,,"公司网站, 制作"
【网站UI设计】中式古典红木家具电商平台产品图片详细制作(十四),https://task.epwk.com/253509/,249人,1人,¥800,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,中式古典红木家具电商平台产品图片详细制作(十四),直接雇佣￥ 800,￥ 800,任务编号：253509,3153-3304.csv,,,"中式古典家具, 红木家具, 电商平台图片"
【APP开发】App后台管理应用开发,https://task.epwk.com/253532/,262人,1人,¥500,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,App后台管理应用开发,直接雇佣￥ 500,￥ 500,任务编号：253532,3153-3304.csv,,,"App后台管理, 应用开发"
【网站UI设计】网站网页美工设计,https://task.epwk.com/253548/,289人,1人,¥100,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,网站网页美工设计,直接雇佣￥ 100,￥ 100,任务编号：253548,3153-3304.csv,,,"网站网页设计, 美工设计"
【网站UI设计】页面仿制的设计,https://task.epwk.com/253596/,202人,1人,¥150,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,页面仿制的设计,直接雇佣￥ 150,￥ 150,任务编号：253596,3153-3304.csv,,,"页面仿制, 设计"
【企业官网】网站的开发,https://task.epwk.com/253602/,438人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,网站的开发,直接雇佣￥ 300,￥ 300,任务编号：253602,3153-3304.csv,,,网站开发
【商业提案】征集商业文案,https://task.epwk.com/253620/,235人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,征集商业文案,直接雇佣￥ 300,￥ 300,任务编号：253620,3153-3304.csv,,,商业文案
【专业代笔】文章的撰写,https://task.epwk.com/253653/,234人,1人,¥200,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,文章的撰写,直接雇佣￥ 200,￥ 200,任务编号：253653,3153-3304.csv,,,文章撰写
【LOGO设计】网站的LOGO设计,https://task.epwk.com/253670/,222人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,网站的LOGO设计,直接雇佣￥ 300,￥ 300,任务编号：253670,3153-3304.csv,,,"网站LOGO, 设计"
【数据录入】信息数据录入之269,https://task.epwk.com/253698/,152人,1人,¥300,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,信息数据录入之269,直接雇佣￥ 300,￥ 300,任务编号：253698,3153-3304.csv,,,"信息数据录入, 269"
【VI设计】高端茶馆会所品牌VI设计,https://task.epwk.com/253704/,319人,1人,"¥12,000",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,高端茶馆会所品牌VI设计,直接雇佣￥ 12000,￥ 12000,任务编号：253704,3153-3304.csv,,,"高端茶馆, 品牌VI设计, 会所"
【排版设计】排版设计出片服务加画图服务,https://task.epwk.com/253705/,410人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,排版设计出片服务加画图服务,直接雇佣￥ 3000,￥ 3000,任务编号：253705,3153-3304.csv,,,"排版设计, 出片服务, 画图服务"
【包装设计】易拉宝的设计,https://task.epwk.com/253711/,545人,1人,¥500,圆满完成,https://task.epwk.com/page3213.html?m=6&o=7,易拉宝的设计,直接雇佣￥ 500,￥ 500,任务编号：253711,3153-3304.csv,,,"易拉宝, 设计"
【其他宣传品设计】5L润滑油桶形设计（一）,https://task.epwk.com/253714/,974人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,5L润滑油桶形设计（一）,直接雇佣￥ 1500,￥ 1500,任务编号：253714,3153-3304.csv,,,"5L润滑油桶, 设计"
【其他宣传品设计】润滑油桶形设计（二）,https://task.epwk.com/253717/,1232人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,润滑油桶形设计（二）,直接雇佣￥ 1500,￥ 1500,任务编号：253717,3153-3304.csv,,,"润滑油桶, 形设计"
【LOGO设计】设计一家IT企业的logo,https://task.epwk.com/253835/,435人,1人,¥380,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,设计一家IT企业的logo,直接雇佣￥ 380,￥ 380,任务编号：253835,3153-3304.csv,,,"IT企业, logo设计"
【小程序开发】界面及报表开发二期,https://task.epwk.com/253847/,525人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,界面及报表开发二期,直接雇佣￥ 1000,￥ 1000,任务编号：253847,3153-3304.csv,,,"界面开发, 报表开发, 二期"
【小程序开发】cad解码程序开发,https://task.epwk.com/253871/,389人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,cad解码程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：253871,3153-3304.csv,,,"cad解码, 程序开发"
【表情设计】征求原创QQ动态表情 (十二),https://task.epwk.com/253877/,704人,1人,"¥2,160",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征求原创QQ动态表情 (十二),直接雇佣￥ 2160,￥ 2160,任务编号：253877,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【小程序开发】金融会员系统网站开发,https://task.epwk.com/253917/,217人,1人,¥590,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,金融会员系统网站开发,直接雇佣￥ 590,￥ 590,任务编号：253917,3153-3304.csv,,,"金融会员系统, 网站开发"
【企业官网】网页制作第四期合作,https://task.epwk.com/253941/,236人,1人,¥900,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,网页制作第四期合作,直接雇佣￥ 900,￥ 900,任务编号：253941,3153-3304.csv,,,"网页制作, 合作"
【APP开发】考试应用APP开发,https://task.epwk.com/253955/,215人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,考试应用APP开发,直接雇佣￥ 1500,￥ 1500,任务编号：253955,3153-3304.csv,,,"考试应用, APP开发"
【数据录入】信息数据录入之270,https://task.epwk.com/253990/,175人,1人,¥300,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,信息数据录入之270,直接雇佣￥ 300,￥ 300,任务编号：253990,3153-3304.csv,,,"信息数据录入, 270"
【表情设计】征求原创QQ动态表情 (十三),https://task.epwk.com/254011/,412人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征求原创QQ动态表情 (十三),直接雇佣￥ 1200,￥ 1200,任务编号：254011,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
【数据录入】信息数据录入之271,https://task.epwk.com/254052/,132人,1人,¥300,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,信息数据录入之271,直接雇佣￥ 300,￥ 300,任务编号：254052,3153-3304.csv,,,"信息数据录入, 271"
【商业提案】征集商业文案,https://task.epwk.com/254060/,287人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征集商业文案,直接雇佣￥ 1200,￥ 1200,任务编号：254060,3153-3304.csv,,,商业文案
【商业提案】征集商业文案,https://task.epwk.com/254066/,203人,1人,¥900,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征集商业文案,直接雇佣￥ 900,￥ 900,任务编号：254066,3153-3304.csv,,,商业文案
【企业官网】电子消费网站交易功能维护,https://task.epwk.com/254092/,168人,1人,"¥1,900",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,电子消费网站交易功能维护,直接雇佣￥ 1900,￥ 1900,任务编号：254092,3153-3304.csv,,,"电子消费网站, 交易功能, 维护"
【企业官网】品牌日网站设计,https://task.epwk.com/254120/,245人,1人,"¥3,240",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,品牌日网站设计,直接雇佣￥ 3240,￥ 3240,任务编号：254120,3153-3304.csv,,,"品牌日, 网站设计"
【产品外观设计】湿巾盒的设计,https://task.epwk.com/254152/,1763人,1人,"¥4,240",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,湿巾盒的设计,直接雇佣￥ 4240,￥ 4240,任务编号：254152,3153-3304.csv,,,"湿巾盒, 设计"
【商业提案】征集商业文案,https://task.epwk.com/254198/,212人,1人,"¥1,900",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征集商业文案,直接雇佣￥ 1900,￥ 1900,任务编号：254198,3153-3304.csv,,,商业文案
【LOGO设计】用卡能和Cokin2个词组合成一个商标LOGO,https://task.epwk.com/254201/,271人,1人,¥300,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,用卡能和Cokin2个词组合成一个商标LOGO,直接雇佣￥ 300,￥ 300,任务编号：254201,3153-3304.csv,,,"商标LOGO, 卡能, Cokin"
【VI设计】设计一个logo及标准色配色,https://task.epwk.com/254215/,462人,1人,¥500,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,设计一个logo及标准色配色,直接雇佣￥ 500,￥ 500,任务编号：254215,3153-3304.csv,,,"logo, 标准色配色"
【VI设计】利众的一些VI设计,https://task.epwk.com/254221/,422人,1人,¥800,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,利众的一些VI设计,直接雇佣￥ 800,￥ 800,任务编号：254221,3153-3304.csv,,,"VI设计, 利众"
【LOGO设计】产品资料LOGO设计,https://task.epwk.com/254222/,505人,1人,¥500,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,产品资料LOGO设计,直接雇佣￥ 500,￥ 500,任务编号：254222,3153-3304.csv,,,"产品资料, LOGO设计"
【企业官网】博科奇创公司网站开发,https://task.epwk.com/254246/,227人,1人,"¥1,300",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,博科奇创公司网站开发,直接雇佣￥ 1300,￥ 1300,任务编号：254246,3153-3304.csv,,,"博科奇创公司, 网站开发"
【网站UI设计】按要求做网页设计,https://task.epwk.com/254268/,322人,1人,¥700,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,按要求做网页设计,直接雇佣￥ 700,￥ 700,任务编号：254268,3153-3304.csv,,,"网页设计, 任务要求"
【其他设计】做一个纸卡的设计,https://task.epwk.com/254299/,607人,1人,¥150,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,做一个纸卡的设计,直接雇佣￥ 150,￥ 150,任务编号：254299,3153-3304.csv,,,纸卡设计
【商业提案】征集商业文案,https://task.epwk.com/254321/,162人,1人,¥350,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,征集商业文案,直接雇佣￥ 350,￥ 350,任务编号：254321,3153-3304.csv,,,商业文案
【包装设计】需要设计一个包装,https://task.epwk.com/254324/,224人,1人,¥100,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,需要设计一个包装,直接雇佣￥ 100,￥ 100,任务编号：254324,3153-3304.csv,,,包装设计
【小程序开发】汉英-英汉外宣翻译平行语料库,https://task.epwk.com/254335/,416人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,汉英-英汉外宣翻译平行语料库,直接雇佣￥ 4000,￥ 4000,任务编号：254335,3153-3304.csv,,,"汉英翻译, 英汉翻译, 外宣翻译, 平行语料库"
【招牌设计】产品详情页设计,https://task.epwk.com/254408/,784人,1人,¥600,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,产品详情页设计,直接雇佣￥ 600,￥ 600,任务编号：254408,3153-3304.csv,,,"产品详情页, 设计"
【LOGO设计】电影logo设计,https://task.epwk.com/254409/,250人,1人,¥50,圆满完成,https://task.epwk.com/page3212.html?m=6&o=7,电影logo设计,直接雇佣￥ 50,￥ 50,任务编号：254409,3153-3304.csv,,,"电影, logo设计"
【企业官网】快递网站开发,https://task.epwk.com/254421/,217人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,快递网站开发,直接雇佣￥ 10000,￥ 10000,任务编号：254421,3153-3304.csv,,,"快递网站, 网站开发"
【数据录入】信息数据录入之272,https://task.epwk.com/254425/,104人,1人,¥100,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,信息数据录入之272,直接雇佣￥ 100,￥ 100,任务编号：254425,3153-3304.csv,,,"信息数据录入, 272"
【数据录入】信息数据录入之273,https://task.epwk.com/254432/,143人,1人,¥500,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,信息数据录入之273,直接雇佣￥ 500,￥ 500,任务编号：254432,3153-3304.csv,,,"信息数据录入, 273"
【商业提案】征集商业文案,https://task.epwk.com/254466/,196人,1人,¥900,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,征集商业文案,直接雇佣￥ 900,￥ 900,任务编号：254466,3153-3304.csv,,,商业文案
【企业官网】泉州金融超市修改部份补贴款,https://task.epwk.com/254474/,270人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,泉州金融超市修改部份补贴款,直接雇佣￥ 4000,￥ 4000,任务编号：254474,3153-3304.csv,,,"泉州金融超市, 补贴款修改"
【产品外观设计】IH电饭煲外观设计（一）,https://task.epwk.com/254475/,1595人,1人,"¥12,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,IH电饭煲外观设计（一）,直接雇佣￥ 12000,￥ 12000,任务编号：254475,3153-3304.csv,,,"IH电饭煲, 外观设计"
【其他工业设计】控制面板模具承包跟踪,https://task.epwk.com/254505/,1690人,1人,"¥14,500",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,控制面板模具承包跟踪,直接雇佣￥ 14500,￥ 14500,任务编号：254505,3153-3304.csv,,,"控制面板, 模具, 承包跟踪"
【卡通形象设计】蜜蜂卡通形象设计,https://task.epwk.com/254511/,433人,1人,¥800,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,蜜蜂卡通形象设计,直接雇佣￥ 800,￥ 800,任务编号：254511,3153-3304.csv,,,"蜜蜂卡通, 形象设计"
【专业代笔】文章撰写,https://task.epwk.com/254517/,237人,1人,¥300,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,文章撰写,直接雇佣￥ 300,￥ 300,任务编号：254517,3153-3304.csv,,,文章撰写
【小程序开发】请按照附件完成软件开发（六）,https://task.epwk.com/254523/,206人,1人,¥625,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,请按照附件完成软件开发（六）,直接雇佣￥ 625,￥ 625,任务编号：254523,3153-3304.csv,,,"软件开发, 附件, 任务完成"
【机械设备】机械制图设计,https://task.epwk.com/254525/,3267人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,机械制图设计,直接雇佣￥ 1800,￥ 1800,任务编号：254525,3153-3304.csv,,,"机械制图, 设计"
【其他软件开发】flash地图的开发,https://task.epwk.com/254527/,338人,1人,¥400,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,flash地图的开发,直接雇佣￥ 400,￥ 400,任务编号：254527,3153-3304.csv,,,"flash地图, 开发"
【网站UI设计】使用一个现有网站的模板，换成自己的内容,https://task.epwk.com/254538/,346人,1人,¥950,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,使用一个现有网站的模板，换成自己的内容,直接雇佣￥ 950,￥ 950,任务编号：254538,3153-3304.csv,,,"现有网站模板, 内容替换"
【小程序开发】驾校预约软件开发,https://task.epwk.com/254546/,289人,1人,"¥5,500",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,驾校预约软件开发,直接雇佣￥ 5500,￥ 5500,任务编号：254546,3153-3304.csv,,,"驾校预约, 软件开发"
【LOGO设计】移动应用LOGO启动图设计,https://task.epwk.com/254598/,350人,1人,¥600,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,移动应用LOGO启动图设计,直接雇佣￥ 600,￥ 600,任务编号：254598,3153-3304.csv,,,"移动应用, LOGO, 启动图"
【产品外观设计】自行车灯外观设计（二）,https://task.epwk.com/254605/,1609人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,自行车灯外观设计（二）,直接雇佣￥ 2000,￥ 2000,任务编号：254605,3153-3304.csv,,,"自行车灯, 外观设计"
【宣传策划】自行车灯推广,https://task.epwk.com/254611/,270人,1人,¥100,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,自行车灯推广,直接雇佣￥ 100,￥ 100,任务编号：254611,3153-3304.csv,,,"自行车灯, 推广"
【产品卖点】产品宣传文案设计,https://task.epwk.com/254630/,576人,1人,¥100,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,产品宣传文案设计,直接雇佣￥ 100,￥ 100,任务编号：254630,3153-3304.csv,,,"产品宣传, 文案设计"
【软件UI设计】海报图片,https://task.epwk.com/254649/,486人,1人,¥300,圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,海报图片,直接雇佣￥ 300,￥ 300,任务编号：254649,3153-3304.csv,,,"海报设计, 图片设计"
【表情设计】征求原创QQ动态表情 (十四),https://task.epwk.com/254650/,459人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3211.html?m=6&o=7,征求原创QQ动态表情 (十四),直接雇佣￥ 1200,￥ 1200,任务编号：254650,3153-3304.csv,,,"原创QQ动态表情, 表情设计"
