标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额
【导视设计】幼儿园导视设计方案,https://task.epwk.com/963921/,224人,1人,3000-5000元,圆满完成,招标,k9569****3,幼儿园导视设计，要方便老师及家长准确地了解校园的区域构造和地理分布，用卡通元素+明快配色,2021.10.09,2021.10.22,任务编号：963921,￥5000,6天,山东省-日照市-市辖区,鑫铂装饰设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】复式别墅的设计,https://task.epwk.com/967081/,340人,1人,1万-2万元,圆满完成,招标,k2849****7,一栋复式别墅，需要装修，想要设计师出一份设计方案,2021.10.09,2021.10.21,任务编号：967081,￥15000,5天,广东省-佛山市-市辖区,7空设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】我想演一个节目，征求最佳舞台设计,https://task.epwk.com/967727/,189人,1人,1000元以内,圆满完成,招标,k9650****8,钢琴、小提琴演奏，唱孙燕姿的《遇见》，征求合适的舞台设计,2021.10.09,2021.10.19,任务编号：967727,￥1000,5天,安徽省-芜湖市-市辖区,那作创意设计公司,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】农村复式楼设计,https://task.epwk.com/967080/,289人,1人,3000-5000元,圆满完成,招标,k6340****1,计划在农村建设自住复式楼，需要设计方案,2021.10.09,2021.10.18,任务编号：967080,￥5000,3天,云南省-昆明市-市辖区,艺象设计站,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】话剧的舞台背景设计,https://task.epwk.com/967724/,293人,1人,3000-5000元,圆满完成,招标,k2938****5,需要的舞台背景师比较素的，不要太花俏的,2021.10.09,2021.10.21,任务编号：967724,￥4500,6天,湖北省-襄阳市-市辖区,筑8设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】儿童牙科门诊装修设计,https://task.epwk.com/966855/,290人,1人,1万-2万元,圆满完成,招标,k3184****5,儿童口腔门室内装修设计，包含诊疗室、玩耍区、候诊区等，要求童趣、可爱,2021.10.09,2021.10.19,任务编号：966855,￥15000,4天,浙江省-杭州市-市辖区,三里-设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】急求舞台设计方案,https://task.epwk.com/967725/,356人,1人,1000元以内,圆满完成,招标,k1231****5,学校演话剧，办公室和家的布景，别的就没有要求了。,2021.10.09,2021.10.20,任务编号：967725,￥800,4天,江苏省-镇江市-市辖区,麦点品牌设计定制,https://task.epwk.com/javascript:;,,,,,,,,
【自建房】两层半小洋房,https://task.epwk.com/966566/,459人,1人,1万-2万元,圆满完成,招标,k7959****7,360平已申请盖房专用地，180平用于建房，其余为院子，两层七室五卫一厨两厅,2021.10.09,2021.10.20,任务编号：966566,￥20000,4天,山东省-日照市-市辖区,k180523004,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】土石方工程造价,https://task.epwk.com/966827/,1092人,1人,1万-2万元,圆满完成,招标,k8397****5,道路工程需要大量土石方，需要一份土石方工程造价方案,2021.10.09,2021.10.21,任务编号：966827,￥20000,6天,黑龙江省-牡丹江市-市辖区,玖亿设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】作品展舞台设计,https://task.epwk.com/967726/,235人,1人,1000元以内,圆满完成,招标,k3011****5,舞台背景板：木质，显明标示主题“第三届乌鲁木齐优秀广告作品展•广告麦西来甫颁奖晚会”字样，舞台两侧用鲜花、绿叶装饰,2021.10.09,2021.10.21,任务编号：967726,￥1000,5天,浙江省-杭州市-市辖区,品策商业环境设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】楼中楼样板间设计,https://task.epwk.com/964134/,256人,1人,2万-5万元,圆满完成,招标,k9971****4,设计150平楼中楼样板间，轻奢风，配色偏向淡雅柔和的中性配色,2021.10.09,2021.10.18,任务编号：964134,￥50000,6天,江西省-南昌市-市辖区,武功空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】125平三房样板间设计,https://task.epwk.com/964135/,267人,1人,1万-2万元,圆满完成,招标,k6340****1,125平南北通透三房，需要设计北欧风格的样板间,2021.10.09,2021.10.20,任务编号：964135,￥15000,3天,湖北省-襄阳市-市辖区,k648097966,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】品牌KTV做前台装修设计,https://task.epwk.com/967565/,373人,1人,2万-5万元,圆满完成,招标,k2215****6,连锁KTV做前台区域装潢设计，包括吧台、背景墙，颜色以蓝紫色为主，要跟现有装修风格能统一,2021.10.08,2021.10.20,任务编号：967565,￥40000,4天,山西省-太原市-市辖区,鹰扬设计,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】小区中庭喷泉设计,https://task.epwk.com/966848/,451人,1人,1万-2万元,圆满完成,招标,k1326****3,计划在小区中庭的广场上设计一个喷泉，带灯光,2021.10.08,2021.10.19,任务编号：966848,￥10000,3天,广东省-深圳市-市辖区,灰度室内设计咨询,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】大学晚会的舞台设计,https://task.epwk.com/967242/,406人,1人,1000元以内,圆满完成,招标,k1728****7,在学校体育馆办晚会，体育馆成阶梯式，在下面篮球场弄舞台,2021.10.08,2021.10.20,任务编号：967242,￥1000,4天,广西省-柳州市-市辖区,卿云空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】急需一个舞台灯光设计方案,https://task.epwk.com/967244/,244人,1人,1000-3000元,圆满完成,招标,k5216****2,我们公司新建了一个舞台，大小有四十平米，主要用于一些公益活动的演出和提供客户演出，环境是一个娱乐园，现在其他设备都到位了，就差舞台灯光,2021.10.08,2021.10.16,任务编号：967244,￥3000,3天,黑龙江省-哈尔滨市-市辖区,专职店铺设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】爱心献血小屋装修设计,https://task.epwk.com/966852/,204人,1人,3000-5000元,圆满完成,招标,k5070****5,公益爱心献血小屋，需要做内部装修设计，风格要明亮，符合年轻人审美，最好能突出公益性,2021.10.08,2021.10.21,任务编号：966852,￥5000,5天,浙江省-温州市-市辖区,大匠康宅,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】农田灌溉水利工程造价,https://task.epwk.com/966826/,433人,1人,3000-5000元,圆满完成,招标,k5706****4,农村农田需要对原有灌溉渠道进行修复，需要评估工程造价,2021.10.08,2021.10.20,任务编号：966826,￥5000,6天,河南省-开封市-市辖区,家装酒店别墅设计,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】生活广场设计水帘喷泉,https://task.epwk.com/966849/,436人,1人,1万-2万元,圆满完成,招标,k7671****3,生活广场有几层台阶，想在台阶下设计一个水帘喷泉,2021.10.08,2021.10.19,任务编号：966849,￥20000,5天,湖南省-长沙市-市辖区,鼎尚空间室内设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】景区户外导视设计,https://task.epwk.com/963920/,303人,1人,1万-2万元,圆满完成,招标,k1999****0,景区户外导视更新，要与景区风格一致,2021.10.08,2021.10.18,任务编号：963920,￥15000,4天,黑龙江省-大庆市-市辖区,三人行空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】奶茶店门店装修设计,https://task.epwk.com/967567/,343人,1人,1万-2万元,圆满完成,招标,k8114****5,大学城内的奶茶门店装修设计，最好能结合品牌和logo进行门店风格设计,2021.10.08,2021.10.20,任务编号：967567,￥20000,5天,上海市-上海市-市辖区,锋范商业设计,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】复古酒吧做吧台设计,https://task.epwk.com/967566/,248人,1人,1万-2万元,圆满完成,招标,k9945****2,复古风格酒吧做吧台和前厅设计，风格倾向与英式主题风格,2021.10.08,2021.10.16,任务编号：967566,￥20000,3天,四川省-成都市-市辖区,百好设计,https://task.epwk.com/javascript:;,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
【舞台设计】展厅舞台设计需求,https://task.epwk.com/967245/,344人,1人,1000-3000元,圆满完成,招标,k5216****2,展厅很矮，约2.45米，想做一个舞台,2021.10.08,2021.10.19,任务编号：967245,￥3000,3天,安徽省-芜湖市-市辖区,灰度室内设计咨询,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】电竞网吧竞赛区设计,https://task.epwk.com/967564/,754人,1人,5万-10万元,圆满完成,招标,k4842****8,电竞网吧新设立了一个PK竞赛区域，需要做红蓝两队主题设计，要有视觉冲击力一些,2021.10.08,2021.10.21,任务编号：967564,￥60000,5天,河北省-张家口市-市辖区,室内设计 曾,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】音乐喷泉水幕电影设计,https://task.epwk.com/966847/,399人,1人,5000-10000元,圆满完成,招标,k8217****9,喷泉尺寸：68米*8米，要长条形。水幕电影：水幕扇形宽幅度40米.高18米,2021.10.08,2021.10.18,任务编号：966847,￥10000,5天,贵州省-贵阳市-市辖区,名设公装设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】工业风导视设计,https://task.epwk.com/963918/,208人,1人,5000-10000元,圆满完成,招标,k5990****4,当地的创意空间，需要做一套工业风的导视设计,2021.10.08,2021.10.19,任务编号：963918,￥10000,6天,北京市-北京市-市辖区,k320089362,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】广场搭建小型舞台设计,https://task.epwk.com/967243/,259人,1人,1000元以内,圆满完成,招标,k2009****6,准备举办一个彩妆大赛，预计参赛团队在5-10组，主要供给他们比赛用地以及模特走T台秀，舞台不用太奢华，只要有音响以及背景就OK,2021.10.08,2021.10.19,任务编号：967243,￥1000,5天,陕西省-西安市-市辖区,华启装饰设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】带入户花园样板间设计,https://task.epwk.com/964133/,352人,1人,1万-2万元,圆满完成,招标,k3462****3,带有入户花园的样板间设计，3室+2个衣帽间，配色以浅色为主,2021.10.08,2021.10.17,任务编号：964133,￥20000,3天,山西省-大同市-市辖区,鼎尚空间室内设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】酒店导视设计方案,https://task.epwk.com/963919/,191人,1人,5000-10000元,圆满完成,招标,k2797****1,准五星酒店，装修配色以金色为主，需要做配套的导视设计,2021.10.08,2021.10.20,任务编号：963919,￥10000,5天,云南省-昆明市-市辖区,k975930655,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】寻求唯美的舞台设计方案,https://task.epwk.com/963962/,213人,2人,1000-3000元,圆满完成,招标,k6988****3,寻求唯美的舞台设计方案，最好就有文字解说和图片,2021.10.07,2021.10.15,任务编号：963962,"￥2500,￥3000","4天,5天","福建省-福州市-市辖区,山东省-青岛市-市辖区",武功空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】音乐喷泉设计,https://task.epwk.com/966840/,235人,1人,5000-10000元,圆满完成,招标,k2790****9,多功能音乐喷泉设计，不采用单片机的方案,2021.10.07,2021.10.19,任务编号：966840,￥10000,6天,上海市-上海市-市辖区,品阁高端设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】超市导视设计方案,https://task.epwk.com/963917/,257人,1人,5000-10000元,圆满完成,招标,k5947****1,新开的超市，有上下两层，需要做整体的导视设计，风格偏向简约、直观,2021.10.07,2021.10.17,任务编号：963917,￥10000,5天,河北省-廊坊市-市辖区,北晨国际空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】舞台喷泉设计,https://task.epwk.com/966844/,298人,1人,2万-5万元,圆满完成,招标,k1921****3,游乐园马戏剧场里，因为要表演用所以是小型的，但水池要活动的,2021.10.07,2021.10.15,任务编号：966844,￥30000,4天,四川省-绵阳市-市辖区,k499275766,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】3dmax喷泉设计,https://task.epwk.com/966843/,940人,1人,2万-5万元,圆满完成,招标,k7671****3,3dmax喷泉设计制作，要有专业经验的团队,2021.10.07,2021.10.17,任务编号：966843,￥50000,4天,四川省-绵阳市-市辖区,北鸣效果图设计,https://task.epwk.com/javascript:;,,,,,,,,
【商业建筑】仿古商业街建筑设计,https://task.epwk.com/966241/,967人,2人,2万-5万元,圆满完成,招标,k5625****1,"面积80,000 ㎡，要有仿古特色，徽派建筑风格",2021.10.07,2021.10.18,任务编号：966241,"￥45000,￥50000","5天,7天","福建省-福州市-市辖区,广东省-广州市-市辖区",金和设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】室内喷泉设计,https://task.epwk.com/966841/,256人,1人,5000-10000元,圆满完成,招标,k7498****0,600平方左右，20米乘以30米这样的方形池,2021.10.07,2021.10.18,任务编号：966841,￥10000,6天,天津市-天津市-市辖区,集简空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】花式喷泉设计,https://task.epwk.com/966842/,294人,1人,5000-10000元,圆满完成,招标,k5116****9,设计个单独的花式喷泉，可以先出一个初稿图看下,2021.10.07,2021.10.17,任务编号：966842,￥10000,5天,江苏省-南京市-市辖区,麒钰设计,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】欧式雕塑喷泉设计,https://task.epwk.com/966845/,394人,2人,1万-2万元,圆满完成,招标,k7552****5,风格特点：欧式雕塑，喷泉要三层的，有欧式风情,2021.10.07,2021.10.15,任务编号：966845,"￥20000,￥20000","4天,5天","湖北省-襄阳市-市辖区,吉林省-长春市-市辖区",启点商业空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】请给我一个舞台的布置方案,https://task.epwk.com/966934/,180人,1人,1000-3000元,圆满完成,招标,k2938****5,广东省职业规划大会，比较正规的学术性会议，要含有道具说明的,2021.10.07,2021.10.19,任务编号：966934,￥3000,5天,四川省-成都市-市辖区,王本设计机构,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】需要搭建一个水上舞台，求设计,https://task.epwk.com/966936/,219人,1人,1000-3000元,圆满完成,招标,k1906****3,现需要在瀑布公园搭建一个水上舞台，求舞台设计，要唯美梦幻,2021.10.07,2021.10.16,任务编号：966936,￥2500,4天,浙江省-杭州市-市辖区,唯你空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】设计一个街舞大赛的舞台,https://task.epwk.com/966937/,226人,1人,1000-3000元,圆满完成,招标,k3525****7,设计一个街舞大赛的舞台，灯光、幕布都弄好了,2021.10.07,2021.10.18,任务编号：966937,￥3000,5天,云南省-昆明市-市辖区,潇潇专注餐饮设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】话剧舞台背景设计,https://task.epwk.com/966935/,183人,1人,1000-3000元,圆满完成,招标,k1885****5,演出的话剧是《简爱》，根据材料设计一个话剧舞台背景,2021.10.07,2021.10.18,任务编号：966935,￥3000,5天,江西省-上尧市-市辖区,k365143731,https://task.epwk.com/javascript:;,,,,,,,,
【商业建筑】生鲜超市建筑设计,https://task.epwk.com/966242/,472人,1人,1万-2万元,圆满完成,招标,k3913****3,新型的生鲜超市，3000平方，地点在广州,2021.10.07,2021.10.19,任务编号：966242,￥20000,6天,山东省-潍坊市-市辖区,木子易空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】一室一厅复式楼设计,https://task.epwk.com/963946/,187人,1人,1000元以内,圆满完成,招标,k3184****5,层高5米多，一分为二楼上能多出个房间，风格简约现代风,2021.10.06,2021.10.15,任务编号：963946,￥1000,3天,湖南省-常德市-市辖区,河南仟佰迦设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】求酒店宴会厅舞台设计,https://task.epwk.com/963959/,204人,1人,1000-3000元,圆满完成,招标,k7267****6,有10米乘24米的婚宴大厅，求舞台设计方案,2021.10.06,2021.10.17,任务编号：963959,￥3000,5天,云南省-昆明市-市辖区,雷鸟空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】住宅楼电气工程造价,https://task.epwk.com/966825/,379人,1人,1000-3000元,圆满完成,招标,k1326****3,一般住宅楼，小高层，普通灯具，每平方造价,2021.10.06,2021.10.18,任务编号：966825,￥3000,5天,浙江省-杭州市-市辖区,k543281157,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】自己盖房砖混结构工程造价,https://task.epwk.com/966824/,327人,1人,3000-5000元,圆满完成,招标,k6684****4,我准备盖五层楼房，大概两千个平方米,2021.10.06,2021.10.18,任务编号：966824,￥4000,5天,广东省-汕头市-市辖区,小微餐饮设计公司,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】需要一个专业的酒吧舞台设计,https://task.epwk.com/963958/,228人,1人,3000-5000元,圆满完成,招标,k8897****7,能旺场同时还可以带动现场气氛,2021.10.06,2021.10.17,任务编号：963958,￥4000,5天,广东省-汕头市-市辖区,雅和空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【喷泉设计】旱地喷泉设计,https://task.epwk.com/966836/,205人,1人,5000-10000元,圆满完成,招标,k3483****2,想要建一个旱地喷泉，在一个商场广场前，不带音乐也可,2021.10.06,2021.10.17,任务编号：966836,￥6000,5天,贵州省-贵阳市-市辖区,千唐装饰设计,https://task.epwk.com/javascript:;,,,,,,,,
【商业建筑】小型商场建筑设计,https://task.epwk.com/966238/,488人,1人,1万-2万元,圆满完成,招标,k2849****7,总建筑面积：4000平方米，五层以下，手绘草图，CAD,2021.10.06,2021.10.18,任务编号：966238,￥20000,5天,浙江省-杭州市-市辖区,IS空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】石材展会导视设计,https://task.epwk.com/963916/,321人,1人,2万-5万元,圆满完成,招标,k7790****8,石材展会，导视风格需根据展会主题来设计,2021.10.06,2021.10.20,任务编号：963916,￥40000,7天,新疆-乌鲁木齐市-市辖区,k212410990,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】小儿推拿整体装修设计,https://task.epwk.com/966850/,347人,3人,5000-10000元,圆满完成,招标,k9569****3,面积：165，装修风格：简约风为主，可以带些卡通元素，有6个小房间,2021.10.06,2021.10.18,任务编号：966850,"￥7000,￥10000,￥8000","5天,5天,5天","陕西省-宝鸡市-市辖区,贵州省-贵阳市-市辖区,上海市-上海市-市辖区",正臣工装装饰设计,https://task.epwk.com/javascript:;,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
