标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【宝宝起名】2020年鼠男宝起名,2807人,139人,¥150,圆满完成,水依青青,姓：皮父亲：皮健   母亲：宋柳青预产期：2020年12月10日寓意：希望宝宝以后身体健康，沉稳低调，心情开朗要求：1、杜绝古风（不要引用古诗词）；2、不俗套；  3、皮 在五行中属水性，周易五行可说通,2020-11-12,2020.12.14,任务编号：904161,150.0,163.0,永祥美名,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【宝宝起名】鼠宝宝取名征集（男宝宝）,2030人,112人,¥200,圆满完成,TEEBIO,姓：申生于：2020年11月4日16：52（阴历九月十九）  男宝宝要求：三个字，根据八字，喜用神取名，国风，古风，有涵义出处最好。,2020-11-11,2020.11.24,任务编号：903983,200.0,141.0,永祥美名,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【品牌起名】桑叶面（粉）品牌取名及风格,1122人,64人,¥100,圆满完成,o5fa8e38cef01c,桑叶面（粉）品牌取名，如参考拉面说之类的，创意一个品牌名字，做成网红风格，利于品牌传播和商品延展，只需提供文字➕品牌设计风格方向即可，不用设计图形。如您的创意能让我方感兴趣，另行支付图形设计费,2020-11-11,2020.12.31,任务编号：903874,100.0,69.0,茜仟,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】个人IP取名征集【网络创业者】,1174人,58人,¥200,圆满完成,奋而斗之,个人IP取名征集，取名要求好听好记好传播，人名具有营销特质，个人品牌主要是做互联网网络项目，名字要求四字，本人姓谭，90后，在互联网创业10年，经验丰富。主要做网络项目、自媒体、营销、项目培顺，讲究实在诚信，打造个人IP，请备注寓意，谢谢！喜欢比较独特点，不要古风、俗气的，本人比较时尚潮流,2020-11-10,2020.12.21,任务编号：903801,200.0,65.0,青野标书方案定制,个人,七品,38分,,,图片处理，海报设计,"￥200
            /件",,,,,,,,,,,,,,,,,品牌起名
【宣传策划】【特急】针对抖音情侣账号 写情侣间温暖的文案/剧本,4703人,32人,"¥1,888",圆满完成,落小惜,抖音账号：颜值夫妇（抖音ID：yanzhivip）是一个专注拍摄情侣间小甜蜜和小幸福素材的账号。拥有固定的的人物出境，男主、女主二人为真实夫妇，男主31岁，女主28岁，均为两家公司的CEO，有一定的社会地位。 整体要求：投稿者可抖音搜索颜值夫妇（抖音ID：yanzhivip），查看账号以往作品调性。要求围绕情侣（夫妻）展开，可选择工作场景切入，也可选择生活场景切入 ，写出引人入胜、吸引人心的剧本。本次投稿数量要求：10条，投稿可上传文档或者压缩包文件。 剧本调性： ①有代入感：具体解释为：可从生活中、工作中小事写，故事所写的小剧情，要贴进生活，贴近现实，要让观众在看这条视频的时候，会联想到自己（和另一半），从而形成对比，调动观看者的情绪为账号点赞或者评论。同样贴近生活，也是为了后期拍摄。对一些对观众而言，没有代入感的场景，诸如：只有在私人飞机，游艇、滑翔机上发生的场景，不利于拍摄，也不利于观众将此场景套在自己身上产生联想，此类尽量避免。但同样不可太low，诸如：路边吃夜市，吃大排档的场景，不可出现。 ②场景美好：诸如一些不雅观的“秀恩爱”，诸如：相互咀嚼喂食、擦鞋、洗袜子等有违背两人CEO身份的场景，不可出现。 ③氛围温暖：视频是要传递正能量，要传递新时代模范情侣（夫妻）的恩爱场景，所以所有剧本都要表现夫妻二人恩爱有加，不同寻常，注重细节，有仪式感。 ④尽可能表现反转或反差：反转可调动观众情绪，进而对于账号而言，可收获评论或者点赞。反转或反差可通过双方恩爱有加来实现，诸如：一般人做不到，而男主做到了，要有这种感觉。 剧本整体关键词：恩爱、美好、有代入感、温暖、反转、反差、注重细节、别人做不到的，男主做到了。 写作方法：可参考百度、知乎、豆瓣、今日头条等平台，搜索“情侣感动瞬间”“爱情感人瞬间”“爱情暖心瞬间”“一瞬间嫁给他”“爱情动人瞬间”“情侣动人瞬间”“情侣动人故事”等关键词，根据搜索结果整合、整理、汇编、改编等。 案例参考：1. 男主女主在家坐在沙发看电视（有代入感，贴近生活），男主给女主一个剥好的橘子，同样把手伸到女主嘴下，让其将吃到的橘子籽吐在自己手里（表现男主温暖、美好、细心的一面）。男主本想扔垃圾桶，可没找到，就顺手装在了西装的内兜里（小小的反转）。随后女主欣慰的顺势依偎在男主的怀里。 2. 男主陪女主逛完商场，从商场出来，路上积水很深，男主将伞交给女主，瞬间把女主抱起来（有冲击力），镜头给到双方的鞋子，男主白鞋子全部湿完，女主即使穿着高桶靴，男主一样不舍得让女主沾水。（一般情侣可能不会这样做，有反差） 3. 男主趁女主不留神之时，准备壁咚女主，头伸下去的那刻，突然不亲了，而是将手放在女主后脑勺后，防止女主头碰到墙，然后又继续。（表现温情、恩爱有加，同时又有些反转） 公司本着长期合作的目的，来筛选投稿者。故一经采用，投稿者除获得本次奖金，同时将获得后续继续合作的机会，公司将与其签约后续同类剧本合作。后续每周需要10-20条剧本，待遇超丰厚！期待投稿者是一位高情商、有想法、有创造力的小伙伴，抖音核心级MCN，期待你的加入！ 公司选稿非常着急，我们尊重人才，尊重每位投稿者的知识产权！在线选单，建议有能力有想法的亲们都参与进来！世间中大奖的那么多，万一下一个是您呢！所以如果您有方案，有想法一定一定不要错过！ 1888元悬赏奖励在向你招手，一份高薪文案工作在向你招手，而你，此时不投稿，更待何时！ 伯乐在等千里马…,2020-11-10,2020.12.28,任务编号：903785,1888.0,45.0,苍阁_芜镜,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【品牌起名】一次性纯棉洗脸巾商标起名,2212人,99人,¥200,圆满完成,snaly1104,"给一次性纯棉洗脸巾取个名字，4个字以内，名字和产品有关联的，要求注册使用。听起来高大上的，最好可以中英文对照。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-11-10,2020.11.24,任务编号：903708,200.0,110.0,谢诗妍,工作室,五品,41分,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】生殖服务小程序品牌名字,1595人,78人,¥100,圆满完成,Panda0910,传承品牌传播善与爱的企业文化，帮助更多失独家庭与身陷囹圄的家庭走出困境。1:2到4个字。2:最好是带“孕”，“康”，“子”，“宝”，“华”等字眼。3:朗朗上口，通熟易懂，最好体现科技成就生命的延续，适合品牌推广。4:提交之前，查询下商标有没有已经被注册了！,2020-11-09,2021.03.28,任务编号：903596,100.0,84.0,一品谋士,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【广告策划】“诚锐家政”广告语征集,1623人,64人,¥200,圆满完成,恋芸晓枫,"公司主要发展方向：致力于做专业的中高端私人管家式家政服务，服务对象包含居家、企事业单位办公室、厂房、商场、写字楼等各种需要保洁家政的地方。同样的价格，我们更专业；同样的专业，我们更周到！要求：1、8-16字，简洁有寓意、切合家政行业、朗朗上口、容易记忆。2、要求原创，附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-11-09,2020.11.28,任务编号：903580,200.0,78.0,虎三,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】起名，品牌起名 给商城网站起个2个字的名子,4145人,307人,"¥1,000",圆满完成,o58bb7dd01f1a5,网站描述：网站为B2B类商城，类似于京东商城，主要销售自己公司产品和第三方产品，希望起一个2个字的名字。要求：1、 起个两个字的名字如京东，淘宝，蜜芽           2、简单易记，不拗口，高端大气，易于传播记忆              3、所起可注册商标希望能有类似风格的名字如：一些好听的网站名：：京东、淘宝、蜜芽、贝贝、西域、摩贝 对字数的要求：2字,2020-11-09,2020.12.28,任务编号：903387,1000.0,386.0,壹品伯爵设计工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【广告策划】减肥泡脚包外包装广告语Slogan高价征集,2441人,88人,¥200,圆满完成,o5f9c5cfe7df0d,泡脚中药包（国潮人物风格）90后为购买主力：产品以“瘦”“减肥”“排脂肪”为卖点，亦可加以2020年冷冬（网传60年一遇）为题材，衍生脚是第二心脏“泡脚暖心”的文案。可以类似这种“冬天泡，明年夏天穿短裙”（功效瘦小腿）、“泡脚瘦身大法”“一切为了等着换季秀身材”等类似戳心文案。以下是设计外包装风格和品牌R标,2020-11-06,2020.12.21,任务编号：903039,200.0,125.0,o5ea6a8876b927,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】挂面名字征集,2039人,114人,¥100,圆满完成,o5f7836c7b0e24,口感劲道、爽滑、有弹性、嚼劲十足，用户一听就是这些特点,2020-11-06,2020.12.26,任务编号：903038,100.0,141.0,壹品伯爵设计工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】物业公司起名,2219人,118人,¥100,圆满完成,bztc999,物业公司起名，名称要符合现代形式，正能量，适合用于小区和单位，有利于大众接受。有中国特色，和中国文化，能通过注册，注明名字含义。以山东或滨州开头，最好两个字。 适用于在全国开分公司，或开展招商加盟。,2020-11-05,2020.12.07,任务编号：902766,100.0,133.0,心有灵犀文字工坊,工作室,七品,36分,,,,,,,,,,,,,,,,,,,,,公司起名
"【广告策划】""大美居""品牌 slogan及品牌故事撰写",1931人,42人,¥200,圆满完成,睡不醒的土豆,浙江众美居室用品有限公司旗下 整体软装品牌 “大美居”主要业务：窗帘、壁纸壁布、墙咔等家居装饰/高端软装品类先因品牌升级 征集符合 “大美居”品牌 slogan及品牌故事撰写Slogan 要求：1、符合大美居的品牌定位，突出品牌特点或具有品牌涵义 2、要求1句或2句 广告语  简单大气 押韵公正 利于传播可记3、创意说明4、Slogan不能违反广告法，不含有广告法敏感字词知识产权说明：1. 作品为原创，第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由创作者承担所有法律责任。2. 中标的作品，我方支付创作费，即拥有该作品的知识产权和著作权以及使用权和发布权等，有权对作品进行修改和应用，创作者不得在任何地方发布该作品。,2020-11-03,2021.04.23,任务编号：902363,200.0,50.0,南有乔木直,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】电商天猫品牌取名,1763人,102人,¥200,圆满完成,o5f52f9f1a5674,我们是做安防报警行业  智能电子  智能家居行业  名字要有内涵 要高大上  郎朗上口 字体不复杂 容易看懂  念起来不能饶舌  一看一听就能知道是做什么的 容易记  2个字和 3个字 4个字的都可以   在这个范围内  设计内容提交的时候 注意隐藏 一定要查询可注册,2020-11-03,2020.11.22,任务编号：902344,200.0,122.0,谢诗妍,工作室,五品,41分,,,,,,,,,,,,,,,,,,,,,品牌起名
【宝宝起名】女宝宝取名征集,2209人,109人,¥100,圆满完成,o5f9f611758d9b,"宝宝取名
出生年月：2020年10月19日（阴历九月初三）0点58分
姓陈，女宝，
要求：
1、根据八字、喜用神取名
2、名字里面不要fei字（她姐姐名字里有个“霏”）
3、读起来顺畅上口，有好的寓意
4、不要多音字生僻字",2020-11-02,2020.11.26,任务编号：902062,100.0,129.0,冰糖雪碧,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【店铺/网店起名】陪玩App起名,3860人,187人,¥200,圆满完成,o5ec75ec0cc9f5,想做成电商+陪玩的模式，想法是陪玩的联盟，所以想到了一个盟（萌）字，但是怎么组词都不太满意，当然也欢迎有更好的起名，不用带萌字也可以,2020-11-01,2020.12.21,任务编号：901947,200.0,220.0,艺点策划,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【公司起名】电商仓配一体化公司取名,1495人,82人,¥100,圆满完成,痞子凯,简单二个字，域名可注册,2020-11-01,2020.12.10,任务编号：901946,100.0,95.0,千灵 取名+logo设计,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】毛肚火锅品牌起名,3018人,177人,¥300,圆满完成,巨浪传媒,"毛肚火锅品牌起名,要求4字以内，官方可注册，背景贴近川渝或朗朗上口",2020-10-29,2021.01.26,任务编号：901487,300.0,240.0,壹品伯爵设计工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【店铺/网店起名】起一个特殊教育类机构的名字（感统～语言）,2054人,79人,¥100,圆满完成,jxy40****850,起一个特殊教育类机构的名字（感统～语言） 2个字，3个字，或4个字的名字 要求名字有企业理念或解释 特殊类教育学校针对的是0-12岁儿童：注意力不集中，说话迟，发育不完全等方面，起名前先百度下特殊教育和感统，语言这块的意思。,2020-10-25,2021.01.28,任务编号：900513,100.0,87.0,茜仟,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【宣传策划】茶艺表演产品解说词，宣传文案,1670人,11人,¥100,圆满完成,o5b92****5b4ce,茶艺表演解说词通过9款产品的名字演绎成茶艺表演的9个步骤，分为9个步骤片段进行解说，逻辑及表达阐议需前后紧凑连贯。名字：源起、初识、知味、百思、静观、自在、明心、归真、空明解说词需围绕以下3点核心点构造，以下3点是互生互联互关的。9个名字连在一起，成就冲泡一壶茶的9个步骤，9个名字连在一起，演绎成一个人一生经历的9个人生阶段；9个名字连在一起，还原成一个商人经商事业阶段的9个历程。品牌产品主要是做云南普洱茶和红茶为主。,2020-10-27,2020.11.14,任务编号：900964,100.0,11.0,青桐居士,工作室,七品,39分,,,文案，软文1000字以下,"￥500
            /件",名鼎世界,"￥200
            /件",回忆录代写创作成书,"￥10000
            /件",,,,,,,,,,,,,宣传策划
【品牌起名】母婴类APP名字征集,2333人,126人,¥300,圆满完成,o5f9793b258c51,一、母婴APP品牌：符合大行业1、适用于早教、妈妈怀孕期间提醒和解决问题，商城销售婴幼儿食品、服装、母婴用品、洗护、婴儿纸尿裤等，符合大行业2、名称响亮，易记，有创意，能吸引醒目但不失童趣3、品牌名要创意、易读顺口，易记忆，中文2-4字，有英文更佳；4、适合做连锁品牌，不俗气，不含生僻字；5、对名字意涵做简介说明6、要求能注册母婴相关商品类目的类目商标。具体为41、35、42、9、16、25、21、24、28、8、26、38二、要求1、必须是原创，可注册商标，附上创意说明；如果有商标效果图更棒；2、名称有一定的意义，或者一看就适合是婴母婴行业；3、大方简洁，方便以后的活动宣传，包装应用等；4、每人提交的方案不能多于5个，整版的直接淘汰三、知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2020-10-27,2020.12.31,任务编号：900944,300.0,154.0,竹迹工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【广告策划】电子产品公司广告语征集,1812人,65人,¥200,圆满完成,o59bb99041fcb0,公司的名字字号为“联和” ，是一家电子产品研发和生产的实体工厂，主要产品遥控器类. 要求1句或者2句简短的符合专业性工厂品牌的引申含义或者广告语，包含“联”和“和” 2个字，简单大气，押韵工整。,2020-10-25,2020.11.13,任务编号：900524,200.0,82.0,谢诗妍,工作室,五品,41分,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】果蔬类商标起名,1798人,111人,¥100,圆满完成,o57b74733d221d,名字通俗易懂主营草莓西瓜附带蔬菜,2020-10-25,2021.01.26,任务编号：900566,100.0,141.0,专业级服务商,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】二手车企业愿景词语优化,2021人,109人,¥200,圆满完成,o5f91805b7dc23,品牌名称：香蕉二手车经营范围：瑕疵车批发、零售瑕疵车解释：发生过轻微事故或水淹的车辆，但不影响质量、美观、正常使用的二手汽车，该车价格便宜，通常销售价低于正常精品二手车销售价格10%-20%。优化内容：打造全国专业的瑕疵车辆直卖平台搭建行业领先的售后保服务体系把这句优化的简短一点,2020-10-22,2021.03.27,任务编号：900164,200.0,133.0,o5d34069cab7b5,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】家具商标名称征集，能注册商标的,1624人,83人,¥200,圆满完成,htkm,两个字表达高雅，时尚，轻奢现代新东方的感觉带有中式韵味的，还有现代感的，新中式家具，能注册商标的,2020-10-21,2020.11.26,任务编号：899848,200.0,98.0,o5d34069cab7b5,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】心理学教育公司取名征集,1699人,98人,¥100,圆满完成,o5f8fe84507ed5,心理学教育要开一家新公司，想取个名字，想传递的是有爱，陪伴，专业是一定的。想帮助更多的人提升生命质量，成为自己，想帮助很多孤独的人找到内心的温暖，找到通往幸福的道路。,2020-10-21,2021.01.15,任务编号：899845,100.0,110.0,wesonhuang,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【广告策划】一款宁夏红枸杞的简短广告语,2119人,72人,¥200,圆满完成,o5dc4cde218c54,任务需求：枸杞来自宁夏，选自特优级(宁夏枸杞中最好的）枸杞广告语需简短至少3句禁止抄袭或雷同,2020-10-21,2020.11.19,任务编号：899766,200.0,89.0,shanshan620,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【公司起名】公司子品牌起名,3301人,174人,¥300,圆满完成,o5f8ebffd63b95,"要求公司子品牌，2-4字，有朝气，有活力，有故事，朗朗上口，另附100字以内的文字解释。邮箱bdhsydgb@163.com公司简介北大荒马铃薯集团有限公司（简称北大荒薯业集团）始创于2005年,是北大荒集团的全资子公司。以马铃薯加工为主营业务，年加工马铃薯总能力70万吨，以精淀粉为主导的“北大荒”牌马铃薯系列产品国内市场份额达20%，位居全国第一位。作为国家级农业产业化重点龙头企业，公司下辖11个分、子公司，拥有100万亩核心原料基地，是集种薯繁育、产品研发、基地建设、薯类加工、产品销售为一体的全产业链综合性农产品加工企业。主要经营种薯、商品薯、淀粉、木薯淀粉、全粉、粉丝粉皮、土豆泥、营养粥、马铃薯酸辣粉、麻辣粉、薯片等产品及衍生物贸易。",2020-10-20,2020.11.07,任务编号：899691,300.0,230.0,cappuccino8342,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】XX醒酒护肝蛋白肽饮起名及广告语,1872人,80人,¥300,圆满完成,o5f8e****587df,产品介绍：XX醒酒护肝蛋白肽饮，主要成分为胶原蛋白，茯苓、葛根、枳椇子、枸杞等。一款以解酒为主、护肝为辅的食品；科学缓解宿醉带来的痛苦：头痛、口渴、眩晕、肠胃不适、疲惫乏力，大幅度降低酒精对肝脏的损伤，保护肝脏，远离宿醉，应酬不愁，护肝无忧。任务需求：1、产品名及广告语2、通俗易懂、朗朗上口、吸引眼球、独特、能让广大消费者眼前一亮，铭记于心。3、直射或隐射产品功效，以解酒、解宿醉为主，护肝为辅来描述功效。4、保持原创，禁止抄袭或类同。5、名字，广告语通俗易懂、朗朗上口如（类似以下广告语）农夫山泉：农夫山泉有点甜鲜橙多:多C多漂亮汇仁肾宝：他好我也好 脑白金：今年过节不收礼，收礼还收脑白金王老吉：怕上火，喝王老吉。　　投稿方式　　　特别声明：　　1、作品必须原创，不得抄袭任何著作权或者知识产权，一经发现，立即取消参赛资格，所征作品如涉及著作权、版权纠纷等相关法律问题，均由作者本人负责。　　2、获选广告语所有权、修改权和使用权均归A十1醒酒护肝蛋白饮品所有。　　3、参加投稿的方案未被选用的一律不退，未选中方案作者可自行处理。　　4、如遇广告语出现重复情况，以最先收到的日期为准。　　5、本活动最终解释权归成都欣康尔寿科技有限公司所有。　　6、应征者在此活动期间如有身体不适或身患重大疾病发生意外者以本公司无关。　成都欣康尔寿科技有限公司　　2020年10月19日,2020-10-20,2021.01.29,任务编号：899497,300.0,95.0,千秋万名,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】综合类商标起名（可注册）,1469人,54人,¥400,圆满完成,o5aa0cde3dae58,"具体要求：
1、 综合类经营，主营即食燕窝、鱼胶等养生食品，一次性餐具等厨房用品、塑料制品；
2、 商标名字无需局限在某一类别，最好各行业能通用，高端大气、简洁易记；
3、 需包含对应英文或拼音，中英文最好都有寓意；
4、 名字需查询国家商标网站，一定一定要可以注册，至少21、29、30类可注册；
 
知识产权说明：
1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；
2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;
3、中标后投稿人应提供完整的、可用的矢量图形及源文件，标明标准色值、注明各部分比例、尺寸、颜色、字体；",2020-10-19,2020.11.15,任务编号：899398,400.0,77.0,mtx521,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】金融相关公司取名,1449人,87人,¥100,圆满完成,摩诃无量,1、公司取名， 主要做投资，融资，不良资产处置，法院拍卖房产，二手房交易等等。2、名字简单大气。3、最好两个字或者三个字,2020-10-19,2020.12.28,任务编号：899248,100.0,96.0,o5e3fa881d0aae,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】二手房平台取名,1554人,88人,¥100,圆满完成,摩诃无量,二手房平台的品牌取名：1、该平台主要做二手房卖新房，房屋贷款 等业务。2、该平台主要做金融业务多一点。3、该平台类似贝壳、玛雅房产平台。,2020-10-19,2020.12.28,任务编号：899244,100.0,98.0,徕徕徕工作室,工作室,七品,37分,,,易生活,￥700,徽章类logo设计，中西方元素结合。可用在蛋糕店logo。,￥1000,,,,,,,,,,,,,,,品牌起名
【文学创作】征集文艺的诗句，中英文,2128人,39人,¥100,圆满完成,hardrock55,征集文艺的诗句，中英文民宿里有一面墙要做成发光字，面积高2.4米宽2.2米效果如图所示  要求：诗句的长短和字数刚好排满这个大小         中英文混合         关于爱情的文艺诗句        看了让人感动那种,2020-10-17,2020.11.05,任务编号：899049,100.0,41.0,o5f865a69532f0,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【网店取名】影评网站取名,2388人,110人,¥200,圆满完成,o591fda2e0d4a6,影评网站取名，名字不能含影评2字，最好2-3个字，国内比较有名的，豆瓣、时光、猫眼,2020-10-16,2020.10.30,任务编号：898970,200.0,140.0,小苏创意工坊,个人,八品,37分,,,,,,,,,,,,,,,,,,,,,网店取名
【店铺/网店起名】小程序线上商城命名，商城以ETC,1266人,55人,¥300,圆满完成,o5f8940dcdb5c1,"小程序线上商城命名，商城以ETC用户福利为主，要求商城名字大气知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-10-16,2020.10.26,任务编号：898925,300.0,66.0,M15011014775,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【品牌起名】民宿酒店取名,1711人,98人,¥100,圆满完成,摩诃无量,1、城市民宿酒店。2、 希望能融入些巴蜀文化内涵。3、能注册酒店43类商标。,2020-10-16,2020.12.28,任务编号：898824,100.0,104.0,o5d34069cab7b5,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】互联网科技公司及品牌命名,1734人,74人,¥200,圆满完成,o5d5c0fe4d647f,业务内容：    以油品线上销售为主，同时涵盖汽车服务、汽车用品、生活日用品，为车主提供一站式汽车消费购物的线上销售平台。要求：1.符合当下互联网科技公司品牌命名的特点；2.突出油品类互联网平台的属性；3.中文名字，不超过4个字；   4.要求商标可注册，第35类、第9类和第42类；5.名字易记、朗朗上口、易识别、没有生僻字。,2020-10-12,2020.11.03,任务编号：897912,200.0,86.0,千灵 取名+logo设计,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】连锁加油站品牌起名,2443人,149人,¥300,圆满完成,o5d5c0fe4d647f,要求：     1.符合成品油销售行业属性或服务属性;    2.中文名字，不超过4个字；       3.要求商标可注册，第37类；    4.名字易记、朗朗上口、易识别、没有生僻字。,2020-10-12,2020.11.13,任务编号：897908,300.0,194.0,mtx521,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】小程序起名,1736人,134人,¥100,圆满完成,o5f7836c7b0e24,我是人脸访客管理小程序，行业是人脸通行的，是大厦或者企业总部，员工和访客使用人脸，进出闸机和电梯的系统，取一个中文或者英文名字，人脸通行的意思，方便管理。大厦、企业总部、工厂大门，大厦物业使用，包含物业管理端，访客端，员工端，管理员端。人脸通行，员工管理，或者是企业总部使用，要注册商标，注册第9类，咱们系统主要作用：1、员工人脸通行，电梯，2、访客人脸二维码通行；提升管理水平，提高楼宇档次，自动控制节约人力成本等。这个名字做为公众号名字，要求容易记,2020-10-12,2020.12.26,任务编号：897859,100.0,152.0,壹品伯爵设计工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】拼团业务公司取名,1413人,97人,¥150,圆满完成,hay101,公司是自营电商平台，平台主要方式是拼团、分销团队公司团队年轻且活力平台主要客户群体：宝妈等女性用户为主公司地点是厦门集美要求：名字含义简介，可以注册商标,2020-10-11,2020.10.29,任务编号：897701,150.0,111.0,谢诗妍,工作室,五品,41分,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】北京烤鸭品牌（店）取名,2309人,136人,¥200,圆满完成,傻巴拉几,北京烤鸭品牌（店）取个名。上次的logo图标已注册成功。这次取个文字品牌名字配合logou一起使用。文字名需要29类可以注册，全聚德，便宜坊，大鸭梨，大董，等等知道品牌类似，宋鸭司，等特别的名字也可以。只要有特点什么品牌名字都可以。品牌带鸭字或不带鸭字都可以。,2020-10-10,2020.11.23,任务编号：897498,200.0,162.0,赵南希,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【广告策划】供应链公司广告语征集,2709人,73人,¥100,圆满完成,君林,1、名称：君林供应链2、主营：全球木材进口及国内木材全产业供应链服务,2020-10-09,2020.11.28,任务编号：897284,100.0,78.0,youky00000,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】一款枸杞品牌名称征集,2106人,136人,¥200,圆满完成,o5dc4cde218c54,起名要求；※※枸杞必须带鲜字每个名字必须有意义，如锁鲜枸杞，寓意----锁住枸杞的新鲜最少3个名称禁止抄袭和类同。,2020-10-09,2020.11.19,任务编号：897134,200.0,160.0,妖乖,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】中文商标取英文名,551人,51人,¥188,圆满完成,o58c3734c52031,中文商标:  乐牛要      求： 根据中文商标取英文名（公司主营智能产品）,2020-10-05,2020.10.30,任务编号：896395,188.0,56.0,凌云文案,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【宝宝起名】鼠年庄姓男宝宝起名,2489人,154人,¥100,圆满完成,mf180****4815,1、姓庄，男宝宝2、鼠年9月22日零点54分出生3、五行缺火，最好名字中带有火字旁的4、名字易念，不会有不好的联想，有较好寓意；最好能有坚毅，有恒心的寓意5、最好能引经据典，注明出处和释义,2020-10-05,2020.12.28,任务编号：896388,100.0,170.0,壹品伯爵设计工作室,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【公司起名】小吃店起名,2252人,133人,¥100,圆满完成,o5f7836c7b0e24,小吃店起名 主要卖一些陕西小吃，名子适合就可以，要能注册过，好记好听好上口印象深，喜庆点要注册43类餐饮类 和 35类加盟连锁 主要小吃为主。不一定陕西小吃,2020-10-04,2020.10.28,任务编号：896321,100.0,161.0,一品谋士,,,,,,,,,,,,,,,,,,,,,,,,公司起名
