标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,任务类型
【百科/问答撰写】关于百度百科词条撰写,https://task.epwk.com/960288/,1153人,1人,¥5000,圆满完成,k9988****4,公司做整体家居生活馆，想撰写个百度百科的词条,2021-09-20,2021.10.08,任务编号：960288,5000.0,7天,浙江省-温州市-市辖区,望川秋水,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【编辑校对】需要书稿文字编辑校对,https://task.epwk.com/959750/,809人,1人,¥500,圆满完成,k9971****4,现有份书稿需要文字校对，熟悉书稿的核红、核片等工作,2021-09-20,2021.10.01,任务编号：959750,500.0,3天,福建省-厦门市-市辖区,k830492370,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【品牌故事】品牌介绍文案代写,https://task.epwk.com/956113/,644人,1人,¥800,圆满完成,o6146****8077b,WHIP BUNNY这个是品牌名称，品牌是国内注册的；同名有个日本品牌，2019年在日本 由日本 女星明日美绮罗创立；产品主要是女生内衣，泳衣系列；目前我们品牌主要经营是情趣内衣，家居服，文胸，内衣这些产品；需 要作个品牌介绍方案，让大部分认为这个品牌是源自日本，通过品牌介绍，认为品牌不是国产普通品牌；,2021-09-19,2021.09.20,任务编号：956113,800.0,2天,海南省-三亚市-吉阳区,北京幻视互娱,https://shop.epwk.com/9w56eqokwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,品牌故事
【文学创作】电视剧本延伸创作,https://task.epwk.com/960287/,1909人,2人,¥10000,圆满完成,k4932****8,电视剧本延伸，要求：有过电视剧剧本写作经验,2021-09-18,2021.10.02,任务编号：960287,10000.0,"5天,5天","湖北省-襄阳市-市辖区,江西省-南昌市-市辖区",k334964490,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【文学创作】需要关于两汉文化的文学创作,https://task.epwk.com/960187/,1042人,2人,¥3000,圆满完成,k6220****9,要求以“汉风徐来，彭城味道”为主题，体现两汉文化的,2021-09-18,2021.10.06,任务编号：960187,3000.0,"10天,7天","内蒙古-赤峰市-市辖区,山东省-潍坊市-市辖区",k193089163,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【百科/问答撰写】问答撰写——【办公用品】,https://task.epwk.com/959962/,431人,1人,¥3000,圆满完成,k2529****1,一问一答形式即可，但回答内容要详细丰富,2021-09-18,2021.10.04,任务编号：959962,3000.0,7天,湖北省-武汉市-市辖区,k877697620,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【文学创作】写原创软文文章,https://task.epwk.com/960106/,727人,3人,¥800,圆满完成,k9543****2,"写热门行业相关或热点事件相关的文章，方式不限，最好以科普的方式，或者讲虚构故事,比如热门行业可以选，当下比较关注的，关于芯片制造行业的科普，字数800字至1000字以上",2021-09-18,2021.10.01,任务编号：960106,800.0,"8天,6天,7天","广东省-珠海市-市辖区,江西省-上尧市-市辖区,山西省-太原市-市辖区",k455313395,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【编辑校对】印前文字编辑校对,https://task.epwk.com/959451/,520人,1人,¥500,圆满完成,k5553****0,熟悉文字编辑校对流程和规则,2021-09-17,2021.10.07,任务编号：959451,500.0,8天,河南省-洛阳市-市辖区,k949849653,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【文学创作】要农村题材的文学创作,https://task.epwk.com/959970/,769人,1人,¥1200,圆满完成,k6895****8,求田园文学，内容描写乡村生活，有浓厚的乡土气息，厚重的乡土背景的文学作品,2021-09-16,2021.09.29,任务编号：959970,1200.0,8天,云南省-昆明市-市辖区,k186665983,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【文学创作】受到法律保护纵容得黑恶之人，奸人嘴脸，写成小说,https://task.epwk.com/959847/,1089人,1人,¥5000,圆满完成,k3526****3,剧本写作 受到法律保护纵容得黑恶之人，奸人嘴脸，奸诈阴险闻所未闻，围绕这个主题写成小说。,2021-09-15,2021.10.04,任务编号：959847,5000.0,9天,上海市-上海市-市辖区,k952716790,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【百科/问答撰写】游戏玩家网站百科撰写,https://task.epwk.com/959448/,601人,1人,¥3000,圆满完成,k5846****2,一个游戏玩家的网站，要通过的才行,2021-09-15,2021.10.06,任务编号：959448,3000.0,8天,河北省-石家庄市-市辖区,k916739477,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【编辑校对】信息编辑校对,https://task.epwk.com/958930/,574人,1人,¥500,圆满完成,k9945****2,我需要Excel信息编辑校对员，具体工作是把PDF文档的内容输入进Excel中，并进行一定的格式修改，要求具有一定的Office使用能力,2021-09-15,2021.09.28,任务编号：958930,500.0,7天,江西省-上尧市-市辖区,k649198362,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【文学创作】能在期刊发表的关于计算机的论文,https://task.epwk.com/959748/,432人,1人,¥1000,圆满完成,k3573****7,能在期刊发表的关于计算机的论文，字数10000字左右,2021-09-15,2021.09.30,任务编号：959748,1000.0,5天,广东省-汕头市-市辖区,k566889185,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【百科/问答撰写】百度百科原创词条撰写,https://task.epwk.com/959322/,636人,1人,¥1200,圆满完成,k6220****9,百度百科原创词条撰写，要审核通过的,2021-09-15,2021.10.02,任务编号：959322,1200.0,7天,辽宁省-葫芦岛市-市辖区,k732362207,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【文学创作】关于抗疫类的文学创作,https://task.epwk.com/959674/,535人,1人,¥1000,圆满完成,k2049****6,主题：宣扬抗议精神的，最感动的中国抗议故事。字数：2000字左右,2021-09-15,2021.10.03,任务编号：959674,1000.0,8天,甘肃省-兰州市-市辖区,k622865127,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【编辑校对】英文翻译编辑校对,https://task.epwk.com/959055/,501人,1人,¥800,圆满完成,k5064****6,字幕翻译英文校对，要去英文听说读写精通,2021-09-15,2021.09.30,任务编号：959055,800.0,8天,浙江省-温州市-市辖区,k849553717,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【百科/问答撰写】百度百科创建,https://task.epwk.com/959226/,337人,2人,¥1000,圆满完成,k8357****0,1、需要创建1个百度百科词条。2、2周内不被删除,2021-09-15,2021.09.28,任务编号：959226,1000.0,"5天,3天","湖南省-长沙市-市辖区,江西省-上尧市-市辖区",醉世逍遥,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【文学创作】评职称要出一篇文学创作,https://task.epwk.com/959447/,569人,1人,¥1000,圆满完成,k2548****8,要评副高，要一篇学术专著类的文学作品，计算机类的,2021-09-14,2021.10.03,任务编号：959447,1000.0,7天,浙江省-温州市-市辖区,凉辰梦瑾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【文学创作】现代唯美诗歌诗词散文撰写,https://task.epwk.com/959321/,751人,3人,¥500,圆满完成,k8987****7,现代唯美诗歌诗词散文撰写，最好是藏头诗,2021-09-14,2021.09.25,任务编号：959321,500.0,"5天,5天,8天","吉林省-吉林市-市辖区,黑龙江省-哈尔滨市-市辖区,青海省-西宁市-市辖区",k642607944,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【文学创作】校园类剧本创作写作,https://task.epwk.com/959470/,1713人,1人,¥5000,圆满完成,k5117****9,主题《青春的模样》核心思想：表达高中学生在追逐个人梦想的时候，需要清晰、勇敢、坚强的精神（必要时可借用聂鲁达的诗歌所表达的意境）。同时高中生活学习的点点滴滴又深刻影响着自己。,2021-09-14,2021.10.03,任务编号：959470,5000.0,5天,海南省-海口市-市辖区,高傲旳笑,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【百科/问答撰写】快消品类型的百度词条撰写,https://task.epwk.com/958791/,547人,1人,¥6000,圆满完成,k2567****2,公司主做快消品，要懂平台运营规则的专业词条撰写,2021-09-14,2021.10.01,任务编号：958791,6000.0,7天,河南省-商丘市-市辖区,傲然星凌,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【百科/问答撰写】百度问答105组，一问二答形式,https://task.epwk.com/958623/,331人,1人,¥800,圆满完成,k6684****4,要求：1、懂一点广告法和百度规则，所编辑的内容不能有违规词；2、两条回答必须要有一条比另外一条回答的要详细完整,2021-09-13,2021.09.28,任务编号：958623,800.0,4天,北京市-北京市-市辖区,k871725629,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【文学创作】情感类小说创作,https://task.epwk.com/959048/,872人,1人,¥3000,圆满完成,k1439****0,1，要求通俗易懂。2，中篇小说，字数8000以上。3，可以后期持续更新,2021-09-13,2021.10.06,任务编号：959048,3000.0,9天,安徽省-合肥市-市辖区,王者孤独,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【文学创作】要写一篇原创小说,https://task.epwk.com/959197/,1267人,1人,¥3500,圆满完成,k6460****2,1、小说题材限制为游戏竞技类，武侠类。2、小说字数不少于800字，错别字少，排版工整。3、必须原创,2021-09-13,2021.09.30,任务编号：959197,3500.0,5天,天津市-天津市-市辖区,高傲旳笑,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【百科/问答撰写】保健品行业做知乎问答撰写,https://task.epwk.com/958638/,585人,1人,¥2000,圆满完成,k5947****1,结合公司产品来做一些知乎问答，内容要真实，不被删,2021-09-13,2021.09.23,任务编号：958638,2000.0,9天,福建省-福州市-市辖区,k928239726,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【文学创作】求写一篇感人的网络文学,https://task.epwk.com/958688/,625人,2人,¥500,圆满完成,k4863****9,主题和题材不限，情感真挚感人即可，字数1000字左右,2021-09-12,2021.09.26,任务编号：958688,500.0,"5天,7天","广东省-深圳市-市辖区,河南省-商丘市-市辖区",k973196607,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【文学创作】简述“五四”文学的创作潮流和趋向,https://task.epwk.com/958510/,311人,1人,¥300,圆满完成,k6178****6,老师要我们写一篇关于“五四”文学的创作潮流和趋向，800字左右,2021-09-11,2021.09.29,任务编号：958510,300.0,8天,宁夏-银川市-市辖区,k859561818,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【文学创作】找人写文学类的原创文章，长期大量需要,https://task.epwk.com/958621/,458人,1人,¥500,圆满完成,k9972****2,代写网站文章，需要原创，其他没要求。要求原创，每篇字数300-800字,2021-09-11,2021.10.05,任务编号：958621,500.0,8天,贵州省-贵阳市-市辖区,k208045243,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【百科/问答撰写】零食类产品百科撰写,https://task.epwk.com/958352/,685人,1人,¥5000,圆满完成,k4465****5,旨在打造网红零食，根据品牌特点做百科内容撰写,2021-09-10,2021.09.25,任务编号：958352,5000.0,5天,山西省-太原市-市辖区,k447657918,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【编辑校对】电影短片里的台词编辑校对,https://task.epwk.com/960189/,789人,3人,¥800,圆满完成,k9350****5,我在网上下载了个短片 但是我想修改下里面的台词和字幕，要懂四川方言,2021-09-08,2021.09.25,任务编号：960189,800.0,"5天,8天,7天","河北省-张家口市-市辖区,江苏省-扬州市-市辖区,山西省-太原市-市辖区",k121873454,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【专业代笔】一篇自愿者活动调研报告,https://task.epwk.com/953474/,412人,1人,¥100,圆满完成,君客行F0fd7,一篇自愿者活动调研报告，已谈好合作,2021-09-03,2021.09.05,任务编号：953474,100.0,2天,北京市-北京市-东城区,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【文学创作】稿件撰写,https://task.epwk.com/958351/,539人,1人,¥500,圆满完成,k5625****1,一篇科技VR类的文章，要在门媒体报道，要求文章为原创,2021-09-01,2021.09.11,任务编号：958351,500.0,5天,浙江省-丽水市-市辖区,独特情趣,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【品牌故事】需要写品牌故事和提炼品牌sologan,https://task.epwk.com/951221/,708人,4人,¥500,圆满完成,o5edc****568f9,"需要写品牌故事和提炼品牌sologan
品牌名称：外婆 炒饭
主打线上外卖品牌，顾客群体：年轻上班族为主
品牌故事文字内容150字-300字之间
商标如下图",2021-08-22,2021.08.24,任务编号：951221,500.0,"7天,3天,3天","海南省-三亚市-市辖区,山东省-青岛市,吉林省-长春市-宽城区",北京幻视互娱,https://shop.epwk.com/9w56eqokwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,品牌故事
【商业提案】文案撰写,https://task.epwk.com/950964/,487人,1人,¥1000,圆满完成,vitorru,疫情期间，物业公司辛苦工作，体现出公司领导有方，要做成一篇图文并茂的文章，配乐，类似贺年卡那种形式的,2021-08-20,2021.08.20,任务编号：950964,1000.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",商业提案
【商业提案】商业计划书,https://task.epwk.com/950754/,514人,1人,¥1750,圆满完成,vitorru,商业计划书，按双方沟通好的来,2021-08-19,2021.08.19,任务编号：950754,1750.0,5天,吉林省-长春市,96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,,,商业提案
【编辑校对】要有经验的漫画编辑校对,https://task.epwk.com/958326/,483人,1人,¥1000,圆满完成,k6371****8,要求：会画漫画，有想象力，经验丰富,2021-08-18,2021.08.28,任务编号：958326,1000.0,3天,江苏省-南京市-市辖区,k450726589,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【编辑校对】儿童读物拼音的编辑校对,https://task.epwk.com/958274/,1074人,1人,¥1000,圆满完成,k3184****5,给儿童读物备注拼音，找个会拼音发硬且标准的专业人士帮忙校对一下,2021-08-17,2021.08.31,任务编号：958274,1000.0,9天,湖北省-孝感市-市辖区,彼岸红尘,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【百科/问答撰写】需要染发剂产品百度问答,https://task.epwk.com/958272/,464人,1人,¥5000,圆满完成,k1728****7,问答形式：一问二答，内容真实，懂问答规范标准的,2021-08-15,2021.09.06,任务编号：958272,5000.0,6天,贵州省-贵阳市-市辖区,k121380431,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【编辑校对】英文论文编辑校对,https://task.epwk.com/958234/,978人,2人,¥1500,圆满完成,k9259****4,有一篇关于科技方面的英文论文需要编辑校对，懂这方面的专业术语,2021-08-13,2021.09.03,任务编号：958234,1500.0,"8天,5天","河南省-新乡市-市辖区,江西省-南昌市-市辖区",兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【百科/问答撰写】游戏类百科问答撰写,https://task.epwk.com/958233/,414人,1人,¥1500,圆满完成,k7744****6,高尔夫类型的单机游戏，围绕游戏类型来撰写百科问答,2021-08-13,2021.08.28,任务编号：958233,1500.0,5天,江苏省-南京市-市辖区,k207701974,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【宣传策划】深夜@囍车在线洗车项目推广,https://task.epwk.com/948886/,620人,1人,¥1500,圆满完成,sz2020,品牌文化、“喜”文化与传统文化的碰撞，激发新文化，新国潮深夜洗车项目推广,2021-08-09,2021.08.30,任务编号：948886,1500.0,7天,海南省-三亚市-市辖区,北京幻视互娱,https://shop.epwk.com/9w56eqokwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【宣传策划】设计宣传文案,https://task.epwk.com/948868/,1047人,1人,¥20000,圆满完成,活跃的开发小野马,设计公司宣传文案，以及所有的logo设计,2021-08-09,2021.08.09,任务编号：948868,20000.0,10天,湖南省-长沙市,湖南木空文化传媒有限公司,https://shop.epwk.com/7lngqvw33dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【编辑校对】需要新媒体编辑校对,https://task.epwk.com/958452/,548人,1人,¥500,圆满完成,k9192****6,给网站及公众号发布的内容进行编辑校对，要求经验充足,2021-08-03,2021.08.25,任务编号：958452,500.0,8天,浙江省-温州市-市辖区,致命的玩笑,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【编辑校对】法语文章校对编辑,https://task.epwk.com/958401/,686人,2人,¥1000,圆满完成,k9779****1,写了一篇法语文章要发表在期刊上，找一个精通法语的编辑校对,2021-08-02,2021.08.20,任务编号：958401,1000.0,"5天,5天","浙江省-温州市-市辖区,陕西省-西安市-市辖区",k474932652,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【编辑校对】施工方案修改格式,https://task.epwk.com/947286/,764人,1人,¥300,圆满完成,o5c4f1fd489a95,我自己有一个施工方案，现在需要按照公司的格式标准来编辑方案格式  寻找Word高手、懂CAD,2021-07-30,2021.08.05,任务编号：947286,300.0,2天,海南省-三亚市,北京幻视互娱,https://shop.epwk.com/9w56eqokwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【商业提案】营销策划跟商业计划书撰写,https://task.epwk.com/944127/,730人,1人,¥2394,圆满完成,vitorru,营销策划跟商业计划书撰写，按照沟通好的合作,2021-07-13,2021.07.13,任务编号：944127,2394.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",商业提案
【宣传策划】专业的文案撰写,https://task.epwk.com/938992/,926人,1人,¥300,圆满完成,k4716****82,专业的文案撰写，按照沟通好的合作,2021-06-09,2021.06.24,任务编号：938992,300.0,3天,四川省-成都市,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",ppt制作代做修改美化年终总结汇报述职企业宣传演讲竞聘,"￥100
            /起",宣传策划
【宣传策划】文案撰写,https://task.epwk.com/937930/,2493人,1人,¥2100,圆满完成,k4716****82,根据双方沟通的编辑文案，具体详谈,2021-06-02,2021.06.07,任务编号：937930,2100.0,5天,四川省-绵阳市-涪城区,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",ppt制作代做修改美化年终总结汇报述职企业宣传演讲竞聘,"￥100
            /起",宣传策划
【产品卖点】根据已开发软件写部分文档。,https://task.epwk.com/936918/,728人,1人,¥500,圆满完成,cdjkingboy,陈先生，根据已开发软件写部分文档。（类似软件说明书这样的 不需要开发 就文案）  预算详谈 可谈,2021-05-27,2021.06.21,任务编号：936918,500.0,5天,广东省-广州市,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【商业提案】机械制造业商业计划书,https://task.epwk.com/935133/,1154人,1人,¥4000,圆满完成,vitorru,机械制造业商业计划书，按照合同来,2021-05-18,2021.06.09,任务编号：935133,4000.0,15天,四川省-成都市,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",ppt制作代做修改美化年终总结汇报述职企业宣传演讲竞聘,"￥100
            /起",商业提案
【专业代笔】保密工作演讲撰写,https://task.epwk.com/933510/,612人,1人,¥150,圆满完成,非比寻长,结合新时代税收工作，做一篇保密工作演讲，要求原创，其他见附件,2021-05-08,2021.05.10,任务编号：933510,150.0,2天,海南省-三亚市-市辖区,北京幻视互娱,https://shop.epwk.com/9w56eqokwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【文学创作】综合实践活动特色课程资源的开发与研究,https://task.epwk.com/931067/,1291人,2人,¥5900,圆满完成,liao_shijianjidi,结项、论文，媒体宣传等,2021-04-22,2021.09.02,任务编号：931067,5900.0,15天,江苏省-南京市-建邺区,南京科研服务社,https://shop.epwk.com/3gd2m8xoyner/,南京科研服务社,出售服务,https://shop.epwk.com/3gd2m8xoyner/chushou/,企业,四品,44分,,,南京科研服务社,,课题申报书项目申报书结项报告中期报告撰写修改润色,50,商业计划书项目计划书融资计划书策划书MBA文章文案PPT代做,50,学术服务：MBA硕本论文写作修改降重期刊发表辅导,"￥20
            /据难度",公众号软文推文宣传文案撰写编辑排版,"￥10
            /据难度",代做调研报告研究报告调查报告可研报告数据分析SPSS分析问卷填写,10,期刊发表服务：职称学位课题文章发表与写作,"￥100
            /据难度",,,,,,,,,文学创作
【营销推广软文】汽车类的软文撰写，要求有经验的人或者工作室参与,https://task.epwk.com/930129/,515人,2人,¥100,圆满完成,朝阳007,要求：汽车类自主品牌的几个车型撰写，1200-1400字，配图10张。原创/伪原创两种形式。要求有过相关协作经验。常年写。,2021-04-17,2021.04.19,任务编号：930129,100.0,1天,海南省-三亚市,北京幻视互娱,https://shop.epwk.com/9w56eqokwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,营销推广软文
【宣传策划】展会文案撰写、编辑,https://task.epwk.com/927769/,1036人,1人,¥200,圆满完成,o5e86****48bfd,有基础文字资料，需要根据基础资料进行文案编辑和图片效果,2021-04-03,2021.04.11,任务编号：927769,200.0,10天,山东省-济南市-市辖区,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
