标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,交易价格统一,任务类型
【生日祝福】生日祝福短信，一稿3元,https://task.epwk.com/667275/,4031,44,¥500,o58fc8cdd3a441,￥ 500,￥120.4,2018/10/7,1.2018年10月9日是我一个一直爱着的女生生日，我想给她份惊喜与感动，给她一次难忘的生日祝福，希望能够得到全国各地朋友的祝福。2.内容如下：苟雨洁，我来自于某某地方，受一位路人所托我代表某某全市人民祝你生日快乐。（剩下的部分自由发挥吧，大概十几字就足够了，一定要有祝福她的话）一定要写点哦3.保密，如果对方询问   一定不要回复  或做任何回答4.发送时间：短信于10月9日 凌晨00.05-23.50时间段，随意选个时间送祝福。一定要10月9日定时发送，千万不要提前或晚发哦，时间过了就直接不发了，谢谢朋友们了。还有就是阳历（10月9号），记住是阳历 不懂这些的就不用来了。5.祝福语新颖有创意，不落俗套，能表达我对她心意的，若有回复，请务必不要回复短信！6.审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！7.她的手机号：13738490805，一个号码只限发一次哦！8.希望她生日那天可以收到各位朋友的祝福，在此先感谢大家的帮忙了！,任务编号：667275,"个人 |            
            denglong",悠然一品,o5bbaf422bf1f7,wei1093539166,非影腾龙123,mf159****8041,躲在树下看蛐蛐,破耳朵,o5ac78ace46165,yuewu,500,生日祝福
【生日祝福】给未来老公征集全国生日祝福，一稿5元（日期10.3号）,https://task.epwk.com/665469/,3807,54,¥500,亲爱的小五,￥ 500,￥275,2018/9/29,首先告诉大家一个好消息：2018.10.7是我和我老公结婚大喜之日，转眼婚期将至10.3号又刚好是他生日，想在结婚前给他一个有意义的生日，希望能得到全国各地朋友们的祝福，最好能征集到34个省份的祝福语，谢谢大家~~1、请帮忙要发祝福的朋友们加上我的微信：qzdhxmz，或者qq：371818267，加的时候说明是哪个省份送祝福的，，通过后我会把他的号码发给你2、发送时间：10.3号00.00-23.59（时间很重要，一定要在那天发，不要提前或延迟哦，我想刚过凌晨12点的时候就让他收到祝福，所以这个时间段我会多选择些祝福语）其他的24小时内任意时间段都可以发送，因为我想让他一整天都被幸福包围着3、对方有回复或者回电，请不要接听或者回复短信4、短信格式：亲爱的辉辉同学，生日快乐。我是来自XX城市的XX，受你家最亲爱的小五之托送上最真挚的祝福，她说：有你在，就会有未来，感谢遇见你+自由发挥，因为我们要结婚了，也可以加点对我们的祝福之类的话语，内容要真诚真挚，一定要自己写的，不能随便在百度上复制抄袭5、一个号码只限一次，同一个威客ID帐号仅限参与一次。祝福语可不要一样哦6、审核标准：请在稿中回复，截图为证， 带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！ ！同时也祝为我投稿的人爱情美满，全家幸福,任务编号：665469,"工作室 |            
            力旦工作室",断剑,o5b14a87327b63,o5b14a87327b63,mf159****8041,Pistache,靳老师,"工作室 |            
            绿芽精致工作室",slgoahead,段文博好帅,500,生日祝福
【生日祝福】生日祝福短信，一稿3元,https://task.epwk.com/664776/,4024,45,¥500,o58fc8cdd3a441,￥ 500,￥141.47,2018/9/27,1.2018年10月9日是我一个一直爱着的女生生日，我想给她份惊喜与感动，给她一次难忘的生日祝福，希望能够得到全国各地朋友的祝福。2.内容如下：苟雨洁，我来自于某某地方，受一位路人所托我代表某某全市人民祝你生日快乐。（剩下的部分自由发挥吧，大概十几字就足够了，一定要有祝福她的话）一定要写点哦3.保密，如果对方询问   一定不要回复  或做任何回答4.发送时间：短信于10月9日 凌晨00.05-23.50时间段，随意选个时间送祝福。一定要10月9日定时发送，千万不要提前或晚发哦，时间过了就直接不发了，谢谢朋友们了。还有就是阳历（10月9号），记住是阳历 不懂这些的就不用来了。5.祝福语新颖有创意，不落俗套，能表达我对她心意的，若有回复，请务必不要回复短信！6.审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！7.她的手机号：13738490805，一个号码只限发一次哦！8.希望她生日那天可以收到各位朋友的祝福，在此先感谢大家的帮忙了！,任务编号：664776,"个人 |            
            denglong","工作室 |            
            道乐推广旗舰店","个人 |            
            依然选择你",o5ba58c27d7cab,水寿,Pistache,亲亲宝贝儿,"个人 |            
            一颗冰心","个人 |            
            一颗冰心",mf159****8041,500,生日祝福
【爱情表白】送给女朋友全国各地好朋友的创意视频祝福,https://task.epwk.com/651594/,3701,7,¥500,悠幽传奇,￥ 500,￥5,2018/8/21,各位朋友，大家好，在这里寻求你们的帮助。女朋友马上过生日了，平时没能好好照顾她，所以趁此机会收集来自全国各地的朋友们的祝福视频。1、用手机自拍录制几秒钟的小视频，视频内容为：露露你好！我是来自XX省XX市的XX（可不用实名），你的他让我祝福你，祝你生日快乐！天天开心（也可自由发挥）2.要求：（1）吐字清晰有感情（2）视频需要您真人出境，可以有其他拍摄想法，可以加微信沟通18712772191，效果好有额外红包哦另外承诺：您的视频仅限用于好友祝福，绝不公开或者上传至网络平台。交稿要求：拍完视频可发送到邮箱1315416384@qq.com，然后发送记录以及发件邮箱提交到一品威客,任务编号：651594,Regina1,,,,,,,,,,500,爱情表白
【爱情表白】七夕短信发送，一稿5元,https://task.epwk.com/649394/,4787,25,¥500,serkxiaohao,￥ 500,￥130,2018/8/15,"由于七夕情人节要到，希望朋友们帮助送短信祝福!  任务要求1.表达自己的爱情宣言和对我俩的爱情祝福2.表达我对她深深的爱恋，很珍惜这得之不易的幸福3.文字有创新，不落俗套，不得抄袭,不得重复4.内容举例说明如下:你好，我是来自某地的XX，受你的男朋友钟学亮所托向你送来情人节祝福，他想告诉你：虽然我不懂得什么给惊喜，不懂得浪漫，平时不够细心对待你，但是以后的日子，我会更加用心呵护你，爱你，永远！ （我叫钟学亮，她叫李榆菲）5.发送时间限制：2018年8月17日20.00至22.00，其他时间发送送恕不采纳！发送时间一定核实好，千万不要提前发送,切记6.短信接收人号码看附件.切勿回复或接听电话，请大家保密，不要透漏一品威客网发布的信息，拜谢！7审核标准：截图为证， 一个电话号码只能提交一个稿件，交稿提交截图,截图请带有内容 日期和成功发送页面8.需要自己创作，不可抄袭",任务编号：649394,o59c75e638065d,安安小暑,mf159****8041,o5b263ee971041,o5b263ee971041,cn12345,mf159****8041,爱学习的小吃货,o5b76511bbe7a9,mf138****2603,500,爱情表白
【爱情表白】录制送给女朋友视频祝福,https://task.epwk.com/637199/,3390,3,¥500,seeya11,￥ 500,￥50,2018/7/14,各位朋友，大家好，在这里寻求你们的帮助。和女朋友感情比较稳定了，需要进一步升温。所以想送她来自全国各地的你们的祝福。录制15秒左右的视频。1、手持纸板或卡片，在当地标志性朝阳筑，或能看出来是哪里的建筑物前拍一张照片。纸板或卡片上文字内容的大概意思就是祝福恋人之间的爱情，可自由发挥，言简意赅。同时口述内容为；朝阳，你好！我是来自XX省XX市的XX（可不用实名），你的他让我转告你，他会陪你，爱你，宠你，一直到老 。。。后面可以自由发挥。2.要求：（1）卡片字体可自由设计，内容可以添加自由发挥；（2）照片需要您真人出境，手持卡片或纸板，背景不一定高大尚，但是看起来舒服，惬意。3.大家拍的视频为MP4格式，发到邮箱1083204847@qq.com.并且提供邮箱号到一品威客上交稿。备注：需要在7月20号下午六点之前发送视频到邮箱才算。,任务编号：637199,Tournesol,o5b4db97ab0a49,,,,,,,,,500,爱情表白
【其他】公司发布会，征集祝福视频，每稿10元,https://task.epwk.com/633166/,3076,3,¥500,o5b3c6d1095df0,￥ 500,￥10,2018/7/4,公司新产品发布会，要找一些美女自拍录视频送祝福。自拍要求：女性，年龄不限，妆化需求：要求化妆出镜，不能素颜，拿着手机竖着自拍录一句话（不要横拍）自拍角度：参考附件要录的话：8月2日真库城堡之夜不见不散（是录视频，录视频，录视频，不是自拍照片）视频内容请发送至 qq：82245141@qq.com，另外提交视频截图进行交稿，以便点评。,任务编号：633166,werew,,,,,,,,,,500,其他
"【软文发布】计件发帖,一稿3元",https://task.epwk.com/624543/,3422,5,¥500,bdmingen,￥ 500,￥156.52,2018/6/10,1.发微博，或金融财经类论坛贴。论坛需有一定知名度。站点访问量过低和收录差的站点不予通过。2.所发贴需保证15天不删除。3.本次发帖不需要加上任务联系方式。4.不得出现任何其他的广告，否则不予通过。5.所发文章不得出现侵权。任务详情请看附件。投稿请提交发帖链接。,任务编号：624543,"工作室 |            
            小小龙儿",mf159****8041,rfgddfgd,rfgddfgd,"个人 |            
            论坛发帖推广 分类信息发帖网易博客分类信息推广纯手工发帖",rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd,500,软文发布
【爱情表白】送给女朋友各个省份的创意照片祝福,https://task.epwk.com/620010/,3835,6,¥500,苏子陌,￥ 500,￥25,2018/5/30,各位朋友，大家好，在这里寻求你们的帮助。和女朋友感情比较稳定了，需要进一步升温。所以想送她来自全国各地的你们的祝福。1、手持纸板或卡片，在当地标志性建筑，或能看出来是哪里的建筑物前拍一张照片。纸板或卡片上文字内容为：朦女神你好！我是来自XX省XX市的XX（可不用实名），你的他让我转告你，他会陪你，爱你，宠你，一直到老 。2.要求：（1）卡片字体可自由设计，内容在以上文字的基础上，可以添加自由发挥；（2）照片需要您真人出境，手持卡片或纸板，背景一定要是能展示您所处省市的标志性建筑物。3.大家把拍好的照片，发到邮箱taichangle@126.com，备注好您的一品威客ID。4.时间紧急，请各位朋友帮忙，谢谢！。,任务编号：620010,o5b0d7f1dba296,,,,,,,,,,500,爱情表白
【爱情表白】五月二十号祝福短信,https://task.epwk.com/613714/,5166,111,¥500,o5af8625b059d9,￥ 500,￥399.96,2018/5/14,五月二十号给女朋友的祝福短信！  和女朋友刚在一起一个月，异地还是大学生活，之前高中同学，但是中途发生了一些事情，大学后才在一起了，因为异地她很缺乏安全感，但是我们对未来有很长远的打算。 短信内容:小番茄你好！我是来自**省**地的**，在此给你和你的豆豆送上节日祝福+（祝福语，内容可以参考第一条的大致说明）要求：1、 发送时间:2018年5月20号17:20，时间不过早或者过迟。2、 若有回复，请不做理会。手机号码188519651213、审核标准:截图为证，带有一张发送成功（或者定时发送成功）且带号码的截图。4、一个手机号只能发送一条，发送多条无效 希望我们可以收到各位的祝福，感谢前来祝福我们的朋友！ 感谢大家的支持！,任务编号：613714,"个人 |            
            denglong",o5af950ed4913b,轻笔点风11,振天羽翼,亲亲宝贝儿,妄念姑娘,o5ab3ddbc8ee56,拼凑不成,mf159****8041,小小CCE,500,爱情表白
【软文发布】论坛发帖任务，5元一贴，快审，简单容易操作.,https://task.epwk.com/610666/,2984,5,¥500,haloxu518,￥ 500,￥420,2018/5/6,"任务需求1、帖子标题以文档内标题为准，发帖成功存活15天不被删有效！2、请勿重复提交相同稿件,,和直接窃取其它服务商稿件,发现者直接举报.3：如果有文笔更好的，可以适当修改稿件内容，需保留花儿财经的信息，不能加入其他广告信息。4、网址链接最好保留，如果论坛要求严格可以删除链接，但花儿财经的相关信息必须保留。5：交稿方式，稿子下方注明自己的用户ID，发稿时间　发布成功的链接 以及截图（发布成功的截图图片），这样快审核谢谢配合，防止有人复制他人链接交稿，重复提交同样链接无效 。,1、帖子标题以文档内标题为准，发帖成功存活15天不被删有效！2、请勿重复提交相同稿件,,和直接窃取其它服务商稿件,发现者直接举报.3：如果有文笔更好的，可以适当修改稿件内容，需保留花儿财经的信息，不能加入其他广告信息。,4、网址链接最好保留，如果论坛要求严格可以删除链接，但花儿财经的相关信息必须保留。,5：交稿方式，稿子下方注明自己的用户ID，发稿时间　发布成功的链接 以及截图（发布成功的截图图片），这样快审核谢谢配合，防止有人复制他人链接交稿，重复提交同样链接无效 。",任务编号：610666,mf159****8041,mf159****8041,mf159****8041,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿",mf159****8041,"工作室 |            
            小小龙儿",mf159****8041,500,软文发布
【软文发布】豆办回答，操作一分内搞定，快审,https://task.epwk.com/608582/,908,0,¥500,o5a66d384d5835,￥ 500,,2018/4/30,第一　https://www.douban.com/group/topic/77506352　打开链接第二：在上面的链接中回答问题（问题在附件中直接粘上去就可以，附件中图片也要上传上去）第三：回答的问题　至发布成功日起　存活五天为有效贴子　且回答的内容不可折叠否则计为无效第四：交搞方式，提交你回答上去的用户ＩＤ+截图（截图为你发上去的内容的图片截图）　否则视为无效贴,任务编号：608582,,,,,,,,,,,500,软文发布
【软文发布】论坛发帖，内容自己发挥，一贴5元,https://task.epwk.com/607145/,2092,2,¥500,o5ad8291a53852,￥ 500,￥45,2018/4/26,通过八图片平台，生成加密的图片，然后发布到各种中小型的论坛上。先到这里注册： http://web.8tupian.com/index.php/register.html?u=430 成为我的下线注册好之后，上传图片，生成加密的二维码图片，在图片管理中，复制图片的网络地址，通过这个网络地址，以网络图片的形式，发布到论坛上。可以新发帖，也可以回帖。必须24小时内没有被删除，而且有人支付，才算合格。这里有两个例子，大家可以参照一下：http://t.cn/RuI5pXm  http://t.cn/RuI51n8  具体的创意大家可以自己想，原则就是，没有被删除，创意越好，支付的人越多，质量就越高。发布成功后，提供帖子的地址和截图，我会根据帖子的质量，支付佣金。具体的操作方法，在附件中，可以查看。注意： 有些论坛不适合发布，比如天涯，百度贴吧等。因为它们对网络图片进行了本地化存储，一定要发布在支持网络图片并且图片的网络地址不会发生变化的论坛。具体的检查方法，附件中有详细的说明。发布错了，没有佣金，所以请一定要仔细阅读附件中的内容。,任务编号：607145,"工作室 |            
            小小龙儿",rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd,,500,软文发布
【软文发布】发帖任务，3元一贴，快审　简单容易操作,https://task.epwk.com/604851/,3367,5,¥500,o5a66d384d5835,￥ 500,￥15.05,2018/4/20,"1、发贴网站必须权重大等于三，，标题关键字和内容以及附件图片都必须全部上全，不可漏下，否则不合格（权重以站长工具为主）2、帖子标题以文档内标题为准，发帖成功存活5天不被删有效！3、内容详见附件，按附件排版要求内容全部要上传上去，无需登陆即可看到，页面完整，清晰4、请勿重复提交相同搞件,,和直接窃取其它服务商搞件,发现者直接举报,,所有提交搞件全部不合作附件中的内容关键字,,图片必须全部带上，不可少（否则视为不合格）5：可以适当修改文件内容，不过大意不可变，标题不可变，联系方式等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）7　附件内容我们也有提供多个链接　如果是在上面的其中一个链接中发布被收录了，也同样为合格搞件",任务编号：604851,"个人 |            
            madk1102","个人 |            
            论坛发帖推广 分类信息发帖网易博客分类信息推广纯手工发帖","个人 |            
            论坛发帖推广 分类信息发帖网易博客分类信息推广纯手工发帖","个人 |            
            论坛发帖推广 分类信息发帖网易博客分类信息推广纯手工发帖","个人 |            
            论坛发帖推广 分类信息发帖网易博客分类信息推广纯手工发帖",,,,,,500,软文发布
【软文发布】知乎任务回答，操作一分内搞定,https://task.epwk.com/604735/,2798,12,¥500,o5a66d384d5835,￥ 500,,2018/4/20,第一　https://www.zhihu.com/question/22250815　打开链接第二：在上面的链接中回答问题（问题在附件中直接粘上去就可以，附件中图片也要上传上去）第三：回答的问题　至发布成功日起　存活五天为有效贴子　且回答的内容不可折叠否则计为无效第四：交搞方式，提交你回答上去的用户ＩＤ+截图（截图为你发上去的内容的图片截图）　否则视为无效贴,任务编号：604735,,,,,,,,,,,500,软文发布
【软文发布】高权重发贴，审核快，简单操作,https://task.epwk.com/601134/,1056,2,¥500,o5a66d384d5835,￥ 500,,2018/4/11,"1、必须被百度收录才算合格贴子，标题关键字和内容以及附件图片都必须全部上全，不可漏下，否则不合格2、帖子标题以文档内标题为准，发帖成功存活五天不被删有效！3、内容详见附件，按附件排版要求内容全部要上传上去，无需登陆即可看到，页面完整，清晰4、请勿重复提交相同搞件,,和直接窃取其它服务商搞件,发现者直接举报,,所有提交搞件全部不合作附件中的内容关键字,,图片必须全部带上，不可少（否则视为不合格）5：为确保百度收录，可以适当修改文件内容，不过大意不可变，标题不可变，联系方式等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）",任务编号：601134,,,,,,,,,,,500,软文发布
【软文发布】简单百度贴吧发贴10次,https://task.epwk.com/599818/,999,1,¥500,mpcms,￥ 500,,2018/4/8,简单任务，只要发成功就付费。财经类贴吧都可以，如：股票、炒股、A股、基金、期货吧1、百度贴吧搜索关键字:  股票、炒股、A股、基金、期货等关键字，进入贴吧。２、发贴，内容如下如附件3、图片和文字可任选4、帖子标题：《资产配置成功秘笈》-大师免费教你100万的升值干货5、审核标准，发帖成功，保留一天就算,任务编号：599818,,,,,,,,,,,500,软文发布
【软文发布】高权重论坛，Ｂ2Ｂ，社区发贴,https://task.epwk.com/599525/,698,0,¥500,o5a66d384d5835,￥ 500,,2018/4/7,"1、权重大等于四，且必须被百度收录才算合格贴子，标题关键字和内容以及附件图片都必须全部上全，不可漏下，否则不合格（权重以站长工具为主）2、帖子标题以文档内标题为准，发帖成功存活5天不被删有效！3、内容详见附件，按附件排版要求内容全部要上传上去，无需登陆即可看到，页面完整，清晰4、请勿重复提交相同搞件,,和直接窃取其它服务商搞件,发现者直接举报,,所有提交搞件全部不合作附件中的内容关键字,,图片必须全部带上，不可少（否则视为不合格）5：为确保百度收录，可以适当修改文件内容，不过大意不可变，标题不可变，联系方式等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）7　附件内容我们也有提供多个链接　如果是在上面的其中一个链接中发布被收录了，也同样为合格搞件",任务编号：599525,,,,,,,,,,,500,软文发布
【百科/问答撰写】答题任务，简单易做，4元一单,https://task.epwk.com/599496/,5310,8,¥500,风尘,￥ 500,,2018/4/7,1.  加微信：baobaojia99  通过好友请求后，会给你发个简单的问答题，进行答题后截图2.  提交后会看到“打开APP写回答赚现金”几个大字然后点击进入，进入APP后截图一下你的个人主页既可注：答题需要100个字以上，要原创有创意不能抄袭，通过达标的会显示答题奖励红包为5元以上,任务编号：599496,,,,,,,,,,,500,百科/问答撰写
【软文发布】高权重发贴，审核快，简单操作,https://task.epwk.com/595066/,1142,1,¥500,o5a66d384d5835,￥ 500,,2018/3/26,"1、权重大等于五，且必须被百度收录才算合格贴子，标题关键字和内容以及附件图片都必须全部上全，不可漏下，否则不合格（权重以站长工具为主）2、帖子标题以文档内标题为准，发帖成功存活十天不被删有效！3、内容详见附件，按附件排版要求内容全部要上传上去，无需登陆即可看到，页面完整，清晰4、请勿重复提交相同搞件,,和直接窃取其它服务商搞件,发现者直接举报,,所有提交搞件全部不合作附件中的内容关键字,,图片必须全部带上，不可少（否则视为不合格）5：为确保百度收录，可以适当修改文件内容，不过大意不可变，标题不可变，联系方式等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）",任务编号：595066,,,,,,,,,,,500,软文发布
【软文发布】征求网站人工点评，1分钟送您5元,https://task.epwk.com/592082/,3042,58,¥500,大唐天下,￥ 500,￥500,2018/3/18,由于我公司网站赢方体育上线，需要在360网站点评里进行点评，网址：https://yx.360.cn/impression/winfun.cn。要求：1. 有360账号。如没有可新注册一个。2. 点评内容20-300字以内，要求与体育有关，与赢方网站有关，与足球有关即可。要求客观看起来真实。3. 点评完成后，发送截图。经我方验证，即可付5元（一品威客发放）4. 点评地址：https://yx.360.cn/impression/winfun.cn南京赢方体育文化传播有限公司联系人：台先生电话：13188717223,任务编号：592082,"工作室 |            
            时辰网络推广","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","个人 |            
            饼干工作室",一品鸿轩,K一Sir,wu472471356,"个人 |            
            一颗冰心",liu3941,亲亲宝贝儿,500,软文发布
【爱情表白】情人节给女朋友短信惊喜 每条4元,https://task.epwk.com/582394/,5501,27,¥520,时先生V,￥ 520,￥144,2018/2/13,"1.内容格式：程程，相爱相知781天，你就是我心中的栀子花，你的热情让我满心欢喜，你的娇羞让我如痴如醉，惟愿我们做彼此一生的守候，让我带给你一辈子的温暖~    我是来自XX地的XXX   +（此处自由发挥）+祝你们情人节快乐，有情人终成眷属哦！2.发送时间：2018年2月14日中午12点-----晚上12点，不在此时间范围内发送者无效哦3.发送对象号码：131320081174.审核标准：截图为证， 一个电话号码只能提交一个稿件，交稿提交截图,截图请带有内容 日期和成功发送页面   请附上手机尾号4位数5.备注：切勿回复短信或接听电话，请大家保密，不要透漏一品威客网发布的信息，一旦发现会举报，拜谢！我需要36份稿件（短信），多的稿件无效哦！以交稿顺序为准。一个一品id限参与2次。和女朋友异地，有过很多争吵，也有特别多的甜蜜，现在感情很稳定，各位亲们谢谢啦！！",任务编号：582394,o59a427ed3801d,刻爱,败笔的红尘,刻爱,在路上mass,"个人 |            
            红利工作室","个人 |            
            一颗冰心","个人 |            
            一颗冰心",亲亲宝贝儿,MYcentro,520,爱情表白
【百科/问答撰写】答题任务，简单易做，4元一单,https://task.epwk.com/580516/,4533,19,¥500,风尘,￥ 500,￥24,2018/2/5,1.  加微信：baobaojia99  通过好友请求后，会给你发个简单的问答题，进行答题后截图2.  提交后会看到“打开APP写回答赚现金”几个大字然后点击进入，进入APP后截图一下你的个人主页既可注：答题需要100个字以上，要原创有创意不能抄袭，通过达标的会显示答题奖励红包为5元以上,任务编号：580516,Yuki设计,冯宝宝,一个木东,"工作室 |            
            路人第三",李家的喵,slgoahead,,,,,500,百科/问答撰写
【生日祝福】发送生日祝福，三元一稿,https://task.epwk.com/574897/,6694,28,¥500,要的就是信誉,￥ 500,￥499.95,2018/1/18,"给女友生日祝福,时间紧急，一稿三元1.希望能够得到全国各地朋友的祝福，让她感觉到幸福。谢谢你们2.短信内容：亲爱的飞儿，生日快乐！我是来自XX省XX地的XX，在此代表你的进儿送来了生日祝福+详细祝语+祝福我们的话（大家自由发挥，不要套俗套，才显得有诚意嘛）内容不要重复哦！结束语自由发挥----加急啊伙伴们在线等3.发送时间：短信2018年1月21日，时间晚上20：00送祝福，时间过早或过迟不予合格。4.若有回复，请不回复短信！5.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！6.我女朋友手机号：18484629298 一个号码只限发一次哦！三元一条。7.希望她生日可以收到各位朋友的祝福，在此先感谢大家的帮忙了",任务编号：574897,"个人 |            
            那一片云","个人 |            
            一颗冰心","个人 |            
            一颗冰心",flutter,Dickens,o5a63307f984f4,亲亲宝贝儿,o59fd3a74ab2dc,南城北巷,南城北巷,500,生日祝福
【生日祝福】500 给兄弟生日祝福，一稿三元,https://task.epwk.com/570779/,4027,26,¥500,hexia953,￥ 500,￥102.34,2018/1/6,今天一个好兄弟过生日，2018年1月6日，我想请大家帮我给他发条祝福短信。时间必须按我说的来，我希望在她生日的的时候能收到100个祝福。在这里谢谢大家了哈！并预祝大家新年快乐！给力！给力！1、时间：2018.1.6(17:00-24：00)-发送时间2、短信内容：“Hi 海滔！我是来自xx（城市）的xx（你的名字，不要求真实，有个就好)，我代表 贺夏 祝你生日快乐！ 自由发挥的祝福（最好有新意）也别太短....注：是个体老板，不是学生”3、他的手机号：【15751253333】4、审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图一个手机号码限参加一次。一个一品id最多可参与三次。,任务编号：570779,wang95819,一蓑烟雨任平生9,一日不见兮,unique2,slgoahead,梦醒文案,yaoyaoyao111,"个人 |            
            浩浩荡荡","个人 |            
            浩浩荡荡","个人 |            
            一颗冰心",500,生日祝福
【生日祝福】生日求祝福,https://task.epwk.com/564455/,5089,29,¥500,微笑的美丽麻麻,￥ 500,￥27.09,2017/12/18,亲们 男朋友12.23生日 想求祝福 称呼可以是 岩哥哥 郭小黑 或者 小黑   然后是祝福 就是爱你 祝福之类的 最后统一附上一句话如果可以，请允许我一直这样爱着你。 署名 yours 孙小白    要求发送时间是：12月23日  请在发送短信之前联系我交稿：提交截图以及QQ号。,任务编号：564455,房东家的猫,wangkuanzi,蝴蝶自来,早起的虫子,o59ae571f26642,CC澈澈,醉狸是狸,展翅高飞427,房东家的猫,,500,生日祝福
【生日祝福】征集生日祝福,https://task.epwk.com/558948/,5282,23,¥500,hongtao1547,￥ 500,￥499.66,2017/12/1,一个心爱的人2017年12月2号生日了，我想请大家帮我给她发条祝福短信。时间必须按我说的来，我希望在她生日的的时候能收到166个祝福。在这里谢谢大家了哈！并预祝大家新年快乐！给力！给力！1、时间：2017.12.2 (00:00-21：00)-发送时间2、短信内容：“Hi 亭亭！我是来自xx（城市）的xx（你的名字，不要求真实，有个就好)，我代表 文鸿韬 祝你生日快乐！ 自由发挥的祝福（最好有新意）也别太短....”3、她的手机号：【18358507880】4、审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图,任务编号：558948,"个人 |            
            那一片云","个人 |            
            雪冰乐总站","个人 |            
            那一片云","个人 |            
            那一片云","个人 |            
            浩浩荡荡","个人 |            
            那一片云","个人 |            
            浩浩荡荡",Rebeccaliah,"个人 |            
            一颗冰心",君家老五,500,生日祝福
