标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,
【其他网站】付费加群带分佣,https://task.epwk.com/1081392/,41人,1人,"¥1,200",圆满完成,,付费加群带分佣,直接雇佣￥ 1200,￥ 1200,任务编号：1081392,0-88.csv,,
【剪辑服务】短视频剪辑,https://task.epwk.com/1081410/,868人,1人,¥300,圆满完成,,短视频剪辑,直接雇佣￥ 300,￥ 300,任务编号：1081410,0-88.csv,,
【APP开发】商城app开发,https://task.epwk.com/1081633/,28人,1人,"¥20,806",圆满完成,,商城app开发,直接雇佣￥ 20806,￥ 20806,任务编号：1081633,0-88.csv,,
【游戏建模】人物建模4套,https://task.epwk.com/1081695/,408人,1人,"¥2,000",圆满完成,,人物建模4套,直接雇佣￥ 2000,￥ 2000,任务编号：1081695,0-88.csv,,
【APP开发】英日翻译软件,https://task.epwk.com/1082156/,35人,1人,"¥2,000",圆满完成,,英日翻译软件,直接雇佣￥ 2000,￥ 2000,任务编号：1082156,0-88.csv,,
【营销推广软文】游戏推广文章写作,https://task.epwk.com/1082223/,18人,1人,¥69,圆满完成,,游戏推广文章写作,直接雇佣￥ 69,￥ 69,任务编号：1082223,0-88.csv,,
【其他软件开发】桌面版监控程序二期,https://task.epwk.com/1082305/,71人,1人,"¥10,000",圆满完成,,桌面版监控程序二期,直接雇佣￥ 10000,￥ 10000,任务编号：1082305,0-88.csv,,
【产品推广】服务器续费+网站优化维护,https://task.epwk.com/1082402/,14人,1人,"¥8,012",圆满完成,,服务器续费+网站优化维护,直接雇佣￥ 8012,￥ 8012,任务编号：1082402,0-88.csv,,
【小程序开发】一个商城类小程序部署在腾讯云服务器上,https://task.epwk.com/1082423/,40人,1人,¥500,圆满完成,,一个商城类小程序部署在腾讯云服务器上,直接雇佣￥ 500,￥ 500,任务编号：1082423,0-88.csv,,
【动漫其他】动捕数据重定向,https://task.epwk.com/1082459/,27人,1人,"¥3,650",圆满完成,,动捕数据重定向,直接雇佣￥ 3650,￥ 3650,任务编号：1082459,0-88.csv,,
【小程序开发】洗车小程序项目,https://task.epwk.com/1082794/,43人,1人,"¥5,000",圆满完成,,洗车小程序项目,直接雇佣￥ 5000,￥ 5000,任务编号：1082794,0-88.csv,,
【VI设计】一套服装vi设计,https://task.epwk.com/1082819/,70人,1人,"¥3,388",圆满完成,,一套服装vi设计,直接雇佣￥ 3388,￥ 3388,任务编号：1082819,0-88.csv,,
【抖音视频】短视频渠道加粉短视频原创拍摄剪辑,https://task.epwk.com/1083011/,244人,1人,¥100,圆满完成,,短视频渠道加粉短视频原创拍摄剪辑,直接雇佣￥ 100,￥ 100,任务编号：1083011,0-88.csv,,
【小程序开发】好评返现小程序开发（尾款）,https://task.epwk.com/1083141/,23人,1人,"¥2,400",圆满完成,,好评返现小程序开发（尾款）,直接雇佣￥ 2400,￥ 2400,任务编号：1083141,0-88.csv,,
【动漫其他】动捕数据精修,https://task.epwk.com/1083214/,55人,1人,"¥10,500",圆满完成,,动捕数据精修,直接雇佣￥ 10500,￥ 10500,任务编号：1083214,0-88.csv,,
【APP开发】安卓原生工具开发一期,https://task.epwk.com/1083256/,26人,1人,"¥4,000",圆满完成,,安卓原生工具开发一期,直接雇佣￥ 4000,￥ 4000,任务编号：1083256,0-88.csv,,
【专业代笔】淘宝开放平台奇门资质接入文档,https://task.epwk.com/1083278/,121人,1人,"¥1,000",圆满完成,,淘宝开放平台奇门资质接入文档,直接雇佣￥ 1000,￥ 1000,任务编号：1083278,0-88.csv,,
【其他软件开发】chrome内核浏览器登录同步功能,https://task.epwk.com/1083313/,33人,1人,"¥5,000",圆满完成,,chrome内核浏览器登录同步功能,直接雇佣￥ 5000,￥ 5000,任务编号：1083313,0-88.csv,,
【APP开发】im系统二次开发,https://task.epwk.com/1083335/,47人,1人,"¥10,000",圆满完成,,im系统二次开发,直接雇佣￥ 10000,￥ 10000,任务编号：1083335,0-88.csv,,
【书籍装帧】期刊设计,https://task.epwk.com/1083520/,21人,1人,"¥7,680",圆满完成,,期刊设计,直接雇佣￥ 7680,￥ 7680,任务编号：1083520,0-88.csv,,
【店铺装修】喷绘，单页,https://task.epwk.com/1083762/,35人,1人,¥400,圆满完成,,喷绘，单页,直接雇佣￥ 400,￥ 400,任务编号：1083762,0-88.csv,,
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,https://task.epwk.com/1083926/,24人,1人,¥200,圆满完成,,详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,直接雇佣￥ 200,￥ 200,任务编号：1083926,0-88.csv,,
【创意短视频】拍摄100条梯凳短视频,https://task.epwk.com/1083968/,173人,1人,"¥1,500",圆满完成,,拍摄100条梯凳短视频,直接雇佣￥ 1500,￥ 1500,任务编号：1083968,0-88.csv,,
【页游/端游开发】游戏开发,https://task.epwk.com/1084039/,42人,1人,¥500,圆满完成,,游戏开发,直接雇佣￥ 500,￥ 500,任务编号：1084039,0-88.csv,,
【其他软件开发】4个需求开发,https://task.epwk.com/1084161/,122人,1人,"¥7,000",圆满完成,,4个需求开发,直接雇佣￥ 7000,￥ 7000,任务编号：1084161,0-88.csv,,
【动漫角色设计】人物建模,https://task.epwk.com/1084202/,194人,1人,"¥5,400",圆满完成,,人物建模,直接雇佣￥ 5400,￥ 5400,任务编号：1084202,0-88.csv,,
【小程序开发】订单信息服务平台开发,https://task.epwk.com/1084330/,62人,1人,"¥8,000",圆满完成,,订单信息服务平台开发,直接雇佣￥ 8000,￥ 8000,任务编号：1084330,0-88.csv,,
【抖音视频】二手闲置物品,https://task.epwk.com/1084384/,806人,1人,¥200,圆满完成,,二手闲置物品,直接雇佣￥ 200,￥ 200,任务编号：1084384,0-88.csv,,
【二维动画】15S动画制作,https://task.epwk.com/1084474/,297人,1人,¥750,圆满完成,,15S动画制作,直接雇佣￥ 750,￥ 750,任务编号：1084474,0-88.csv,,
【商业提案】智能监控系统商业计划书撰写,https://task.epwk.com/1084499/,548人,1人,"¥3,000",圆满完成,,智能监控系统商业计划书撰写,直接雇佣￥ 3000,￥ 3000,任务编号：1084499,0-88.csv,,
【APP开发】物联网app开发,https://task.epwk.com/1084567/,41人,1人,"¥18,123",圆满完成,,物联网app开发,直接雇佣￥ 18123,￥ 18123,任务编号：1084567,0-88.csv,,
【定制开发】网站定制开发,https://task.epwk.com/1084960/,27人,1人,¥700,圆满完成,,网站定制开发,直接雇佣￥ 700,￥ 700,任务编号：1084960,0-88.csv,,
【定制开发】任务编号：1084960新增需求,https://task.epwk.com/1085117/,16人,1人,¥300,圆满完成,,任务编号：1084960新增需求,直接雇佣￥ 300,￥ 300,任务编号：1085117,0-88.csv,,
【包装设计】调味品包装,https://task.epwk.com/1085214/,43人,1人,¥500,圆满完成,,调味品包装,直接雇佣￥ 500,￥ 500,任务编号：1085214,0-88.csv,,
【APP开发】flutter框架APP开发,https://task.epwk.com/1085239/,22人,1人,"¥1,000",圆满完成,,flutter框架APP开发,直接雇佣￥ 1000,￥ 1000,任务编号：1085239,0-88.csv,,
【其他工具软件】实现自动给短视频平台的团购商家发短信,https://task.epwk.com/1085300/,32人,1人,"¥4,000",圆满完成,,实现自动给短视频平台的团购商家发短信,直接雇佣￥ 4000,￥ 4000,任务编号：1085300,0-88.csv,,
【小程序开发】陪诊小程序开发,https://task.epwk.com/1085328/,47人,1人,"¥1,000",圆满完成,,陪诊小程序开发,直接雇佣￥ 1000,￥ 1000,任务编号：1085328,0-88.csv,,
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,https://task.epwk.com/1085368/,36人,1人,¥200,圆满完成,,详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,直接雇佣￥ 200,￥ 200,任务编号：1085368,0-88.csv,,
【APP开发】咨询类APP开发（一期四阶段）,https://task.epwk.com/1085385/,31人,1人,"¥8,000",圆满完成,,咨询类APP开发（一期四阶段）,直接雇佣￥ 8000,￥ 8000,任务编号：1085385,0-88.csv,,
【动漫其他】6个模型骨骼绑定，1个模型刷UE5布料,https://task.epwk.com/1085391/,57人,1人,"¥1,400",圆满完成,,6个模型骨骼绑定，1个模型刷UE5布料,直接雇佣￥ 1400,￥ 1400,任务编号：1085391,0-88.csv,,
【动漫其他】动捕数据精修,https://task.epwk.com/1085529/,35人,1人,"¥2,500",圆满完成,,动捕数据精修,直接雇佣￥ 2500,￥ 2500,任务编号：1085529,0-88.csv,,
【动漫角色设计】3d人物建模,https://task.epwk.com/1085532/,179人,1人,"¥5,000",圆满完成,,3d人物建模,直接雇佣￥ 5000,￥ 5000,任务编号：1085532,0-88.csv,,
【动漫角色设计】3d人物模块化建模设计,https://task.epwk.com/1085808/,174人,1人,"¥5,000",圆满完成,,3d人物模块化建模设计,直接雇佣￥ 5000,￥ 5000,任务编号：1085808,0-88.csv,,
【小程序开发】租赁小程序,https://task.epwk.com/1085952/,65人,1人,"¥5,000",圆满完成,,租赁小程序,直接雇佣￥ 5000,￥ 5000,任务编号：1085952,0-88.csv,,
【商城建设】网站修改,https://task.epwk.com/1086009/,56人,1人,¥300,圆满完成,,网站修改,直接雇佣￥ 300,￥ 300,任务编号：1086009,0-88.csv,,
【微信开发】同城服务公众号,https://task.epwk.com/1086035/,28人,1人,"¥20,000",圆满完成,,同城服务公众号,直接雇佣￥ 20000,￥ 20000,任务编号：1086035,0-88.csv,,
【网站二次开发】xunruicms提交表单加密,https://task.epwk.com/1086258/,25人,1人,¥400,圆满完成,,xunruicms提交表单加密,直接雇佣￥ 400,￥ 400,任务编号：1086258,0-88.csv,,
【小程序开发】扫码点餐二开定制,https://task.epwk.com/1086348/,52人,1人,"¥6,000",圆满完成,,扫码点餐二开定制,直接雇佣￥ 6000,￥ 6000,任务编号：1086348,0-88.csv,,
【交互设计】小程序原设计设计,https://task.epwk.com/1086498/,34人,1人,¥100,圆满完成,,小程序原设计设计,直接雇佣￥ 100,￥ 100,任务编号：1086498,0-88.csv,,
【小程序开发】微信查询小程序开发,https://task.epwk.com/1086520/,54人,1人,"¥4,000",圆满完成,,微信查询小程序开发,直接雇佣￥ 4000,￥ 4000,任务编号：1086520,0-88.csv,,
【店铺装修】海报设计,https://task.epwk.com/1086706/,109人,1人,"¥1,500",圆满完成,,海报设计,直接雇佣￥ 1500,￥ 1500,任务编号：1086706,0-88.csv,,
【二维动画】二维动画制作,https://task.epwk.com/1086819/,190人,1人,¥750,圆满完成,,二维动画制作,直接雇佣￥ 750,￥ 750,任务编号：1086819,0-88.csv,,
【APP界面设计】整套ui,https://task.epwk.com/1086833/,44人,1人,"¥1,500",圆满完成,,整套ui,直接雇佣￥ 1500,￥ 1500,任务编号：1086833,0-88.csv,,
【区块链应用】OKX价格提醒,https://task.epwk.com/1086876/,40人,1人,"¥3,250",圆满完成,,OKX价格提醒,直接雇佣￥ 3250,￥ 3250,任务编号：1086876,0-88.csv,,
【动漫角色设计】2个模块化男性角色建模,https://task.epwk.com/1086931/,275人,1人,"¥10,000",圆满完成,,2个模块化男性角色建模,直接雇佣￥ 10000,￥ 10000,任务编号：1086931,0-88.csv,,
【LOGO设计】品牌LOGO设计,https://task.epwk.com/1087060/,35人,1人,"¥4,280",圆满完成,,品牌LOGO设计,直接雇佣￥ 4280,￥ 4280,任务编号：1087060,0-88.csv,,
【效果图设计】餐饮空间设计,https://task.epwk.com/1087064/,163人,1人,"¥1,000",圆满完成,,餐饮空间设计,直接雇佣￥ 1000,￥ 1000,任务编号：1087064,0-88.csv,,
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,https://task.epwk.com/1087125/,94人,1人,"¥1,700",圆满完成,,详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,直接雇佣￥ 1700,￥ 1700,任务编号：1087125,0-88.csv,,
【APP界面设计】APP小程序软件启动页引导页整套UI界面设计,https://task.epwk.com/1087142/,74人,1人,"¥18,000",圆满完成,,APP小程序软件启动页引导页整套UI界面设计,直接雇佣￥ 18000,￥ 18000,任务编号：1087142,0-88.csv,,
【APP开发】商城app开发,https://task.epwk.com/1087173/,24人,1人,"¥31,345",圆满完成,,商城app开发,直接雇佣￥ 31345,￥ 31345,任务编号：1087173,0-88.csv,,
【项目管理软件】管理系统开发,https://task.epwk.com/1087399/,42人,1人,"¥38,000",圆满完成,,管理系统开发,直接雇佣￥ 38000,￥ 38000,任务编号：1087399,0-88.csv,,
【APP开发】flutter框架APP开发,https://task.epwk.com/1087436/,17人,1人,"¥1,500",圆满完成,,flutter框架APP开发,直接雇佣￥ 1500,￥ 1500,任务编号：1087436,0-88.csv,,
【企业官网】网站开发,https://task.epwk.com/1087485/,16人,1人,"¥2,000",圆满完成,,网站开发,直接雇佣￥ 2000,￥ 2000,任务编号：1087485,0-88.csv,,
【背景墙设计】文化墙设计服务,https://task.epwk.com/1087554/,127人,1人,¥800,圆满完成,,文化墙设计服务,直接雇佣￥ 800,￥ 800,任务编号：1087554,0-88.csv,,
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,https://task.epwk.com/1087657/,41人,1人,¥10,圆满完成,,PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,直接雇佣￥ 10,￥ 10,任务编号：1087657,0-88.csv,,
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,https://task.epwk.com/1087710/,21人,1人,¥10,圆满完成,,PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,直接雇佣￥ 10,￥ 10,任务编号：1087710,0-88.csv,,
【脚本开发】自动下单APP开发,https://task.epwk.com/1087715/,31人,1人,"¥3,300",圆满完成,,自动下单APP开发,直接雇佣￥ 3300,￥ 3300,任务编号：1087715,0-88.csv,,
【H5开发】商城平台系统开发,https://task.epwk.com/1087724/,76人,1人,"¥6,000",圆满完成,,商城平台系统开发,直接雇佣￥ 6000,￥ 6000,任务编号：1087724,0-88.csv,,
【动漫其他】骨骼绑定，动画位移清除等工作,https://task.epwk.com/1087734/,55人,1人,"¥3,900",圆满完成,,骨骼绑定，动画位移清除等工作,直接雇佣￥ 3900,￥ 3900,任务编号：1087734,0-88.csv,,
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,https://task.epwk.com/1087873/,31人,1人,¥10,圆满完成,,PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,直接雇佣￥ 10,￥ 10,任务编号：1087873,0-88.csv,,
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,https://task.epwk.com/1087879/,22人,1人,¥10,圆满完成,,PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,直接雇佣￥ 10,￥ 10,任务编号：1087879,0-88.csv,,
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,https://task.epwk.com/1087990/,21人,1人,¥10,圆满完成,,PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,直接雇佣￥ 10,￥ 10,任务编号：1087990,0-88.csv,,
【其他软件开发】支付二维码开发,https://task.epwk.com/1088090/,82人,1人,"¥11,000",圆满完成,,支付二维码开发,直接雇佣￥ 11000,￥ 11000,任务编号：1088090,0-88.csv,,
【餐饮】餐饮管理系统开发,https://task.epwk.com/1088197/,107人,1人,"¥3,000",圆满完成,,餐饮管理系统开发,直接雇佣￥ 3000,￥ 3000,任务编号：1088197,0-88.csv,,
【其他软件开发】im开发三期,https://task.epwk.com/1088203/,18人,1人,"¥4,000",圆满完成,,im开发三期,直接雇佣￥ 4000,￥ 4000,任务编号：1088203,0-88.csv,,
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,https://task.epwk.com/1088397/,30人,1人,¥10,圆满完成,,PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,直接雇佣￥ 10,￥ 10,任务编号：1088397,0-88.csv,,
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,https://task.epwk.com/1088579/,34人,1人,¥10,圆满完成,,PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,直接雇佣￥ 10,￥ 10,任务编号：1088579,0-88.csv,,
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,https://task.epwk.com/1088688/,1485人,1人,¥10,工作中,,PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,直接雇佣￥ 10,￥ 10,任务编号：1088688,0-88.csv,,
【排版设计】刊物排版设计,https://task.epwk.com/1088832/,39人,1人,"¥6,180",圆满完成,,刊物排版设计,直接雇佣￥ 6180,￥ 6180,任务编号：1088832,0-88.csv,,
【创意短视频】视频1分钟,https://task.epwk.com/1088906/,206人,1人,¥200,圆满完成,,视频1分钟,直接雇佣￥ 200,￥ 200,任务编号：1088906,0-88.csv,,
【3D建模】模型,https://task.epwk.com/1088940/,319人,1人,¥10,圆满完成,,模型,直接雇佣￥ 10,￥ 10,任务编号：1088940,0-88.csv,,
【动漫其他】建筑物模块化拆分,https://task.epwk.com/1089079/,58人,1人,"¥3,500",圆满完成,,建筑物模块化拆分,直接雇佣￥ 3500,￥ 3500,任务编号：1089079,0-88.csv,,
【图像识别】AGV小车,https://task.epwk.com/1089088/,470人,1人,¥10,待验收,,AGV小车,直接雇佣￥ 10,￥ 10,任务编号：1089088,0-88.csv,,
【H5开发】手机页面开发,https://task.epwk.com/1089163/,43人,1人,"¥1,000",圆满完成,,手机页面开发,直接雇佣￥ 1000,￥ 1000,任务编号：1089163,0-88.csv,,
【动漫其他】3d模型处理工作补充,https://task.epwk.com/1089224/,163人,1人,"¥6,400",圆满完成,,3d模型处理工作补充,直接雇佣￥ 6400,￥ 6400,任务编号：1089224,0-88.csv,,
【H5开发】模板站扒站仿站,https://task.epwk.com/1089261/,38人,1人,"¥1,000",圆满完成,,模板站扒站仿站,直接雇佣￥ 1000,￥ 1000,任务编号：1089261,0-88.csv,,
【其他软件开发】冻结孔数据演示系统,https://task.epwk.com/1089501/,31人,1人,"¥4,500",圆满完成,,冻结孔数据演示系统,直接雇佣￥ 4500,￥ 4500,任务编号：1089501,0-88.csv,,
【包装设计】包装设计,https://task.epwk.com/1089550/,30人,1人,"¥6,000",圆满完成,,包装设计,直接雇佣￥ 6000,￥ 6000,任务编号：1089550,0-88.csv,,
【动漫其他】鞭子动画数据处理,https://task.epwk.com/1089639/,82人,1人,"¥1,500",圆满完成,,鞭子动画数据处理,直接雇佣￥ 1500,￥ 1500,任务编号：1089639,0-88.csv,,
【脚本开发】要做2个客户端和一个链接端，1个客户端用于生,https://task.epwk.com/1089698/,24人,1人,"¥1,500",圆满完成,,要做2个客户端和一个链接端，1个客户端用于生,直接雇佣￥ 1500,￥ 1500,任务编号：1089698,0-88.csv,,
【其他短视频】1分钟视频,https://task.epwk.com/1089757/,382人,1人,¥200,圆满完成,,1分钟视频,直接雇佣￥ 200,￥ 200,任务编号：1089757,0-88.csv,,
【书籍装帧】一本书装帧排版设计,https://task.epwk.com/1089871/,38人,1人,"¥9,600",圆满完成,,一本书装帧排版设计,直接雇佣￥ 9600,￥ 9600,任务编号：1089871,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1089903/,266人,1人,"¥2,000",待验收,,LOGO设计,直接雇佣￥ 2000,￥ 2000,任务编号：1089903,0-88.csv,,
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商设计,https://task.epwk.com/1090350/,67人,1人,"¥1,350",圆满完成,,详情页设计淘宝短视频平台天猫美团亚马逊电商设计,直接雇佣￥ 1350,￥ 1350,任务编号：1090350,0-88.csv,,
【H5开发】实现汇付银联正扫和汇付个人钱包功能,https://task.epwk.com/1090396/,28人,1人,"¥2,000",圆满完成,,实现汇付银联正扫和汇付个人钱包功能,直接雇佣￥ 2000,￥ 2000,任务编号：1090396,0-88.csv,,
【包装设计】产品的包装设计 确定合作者,https://task.epwk.com/1090397/,96人,1人,"¥3,500",圆满完成,,产品的包装设计 确定合作者,直接雇佣￥ 3500,￥ 3500,任务编号：1090397,0-88.csv,,
【定制开发】信息系统开发,https://task.epwk.com/1090411/,34人,1人,"¥5,000",圆满完成,,信息系统开发,直接雇佣￥ 5000,￥ 5000,任务编号：1090411,0-88.csv,,
【定制开发】信息系统开发,https://task.epwk.com/1090412/,68人,1人,"¥4,800",圆满完成,,信息系统开发,直接雇佣￥ 4800,￥ 4800,任务编号：1090412,0-88.csv,,
【网站二次开发】网站二次开发,https://task.epwk.com/1090434/,33人,1人,"¥1,500",圆满完成,,网站二次开发,直接雇佣￥ 1500,￥ 1500,任务编号：1090434,0-88.csv,,
【动漫其他】模型处理,https://task.epwk.com/1090444/,417人,1人,"¥7,000",圆满完成,,模型处理,直接雇佣￥ 7000,￥ 7000,任务编号：1090444,0-88.csv,,
【其他软件开发】农机操作界面开发,https://task.epwk.com/1090481/,48人,1人,"¥6,900",圆满完成,,农机操作界面开发,直接雇佣￥ 6900,￥ 6900,任务编号：1090481,0-88.csv,,
【可视化】数据处理软件开发,https://task.epwk.com/1090543/,134人,1人,"¥5,000",圆满完成,,数据处理软件开发,直接雇佣￥ 5000,￥ 5000,任务编号：1090543,0-88.csv,,
【其他工具软件】alipay_sdk转h5支付链接,https://task.epwk.com/1090581/,18人,1人,"¥2,800",圆满完成,,alipay_sdk转h5支付链接,直接雇佣￥ 2800,￥ 2800,任务编号：1090581,0-88.csv,,
【其他短视频】短视频,https://task.epwk.com/1090686/,265人,1人,¥200,圆满完成,,短视频,直接雇佣￥ 200,￥ 200,任务编号：1090686,0-88.csv,,
【LOGO设计】菜单设计，出图快的,https://task.epwk.com/1090687/,401人,1人,¥30,圆满完成,,菜单设计，出图快的,直接雇佣￥ 30,￥ 30,任务编号：1090687,0-88.csv,,
【二维动画】新增,https://task.epwk.com/1090719/,65人,1人,¥500,圆满完成,,新增,直接雇佣￥ 500,￥ 500,任务编号：1090719,0-88.csv,,
【H5开发】商城平台系统开发,https://task.epwk.com/1090739/,31人,1人,"¥6,000",圆满完成,,商城平台系统开发,直接雇佣￥ 6000,￥ 6000,任务编号：1090739,0-88.csv,,
【响应式网站】官网开发,https://task.epwk.com/1090815/,35人,1人,"¥1,600",圆满完成,,官网开发,直接雇佣￥ 1600,￥ 1600,任务编号：1090815,0-88.csv,,
【影视拍摄】短视频（拍摄/剪辑）,https://task.epwk.com/1090847/,86人,1人,¥500,圆满完成,,短视频（拍摄/剪辑）,直接雇佣￥ 500,￥ 500,任务编号：1090847,0-88.csv,,
【宣传册设计】排版画册平面广告海报展板单页排版设计,https://task.epwk.com/1090896/,55人,1人,"¥1,100",圆满完成,,排版画册平面广告海报展板单页排版设计,直接雇佣￥ 1100,￥ 1100,任务编号：1090896,0-88.csv,,
【网站二次开发】网站新增修改,https://task.epwk.com/1090910/,411人,1人,"¥14,900",圆满完成,,网站新增修改,直接雇佣￥ 14900,￥ 14900,任务编号：1090910,0-88.csv,,
【API接口】爬虫爬数据,https://task.epwk.com/1090944/,177人,1人,"¥8,000",圆满完成,,爬虫爬数据,直接雇佣￥ 8000,￥ 8000,任务编号：1090944,0-88.csv,,
【数据分析】矿井通风网络分析和算法实现,https://task.epwk.com/1090970/,56人,1人,"¥2,500",圆满完成,,矿井通风网络分析和算法实现,直接雇佣￥ 2500,￥ 2500,任务编号：1090970,0-88.csv,,
【剪辑服务】视频内容剪辑,https://task.epwk.com/1091127/,271人,1人,¥68,圆满完成,,视频内容剪辑,直接雇佣￥ 68,￥ 68,任务编号：1091127,0-88.csv,,
【商城建设】小程序商城开发,https://task.epwk.com/1091211/,29人,1人,"¥4,180",圆满完成,,小程序商城开发,直接雇佣￥ 4180,￥ 4180,任务编号：1091211,0-88.csv,,
【自然语音处理】基于RAG的大模型训练,https://task.epwk.com/1091240/,158人,1人,"¥15,000",圆满完成,,基于RAG的大模型训练,直接雇佣￥ 15000,￥ 15000,任务编号：1091240,0-88.csv,,
【创意短视频】短视频（拍摄/剪辑）,https://task.epwk.com/1091365/,145人,1人,¥500,圆满完成,,短视频（拍摄/剪辑）,直接雇佣￥ 500,￥ 500,任务编号：1091365,0-88.csv,,
【其他短视频】1分钟短视频,https://task.epwk.com/1091520/,499人,1人,¥200,圆满完成,,1分钟短视频,直接雇佣￥ 200,￥ 200,任务编号：1091520,0-88.csv,,
【书籍装帧】装帧排版设计,https://task.epwk.com/1091564/,19人,1人,"¥5,600",圆满完成,,装帧排版设计,直接雇佣￥ 5600,￥ 5600,任务编号：1091564,0-88.csv,,
【APP开发】商城app开发,https://task.epwk.com/1091643/,21人,1人,"¥15,105",圆满完成,,商城app开发,直接雇佣￥ 15105,￥ 15105,任务编号：1091643,0-88.csv,,
【LOGO设计】服装品牌设计,https://task.epwk.com/1091772/,16人,1人,"¥4,990",圆满完成,,服装品牌设计,直接雇佣￥ 4990,￥ 4990,任务编号：1091772,0-88.csv,,
【包装设计】系列食品包装设计,https://task.epwk.com/1091775/,23人,1人,"¥5,280",圆满完成,,系列食品包装设计,直接雇佣￥ 5280,￥ 5280,任务编号：1091775,0-88.csv,,
【APP开发】聊天圈子APP开发,https://task.epwk.com/1091807/,39人,1人,"¥5,000",圆满完成,,聊天圈子APP开发,直接雇佣￥ 5000,￥ 5000,任务编号：1091807,0-88.csv,,
【LOGO设计】企业外墙装饰设计,https://task.epwk.com/1092106/,64人,1人,¥100,圆满完成,,企业外墙装饰设计,直接雇佣￥ 100,￥ 100,任务编号：1092106,0-88.csv,,
【企业宣传片】影视制作,https://task.epwk.com/1092168/,131人,1人,¥200,圆满完成,,影视制作,直接雇佣￥ 200,￥ 200,任务编号：1092168,0-88.csv,,
【VI设计】名优土特产品牌设计,https://task.epwk.com/1092250/,29人,1人,"¥9,980",圆满完成,,名优土特产品牌设计,直接雇佣￥ 9980,￥ 9980,任务编号：1092250,0-88.csv,,
【影视拍摄】影视制作 确定合作者,https://task.epwk.com/1092447/,45人,1人,¥300,圆满完成,,影视制作 确定合作者,直接雇佣￥ 300,￥ 300,任务编号：1092447,0-88.csv,,
【宣传策划】游戏推广文章写作,https://task.epwk.com/1092567/,44人,1人,¥80,圆满完成,,游戏推广文章写作,直接雇佣￥ 80,￥ 80,任务编号：1092567,0-88.csv,,
【APP开发】笔记本散热器机身屏幕UI设计,https://task.epwk.com/1092574/,20人,1人,"¥1,800",圆满完成,,笔记本散热器机身屏幕UI设计,直接雇佣￥ 1800,￥ 1800,任务编号：1092574,0-88.csv,,
【手游开发】软件开发,https://task.epwk.com/1092699/,42人,1人,"¥25,000",圆满完成,,软件开发,直接雇佣￥ 25000,￥ 25000,任务编号：1092699,0-88.csv,,
【APP开发】咨询类APP开发（一期五阶段）,https://task.epwk.com/1092704/,34人,1人,"¥5,000",圆满完成,,咨询类APP开发（一期五阶段）,直接雇佣￥ 5000,￥ 5000,任务编号：1092704,0-88.csv,,
【三维动画】企业logo演绎动画,https://task.epwk.com/1092923/,68人,1人,"¥4,492",圆满完成,,企业logo演绎动画,直接雇佣￥ 4492,￥ 4492,任务编号：1092923,0-88.csv,,
【脚本开发】短视频渠道代运营转码,https://task.epwk.com/1092985/,84人,1人,"¥1,200",圆满完成,,短视频渠道代运营转码,直接雇佣￥ 1200,￥ 1200,任务编号：1092985,0-88.csv,,
【创意短视频】1分钟短视频,https://task.epwk.com/1093064/,312人,1人,¥200,圆满完成,,1分钟短视频,直接雇佣￥ 200,￥ 200,任务编号：1093064,0-88.csv,,
【商城建设】服务器环境搭建与项目部署,https://task.epwk.com/1093179/,66人,1人,"¥3,000",圆满完成,,服务器环境搭建与项目部署,直接雇佣￥ 3000,￥ 3000,任务编号：1093179,0-88.csv,,
【画册设计】纪念册设计,https://task.epwk.com/1093293/,37人,1人,"¥6,120",圆满完成,,纪念册设计,直接雇佣￥ 6120,￥ 6120,任务编号：1093293,0-88.csv,,
