标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,能力标签,订单编号后缀,需求方,设计师,知识
【LOGO设计】上海公司logo和VI设计,https://task.epwk.com/327618/,148人,1人,¥613,圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,上海公司logo和VI设计,直接雇佣￥ 613,￥ 613,任务编号：327618,2900-3152.csv,,,,,,,,LOGO设计,327618,A327618,B327618,"上海公司, logo, VI设计"
【创意短视频】全国联动活动动画制作。“翼场盛宴”充值送礼活动,https://task.epwk.com/327623/,301人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,全国联动活动动画制作。“翼场盛宴”充值送礼活动,直接雇佣￥ 5000,￥ 5000,任务编号：327623,2900-3152.csv,,,,,,,,创意短视频,327623,A327623,B327623,"全国联动活动, 动画制作, 充值送礼活动"
【电商网站】要求电商网站开发——微信商城网站,https://task.epwk.com/327628/,203人,1人,"¥7,000",圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,要求电商网站开发——微信商城网站,直接雇佣￥ 7000,￥ 7000,任务编号：327628,2900-3152.csv,,,,,,,,电商网站,327628,A327628,B327628,"电商网站, 微信商城"
软件,https://task.epwk.com/327630/,136人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,软件,直接雇佣￥ 3000,￥ 3000,任务编号：327630,2900-3152.csv,,,,,,,,,327630,A327630,B327630,软件
米高酒店画册设计30p,https://task.epwk.com/327648/,161人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,米高酒店画册设计30p,直接雇佣￥ 4000,￥ 4000,任务编号：327648,2900-3152.csv,,,,,,,,,327648,A327648,B327648,"米高酒店, 画册设计, 30页"
【企业官网】根据模板改建一个网站，包含资料上传及部分图片美工,https://task.epwk.com/327650/,134人,1人,¥700,圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,根据模板改建一个网站，包含资料上传及部分图片美工,直接雇佣￥ 700,￥ 700,任务编号：327650,2900-3152.csv,,,,,,,,企业官网,327650,A327650,B327650,"网站改建, 资料上传, 图片美工"
高端大气 精品蛋糕盒设计,https://task.epwk.com/327652/,395人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,高端大气 精品蛋糕盒设计,直接雇佣￥ 2000,￥ 2000,任务编号：327652,2900-3152.csv,,,,,,,,,327652,A327652,B327652,"高端大气, 精品蛋糕盒, 设计"
【小程序开发】java数据库连接配置信息加解密设计,https://task.epwk.com/327667/,464人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,java数据库连接配置信息加解密设计,直接雇佣￥ 1000,￥ 1000,任务编号：327667,2900-3152.csv,,,,,,,,小程序开发,327667,A327667,B327667,"数据库连接, 加解密设计, 信息保护"
【海报设计】海报设计,https://task.epwk.com/327668/,176人,1人,¥300,圆满完成,https://task.epwk.com/page3119.html?m=6&o=7,海报设计,直接雇佣￥ 300,￥ 300,任务编号：327668,2900-3152.csv,,,,,,,,海报设计,327668,A327668,B327668,海报设计
【LOGO设计】设计有机农产品“梦想”LOGO商标,https://task.epwk.com/327671/,685人,1人,¥600,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,设计有机农产品“梦想”LOGO商标,直接雇佣￥ 600,￥ 600,任务编号：327671,2900-3152.csv,,,,,,,,LOGO设计,327671,A327671,B327671,"有机农产品, 梦想, LOGO商标"
【手机网站】仿个点卡交易wap网站,https://task.epwk.com/327681/,344人,1人,"¥1,920",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,仿个点卡交易wap网站,直接雇佣￥ 1920,￥ 1920,任务编号：327681,2900-3152.csv,,,,,,,,手机网站,327681,A327681,B327681,"点卡交易, WAP网站, 网站开发"
网站开发建设,https://task.epwk.com/327684/,84人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,网站开发建设,直接雇佣￥ 20000,￥ 20000,任务编号：327684,2900-3152.csv,,,,,,,,,327684,A327684,B327684,"网站开发, 网站建设"
商城开发增加功能费用,https://task.epwk.com/327687/,251人,1人,"¥40,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,商城开发增加功能费用,直接雇佣￥ 40000,￥ 40000,任务编号：327687,2900-3152.csv,,,,,,,,,327687,A327687,B327687,"商城开发, 功能增加"
【广告设计】自创品牌服装整套VI设计,https://task.epwk.com/327694/,494人,1人,¥800,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,自创品牌服装整套VI设计,直接雇佣￥ 800,￥ 800,任务编号：327694,2900-3152.csv,,,,,,,,广告设计,327694,A327694,B327694,"自创品牌, 服装, VI设计"
【名片设计】公司所有人的名片,https://task.epwk.com/327697/,1068人,1人,"¥2,500",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,公司所有人的名片,直接雇佣￥ 2500,￥ 2500,任务编号：327697,2900-3152.csv,,,,,,,,名片设计,327697,A327697,B327697,"公司名片, 信息展示"
【电商网站】定制一个电子商务网站,https://task.epwk.com/327700/,228人,1人,"¥1,600",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,定制一个电子商务网站,直接雇佣￥ 1600,￥ 1600,任务编号：327700,2900-3152.csv,,,,,,,,电商网站,327700,A327700,B327700,"电子商务网站, 定制设计"
【企业官网】需要一份毕业设计,https://task.epwk.com/327701/,505人,1人,¥625,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,需要一份毕业设计,直接雇佣￥ 625,￥ 625,任务编号：327701,2900-3152.csv,,,,,,,,企业官网,327701,A327701,B327701,"毕业设计, 任务需求"
【宣传册设计】vicook征集公司宣传册设计,https://task.epwk.com/327707/,378人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,vicook征集公司宣传册设计,直接雇佣￥ 1000,￥ 1000,任务编号：327707,2900-3152.csv,,,,,,,,宣传册设计,327707,A327707,B327707,"公司宣传册, 设计"
企业标志提升设计,https://task.epwk.com/327711/,94人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,企业标志提升设计,直接雇佣￥ 2000,￥ 2000,任务编号：327711,2900-3152.csv,,,,,,,,,327711,A327711,B327711,"企业标志, 设计提升"
一个足彩数据采集存储的桌面软件,https://task.epwk.com/327714/,734人,1人,"¥7,200",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,一个足彩数据采集存储的桌面软件,直接雇佣￥ 7200,￥ 7200,任务编号：327714,2900-3152.csv,,,,,,,,,327714,A327714,B327714,"足彩数据, 数据采集, 桌面软件"
需求书面沟通,https://task.epwk.com/327718/,394人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,需求书面沟通,直接雇佣￥ 1500,￥ 1500,任务编号：327718,2900-3152.csv,,,,,,,,,327718,A327718,B327718,书面沟通
【店铺装修】淘宝店铺装修及宝贝上架描述,https://task.epwk.com/327725/,315人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,淘宝店铺装修及宝贝上架描述,直接雇佣￥ 1000,￥ 1000,任务编号：327725,2900-3152.csv,,,,,,,,店铺装修,327725,A327725,B327725,"淘宝店铺装修, 宝贝上架描述"
铁罐，茶桶，手提，标签~,https://task.epwk.com/327732/,317人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,铁罐，茶桶，手提，标签~,直接雇佣￥ 2000,￥ 2000,任务编号：327732,2900-3152.csv,,,,,,,,,327732,A327732,B327732,"铁罐, 茶桶, 手提, 标签"
【安全服务】保险公司**库管理,https://task.epwk.com/327736/,1563人,1人,¥950,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,保险公司**库管理,直接雇佣￥ 950,￥ 950,任务编号：327736,2900-3152.csv,,,,,,,,安全服务,327736,A327736,B327736,"保险公司, 库管理"
【小程序开发】定制网站在线交易管理系统（一期）,https://task.epwk.com/327744/,307人,1人,"¥8,366",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,定制网站在线交易管理系统（一期）,直接雇佣￥ 8366,￥ 8366,任务编号：327744,2900-3152.csv,,,,,,,,小程序开发,327744,A327744,B327744,"定制网站, 在线交易, 系统管理"
【小程序开发】某书刊印刷厂标签远程打印网页版设计开发要求,https://task.epwk.com/327750/,253人,1人,"¥3,500",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,某书刊印刷厂标签远程打印网页版设计开发要求,直接雇佣￥ 3500,￥ 3500,任务编号：327750,2900-3152.csv,,,,,,,,小程序开发,327750,A327750,B327750,"书刊印刷厂, 标签打印, 网页版设计"
标准色彩展示,https://task.epwk.com/327753/,82人,1人,¥500,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,标准色彩展示,直接雇佣￥ 500,￥ 500,任务编号：327753,2900-3152.csv,,,,,,,,,327753,A327753,B327753,"标准色彩, 展示"
【FLASH制作】活动主题为“翼场盛宴”的充值特卖活动三期,https://task.epwk.com/327755/,500人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,活动主题为“翼场盛宴”的充值特卖活动三期,直接雇佣￥ 5000,￥ 5000,任务编号：327755,2900-3152.csv,,,,,,,,FLASH制作,327755,A327755,B327755,"翼场盛宴, 充值特卖, 活动三期"
页面切图,https://task.epwk.com/327756/,123人,1人,¥300,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,页面切图,直接雇佣￥ 300,￥ 300,任务编号：327756,2900-3152.csv,,,,,,,,,327756,A327756,B327756,"页面切图, 图片处理, 网页设计"
【其他软件开发】微信商城开发,https://task.epwk.com/327760/,342人,1人,"¥7,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,微信商城开发,直接雇佣￥ 7000,￥ 7000,任务编号：327760,2900-3152.csv,,,,,,,,其他软件开发,327760,A327760,B327760,"微信商城, 开发"
【其他工业设计】单反相机改良,https://task.epwk.com/327761/,1612人,1人,¥400,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,单反相机改良,直接雇佣￥ 400,￥ 400,任务编号：327761,2900-3152.csv,,,,,,,,其他工业设计,327761,A327761,B327761,"单反相机, 改良设计"
背景色,https://task.epwk.com/327769/,72人,1人,¥500,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,背景色,直接雇佣￥ 500,￥ 500,任务编号：327769,2900-3152.csv,,,,,,,,,327769,A327769,B327769,背景色
产品三折页设计,https://task.epwk.com/327807/,165人,1人,¥800,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,产品三折页设计,直接雇佣￥ 800,￥ 800,任务编号：327807,2900-3152.csv,,,,,,,,,327807,A327807,B327807,"产品三折页, 设计"
【网站UI设计】儿童版页面设计,https://task.epwk.com/327811/,172人,1人,¥500,圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,儿童版页面设计,直接雇佣￥ 500,￥ 500,任务编号：327811,2900-3152.csv,,,,,,,,网站UI设计,327811,A327811,B327811,"儿童页面, 页面设计"
【LOGO设计】锦尚佳漆logo设计,https://task.epwk.com/327817/,356人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,锦尚佳漆logo设计,直接雇佣￥ 4000,￥ 4000,任务编号：327817,2900-3152.csv,,,,,,,,LOGO设计,327817,A327817,B327817,"锦尚佳漆, logo设计"
【小程序开发】App支付接口开发+IM模块,https://task.epwk.com/327835/,339人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,App支付接口开发+IM模块,直接雇佣￥ 20000,￥ 20000,任务编号：327835,2900-3152.csv,,,,,,,,小程序开发,327835,A327835,B327835,App支付接口
设计LOGO和VI设计,https://task.epwk.com/327836/,114人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,设计LOGO和VI设计,直接雇佣￥ 1500,￥ 1500,任务编号：327836,2900-3152.csv,,,,,,,,,327836,A327836,B327836,"LOGO, VI设计"
【海报设计】婚纱摄影精品馆logo设计,https://task.epwk.com/327849/,429人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,婚纱摄影精品馆logo设计,直接雇佣￥ 5000,￥ 5000,任务编号：327849,2900-3152.csv,,,,,,,,海报设计,327849,A327849,B327849,"婚纱摄影, logo设计"
【小程序开发】酒类产品代理商平台-app,https://task.epwk.com/327872/,305人,1人,"¥24,000",圆满完成,https://task.epwk.com/page3118.html?m=6&o=7,酒类产品代理商平台-app,直接雇佣￥ 24000,￥ 24000,任务编号：327872,2900-3152.csv,,,,,,,,小程序开发,327872,A327872,B327872,"酒类代理, 代理商平台, app"
简约风格画册设计,https://task.epwk.com/327880/,109人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,简约风格画册设计,直接雇佣￥ 1800,￥ 1800,任务编号：327880,2900-3152.csv,,,,,,,,,327880,A327880,B327880,"简约风格, 画册设计"
手机APP开发,https://task.epwk.com/327904/,119人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,手机APP开发,直接雇佣￥ 10000,￥ 10000,任务编号：327904,2900-3152.csv,,,,,,,,,327904,A327904,B327904,"手机APP, 开发"
外卖、购物app开发,https://task.epwk.com/327905/,114人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,外卖、购物app开发,直接雇佣￥ 20000,￥ 20000,任务编号：327905,2900-3152.csv,,,,,,,,,327905,A327905,B327905,"外卖 app, 购物 app"
【LOGO设计】做一个电商平台的LOGO,https://task.epwk.com/327910/,389人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,做一个电商平台的LOGO,直接雇佣￥ 2000,￥ 2000,任务编号：327910,2900-3152.csv,,,,,,,,LOGO设计,327910,A327910,B327910,"电商平台, logo"
【FLASH制作】电商广告动画,https://task.epwk.com/327912/,597人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,电商广告动画,直接雇佣￥ 10000,￥ 10000,任务编号：327912,2900-3152.csv,,,,,,,,FLASH制作,327912,A327912,B327912,"电商广告, 动画"
网站建设第二期,https://task.epwk.com/327914/,91人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,网站建设第二期,直接雇佣￥ 20000,￥ 20000,任务编号：327914,2900-3152.csv,,,,,,,,,327914,A327914,B327914,"网站建设, 第二期"
150复式楼房,https://task.epwk.com/327917/,110人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,150复式楼房,直接雇佣￥ 2000,￥ 2000,任务编号：327917,2900-3152.csv,,,,,,,,,327917,A327917,B327917,复式楼房
150复式楼房,https://task.epwk.com/327919/,119人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,150复式楼房,直接雇佣￥ 2000,￥ 2000,任务编号：327919,2900-3152.csv,,,,,,,,,327919,A327919,B327919,复式楼房
150复式楼房,https://task.epwk.com/327920/,99人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,150复式楼房,直接雇佣￥ 1500,￥ 1500,任务编号：327920,2900-3152.csv,,,,,,,,,327920,A327920,B327920,复式楼房
企业网站开发第二期,https://task.epwk.com/327924/,114人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,企业网站开发第二期,直接雇佣￥ 2000,￥ 2000,任务编号：327924,2900-3152.csv,,,,,,,,,327924,A327924,B327924,"企业网站, 网站开发, 第二期"
【网站UI设计】网站设计家后台炒作,https://task.epwk.com/327930/,159人,1人,"¥2,600",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,网站设计家后台炒作,直接雇佣￥ 2600,￥ 2600,任务编号：327930,2900-3152.csv,,,,,,,,网站UI设计,327930,A327930,B327930,"网站设计, 后台系统, 炒作"
【网站UI设计】网站设计尾款,https://task.epwk.com/327931/,196人,1人,"¥23,400",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,网站设计尾款,直接雇佣￥ 23400,￥ 23400,任务编号：327931,2900-3152.csv,,,,,,,,网站UI设计,327931,A327931,B327931,"网站设计, 尾款"
搜集上传资料,https://task.epwk.com/327945/,68人,1人,¥269,圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,搜集上传资料,直接雇佣￥ 269,￥ 269,任务编号：327945,2900-3152.csv,,,,,,,,,327945,A327945,B327945,"资料搜集, 资料上传"
购买交友网站代码,https://task.epwk.com/327960/,339人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,购买交友网站代码,直接雇佣￥ 1000,￥ 1000,任务编号：327960,2900-3152.csv,,,,,,,,,327960,A327960,B327960,"交友网站, 代码购买"
【电商网站】电商网站开发,https://task.epwk.com/327961/,175人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,电商网站开发,直接雇佣￥ 20000,￥ 20000,任务编号：327961,2900-3152.csv,,,,,,,,电商网站,327961,A327961,B327961,"电商网站, 网站开发"
【卡通形象设计】熊、狗、猫、兔里任选一个形象进行设计，用于汽车头枕~,https://task.epwk.com/327962/,323人,1人,¥200,圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,熊、狗、猫、兔里任选一个形象进行设计，用于汽车头枕~,直接雇佣￥ 200,￥ 200,任务编号：327962,2900-3152.csv,,,,,,,,卡通形象设计,327962,A327962,B327962,"汽车头枕, 动物形象设计"
【LOGO设计】LOGO颜色修改+名片设计,https://task.epwk.com/327965/,196人,1人,¥300,圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,LOGO颜色修改+名片设计,直接雇佣￥ 300,￥ 300,任务编号：327965,2900-3152.csv,,,,,,,,LOGO设计,327965,A327965,B327965,"LOGO颜色, 名片设计"
服装商标设计，要新颖，靓丽,https://task.epwk.com/327974/,132人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,服装商标设计，要新颖，靓丽,直接雇佣￥ 1800,￥ 1800,任务编号：327974,2900-3152.csv,,,,,,,,,327974,A327974,B327974,"服装商标, 新颖设计, 靓丽设计"
服装海报设计，要创意,https://task.epwk.com/327976/,245人,1人,¥800,圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,服装海报设计，要创意,直接雇佣￥ 800,￥ 800,任务编号：327976,2900-3152.csv,,,,,,,,,327976,A327976,B327976,"服装海报, 创意设计"
DM单页设计,https://task.epwk.com/327977/,303人,1人,¥400,圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,DM单页设计,直接雇佣￥ 400,￥ 400,任务编号：327977,2900-3152.csv,,,,,,,,,327977,A327977,B327977,"DM单页, 设计"
招牌设计,https://task.epwk.com/327978/,127人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,招牌设计,直接雇佣￥ 1500,￥ 1500,任务编号：327978,2900-3152.csv,,,,,,,,,327978,A327978,B327978,招牌设计
背景墙设计,https://task.epwk.com/327980/,181人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,背景墙设计,直接雇佣￥ 1500,￥ 1500,任务编号：327980,2900-3152.csv,,,,,,,,,327980,A327980,B327980,"背景墙, 设计"
在线游戏用户管理系统开发第二阶段 步骤 A,https://task.epwk.com/327989/,131人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,在线游戏用户管理系统开发第二阶段 步骤 A,直接雇佣￥ 10000,￥ 10000,任务编号：327989,2900-3152.csv,,,,,,,,,327989,A327989,B327989,"在线游戏, 用户管理, 系统开发"
Android开发第三期尾款,https://task.epwk.com/327990/,151人,1人,"¥24,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,Android开发第三期尾款,直接雇佣￥ 24000,￥ 24000,任务编号：327990,2900-3152.csv,,,,,,,,,327990,A327990,B327990,"Android开发, 尾款"
做一个电子商务网站,https://task.epwk.com/327993/,118人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,做一个电子商务网站,直接雇佣￥ 2000,￥ 2000,任务编号：327993,2900-3152.csv,,,,,,,,,327993,A327993,B327993,"电子商务网站, 网站设计"
开发一个新闻类App,https://task.epwk.com/328001/,484人,1人,"¥50,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,开发一个新闻类App,直接雇佣￥ 50000,￥ 50000,任务编号：328001,2900-3152.csv,,,,,,,,,328001,A328001,B328001,"新闻类App, App开发"
网站开发,https://task.epwk.com/328004/,105人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,网站开发,直接雇佣￥ 10000,￥ 10000,任务编号：328004,2900-3152.csv,,,,,,,,,328004,A328004,B328004,网站开发
【小程序开发】机场三字代码查询功能开发,https://task.epwk.com/328009/,190人,1人,¥380,圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,机场三字代码查询功能开发,直接雇佣￥ 380,￥ 380,任务编号：328009,2900-3152.csv,,,,,,,,小程序开发,328009,A328009,B328009,"机场三字代码, 功能开发"
【VI设计】VI设计,https://task.epwk.com/328013/,219人,1人,"¥6,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,VI设计,直接雇佣￥ 6000,￥ 6000,任务编号：328013,2900-3152.csv,,,,,,,,VI设计,328013,A328013,B328013,VI设计
企业展示网站开发,https://task.epwk.com/328020/,108人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3117.html?m=6&o=7,企业展示网站开发,直接雇佣￥ 10000,￥ 10000,任务编号：328020,2900-3152.csv,,,,,,,,,328020,A328020,B328020,"企业展示网站, 网站开发"
画一个漫画形象,https://task.epwk.com/328051/,158人,1人,¥200,圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,画一个漫画形象,直接雇佣￥ 200,￥ 200,任务编号：328051,2900-3152.csv,,,,,,,,,328051,A328051,B328051,"漫画形象, 插画设计"
网站建设,https://task.epwk.com/328090/,208人,1人,"¥15,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,网站建设,直接雇佣￥ 15000,￥ 15000,任务编号：328090,2900-3152.csv,,,,,,,,,328090,A328090,B328090,网站建设
微信开发,https://task.epwk.com/328091/,204人,1人,"¥12,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,微信开发,直接雇佣￥ 12000,￥ 12000,任务编号：328091,2900-3152.csv,,,,,,,,,328091,A328091,B328091,微信开发
【小程序开发】程序加功能,https://task.epwk.com/328111/,181人,1人,"¥6,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,程序加功能,直接雇佣￥ 6000,￥ 6000,任务编号：328111,2900-3152.csv,,,,,,,,小程序开发,328111,A328111,B328111,程序功能
羽毛球app界面设计,https://task.epwk.com/328115/,443人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,羽毛球app界面设计,直接雇佣￥ 1000,￥ 1000,任务编号：328115,2900-3152.csv,,,,,,,,,328115,A328115,B328115,"羽毛球, app界面设计"
现有APP修改和部署,https://task.epwk.com/328122/,207人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,现有APP修改和部署,直接雇佣￥ 2000,￥ 2000,任务编号：328122,2900-3152.csv,,,,,,,,,328122,A328122,B328122,"APP修改, 部署"
软文发布7,https://task.epwk.com/328124/,178人,1人,"¥23,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,软文发布7,直接雇佣￥ 23000,￥ 23000,任务编号：328124,2900-3152.csv,,,,,,,,,328124,A328124,B328124,软文发布
需要做一个在线教育平台,https://task.epwk.com/328148/,205人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,需要做一个在线教育平台,直接雇佣￥ 5000,￥ 5000,任务编号：328148,2900-3152.csv,,,,,,,,,328148,A328148,B328148,"在线教育, 教育平台"
【企业官网】商城手机版开发,https://task.epwk.com/328152/,256人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,商城手机版开发,直接雇佣￥ 3000,￥ 3000,任务编号：328152,2900-3152.csv,,,,,,,,企业官网,328152,A328152,B328152,"商城, 手机版, 开发"
【企业官网】P2P网站开发和维护,https://task.epwk.com/328153/,161人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,P2P网站开发和维护,直接雇佣￥ 10000,￥ 10000,任务编号：328153,2900-3152.csv,,,,,,,,企业官网,328153,A328153,B328153,"P2P网站, 开发, 维护"
基于单片机多路流量采集板开发_Can通信+485通信,https://task.epwk.com/328154/,739人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,基于单片机多路流量采集板开发_Can通信+485通信,直接雇佣￥ 5000,￥ 5000,任务编号：328154,2900-3152.csv,,,,,,,,,328154,A328154,B328154,"单片机, 流量采集板, Can通信, 485通信"
高价求景观建筑漫游动画,https://task.epwk.com/328156/,239人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,高价求景观建筑漫游动画,直接雇佣￥ 20000,￥ 20000,任务编号：328156,2900-3152.csv,,,,,,,,,328156,A328156,B328156,"景观建筑, 漫游动画"
搜集上传商户信息,https://task.epwk.com/328164/,98人,1人,¥179,圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,搜集上传商户信息,直接雇佣￥ 179,￥ 179,任务编号：328164,2900-3152.csv,,,,,,,,,328164,A328164,B328164,"商户信息, 上传"
【网站UI设计】设计一个公司网站的主页面,https://task.epwk.com/328166/,202人,1人,¥500,圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,设计一个公司网站的主页面,直接雇佣￥ 500,￥ 500,任务编号：328166,2900-3152.csv,,,,,,,,网站UI设计,328166,A328166,B328166,"公司网站, 主页面设计"
制作类似学堂在线这样的ＭＯＯＣ网站,https://task.epwk.com/328170/,250人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,制作类似学堂在线这样的ＭＯＯＣ网站,直接雇佣￥ 5000,￥ 5000,任务编号：328170,2900-3152.csv,,,,,,,,,328170,A328170,B328170,"MOOC网站, 在线教育, 课程平台"
AE动画设计-短期项目,https://task.epwk.com/328171/,945人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,AE动画设计-短期项目,直接雇佣￥ 5000,￥ 5000,任务编号：328171,2900-3152.csv,,,,,,,,,328171,A328171,B328171,"AE动画设计, 短期项目"
活动主题为“翼场盛宴”的充值特卖活动四期任务,https://task.epwk.com/328174/,206人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,活动主题为“翼场盛宴”的充值特卖活动四期任务,直接雇佣￥ 3000,￥ 3000,任务编号：328174,2900-3152.csv,,,,,,,,,328174,A328174,B328174,"翼场盛宴, 充值特卖, 活动任务"
SHU MBA视频拍摄与剪辑,https://task.epwk.com/328176/,203人,1人,"¥6,700",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,SHU MBA视频拍摄与剪辑,直接雇佣￥ 6700,￥ 6700,任务编号：328176,2900-3152.csv,,,,,,,,,328176,A328176,B328176,"视频拍摄, 视频剪辑, MBA"
【APP开发】开发一个教育行业的安卓和IOS-APP应用开发,https://task.epwk.com/328177/,219人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,开发一个教育行业的安卓和IOS-APP应用开发,直接雇佣￥ 2000,￥ 2000,任务编号：328177,2900-3152.csv,,,,,,,,APP开发,328177,A328177,B328177,"教育行业, 安卓应用, IOS应用"
开发一个垂直O2O平台。PC端+微信端,https://task.epwk.com/328182/,368人,1人,"¥18,000",圆满完成,https://task.epwk.com/page3116.html?m=6&o=7,开发一个垂直O2O平台。PC端+微信端,直接雇佣￥ 18000,￥ 18000,任务编号：328182,2900-3152.csv,,,,,,,,,328182,A328182,B328182,"垂直O2O平台, PC端, 微信端"
