标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【网站二次开发】PHP网站做手机自适应,https://task.epwk.com/971766/,1548人,3人,¥800,圆满完成,,威斯特Gdqn6,PHP网站做手机自适应。http://www.djuu.com  这是目前的站点，只有PC端，没有手机端。需要做手机端自适应。可以参考的网站是http://m.172mix.com。主要是将PC的东西都能在手机端体现。精通PHP的来。加我微信，不要电话我。价格我标记很清楚。能做的找我。时间2-3天。,2021-11-27,2021.12.03,任务编号：971766,800.0,"800天,3天","山东省-烟台市-芝罘区,北京市-北京市-丰台区",聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",网站二次开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】制造业类型公司的BOM管理软件开发,https://task.epwk.com/971642/,281人,1人,¥5000,圆满完成,,vitorru,项目:制造业类型公司的BOM管理软件开发已合作，勿扰。,2021-11-26,2021.11.30,任务编号：971642,5000.0,3天,上海市-市辖区,寰斯信息科技（上海）有限公司,https://shop.epwk.com/0z5o4x1r7njq/,寰斯信息科技（上海）有限公司,出售服务,https://shop.epwk.com/0z5o4x1r7njq/chushou/,企业,七品,38分,,,寰斯信息科技（上海）有限公司,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】燕窝鲜炖的小程序开发,https://task.epwk.com/971467/,445人,1人,¥6500,圆满完成,,k2276****68,项目:燕窝鲜炖的小程序开发  已合作，勿扰,2021-11-25,2021.11.26,任务编号：971467,6500.0,7天,广东省-佛山市,广州风浪科技有限公司,https://shop.epwk.com/7lngqgzk8dmr/,广州风浪科技有限公司,出售服务,https://shop.epwk.com/7lngqgzk8dmr/chushou/,企业,一品,41分,,,广州风浪科技有限公司,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】影楼软件开发项目费用支付,https://task.epwk.com/971466/,369人,1人,¥30000,圆满完成,,vitorru,项目:影楼软件开发项目费用支付称呼:董先生地区:安徽亳州需求:影楼软件开发，影楼端，总后台，公众号两个打通端口，公司网站需可编辑，设计师端，支付结算功能和分账，分享功能。已确定合作，已合同约定的为准，勿扰。,2021-11-25,2021.11.25,任务编号：971466,30000.0,45天,安徽省-宿州市,九兔软件,https://shop.epwk.com/2j5xogz005xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】短视频产供销管理平台开发（第二期）,https://task.epwk.com/971344/,915人,1人,¥34740,圆满完成,,o60cae929ba24d,短视频产供销管理平台是一款专为网红及各类平台主播提供短视频订制服务的管理系统，该平台对接短视频平台平台小黄车，可以从小黄车直接下单订制短视频产品。用户可以上传短视频素材、下载订制好的短视频。第二期：第二阶段：乙方按协议要求完成全部功能的开发，并经过甲方在乙方测试平台进行功能测试确认，且在甲方自有服务器上测试通过并上线试运行10天验收合格后，甲方在2个工作日内将本期费用支付给乙方（甲方在一品威客平台上确认支付给乙方）；,2021-11-25,2022.10.17,任务编号：971344,34740.0,20天,浙江省-温州市,赛特网络--专注20多年的网络增值服务商,https://shop.epwk.com/4rn8qq4z3ngm/,赛特网络--专注20多年的网络增值服务商,出售服务,https://shop.epwk.com/4rn8qq4z3ngm/chushou/,企业,一品,75分,总 115 次中标，交易总金额,￥149.9万,赛特网络--专注20多年的网络增值服务商,,物联网硬件开发,价格面议,物联网软件开发,价格面议,电商系统平台开发,价格面议,O2O类平台定制开发,价格面议,APP定制开发,价格面议,小程序定制开发,价格面议,电动汽车充电桩平台开发,价格面议,电动摩托车充电桩平台开发,价格面议,酒店无人售货机平台开发,价格面议,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】蔬菜配送小程序开发首付款,https://task.epwk.com/971340/,236人,1人,¥3180,圆满完成,,vitorru,蔬菜配送小程序开发，按照同开发,2021-11-25,2021.11.26,任务编号：971340,3180.0,20天,山东省-烟台市-芝罘区,聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】南京锐罡刀锯公司小程序开发一期款,https://task.epwk.com/971204/,483人,1人,¥15000,圆满完成,,vitorru,项目:南京锐罡刀锯公司小程序开发称呼:于先生地区:江苏南京（南京的服务商）需求:南京锐罡刀锯公司小程序开发，开发一个类似合金刀具平台这样的小程序，及下单交易功能，后续需要面谈，月底前落实项目,2021-11-24,2021.11.24,任务编号：971204,15000.0,15天,江苏省-南京市,淳客科技旗舰店,https://shop.epwk.com/omdwk2powdrp/,淳客科技旗舰店,出售服务,https://shop.epwk.com/omdwk2powdrp/chushou/,企业,五品,40分,,,淳客科技旗舰店,,院校网站开发,"￥3000
            /起",企业网站,"￥3000
            /起",餐饮APP外卖类APP食品类APP定制,"￥9999
            /起",保险类APP开发理赔类APP开发,"￥59000
            /起",VR VR功能开发VRapp开发游戏开发VR虚拟现实app开发,"￥9999
            /起",旅游类app开发出行APP酒店预订APP双版本原生开发,"￥35000
            /套",APP定制开发,"￥20000
            /起",电商代运营,"￥10000
            /起",微信代运营,"￥5000
            /起",小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】通达信订制选股公式,https://task.epwk.com/971148/,1607人,1人,¥500,圆满完成,,o5d06e97d51eb0,通达信软件  选股公式开发,2021-11-24,2021.12.03,任务编号：971148,500.0,1天,四川省-成都市,o5f75b3764d391,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】在线阅读视频APP开发定金,https://task.epwk.com/971114/,307人,1人,¥5000,圆满完成,,vitorru,在线阅读视频APP开发，按照合同开发,2021-11-24,2021.11.24,任务编号：971114,5000.0,1天,四川省-成都市-武侯区,汇鑫达科技,https://shop.epwk.com/p05qj8z6wdev/,汇鑫达科技,出售服务,https://shop.epwk.com/p05qj8z6wdev/chushou/,企业,四品,39分,,,汇鑫达科技,,微信小程序开发微商城外卖团购门店H5官网小程序分销系统公众号,价格面议,综合商城APP开发/生活服务/外卖点餐/电商APP/生鲜超市,价格面议,APP开发|教育软件|商城定制|物联网系统|社交成品|物流APP开发,价格面议,成都APP开发|APP定制开发IOS/Android混合开发APP,价格面议,微信小程序开发小程序微信开发设计分销商城小程序商城公众号定制,价格面议,企业网站、APP、小程序定制开发,价格面议,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】广告公司订单收款软件,https://task.epwk.com/971127/,316人,1人,¥8500,圆满完成,,k5351****97,项目:广告公司订单收款软件称呼:黄先生地区:江苏宿迁需求:广告公司订单收款软件，电脑端，跟公司合作有十几家公司，会有不同的订单，需要实现的就是，每个合作商能通过软件进行订单确认，跳出二维码，进行支付，费用支付到老板账户中，公司收到收到订单通知，进行收款核实，然后确认通过。具体开发细节联系沟通，然后及时给方案导图并附上报价。,2021-11-24,2021.12.31,任务编号：971127,8500.0,20天,江苏省-南京市-浦口区,南京领尚信息科技有限公司,https://shop.epwk.com/j7n38qml35e1/,南京领尚信息科技有限公司,出售服务,https://shop.epwk.com/j7n38qml35e1/chushou/,企业,四品,114分,,,南京领尚信息科技有限公司,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
"【其他软件开发】uniapp打包跨域
对接支付宝支付",https://task.epwk.com/971003/,573人,2人,¥800,圆满完成,,o5acc12a841b04,"uniapp打包跨域
对接支付宝支付",2021-11-23,2021.11.24,任务编号：971003,800.0,1天,贵州省-贵阳市-南明区,黔博科技,https://shop.epwk.com/omdwkjwwmdrp/,黔博科技,出售服务,https://shop.epwk.com/omdwkjwwmdrp/chushou/,企业,四品,39分,,,黔博科技,,,,,,,,,,,,,,,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【定制开发】系统定制,https://task.epwk.com/970620/,715人,1人,¥7945,圆满完成,,o5d91****2624b,"系统定制,已沟通好",2021-11-20,2021.11.20,任务编号：970620,7945.0,35天,广东省-佛山市-南海区,佛山欣祺科技有限公司,https://shop.epwk.com/j7n38o19l5e1/,佛山欣祺科技有限公司,出售服务,https://shop.epwk.com/j7n38o19l5e1/chushou/,企业,一品,103分,,,佛山欣祺科技有限公司,,模板-陶瓷小程序,"￥5000
            /件",水果版小程序,"￥4000
            /件",普通版小程序,"￥2000
            /件",【前端开发】 响应式企业网站页面制作 手机端 移动端 h5网站制作,"￥800
            /次",网站加速 网站安全防护 DDOS攻击防护 网站响应速度提升,价格面议,【前端开发】 企业站页面制作 手机端 移动端 h5网站制作,价格面议,【前端开发】 企业站页面制作 PC电脑端网站制作,价格面议,【网站建设】企业网站建设|资讯型网站建设|团购网站建设|手机网站建设|网站二次开发|佛山网站建设服务,价格面议,,,定制开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【模板建站】需要制作1个企业站,https://task.epwk.com/970605/,4961人,10人,¥800,圆满完成,,zbzhuohui,用迅睿的程序 模板需要你那边看着找参考这个 模板：http://agent.5537.com/jianzhan/preview/10805    的样式需要你那边也把产品填充好 不到100个产品,2021-11-20,2021.12.20,任务编号：970605,800.0,"15天,3天,10天,5天,5天","河北省-唐山市,广东省-深圳市-龙岗区,云南省-昆明市-官渡区,河北省-石家庄市-市辖区,福建省-福州市",唐山佳协网络科技有限公司,https://shop.epwk.com/3gd2mgx7pner/,唐山佳协网络科技有限公司,出售服务,https://shop.epwk.com/3gd2mgx7pner/chushou/,企业,三品,37分,,,唐山佳协网络科技有限公司,,APP开发,"￥6000
            /起",微信小程序,"￥3000
            /套",UI设计,"￥2000
            /套",微信开发,"￥5000
            /款",网站开发,"￥2000
            /套",,,,,,,,,模板建站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【其他软件开发】按附件完成需求内容,https://task.epwk.com/970359/,540人,1人,¥4000,圆满完成,,o59907cc412fe6,满足附近需求,2021-11-18,2022.04.04,任务编号：970359,4000.0,30天,江苏省-南京市,君和软件工作室,https://shop.epwk.com/omdwkj8qrdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
"【APP开发】类似""华优源""APP开发",https://task.epwk.com/970330/,416人,1人,¥10500,圆满完成,,vitorru,"项目：类似""华优源""APP开发称呼：芳芳地区：湖北宜昌，服务商地域不限需求：类似""华优源""APP预算：看服务商报价时间：未定备注：微信是手机号",2021-11-18,2021.11.18,任务编号：970330,10500.0,20天,湖北省-武汉市,武汉听潮网络,https://shop.epwk.com/78n96gkmxnkv/,武汉听潮网络,出售服务,https://shop.epwk.com/78n96gkmxnkv/chushou/,企业,二品,70分,,,武汉听潮网络,,前端开发,"￥5000
            /起",电商团购系统,"￥5000
            /起",小程序设计开发,"￥5000
            /起",系统软件设计开发,"￥5000
            /起",微信商城开发,"￥5000
            /起",APP设计开发,"￥5000
            /起",,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【企业官网】网站网页设计尾款,https://task.epwk.com/970231/,462人,1人,¥4000,圆满完成,,vitorru,网站网页设计，按照合同签订开发,2021-11-18,2021.11.23,任务编号：970231,4000.0,10天,河北省-唐山市,仰视科技-专业小程序/网站开发,https://shop.epwk.com/mod04xl2l5yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】根据设计稿用xml写安卓APP前端,https://task.epwk.com/970036/,400人,1人,¥1800,圆满完成,,k1671****19,项目:根据设计稿用xml写安卓APP前端称呼:陈女士地区:盐城需求:消防器材公司，根据设计稿用xml写安卓APP前端，5~6个页面预算:报价联系,2021-11-17,2021.11.29,任务编号：970036,1800.0,2天,广东省-佛山市-南海区,一帆数智网络科技有限公司,https://shop.epwk.com/4rn8qr0r6ngm/,一帆数智网络科技有限公司,出售服务,https://shop.epwk.com/4rn8qr0r6ngm/chushou/,企业,五品,40分,,,一帆数智网络科技有限公司,,智铺小程序,"￥2000
            /起",系统开发,价格面议,定制公众号,价格面议,定制APP,价格面议,定制小程序,价格面议,商城小程序开发,￥7500,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【微信开发】数据采集软件开发,https://task.epwk.com/969946/,2115人,1人,¥2500,圆满完成,,vitorru,项目:数据采集软件开发称呼:翁先生地区:深圳需求:数据采集软件开发，雇主想从股票软件东方财富采集股票数据，做成自己的数据表格，开发这样的软件，需要深圳本地的服务商联系预算:报价联系,2021-11-16,2021.11.16,任务编号：969946,2500.0,2天,广东省-深圳市,亿软通科技,https://shop.epwk.com/3gd2m84lener/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【软件UI设计】数据可视化的UI设计,https://task.epwk.com/969606/,651人,1人,¥1700,圆满完成,,vitorru,数据可视化的UI设计，具体按照沟通好的设计,2021-11-15,2021.11.16,任务编号：969606,1700.0,1天,贵州省-贵阳市,玛峰科技,https://shop.epwk.com/rp5z492w8dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,软件UI设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【企业官网】网站首页切片，纯HTML+CSS+JS,https://task.epwk.com/969578/,1381人,2人,¥300,圆满完成,,o565d398da858c,"排成HTML+CSS 按这种方式前端方式处理http://wmsaga.com/h5/（可查看这个的源码，按这种方式制作 ）即使用vue.js页面头部<public-header class=""public-header""></public-header>页面底部<public-footer class=""public-footer""></public-footer>需要排的页面有两个，做跟以下网址一模一样，一个电脑版首页，https://education-260.view.sitestar.cn/ 一个手机版首页（不需要跟上面的一样自适应，做成独立的）https://education-260.view.sitestar.cn/",2021-11-15,2021.11.19,任务编号：969578,300.0,"2天,10天","湖北省-武汉市,广东省-深圳市-南山区",武汉瑞美,https://shop.epwk.com/v0n1x6jwk57y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】废品回收小程序开发（第一期费用）,https://task.epwk.com/969474/,499人,1人,¥2700,圆满完成,,k2478****58,需求:废品回收小程序开发，雇主是创业初期，对技术不是很了解，小程序需满足功能：废品上门回收，家政和房产板块，要求找现成的模板，具体详谈，已确定合作服务商，按合同要求开发，勿扰谢谢,2021-11-14,2021.11.23,任务编号：969474,2700.0,3天,广东省-东莞市,美叶汇科技,https://shop.epwk.com/0jneke99jnv3/,美叶汇科技,出售服务,https://shop.epwk.com/0jneke99jnv3/chushou/,企业,四品,42分,,,美叶汇科技,,网站定制开发,"￥3000
            /月",APP定制开发,"￥12000
            /月",微信公众号分销商城,"￥9000
            /月",微信小程序（非游戏类）,"￥10000
            /月",,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】一级团队直销APP开发，UNIAPP框架也可,https://task.epwk.com/969278/,1451人,15人,¥17500,圆满完成,,朝阳007,一级团队直销APP开发，UNIAPP框架也可。效果图已做效果图已经做好了。具体需求如下 。更细节的需要联系我确认,2021-11-12,2022.03.01,任务编号：969278,11000.0,"30天,15天,7天,20天,30天,20天,30天,10天,20天","河南省-新乡市-红旗区,江苏省-徐州市-贾汪区,河北省-石家庄市,广东省-深圳市,浙江省-宁波市-镇海区,河北省-石家庄市-市辖区,河北省-石家庄市,天津市-市辖区,北京市-北京市",大秦网络科技,https://shop.epwk.com/zqdplml96n1v/,大秦网络科技,出售服务,https://shop.epwk.com/zqdplml96n1v/chushou/,企业,一品,42分,,,大秦网络科技,,网站定制开发,"￥1000
            /起",微信开发-小程序/公众号,"￥1000
            /起",uniapp安卓ios开发,"￥20000
            /起",防伪溯源,"￥100000
            /起",微信小程序开发,"￥2000
            /起",原生APP定制开发,"￥20000
            /起",在线课程学习微信小程序开发,"￥15000
            /件",营销型网站开发,"￥4000
            /件",相亲交友在线聊学历红娘牵线,"￥5000
            /件",APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】男劳力平台软件开发（第一期款）,https://task.epwk.com/969260/,353人,1人,¥15000,圆满完成,,k2499****23,项目:男劳力平台软件开发（第一期款）称呼:王先生地区:安徽亳州已签订合作，支付第一期款，勿扰。,2021-11-12,2021.11.12,任务编号：969260,15000.0,40天,河南省-郑州市-中原区,如果科技,https://shop.epwk.com/2j5xogmg35xm/,如果科技,出售服务,https://shop.epwk.com/2j5xogmg35xm/chushou/,企业,四品,41分,,,如果科技,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【响应式网站】大量需要做仿站的高手,https://task.epwk.com/969186/,1225人,5人,¥2200,圆满完成,,车道网络帮,https://www.umc1314.com账号分两个角色，一个是普通 的，一个是会员 的，会员登录 看到首页婚礼主持人价格是1000 普通 人登录 进去是10000 类似这样，还有一个功能，下单后，会自动发邮箱到主持人邮箱上，PHPCMS可以，带付费预约的，看原站，仿站制作就行，7天完工,2021-11-12,2021.12.06,任务编号：969186,2200.0,"7天,10天,10天","湖北省-宜昌市,河北省-石家庄市-市辖区,内蒙古-乌兰察布市-集宁区",璟城的小店,https://shop.epwk.com/09drj17eq53w/,璟城的小店,出售服务,https://shop.epwk.com/09drj17eq53w/chushou/,工作室,四品,37分,,,璟城的小店,,,,,,,,,,,,,,,,,,,,响应式网站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】教育类型软件开发尾款,https://task.epwk.com/969115/,329人,1人,¥17500,圆满完成,,vitorru,教育类型软件开发，具体按照合同开发,2021-11-11,2021.11.12,任务编号：969115,17500.0,5天,福建省-厦门市,厦门蓝色畅想网络科技有限公司,https://shop.epwk.com/7g5ykp6v9n0q/,厦门蓝色畅想网络科技有限公司,出售服务,https://shop.epwk.com/7g5ykp6v9n0q/chushou/,企业,三品,38分,,,厦门蓝色畅想网络科技有限公司,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】商城APP开发,https://task.epwk.com/969066/,486人,1人,¥28000,圆满完成,,vitorru,商城APP开发，具体按照沟通好开发,2021-11-11,2021.11.11,任务编号：969066,28000.0,20天,河北省-石家庄市,石家庄麦子科技有限公司,https://shop.epwk.com/09drj888q53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】微信小程序开发首付款,https://task.epwk.com/969036/,223人,1人,¥5000,圆满完成,,vitorru,微信小程序开发，按照合同开发,2021-11-11,2021.11.11,任务编号：969036,5000.0,20天,上海市-市辖区,上海方塘科技有限公司,https://shop.epwk.com/zqdplxvk9n1v/,上海方塘科技有限公司,出售服务,https://shop.epwk.com/zqdplxvk9n1v/chushou/,企业,四品,65分,总 2 次中标，交易总金额,￥2.48万,上海方塘科技有限公司,,APP定制开发,"￥15000
            /起",小程序开发定制,"￥15000
            /起",网站开发,"￥3000
            /起",报表定制开发,"￥10000
            /起",系统软件开发,"￥15000
            /起",区块链开发,"￥15000
            /起",,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【网站二次开发】discuz7.2开发markdown编辑器,https://task.epwk.com/968943/,553人,1人,¥1000,圆满完成,,o5bcc25876de6c,discuz7.2开发markdown编辑器，可使用开源markdown解析器，不能影响以前的数据。可直接替换编辑器，也可以兼容以前的编辑器。,2021-11-10,2021.11.13,任务编号：968943,1000.0,3天,北京市-北京市,树小小科技,https://shop.epwk.com/j7n38qr725e1/,树小小科技,出售服务,https://shop.epwk.com/j7n38qr725e1/chushou/,企业,五品,69分,,,树小小科技,,,,,,,,,,,,,,,,,,,,网站二次开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】小程序前端开发,https://task.epwk.com/968876/,910人,2人,¥300,圆满完成,,o614c7d9b6fcde,1、将A小程序的几个页面做微调（帖子列表页面、发帖、跟帖），搬到B 小程序包里；如果有现成的类似页面，也可以直接用2、两个小程序均为uniapp3、详见附件,2021-11-10,2021.11.13,任务编号：968876,300.0,2天,四川省-成都市-成华区,GVGU圭贾网络,https://shop.epwk.com/78n96g4qznkv/,GVGU圭贾网络,出售服务,https://shop.epwk.com/78n96g4qznkv/chushou/,企业,五品,40分,,,GVGU圭贾网络,,四端合一电商小程序系统,"￥999
            /年",电商APP定制开发,"￥30000
            /次",万能小程序系统制作,"￥4000
            /年",四端合一电商小程序系统,"￥999
            /年",,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】高端卖场小程序开发  (第三期),https://task.epwk.com/968750/,488人,1人,¥9564,圆满完成,,k3170****09,项目：高端卖场小程序开发  (第三期)称呼：伍先生（负责人）地区: 湖南，周边服务商优先需求: 高端卖场，需要家具展示。想看有关案例。服务商要列出市面上常见的功能，然后他们选择需要哪些功能，再报价。预算: 看服务商报价时间：急备注：微信不是手机号,2021-11-10,2021.12.31,任务编号：968750,9564.0,35天,山东省-烟台市,聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】高端卖场小程序开发  (第二期),https://task.epwk.com/968749/,395人,1人,¥9564,圆满完成,,k3170****09,项目：高端卖场小程序开发  (第二期)称呼：伍先生（负责人）地区: 湖南，周边服务商优先需求: 高端卖场，需要家具展示。想看有关案例。服务商要列出市面上常见的功能，然后他们选择需要哪些功能，再报价。预算: 看服务商报价时间：急备注：微信不是手机号,2021-11-10,2021.12.23,任务编号：968749,9564.0,35天,山东省-烟台市,聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】高端卖场小程序开发  （第一期）,https://task.epwk.com/968689/,245人,1人,¥12752,圆满完成,,k3170****09,项目：高端卖场小程序开发  （第一期）称呼：伍先生（负责人）地区: 湖南，周边服务商优先需求: 高端卖场，需要家具展示，停车管理的功能。想看有关案例。服务商要列出市面上常见的功能，然后他们选择需要哪些功能，再报价。预算: 3-10 万时间：急备注：微信不是手机号,2021-11-09,2021.11.10,任务编号：968689,12752.0,35天,山东省-烟台市,聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】汽车行业软件开发首付款,https://task.epwk.com/968687/,263人,1人,¥28000,圆满完成,,vitorru,汽车行业软件开发，具体按照合同开发,2021-11-09,2021.11.10,任务编号：968687,28000.0,66天,河北省-石家庄市,石家庄麦子科技有限公司,https://shop.epwk.com/09drj888q53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】校园外卖小程序开发,https://task.epwk.com/968611/,402人,1人,¥7858,圆满完成,,k7118****60,校园外卖小程序开发，具体按照沟通好的开发,2021-11-09,2021.11.09,任务编号：968611,7858.0,10天,山西省-太原市-万柏林区,太原全星翼网络科技有限公司,https://shop.epwk.com/z2nkzrq3onqy/,太原全星翼网络科技有限公司,出售服务,https://shop.epwk.com/z2nkzrq3onqy/chushou/,企业,二品,42分,,,太原全星翼网络科技有限公司,,小程序开发,"￥800
            /年",网站开发,"￥800
            /年",APP开发,"￥800
            /年",客户端开发,"￥800
            /年",,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
