标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,任务类型
【整合营销】葡萄酒营销策划方案,https://task.epwk.com/850653/,846人,1人,¥600,圆满完成,vitorru,葡萄酒营销策划方案，已经谈好，请勿联系。,2020-04-07,2020.04.07,任务编号：850653,600.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",整合营销
【整合营销】家居建材行业项目储备计划书一期款,https://task.epwk.com/848666/,530人,1人,¥5000,圆满完成,vitorru,储备100个项目，结合几块 家居 建材 有机食品版块 亚麻版块  塑料产业版块 进行项目储备，原来是自己做，上级不满意 昨天开完会决定专业机构进行策划,2020-03-30,2020.03.30,任务编号：848666,5000.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",整合营销
【APP推广】学校文案撰写,https://task.epwk.com/847121/,1625人,1人,¥1600,圆满完成,o5d831b7363f49,已经跟服务商谈好 合作愉快。,2020-03-25,2020.03.25,任务编号：847121,1600.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",APP推广
【整合营销】亚麻仔油营销策划,https://task.epwk.com/846570/,676人,1人,¥800,圆满完成,vitorru,亚麻仔油营销策划，已谈好,2020-03-23,2020.03.24,任务编号：846570,800.0,3天,上海市-市辖区-宝山区,书澈广告,https://shop.epwk.com/78dlje48p5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,整合营销
【活动策划】取名跟广告语策划,https://task.epwk.com/846560/,661人,1人,¥1800,圆满完成,vitorru,我们是一家日资企业岩谷公司，在便携炉行业是最大品牌，想在一个户外产品中注册一个新的商标进行推广，牌子名称跟广告语都需要策划已经沟通好,2020-03-23,2020.03.23,任务编号：846560,1800.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",活动策划
【整合营销】内部管理文档设计方案,https://task.epwk.com/836364/,1093人,1人,¥5000,圆满完成,o5e3b9455b8ede,股权设计方案 股权协议 内部管理文档（考核标准各一套）  已谈好合作勿扰,2020-02-15,2020.03.11,任务编号：836364,5000.0,12天,山东省-青岛市,光影品牌策划,https://shop.epwk.com/89dvgrvjwdl2/,光影品牌策划,出售服务,https://shop.epwk.com/89dvgrvjwdl2/chushou/,企业,三品,45分,,,光影品牌策划,,活动策划方案撰写（线上&线下）,"￥999
            /起",商业计划书撰写,￥5000,折页/画册设计,"￥299
            /页",企业标志设计,￥5000,创意海报设计,"￥999
            /起",,,,,,,整合营销
【整合营销】精品商业计划书一份,https://task.epwk.com/829803/,845人,1人,¥1500,圆满完成,k6214****16,精品商业计划书一份，用于融资，互联网+的项目，PUT格式，15页 需要做到满意为止  已谈好 按事先约定要的来。勿扰。,2020-01-08,2020.02.11,任务编号：829803,1500.0,7天,河南省-郑州市-金水区,亿帆文创,https://shop.epwk.com/78dljrwl95lx/,亿帆文创,出售服务,https://shop.epwk.com/78dljrwl95lx/chushou/,企业,五品,55分,总 13 次中标，交易总金额,￥9601.00,亿帆文创,,商业宣传设计服务,"￥100
            /页",营销推广内容营销,"￥5
            /组",商业策划营销软文,"￥30
            /组",企业策划商业推广,"￥500
            /次",商业策划计划书,"￥1000
            /起",商业策划视频制作,"￥30
            /次",,,,,整合营销
【整合营销】润滑油营销策划,https://task.epwk.com/828795/,788人,1人,¥3000,圆满完成,vitorru,已经谈好 按事先谈好的来。勿扰,2020-01-06,2020.01.06,任务编号：828795,3000.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",整合营销
【活动策划】企业活动策划,https://task.epwk.com/825581/,648人,1人,¥1100,圆满完成,vitorru,已经谈好 合作愉快,2019-12-25,2019.12.25,任务编号：825581,1100.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",活动策划
【活动策划】文案策划撰写,https://task.epwk.com/823565/,1065人,1人,¥300,圆满完成,o5dfb****370d5,文案策划撰写，2500字，明天要交，具体以沟通好的为准,2019-12-19,2019.12.20,任务编号：823565,300.0,1天,辽宁省-沈阳市,紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【活动策划】活动策划PPT,https://task.epwk.com/818747/,989人,1人,¥500,圆满完成,k3739****76,已经沟通好，勿联系,2019-12-05,2019.12.16,任务编号：818747,500.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",活动策划
【活动策划】小学生三分钟展示策划,https://task.epwk.com/816843/,1549人,2人,¥400,圆满完成,mizi918,小学生（二年级）3分钟 的 展示分享策划，比如分享古诗、分享古诗等等类型，需配套制作相关如PPT等。要求：1.独自创意一个策划展示；2.加工现有创意，制作一副动态PPT展示，将凉州词贯穿其中，比如从成都出发（选择一首诗），到玉门关（选择一首诗），到阳光（选择比如西出阳关无故人），就沿这条路线，选择合适的点、配合适的诗、制作动态PPT即可，但请测试控制在3分钟内。,2019-11-28,2019.12.24,任务编号：816843,400.0,"3天,2天","山东省-青岛市,广东省-深圳市",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",活动策划
【整合营销】蔬菜配送市场营销方案,https://task.epwk.com/816431/,1234人,1人,¥2800,圆满完成,o5dde2136d0f56,营销方案，做蔬菜配送的，做了十来年了，之前用的传统的方式，现在想要尝试更科学的方式，认准当地县城几百家小吃店（凉皮店）的市场，做他们的销售，想要一套更科学的营销方案来拿下市场。已经谈好，以实际沟通为准，请勿联系。,2019-11-27,2019.12.16,任务编号：816431,2800.0,20天,重庆市-市辖区-南岸区,拙朴品牌营销,https://shop.epwk.com/3gd2mokwener/,拙朴品牌营销,出售服务,https://shop.epwk.com/3gd2mokwener/chushou/,企业,四品,40分,,,拙朴品牌营销,,LOGO设计VI品牌形象标志设计,"￥398
            /起",公司活动策划年会招商会订货会答谢会开业活动营销促销活动周年庆,"￥500
            /起",画册设计宣传册折页传单设计DM单封面,"￥128
            /页",商业计划书招商创业融资计划书路演PPT项目书商业策划融资BP,"￥1999
            /起",海报设计创意海报主背景主图详情页,"￥199
            /起",微信代运营微信公众号代运营微信爆文推广微信文案撰写广告语代写微信推文品牌故事电商文案,"￥999
            /起",PPT设计定制策划制作美化润色企业公司代做商业幻灯片公司宣传册,"￥99
            /起",包装设计 外观设计 礼盒设计,"￥598
            /起",整合营销
【产品推广】推广宁波爻波汽车用品有限公司,https://task.epwk.com/809534/,1062人,1人,¥200,圆满完成,爻波汽车,通过网络进行推广，让更多的人知道我们公司及产品，知道公司的淘宝店铺，提高浏览量，发掘潜在的消费者。,2019-11-05,2019.11.15,任务编号：809534,200.0,7天,湖北省-武汉市,竹子文案策划,https://shop.epwk.com/4rn8q1qz9ngm/,竹子文案策划,出售服务,https://shop.epwk.com/4rn8q1qz9ngm/chushou/,工作室,七品,53分,,,竹子文案策划,,图片处理,价格面议,APP开发APP定制手机应用软件定制开发手机APP,"￥20000
            /套",打包app在线打包app打包app封装手机网站转app,"￥300
            /套",品牌策划公司简介企业品牌故事广告语撰写招商文案ppt写作,"￥1500
            /套",APP开发价格 APP开发android应用软件 手机APP开发,"￥5000
            /起",PS图片设计 电商详情页设计 美工设计,价格面议,项目建议书/可研究性报告/天猫入驻PPT/项目可行性研究报告,"￥1500
            /套",商业计划书ppt制作 商业策划书ppt 项目计划书ppt 短视频创业计划书ppt,"￥4500
            /套",产品推广
【活动策划】体育/健身项目的方案策划,https://task.epwk.com/807588/,1104人,1人,¥600,圆满完成,vitorru,体育/健身项目的方案策划,2019-10-30,2019.12.19,任务编号：807588,600.0,5天,辽宁省-沈阳市,紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【微博营销】微博营销推广,https://task.epwk.com/806879/,1889人,2人,¥120,圆满完成,o5c04cbec409c5,给两个微博新媒体推广丝，一个微博营销推广2万，另一个微博新媒体运营1万,2019-10-28,2019.11.05,任务编号：806879,120.0,"2天,7天","重庆市-市辖区,河南省-郑州市",言成信网络工作室【cqycxin_com】⬅微,https://shop.epwk.com/7g5yk1xmkn0q/,言成信网络工作室【cqycxin_com,出售服务,https://shop.epwk.com/7g5yk1xmkn0q/chushou/,企业,六品,40分,,,言成信网络工作室【cqycxin_com,,知乎推广|知乎服务|知乎排名优化|知乎热榜|知乎机构注册代运营,"￥10
            /起",品牌整合营销全案百度网站品牌产品传播软文发布品牌口碑营销,￥8999,问答推广|百度知道|搜搜SOSO问问|360问答|知乎问答|新浪爱问推广,"￥10
            /起",品牌形象塑造品牌全案策划网络营销企业产品公司整合营销策划执行,￥2980,新闻发稿|软文发布|媒体发稿,"￥10
            /起",网站建设优化网站推广平台百度360搜狗搜索引擎网页排名seo优化,"￥100
            /起",品牌整合营销百度网站品牌产品营销传播发布品牌口碑营销整合营销,￥6999,微信微博知乎头条代运营各大自媒体代运营服务kol,"￥800
            /起",微博营销
【公众号推广】旅游公众号推广,https://task.epwk.com/805415/,3262人,2人,¥650,圆满完成,ga137****2085,微信公众号  宣传推广 具体详谈,2019-10-23,2019.10.29,任务编号：805415,650.0,"7天,7天","四川省-成都市,北京市-北京市-东城区",腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",公众号推广
【产品推广】翡翠营销推广,https://task.epwk.com/799860/,1695人,1人,¥10000,圆满完成,兜兜陈,百度大搜 广告矩阵 类目是玉石翡翠的 有做过的嘛，做过的来聊 没做过的不考虑,2019-10-05,2019.10.08,任务编号：799860,10000.0,30天,陕西省-西安市-未央区,铂铧营销广告推广,https://shop.epwk.com/7lngqxz8wdmr/,铂铧营销广告推广,出售服务,https://shop.epwk.com/7lngqxz8wdmr/chushou/,企业,三品,39分,,,铂铧营销广告推广,,,,,,,,,,,,,,,,,,产品推广
【整合营销】旅游行业的策划文案撰写,https://task.epwk.com/798453/,952人,1人,¥800,圆满完成,vitorru,"旅游行业的策划文案撰写,已谈好",2019-09-28,2019.10.09,任务编号：798453,800.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",整合营销
【活动策划】烘焙店铺营销方案策划,https://task.epwk.com/795541/,2803人,1人,¥1000,圆满完成,wl151****9589,项目：营销方案   地区：内蒙古 鄂尔多斯  需求：店铺，烘焙类：蛋糕、面包，想做一个活动，平时活动，1周年的活动，微信为手机预算：具体沟通商议注意：暂无,2019-09-19,2021.12.30,任务编号：795541,1000.0,10天,湖南省-湘潭市-雨湖区,星购商贸,https://shop.epwk.com/j7n38o0w25e1/,星购商贸,出售服务,https://shop.epwk.com/j7n38o0w25e1/chushou/,企业,七品,39分,,,星购商贸,,商城型网站开发（PC端＋手机端+小程序）,"￥20000
            /起",展示型网站开发（PC端＋手机端+小程序）,"￥8000
            /起",旅游网站设计（PC端+手机端+微信小程序）,￥30000,,,,,,,,,,,活动策划
【整合营销】药店长远规划的营销策划,https://task.epwk.com/795057/,746人,1人,¥800,圆满完成,o5d81d262ec688,需求：药店长远规划的营销策划：已谈好，勿扰,2019-09-18,2019.11.27,任务编号：795057,800.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",整合营销
【整合营销】滋补品的营销策划,https://task.epwk.com/793190/,695人,1人,¥1000,圆满完成,vitorru,滋补品的营销策划：已谈好，勿扰,2019-09-11,2019.09.12,任务编号：793190,1000.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",整合营销
【微博营销】微博营销推广,https://task.epwk.com/789482/,1886人,1人,¥100,圆满完成,o5c04cbec409c5,给两个微博新媒体推广丝，一个微博营销推广2万，另一个微博新媒体运营1万，一共花费100元,2019-09-01,2019.09.19,任务编号：789482,100.0,2天,重庆市-市辖区,言成信网络工作室【cqycxin_com】⬅微,https://shop.epwk.com/7g5yk1xmkn0q/,言成信网络工作室【cqycxin_com,出售服务,https://shop.epwk.com/7g5yk1xmkn0q/chushou/,企业,六品,40分,,,言成信网络工作室【cqycxin_com,,知乎推广|知乎服务|知乎排名优化|知乎热榜|知乎机构注册代运营,"￥10
            /起",品牌整合营销全案百度网站品牌产品传播软文发布品牌口碑营销,￥8999,问答推广|百度知道|搜搜SOSO问问|360问答|知乎问答|新浪爱问推广,"￥10
            /起",品牌形象塑造品牌全案策划网络营销企业产品公司整合营销策划执行,￥2980,新闻发稿|软文发布|媒体发稿,"￥10
            /起",网站建设优化网站推广平台百度360搜狗搜索引擎网页排名seo优化,"￥100
            /起",品牌整合营销百度网站品牌产品营销传播发布品牌口碑营销整合营销,￥6999,微信微博知乎头条代运营各大自媒体代运营服务kol,"￥800
            /起",微博营销
【整合营销】奶粉营销策划方案,https://task.epwk.com/779550/,1475人,2人,¥100,圆满完成,o5cf25c73d5a11,我想做一个有机奶粉的营销策划，具体要求就是营销推广的方法和思路具体些，ppt,2019-08-05,2019.08.09,任务编号：779550,100.0,"2天,8天","重庆市-市辖区,浙江省-台州市",言成信网络工作室【cqycxin_com】⬅微,https://shop.epwk.com/7g5yk1xmkn0q/,言成信网络工作室【cqycxin_com,出售服务,https://shop.epwk.com/7g5yk1xmkn0q/chushou/,企业,六品,40分,,,言成信网络工作室【cqycxin_com,,知乎推广|知乎服务|知乎排名优化|知乎热榜|知乎机构注册代运营,"￥10
            /起",品牌整合营销全案百度网站品牌产品传播软文发布品牌口碑营销,￥8999,问答推广|百度知道|搜搜SOSO问问|360问答|知乎问答|新浪爱问推广,"￥10
            /起",品牌形象塑造品牌全案策划网络营销企业产品公司整合营销策划执行,￥2980,新闻发稿|软文发布|媒体发稿,"￥10
            /起",网站建设优化网站推广平台百度360搜狗搜索引擎网页排名seo优化,"￥100
            /起",品牌整合营销百度网站品牌产品营销传播发布品牌口碑营销整合营销,￥6999,微信微博知乎头条代运营各大自媒体代运营服务kol,"￥800
            /起",整合营销
【产品推广】咸鱼点赞推广,https://task.epwk.com/777245/,1511人,1人,¥100,圆满完成,lc577****91,点一百个超赞，和50个想要，还有5个好评,2019-07-29,2019.07.29,任务编号：777245,100.0,1天,重庆市-市辖区,言成信网络工作室【cqycxin_com】⬅微,https://shop.epwk.com/7g5yk1xmkn0q/,言成信网络工作室【cqycxin_com,出售服务,https://shop.epwk.com/7g5yk1xmkn0q/chushou/,企业,六品,40分,,,言成信网络工作室【cqycxin_com,,知乎推广|知乎服务|知乎排名优化|知乎热榜|知乎机构注册代运营,"￥10
            /起",品牌整合营销全案百度网站品牌产品传播软文发布品牌口碑营销,￥8999,问答推广|百度知道|搜搜SOSO问问|360问答|知乎问答|新浪爱问推广,"￥10
            /起",品牌形象塑造品牌全案策划网络营销企业产品公司整合营销策划执行,￥2980,新闻发稿|软文发布|媒体发稿,"￥10
            /起",网站建设优化网站推广平台百度360搜狗搜索引擎网页排名seo优化,"￥100
            /起",品牌整合营销百度网站品牌产品营销传播发布品牌口碑营销整合营销,￥6999,微信微博知乎头条代运营各大自媒体代运营服务kol,"￥800
            /起",产品推广
【活动策划】早餐店策划活动,https://task.epwk.com/776280/,1013人,1人,¥420,圆满完成,o5d3a9bcddd74d,已经谈好 按事先谈好的来 勿扰。,2019-07-26,2019.08.14,任务编号：776280,420.0,,,凯蓝-智诚致远,https://shop.epwk.com/0z5o493z7njq/,凯蓝-智诚致远,出售服务,https://shop.epwk.com/0z5o493z7njq/chushou/,企业,七品,40分,,,凯蓝-智诚致远,,影视音乐,价格面议,产品外观设计,价格面议,表格文案,价格面议,logo设计,价格面议,名片设计,价格面议,包装设计,价格面议,,,,,活动策划
【产品推广】网店推广,https://task.epwk.com/775659/,1282人,1人,¥100,圆满完成,o5d390ad8087eb,网店推广,2019-07-25,2019.07.26,任务编号：775659,100.0,1天,四川省-绵阳市,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",产品推广
【品牌策划】品牌服装代理公司全案策划三期,https://task.epwk.com/768349/,2413人,1人,¥6600,圆满完成,o5d214f62485f7,我想做一套公司全案策划：公司的企业文化、理念、Logo、VI全案策划。我们是一家品牌服装代理公司。工期：2个月以内,2019-07-22,2020.11.04,任务编号：768349,6600.0,60天,广东省-广州市-越秀区,雅致品牌管理公司 | 20年香港设计师公司,https://shop.epwk.com/m7d7w28jy5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,品牌策划
