标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【品牌起名】给系统取名,https://task.epwk.com/872335/,1839人,93人,¥100,yuzuiweihe,￥ 100,￥ 100,2020.06.22,关于系统的取名 我公司想个给系统取个名字，类似于阿里的“达摩院”，京东的“神灯”。 要求：1、这个名字能够体现：无所不能，先进；2、有品位,任务编号：872335,o5e4ced5b8e120,见证奇迹
【品牌起名】铁艺家具品牌创意取名,https://task.epwk.com/871014/,2131人,96人,¥100,陈姑娘CXM,￥ 100,￥ 100,2020.06.16,创意取名-品牌名1. 主营：铁艺以及铁木结合家具产品2.实业／制造业3.品牌名想要有创意4.品牌名容易记，5.也方便后续lOGO设计 比如： IKEA 宜家 －好记6.急。 辛苦了！ 谢谢！,任务编号：871014,可乐有点甜,九臣原创设计
【宣传策划】F+牛肉饭--“有你更+精彩”F+语录--征集活动,https://task.epwk.com/870115/,2923人,48人,¥500,o5e9d380944f70,￥ 500,￥ 500,2020.06.12,一、活动介绍你来关注，我就高兴，专给你看，哇塞不得了！你有创意，我有需求，就等你来，死等的那种！你来参与，我更开心，相当兴奋，有你更+精彩！  F+“有你更+精彩征集活动”来了！  它来了；  它真的来了；  期待你的参与！  征集范围：所有人  征集时间：2020年6月12日--2020年6月24日晚24点整二、品牌介绍；  品牌名称：F+牛肉饭  品牌口号：有牛肉 饭更香  经营范围：为高校学生和白领提供中式快餐主要用途：用于高校及企业食堂档口展示和其他产品宣传使用。公司官网：www.fjia1.com品牌理念:fashion+校园，是只属于你们的潮味来~fantastic+青春，是个奇幻的追梦之旅···fun+π，有范儿有派头！fine+five，是想与你hi5一起庆祝的时刻~fresh+匠心，是更好的牛肉饭！forever+friend，是千辛万苦后也不忘一起吃过f家的牛肉饭···firs+独角兽，够独特够优秀才是真正的第一！征集内容:  参与者可以通过品牌理念和官网相关内容根据自有能力选择对应项目参与；  1.F+语录：  ①征集F+语录4条；  ②范围：通过挖掘年轻人的需求，提炼出走心语录（类似江小白）；  ③话语可以表达F+的品牌理念，产品理念，你对F+要说的话，你想让F+帮你说的话等等，最后可以署名也可用昵称。三、知识产权说明：    ①所设计的作品为原创，为第一次发布。未侵犯他人的著作权和相关法规。如有侵犯他人著作权，由设计者承担所有法律责任。    ②中标及入围的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权、使用权和发布权等，并有权对设计作品进行修改、组合和应用，设计者不得再向其他任何地方使用该设计作品。,任务编号：870115,o5d2accffe199a,o5d1593ea18754
【专业代笔】为职场写作类公众号约写作技巧类稿件,https://task.epwk.com/869057/,1605人,4人,¥100,铁笔担道义,￥ 100,￥ 100,2020.06.09,"“金牌文秘在线”是一个关注“公文写作技巧、职场经验分享和原创写作范文”的公众号平台。自创办以来，公号运营人员充分利用繁忙的工作之余，阅读、思考、写作，致力于提炼最干的写作心得，分享最优秀的公文范文，这种不计报酬、不博名利的无产阶级奉献精神得到不少公文从业者的高度认可和好评。尤其是一些初入职场者读罢写作心经类文章后，直呼“到位、有用、过瘾和谢谢”，并希望获得更多直接可用的写作技巧和职场规则。

鉴于此，“金牌文秘在线”公号平台特约稿如下：
1.主题：“我写公文有绝招”。分享公文写作中最为实用的技巧和手法。可以是写作能力积累方法，也可以是某种公文写作技巧，还可以是其它能让人受益的写作经验……
2.字数：800字+
3.其它要求：坚决原创，不要洗文；切口要小、不要贪大；观点明确、不要混乱；表述准确、不要拖沓。
4.奖励办法：一是每篇采用稿件均单独支付稿费。二是优秀合作者独享赞赏赏金。",任务编号：869057,o5d1593ea18754,九品芝麻
【其他】寻找创意段子、创意梗、搞笑段子,https://task.epwk.com/867927/,1746人,15人,¥100,CG新视界影视,￥ 100,￥ 100,2020.06.05,根据短视频创作需要，特寻找原创创意段子文案，要求如下：1.上传段子文案为原创2.段子中的梗为2-3个3.字数不超过500字4.广告、污段勿扰,任务编号：867927,秋天的创意小屋,一丝爱痕
【品牌起名】征集自助饮料售卖机现有品牌英文名称及广告语（中英文）,https://task.epwk.com/867483/,1720人,68人,¥300,o5eb900fc52342,￥ 300,￥ 300,2020.06.04,"征集要求：一、征集自助饮料售卖机现有品牌“邂源”的广告语（中文）：1.原创作品，构思新颖，有艺术性和感染力；2.简单，易读，易记，易传播，有较强的画面感。3. 字数在10字以内，同时附上必要说明或释义。二、“邂源”及其广告语的英文：1.英文语境优美，忠实于中文。2.英文符合外国人的语言习惯，不要中式英文。3.英文尽可能简洁。知识产权说明：1.所提交的作品必须原创，未侵犯他人的著作权，如有侵犯他人著作权，由投稿者承担所有法律责任。2.中标的作品，我方支付稿费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对作品进行修改,组合和应用。",任务编号：867483,雨打芭蕉   文案·设计,乐活创享
【广告策划】给一个全自动旅游视频拍摄制作项目广告语征集,https://task.epwk.com/866266/,2498人,109人,¥500,荣麒杰,￥ 500,￥ 500,2020.05.31,全自动旅行纪念视频拍摄制作项目。项目介绍：游客进入景区后，先交纳1元钱，领取一张芯片卡，随身携带后进行观光游览，芯片卡会触发景区内观光路线上架设的多摄像机自动拍摄真实游览视频，系统全自动为游客制作3部时长不同的旅游纪念影片，3部影片都会在游客游览期间就直接传输至手机微信里，供其免费下载或者免费 观看，其中最短的适合微信朋友圈的是10秒，包含在1元里可以直接免费下载，另两部30秒、120秒的影片可以在手机上免费观看，满意再付费下载。所有影片内容均为游客个人真实游览视频+景区四季风光。目前我们的样板项目落户在河南焦作云台山，国家5A级景区。名称叫“一块钱带你航拍云台山”项目特色：1、拍摄、制作、交付到游客微信全过程都是自动的，游客在游玩的同时微信上就可以收到制作完成的影片。2、影片包含游客旅行时真实视频+景区四季风光+音乐，景区风光部分都是由电影战狼的航拍团队完成的，整个项目的编辑思路有央视资深导演设计的。3、影片直接发送至游客手机，先免费观看，满意后再付费下载，不满意四天后自动清除。4、影片由游客游览时真实视频。5、游客可以解放双手轻松游玩的同时，获得自己专属的旅游纪念影片。希望通过广告语让游客了解项目内容，吸引游客来参加。要求：广告语不超过20个字。超过视为废标,任务编号：866266,专业级服务商,玉兔儿原创工作室
【品牌起名】起一个汽车改色膜品牌名,https://task.epwk.com/866126/,1772人,58人,¥150,o5ea59c92c9329,￥ 150,￥ 150,2020.05.30,英文+中文 2-4个字左右 汽车改色膜行业的,任务编号：866126,emptycolour,雨打芭蕉   文案·设计
【品牌起名】珠宝公司起名,https://task.epwk.com/864860/,2584人,108人,¥300,o5eccdf672b17d,￥ 300,￥ 300,2020.05.26,珠宝业务主要倾向于 珠宝制造、精品加工、匠人匠心，希望能体现出这些的关联联想。起名最好能中英文对照，可以注册商标。名字需要大气、国际范。,任务编号：864860,嘉福设计,o5ecb41f647b5c
【广告策划】广告语征集，参考杜蕾斯,https://task.epwk.com/864542/,5218人,181人,¥500,o5ecb1419c5bef,￥ 500,￥ 500,2020.05.25,广告语征集：参考杜蕾斯 ，带有隐晦的色彩又不失去趣味。广告语的关键词是 脚五洲 。是一款除臭的鞋垫  要求广告语的主题和运动足球相关，足球因为脚臭影响射门，如何体现不脚臭又能尽情的射门广告语呢？就发挥想象了。举例：1.床上杜蕾斯，场上脚五洲。横批：使劲射   2.杜蕾丝也挡不住脚五舟的劲射！男人必须射进去！脚五洲 除脚臭，球门一脚就穿透！还有好多的创意不列举了。希望发挥你的想象和文采，有更多的创意。,任务编号：864542,创享文案工作室,色彩印象工作室
【品牌起名】茶品牌名称征集（可注册）,https://task.epwk.com/863753/,1807人,122人,¥400,一只快乐的冬瓜,￥ 400,￥ 400,2020.05.22,任务需求：茶品牌商标命名，要求可注册。计划开发一款茶叶：养生，原生态茶，产品包装形式为独立小包装冲泡，产品作为伴手礼。可以向“ChaLi”等好记、有特点的命名风格靠拢。起名要求：1、主要为中文名。2、品牌名称要好记有特点，易于传播。3、有创意但不失稳重，可适当带有互联网属性。4、可注册商标第30类（3002茶）。,任务编号：863753,妙设计工作室,云梦海魂
【宝宝起名】宝宝取名,https://task.epwk.com/863711/,3101人,176人,¥150,可叹一世闲尘,￥ 150,￥ 150,2020.05.22,女宝宝，2020年5月19日23点20分出生，父亲姓蔡，母亲姓龚。希望孩子能阳光向上，平平安安。求一简明、寓意好的名字。,任务编号：863711,j鬼才,风水起名
,,,,,,,,,,,,
【公司起名】产品研发和产品销售公司起名,https://task.epwk.com/862684/,2048人,50人,¥100,ftt_kenneth,￥ 100,￥ 100,2020.05.19,公司未来想承接两大块业务（咨询和产品研发销售）1.有自主研发设计能力，且能将成功案例快速复制和跌点；2.可以给客户提供高效优质的生产技术服务和咨询，帮客户快速提升生产效率和产品迭代，给客户提供一站式的优质供应链配套服务；3.公司主营家电/陶瓷与家电/家装融化产品，陶瓷以人造石/岩板等材料为主题应用；4.以上为公司未来的主营方向，公司名字简洁，意深，中英文均可，名字要有故事可讲；,任务编号：862684,千灵 取名+logo设计,清水左岸
【品牌起名】TO B 农产品品牌 起名,https://task.epwk.com/860943/,1849人,69人,¥200,ariellee521,￥ 200,￥ 200,2020.05.13,"有机农产品品牌名称征集，创始人为退伍特种兵。                            经营介绍：天然有机农产品，包括蔬菜、水果、蛋、肉等，目标客户为企业或学校，人群档次偏上对饮食注重并有一定的要求                    要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标，方便设计LOGO                            3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：860943,o5d34069cab7b5,千灵 取名+logo设计
【品牌起名】逼格高一点的产品名称,https://task.epwk.com/859756/,2528人,127人,¥150,suge,￥ 150,￥ 150,2020.05.09,婴童产品起名，要求已读。易懂。易记。简单明了。逼格高一点。那怕看起来不像婴童产品也没关系，只要觉得逼格高,任务编号：859756,一角形,小苏创意工坊
【网店取名】互联网贷款平台取名,https://task.epwk.com/859154/,7061人,291人,¥600,mf156****0500,￥ 600,￥ 600,2020.05.07,"1.不要有重名，新起的名字商标网或天眼查查过，确认没有别的平台取过。2.平台放贷额度高、速度快，属于互联网线上贷款，名字从1.额度高。2.速度快。3.接地气（花呗、有钱花）4.高雅大气。任何一个角度出发都可，或者有自己的别的想法，不局限于上述4个方向。3.在1项前提下，可以不拘泥于2项，只要名字满意。但请写出取名字的寓意，为何要起这个名字。投稿可以多想一些,名字多还是易挑到合适的，虽然只定版1个名字，但是给3个人都发奖金，鼓励多多帮我想想，名字字数要求：3个字",任务编号：859154,千灵 取名+logo设计,杰叔设计工作室
【公司起名】给网站取个英文名,https://task.epwk.com/859006/,2276人,58人,¥100,ruyan520,￥ 100,￥ 100,2020.05.07,准备取个中文名叫结点网，注册一个域名做网站，但很多英文名已经被注册了，帮取个好记的英文名，然后搜索下域名有没有被注册，已被注册的无效；结点--寓意结构的点子/点滴，或者总结的点子/点滴；或者把中文名也改一下也行，配合取个英文域名，网站主要就是结构/机械工程师交流用的；,任务编号：859006,发现的观察力,emptycolour
【品牌故事】品牌注释,https://task.epwk.com/857829/,1944人,21人,¥200,痞子凯,￥ 200,￥ 200,2020.05.03,Corrydelaan第三类商标，主要用化妆品品牌注释,任务编号：857829,o5e03468d43bd6,一品义轩
【品牌起名】销售公司大区总经理后备干部培训项目名称,https://task.epwk.com/857466/,2380人,96人,¥100,o5eaa2ce19df91,￥ 100,￥ 100,2020.04.30,1、培训项目名称要体现是高层销售领导的后备含义；2、培训项目名称本身具备第1条的内涵，且容易识别；3、培训项目名称要充满正能量；4、可叫**（两字或三字）计划、班、训练营，例如“青蓝计划”。,任务编号：857466,炽铜号铺,如一家的文案小铺
【品牌起名】瓶装代餐奶昔产品起名,https://task.epwk.com/855728/,4173人,189人,¥360,牟牟lau,￥ 360,￥ 360,2020.04.24,"介绍： 产品为在网络上进行快销的代餐瓶装奶昔，主要针对喜欢网购的95后并且有健康减肥需求的一二线城市新中产人群，现为这款产品征集一个名字。产品外观可参考附件图片。        要求：                                    1、产品主要营销方向在网络上，要求能第一时间抓住眼球，名称响亮、易记。                            2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：855728,筑梦之地,雨打芭蕉   文案·设计
【品牌起名】手撕面包品牌起名,https://task.epwk.com/855373/,2625人,130人,¥100,yang3****0147,￥ 100,￥ 100,2020.04.23,品牌起名：通俗易懂，可动物、植物等，突出面包类，建议是3-4个字以内，商标可注册30类,任务编号：855373,新世科技文化工作室,你好是莫
【广告策划】风机店铺需要广告语,https://task.epwk.com/855190/,2358人,100人,¥100,o5c490b6d8b914,￥ 100,￥ 100,2020.04.22,品牌名称 ：弘科风机。客户人群：采购。使用功能：厂房通风。客户述求：厂房温度过高，员工过热，需使用风机散热，工业产品。客户人群：企业采购，所有需要通风排烟的领域。店铺链接：https://detail.tmall.com/item.htm?spm=a212k0.12153887.0.0.4e60687dxRDeVV&id=596996318550需求：定制一条广告语，一眼明了我们专做厂房风机，体现品牌性。一句话概括要点 让客户一句话就知道我们这产品是用在哪里的，有什么作用。从而记住我们。,任务编号：855190,徕徕徕工作室,今天也没变成玩偶呢
【品牌起名】艾草行业品牌取名起名,https://task.epwk.com/854944/,4276人,169人,¥401,我是小白杨,￥ 401,￥ 401,2020.04.22,艾草行业取名，三字为好！要求能吃透艾草，艾灸行业文化，了解中医中药、岐黄之术，可以注册商标，名字通俗，大气有寓意，兄弟姐妹们觉得自己是个有才 大气，大胸怀者快快请来吧，赏金可增加，成功者可终身免费享受我们的产品以作回报！,任务编号：854944,愚游天下,o5b613c1d0f616
【品牌起名】APP品牌起名,https://task.epwk.com/853608/,2658人,148人,¥300,o5e98****53580,￥ 300,￥ 300,2020.04.17,一款汽车综合服务平台app，服务人群偏B端一点（二手车商、汽车行业从业者等）1.无字数要求，只需要想名字，不需要设计logo。2.建议名称确定后百度搜索一下，看看是否有重复品牌公司。3.要求至少全拼能注册域名。为了避免复制抄袭，投稿请设置加密，设置仅雇主可见,任务编号：853608,苦行僧solo,云悕
【品牌起名】公司品牌取名,https://task.epwk.com/852358/,2164人,97人,¥150,mf139****0325,￥ 150,￥ 150,2020.04.13,电-竞-培-训-学-校 -取名。,任务编号：852358,灵猫创意工作室,神机北辰
【广告策划】品牌广告语宣传征集,https://task.epwk.com/851791/,5637人,220人,"¥2,000",o5bdeb929eb9e6,￥ 2000,￥ 2000,2020.04.10,公司简介安阳市普惠包装有限公司创立于2004年，通过15年来的辛勤耕耘，坚持诚信、服务、开拓、创新的企业精神，已逐步发展成为华中地区乃至全国具有影响力的塑料复合彩印包装行业专业研发与制造商。追求品质矢志为客户提供更高价值的包装服务，是普惠存在的意义和价值。普惠包装是一家专业做塑料包装的企业，我们正在努力打造成为行业领军者，普惠包装一直在为达到这个目标而坚持不懈的努力着！广告语要求：着重以“普惠包装”内容上下功夫，字数20个之内。广告语设计一定要有大气感、时代感、科技感、未来感十足的广告内容，拜托了！要求：1。简洁凝练，2.明白易懂，3.朗朗上口，4.新颖独特，5主题突出。简约大气，一定要有深意，例：不是所有的牛奶都叫特仑苏，钻石恒久远，一颗永流传等等，类似这样的感觉。,任务编号：851791,mtx521,虎三
【爱情表白】请大家帮忙征集举牌照片,https://task.epwk.com/851263/,5009人,11人,¥100,o5e8dff8275c7d,￥ 100,￥ 100,2020.04.09,"1 .  需要实拍的照片
2.  举牌内容可自由发挥，表达喜欢和爱意  
     格式     小宋老师：
                               后面自由发挥的内容（大概意思就是      
                               彼此之间的理解和包容，相濡以沫，
                               我（小黄同学）认定了她就是我心里要            
                               找的那个共度余生之人,是老天爷安排的
                               缘分）
3. 女友是幼师，喜欢小孩，所以举牌拍照的最好是大家家
    里的小朋友",任务编号：851263,是勾勾哦,Z+文案中作室
【品牌起名】渔具品牌名称征集,https://task.epwk.com/850118/,2020人,124人,¥100,o5e882c883deff,￥ 100,￥ 100,2020.04.04,征集特色渔具品牌名字，中文和 英文结合，文字简短,任务编号：850118,苄苄626,YS策划
【品牌起名】瓷砖卫浴品牌取名,https://task.epwk.com/849897/,4935人,197人,"¥2,000",FUMA,￥ 2000,￥ 2000,2020.04.03,"家装建材类，瓷砖及卫浴要求如下：1. 新中式风格名字，两个字为佳（也可以多字）。2.可联想到瓷砖及卫浴为佳3.要有美好寓意，易记，文雅，有创意。4.可注册商标5.需要20个名字，一、二、三、四、五等奖的版权均归雇主所有，所有名字后期均需要可注册，若是后期注册不了，中标的服务商需要配合雇主修改。说明：作品为原创，且为第一次发布，如有侵权行为由设计师承担责任。中标作品所有知识产权付费即为转让，设计者不得另外其它地方使用。我方有权对中标作品进行修改、组合和应用。,家装建材类，瓷砖及卫浴要求如下：1. 新中式风格名字，两个字为佳（也可以多字）。2.可联想到瓷砖及卫浴为佳3.要有美好寓意，易记，文雅，有创意。4.可注册商标5.需要20个名字，一、二、三、四、五等奖的版权均归雇主所有，所有名字后期均需要可注册，若是后期注册不了，中标的服务商需要配合雇主修改。说明：作品为原创，且为第一次发布，如有侵权行为由设计师承担责任。中标作品所有知识产权付费即为转让，设计者不得另外其它地方使用。我方有权对中标作品进行修改、组合和应用。",任务编号：849897,创意好名,今天也没变成玩偶呢
【品牌起名】数码3C类品牌商标取名,https://task.epwk.com/848416/,2946人,69人,¥300,o5e7cfd2162d70,￥ 300,￥ 300,2020.03.30,"产品背景：数码3C类目，主要是移动硬盘，U盘，固态硬盘，内存卡，蓝牙耳机等电脑配件周边的数码产品，以移动存储为主，重点围绕数码产品做扩展提供行业内(优秀同行)的品牌名做参考：像世界知名品牌就不用多介绍了希捷，西部数据，东芝，闪迪，三星，等国产品牌 中文＋英文倍思 / Baseus奥睿科 / OERICO科硕 / KESU蓝硕 / Blueendless菲硕 / feishuo忆捷/ Eaget小盘 / XDISK柏域斯/ PIRISI朗科 / Netac喜储 / HEYGATE绿联 / UGREEN纽曼 / newsmy等等很多，可以自行去天猫京东查看取名要求：1.朗朗上口，易读，易传播，必须是原创2.名字要中文＋英文 后面考虑进军海外市场 （字数限制2-4字 ）3有无含义都没有关系（但是名字必须顺口好记有创意），有的话更好请加上释义4.可注册9类商标 5.可以多取一些名字，我这边需要注册2个商标备用。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：848416,品牌合作方,laobandaqi888
【公司起名】云仓物流公司起名2个字,https://task.epwk.com/848289/,4172人,175人,¥300,o59c280554dace,￥ 300,￥ 300,2020.03.29,云仓就是利用现代化数据管理技术和仓库物流相结合，仓库遍布各地，优化发货线路和物流方式的仓储物流形式。起名两个字例如：**云仓物流中心好听，百度里没有重名即可,任务编号：848289,外烟电子烟出售,蹦沙卡啦卡
【品牌起名】为美发产品命名/网红洗护发产品命名/发膜产品命名,https://task.epwk.com/847650/,1705人,104人,¥200,ZebelHu,￥ 200,￥ 200,2020.03.26,本次征名为美发产品命名，目的是打造一个全新的美发品牌。现旗下自有三家美发店，想打造自己的洗护发产品。产品类型：洗发乳、护发素、发膜产品功能：基础清洁、控油、护理产品定位：时尚、清爽的洗护发产品，大众都能消费；产品受众：年轻父母及小孩；单身男女；产品线：家庭套装；单身套装。命名要求：1、需要朗朗上口、便于记忆的名字；2、名字尽量简洁；3、可以很土，如：春娟、大宝；也可以很洋，如：施华蔻、卡诗；4、须为03类、35类均可注册；5、不接受生僻字。,任务编号：847650,千灵 取名+logo设计,晴天的时光机
【品牌起名】正能量的网站起名,https://task.epwk.com/847432/,2220人,146人,¥100,ruanyp,￥ 100,￥ 100,2020.03.26,这是一家专门跟骗 子、垃圾人做斗争，以维护世界正义为已任的网站，起一个正能量的名字，并且配上一段宣传语。比如： 名字：人 渣垃圾桶宣传语：把心里的人 渣塞进垃圾桶，享受心灵宁静,任务编号：847432,天才少女fighting,FCHZ
【网店取名】网站电商商城取名,https://task.epwk.com/845224/,2669人,68人,¥200,o5971cac77227b,￥ 200,￥ 200,2020.03.18,本公司是网上多商户商城的，经营范围是地面铺装（地板 地毯 地垫 大理石 瓷砖 草坪等）行业商城，电商商城定位：专业的地铺行业商城     现需为电商商城取名要求：1、名称为2个字或4个字，简单易记、能够突出行业特点（地面铺装）            2、在国家商标局官网上查不到相同的名称；需要能够注册成商标的            3、且不可与其他公司名称重复，在国家工商局找不到相同的名字；            4 、一级域名（.com）如果四个字命名的可首字母拼音缩写；二个字命名的可全拼，英文也可以，未被注册；             5、百度查询不到有重复的网站名字。其他平台未注册名称,任务编号：845224,茜仟,品牌合作方
【品牌起名】教育软件APP起名,https://task.epwk.com/844204/,9082人,521人,"¥3,000",gudunongfu,￥ 3000,￥ 3000,2020.03.15,"1、产品：幼儿园、中小学的：智慧管理、网络教学、互动学习的APP和管理平台；2、名称要求：可注册、与教育关联、简单易记、四字以内（最好三字或以内）；如：（智教云、学而思、微校、校宝、智慧星、云教务、作业帮......）3、非作品的广告投放，一律淘汰。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、设计的作品一旦中标，便由我方拥有该作品的知识产权，包括著作权、使用权和发布权等,我方有权对设计作品进行修改、组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：844204,hanqiaoso的店铺,酱紫知识铺
【店铺/网店起名】急求水果、食材店起名,https://task.epwk.com/840439/,2926人,140人,¥100,charlo,￥ 100,￥ 100,2020.03.02,准备开设一个店铺，店铺主要销售中高端水果、进口牛扒等中高端食材和港货零食，目标客户为20-40岁之间有一定消费能力的中、青年。期望起一个店名能有足够创意能吸引年轻客户，并且朗朗上口。会从中选取店名让大众新媒体运营，运营推广结果会决定前五名。,任务编号：840439,o5e44c7cd8e554,心悦设计
【宝宝起名】帮宝宝取个好听的名字,https://task.epwk.com/837358/,6633人,134人,¥100,o5cf4d975c953d,￥ 100,￥ 100,2020.02.19,性别女，姓刘，要求好听好记优雅有内涵的名字,任务编号：837358,弑神天师,彬银小铺
【宝宝起名】给二宝女儿起名,https://task.epwk.com/834445/,3971人,166人,¥100,o5a9c0d352995b,￥ 100,￥ 100,2020.02.06,出世时间：20200206 零晨1：25父亲名：何国泉母亲名：谭绮烂姐姐：何卓优要求：带起名说明，以什么理由起名，为什么要起这个名字，起这个名字好坏等~如需要提供其他更详细的信息才可以起名，可联系微信,任务编号：834445,o5d34069cab7b5,o5e3852af1241d
【广告策划】单位展陈内容金句&标语征集,https://task.epwk.com/831866/,2914人,37人,"¥2,000",o5e09bce04956e,￥ 2000,￥ 2000,2020.01.15,由我方举办的“生态文明&科技创新金句评选”活动正式启动，本次活动旨在为单位展厅选出国内外名人的“金句”呈现我方在生态保护、科技创新和长江保护方面的使命与担当。 “金句”要求：1、金句要求围绕生态文明、科技创新、长江保护三大类主题进行甄选。2、提交的“金句”标语必须注明作者与出处，来自文献的金句需注明文献名称、出版社、页码、作者等信息，务必做到内容可究、可考，严禁自己杜撰。3、为保证提交标语的水准与质量，参与者可认真研读相关文献，比如与习总书记“生态文明”思想相关的论著、讲话等。4、除了“绿水青山就是金山银山”这样知名度比较高的标语，同样鼓励参与者深入挖掘、遴选国内外高水准“金句”标语。5、提交的金句每个主题不少于5条（一共三个主题，至少提供15条），多者不限，最终评选以提交内容的含金量和数量作为依据，解释权归我方所有。,任务编号：831866,愚游天下,半缘君
【品牌起名】3C智能硬件品牌英文起名,https://task.epwk.com/831651/,1916人,44人,¥300,o5cff56a73a7fa,￥ 300,￥ 300,2020.01.15,1.两个3C智能硬件品牌英文名称。2.5到8个英文字母组成。3.易读易记，简洁4.符合电商营销。5.需要可注册商标的名称,任务编号：831651,茜仟,见证奇迹
【品牌起名】母婴玩具产品商标名称征集,https://task.epwk.com/786537/,2156人,77人,¥600,逆流而上001,￥ 600,￥ 600,2019.08.24,中英文结合的母婴玩具产品商标名称1、起一个好听好记中英文结合的商标名称2、主要是适合母婴和玩具产品3、要求不和和别人的重复，能注册，有新意,任务编号：786537,Mr小发,sssdaojian
【品牌起名】健身轻食类食品品牌起名,https://task.epwk.com/830878/,2285人,97人,¥200,才高八斗大先生,￥ 200,￥ 200,2020.01.12,本公司主营健身轻食类食品主要供应有减肥健身需求的人群希望名字中文 2-3个字英文也可以   最好不要超过12个字母  可以有2个单词组成 简单 大方  年轻,任务编号：830878,九龙文案,千灵 取名+logo设计
,,,,,,,,,,,,
【公司起名】教育科技公司起名/公司名称/品牌名称,https://task.epwk.com/827326/,2633人,133人,¥300,long1****118,￥ 300,￥ 300,2019.12.31,公司经营范围：针对高等教育（大学）的教学用软件、课程、在线学习平台、教师进修培训等。公司性质为教育科技类新公司，例如公司字号是“金果”，那么对应的公司名称为：上海金果教育科技有限公司，请提供公司名称时留意字号放在整个公司名称中之后的朗读是否和谐。公司名称要求：希望通俗易记，郎朗上口，有趣好玩的名字更受我欢迎，2-3个字最好。能够提供对应英文名称并给予诠释的最佳。我喜欢的商标名称示例：金果、新东方、华科、新科、小米、云谷、高派、腾讯等。,任务编号：827326,万思新的商铺,艺点策划
【宝宝起名】王姓男宝宝取名,https://task.epwk.com/827156/,2772人,112人,¥100,神域的角落,￥ 100,￥ 100,2019.12.31,"1.生日： 宝宝：公历2019年12月30日凌晨4点35分，农历腊月初五；宝爸：王铮   1983年9月27日 农历8月21宝妈：张雯雯 1987年6月26日 农历6月初一2.要求：①取三字名，王XX，不使用生僻字,简洁大气，不易重名；       ②不要有不好的谐音，名字中任意相邻字不要有音调重叠；       ③创意最好有古诗词等文学底蕴，例如寓意平安，健康，顺利，或高尚品格等等            ④请附带详尽的名称寓意及出处，命理解释；真诚感谢大家的帮助！",任务编号：827156,o5928ed280b9c3,十月创意工作室
【品牌故事】万豪羽绒征集广告语及品牌故事征集,https://task.epwk.com/826626/,2229人,47人,¥300,cnsufang,￥ 300,￥ 300,2019.12.29,万豪羽绒是一家专业羽绒家居的品牌，企业生产，销售，外贸，电商整个销售链，企业征集广告语，品牌故事 ，公司注册商标为  豪绒,任务编号：826626,今天也没变成玩偶呢,湖南口袋熊文化传媒有限公司
【品牌起名】食品饮料酒类品牌英文起名,https://task.epwk.com/825438/,1455人,53人,¥200,o5c9863bdac491,￥ 200,￥ 200,2019.12.25,"适用于多个品类的英文名称要求：1. 文字要求：英文名称，字母组合或者单词都可以，最好的双音节的，例如：Dove,NIke，Iphone之类的2. 主题要求：时尚年轻有趣的名称（占其中一个也行）。3. 名字朗朗上口，容易铭记，最好附带上中文最好。4. 最好附上创意说明知识产权说明。所起的名字为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由起名者承担所有法律责任。获奖加分项：名称积极向上，与海洋相关，附带的中文名称也很优秀，可注册注：加分项不直接影响评选结果",任务编号：825438,o5d34069cab7b5,仟仟™孤媒
