标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【产品卖点】赣南脐橙 产品故事撰写,5648人,29人,¥200,圆满完成,橙子姐姐,自家种的赣南脐橙上市了，产量有10万斤左右，想在微信和朋友圈推广，需要一篇产品故事，让人看完有购买冲动。（本人自己在城市工作，橙子园由家人打理，产品有10斤装和20斤装，保证新鲜，包装精美，快递直送）要求原创，字数不限，故事独特，有吸引力。,2017.11.07,2017.11.20,任务编号：551236,￥ 200,,夫子工作室,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】为这款好内衣取一句动人的广告语！,8522人,172人,¥500,圆满完成,策联社团,有一款女士的文.胸。内。衣，核心罩杯采用独家原创“羽绵杯”（以前全行业全是用的海绵、泡沫或其它填充物），“羽绵”内衣属于一个新的内衣品类，更健康，以“软”“挺”和“轻”为核心设计理念，感受犹如羽毛般的轻盈、柔软，零感、舒适透气不变形，为女性朋友创造一个非常舒适健康的的穿着体验和给。乳。房一个安逸的静享空间。请为这个产品给一句动人的广告语，让女性朋友们看了或听到都想要体验。基本要求是：好的广告语，是用于传的，不仅仅是用于播的。因此，1、在设计语言的时候，要简单地给受众一个准确的信息；2、只用行动句或陈述句，3、只说事实，不用形容词，4、不是“我说一句给她们听，而是“提供一句话给她们说给别人听”。,2017.11.06,2018.02.17,任务编号：551017,￥ 500,,极思视觉,,,,,,,,,,,,,,,,,,,,,,,
【品牌故事】撰写十九大学习心得,2569人,12人,¥150,圆满完成,打醒那只土拨鼠,不要求有深度和水平，一般即可不能是网上抄的，可以重构句子，但是不能根据某些字或某句话在网上搜到字数大概1500字左右，能结合社会工作和社区工作建设等更好。,2017.11.06,2017.11.14,任务编号：550885,￥ 150,,虎三,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】宝宝爬行垫广告标语,5100人,95人,¥100,圆满完成,o59ffecec70f6c,广告宣传语编辑，品名：宜丽宝，主要做爬行垫，希望有一个大气，吸引人的广告标语，字数不限,2017.11.06,2017.12.07,任务编号：550860,￥ 100,,虎三,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】教育行业品牌取名征集,3444人,98人,¥200,圆满完成,一品通无忧,一、公司主要以幼儿教育行业（开办幼儿园），教育培训为主，以及幼儿行业涉及的别的相关产业。别的教育产业为辅。现需要一个品牌名，要求是可以注册商标。二、取名要求：1、名称要热情亲和，简单易记；2、名称要有好的寓意，能体现团结奋斗，拼搏向上，创新开拓的精神；3、名称最好是纯中文，名称字数不限，可自由发挥创意。4、附上说明，提交格式如下：名称：释义：商标是否可以注册：商标查询：http://sbcx.saic.gov.cn:9080/tmois/wsjscx_getJscx.xhtml</span></span> 三、知识产权说明：1、提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。联系QQ：169796682,2017.11.06,2017.11.17,任务编号：550798,￥ 200,,o59c3bdbaaf585,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】食品糕点商标品牌取名起名征集,6084人,155人,¥160,圆满完成,htkm,1、此次品牌取名定位于食品、糕点行业，最好有食品故事，食品背景或食品文化。2、中文取名字数请保持在4个字，易读，朗朗上口。3、以“美味”打头，有故事，高端，大气，比如：美味年代，美味美各；4、确保29、30类下可以注册；,2017.11.05,2017.12.09,任务编号：550701,￥ 160,,诚心店铺,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】美容化妆品牌的取名征集,4205人,115人,¥200,圆满完成,o59fd9bdcd2a23,起名 美容化妆品牌的名字1、第三类，用于加盟销售2、3-4个字左右，能吸引人3、必须要注册商标使用4、附上创意说明。,2017.11.05,2017.12.04,任务编号：550559,￥ 200,,ZW1497399062,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】高分子材料公司起名,4490人,110人,¥350,圆满完成,yuiefcnow,"全称：山东XX高分子材料有限公司经营范围：橡胶制品、塑料制品、汽车零部件以及其他高分子材料类产品的的研发、生产、销售。要求：1、必须能通过工商局核名并注册成功2、名称有创意、有意义、体现主旋律（比如环保理念）和现代化企业的内涵，突出行业特征3、字数为2-3字为佳，附上创意说明知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.11.05,2017.12.11,任务编号：550557,￥ 350,,Tsai志强,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】食品糕点商标品牌取名起名征集,6428人,97人,¥360,圆满完成,htkm,中文商标取名要求1、此次品牌取名定位于食品、糕点行业，最好有食品故事，食品背景或食品文化。2、中文取名字数请保持在2—4个字。3、品牌中文名称要朗朗上口，易于记忆和传播，（4个字要求顺口）。4、时尚且突出主题，突出品牌元素、要有视觉冲击力，醒目易识易记，要求有创意。5、主题元素：有食品的故事、内涵，有一定额文化底蕴。6、请一定要确保取的名字在商标30类下可以注册。7、取名后，要附带背景、故事、内行的创意说明。8、要求必须是原创，不得是电脑取名。9、最好附有英文商标。,2017.11.04,2017.12.11,任务编号：550515,￥ 360,,ZSX赵发财,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】电动车连锁店铺取名,3903人,120人,¥150,圆满完成,o59fd2d4f03c00,"店pu名称征集，本公司位于唐山。经营介绍： 代理国内一线品牌电动车 自行车 三轮车 新能源。要求：1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明。4、最好2个字左右，例如xx车业。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.11.04,2017.11.27,任务编号：550347,￥ 150,,IT程序猿,个人,九品,36分,,,,,,,,,,,,,,,,,,,,
【公司起名】公司注册名字征集,3899人,105人,¥200,圆满完成,o59fc****83020,"打算注册一家体育产业有限公司，想一个比较阳光，比较好记的名字。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.11.03,2018.03.10,任务编号：550135,￥ 200,,极思视觉,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】私房菜店铺起名,6205人,180人,¥300,圆满完成,qwe171_1,"私起名房菜店铺                                    经营介绍：本餐饮是专注做特色酸菜“鲈”鱼，广东粤北山区农家菜为主的餐饮店，店铺位于城市河江边，环境是江岸水乡：顾客主要以家庭和8090后客人为主。                                要求：                                                                            1、大气、简洁、明快;                                                                2、易传播，突出餐饮品牌元素;                                                                3、能体现特色，合符8090后客人思维。                                            4、附上创意说明。（可注册）5、如有要求上需要了解可致电13612667121，黄先生。6、如优秀者后续可直接考虑合作logo设计                                                    知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.11.03,2019.02.08,任务编号：550076,￥ 300,,hencongmingde,个人,四品,37分,,,公司品牌店铺所有起名,￥1000,,,,,,,,,,,,,,,,
【品牌起名】女性服装品牌取名征集,3216人,94人,¥100,圆满完成,o59d7****15651,女性服装品牌取名轻奢主义类、体现舒适、魅力、气质四个字以内年龄段符合25-50，另外服装公司取名体现现代、轻奢、匠心。可注册。,2017.11.01,2018.05.24,任务编号：549346,￥ 100,,名文【取名+LOGO+文案+VI】,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】健身工作室品牌起名征集,5115人,133人,¥300,圆满完成,o59323fa636988,动感单车健身工作室品牌起名，连英文字母，2一3字。要求体现轮毂转动所带来瘦身理念及美好享受。注品牌念义！,2017.11.01,2018.01.22,任务编号：549362,￥ 300,,柒叁文化传媒有限公司,企业,七品,36分,,,,,,,,,,,,,,,,,,,,
【宝宝起名】刘姓男宝宝起名,8289人,152人,¥266,圆满完成,我往你来,姓氏：刘，性别：男，日期：2017年10月27日17时09分，要求：名字根据八字、五行、周易分析 且无生僻字，有文化底蕴，指明出处。,2017.11.01,2017.11.19,任务编号：549538,￥ 266,,三元堂宝宝起名字周易起名人工取名大师手工小孩取名字八字起名满意为止,个人,七品,38分,,,三元堂实体专业取名字宝宝起名字满意为止人工手工大师周易八字婴儿小孩新生儿改名字,"￥298
            /套",,,,,,,,,,,,,,,,
【产品卖点】蛋黄酥宣传软文撰写,13709人,22人,¥200,圆满完成,冠喜食品,"任务需求主要围绕“蛋黄酥”来写一篇类似于背景故事的宣传软文，要以蛋黄酥为中心结合网络流心语言，俘获年轻消费者的心，要有针对性。总共有3款产品：“扎心”流心酥、“捣蛋”蛋黄酥、“花吃”玫瑰蛋黄酥，可任意挑选一款撰写获或3款都写，3款赏金翻倍，具体主题请微信联系我，我的微信是 18958599197软文要求：1、文章主要印在包装盒上，要有吸引力，有趣味性，让人看了就想要买这款产品。2、要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备流行性皆可。3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;任务需求主要围绕“蛋黄酥”来写一篇类似于背景故事的宣传软文，要以蛋黄酥为中心结合网络流心语言，俘获年轻消费者的心，要有针对性。详细了解大家可以和我直接联系，我的微信是 18958599197软文要求：1、文章要有吸引力，有趣味性，让人看了就想要买这款产品。2、要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备流行性皆可。3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;,主要围绕“蛋黄酥”来写一篇类似于背景故事的宣传软文，要以蛋黄酥为中心结合网络流心语言，俘获年轻消费者的心，要有针对性。总共有3款产品：“扎心”流心酥、“捣蛋”蛋黄酥、“花吃”玫瑰蛋黄酥，可任意挑选一款撰写获或3款都写，3款赏金翻倍，具体主题请微信联系我，我的微信是 18958599197软文要求：1、文章主要印在包装盒上，要有吸引力，有趣味性，让人看了就想要买这款产品。2、要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备流行性皆可。3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;,主要围绕“蛋黄酥”来写一篇类似于背景故事的宣传软文，要以蛋黄酥为中心结合网络流心语言，俘获年轻消费者的心，要有针对性。详细了解大家可以和我直接联系，我的微信是 18958599197软文要求：1、文章要有吸引力，有趣味性，让人看了就想要买这款产品。2、要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备流行性皆可。3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.11.01,2017.11.22,任务编号：549446,￥ 200,,mf18639265972,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】软件产品起名征集,6752人,155人,¥500,圆满完成,o59f9****01714,我们现在做了一个留学应用软件云系统，需要起一个名字与留学相关的。然后域名和商标至少也能注册上的，不能被占用。,2017.11.01,2017.12.07,任务编号：549266,￥ 500,,jk8sz9,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】富贵足鞋子品牌名字征集,6102人,129人,¥150,圆满完成,o58d38697b4ead,取一个卖鞋的  以富贵开头的商标名字   要求查询过在来投稿要朗朗上口的   好记的就行,2017.11.01,2018.03.30,任务编号：549244,￥ 150,,意在前行,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】卖场名称征集,7053人,188人,¥400,圆满完成,o59f8561e7642d,品牌取名 卖场取名要求在附件里：请下载,2017.10.31,2018.02.11,任务编号：549161,￥ 400,,柒叁文化传媒有限公司,企业,七品,36分,,,,,,,,,,,,,,,,,,,,
【公司起名】公司取名,3743人,77人,¥200,圆满完成,baidushengzhe,江苏**科技有限公司江苏**信息科技有限公司江苏**技术有限公司江苏**信息技术有限公司经营范围：生物、健康、农副产品科技领域内信息技术开发、技术转让、技术服务、产品研发及销售；计算机软硬件、电子产品、网络产品的开发、销售；知识产权代理服务、信息咨询服务；商务咨询；会务服务； 设计、制作、代理、发布广告； 承办展览展示活动；字号两个三个四个都无所谓，两个要求：第一企查查里面搜索之后江苏区域没有这个字号第二 名典企业测名网里面测下来不能是凶,2017.10.31,2017.11.07,任务编号：549146,￥ 200,,lian_sad,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】苏州机电科技公司起名,3135人,65人,¥100,圆满完成,枯藤昏鸦sz,"全称：苏州**机电科技有限公司 营业范围： 研发、销售：机电设备及配件、金属材料、门窗及配件、五金制品、塑料制品、包装材料，并提供相关服务，自营和代理各类商品及技术的进出口业务。要求：1、必须可以通过工商核名能成功注册2、名称通顺，易记，有创意，有意义，两字最佳3、请附上创意说明，如果是英译中，也请提供英文的解释。备注：苏州工商卡的比较严，目前我了解到的信息如下：1、金字旁的字不能用2、ABC字号，会拆分为AB、AC、BC三个字号的分别核查，如果其中有一个已经被占用，那么ABC字号就不能够使用。3、同行业和相似行业以及主营业务相同相近的公司名称不能同字或同音，比如机电科技，机械制造，智能设备、五金科技等等算相似行业，工商局也会对比营业范围。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2017.10.30,2017.11.05,任务编号：548919,￥ 100,,见证奇迹,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】新公司品牌取名征集,3310人,81人,¥200,圆满完成,一品通无忧,一、公司主要经营内容：楚文化彩灯节的设计、运营、策划及制作，用彩灯的传播手段，对楚文化及不同文化进行交流和传播；各类广告设计、制作、代理、发布；影视制作、图文设计、动漫设计、手绘壁画设计，文化活动组织策划，文化艺术交流，市场营销策划，展览展示服务，手工艺术交流，农业初级产品销售。市场定位：用现代的传播手段，通过媒体来进行楚文化的传播和不同文化之间的交流。现需要一个品牌名，要求是可以注册商标。二、取名要求：1、名称要大气震撼，有国际化风格；2、名称要有好的寓意，能体现团结拼搏，创新开拓的精神；3、名称最好是纯中文或是中文+英文，名称字数最好6个字以内，并可注册商标；4、附上说明，提交格式如下：名称：释义：商标是否可以注册：商标查询：http://sbcx.saic.gov.cn:9080/tmois/wsjscx_getJscx.xhtml</span> 三、知识产权说明：1、提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。联系QQ：169796682,2017.10.30,2017.11.14,任务编号：548580,￥ 200,,汇杨品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】经纪人公司品牌起名,3609人,92人,¥100,圆满完成,mengjun8167,经纪人公司品牌起名，要求4四个字以内，从词意上要能够体现经纪人这个行业，名称的涵义能够使他们之间产生共鸣，音节简单容易上口，要有现代感新颖独特，本经纪品牌主要面向更重层次年龄男女，文艺，体育，表演，活动，模特，比武，书法家，漫画家，游戏高手，厨师，舞蹈演员，演员，歌手等有各种职业和技能的人全覆盖，帮助有梦想有需求的人实现梦想和更高的价值，所以名字的含义不能局限于某个行业的单项专业，本品牌是一个各种行业各种职业技能的全覆盖经纪品牌。要求可以注册商标名字可以是XX经纪人   XXX经纪人  XXXX经济人   XX经纪人  XXX经纪  XXXX经济人,2017.10.29,2017.11.24,任务编号：548505,￥ 100,,SalJoy℡,工作室,七品,38分,,,手工打造镂空折叠纸鹤造型,￥388,,,,,,,,,,,,,,,,
【品牌起名】女装公司品牌取名,6306人,136人,¥100,圆满完成,o59f4a286f339d,女装公司品牌取名25类,2017.10.28,2018.02.11,任务编号：548360,￥ 100,,蜀山文化传媒,工作室,七品,40分,,,logo设计 保证原创 保证注册满意 无限制修改,"￥155
            /次",起名取名提供查询注册 保证原创 保证满意 不限量 低价促销,"￥100
            /次",,,,,,,,,,,,,,
【广告策划】金道声汽车音响改装征集广告语,4256人,63人,¥100,圆满完成,金道声汽车音响,石家庄金道声汽车音响改装征集广告语行业：汽车改装服务业务：汽车音响改装、汽车隔音代理产品：美国斯道姆、法国劲浪、大能隔音站点:http://www.sjz-hs.com</p><p>请先了解店铺特点，再设计广告语广告语设计要点：1、突显店铺音响改装的专业性、负责、专业、认真2、对店铺有初步的印象3、语言精练、反映店铺特点4、好记，朗朗上口联系方式：手机：13011573076QQ：3060870234,2017.10.28,2017.11.20,任务编号：548219,￥ 100,,产品经理陈哈哈,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】新公司品牌取名征集,3899人,86人,¥200,圆满完成,一品通无忧,"一、我们主要是儿童纸尿裤，市场定位：西非加纳共和国，目标客户：加纳市场批发商及各大超市，现需要一个品牌名称，要求可以注册商标。二、取名要求：1、品牌名称要求是纯英文，名称字数不限，要可以注册商标；2、名称要简单易记，国际化风格；3、名称要有好的寓意，能体现创新的精神；4、提交格式如下：品牌（商标）名称：释义：商标是否可以注册：商标查询：http://wsjs.saic.gov.cn</span></span></span></span></span></p><p style=""margin:0px;padding:0px;line-height:24px;"">三、知识产权说明：1、提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。联系QQ：169796682,一、我们主要是儿童纸尿裤，市场定位：西非加纳共和国，目标客户：加纳市场批发商及各大超市，现需要一个品牌名称，要求可以注册商标。二、取名要求：1、品牌名称要求是纯英文，名称字数不限，要可以注册商标；2、名称要简单易记，国际化风格；3、名称要有好的寓意，能体现创新的精神；4、提交格式如下：品牌（商标）名称：释义：商标是否可以注册：商标查询：http://wsjs.saic.gov.cn</span></span></span></span></span></p><p style=""margin:0px;padding:0px;line-height:24px;"">三、知识产权说明：1、提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。联系QQ：169796682",2017.10.26,2017.11.07,任务编号：547674,￥ 200,,o59c3bdbaaf585,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】物流公司起名,6721人,182人,¥100,圆满完成,mf152****6529,公司：为工业企业提供物流一体化服务的公司；名字：2-4个字，用于注册，因此不能重名，请提供2款以上的命名思路；其他：需要有一定的寓意,2017.10.26,2018.01.22,任务编号：547647,￥ 100,,懒人视觉品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】美食app名称大征集,19650人,354人,¥588,圆满完成,w1102****,产品介绍：王师傅特色美食APP是一款利用移动互联网方便快捷优势，为方便广大学员学习正宗美食小吃技术而投入巨资打造的移动视频教学平台。名称要求：1. 名称要简洁明了，通俗易懂，便于记忆，寓意美好；2. 具有公司中华美食文化的内涵。名字一旦中标，后期将会有其他项目合作，望各位大仙各显神通，发挥你们无穷的智慧！谢谢！！下载附件，里面有产品安装下载地址详细了解我们的产品给出最切合的名字.,2017.10.25,2017.11.19,任务编号：547338,￥ 588,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】美食城起名,6055人,165人,¥100,圆满完成,o59f014c322cb0,美食城起名，洋气一点的，公司是做：商业运营和广告公司，我是给我们公司做的美食城起名字，,2017.10.25,2018.02.16,任务编号：547280,￥ 100,,善道品牌策划,个人,七品,38分,,,专业品牌起名命名，专业查询付截图，保证原创，修改满意为止,￥588,,,,,,,,,,,,,,,,
【宝宝起名】女宝宝取名,3935人,110人,¥100,圆满完成,曾经后悔过,母亲：姓詹   父亲：张         女宝宝取名字数要求：3个字希望名字能够有解读的含义。,2017.10.24,2017.10.28,任务编号：547067,￥ 100,,微信小程序开发ldw,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】女性高端健康口服液品牌取名,4607人,147人,¥300,圆满完成,ilikeronline,"本公司为国内知名生物科技有限公司，征集一个女性高端健康口服液品牌名称。要求名称包含中文、英文（或瑞士德文），有名字释义。1.要求名称可以注册商标（请到商标网站查询）重要商标查询：http://sbcx.saic.gov.cn:9080/tmois/wsjscx_getJscx.xhtml2.目标消费人群：22～55岁，热爱生活、爱美的中高端女性用户。精英白领、小资、主妇，引领健康时尚的生活方式的女性。不适宜人群（无）本产品（口服液）配方引入自瑞士，本公司与瑞士知名医学实验室合作，针对国内女性用户体质进行了配方改良。产品经过证实含有21世纪突破性抗衰老活力成分，长期服用能促进女性延缓衰老，增强新陈代谢、及加速细胞更新从而从内到外改变人体有机生物的青春年限。八大功效1.活化人体活力基因，促进细胞再生循环，恢复生理机能。2.抗疲劳，活化细胞恢复年轻活力，让你精力充沛3.活化细胞能力，有效预防病变细胞活性4.有效调节身形，维持苗条，淡化淡斑，恢复少女般年轻白皙5.活力血管，促进血液流通，降低血脂6.预防机体细胞退化、增加细胞活力、保护人体机能7.富含小分子Ammonium ferric citrate，吸收效率提高5～8倍，有效改善营养性贫血8.恢复生理机能，长期服用有效降低血脂、抗抑郁知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.10.24,2018.02.10,任务编号：547040,￥ 300,,沫客视觉,工作室,五品,40分,,,沫客快设,￥200,私人定制,价格面议,【私人定制】LOGO设计 2套方案,￥500,设计总监 标志设计,￥3000,LOGO私人定制,￥2000,,,,,,,,
【品牌起名】名字更换任务,5103人,141人,¥100,圆满完成,跋山浪人,虽然是取名任务，但不是取名，是要换个名称。我们主要在各个电商平台做羊杂小吃产品，但是近几年，原料和人工不断上涨导致现在利润越来越少，工厂为了维护口碑依然选用好的原料来生产，从原来的几毛钱利润到现在的几分钱利润艰难求生。工厂现在为了生存也不得不对产品进行价格调整。但是由于现在羊杂的价格已经透明化，被限制住。所以想针对“羊杂”这两个字进行调整，换成别的词来描述。例如很多年前的肥皂不叫肥皂叫胰子，洗发水不叫洗发水叫洗头膏，毛衣不叫毛衣叫针织衫。我附上产品链接各位有兴趣可以去看看https://detail.tmall.com/item.htm?<br />spm=a220m.1000858.1000725.6.508bc8a3GaZmAK&id=45747507345&skuId=3425129093094&user_id=729440004&cat_id=2&is_b=1&rn=e3430e12c115e37385b1a80b76bd3b43,2017.10.24,2017.11.18,任务编号：546884,￥ 100,,文客致新,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】最暖情话征集,8419人,133人,¥100,圆满完成,o59eed532f1cc9,每个女人每个月都有那么几天疼痛难忍，最爱他的你给她说过什么最暖的情话要求：暖，给人很暖的那种情景。让人听了那句话莫名的感动，铭记在心的感觉，一句话即可（类似于香飘飘的那种，或者姜小白的那种，但是我的要求就是要暖。很暖）女性在生理期间听过最暖的情话或对女性说过最暖的情话。,2017.10.24,2018.05.12,任务编号：546937,￥ 100,,九嶷工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】食品品牌名称征集,4149人,108人,¥100,圆满完成,大彭先生,"经营介绍：主要是生产米粉加工食品                   我家乡是万年贡米之乡，又是水稻发源地。倡导绿色食品先锋，让全国人民吃到放心食品，是我的宗旨。此任务是想征集一个美妙合适的名字，用在食品️意义的名字，又能让人一看就是绿色安全的食品。要求：1、名称美妙，易记，体现绿色安全的含义;(必需可以注册公司的)2、中文名称，并可注册商标3、5个字以内，附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.10.24,2019.02.08,任务编号：546911,￥ 100,,明尼苏达猪工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】茶饮汉堡轻食咖啡品牌名称征集,5629人,150人,¥500,圆满完成,o59ed8fc7231e0,"经营范围：茶饮汉堡轻食咖啡取名要求：1、名称响亮，易记，文雅，有创意;能注册43类和35类商标               2、最好有中、英文两种名称，并可注册商标               3、附上创意说明。参考名字风格：85°C、慢生活漫咖啡、一点点知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.10.23,2019.01.07,任务编号：546656,￥ 500,,o59c38ffe8cb8b,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】公司起名征集,5877人,140人,¥100,圆满完成,o59ed8eb1e83c8,"我们要使用的类别：遥控装置; 家用遥控器; 电子防盗装置; 电动控制装置; 电源控制器; 多头插线板; 烟雾探测器; 电风扇调速开关; 安防摄像头; 火警报警器，我们公司是做智能家居产品的，跟家庭有关的 名称要求2-4个字，中文名称，要求要有国际感。 知识产权说明：1. 所设计的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由中标者承担所有法律责任。2. 中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;中标者不得再向其他任何地方使用该作品。",2017.10.23,2018.03.30,任务编号：546573,￥ 100,,幻之界工作室,,,,,,,,,,,,,,,,,,,,,,,
