标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10
【软文发布】简单百度贴吧发贴10次,https://task.epwk.com/599818/,999人,1人,¥500,mpcms,￥ 500,,2018.04.08,简单任务，只要发成功就付费。财经类贴吧都可以，如：股票、炒股、A股、基金、期货吧1、百度贴吧搜索关键字:  股票、炒股、A股、基金、期货等关键字，进入贴吧。２、发贴，内容如下如附件3、图片和文字可任选4、帖子标题：《资产配置成功秘笈》-大师免费教你100万的升值干货5、审核标准，发帖成功，保留一天就算,任务编号：599818,,,,,,,,,,
【软文发布】高权重论坛，Ｂ2Ｂ，社区发贴,https://task.epwk.com/599525/,698人,0人,¥500,o5a66d384d5835,￥ 500,,2018.04.07,"1、权重大等于四，且必须被百度收录才算合格贴子，标题关键字和内容以及附件图片都必须全部上全，不可漏下，否则不合格（权重以站长工具为主）2、帖子标题以文档内标题为准，发帖成功存活5天不被删有效！3、内容详见附件，按附件排版要求内容全部要上传上去，无需登陆即可看到，页面完整，清晰4、请勿重复提交相同搞件,,和直接窃取其它服务商搞件,发现者直接举报,,所有提交搞件全部不合作附件中的内容关键字,,图片必须全部带上，不可少（否则视为不合格）5：为确保百度收录，可以适当修改文件内容，不过大意不可变，标题不可变，联系方式等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）7　附件内容我们也有提供多个链接　如果是在上面的其中一个链接中发布被收录了，也同样为合格搞件",任务编号：599525,,,,,,,,,,
【百科/问答撰写】答题任务，简单易做，4元一单,https://task.epwk.com/599496/,5310人,8人,¥500,风尘,￥ 500,,2018.04.07,1.  加微信：baobaojia99  通过好友请求后，会给你发个简单的问答题，进行答题后截图2.  提交后会看到“打开APP写回答赚现金”几个大字然后点击进入，进入APP后截图一下你的个人主页既可注：答题需要100个字以上，要原创有创意不能抄袭，通过达标的会显示答题奖励红包为5元以上,任务编号：599496,,,,,,,,,,
【软文发布】高权重发贴，审核快，简单操作,https://task.epwk.com/595066/,1142人,1人,¥500,o5a66d384d5835,￥ 500,,2018.03.26,"1、权重大等于五，且必须被百度收录才算合格贴子，标题关键字和内容以及附件图片都必须全部上全，不可漏下，否则不合格（权重以站长工具为主）2、帖子标题以文档内标题为准，发帖成功存活十天不被删有效！3、内容详见附件，按附件排版要求内容全部要上传上去，无需登陆即可看到，页面完整，清晰4、请勿重复提交相同搞件,,和直接窃取其它服务商搞件,发现者直接举报,,所有提交搞件全部不合作附件中的内容关键字,,图片必须全部带上，不可少（否则视为不合格）5：为确保百度收录，可以适当修改文件内容，不过大意不可变，标题不可变，联系方式等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）",任务编号：595066,,,,,,,,,,
【软文发布】征求网站人工点评，1分钟送您5元,https://task.epwk.com/592082/,3042人,58人,¥500,大唐天下,￥ 500,￥500,2018.03.18,由于我公司网站赢方体育上线，需要在360网站点评里进行点评，网址：https://yx.360.cn/impression/winfun.cn。要求：1. 有360账号。如没有可新注册一个。2. 点评内容20-300字以内，要求与体育有关，与赢方网站有关，与足球有关即可。要求客观看起来真实。3. 点评完成后，发送截图。经我方验证，即可付5元（一品威客发放）4. 点评地址：https://yx.360.cn/impression/winfun.cn南京赢方体育文化传播有限公司联系人：台先生电话：13188717223,任务编号：592082,"工作室 |            
            时辰网络推广","工作室 |            
            炒年糕不加辣","工作室 |            
            炒年糕不加辣","个人 |            
            饼干工作室",一品鸿轩,K一Sir,wu472471356,"个人 |            
            一颗冰心",liu3941,亲亲宝贝儿
【爱情表白】情人节给女朋友短信惊喜 每条4元,https://task.epwk.com/582394/,5501人,27人,¥520,时先生V,￥ 520,￥144,2018.02.13,"1.内容格式：程程，相爱相知781天，你就是我心中的栀子花，你的热情让我满心欢喜，你的娇羞让我如痴如醉，惟愿我们做彼此一生的守候，让我带给你一辈子的温暖~    我是来自XX地的XXX   +（此处自由发挥）+祝你们情人节快乐，有情人终成眷属哦！2.发送时间：2018年2月14日中午12点-----晚上12点，不在此时间范围内发送者无效哦3.发送对象号码：131320081174.审核标准：截图为证， 一个电话号码只能提交一个稿件，交稿提交截图,截图请带有内容 日期和成功发送页面   请附上手机尾号4位数5.备注：切勿回复短信或接听电话，请大家保密，不要透漏一品威客网发布的信息，一旦发现会举报，拜谢！我需要36份稿件（短信），多的稿件无效哦！以交稿顺序为准。一个一品id限参与2次。和女朋友异地，有过很多争吵，也有特别多的甜蜜，现在感情很稳定，各位亲们谢谢啦！！",任务编号：582394,o59a427ed3801d,刻爱,败笔的红尘,刻爱,在路上mass,"个人 |            
            红利工作室","个人 |            
            一颗冰心","个人 |            
            一颗冰心",亲亲宝贝儿,MYcentro
【百科/问答撰写】答题任务，简单易做，4元一单,https://task.epwk.com/580516/,4533人,19人,¥500,风尘,￥ 500,￥24,2018.02.05,1.  加微信：baobaojia99  通过好友请求后，会给你发个简单的问答题，进行答题后截图2.  提交后会看到“打开APP写回答赚现金”几个大字然后点击进入，进入APP后截图一下你的个人主页既可注：答题需要100个字以上，要原创有创意不能抄袭，通过达标的会显示答题奖励红包为5元以上,任务编号：580516,Yuki设计,冯宝宝,一个木东,"工作室 |            
            路人第三",李家的喵,slgoahead,,,,
【生日祝福】发送生日祝福，三元一稿,https://task.epwk.com/574897/,6694人,28人,¥500,要的就是信誉,￥ 500,￥499.95,2018.01.18,"给女友生日祝福,时间紧急，一稿三元1.希望能够得到全国各地朋友的祝福，让她感觉到幸福。谢谢你们2.短信内容：亲爱的飞儿，生日快乐！我是来自XX省XX地的XX，在此代表你的进儿送来了生日祝福+详细祝语+祝福我们的话（大家自由发挥，不要套俗套，才显得有诚意嘛）内容不要重复哦！结束语自由发挥----加急啊伙伴们在线等3.发送时间：短信2018年1月21日，时间晚上20：00送祝福，时间过早或过迟不予合格。4.若有回复，请不回复短信！5.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！6.我女朋友手机号：18484629298 一个号码只限发一次哦！三元一条。7.希望她生日可以收到各位朋友的祝福，在此先感谢大家的帮忙了",任务编号：574897,"个人 |            
            那一片云","个人 |            
            一颗冰心","个人 |            
            一颗冰心",flutter,Dickens,o5a63307f984f4,亲亲宝贝儿,o59fd3a74ab2dc,南城北巷,南城北巷
【生日祝福】500 给兄弟生日祝福，一稿三元,https://task.epwk.com/570779/,4027人,26人,¥500,hexia953,￥ 500,￥102.34,2018.01.06,今天一个好兄弟过生日，2018年1月6日，我想请大家帮我给他发条祝福短信。时间必须按我说的来，我希望在她生日的的时候能收到100个祝福。在这里谢谢大家了哈！并预祝大家新年快乐！给力！给力！1、时间：2018.1.6(17:00-24：00)-发送时间2、短信内容：“Hi 海滔！我是来自xx（城市）的xx（你的名字，不要求真实，有个就好)，我代表 贺夏 祝你生日快乐！ 自由发挥的祝福（最好有新意）也别太短....注：是个体老板，不是学生”3、他的手机号：【15751253333】4、审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图一个手机号码限参加一次。一个一品id最多可参与三次。,任务编号：570779,wang95819,一蓑烟雨任平生9,一日不见兮,unique2,slgoahead,梦醒文案,yaoyaoyao111,"个人 |            
            浩浩荡荡","个人 |            
            浩浩荡荡","个人 |            
            一颗冰心"
【生日祝福】生日求祝福,https://task.epwk.com/564455/,5089人,29人,¥500,微笑的美丽麻麻,￥ 500,￥27.09,2017.12.18,亲们 男朋友12.23生日 想求祝福 称呼可以是 岩哥哥 郭小黑 或者 小黑   然后是祝福 就是爱你 祝福之类的 最后统一附上一句话如果可以，请允许我一直这样爱着你。 署名 yours 孙小白    要求发送时间是：12月23日  请在发送短信之前联系我交稿：提交截图以及QQ号。,任务编号：564455,房东家的猫,wangkuanzi,蝴蝶自来,早起的虫子,o59ae571f26642,CC澈澈,醉狸是狸,展翅高飞427,房东家的猫,
【生日祝福】征集生日祝福,https://task.epwk.com/558948/,5282人,23人,¥500,hongtao1547,￥ 500,￥499.66,2017.12.01,一个心爱的人2017年12月2号生日了，我想请大家帮我给她发条祝福短信。时间必须按我说的来，我希望在她生日的的时候能收到166个祝福。在这里谢谢大家了哈！并预祝大家新年快乐！给力！给力！1、时间：2017.12.2 (00:00-21：00)-发送时间2、短信内容：“Hi 亭亭！我是来自xx（城市）的xx（你的名字，不要求真实，有个就好)，我代表 文鸿韬 祝你生日快乐！ 自由发挥的祝福（最好有新意）也别太短....”3、她的手机号：【18358507880】4、审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图,任务编号：558948,"个人 |            
            那一片云","个人 |            
            雪冰乐总站","个人 |            
            那一片云","个人 |            
            那一片云","个人 |            
            浩浩荡荡","个人 |            
            那一片云","个人 |            
            浩浩荡荡",Rebeccaliah,"个人 |            
            一颗冰心",君家老五
【项目策划】官方任务：产品升级思路征集 一品威客“御用产品人”招募,https://task.epwk.com/549264/,7606人,11人,"¥1,000",七七sweet,￥ 1000,￥200,2017.11.01,背景情况：一品威客网处于升级新阶段，寻求多元化发展道路。现就新产品思路发布任务征集，寻求广大有能之士参与，思维碰撞，各抒己见。征集内容：整合一品威客现有资源（包含但不限于企业客户资源、雇主威客资源、平台推广资源、各地加盟商资源），思考一品威客未来产品思路，完成文档提案。简介：一品威客网（www.epwk.com）是国内领先的新型创意托付式服务平台，于2010年7月1日上线运营。目前拥有超1400万注册用户，成功服务超百万级的各类机构、单位和个人雇主。平台以分享经济发展模式，对社会资源进行撮合匹配，为国内千万级企业提供一站式的、全生命周期的、涵盖企业注册、财税服务、创意设计、软件开发、商标注册及知识产权保护、营销推广等在内的创意众包服务。征集要求：1、能有效最大限度利用一品威客现有产品线积累的客户。以他们为目标客户，提供产品思路。2、能适用于各规模公司企业，有宽泛的用户基础，尽量避免特定小众的客户群体。3、能对一品威客现有产品线有优化或者提升意义，能相互促进，良性循环。4、思路方向建议：提升企业客户工作效率、解决企业客户日常工作中的技术难点、提供企业客户运营等技术支持。5、新产品要注重低开发运营成本，能快速投入进行市场验证。6、提案内容需要阐述清楚：产品理念、产品说明、商业模式、产品优势与挑战，并附上思维导图。否则算无效稿件。7、如若能附上个人/团队简历一份，更能获得选稿官的青睐。8、请以word文档形式附件上传提案作品，谢谢合作。9、中标威客可以成为一品威客网产品外援智囊团成员，与一品威客网共同参与研发新产品，为新产品上市提供助力。10、根据方案内容情况，中标威客有机会获得补充奖励：现金、平台广告资源、任务推送特权、增值服务等。咨询QQ：2387489015备注：一品威客网现有产品线：VIP产品/一品通、一品标局、有其屋、一品财税、一品同城等。更多了解请看：VIP商铺：http://www.epwk.com/vip/ 一品通：http://www.epwk.com/eptong.html一品标局：http://www.epbiao.com/有其屋装修网：http://www.youqiwu.com/一品财税：http://cs.epwk.com/一品同城：http://www.epwk.com/eptc-view-city_index-c-350200-a-350212-page-1.html,任务编号：549264,"工作室 |            
            宏瞻网络","个人 |            
            美其名曰",,,,,,,,
【公司起名】寻找微信公众号注册可用名称,https://task.epwk.com/538638/,8740人,111人,¥900,ChuckM6,￥ 900,￥120,2017.09.25,要求：名称只限于，金融， 微交易， 股票，投资 这四种相关名称。且微信用微信指数搜索必须要有指数1个指数点起步。只要把可注册的相关名称发上，查询通过即为合格。一个名称3元。详情看附件,任务编号：538638,流年的青春,o59c0733cac515,"个人 |            
            快乐创意工作室",逍遥hhd,逍遥hhd,书海小主,MaryAo,MaryAo,"工作室 |            
            万思新的商铺",子书
【宣传策划】软文推广，需被百度收录,https://task.epwk.com/504467/,2390人,1人,¥501,临渊如墨,￥ 501,,2017.05.24,"任务要求：  1帖子3元一条，要求文章必须保证7天内不被删。  2要求高流量，高权重网站，百度权重大于3，收录才算合格，收录后不被秒删。  3发论坛人气高的板块，同一论坛只能发一条，论坛不限。  4发在各大博客也可以，如新浪、网易、搜狐等大型博客，要求博客关注度高。  5发论坛人气高的板块，同一论坛，同一板块只能发一次。  6帖子必须为主题贴，回帖不算，帖子不登录可见，标题记得要换，可修改自编。  7一个推手可做多次(一个论坛算一搞,多做多赚)，达到以上要求就算有效。  8只收20个稿件，过后不算。提交发帖的链接以便审核 ，发帖前联系QQ2974835969.这边会提供发帖内容。",任务编号：504467,,,,,,,,,,
【软文发布】一稿 12元  APP下载链接和推广软文发布到微博或，美拍,https://task.epwk.com/491642/,1422人,1人,¥600,o58d3****340aa,￥ 600,,2017.04.12,"经三个步骤完成APP推广任务若被100名下载可赚取人民币1000元~2500元。 Step1-> 进入官网 www.cauly.com.cn 注册Step2-> 选择APP: 在官网随意选择自己喜欢的APP，复制专属它的链接，同时准备推广原创软文内容。* 选择与发布APP链接技巧: 请参考附件内容或登入官网后->在操作指南页面-> 平台示例图及创作文案技巧 客服咨询 qq:3219772632, 移动电话 18610773402 Step3->发布: 微博、美拍社交平台当中选好平台后编辑短文并与APP链接一起发布即可。     任务完成啦！是不是很简单呢？ 注意！！ 推广的APP链接每发生一次安装单价是人民币10元~25元不等哦发布的内容保持3天就算审核通过 审核条件将以下截图上传即可  1) 进入会员中心截图包含ID画面（Email地址要清晰）2) 在微博、美拍上发布的截图。3）发布的链接（重要的）， 保持3天后算审核通过",任务编号：491642,,,,,,,,,,
【软文发布】一稿 7元  APP下载链接和推广软文发布到微信朋友圈上,https://task.epwk.com/491637/,1536人,1人,¥500,o58d3****340aa,￥ 500,,2017.04.12,"经三个步骤完成APP推广任务若被100名下载可赚取人民币1000元~2500元。 Step1-> 进入官网 www.cauly.com.cn 注册Step2-> 选择APP: 在官网随意选择自己喜欢的APP，复制专属它的链接，同时准备推广原创软文内容。* 选择与发布APP链接技巧: 请参考附件内容或登入官网后->在操作指南页面-> 平台示例图及创作文案技巧 客服咨询 qq:3219772632, 移动电话 18610773402 Step3->发布: 在微信朋友圈李编辑好的推广软文和APP链接一起发布即可。         任务完成啦！是不是很简单呢？ 注意！！ 推广的APP链接每发生一次安装单价是人民币10元~25元不等哦发布的内容保持3天 审核条件将以下截图上传即可  1) 进入会员中心截图包含ID画面（Email地址要清晰）2) 在微信朋友圈上发布的截图。",任务编号：491637,,,,,,,,,,
【软文发布】APP下载链接推广 一稿9元,https://task.epwk.com/490979/,1458人,3人,¥500,o58d3****340aa,￥ 500,￥27.27,2017.04.10,"经三个步骤完成APP推广任务若被100名下载可赚取人民币1000元~2500元Step1-> 进入官网 www.cauly.com.cn  注册Step2-> 选择APP: 在官网随意选择自己喜欢的APP，复制专属它的链接，同时准备发布。* 选择与发布APP链接技巧: 请参考附件内容或登入官网后->在操作指南页面-> 平台示例图及创作文案技巧 客服咨询 qq:3219772632, 移动电话 18610773402 Step3-> 发布: 单选或多选微博、微信、美拍等社交平台后编辑短文并与APP链接一起发布即可。任务完成啦！是不是很简单呢？注意！！若别人通过您的APP推广链接，每发生一次安装都会有相应的奖励。审核条件（（雇主实时秒审）将以下截图上传即可1) 进入会员中心截图包含ID画面（Email地址要清晰）2) 在微博、微信、美拍等其中之一的社交平台发布的截图。",任务编号：490979,"个人 |            
            永不放弃",chens8,"个人 |            
            一颗冰心",,,,,,,
【文学创作】《创客与威客》创业故事征集,https://task.epwk.com/487124/,11455人,14人,"¥10,000",epjuan,￥ 10000,￥8000,2017.03.27,汇聚创客和威客的集体智慧，大家一起写本创客与威客主题的书。在这本《创客与威客》新书里，创客是采取了广义的定义——用了比较有创意的模式或创新出新产品的创业者（与传统的创业者区隔开来，比如说你开了家饺子馆当自己的老板，这也是创业，但不是我们所说的“创客”）；威客也是创客当中的一种，也是创业者。 我们非常欢迎正在创业的团队把自己创业的经历、故事、经验（可供其他创客和威客学习借鉴的）写成稿件投给我们。字数可以在三千到一万左右。 我们欢迎在威客网站上业绩做的比较好的威客把自己多年来创业的故事心得经验，值得与其它威客分享的内容写成稿件投给我们，因为威客也是创客啊。 注意事项： 1、有兴趣参与任务的创客、威客不妨先沟通一下王博士（联系微信号是drwangqxm，邮箱是 1152683656@qq.com），初稿里已写好了的内容就不要重复投稿（已完成的部分会陆续在微信公众号DrwangqCHO里发布）。 2、写作的语言、文字请尽量严谨，不要口语化。写自己的创业故事也请采用第三人称而不要第一人称——也即不要满篇都是“我我我”。 引用其他文献时请注明出处——文献是指他人已经在书籍、文章、网络上发表过的作品，尊重他人知识产权，绝对不可抄袭；如果因此导致的法律纠纷，涉及的威客需要自己承担相应的法律责任。出处的格式可以找本厦大出版社的书，参考一下书后参考文献、一页底下的脚注的正规写法。 3、因此书定位主要是一本创客（包含威客）新人的入手教科书，写作时请站在创客（含威客）新人的角度考虑：一个创客菜鸟最希望在一本16万字左右的专业书籍里学习到哪些东西？尽量多分享干货、含金量高的知识点，避免空洞无物——最终计算字数时我们肯定是会把水分剔除，所以千万别注水。 4、一旦投稿者得到作品被采用的通知之后，文字的版权即归任务发布者所有，文案就会被放进书稿的初稿里，后续仍然存在被修改、删减、补充的可能。 提交方式：将你提交的文案发表在该任务中，并留下联系方式；同时把文案抄送到联系邮箱1152683656@qq.com 。 征稿要求： 1、保证内容的原创性；如果有引用其他文献的地方，请按照正规著作里面标注引用出处的标准写法在脚注里写明引用出处。 2、符合征集的内容和格式规范，请在稿件中留下您的联系方式。 征集时间：2017 年3月27日-5月15日。 入选奖励: 稿酬：创业故事入选1个（不少于3000），支付稿费400元。如果字数更多，稿费可酌情增加……注：这里的字数是按删除掉啰嗦的、无价值的字之后被采用的文字。 赠书：入选故事超过3000字的，在该书出版之后获赠1本样书。 后记里致谢：入选文案数量、质量排名在前20位的创客、威客姓名将会出现在此书后记的致谢名单里（投稿时联系方式里请留下真实姓名），将会对创客、威客自身起到很好的推广效果。 另外：未入选的稿件，只要作者允许，可以利用我们的微信公众号等自媒体平台，帮助宣传推广内容。可在投稿时特别声明自己是否愿意。 说明：投稿者投稿前，最好和王博士进行沟通，说说计划写什么——以免书稿章节目录中提到的一些章节已经写好，如事前不沟通、先看看已到什么程度就自顾自地写，做重复工作属于无用功。请投稿者主动联系，王博士（联系微信号是drwangqxm）可将最新书稿发给投稿者看看。 附件1：《创客与威客》目录大纲（说明：该大纲供大家参考，后续不排除有大的变化。）附件2：故事参考案例,任务编号：487124,"个人 |            
            狼崽工作室","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒"
,,,,,,,,,,,,,,,,,,,,
【生日祝福】创意生日祝福，视频加一张照片,https://task.epwk.com/484055/,8982人,15人,¥500,mf187****3508,￥ 500,,2017.03.16,朋友生日，想做个短视频集和祝福相册（视频加照片20），钱不多，但真心希望大家帮帮忙，越有创意和心意越好，谢谢各位了，祝各位开心每一天~她喜欢旅游，最好是那种风景特别漂亮的地方，或者标志性建筑的地方（跪求一张稻城亚丁当地的场景，特别特别需要，可以加价到50），时间是4月中旬为止，所以有出去旅游的也可以把这事捎带上，就当帮我个忙，在这谢过了各位了~1.最好是小孩子或者女孩，情侣出镜当然最好了（爷爷奶奶辈的出来秀个恩爱更加求之不得哈）。拍的时候照片清晰点，角度要好，最好在风景漂亮的地方，其他地方有新意也可以。2.在纸上或者卡片上写：王潇雯（小孩子可以写潇雯姐姐，名字加了问我）生日快乐！我是（例如浙江杭州）的某某某（姓名或者昵称），祝在浙江台州的你（祝福语这个自己写，自己发挥一下哈）。最好用彩色字体。要是在一个比较有名的景点或者你觉得很有意义的地方，记得加上，比如我是哪里的某某某，在（稻城亚丁），祝.......这样的的，谢谢各位3.拍的时候视频就是按照纸上写的那段话说一句，（小孩的话，表达出生日快乐就行了哈）也就几秒时间，说完顺便拍张照，视频我会试着串起来，照片洗出来做个相册。到时候想看的也可以发给你们哈，确实貌似挺麻烦，钱也不多，我也就是求大家帮个忙哈，感谢各位了总共还需要20张，截止时间4月中旬，拜托大家帮帮忙，合格稿件发我邮箱7902 45596@qq.com，照片发原图撒，谢谢啦,任务编号：484055,,,,,,,,,,
【纪念日祝福】节日祝福短信,https://task.epwk.com/481351/,8096人,36人,¥501,o58be6c7323c29,￥ 501,￥54,2017.03.07,彭同学，女生节快乐，最真挚祝福，姓某某送上……就这种模本，选取十七条有效稿件 收件人手机号码在附件，在3月7号前发送就行。不要重复发送,任务编号：481351,呆子991,o58be38ad433e3,o58be9a0ddd035,人生如雾亦如梦,mf152****3802,mf152****3802,mf138****1703,"个人 |            
            上帝不相信眼泪",mf152****3802,mf152****3802
【品牌故事】产品软文征集 10元一稿,https://task.epwk.com/476379/,6194人,23人,¥500,o58a41ba81ed92,￥ 500,￥40,2017.02.17,"现代中式屏风软文征集，10元一稿现代中式屏风 征集软文了，欧亲店铺名： 美亚装饰馆 联系QQ：504440159软文对象：https://meiyai.taobao.com/index.htm?spm=2013.1.w5002-9490031283.2.fqFJAT  买家秀手机端： https://h5.m.taobao.com/wx/cb/show/sellerTopic.html?id=2620075600 定制 镂空实木花格屏风原木仿古门窗格客厅进门玄关隔断墙格栅中式花窗可以选取连接中一个款式，也可以连接中的全部款式，要求能突出产品的特点。1.用于推广店铺带来更多点击量以及成交量。 2.目标读者：购房装修人群，年龄在30岁以上，有一定经济基础3.软文将用于发布在各种装修论坛、问答、百度等各大型论坛。标题和内容要能引起点击和共鸣，能吸引网友参与讨论或点击浏览，最好是成交。4. 文章要有吸引力，有趣味性， 要站在用户的角度来描写，可以各种形态（故事、体验等...）展现，可以是自己的切身经历。最好是以购买者的体会，心得来描写，加以对我们宝贝的评论，服务的评论， 对比， 会比较真实自然，也容易引起读者共鸣。 5.要带有 单品链接、插入图片要显得自然，无广告味。 提交作品需具有针对性 有明显的推广作用 是具体而实用活动。（确保带有店铺或单品链接的贴子不能被删贴哦）6.要求原创不少于300字，如能形成系列文章最佳 总之能够为本店带来巨大浏览量的创意、方案 ，皆为备选作品。 知识产权说明: 所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品；征集结果公布后，未采用的作品即可自行处理； 参加此任务者被视为同意以上声明。,现代中式屏风软文征集，10元一稿现代中式屏风 征集软文了，欧亲店铺名： 美亚装饰馆 联系QQ：504440159软文对象：https://meiyai.taobao.com/index.htm?spm=2013.1.w5002-9490031283.2.fqFJAT  买家秀手机端： https://h5.m.taobao.com/wx/cb/show/sellerTopic.html?id=2620075600 定制 镂空实木花格屏风原木仿古门窗格客厅进门玄关隔断墙格栅中式花窗可以选取连接中一个款式，也可以连接中的全部款式，要求能突出产品的特点。1.用于推广店铺带来更多点击量以及成交量。 2.目标读者：购房装修人群，年龄在30岁以上，有一定经济基础3.软文将用于发布在各种装修论坛、问答、百度等各大型论坛。标题和内容要能引起点击和共鸣，能吸引网友参与讨论或点击浏览，最好是成交。4. 文章要有吸引力，有趣味性， 要站在用户的角度来描写，可以各种形态（故事、体验等...）展现，可以是自己的切身经历。最好是以购买者的体会，心得来描写，加以对我们宝贝的评论，服务的评论， 对比， 会比较真实自然，也容易引起读者共鸣。 5.要带有 单品链接、插入图片要显得自然，无广告味。 提交作品需具有针对性 有明显的推广作用 是具体而实用活动。（确保带有店铺或单品链接的贴子不能被删贴哦）6.要求原创不少于300字，如能形成系列文章最佳 总之能够为本店带来巨大浏览量的创意、方案 ，皆为备选作品。 知识产权说明: 所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品；征集结果公布后，未采用的作品即可自行处理； 参加此任务者被视为同意以上声明。",任务编号：476379,"个人 |            
            且将新火试新茶","个人 |            
            舒云阁文案",断肠人在天涯,呆子991,,,,,,
【爱情表白】情人节祝福,https://task.epwk.com/472845/,9303人,12人,¥680,勇敢的心520,￥ 680,￥20,2017.02.03,情人节，我要送她全球各地朋友手持纸板写上祝福语，在当地地标性建筑或者地标建筑前拍摄的照片作为送给她的礼物。1.纸板内容为：“执子之手，与子偕老！静，我爱你！ 阳”，纸板字体可自由设计。2.整个画面中须展示：手持纸板与完整内容、地标性建筑或城市特色，可参考我添加的附件，重复稿件或者相同背景稿件无效！3.拍摄像素要高，清晰，美观！4.递交方式：大家可添加本人QQ，把拍摄好的照片发送给我即可。本人QQ为‪2418337127‬回复一品添加我就可以了。5.截稿时间为2017年2月12号晚上24点。6.审核标准：截取与我的聊天记录为证， 带有照片和一张发送成功的截图。感谢大家的支持！如未查看到附件中的参考图片，请联系qq查看参考照片。谢谢！,任务编号：472845,o589e71ee3e601,,,,,,,,,
【感恩回馈】征集视频，说一句话10块钱,https://task.epwk.com/470241/,5094人,1人,¥500,song8708,￥ 500,,2017.01.11,我们公司现在征集一些视频做宣传，你只要说一句话即可。要求如下：1、用手机的请横屏拍摄、不倒拿；2、台词是：鼻炎草茶，超赞的农产品，羽丰团队，我的机会！3、画面清晰不抖动，说话大声清晰，应该类似于很欣喜、表决心之类吧。谢谢！,任务编号：470241,,,,,,,,,,
【品牌故事】随记（3-9张照片+文），一稿10元,https://task.epwk.com/469950/,5509人,33人,¥500,Leslie1020,￥ 500,￥170,2017.01.09,"参照附件：1.一张照片配一句随感是一个随记,    3—9个这样有所关联的随记为一组2.随记内容：(图片需自己拍摄，而非网络图片，一定要高清的）3.交稿方式：图片单张按顺序重命名为阿拉伯数字，文案按顺序写好存成word格式即可。题材风格不限，生活中方方面面都可以，只要你脑洞所及，就尽情发挥关键在于内容上不要太平凡，要有趣！特立不独行！要既视感很强！要有点小惊喜！文案字数控制在1-30之间。如果图片像素很差 文案也没啥创意 可能就要被pass掉了有问题可以随时联系QQ：2589378964，微信：790098773",任务编号：469950,mf185****3258,mf177****5816,mf135****8424,monnan,monnan,monnan,mf178****0813,"个人 |            
            ColorTwo",小珊儿珊,小珊儿珊
【生日祝福】生日祝福短信，一稿3元,https://task.epwk.com/465830/,8957人,38人,¥500,天蝎冷寒风,￥ 500,￥108.36,2016.12.20,发信时间：2016年12月20日（周二）晚上12点之前。1.我女朋友的电话为：15123177185 2.内容.张丽女士你好。我是xx市的xx，我代替陈红祝你生日快乐！后面加上各位的祝福，要快一点...3.同一个一个手机号发送3条祝福内容不能一致  算一稿3元   或者  用2个手机号各发送一条不同的祝福   算一稿3元。各选一种方式发送。4.若有回复，请不回复短信！5.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图6.截稿时间为2016年12月20日号晚上22点之前，之后发送的不合格。,任务编号：465830,"个人 |            
            游戏试玩吧",sunny梦,o5858b9f51c4db,o58343f2039ef5,mf137****8485,mf186****0564,"个人 |            
            金点子服务",mf152****0403,mf132****1295,o5858d1be1719d
