标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【品牌起名】VR虚拟现实产品商标取名字,4209人,31人,¥100,圆满完成,创客007,产品简介：VR虚拟现实眼镜VR虚拟现实眼镜商标取名要求：1 必须是英文名字，提交之前请在中国商标局先查询，可以注册原创再提交；2 建议有VR、3D、glass这些字眼，如有更好的建议也可以提交；3 商标取名越顺口越容易记最佳！备注：提交可以简单备注含义 公司网站：http://xmrant.com/公司微博：@兰特科技公司微信公众号：Rant1688公司简介：厦门兰特科技有限公司是一家致力于VR虚拟现实领域的创新型企业，通过全新高科技VR技术，打造互通、互懂的智能生态圈。,2016.03.23,2016.06.05,任务编号：411526,￥ 100,,刘秋雨,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】化妆美业起名,4948人,56人,¥100,圆满完成,mf180****2912,1 可以工商局注册2 朗朗上口，好记易记3 中英文寓意美好，高大上！,2016.03.22,2016.06.13,任务编号：411180,￥ 100,,目羊人工作室,个人,七品,40分,,,原创商标设计，修改直到可注册,"￥500
            /协议定价",原创性的品牌取名，产品取名,"￥500
            /协商定价",,,,,,,,,,,,,,
【公司起名】广告公司起名,6001人,199人,¥360,圆满完成,M1381****990,准备新开广告公司（业务范围现在是广告制作，以后会加入广告媒体），一定是要能注册的公司产生的背景：广告制作行业属于制作+服务行业，受互联网有影响，但不是非常巨大，因为，线上有本地服务不能解决的问题，所以本地广告公司虽然价格高，但还能接到单，但现有广告公司成本上升，已经非常困难。新开公司定位：用网上的价格做线下的生意，我们会在本地把本地服务做好，因此我们在本地会有非常大的竞争力。同时，因为网上什么价格都有，鱼龙混杂，良莠不齐，客户选择也是一头雾水，我们的定位是收取会员费，做客户的采购参谋，给客户承诺：1、绝对不給回扣；2、省不了3倍的会员费，会员费全额退还。本来想给公司取的名字是“百里挑一”，后来因不好注册，才来向各位高人求教。我的意思是，客户交了会员费后，就和我们是一个阵营的，客户有采购需要，我们会把客户的事情当自己的事情办----用我们从业16年的经验----把事情给办好了。我们去给客户挑选好的供应商，我们负责把关质量，（是客户下采购订单到我们这里，我们去负责消化）为了突出我们选好的供应商，所以想了：百里挑一既然那个不好用，我就想想个类似的，体现这个意思的，或者，要能体现我们有多么优秀、珍稀，要让客户好好把握，珍惜我们，的这个意思的名称或者其他的，请大家不吝赐教,2016.03.22,2016.07.25,任务编号：411331,￥ 360,,一品上的海,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】东山海鲜起名,4320人,77人,¥100,圆满完成,心香如蕙的春天,"东山是中国第六、福建省第二大海岛县，位于福建省.由我们本地出产的海鲜特别新鲜，公司主要经营青蟹，梭子蟹，红花蟹，石斑鱼，土过鱼，鲍鱼，旺螺，大响螺，海鳗，斑节虾等海鲜产品，公司的产品主要是送礼的用途，老少皆宜、1.名称响亮易记，朗朗上口2.起的名字是要申请商标29,31,35类注册的，所以希望威客可以在起的时候去商标网上查询一下3.因为本身是做海鲜，例如：海之乐这类的名字在31类海产品这块是没有显著性的，所以希望取的名字即突出海鲜的元素又有新意。这个需要威客费心思考下4.附上创意说明，备注 如果没有满意文字希望最后选的威客协助修改，谢谢5.知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品; 备注：所采取的作品需要注册商标的，必须得是原创",2016.03.22,2016.07.08,任务编号：411263,￥ 100,,渡澈彻z,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】装修公司起名字,3641人,90人,¥100,圆满完成,mf135****1652,最好是两个字，具有时代感觉，又不失名字的内涵。一定要新颖，突出装修公司的特点。,2016.03.21,2016.05.27,任务编号：411054,￥ 100,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】华人圈创意设计奖项名字征集,6892人,91人,¥500,圆满完成,epweike,面向全球华人创意设计师（机构）的权威性专业奖项，类似华人世界、亚洲的“红点奖”、日本的G-Mark设计奖等。 要求： 1、名字有中国韵味； 2、名字响亮和大气； 3、名字易记，能够体现与设计相关为佳。 4、同时，所取的名字，在中国商标网上查询，需要能够独立注册成为商标。 附件为国内外创意设计类奖项资料，供大家参考。,2016.03.21,2016.04.10,任务编号：411116,￥ 500,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】给机大米厂的两个品牌取两个名字,5047人,93人,"¥1,000",圆满完成,润晗,"有机大米厂两个品牌需要取两个名字，注册商标经营介绍： 主营有机大米的，一个生产历史悠久可以追溯到满族，女真族就开始种植了，是天然水灌溉的，一个是日本侵占东北建立满洲国时期的选择的水稻种植基地，泉水灌溉，发酵的羊粪育肥，无药种植。要求：· 1、名称响亮，易记，文雅，通俗易懂的，便于宣传，有创意但不失稳重;(必需可以注册公司的)· 2、最好有中、英文两种名称，并可注册商标· 3两个字，三个字都行，但是不能超过四个字，需要注册商标· 4、附上创意说明。知识产权说明：· 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;· 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.18,2016.04.16,任务编号：410605,￥ 1000,,乐活创享,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】汽车后市场商标品牌起名,3007人,46人,¥100,圆满完成,yangyaocheng,"要求：1，能够注册9/35/37类；2，我们的业务模式是服务汽车后市场，涉及车主、快修快保、汽车金融保险、维修技师培训、大数据等；3，名称要简单、容易记忆，有互联网基因和汽车元素；4，如有好的名字可以注册，另行感谢。知识产权说明：·1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;·2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.21,2016.04.07,任务编号：411061,￥ 100,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】帮忙想几个公司名称，两个字的,5181人,73人,¥100,圆满完成,o56e13c91d1063,某某投资管理有限公司，帮忙多想几个3个以上越多越好 现在名字很难通过因为注册公司的人多 最好用一些有意义的生僻字 我们公司经营范围是房屋托管 设计 包租 这块的 最好名字里面与这些有关,2016.03.21,2016.04.22,任务编号：410992,￥ 100,,飞哥网络工作室,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】餐厅名字,4403人,89人,¥150,圆满完成,mf150****3581,餐厅名字，最好配有logo餐厅经营内容：早餐：营养早餐；午餐：营养膳食搭配（以外卖为主其他经营内容：披萨、日式寿司、手卷、咖啡、茶饮、小食经营思想：一期一会（日本樱花文化）乐活派思想，活在当下名字要求：简洁，时尚，便于记忆，朗朗上口（针对年轻消费群体，可中英文一起）名字由来思想内容写清楚,2016.03.21,2016.04.21,任务编号：410982,￥ 150,,竹叶常青设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】求一个智能照明品牌的名字,4850人,110人,¥150,圆满完成,yxjydhlw,求一个智能家居照明品牌的名字，要求好记、时尚、有科技感。由于目标群体是8090年轻人，希望名字符合8090特色。,2016.03.18,2016.06.24,任务编号：410658,￥ 150,,星奎影像记录工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】水果品牌商标起名,4782人,111人,¥200,圆满完成,天天鲜水果,"我公司现在主营水果，以后也是水果蔬菜为主营，名称要符合我的经营主体，好记，顺口，要求发展连锁品牌店也可以用的。名字是要注册商标第31类水果蔬菜,35类连锁品牌   所以后续没有满意的名字希望威客协助修改 知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.18,2018.02.17,任务编号：410556,￥ 200,,派思马品牌创意机构,企业,七品,40分,,,背景墙设计,价格面议,PPT设计,30,台历设计,110,宣传册页,150,广告语编辑,"￥80
            /件",H5页面设计,200,画册设计,150,VI设计,￥3000,原创LOGO/高端LOGO/商业LOGO/满意为止,1000
【品牌起名】商标名字起名,3681人,78人,¥100,圆满完成,chuleyu,"我们是做壁纸和地板的，名字要有点环保、好记、爽口。几个字都可以，名字是要注册商标 第 19类 第27类   所以后续没有满意的名字希望威客协助修改 知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.17,2016.07.09,任务编号：410377,￥ 100,,小青欣,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】店铺取名字,6065人,137人,¥100,圆满完成,mf180****2129,店铺自制手工酸奶，烘焙，主要是无添加剂的产品！,2016.03.17,2016.04.12,任务编号：410449,￥ 100,,品牌天下，名者为先,个人,七品,40分,,,品牌取名,"￥100
            /次",,,,,,,,,,,,,,,,
【广告策划】凉皮广告语征集,6569人,118人,¥100,圆满完成,mf180****3529,公司名称：深圳市舌头记西北小吃有限公司 背景介绍：1、经营内容：专注蔬果类凉皮、凉面、米皮等西北风味特色小吃生产、销售。2、品牌定位：注重安全、营养、健康的消费人群，传统凉皮的升级版，品牌路线。3、产品特色：安全、卫生、健康、营养、绿色、时尚。任务要求：围绕公司名称、产品、品牌、定位等编广告语。简明扼要；用语接地气，不拘形式；朗朗上口，易懂易记；适做宣传，能快速传播；2-3条最好。知识产权：1、广告语为原创，为第一次发布，未侵犯他人著作权，如有侵犯他人著作权，由设计者承担所有法律责任。2、我公司支付费后，即拥有该广告语知识产权，包括著作权、使用权和发布权等、有权对广告语进行修改组合和应用。3、广告语一经采用、所有权、修改权和使用权均归我方所有、创作者不得在其他任何地方使用该作品、包括并不限于著作权、使用权、发布权以及对广告语进行修改、组合应用等权利，否则构成侵权、我方保留依法追究创作者法律责任的权利。,2016.03.17,2016.04.15,任务编号：410261,￥ 100,,小哈工作室,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】童装公司起名,4573人,90人,¥100,圆满完成,蓝冰如梦,"童装公司名称征集，本公司位于浙江。                            经营介绍： 主营男女童装的生产和销售        1、名称好听，易记，有创意但不失童真;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.17,2016.03.31,任务编号：410224,￥ 100,,乐活创享,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】商标名称征集,3067人,56人,¥100,圆满完成,锦波生物,"1、名称大气，易记，有创意。2、附上创意说明。3、因是医疗产品皮肤类，希望突出生物医药科技元素;能产生与健康、绿色有关联知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品",2016.03.16,2016.05.07,任务编号：410154,￥ 100,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】商标名称征集,2702人,41人,¥100,圆满完成,锦波生物,面膜名字，要求：清新、易记、大气  易懂、朗朗上口因是医疗面膜，希望突出生物医药科技元素;要求原创，能说明创意。,2016.03.16,2016.05.08,任务编号：410133,￥ 100,,乐活创享,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】商标名称征集,3256人,36人,¥100,圆满完成,锦波生物,要求：清新、易记、大气 易懂、朗朗上口 ；产品属于医疗产品，希望突出生物医药科技元素与生命健康的关联；求原创，能注册的。,2016.03.16,2016.05.08,任务编号：410145,￥ 100,,乐活创享,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】商标名称征集,2285人,36人,¥100,圆满完成,锦波生物,面膜名字，要求：清新、易记、大气 易懂、朗朗上口;因是医疗面膜，希望突出生物医药科技元素;要求原创，能说明创意，能注册。,2016.03.16,2016.05.08,任务编号：410141,￥ 100,,乐活创享,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】公司起名,3320人,52人,¥100,圆满完成,jianghanaoyun1,正在注册一家软件外包公司，公司的主营业务顾名思义是软件外包，往工商局跑了好几趟了，名字一直重复，现在希望大家帮忙起10个名字，名字要大气，显得有文化不俗，最好能体现企业的诚信，希望大家踊跃参与,2016.03.15,2016.03.28,任务编号：409874,￥ 100,,石枯沙老,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】蜂蜜取名征集,5113人,109人,¥100,圆满完成,mf139****0578,想起个蜂蜜品牌名字，来源俄罗斯，原生态无任何添加剂蜂蜜！,2016.03.15,2016.05.23,任务编号：409747,￥ 100,,aimeeeee,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】女性服装品牌取名,4308人,93人,¥200,圆满完成,lanla****45678,客户群体是24到29岁有一定的经济基础，追求品质生活的职业女性，给人的感觉成熟但不失小女人的味道。所以品牌名字偏甜美风时尚风。名字是英文名和中文名一起，并且能够注册商标的。,2016.03.14,2016.04.09,任务编号：409610,￥ 200,,山一方工作室,工作室,四品,44分,,,,,,,,,,,,,,,,,,,,
【广告策划】净水公司征集广告语,4965人,95人,¥100,圆满完成,mf151****9976,清泉涞环保科技有限公司 是一家 淘宝企业电商  ，公司经营以自有品牌’’清泉涞’’。主要经营以净水配件、净水机、商用直饮水机、空气净化器等环保产品。目前公司要做整体型象的提升。特征集广告语。附件有其它品牌广告语参考和本公司店铺名称，可看看我们的经营品类以求精准。                    要求如下：1、要体现产品品质，和公司优势。2、广告语要压韵字数不要超过10个字。如有其它问题可联系QQ184355820沟通,2016.03.14,2016.03.29,任务编号：409590,￥ 100,,天楼创意工作室,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】男宝宝取名征集,4957人,91人,¥100,圆满完成,yjfaa5,父母都姓杨，牛年男宝宝，出生日期是2009年12月26日早上07:15分，农历为2009年十一月十一  己丑年  丙子月  乙巳日原名杨哲涵，但是觉得这个名字笔画太多，又是我当时取的，也没有什么寓意，爷爷奶奶算命说五行缺水，就加了个三点水，之前就有换名的想法。要求有名字寓意及八字五行等详细解释，其实也不用太复杂，简单易记就可以 拒绝起名网复制，谢绝免费起名系统起名。谢谢大家！,2016.03.14,2016.03.20,任务编号：409546,￥ 100,,乖乖宝周易起名QQ2055215326,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】起名一家科技公司,10857人,359人,¥666,圆满完成,黑色阳光,我想注册一家从事无人机培训及无人机销售的科技公司。公司业务以无人机发展为主。本人姓名任帅，最好公司名称能包含名或者姓的就更好。谢谢！,2016.03.13,2016.05.20,任务编号：409490,￥ 666,,和佳创意设计,企业,六品,40分,,,品牌策划,价格面议,视觉传达,价格面议,展览展示,价格面议,建筑装饰,价格面议,,,,,,,,,,
【店铺/网店起名】山西刀削面店起名,4598人,100人,¥100,圆满完成,mf138****2239,以山西大同刀削面为主，想取一个响亮，上口，好听，有文化底蕴的名字，字数2—3字，比如“顺溜”，“晋小二”“好嫂子”这一类的,2016.03.13,2016.05.07,任务编号：409476,￥ 100,,人本美名,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】健康减肥餐品牌，互联网运营公司名字征集,6662人,127人,¥432,圆满完成,o56dfe2af12949,我要做的是，您的健康餐食管家，致力于提供优质便捷的健康餐食，帮助消费者获得更漂亮健美的形体，为您的健康生活方式提供全方位服务。在钢筋水泥的丛林里，也许你每天都吃着含油量过盛的工作餐，喝着充斥添加剂的果汁，嚼着有害成分超标的零嘴。本来就因忙碌而不在最佳状态的身体，在饮食不当的冲击下，显得更为疲惫不堪。“健康”似乎已经成为一个单纯的词语，离自己越来越远。在挥汗如雨的健身房里，也许你意识到自己的小肚腩、拜拜肉已经成为必须逾越的障碍。这时，盲目消费各种减肥排毒食品有可能会雪上加霜，解一时之快却忽视自己身体的承受范围。而选择合适的饮食，可能成为你每次运动结束的一大难题。正在为梦想全力拼搏的你，为何不倾听自己的身体，对自己更好一些？其实，当你在为梦想奋斗的时候，我们执着于让你变得更好，让健康的饮食变得更加触手可及。这就是我的初心：做中国第一的健康生活方式品牌。在这里，我们并不隆重地宣告，对健康饮食昭然若揭的恋恋之情。为了研发一款适合健身人士的鸡胸肉，我们尝试了上百种温度和时间的烹饪组合；为了证明健身餐的效果，我们邀请了几十名专业教练反复试吃测试；为了辨别国外健康食品与其烹饪方式，我们查阅了几乎所有相关领域的专业文献，并结合国人的生活习惯和身体构造进行科学改良。作为一家企业，虽然优秀的营销策略可以将产品包装得“尽善尽美”，但作为同样渴望健康生活的我们，更深知每一个人都应该被好好呵护。所以，我们会强迫症患者般反复确认产品的真正效果，做一个用心为大众服务的健康类生活方式品牌。目前国内：类似的品牌名称 有：LemonAwake柠檬觉醒，44722e43414c4f524945卡路里博士,2016.03.12,2016.07.04,任务编号：409318,￥ 432,,艾豆笔尖,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】征集广告语(八个字内),5628人,100人,¥200,圆满完成,兴盛五金厂,为朋友工厂征集一句宣传语，附内容参考，主做日用塑料品，和厨房五金类产品。,2016.03.11,2016.04.16,任务编号：409256,￥ 200,,下岗豆豆,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】帮忙想一个公司名称,3202人,64人,¥100,圆满完成,o56e13c91d1063,本人是上海做二房东的打算成立一个包租公司  叫某某资产管理有限公司   或者某某投资管理有限公司  至少4个名字哦 工商局让准备至少4个,2016.03.10,2016.03.23,任务编号：408967,￥ 100,,石枯沙老,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】公司品牌取名,3729人,68人,¥100,圆满完成,怡悦缘食品,"用厦门怡悦缘食品有限公司取一个商标名根据公司名称或者谐音取一个商标名字，公司现主营海产品，也可根据海产品取名。公司主营：海产品，主要是蛤类产品，要求可以在29类、35类可注册商标知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.11,2016.07.04,任务编号：409049,￥ 100,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】征集童鞋品牌名称,3156人,77人,¥168,圆满完成,ok567888,本公司需开拓童鞋市场，面向社会公开征集品牌名称及LOGO方案，要求：1．保证原创，能注册！2．穿着年龄：3－12岁的男女儿童！3．皮鞋，时装休闲风格！4．能体现父母对孩子的爱及期望，展现孩子的童真！5．简单大气，易入人心，易传播！,2016.03.10,2016.08.19,任务编号：408930,￥ 168,,品牌天下，名者为先,个人,七品,40分,,,品牌取名,"￥100
            /次",,,,,,,,,,,,,,,,
【公司起名】装潢装饰设计工作室取名,5554人,146人,¥100,圆满完成,mf131****3317,"4人合伙开的设计工作室。分别是70后80后90后3个年代的合伙人。可以在这个上面作为出发点，要求：简单、易记、大气、写出名字释义及没有被注册的。。适用于装饰装潢设计公司的。新颖一些。现代简约风格。。例如：“维度_____维度空间  维度名匠，这种有意义的。 维度维度,又称维数,是数学中独立参数的数目。在物理学和哲学的领域内,指独立的时空坐标的数目。0维是一点,没有长度。1维是线,只有长度。...",2016.03.10,2016.08.20,任务编号：408856,￥ 100,,派思马品牌创意机构,企业,七品,40分,,,背景墙设计,价格面议,PPT设计,30,台历设计,110,宣传册页,150,广告语编辑,"￥80
            /件",H5页面设计,200,画册设计,150,VI设计,￥3000,原创LOGO/高端LOGO/商业LOGO/满意为止,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】餐饮行业取名,4254人,111人,¥100,圆满完成,eag1e5,我是一家做本地的餐饮外卖，外卖主要是一些凉菜（牛肉，豆干，卤菜等）和一些炒小龙虾，花甲，田螺等等，然后用方便盒打包好了送到客人家里。需要一个简单又好记的名字，当然也赋予它的一些意义。可以是中文，英文数字的结合。,2016.03.09,2016.03.22,任务编号：408708,￥ 100,,mf13721097484,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】新能源商标取名,4200人,58人,¥158,圆满完成,奋晶科技,"奋晶科技（上海）有限公司商标名称征集。                            经营介绍：  奋晶科技（上海）有限公司是一家年轻的新能源公司，致力于分布式太阳能光伏系统的推广与应用。以家庭式和小型商用发电系统为主要推广方向，为客户提供分布式发电系统设计、安装、并网申报等一系列手续的一站式服务。                            产品主要三类：                                            1、太阳能电池板系统                            2、水泵系统                            3、逆变器系统等新能源相关产品                            要求：                                            1、名称响亮，顺口，大气，有科技感，有创意但不失稳重；                            2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.08,2016.03.31,任务编号：408553,￥ 158,,小青欣,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】外国商标取中文名字,3691人,53人,¥100,圆满完成,jljingw,我公司经营一德国公司的产品，现需要给该外国品牌取个中文名，以便更好地进入中国市场，内容及要求如下：有两个德文名需取名： Cenano    Nanotol品牌经营产品： 该品牌产品为德国产品，主要产品为纳米科技领域的液态玻璃制品，目前主要应用领域为汽车漆面的保养。中文名取名要求：1. 独一无二的中文名，要求在百度搜狗谷歌等搜索引擎上无法搜索到，确保中文名能注册商标；  2. 洋气，大众一听就只知道是外国品牌外国名字； 3. 发音顺畅，不拗口；,2016.03.08,2016.04.04,任务编号：408546,￥ 100,,红枫林,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】逸茗春征广告语,4422人,108人,¥100,圆满完成,mf139****3388,"基本介绍1、我们主要经营英德红茶绿茶2、我们的品牌名称是“逸茗春”广告语要求：1、艺术价值也要体现这类文化2、一定要有寓意和力度，请大家附上解释3、广告语不宜太长，比如像移动的“神州行，我看行”，当然也可自由发挥，要朗朗上口，便于记忆。 知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.08,2016.08.18,任务编号：408448,￥ 100,,妙笔生文案,工作室,五品,45分,,,各类中文、英文起名,￥360,广告语、宣传口号,"￥200
            /件",演讲稿代写,"￥240
            /件",软文写作,价格面议,,,,,,,,,,
【品牌起名】消毒液产品品牌起名,5518人,127人,¥200,圆满完成,twtyojug,"产品特点：1、无毒、无刺激性、安全、使用、应用范围非常广泛。2、浓度低，除臭、灭菌力强，用时短，灭菌范围广泛。3、无残留物，感觉如水，使用方便，无使用限制。用途： 本产品用于皮肤、手部、各种物体表面消毒。餐饮行业食品卫生与公共卫生的预防。      要求：                                    1、名称贴合产品，易记，顺口，有创意;                            2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.08,2016.04.04,任务编号：408470,￥ 200,,mf13400106711,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】IT数码公司取名,3748人,63人,¥100,圆满完成,James16896,"需求：IP数码公司，想要取一个名字，IT数码类的，主要做国外的品牌的，做音频的，要欧美风， 名字要跟LOGO呼应的 公司理念：本着不断学习、创新和超越的极客精神，致力于打造一个富有创新力、高效和严谨的国际化团队和平台，面向国内外一线品牌及中高端消费者，努力挖掘产品的新型材料应用、多功能整合和智能化，以及前沿新技术的应用，研发和生产出一流的经典设计、品质过硬的音频类IT数码产品。公司名称要求：1.	富有欧美文化底蕴、高科技音频数码类相关的名称，2-3个音节，不超过6个英文字母，不能选用现有的英文单词；2.	以英文名称推释出音似的中文名称；",2016.03.08,2016.03.31,任务编号：408427,￥ 100,,樟树洞企业形象设计,工作室,七品,39分,,,移动APP界面设计,价格面议,名片设计,"￥200
            /次",企业VIS设计,价格面议,中高端logo设计,价格面议,,,,,,,,,,
【公司起名】户外运动有限公司取名,3780人,44人,¥100,圆满完成,行者户外俱乐部,"户外运动有限公司名称征集。 必须能注册公司和注册域名经营介绍： 户外健身，休闲运动，登山运动，穿越运动。等等要求：1、名称响亮，易记（双拼/三拼）2、最好有中、英文两种名称，并可注册商标和注册公司和注册域名。3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.03.07,2016.04.01,任务编号：408302,￥ 100,,北合设计,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】取名 高端全国快捷连锁酒店起名,3917人,102人,¥238,圆满完成,mf138****1328,任务需求一、设计项目： 取名 中高端 全国快捷连锁酒店 中文名称：英文名称：二、任务具体要求：1、有内涵，音韵和谐。易记、易读、易懂、大气、易于传播； 2、能体现 酒店风格优美、温馨、舒适的感觉； 3、有国际大品牌气势，有独特性，需独一无二； 4、主要以中文为主，有英文更好，中英文都要上口好记；5、品牌名称必须为原创，可通过工商局酒店注册审批；若是后期无法注册，需要设计师配合修改。 6、附上创意说明，品牌名称的寓意，最好有详细解析。 7、解释品牌含义；如有相应的广告语，请附上简短，易记，朗朗上口的广告语言。三、经营介绍：1、酒店将创立于 繁华的深圳市 或 香港。2、定位： 快捷酒店设有各式各样的房间，商住两相宜，为出差、旅行、休闲和商务人士提供快捷、整洁的服务。公寓式客房，装修简约时尚，房间配备齐全，液晶电视、中央空调、独立卫浴、24小时热水，光纤接入提供高速上网体验。3、优质的服务、优雅的环境。以“温馨细微，物有所值”为核型的经营理念，着力打造了一批经验丰富的管理和服务团队，能为各种散客、旅游团队以及会议接待提供规范优质和完善的服务，是出差、旅游以及会议接待的理想之所。,2016.03.07,2016.04.22,任务编号：408107,￥ 238,,张佩浅,,,,,,,,,,,,,,,,,,,,,,,
