标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,知识
【LOGO设计】化妆品包装设计,https://task.epwk.com/829891/,113人,1人,"¥2,000",圆满完成,,化妆品包装设计,直接雇佣￥ 2000,￥ 2000,任务编号：829891,532-1000.csv,,,,,,"化妆品包装, 设计"
【网店推广】全网整合营销,https://task.epwk.com/829892/,187人,1人,"¥6,800",圆满完成,,全网整合营销,直接雇佣￥ 6800,￥ 6800,任务编号：829892,532-1000.csv,,,,,,"全网营销, 营销策略"
【OA系统】办公系统,https://task.epwk.com/829893/,1375人,1人,"¥30,000",圆满完成,,办公系统,直接雇佣￥ 30000,￥ 30000,任务编号：829893,532-1000.csv,,,,,,办公系统
【OA系统】办公系统第2期,https://task.epwk.com/829894/,1346人,1人,"¥30,000",圆满完成,,办公系统第2期,直接雇佣￥ 30000,￥ 30000,任务编号：829894,532-1000.csv,,,,,,"办公系统, 第二期"
【LOGO设计】金冠品牌设计,https://task.epwk.com/829896/,173人,1人,"¥5,681",圆满完成,,金冠品牌设计,直接雇佣￥ 5681,￥ 5681,任务编号：829896,532-1000.csv,,,,,,"金冠品牌, 品牌设计"
【OA系统】办公系统第3期,https://task.epwk.com/829899/,1446人,1人,"¥20,000",圆满完成,,办公系统第3期,直接雇佣￥ 20000,￥ 20000,任务编号：829899,532-1000.csv,,,,,,"办公系统, 第三期"
【宣传策划】商业计划书,https://task.epwk.com/829901/,258人,1人,"¥5,300",圆满完成,,商业计划书,直接雇佣￥ 5300,￥ 5300,任务编号：829901,532-1000.csv,,,,,,商业计划书
【APP推广】百度问答发布,https://task.epwk.com/829904/,704人,1人,"¥4,000",圆满完成,,百度问答发布,直接雇佣￥ 4000,￥ 4000,任务编号：829904,532-1000.csv,,,,,,"百度问答, 发布"
【微信开发】任务信息小程序定制开发,https://task.epwk.com/829906/,175人,1人,"¥27,000",圆满完成,,任务信息小程序定制开发,直接雇佣￥ 27000,￥ 27000,任务编号：829906,532-1000.csv,,,,,,"小程序定制, 开发"
【品牌策划】品牌全案品,https://task.epwk.com/829910/,93人,1人,"¥6,500",圆满完成,,品牌全案品,直接雇佣￥ 6500,￥ 6500,任务编号：829910,532-1000.csv,,,,,,"品牌全案, 品牌设计"
【小程序开发】工厂类小程序开发,https://task.epwk.com/829911/,186人,1人,"¥49,999",圆满完成,,工厂类小程序开发,直接雇佣￥ 49999,￥ 49999,任务编号：829911,532-1000.csv,,,,,,"工厂类小程序, 开发"
【宣传策划】商业计划书,https://task.epwk.com/829916/,253人,1人,"¥7,300",圆满完成,,商业计划书,直接雇佣￥ 7300,￥ 7300,任务编号：829916,532-1000.csv,,,,,,商业计划书
【网店推广】全网整合营销,https://task.epwk.com/829924/,210人,1人,"¥9,600",圆满完成,,全网整合营销,直接雇佣￥ 9600,￥ 9600,任务编号：829924,532-1000.csv,,,,,,"全网营销, 营销策略"
【宣传策划】活动策划,https://task.epwk.com/829928/,89人,1人,"¥3,700",圆满完成,,活动策划,直接雇佣￥ 3700,￥ 3700,任务编号：829928,532-1000.csv,,,,,,活动策划
【其他软件开发】cms二开,https://task.epwk.com/829933/,159人,1人,"¥20,000",圆满完成,,cms二开,直接雇佣￥ 20000,￥ 20000,任务编号：829933,532-1000.csv,,,,,,"cms, 二次开发"
【LOGO设计】化妆品包装设计,https://task.epwk.com/829939/,179人,1人,"¥1,000",圆满完成,,化妆品包装设计,直接雇佣￥ 1000,￥ 1000,任务编号：829939,532-1000.csv,,,,,,"化妆品包装, 设计"
保险管理平台小程序端,https://task.epwk.com/829948/,113人,1人,"¥5,000",圆满完成,,保险管理平台小程序端,直接雇佣￥ 5000,￥ 5000,任务编号：829948,532-1000.csv,,,,,,"保险管理, 小程序端, 平台"
【VI设计】餐饮套餐+ip定制打造,https://task.epwk.com/829955/,340人,1人,"¥22,770",圆满完成,,餐饮套餐+ip定制打造,直接雇佣￥ 22770,￥ 22770,任务编号：829955,532-1000.csv,,,,,,"餐饮套餐, ip定制"
【LOGO设计】保健品产品LOGO设计,https://task.epwk.com/829959/,215人,1人,"¥2,800",圆满完成,,保健品产品LOGO设计,直接雇佣￥ 2800,￥ 2800,任务编号：829959,532-1000.csv,,,,,,"保健品产品, LOGO设计"
【小程序开发】AI面象制作,https://task.epwk.com/829961/,270人,1人,"¥2,000",圆满完成,,AI面象制作,直接雇佣￥ 2000,￥ 2000,任务编号：829961,532-1000.csv,,,,,,"AI面象, 制作"
【产品原型设计】越野APP,https://task.epwk.com/829968/,780人,1人,"¥30,000",圆满完成,,越野APP,直接雇佣￥ 30000,￥ 30000,任务编号：829968,532-1000.csv,,,,,,"越野, APP"
【网站二次开发】需要做个仿站,https://task.epwk.com/829970/,304人,1人,"¥1,100",圆满完成,,需要做个仿站,直接雇佣￥ 1100,￥ 1100,任务编号：829970,532-1000.csv,,,,,,"仿站, 网站设计"
【包装设计】新疆特产红枣、核桃包装设计,https://task.epwk.com/829981/,283人,1人,"¥1,350",圆满完成,,新疆特产红枣、核桃包装设计,直接雇佣￥ 1350,￥ 1350,任务编号：829981,532-1000.csv,,,,,,"新疆特产, 红枣, 核桃包装设计"
小程序开发,https://task.epwk.com/829982/,59人,1人,"¥7,999",圆满完成,,小程序开发,直接雇佣￥ 7999,￥ 7999,任务编号：829982,532-1000.csv,,,,,,小程序开发
小程序开发,https://task.epwk.com/829986/,37人,1人,"¥7,998",圆满完成,,小程序开发,直接雇佣￥ 7998,￥ 7998,任务编号：829986,532-1000.csv,,,,,,小程序开发
【分销管理软件】分销商城开发,https://task.epwk.com/829988/,1466人,1人,"¥50,000",圆满完成,,分销商城开发,直接雇佣￥ 50000,￥ 50000,任务编号：829988,532-1000.csv,,,,,,"分销商城, 开发"
【OA系统】办公管理软件开发,https://task.epwk.com/829989/,1416人,1人,"¥50,000",圆满完成,,办公管理软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：829989,532-1000.csv,,,,,,"办公管理, 软件开发"
【APP开发】快送app开发第三期,https://task.epwk.com/829990/,131人,1人,"¥23,999",圆满完成,,快送app开发第三期,直接雇佣￥ 23999,￥ 23999,任务编号：829990,532-1000.csv,,,,,,"快送app, app开发, 第三期"
【产品原型设计】快送app售后维护,https://task.epwk.com/829991/,536人,1人,"¥23,999",圆满完成,,快送app售后维护,直接雇佣￥ 23999,￥ 23999,任务编号：829991,532-1000.csv,,,,,,"快送, app, 售后维护"
小程序反编译在线模块,https://task.epwk.com/829994/,36人,1人,"¥20,000",圆满完成,,小程序反编译在线模块,直接雇佣￥ 20000,￥ 20000,任务编号：829994,532-1000.csv,,,,,,小程序反编译
闲鱼接口,https://task.epwk.com/829996/,212人,1人,"¥10,000",圆满完成,,闲鱼接口,直接雇佣￥ 10000,￥ 10000,任务编号：829996,532-1000.csv,,,,,,闲鱼接口
【小程序开发】微信小程序仿制开发,https://task.epwk.com/830003/,117人,1人,"¥14,900",圆满完成,,微信小程序仿制开发,直接雇佣￥ 14900,￥ 14900,任务编号：830003,532-1000.csv,,,,,,"微信小程序, 仿制开发"
【英语】医疗器械方向会议翻译,https://task.epwk.com/830005/,580人,1人,"¥33,500",圆满完成,,医疗器械方向会议翻译,直接雇佣￥ 33500,￥ 33500,任务编号：830005,532-1000.csv,,,,,,"医疗器械, 会议翻译"
【APP开发】交友软件开发一期,https://task.epwk.com/830007/,139人,1人,"¥20,000",圆满完成,,交友软件开发一期,直接雇佣￥ 20000,￥ 20000,任务编号：830007,532-1000.csv,,,,,,"交友软件, 软件开发, 一期"
【APP开发】手游类APP设计二期,https://task.epwk.com/830009/,129人,1人,"¥39,060",圆满完成,,手游类APP设计二期,直接雇佣￥ 39060,￥ 39060,任务编号：830009,532-1000.csv,,,,,,"手游类APP设计, 二期"
【通讯通信】通信类软件开发一期,https://task.epwk.com/830014/,292人,1人,"¥42,310",圆满完成,,通信类软件开发一期,直接雇佣￥ 42310,￥ 42310,任务编号：830014,532-1000.csv,,,,,,"通信软件, 软件开发"
【海报设计】健身房海报设计,https://task.epwk.com/830018/,678人,1人,¥600,圆满完成,,健身房海报设计,直接雇佣￥ 600,￥ 600,任务编号：830018,532-1000.csv,,,,,,"健身房, 海报设计"
【APP开发】通信类软件开发三期,https://task.epwk.com/830022/,222人,1人,"¥45,687",圆满完成,,通信类软件开发三期,直接雇佣￥ 45687,￥ 45687,任务编号：830022,532-1000.csv,,,,,,"通信软件, 软件开发, 三期"
【LOGO设计】公司原创logo设计,https://task.epwk.com/830032/,243人,1人,¥998,圆满完成,,公司原创logo设计,直接雇佣￥ 998,￥ 998,任务编号：830032,532-1000.csv,,,,,,"公司原创, logo设计"
【后端开发】3ON1小游戏后台接口开发,https://task.epwk.com/830038/,1348人,1人,"¥1,980",圆满完成,,3ON1小游戏后台接口开发,直接雇佣￥ 1980,￥ 1980,任务编号：830038,532-1000.csv,,,,,,"小游戏后台接口, 开发"
【其他软件开发】修改MFC小程序的界面模块,https://task.epwk.com/830047/,209人,1人,"¥1,100",圆满完成,,修改MFC小程序的界面模块,直接雇佣￥ 1100,￥ 1100,任务编号：830047,532-1000.csv,,,,,,"MFC, 小程序"
【APP开发】快送app售后二期,https://task.epwk.com/830052/,129人,1人,"¥13,000",圆满完成,,快送app售后二期,直接雇佣￥ 13000,￥ 13000,任务编号：830052,532-1000.csv,,,,,,"快送, app, 售后"
【APP开发】题库考试培训教学app一期,https://task.epwk.com/830071/,640人,1人,"¥100,000",圆满完成,,题库考试培训教学app一期,直接雇佣￥ 100000,￥ 100000,任务编号：830071,532-1000.csv,,,,,,"题库考试, 教学app, 培训"
【小程序开发】制作订餐送餐团膳小程序公众号,https://task.epwk.com/830082/,360人,1人,"¥21,000",圆满完成,,制作订餐送餐团膳小程序公众号,直接雇佣￥ 21000,￥ 21000,任务编号：830082,532-1000.csv,,,,,,"订餐, 送餐, 小程序, 公众号"
【小程序开发】游戏手机端开发,https://task.epwk.com/830091/,187人,1人,"¥71,500",圆满完成,,游戏手机端开发,直接雇佣￥ 71500,￥ 71500,任务编号：830091,532-1000.csv,,,,,,"游戏手机, 手机端开发"
【小程序开发】游戏PC端开发,https://task.epwk.com/830092/,212人,1人,"¥68,500",圆满完成,,游戏PC端开发,直接雇佣￥ 68500,￥ 68500,任务编号：830092,532-1000.csv,,,,,,"游戏PC端, 开发"
【APP开发】微信小程序开发,https://task.epwk.com/830116/,121人,1人,"¥15,000",圆满完成,,微信小程序开发,直接雇佣￥ 15000,￥ 15000,任务编号：830116,532-1000.csv,,,,,,"微信小程序, 开发"
【LOGO设计】卡通logo设计,https://task.epwk.com/830118/,172人,1人,¥100,圆满完成,,卡通logo设计,直接雇佣￥ 100,￥ 100,任务编号：830118,532-1000.csv,,,,,,"卡通logo, 设计"
【PPT设计】PPT设计,https://task.epwk.com/830119/,131人,1人,¥100,圆满完成,,PPT设计,直接雇佣￥ 100,￥ 100,任务编号：830119,532-1000.csv,,,,,,PPT设计
【宣传册设计】画册设计,https://task.epwk.com/830121/,358人,1人,¥100,圆满完成,,画册设计,直接雇佣￥ 100,￥ 100,任务编号：830121,532-1000.csv,,,,,,"画册, 设计"
【营销推广软文】公众号代运营,https://task.epwk.com/830122/,289人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830122,532-1000.csv,,,,,,公众号运营
【宣传册设计】菜谱设计,https://task.epwk.com/830123/,318人,1人,¥100,圆满完成,,菜谱设计,直接雇佣￥ 100,￥ 100,任务编号：830123,532-1000.csv,,,,,,菜谱设计
【营销推广软文】公众号代运营,https://task.epwk.com/830124/,311人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830124,532-1000.csv,,,,,,公众号运营
【营销推广软文】宣传文案写作,https://task.epwk.com/830125/,319人,1人,¥100,圆满完成,,宣传文案写作,直接雇佣￥ 100,￥ 100,任务编号：830125,532-1000.csv,,,,,,"宣传文案, 写作"
【LOGO设计】公司logo设计,https://task.epwk.com/830126/,92人,1人,¥100,圆满完成,,公司logo设计,直接雇佣￥ 100,￥ 100,任务编号：830126,532-1000.csv,,,,,,"公司logo, 设计"
【PPT设计】ppt设计,https://task.epwk.com/830127/,114人,1人,¥100,圆满完成,,ppt设计,直接雇佣￥ 100,￥ 100,任务编号：830127,532-1000.csv,,,,,,PPT设计
【宣传册设计】画册设计,https://task.epwk.com/830128/,219人,1人,¥100,圆满完成,,画册设计,直接雇佣￥ 100,￥ 100,任务编号：830128,532-1000.csv,,,,,,"画册, 设计"
【包装设计】食品包装设计,https://task.epwk.com/830129/,205人,1人,¥100,圆满完成,,食品包装设计,直接雇佣￥ 100,￥ 100,任务编号：830129,532-1000.csv,,,,,,"食品包装, 设计"
【PPT设计】ppt模板设计,https://task.epwk.com/830130/,141人,1人,¥100,圆满完成,,ppt模板设计,直接雇佣￥ 100,￥ 100,任务编号：830130,532-1000.csv,,,,,,"PPT模板, 设计"
【营销推广软文】公众号代运营,https://task.epwk.com/830131/,289人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830131,532-1000.csv,,,,,,公众号运营
【产品卖点】朋友圈文案写作,https://task.epwk.com/830133/,555人,1人,¥100,圆满完成,,朋友圈文案写作,直接雇佣￥ 100,￥ 100,任务编号：830133,532-1000.csv,,,,,,朋友圈文案写作
【LOGO设计】卡通logo设计,https://task.epwk.com/830134/,133人,1人,¥100,圆满完成,,卡通logo设计,直接雇佣￥ 100,￥ 100,任务编号：830134,532-1000.csv,,,,,,"卡通logo, 设计"
【PPT设计】PPT模板设计,https://task.epwk.com/830136/,192人,1人,¥100,圆满完成,,PPT模板设计,直接雇佣￥ 100,￥ 100,任务编号：830136,532-1000.csv,,,,,,"PPT模板, 设计"
【营销推广软文】公众号代运营,https://task.epwk.com/830138/,299人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830138,532-1000.csv,,,,,,公众号运营
【包装设计】零食包装设计,https://task.epwk.com/830140/,368人,1人,¥100,圆满完成,,零食包装设计,直接雇佣￥ 100,￥ 100,任务编号：830140,532-1000.csv,,,,,,"零食包装, 设计"
【宣传册设计】画册设计,https://task.epwk.com/830141/,323人,1人,¥100,圆满完成,,画册设计,直接雇佣￥ 100,￥ 100,任务编号：830141,532-1000.csv,,,,,,"画册, 设计"
【宣传册设计】宣传册设计,https://task.epwk.com/830142/,354人,1人,¥100,圆满完成,,宣传册设计,直接雇佣￥ 100,￥ 100,任务编号：830142,532-1000.csv,,,,,,"宣传册, 设计"
【LOGO设计】食品logo设计,https://task.epwk.com/830144/,222人,1人,¥100,圆满完成,,食品logo设计,直接雇佣￥ 100,￥ 100,任务编号：830144,532-1000.csv,,,,,,"食品, logo设计"
【PPT设计】PPT设计,https://task.epwk.com/830145/,149人,1人,¥100,圆满完成,,PPT设计,直接雇佣￥ 100,￥ 100,任务编号：830145,532-1000.csv,,,,,,PPT设计
【宣传册设计】宣传册设计,https://task.epwk.com/830146/,230人,1人,¥100,圆满完成,,宣传册设计,直接雇佣￥ 100,￥ 100,任务编号：830146,532-1000.csv,,,,,,"宣传册, 设计"
【PPT设计】PPT设计,https://task.epwk.com/830147/,128人,1人,¥100,圆满完成,,PPT设计,直接雇佣￥ 100,￥ 100,任务编号：830147,532-1000.csv,,,,,,PPT设计
【营销推广软文】宣传文案写作,https://task.epwk.com/830148/,384人,1人,¥100,圆满完成,,宣传文案写作,直接雇佣￥ 100,￥ 100,任务编号：830148,532-1000.csv,,,,,,"宣传文案, 写作"
【软件UI设计】6张页面设计,https://task.epwk.com/830169/,616人,1人,¥500,圆满完成,,6张页面设计,直接雇佣￥ 500,￥ 500,任务编号：830169,532-1000.csv,,,,,,"页面设计, 6张"
【APP开发】交友定制,https://task.epwk.com/830171/,125人,1人,"¥34,000",圆满完成,,交友定制,直接雇佣￥ 34000,￥ 34000,任务编号：830171,532-1000.csv,,,,,,"交友, 定制"
【APP界面设计】使用nvue些页面,https://task.epwk.com/830204/,615人,1人,¥800,圆满完成,,使用nvue些页面,直接雇佣￥ 800,￥ 800,任务编号：830204,532-1000.csv,,,,,,"nvue页面, 页面开发"
【企业官网】高端HTML5网站建设,https://task.epwk.com/830242/,370人,1人,"¥5,000",圆满完成,,高端HTML5网站建设,直接雇佣￥ 5000,￥ 5000,任务编号：830242,532-1000.csv,,,,,,"高端HTML5网站, 网站建设"
【财务管理系统】资产管理软件开发,https://task.epwk.com/830243/,1432人,1人,"¥49,500",圆满完成,,资产管理软件开发,直接雇佣￥ 49500,￥ 49500,任务编号：830243,532-1000.csv,,,,,,"资产管理, 软件开发"
【APP开发】聊天社交APP,https://task.epwk.com/830246/,126人,1人,"¥30,000",圆满完成,,聊天社交APP,直接雇佣￥ 30000,￥ 30000,任务编号：830246,532-1000.csv,,,,,,"聊天社交, APP"
【产品外观设计】设计机器狗,https://task.epwk.com/830254/,1386人,1人,"¥28,589",圆满完成,,设计机器狗,直接雇佣￥ 28589,￥ 28589,任务编号：830254,532-1000.csv,,,,,,"机器狗, 设计"
【VR旅游】VR旅游项目开发,https://task.epwk.com/830259/,809人,1人,"¥66,000",圆满完成,,VR旅游项目开发,直接雇佣￥ 66000,￥ 66000,任务编号：830259,532-1000.csv,,,,,,"VR旅游, 项目开发"
【VR旅游】VR旅游项目开发第二期,https://task.epwk.com/830260/,575人,1人,"¥40,000",圆满完成,,VR旅游项目开发第二期,直接雇佣￥ 40000,￥ 40000,任务编号：830260,532-1000.csv,,,,,,"VR旅游, 项目开发, 第二期"
【APP开发】分期商城APP租赁商城APP,https://task.epwk.com/830265/,111人,1人,"¥30,188",圆满完成,,分期商城APP租赁商城APP,直接雇佣￥ 30188,￥ 30188,任务编号：830265,532-1000.csv,,,,,,"分期商城, 租赁商城, APP"
【小程序开发】简易商城,https://task.epwk.com/830269/,192人,1人,"¥10,000",圆满完成,,简易商城,直接雇佣￥ 10000,￥ 10000,任务编号：830269,532-1000.csv,,,,,,"简易商城, 商城系统"
【VI设计】設計一套簡單的Vl,https://task.epwk.com/830276/,317人,1人,"¥4,980",圆满完成,,設計一套簡單的Vl,直接雇佣￥ 4980,￥ 4980,任务编号：830276,532-1000.csv,,,,,,"Vl设计, 简单设计"
【海报设计】banner设计,https://task.epwk.com/830279/,338人,1人,¥300,圆满完成,,banner设计,直接雇佣￥ 300,￥ 300,任务编号：830279,532-1000.csv,,,,,,banner设计
【小程序开发】在线教育全套源码,https://task.epwk.com/830292/,287人,1人,"¥40,000",圆满完成,,在线教育全套源码,直接雇佣￥ 40000,￥ 40000,任务编号：830292,532-1000.csv,,,,,,"在线教育, 源码"
【FLASH制作】MG动画宣传片视频,https://task.epwk.com/830296/,915人,1人,"¥13,880",圆满完成,,MG动画宣传片视频,直接雇佣￥ 13880,￥ 13880,任务编号：830296,532-1000.csv,,,,,,"MG动画, 宣传片, 视频"
【网站UI设计】网站移动端和PC端页面设计,https://task.epwk.com/830347/,541人,1人,"¥3,000",圆满完成,,网站移动端和PC端页面设计,直接雇佣￥ 3000,￥ 3000,任务编号：830347,532-1000.csv,,,,,,"网站设计, 移动端, PC端"
【APP开发】通信类软件开发三期,https://task.epwk.com/830348/,155人,1人,"¥23,180",圆满完成,,通信类软件开发三期,直接雇佣￥ 23180,￥ 23180,任务编号：830348,532-1000.csv,,,,,,"通信软件, 软件开发, 三期"
【海报设计】帽子详情页设计,https://task.epwk.com/830359/,649人,1人,¥900,圆满完成,,帽子详情页设计,直接雇佣￥ 900,￥ 900,任务编号：830359,532-1000.csv,,,,,,帽子详情页设计
【其他软件开发】网站源代码的修改,https://task.epwk.com/830364/,1673人,1人,"¥1,000",圆满完成,,网站源代码的修改,直接雇佣￥ 1000,￥ 1000,任务编号：830364,532-1000.csv,,,,,,"网站源代码, 修改"
【LOGO设计】LOGO设计,https://task.epwk.com/830370/,373人,1人,¥500,圆满完成,,LOGO设计,直接雇佣￥ 500,￥ 500,任务编号：830370,532-1000.csv,,,,,,LOGO设计
【小程序开发】商城小程序源码,https://task.epwk.com/830390/,219人,1人,"¥6,000",圆满完成,,商城小程序源码,直接雇佣￥ 6000,￥ 6000,任务编号：830390,532-1000.csv,,,,,,"商城小程序, 源码"
【LOGO设计】卡通logo设计,https://task.epwk.com/830405/,133人,1人,¥100,圆满完成,,卡通logo设计,直接雇佣￥ 100,￥ 100,任务编号：830405,532-1000.csv,,,,,,"卡通logo, 设计"
【PPT设计】ppt设计,https://task.epwk.com/830408/,128人,1人,¥100,圆满完成,,ppt设计,直接雇佣￥ 100,￥ 100,任务编号：830408,532-1000.csv,,,,,,PPT设计
【营销推广软文】公众号代运营,https://task.epwk.com/830409/,482人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830409,532-1000.csv,,,,,,公众号运营
【营销推广软文】订阅号代运营,https://task.epwk.com/830410/,538人,1人,¥100,圆满完成,,订阅号代运营,直接雇佣￥ 100,￥ 100,任务编号：830410,532-1000.csv,,,,,,"订阅号, 代运营"
【营销推广软文】宣传文案写作,https://task.epwk.com/830411/,516人,1人,¥100,圆满完成,,宣传文案写作,直接雇佣￥ 100,￥ 100,任务编号：830411,532-1000.csv,,,,,,"宣传文案, 写作"
【营销推广软文】公众号代运营,https://task.epwk.com/830412/,450人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830412,532-1000.csv,,,,,,公众号运营
【产品卖点】朋友圈文案写作,https://task.epwk.com/830413/,637人,1人,¥100,圆满完成,,朋友圈文案写作,直接雇佣￥ 100,￥ 100,任务编号：830413,532-1000.csv,,,,,,朋友圈文案写作
【LOGO设计】公司logo设计,https://task.epwk.com/830414/,167人,1人,¥100,圆满完成,,公司logo设计,直接雇佣￥ 100,￥ 100,任务编号：830414,532-1000.csv,,,,,,"公司logo, 设计"
【LOGO设计】服装logo设计,https://task.epwk.com/830431/,156人,1人,¥100,圆满完成,,服装logo设计,直接雇佣￥ 100,￥ 100,任务编号：830431,532-1000.csv,,,,,,"服装, logo"
【PPT设计】PPT设计,https://task.epwk.com/830435/,98人,1人,¥100,圆满完成,,PPT设计,直接雇佣￥ 100,￥ 100,任务编号：830435,532-1000.csv,,,,,,PPT设计
【营销推广软文】公众号代运营,https://task.epwk.com/830436/,561人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830436,532-1000.csv,,,,,,公众号运营
【营销推广软文】文章写作,https://task.epwk.com/830437/,562人,1人,¥100,圆满完成,,文章写作,直接雇佣￥ 100,￥ 100,任务编号：830437,532-1000.csv,,,,,,文章写作
【LOGO设计】企业logo设计,https://task.epwk.com/830438/,101人,1人,¥100,圆满完成,,企业logo设计,直接雇佣￥ 100,￥ 100,任务编号：830438,532-1000.csv,,,,,,"企业logo, 设计"
【PPT设计】PPT设计,https://task.epwk.com/830439/,295人,1人,¥100,圆满完成,,PPT设计,直接雇佣￥ 100,￥ 100,任务编号：830439,532-1000.csv,,,,,,PPT设计
【营销推广软文】公众号代运营,https://task.epwk.com/830441/,488人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830441,532-1000.csv,,,,,,公众号运营
【包装设计】食品包装设计,https://task.epwk.com/830442/,288人,1人,¥100,圆满完成,,食品包装设计,直接雇佣￥ 100,￥ 100,任务编号：830442,532-1000.csv,,,,,,"食品包装, 设计"
【营销推广软文】公众号代运营,https://task.epwk.com/830443/,523人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：830443,532-1000.csv,,,,,,公众号运营
【营销推广软文】订阅号代运营,https://task.epwk.com/830444/,464人,1人,¥100,圆满完成,,订阅号代运营,直接雇佣￥ 100,￥ 100,任务编号：830444,532-1000.csv,,,,,,"订阅号, 代运营"
【APP开发】客户管理、办公app,https://task.epwk.com/830453/,153人,1人,"¥25,800",圆满完成,,客户管理、办公app,直接雇佣￥ 25800,￥ 25800,任务编号：830453,532-1000.csv,,,,,,"客户管理, 办公应用"
【APP开发】家居应用app,https://task.epwk.com/830456/,167人,1人,"¥4,200",圆满完成,,家居应用app,直接雇佣￥ 4200,￥ 4200,任务编号：830456,532-1000.csv,,,,,,"家居应用, app"
【小程序开发】微信小程序开发,https://task.epwk.com/830458/,136人,1人,"¥21,100",圆满完成,,微信小程序开发,直接雇佣￥ 21100,￥ 21100,任务编号：830458,532-1000.csv,,,,,,"微信小程序, 开发"
【宣传册设计】画册设计,https://task.epwk.com/830464/,226人,1人,¥200,圆满完成,,画册设计,直接雇佣￥ 200,￥ 200,任务编号：830464,532-1000.csv,,,,,,"画册, 设计"
【宣传册设计】画册设计,https://task.epwk.com/830465/,197人,1人,¥200,圆满完成,,画册设计,直接雇佣￥ 200,￥ 200,任务编号：830465,532-1000.csv,,,,,,"画册, 设计"
【宣传册设计】画册设计,https://task.epwk.com/830466/,278人,1人,¥200,圆满完成,,画册设计,直接雇佣￥ 200,￥ 200,任务编号：830466,532-1000.csv,,,,,,"画册, 设计"
【宣传册设计】画册设计,https://task.epwk.com/830467/,382人,1人,¥200,圆满完成,,画册设计,直接雇佣￥ 200,￥ 200,任务编号：830467,532-1000.csv,,,,,,"画册, 设计"
【宣传册设计】画册设计,https://task.epwk.com/830468/,345人,1人,¥200,圆满完成,,画册设计,直接雇佣￥ 200,￥ 200,任务编号：830468,532-1000.csv,,,,,,"画册, 设计"
【宣传册设计】画册设计,https://task.epwk.com/830469/,474人,1人,¥200,圆满完成,,画册设计,直接雇佣￥ 200,￥ 200,任务编号：830469,532-1000.csv,,,,,,"画册, 设计"
【宣传册设计】画册设计,https://task.epwk.com/830471/,656人,1人,¥200,圆满完成,,画册设计,直接雇佣￥ 200,￥ 200,任务编号：830471,532-1000.csv,,,,,,"画册, 设计"
【宣传册设计】画册设计,https://task.epwk.com/830472/,489人,1人,¥200,圆满完成,,画册设计,直接雇佣￥ 200,￥ 200,任务编号：830472,532-1000.csv,,,,,,"画册, 设计"
【企业官网】公司企业网站建设 网站开发 网页设计 网站设计 网站制作,https://task.epwk.com/830473/,262人,1人,"¥25,480",圆满完成,,公司企业网站建设 网站开发 网页设计 网站设计 网站制作,直接雇佣￥ 25480,￥ 25480,任务编号：830473,532-1000.csv,,,,,,"公司企业网站, 网站开发, 网页设计, 网站设计, 网站制作"
【企业官网】小程序开发 小程序定制 设计 服务类小程序开发 O2O小,https://task.epwk.com/830474/,311人,1人,"¥36,840",圆满完成,,小程序开发 小程序定制 设计 服务类小程序开发 O2O小,直接雇佣￥ 36840,￥ 36840,任务编号：830474,532-1000.csv,,,,,,"小程序开发, 小程序定制, 服务类小程序, O2O小程序"
【企业官网】微信平台开发 微信定制设计 服务类微信开发 O2O微信平,https://task.epwk.com/830475/,251人,1人,"¥39,670",圆满完成,,微信平台开发 微信定制设计 服务类微信开发 O2O微信平,直接雇佣￥ 39670,￥ 39670,任务编号：830475,532-1000.csv,,,,,,"微信平台开发, 微信定制设计, O2O微信平台"
【企业官网】管理系统定制开发 办公软件 OA 审批流管理 各行业日常,https://task.epwk.com/830477/,231人,1人,"¥48,520",圆满完成,,管理系统定制开发 办公软件 OA 审批流管理 各行业日常,直接雇佣￥ 48520,￥ 48520,任务编号：830477,532-1000.csv,,,,,,"管理系统定制开发, OA, 审批流管理, 行业日常"
【企业官网】APP定制开发、APP开发、服务类APP开发、商城APP,https://task.epwk.com/830478/,249人,1人,"¥49,490",圆满完成,,APP定制开发、APP开发、服务类APP开发、商城APP,直接雇佣￥ 49490,￥ 49490,任务编号：830478,532-1000.csv,,,,,,"APP定制开发, 服务类APP, 商城APP"
