标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【采集工具】从官网下载采集数据，制表，排序,https://task.epwk.com/1120435/,72人,1人,¥380,圆满完成,,威高vSWs9,1、从官网或者小程序上采集周末公布的数据，制作成表格形式；2、按数值大小进行排序；3、具体的表格文字样式，按之前我手抄的模板；,2025-04-26,2025.04.27,任务编号：1120435,380.0,2天,山东省-德州市,德州悠扬信息科技有限公司,https://shop.epwk.com/4rn8q7gz9ngm/,德州悠扬信息科技有限公司,出售服务,https://shop.epwk.com/4rn8q7gz9ngm/chushou/,企业,四品,76分,总 14 次中标，交易总金额,￥2.29万,德州悠扬信息科技有限公司,,扫码点餐系统SAAS版,价格面议,扫码点餐系统,价格面议,企业网站电脑手机H5五站合一官网开发,价格面议,商城系统单商户版,￥3000,商城系统多商户版,￥4000,UI设计界面,价格面议,,,,,,,采集工具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】开发需求第一期（已确定服务商）,https://task.epwk.com/1120384/,161人,1人,¥41000,圆满完成,,boonsue,具体已沟通的为准,2025-04-25,2025.04.30,任务编号：1120384,41000.0,40天,福建省-厦门市,猎隼开发者,https://shop.epwk.com/3gd2mv46pner/,猎隼开发者,出售服务,https://shop.epwk.com/3gd2mv46pner/chushou/,企业,四品,77分,总 1 次中标，交易总金额,￥4.1万,猎隼开发者,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【定制开发】仿站需求制作,https://task.epwk.com/1120174/,233人,1人,¥2000,圆满完成,,mf158****8733,https://paper.z2h.cn仿这个网站的所有功能（除了捐助）,2025-04-24,2025.05.14,任务编号：1120174,2000.0,21天,河北省-保定市,旗铭玉保定市软件开发,https://shop.epwk.com/omdwk99xqdrp/,旗铭玉保定市软件开发,出售服务,https://shop.epwk.com/omdwk99xqdrp/chushou/,工作室,五品,52分,总 8 次中标，交易总金额,￥2.1万,旗铭玉保定市软件开发,,,,,,,,,,,,,,,,,,,,定制开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】开发一个工作生活圈组小程序,https://task.epwk.com/1120079/,94人,2人,¥5000,圆满完成,,云嘉嘉lC7V3,可以创建工作生活圈组，可以像朋友圈那样发日志，含图片视频。允许或者拒绝加入。,2025-04-23,2025.04.28,任务编号：1120079,5000.0,"10天,20天","山东省-临沂市-河东区,河南省-洛阳市",慧兴科技,https://shop.epwk.com/0jnekvqp9nv3/,慧兴科技,出售服务,https://shop.epwk.com/0jnekvqp9nv3/chushou/,企业,四品,60分,总 4 次中标，交易总金额,￥3.65万,慧兴科技,,法律在线咨询律师事务所网站设计APP定制开发,"￥20000
            /起",小程序美容美甲洗护预约考试答题小程序OA管理系统,"￥8000
            /月",小程序智能家居物联网建材小程序商城ERP定制开发,"￥10000
            /年",年审车检代办小程序开发微信积分余额商城小程序进销存管理系统,"￥10000
            /套",小程序开发CRM管理系统餐饮、生鲜、门店外卖配送小程序,"￥9000
            /次",网站开发企业公司在线网站建设网页设计web前端升级二开,"￥1500
            /件",微信服装小程序定制开发鞋包订制商城购物微信公众号系统开发,"￥4000
            /套",微信小程序进销存分销零售商城小程序开发外包APP定制,"￥1000
            /起",,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】听力测试小程序开发首付款,https://task.epwk.com/1119916/,9人,1人,¥3000,圆满完成,,vitorru,听力测试小程序开发，按照签订合同开发,2025-04-23,2025.04.23,任务编号：1119916,3000.0,15天,江苏省-淮安市,江苏执笔科技有限公司,https://shop.epwk.com/7g5ykg706n0q/,江苏执笔科技有限公司,出售服务,https://shop.epwk.com/7g5ykg706n0q/chushou/,企业,五品,70分,总 4 次中标，交易总金额,￥1.19万,江苏执笔科技有限公司,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【APP界面设计】appUI设计,https://task.epwk.com/1119700/,114人,2人,¥300,圆满完成,,o5c988162ef72a,２个页面，提交到,2025-04-21,2025.04.27,任务编号：1119700,300.0,1天,福建省-福州市-闽清县,码链云舟,https://shop.epwk.com/2j5jjg8875pz/,码链云舟,出售服务,https://shop.epwk.com/2j5jjg8875pz/chushou/,个人,七品,57分,总 2 次中标，交易总金额,￥2722.50,码链云舟,,数据可视化大屏定制开发数据可视化解决方案大屏设计开发外包,"￥5000
            /套",全套APP定制开发UIUX设计功能开发测试上线一站式外包服务,"￥300
            /页",全套管理系统数据后台客户端软件终端界面定制设计开发,"￥3000
            /套",微信小程序定制开发小程序设计制作微信小程序外包服务定制化,"￥3000
            /套",全案网站建设企业官网营销型门户外贸站点仿站定制开发,"￥5000
            /套",,,,,,,,,APP界面设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【脚本开发】设计一个爬取某一网站文档的爬虫代码,https://task.epwk.com/1119681/,42人,1人,¥500,圆满完成,,化工攻城狮,线上联系雇主咨询爬虫的具体要求,2025-04-21,2025.04.21,任务编号：1119681,500.0,1天,北京市-北京市,智码科技,https://shop.epwk.com/2j5jjg9r25pz/,智码科技,出售服务,https://shop.epwk.com/2j5jjg9r25pz/chushou/,工作室,七品,73分,总 2 次中标，交易总金额,￥1700.00,智码科技,,RPA | 采集 | 群控 | 插件 | 跑号软件,价格面议,车载语音技能 | 车载视听媒体技能 | 嵌入式车载应用开发,价格面议,智能音响 | 智能语音技能 | 智能语音设备,价格面议,U3D游戏 | 小游戏 | H5游戏 | 后端开发,价格面议,APP接口开发 | 三方接口对接 | AI Agent开发,价格面议,微信小程序开发,价格面议,,,,,,,脚本开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】水果商城小程序开发（预付款，已确定合作者）,https://task.epwk.com/1119601/,20人,1人,¥6000,圆满完成,,o5f6d607cb1281,称呼：韦先生（老板）地区: 江苏无锡，服务商地域不限需求: 水果商城，每个小区都有一个分销店，下单后客户在周边提货或 ，20天内开业，开业时希望小程序可以使用 ，具体功能如下：1、超级会员，顾客充值198元成为会员。金额在APP里面可以买商品（不可提现）享受店里部分成本价格商品。成为2级分销资格。通过他的邀请码注册下单的商品（商成内全部商品）享受2~15%的返佣，（可以提现零钱）198会员使用期限为6个月，到期可以续费，或推荐一人成会员，延长会员一个月，推荐6人延长6个月，返198元入会费（不可提现用于门店商场消费）推荐7人为一组。类似于7人成团模式。没有上限，奖励的198会员卡可以转赠，受转赠用户即可成为会员，2、新用户首单满50减10元，满100减20，不享受门店或商城成本价商品，APP内有客服功能，骑手加盟入口，商家入驻，团长加盟等功能。社区微信群功能，客户小程序下单，店内打印消费单，小程序内生成支付二维码，支付小程序内余额，3、超级拼团设人数多少就可以拼团成功，要求有时效性，客户购买，下单，支付则为有效人数，时效内未拼团成功，客户下单的金额原路返回，拼团页面可以生成微信二维码，分享给自己微信好友。分享超级拼团商品拼团成功返佣金2~15%。没有门槛。（可以提现）4、下单支付页面，可以选择门店自取（显示门店位置）骑手上门送货，快递邮寄等选择预算: 几千-1万时间：尽快备注：微信是手机号,2025-04-21,2025.04.21,任务编号：1119601,6000.0,1天,江苏省-无锡市,初简馨网络,https://shop.epwk.com/9w56e48pwdv1/,初简馨网络,出售服务,https://shop.epwk.com/9w56e48pwdv1/chushou/,工作室,二品,56分,总 42 次中标，交易总金额,￥10.75万,初简馨网络,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【APP开发】智慧维保系统APP平台开发一期款,https://task.epwk.com/1119087/,28人,1人,¥16000,圆满完成,,vitorru,智慧维保系统APP平台开发，具体按照合同开发,2025-04-17,2025.04.17,任务编号：1119087,16000.0,30天,河北省-邯郸市,毛利网络,https://shop.epwk.com/7lngqgqe3dmr/,毛利网络,出售服务,https://shop.epwk.com/7lngqgqe3dmr/chushou/,企业,四品,66分,总 4 次中标，交易总金额,￥2.2万,毛利网络,,网站设计开发,"￥2000
            /起",微信开发小程序开发公众号开发H5开发,"￥2000
            /起",APP开发安卓开发 iOS开发,"￥2000
            /起",,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】游戏陪玩小程序开发一期款,https://task.epwk.com/1118954/,16人,1人,¥9600,圆满完成,,k5737****97,游戏陪玩小程序开发，具体开发细节按照沟通好开发,2025-04-16,2025.04.16,任务编号：1118954,9600.0,7天,四川省-成都市,毕米科技工作室,https://shop.epwk.com/qgdmjox8qdke/,毕米科技工作室,出售服务,https://shop.epwk.com/qgdmjox8qdke/chushou/,工作室,四品,57分,总 9 次中标，交易总金额,￥5.36万,毕米科技工作室,,小程序开发（跨平台）,"￥19999
            /起",后台系统开发,￥29999,全站开发(Web端、App端、小程序端),"￥29999
            /款",Web后台开发(低代码),￥7500,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【网站二次开发】PHP抓取一个GO网站项目中数据,https://task.epwk.com/1118945/,138人,1人,¥1200,圆满完成,,尚品4atjK,需求文件上传到附件，请下载查看；项目需在17号前交付；,2025-04-16,2025.04.23,任务编号：1118945,1200.0,1天,北京市-北京市,智码科技,https://shop.epwk.com/2j5jjg9r25pz/,智码科技,出售服务,https://shop.epwk.com/2j5jjg9r25pz/chushou/,工作室,七品,73分,总 2 次中标，交易总金额,￥1700.00,智码科技,,RPA | 采集 | 群控 | 插件 | 跑号软件,价格面议,车载语音技能 | 车载视听媒体技能 | 嵌入式车载应用开发,价格面议,智能音响 | 智能语音技能 | 智能语音设备,价格面议,U3D游戏 | 小游戏 | H5游戏 | 后端开发,价格面议,APP接口开发 | 三方接口对接 | AI Agent开发,价格面议,微信小程序开发,价格面议,,,,,,,网站二次开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】小程序优化（已经确定合作）,https://task.epwk.com/1118826/,66人,1人,¥2000,圆满完成,,聚盘6JfOp,小程序优化，已沟通的为准,2025-04-15,2025.04.28,任务编号：1118826,2000.0,7天,上海市-市辖区,缇讯科技(上海)有限公司,https://shop.epwk.com/09drjyex653w/,缇讯科技(上海)有限公司,出售服务,https://shop.epwk.com/09drjyex653w/chushou/,企业,四品,76分,总 17 次中标，交易总金额,￥5.2万,缇讯科技(上海)有限公司,,物联网嵌入式开发云平台搭建大数据分析硬件云端智能解决方案,价格面议,全行业Saas系统针对垂直行业基于定制化多租户复杂权限系统,价格面议,开源大模型蒸馏定制行业小模型开发适用于各行各业解决方案,价格面议,汽车后市场相关软件开发客户关系管理系统汽配数据采集分析系统,价格面议,复杂项目协同管理解决方案,价格面议,直播数藏电商在线教育抽奖定制行业模版小程序APP,"￥1000
            /起",,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】微信小程序开发,https://task.epwk.com/1118798/,12人,1人,¥1700,圆满完成,,o5f6d607cb1281,微信小程序开发，按照沟通好的开发,2025-04-15,2025.04.15,任务编号：1118798,1700.0,1天,江苏省-无锡市,初简馨网络,https://shop.epwk.com/9w56e48pwdv1/,初简馨网络,出售服务,https://shop.epwk.com/9w56e48pwdv1/chushou/,工作室,二品,56分,总 42 次中标，交易总金额,￥10.75万,初简馨网络,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】打碟行业小程序开发一期款,https://task.epwk.com/1118771/,10人,1人,¥3000,圆满完成,,k4215****76,称呼:尹先生地区:湖北武汉需求:有用户端，DJ端，用户发单，接单的，有需求文档 ，具体按照谈好的开发,2025-04-15,2025.04.20,任务编号：1118771,3000.0,20天,浙江省-杭州市,杭州动动脑智能软件,https://shop.epwk.com/78dlj04kp5lx/,杭州动动脑智能软件,出售服务,https://shop.epwk.com/78dlj04kp5lx/chushou/,企业,七品,79分,总 1 次中标，交易总金额,￥6150.00,杭州动动脑智能软件,,APP定制开发,"￥800
            /日",软件定制开发,"￥1000
            /日",,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】支付小程序开发（第一期，已确定合作者）,https://task.epwk.com/1118662/,37人,1人,¥5520,圆满完成,,o5f6d607cb1281,称呼：李先生地区: 黑龙江哈尔滨，周边服务商需求: 客户消费时，小程序支付时可以出现折扣价，客户直接在小程序支付。然后系统出现二维码，商家扫码，款项就可以转账到商家  。服务商提供报价预算: 看服务商报价时间：尽快备注：微信是手机号,2025-04-14,2025.04.14,任务编号：1118662,5520.0,35天,辽宁省-沈阳市,工匠网络,https://shop.epwk.com/rp5z4vpq8dx3/,工匠网络,出售服务,https://shop.epwk.com/rp5z4vpq8dx3/chushou/,企业,五品,86分,总 5 次中标，交易总金额,￥1.2万,工匠网络,,沈阳小程序APP开发网站建设定制java移动安卓源码,"￥998
            /起",门店收银系统开发餐饮管理扫码结算连锁门店收银系统,"￥998
            /起",3D数字大屏Webgl网页开发智慧城市大数据可视化开发,"￥998
            /起",APP定制开发iOS安卓家政教育医疗直播商城,"￥998
            /起",微信小程序定制开发saas商城成品家政外卖点餐微商城教育,"￥998
            /起",网站建设企业官网电商网站门户网站外贸网站营销网站,"￥998
            /起",,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】后台系统部分开发二期款,https://task.epwk.com/1118639/,65人,1人,¥2400,圆满完成,,徐乂乂,UI界面部分已经在设计了，用的是本地离线主机当服务器，应该不用服务器域名，软件是在局域网内使用，不能联网  现在想找后台系统部分的开发，具体按照谈好的开发,2025-04-14,2025.04.27,任务编号：1118639,2400.0,7天,北京市-北京市,北京维拓软件工作室,https://shop.epwk.com/81n41oy8enp6/,北京维拓软件工作室,出售服务,https://shop.epwk.com/81n41oy8enp6/chushou/,个人,六品,60分,总 3 次中标，交易总金额,￥7560.00,北京维拓软件工作室,,软件二次开发,价格面议,数据采集抓取,价格面议,软件方案设计,价格面议,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【其他软件开发】北单足彩过滤软件开发,https://task.epwk.com/1118457/,76人,1人,¥200,圆满完成,,小二威威NwF09,制作简单的北单足彩过滤软件，过滤条件有：胜场次，负场次，平场次，积分和，断点数，主场连胜次数，主场连负次数，主场连平次数，胜负连号，胜平连号，平负连号，连号个数，邻号间距和，邻号乘积和，号码位积和，可以参考DEEPSEEK,2025-04-12,2025.05.04,任务编号：1118457,200.0,3天,,v助利32VC7,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】公司的智能化模型系统，一期开发,https://task.epwk.com/1118335/,45人,1人,¥5400,圆满完成,,威风志cf5HO,私有化模型+本地知识库部署+小程序先后端开发设计+工厂API开发和连接,2025-04-11,2025.04.11,任务编号：1118335,5400.0,30天,上海市-市辖区,悦深科技2018,https://shop.epwk.com/9w56e49pwdv1/,悦深科技2018,出售服务,https://shop.epwk.com/9w56e49pwdv1/chushou/,企业,三品,95分,总 10 次中标，交易总金额,￥7.43万,悦深科技2018,,各类响应式网站开发,"￥80
            /小时",H5页面开发,"￥80
            /小时",各类人工智能api应用开发,"￥80
            /小时",网站中后台功能开发,"￥80
            /小时",微信小程序建设,"￥80
            /小时",电商网站开发,"￥80
            /小时",,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【运维服务】搭建一套开源的代码管理及配套的CICD服务,https://task.epwk.com/1118236/,86人,2人,¥1000,圆满完成,,叶摩拉2Ksam,需求：搭建一套Gitlab为基础的CICD服务，给出node、java、docker的镜像私服，通过流水线发布制品到私服，提供dockerfile发布java的maven程序到目标服务器,2025-04-10,2025.04.16,任务编号：1118236,1000.0,3天,上海市-市辖区,缇讯科技(上海)有限公司,https://shop.epwk.com/09drjyex653w/,缇讯科技(上海)有限公司,出售服务,https://shop.epwk.com/09drjyex653w/chushou/,企业,四品,76分,总 17 次中标，交易总金额,￥5.2万,缇讯科技(上海)有限公司,,物联网嵌入式开发云平台搭建大数据分析硬件云端智能解决方案,价格面议,全行业Saas系统针对垂直行业基于定制化多租户复杂权限系统,价格面议,开源大模型蒸馏定制行业小模型开发适用于各行各业解决方案,价格面议,汽车后市场相关软件开发客户关系管理系统汽配数据采集分析系统,价格面议,复杂项目协同管理解决方案,价格面议,直播数藏电商在线教育抽奖定制行业模版小程序APP,"￥1000
            /起",,,,,,,运维服务,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】智能冰柜的软件硬件开发(第一期，已确定合作者),https://task.epwk.com/1118186/,18人,1人,¥5580,圆满完成,,vitorru,已经确定合作，具体按双方合同为准,2025-04-10,2025.04.11,任务编号：1118186,5580.0,20天,浙江省-温州市,赛特网络--专注20多年的网络增值服务商,https://shop.epwk.com/4rn8qq4z3ngm/,赛特网络--专注20多年的网络增值服务商,出售服务,https://shop.epwk.com/4rn8qq4z3ngm/chushou/,企业,一品,75分,总 115 次中标，交易总金额,￥149.9万,赛特网络--专注20多年的网络增值服务商,,物联网硬件开发,价格面议,物联网软件开发,价格面议,电商系统平台开发,价格面议,O2O类平台定制开发,价格面议,APP定制开发,价格面议,小程序定制开发,价格面议,电动汽车充电桩平台开发,价格面议,电动摩托车充电桩平台开发,价格面议,酒店无人售货机平台开发,价格面议,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【APP开发】教育软件开发一期（2）,https://task.epwk.com/1118153/,32人,1人,¥4720,圆满完成,,水上景色,教育软件开发一期（2），已谈好合作,2025-04-10,2025.04.10,任务编号：1118153,4720.0,1天,广东省-深圳市,悦心互娱科技,https://shop.epwk.com/09drjyy4q53w/,悦心互娱科技,出售服务,https://shop.epwk.com/09drjyy4q53w/chushou/,企业,四品,63分,总 2 次中标，交易总金额,￥2.47万,悦心互娱科技,,专业定制服务,价格面议,小程序开发（可定制）,价格面议,APP开发（可定制）,价格面议,游戏开发（手游）,价格面议,游戏开发（端游）,价格面议,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【游戏建模】3D游戏角色建模绑骨需求,https://task.epwk.com/1118001/,255人,1人,¥3300,圆满完成,,杭州浔宸,男性角色1名根据三视图还原人物角色：1. 3D人物角色建模、细节雕琢、纹理贴图2. 确认角色模型后，添加骨骼绑定，可通过mixamo绑骨实现基础动作，实现基础动作：站立、行走、慢跑、奔跑3. 将建立好的人物模型、纹理贴图、骨骼绑定导出为游戏引擎可以识别的格式4. 建模时，男性角色以Cyclist、女性角色以GirlBiker作为标准（因绑骨、身高和自行车的结构要求，角色建模需要在基础模型上改造）3D模型验收要求：l 人物角色面数：1W~2W（中模），能够80%还原美术设计的角色，确保在手机游戏平台上能够流畅运行，同时保持一定的细节呈现能力。l 角色尺寸：按照基础模型人物角色身高比例。l 面部：还原角色面部特征，不做表情动画，相似度80%。l 在保障较高还原度要求的前提下，尽量优化角色面数l 贴图满足色彩、纹理、明暗要求，尺寸10241024l 绑骨：按照基础模型的绑骨、命名规范、文件层级、坐标系要求（参照Cyclist.fbx）进行骨骼点绑定，调整权重，能够与自行车模型实现结合，骑行过程中不会出现变形，动态过程中保持模型的稳定性、自然性。l 输出fbx文件,2025-04-09,2025.04.17,任务编号：1118001,3300.0,7天,天津市-市辖区-西青区,游狸猫动画-三维技术服务,https://shop.epwk.com/81n41gm2vnp6/,游狸猫动画-三维技术服务,出售服务,https://shop.epwk.com/81n41gm2vnp6/chushou/,企业,三品,61分,总 19 次中标，交易总金额,￥7.34万,游狸猫动画-三维技术服务,,高端产品广告三维动画三维建模设计,"￥100
            /秒",,,,,,,,,,,,,,,,,游戏建模,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【APP开发】教育软件开发一期（1）,https://task.epwk.com/1117934/,69人,1人,¥20000,圆满完成,,水上景色,教育软件开发一期，已谈好合作,2025-04-08,2025.04.10,任务编号：1117934,20000.0,1天,广东省-深圳市,悦心互娱科技,https://shop.epwk.com/09drjyy4q53w/,悦心互娱科技,出售服务,https://shop.epwk.com/09drjyy4q53w/chushou/,企业,四品,63分,总 2 次中标，交易总金额,￥2.47万,悦心互娱科技,,专业定制服务,价格面议,小程序开发（可定制）,价格面议,APP开发（可定制）,价格面议,游戏开发（手游）,价格面议,游戏开发（端游）,价格面议,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【APP开发】手机版捕鱼游戏APP（一期款）,https://task.epwk.com/1117897/,84人,1人,¥3500,圆满完成,,水上景色,手机版捕鱼游戏APP（一期款）,2025-04-08,2025.04.08,任务编号：1117897,3500.0,3天,广东省-深圳市,深圳宏佑兄弟工作室,https://shop.epwk.com/0z5o4rvqqnjq/,深圳宏佑兄弟工作室,出售服务,https://shop.epwk.com/0z5o4rvqqnjq/chushou/,个人,六品,59分,总 2 次中标，交易总金额,￥8000.00,深圳宏佑兄弟工作室,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】休闲场所的SAAS系统开发三期款,https://task.epwk.com/1117786/,57人,1人,¥17000,圆满完成,,k2472****39,休闲场所的SAAS系统开发，具体按照签订的合同开发,2025-04-07,2025.05.09,任务编号：1117786,17000.0,20天,辽宁省-大连市,大连星芒计算机软件有限公司,https://shop.epwk.com/78dlj0l8l5lx/,大连星芒计算机软件有限公司,出售服务,https://shop.epwk.com/78dlj0l8l5lx/chushou/,企业,四品,63分,总 9 次中标，交易总金额,￥4.68万,大连星芒计算机软件有限公司,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】unity的极简小游戏开发,https://task.epwk.com/1117608/,192人,1人,¥120,圆满完成,,威惠创SCOwW,提供素材，要横板的，复刻棍子英雄，小人过桥类玩法小游戏无限生成平台长按生成棍子，棍子到达一定高度会伸缩回来要有分数系统重新开始游戏按钮暂定按钮逻辑使用unity版本2022棍子英雄视频：《棍子英雄Stick hero》试玩_哔哩哔哩_bilibili,2025-04-05,2025.04.13,任务编号：1117608,120.0,,,北京北宸星科技文化有限公司,https://shop.epwk.com/v0n1xwkkx57y/,北京北宸星科技文化有限公司,出售服务,https://shop.epwk.com/v0n1xwkkx57y/chushou/,企业,六品,79分,总 5 次中标，交易总金额,￥6560.00,北京北宸星科技文化有限公司,,技术服务开发,价格面议,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】网站开发尾款,https://task.epwk.com/1117492/,16人,1人,¥3000,圆满完成,,k1052****04,冯先生地区:北京（地域不限）需求:调试网站 调试 修改  java语言，二开，有代码 具体详谈预算:报价联系备注：微信是手机号（先加微信）,2025-04-03,2025.04.07,任务编号：1117492,3000.0,1天,天津市-市辖区,硕博明睿科技有限公司,https://shop.epwk.com/78n96rrpznkv/,硕博明睿科技有限公司,出售服务,https://shop.epwk.com/78n96rrpznkv/chushou/,企业,五品,92分,总 8 次中标，交易总金额,￥1.02万,硕博明睿科技有限公司,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【APP开发】后台系统部分开发一期款,https://task.epwk.com/1117372/,28人,1人,¥2400,圆满完成,,徐乂乂,UI界面部分已经在设计了，用的是本地离线主机当服务器，应该不用服务器域名，软件是在局域网内使用，不能联网  现在想找后台系统部分的开发，具体按照谈好的开发,2025-04-02,2025.04.14,任务编号：1117372,2400.0,7天,北京市-北京市-海淀区,北京维拓软件工作室,https://shop.epwk.com/81n41oy8enp6/,北京维拓软件工作室,出售服务,https://shop.epwk.com/81n41oy8enp6/chushou/,个人,六品,60分,总 3 次中标，交易总金额,￥7560.00,北京维拓软件工作室,,软件二次开发,价格面议,数据采集抓取,价格面议,软件方案设计,价格面议,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】要做一个高考填报志愿的小程序二开 尾款,https://task.epwk.com/1117254/,89人,1人,¥500,圆满完成,,威上帝6wq90,金女士要做一个高考填报志愿的小程序二开，目前已经有一个系统了，不过有一些功能不全，需要找河北衡水当地的技术团队沟通，用php开发的不接受线下交易，微信是手机号,2025-04-01,2025.04.11,任务编号：1117254,500.0,5天,河北省-保定市,跃腾开发团队,https://shop.epwk.com/81n41moelnp6/,跃腾开发团队,出售服务,https://shop.epwk.com/81n41moelnp6/chushou/,个人,四品,54分,总 7 次中标，交易总金额,￥2.5万,跃腾开发团队,,第三方API接口对接,"￥800
            /次",项目需求分析 解决方案设计,"￥300
            /次",源码部署 非DOCKER 不含源码,"￥1200
            /次",项目代运维 支持多种语言业务项目,"￥2000
            /月",单门店电商商城开发部署-包含服务器等费用,"￥3900
            /次",单门店商城开发部署-知识付费类-包含服务器等费用,"￥3900
            /次",,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【APP开发】服装生产管理软件尾款,https://task.epwk.com/1117178/,28人,1人,¥16820,圆满完成,,vitorru,服装生产管理软件  具体按照合同开发,2025-03-31,2025.03.31,任务编号：1117178,16820.0,3天,广东省-东莞市,广东起搏网络科技有限公司,https://shop.epwk.com/7lngqwj8edmr/,广东起搏网络科技有限公司,出售服务,https://shop.epwk.com/7lngqwj8edmr/chushou/,企业,一品,109分,总 63 次中标，交易总金额,￥129.53万,广东起搏网络科技有限公司,,农业四情监测系统开发物联网智慧农业解决方案云平台系统软件开发,"￥1000
            /起",汽车融资租赁系统汽车金融ERP系统开发汽车租赁管理系统,价格面议,房屋转按揭贷款系统开发金融ERP系统软件开发按揭贷款,价格面议,保理业务系统开发数字金融erp管理系统软件商业保险代理,价格面议,贷款报单系统银行金融贷款erp管理系统软件开发贷款报单软件,价格面议,电商分期系统开发电商分期ERP系统开发电商金融软件系统,价格面议,分期系统开发电商金融ERP系统软件开发源码金融分期app,价格面议,融资担保系统开发经销商供应商融资系统数字金融erp系统,价格面议,融资租赁系统开发数字金融erp管理系统源码供应链平台,价格面议,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
