标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【商业贸易】商业贸易软件开发二期,https://task.epwk.com/699111/,510人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,商业贸易软件开发二期,直接雇佣￥ 40000,￥ 40000,任务编号：699111,1196-1414.csv,,,,"商业贸易, 软件开发, 二期"
【软件UI设计】软件界面UI设计,https://task.epwk.com/699112/,262人,1人,¥200,圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,软件界面UI设计,直接雇佣￥ 200,￥ 200,任务编号：699112,1196-1414.csv,,,,"软件界面, UI设计"
【微信开发】答题微信小程序二期款,https://task.epwk.com/699116/,357人,1人,"¥19,950",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,答题微信小程序二期款,直接雇佣￥ 19950,￥ 19950,任务编号：699116,1196-1414.csv,,,,"答题微信小程序, 二期开发"
【生活家政】生活服务软件开发,https://task.epwk.com/699117/,268人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,生活服务软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：699117,1196-1414.csv,,,,"生活服务, 软件开发"
打车软件继续开发,https://task.epwk.com/699123/,83人,1人,"¥9,990",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,打车软件继续开发,直接雇佣￥ 9990,￥ 9990,任务编号：699123,1196-1414.csv,,,,"打车软件, 开发"
【智能家居软件】智能家居软件开发,https://task.epwk.com/699125/,1602人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,智能家居软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：699125,1196-1414.csv,,,,"智能家居, 软件开发"
类似携程APP开发,https://task.epwk.com/699128/,307人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,类似携程APP开发,直接雇佣￥ 30000,￥ 30000,任务编号：699128,1196-1414.csv,,,,"携程APP, APP开发, 旅游预订系统"
微信小程序开发,https://task.epwk.com/699138/,75人,1人,"¥16,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,微信小程序开发,直接雇佣￥ 16000,￥ 16000,任务编号：699138,1196-1414.csv,,,,"微信小程序, 开发"
安全动态管理APP开发,https://task.epwk.com/699139/,122人,1人,"¥34,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,安全动态管理APP开发,直接雇佣￥ 34000,￥ 34000,任务编号：699139,1196-1414.csv,,,,"安全动态管理, APP开发"
类似携程APP开发的附加功能,https://task.epwk.com/699141/,167人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,类似携程APP开发的附加功能,直接雇佣￥ 20000,￥ 20000,任务编号：699141,1196-1414.csv,,,,"携程APP, 附加功能, 功能开发"
数控机床报表系统开发,https://task.epwk.com/699145/,229人,1人,"¥23,800",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,数控机床报表系统开发,直接雇佣￥ 23800,￥ 23800,任务编号：699145,1196-1414.csv,,,,"数控机床, 报表系统, 系统开发"
网站建设,https://task.epwk.com/699174/,75人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,网站建设,直接雇佣￥ 10000,￥ 10000,任务编号：699174,1196-1414.csv,,,,网站建设
【微信开发】微信开发微信小程序开发公众号平台h5定制分销商城功能微信商城,https://task.epwk.com/699175/,296人,1人,"¥9,520",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,微信开发微信小程序开发公众号平台h5定制分销商城功能微信商城,直接雇佣￥ 9520,￥ 9520,任务编号：699175,1196-1414.csv,,,,"微信小程序, 微信公众号, H5定制, 分销商城, 微信商城"
【店铺装修】网站维护、完善与修改,https://task.epwk.com/699184/,485人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,网站维护、完善与修改,直接雇佣￥ 2000,￥ 2000,任务编号：699184,1196-1414.csv,,,,"网站维护, 网站完善, 网站修改"
【LOGO设计】【久铭乐】商标、网站、企业商业餐饮品牌门店公司logo设计,https://task.epwk.com/699205/,356人,1人,"¥19,900",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,【久铭乐】商标、网站、企业商业餐饮品牌门店公司logo设计,直接雇佣￥ 19900,￥ 19900,任务编号：699205,1196-1414.csv,,,,"商标, 企业品牌, 餐饮品牌, 公司logo设计"
企业管理系统,https://task.epwk.com/699219/,478人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,企业管理系统,直接雇佣￥ 40000,￥ 40000,任务编号：699219,1196-1414.csv,,,,"企业管理系统, 管理系统, 企业系统"
【图片处理】元旦少儿滑冰大赛照片精修,https://task.epwk.com/699220/,315人,1人,"¥1,970",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,元旦少儿滑冰大赛照片精修,直接雇佣￥ 1970,￥ 1970,任务编号：699220,1196-1414.csv,,,,"照片精修, 滑冰"
【标签设计】提货卡升级,https://task.epwk.com/699222/,758人,1人,¥158,圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,提货卡升级,直接雇佣￥ 158,￥ 158,任务编号：699222,1196-1414.csv,,,,"提货卡, 升级"
【APP开发】类似爱伪装app开发,https://task.epwk.com/699225/,898人,1人,"¥39,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,类似爱伪装app开发,直接雇佣￥ 39000,￥ 39000,任务编号：699225,1196-1414.csv,,,,"爱伪装, app开发"
【APP开发】类似爱伪装app第二期,https://task.epwk.com/699227/,438人,1人,"¥41,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,类似爱伪装app第二期,直接雇佣￥ 41000,￥ 41000,任务编号：699227,1196-1414.csv,,,,"爱伪装app, 第二期"
【整合营销】高端护肤品营销策划方案,https://task.epwk.com/699230/,1293人,1人,"¥45,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,高端护肤品营销策划方案,直接雇佣￥ 45000,￥ 45000,任务编号：699230,1196-1414.csv,,,,"高端护肤品, 营销策划, 护肤品方案"
【其他设计】年夜饭预订劵设计,https://task.epwk.com/699231/,563人,1人,"¥1,950",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,年夜饭预订劵设计,直接雇佣￥ 1950,￥ 1950,任务编号：699231,1196-1414.csv,,,,"年夜饭, 预订劵, 设计"
【其他软件开发】QML嵌入网页功能修改,https://task.epwk.com/699232/,384人,1人,"¥1,940",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,QML嵌入网页功能修改,直接雇佣￥ 1940,￥ 1940,任务编号：699232,1196-1414.csv,,,,"QML, 网页功能, 修改"
【详情页设计】天猫淘宝 亚马逊 速买通 店铺装修 宝贝详情页设计 资深设计,https://task.epwk.com/699238/,398人,1人,¥300,圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,天猫淘宝 亚马逊 速买通 店铺装修 宝贝详情页设计 资深设计,直接雇佣￥ 300,￥ 300,任务编号：699238,1196-1414.csv,,,,"天猫淘宝, 亚马逊, 速买通, 店铺装修, 宝贝详情页设计, 深度设计"
【APP开发】想开发一套聊天室平台,https://task.epwk.com/699240/,273人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,想开发一套聊天室平台,直接雇佣￥ 50000,￥ 50000,任务编号：699240,1196-1414.csv,,,,"聊天室, 平台开发"
【前端开发】前端登录界面新春版改版,https://task.epwk.com/699241/,1530人,1人,"¥1,980",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,前端登录界面新春版改版,直接雇佣￥ 1980,￥ 1980,任务编号：699241,1196-1414.csv,,,,"前端登录界面, 新春版, 改版"
【APP开发】区块链钱包开发 二期功能,https://task.epwk.com/699242/,291人,1人,"¥36,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,区块链钱包开发 二期功能,直接雇佣￥ 36000,￥ 36000,任务编号：699242,1196-1414.csv,,,,二期功能
【企业官网】团购网站及app开发一期,https://task.epwk.com/699247/,228人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,团购网站及app开发一期,直接雇佣￥ 30000,￥ 30000,任务编号：699247,1196-1414.csv,,,,"团购网站, app开发, 一期"
【VI设计】地产项目设计提报,https://task.epwk.com/699249/,436人,1人,"¥38,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,地产项目设计提报,直接雇佣￥ 38000,￥ 38000,任务编号：699249,1196-1414.csv,,,,"地产项目, 设计提报"
想要做一个共享陪护床的小程序,https://task.epwk.com/699251/,5251人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,想要做一个共享陪护床的小程序,直接雇佣￥ 40000,￥ 40000,任务编号：699251,1196-1414.csv,,,,"共享陪护床, 小程序"
【LOGO设计】房地产项目提报,https://task.epwk.com/699252/,262人,1人,"¥7,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,房地产项目提报,直接雇佣￥ 7000,￥ 7000,任务编号：699252,1196-1414.csv,,,,"房地产项目, 提报"
【企业官网】网站开发制作，定制型网站开发，企业网站，购物商城，各类网站。,https://task.epwk.com/699253/,249人,1人,"¥34,942",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,网站开发制作，定制型网站开发，企业网站，购物商城，各类网站。,直接雇佣￥ 34942,￥ 34942,任务编号：699253,1196-1414.csv,,,,"网站开发, 定制网站, 企业网站, 购物商城, 网站设计"
【LOGO设计】餐饮配送公司LOGO及字体设计,https://task.epwk.com/699255/,1477人,1人,"¥3,680",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,餐饮配送公司LOGO及字体设计,直接雇佣￥ 3680,￥ 3680,任务编号：699255,1196-1414.csv,,,,"餐饮配送, LOGO, 字体设计"
【APP开发】4qi,https://task.epwk.com/699261/,99人,1人,"¥4,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,4qi,直接雇佣￥ 4000,￥ 4000,任务编号：699261,1196-1414.csv,,,,4qi
【小程序开发】编制维权攻略,https://task.epwk.com/699267/,188人,1人,"¥26,600",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,编制维权攻略,直接雇佣￥ 26600,￥ 26600,任务编号：699267,1196-1414.csv,,,,"维权攻略, 编制, 权益保护"
【APP开发】商城App开发,https://task.epwk.com/699268/,234人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,商城App开发,直接雇佣￥ 30000,￥ 30000,任务编号：699268,1196-1414.csv,,,,"商城App, 开发"
【VI设计】企业VIS系统手册,https://task.epwk.com/699274/,428人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,企业VIS系统手册,直接雇佣￥ 10000,￥ 10000,任务编号：699274,1196-1414.csv,,,,"企业VIS系统, 手册"
【其他软件开发】视频打赏源码修改,https://task.epwk.com/699276/,524人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,视频打赏源码修改,直接雇佣￥ 3000,￥ 3000,任务编号：699276,1196-1414.csv,,,,"视频打赏, 源码修改"
【LOGO设计】企业标志,https://task.epwk.com/699277/,137人,1人,"¥4,750",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,企业标志,直接雇佣￥ 4750,￥ 4750,任务编号：699277,1196-1414.csv,,,,"企业标志, 标志设计"
【APP开发】商铺帮APP端开发,https://task.epwk.com/699278/,212人,1人,"¥45,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,商铺帮APP端开发,直接雇佣￥ 45000,￥ 45000,任务编号：699278,1196-1414.csv,,,,"商铺APP, 端开发"
【APP开发】考勤APP开发,https://task.epwk.com/699279/,362人,1人,"¥32,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,考勤APP开发,直接雇佣￥ 32000,￥ 32000,任务编号：699279,1196-1414.csv,,,,"考勤, APP, 开发"
小程序定制开发一期,https://task.epwk.com/699280/,125人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,小程序定制开发一期,直接雇佣￥ 50000,￥ 50000,任务编号：699280,1196-1414.csv,,,,"小程序定制, 开发, 一期"
【APP开发】蔬果商城小程序,https://task.epwk.com/699281/,215人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,蔬果商城小程序,直接雇佣￥ 50000,￥ 50000,任务编号：699281,1196-1414.csv,,,,"蔬果商城, 小程序"
【小程序开发】中期全部,https://task.epwk.com/699301/,149人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,中期全部,直接雇佣￥ 2000,￥ 2000,任务编号：699301,1196-1414.csv,,,,"中期, 全部"
礼盒包装设计,https://task.epwk.com/699321/,102人,1人,"¥4,500",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,礼盒包装设计,直接雇佣￥ 4500,￥ 4500,任务编号：699321,1196-1414.csv,,,,"礼盒包装, 设计"
管理软件开发,https://task.epwk.com/699323/,159人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,管理软件开发,直接雇佣￥ 25000,￥ 25000,任务编号：699323,1196-1414.csv,,,,"管理软件, 开发"
【VI设计】餐饮品牌VI全案,https://task.epwk.com/699329/,413人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,餐饮品牌VI全案,直接雇佣￥ 20000,￥ 20000,任务编号：699329,1196-1414.csv,,,,"餐饮品牌, VI设计, 全案"
企业网站建设,https://task.epwk.com/699335/,192人,1人,"¥9,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,企业网站建设,直接雇佣￥ 9000,￥ 9000,任务编号：699335,1196-1414.csv,,,,"企业网站, 建设"
【教育教学】教育管理软件开发,https://task.epwk.com/699341/,280人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,教育管理软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：699341,1196-1414.csv,,,,"教育管理, 软件开发"
【微信开发】微信公众号服务制作,https://task.epwk.com/699342/,304人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,微信公众号服务制作,直接雇佣￥ 50000,￥ 50000,任务编号：699342,1196-1414.csv,,,,"微信公众号, 服务制作"
【微信开发】微信公众号服务制作二期,https://task.epwk.com/699344/,184人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,微信公众号服务制作二期,直接雇佣￥ 10000,￥ 10000,任务编号：699344,1196-1414.csv,,,,"微信公众号, 服务制作"
小程序定制开发二期,https://task.epwk.com/699363/,99人,1人,"¥45,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,小程序定制开发二期,直接雇佣￥ 45000,￥ 45000,任务编号：699363,1196-1414.csv,,,,"小程序定制, 二期开发"
小程序定制开发三期,https://task.epwk.com/699364/,112人,1人,"¥18,000",圆满完成,https://task.epwk.com/page1233.html?m=6&o=7,小程序定制开发三期,直接雇佣￥ 18000,￥ 18000,任务编号：699364,1196-1414.csv,,,,"小程序定制, 三期开发"
【动画设计】电视节目外包 第九集,https://task.epwk.com/699395/,797人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,电视节目外包 第九集,直接雇佣￥ 50000,￥ 50000,任务编号：699395,1196-1414.csv,,,,"电视节目, 外包, 第九集"
【APP开发】修改bug,https://task.epwk.com/699426/,123人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,修改bug,直接雇佣￥ 2000,￥ 2000,任务编号：699426,1196-1414.csv,,,,bug修改
【LOGO设计】logo设计LOGO设计企业商标原创 公司品牌标志logo设计 微信公众号LOGO设计餐饮卡通,https://task.epwk.com/699433/,344人,1人,"¥23,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,logo设计LOGO设计企业商标原创 公司品牌标志logo设计 微信公众号LOGO设计餐饮卡通,直接雇佣￥ 23000,￥ 23000,任务编号：699433,1196-1414.csv,,,,"logo设计, 企业商标, 微信公众号LOGO设计, 餐饮卡通"
【APP开发】ppt设计,https://task.epwk.com/699441/,312人,1人,¥200,圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,ppt设计,直接雇佣￥ 200,￥ 200,任务编号：699441,1196-1414.csv,,,,PPT设计
【LOGO设计】需要做一个自助餐的LOGO,https://task.epwk.com/699471/,463人,1人,¥688,圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,需要做一个自助餐的LOGO,直接雇佣￥ 688,￥ 688,任务编号：699471,1196-1414.csv,,,,"自助餐, logo"
【包装设计】品牌包装设计,https://task.epwk.com/699482/,223人,1人,"¥32,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,品牌包装设计,直接雇佣￥ 32000,￥ 32000,任务编号：699482,1196-1414.csv,,,,"品牌包装, 设计"
【OA系统】做个管理系统,https://task.epwk.com/699483/,1821人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,做个管理系统,直接雇佣￥ 50000,￥ 50000,任务编号：699483,1196-1414.csv,,,,管理系统
【ERP系统】做个管理系统,https://task.epwk.com/699484/,1472人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,做个管理系统,直接雇佣￥ 50000,￥ 50000,任务编号：699484,1196-1414.csv,,,,管理系统
【OA系统】做个管理系统,https://task.epwk.com/699485/,1527人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,做个管理系统,直接雇佣￥ 50000,￥ 50000,任务编号：699485,1196-1414.csv,,,,管理系统
二手车报价小程序开发,https://task.epwk.com/699494/,231人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,二手车报价小程序开发,直接雇佣￥ 50000,￥ 50000,任务编号：699494,1196-1414.csv,,,,"二手车报价, 小程序开发"
【微信开发】小程序二开,https://task.epwk.com/699496/,221人,1人,"¥16,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,小程序二开,直接雇佣￥ 16000,￥ 16000,任务编号：699496,1196-1414.csv,,,,"小程序, 二次开发"
【APP开发】移动应用开发跑腿服务APP家政服务APP上门服务汽车服务母婴服务,https://task.epwk.com/699519/,402人,1人,"¥4,400",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,移动应用开发跑腿服务APP家政服务APP上门服务汽车服务母婴服务,直接雇佣￥ 4400,￥ 4400,任务编号：699519,1196-1414.csv,,,,"移动应用开发, 跑腿服务, 家政服务, 上门服务, 汽车服务, 母婴服务"
【小程序开发】分销商城平台开发一期,https://task.epwk.com/699521/,182人,1人,"¥35,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,分销商城平台开发一期,直接雇佣￥ 35000,￥ 35000,任务编号：699521,1196-1414.csv,,,,"分销商城, 平台开发, 一期"
【小程序开发】分销商城平台开发二期,https://task.epwk.com/699523/,246人,1人,"¥15,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,分销商城平台开发二期,直接雇佣￥ 15000,￥ 15000,任务编号：699523,1196-1414.csv,,,,"分销商城, 平台开发, 二期"
【APP开发】多商户商城APP订制-源生开发—购物商城，点餐，团购，生鲜、超市、APP开发,https://task.epwk.com/699525/,219人,1人,"¥12,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,多商户商城APP订制-源生开发—购物商城，点餐，团购，生鲜、超市、APP开发,直接雇佣￥ 12000,￥ 12000,任务编号：699525,1196-1414.csv,,,,"多商户商城, APP开发, 购物商城, 点餐, 团购, 生鲜, 超市"
【包装设计】高级礼盒设计,https://task.epwk.com/699527/,325人,1人,"¥4,500",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,高级礼盒设计,直接雇佣￥ 4500,￥ 4500,任务编号：699527,1196-1414.csv,,,,"高级礼盒, 设计"
【APP开发】微信公众号开发,https://task.epwk.com/699529/,179人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,微信公众号开发,直接雇佣￥ 3000,￥ 3000,任务编号：699529,1196-1414.csv,,,,"微信公众号, 开发"
【金融】金融理财类软件,https://task.epwk.com/699530/,249人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,金融理财类软件,直接雇佣￥ 20000,￥ 20000,任务编号：699530,1196-1414.csv,,,,"金融理财, 软件"
【物业管理软件】物业管理软件开发,https://task.epwk.com/699532/,1708人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,物业管理软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：699532,1196-1414.csv,,,,"物业管理, 软件开发"
【APP开发】支付宝小程序，百度小程序，微信小程序,https://task.epwk.com/699533/,651人,1人,"¥13,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,支付宝小程序，百度小程序，微信小程序,直接雇佣￥ 13000,￥ 13000,任务编号：699533,1196-1414.csv,,,,"支付宝小程序, 百度小程序, 微信小程序"
【财务管理系统】资产管理软件开发,https://task.epwk.com/699553/,1613人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,资产管理软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：699553,1196-1414.csv,,,,"资产管理, 软件开发"
【教育教学】教育教学软件开发,https://task.epwk.com/699554/,166人,1人,"¥39,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,教育教学软件开发,直接雇佣￥ 39000,￥ 39000,任务编号：699554,1196-1414.csv,,,,"教育教学软件, 软件开发"
【直播】视频直播软件开发一期,https://task.epwk.com/699559/,329人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,视频直播软件开发一期,直接雇佣￥ 30000,￥ 30000,任务编号：699559,1196-1414.csv,,,,"视频直播, 软件开发"
【直播】视频直播软件开发二期,https://task.epwk.com/699563/,630人,1人,"¥26,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,视频直播软件开发二期,直接雇佣￥ 26000,￥ 26000,任务编号：699563,1196-1414.csv,,,,"视频直播, 软件开发, 二期"
【VI设计】品牌全案设计,https://task.epwk.com/699571/,311人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,品牌全案设计,直接雇佣￥ 20000,￥ 20000,任务编号：699571,1196-1414.csv,,,,"品牌设计, 全案设计"
【其他宣传品设计】折页设计印刷,https://task.epwk.com/699587/,565人,1人,"¥4,600",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,折页设计印刷,直接雇佣￥ 4600,￥ 4600,任务编号：699587,1196-1414.csv,,,,"折页设计, 印刷"
【APP开发】制度商城定制开发app原生开发,https://task.epwk.com/699598/,166人,1人,"¥49,500",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,制度商城定制开发app原生开发,直接雇佣￥ 49500,￥ 49500,任务编号：699598,1196-1414.csv,,,,"制度商城, 定制开发, 原生开发"
【商业贸易】商业贸易软件开发一期,https://task.epwk.com/699603/,511人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,商业贸易软件开发一期,直接雇佣￥ 40000,￥ 40000,任务编号：699603,1196-1414.csv,,,,"商业贸易, 软件开发, 一期"
【智能家居软件】智能家居软件开发,https://task.epwk.com/699608/,1556人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,智能家居软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：699608,1196-1414.csv,,,,"智能家居, 软件开发"
【招牌设计】单页设计,https://task.epwk.com/699609/,930人,1人,¥200,圆满完成,https://task.epwk.com/page1232.html?m=6&o=7,单页设计,直接雇佣￥ 200,￥ 200,任务编号：699609,1196-1414.csv,,,,单页设计
【APP开发】唱歌比赛app开发,https://task.epwk.com/699614/,589人,1人,"¥15,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,唱歌比赛app开发,直接雇佣￥ 15000,￥ 15000,任务编号：699614,1196-1414.csv,,,,"唱歌比赛, app开发"
【企业官网】企业网站建设,https://task.epwk.com/699616/,216人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,企业网站建设,直接雇佣￥ 3000,￥ 3000,任务编号：699616,1196-1414.csv,,,,"企业网站, 建设"
【VI设计】水果类型的LOGO设计,https://task.epwk.com/699628/,502人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,水果类型的LOGO设计,直接雇佣￥ 1000,￥ 1000,任务编号：699628,1196-1414.csv,,,,"水果类型, LOGO设计"
【手游开发】制作游戏自动下单付款软件,https://task.epwk.com/699632/,841人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,制作游戏自动下单付款软件,直接雇佣￥ 5000,￥ 5000,任务编号：699632,1196-1414.csv,,,,"游戏自动下单, 付款软件, 软件开发"
【软件UI设计】UI设计,https://task.epwk.com/699648/,595人,1人,"¥4,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,UI设计,直接雇佣￥ 4000,￥ 4000,任务编号：699648,1196-1414.csv,,,,UI设计
【软件UI设计】温湿度控制器人机交互界面设计,https://task.epwk.com/699654/,618人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,温湿度控制器人机交互界面设计,直接雇佣￥ 3000,￥ 3000,任务编号：699654,1196-1414.csv,,,,"温湿度控制器, 人机交互界面, 设计"
【三维动画】动画制作,https://task.epwk.com/699672/,893人,1人,"¥3,500",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,动画制作,直接雇佣￥ 3500,￥ 3500,任务编号：699672,1196-1414.csv,,,,动画制作
【网站UI设计】WEB界面UI设计OA界面智能监测系统ui界面网页设计,https://task.epwk.com/699690/,292人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,WEB界面UI设计OA界面智能监测系统ui界面网页设计,直接雇佣￥ 3000,￥ 3000,任务编号：699690,1196-1414.csv,,,,"WEB界面UI设计, OA界面, 智能监测系统, ui界面, 网页设计"
【礼品设计】手提袋设计,https://task.epwk.com/699691/,774人,1人,¥500,圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,手提袋设计,直接雇佣￥ 500,￥ 500,任务编号：699691,1196-1414.csv,,,,"手提袋, 设计"
校园系部宣传片制作,https://task.epwk.com/699693/,688人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,校园系部宣传片制作,直接雇佣￥ 10000,￥ 10000,任务编号：699693,1196-1414.csv,,,,"校园宣传片, 系部宣传, 宣传片制作"
【办公空间】办公楼设计,https://task.epwk.com/699710/,665人,1人,"¥21,300",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,办公楼设计,直接雇佣￥ 21300,￥ 21300,任务编号：699710,1196-1414.csv,,,,办公楼设计
服务平台APP开发二期,https://task.epwk.com/699717/,78人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,服务平台APP开发二期,直接雇佣￥ 50000,￥ 50000,任务编号：699717,1196-1414.csv,,,,"服务平台APP, 二期开发"
服务平台APP开发三期,https://task.epwk.com/699718/,99人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,服务平台APP开发三期,直接雇佣￥ 50000,￥ 50000,任务编号：699718,1196-1414.csv,,,,"服务平台APP, 三期开发"
服务平台APP开发末期,https://task.epwk.com/699719/,92人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,服务平台APP开发末期,直接雇佣￥ 25000,￥ 25000,任务编号：699719,1196-1414.csv,,,,"服务平台APP, 开发末期"
APP开发,https://task.epwk.com/699723/,79人,1人,"¥16,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,APP开发,直接雇佣￥ 16000,￥ 16000,任务编号：699723,1196-1414.csv,,,,APP开发
