标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4
【LOGO设计】公司商标设计,https://task.epwk.com/1058289/,160人,3人,1000元以内,圆满完成,k1963****65,"项目:公司商标设计称呼:周先生地区:浙江省,杭州市需求:公司商标设计，英文的，不需要注册完成时间:越快越好预算:300以内",2023.09.20,2023.09.22,任务编号：1058289,"￥200,￥300,￥300","2天,3天,3天","天津市-市辖区,广东省-深圳市,重庆市-重庆市-渝中区",隐形人设计工作室,https://shop.epwk.com/omdwkv97mdrp/,隐形人设计工作室,出售服务,https://shop.epwk.com/omdwkv97mdrp/chushou/,工作室,一品,53分,,,隐形人设计工作室,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页"
【其他工业设计】汽车仪表盘的显示界面设计,https://task.epwk.com/1058197/,116人,3人,1000元以内,圆满完成,o5db637bc033f7,汽车仪表盘的显示界面设计，需有相关设计经验。联系提供需求文档。,2023.09.20,2023.09.25,任务编号：1058197,"￥500,￥800","3天,5天","河北省-石家庄市,广东省-广州市-番禺区",圣智壹喜工业设计,https://shop.epwk.com/0z5o4rgz7njq/,圣智壹喜工业设计,出售服务,https://shop.epwk.com/0z5o4rgz7njq/chushou/,个人,五品,37分,总 6 次中标，交易总金额,￥1.14万,圣智壹喜工业设计,,产品三维动画,"￥888
            /起",产品三维建模,"￥888
            /起",产品效果图渲染,"￥888
            /起",电商详情页设计,"￥888
            /起"
【LOGO设计】野生人参LOGO设计,https://task.epwk.com/1058188/,418人,15人,1000元以内,圆满完成,mf139****9323,"1、我是经营野生野生人参的，2、我需要设计一款LOGO, 3、产品产自长白山4、创意独特，后期还要进行商标注册",2023.09.20,2023.10.18,任务编号：1058188,"￥500,￥800,￥800,￥900,￥850,￥880,￥2000","7天,7天,3天,3天,2天,3天,7天","湖北省-武汉市,山东省-青岛市,江苏省-南京市-栖霞区,浙江省-杭州市-西湖区,贵州省-黔西南布依族苗族自治州,广东省-广州市-白云区,福建省-厦门市-思明区",四喜广告,https://shop.epwk.com/3gd2mv9lvner/,四喜广告,出售服务,https://shop.epwk.com/3gd2mv9lvner/chushou/,企业,三品,79分,总 39 次中标，交易总金额,￥5.99万,四喜广告,,视频媒体 商业摄影 动态海报,价格面议,品牌整合 营销策划  地产推广,价格面议,包装设计 礼品设计 文创开发,价格面议,LOGO VI设计  海报设计  宣传册设计,价格面议
【包装设计】野生中草药的礼盒包装设计,https://task.epwk.com/1057928/,103人,2人,1000-3000元,圆满完成,k9473****78,"项目:野生中草药的礼盒包装设计称呼:周女士地区:乌鲁木齐市,乌鲁木齐市需求:先设计两款，一个是牛皮纸包透明的袋装设计，一个是罐装礼盒装设计。要求古色古香。罐装设计需要贴标，袋装需要手提袋（要求有做过类似案例的设计团队对接）完成时间:越快越好预算:设计报价联系备注：手机微信同号",2023.09.18,2023.10.20,任务编号：1057928,"￥2000,￥2000","9天,10天","山西省-太原市-小店区,湖北省-武汉市",欢喜创意,https://shop.epwk.com/9w56eqqrkdv1/,欢喜创意,出售服务,https://shop.epwk.com/9w56eqqrkdv1/chushou/,企业,四品,67分,总 38 次中标，交易总金额,￥4.48万,欢喜创意,,品牌VI-视觉识别系统,"￥2800
            /起",产品包装策划设计,"￥1988
            /起",文创及周边策划设计,"￥1688
            /起",标志（LOGO）创意设计,"￥888
            /起"
【海报设计】中秋国庆海报设计,https://task.epwk.com/1057593/,117人,2人,1000元以内,圆满完成,baowong,联系人:王先生需求:中秋国庆海报设计完成时间:本周预算:300以内,2023.09.15,2023.09.18,任务编号：1057593,"￥300,￥700","3天,3天","北京市-北京市-朝阳区,广西-南宁市-西乡塘区",灏瀚视觉设计工作室,https://shop.epwk.com/9w56e49e7dv1/,灏瀚视觉设计工作室,出售服务,https://shop.epwk.com/9w56e49e7dv1/chushou/,工作室,七品,38分,,,灏瀚视觉设计工作室,,UI界面设计,"￥100
            /页",,,,,,
【背景墙设计】公司文化墙内容设计,https://task.epwk.com/1057550/,456人,2人,1000-3000元,圆满完成,浙江珂瑞康,需要设计公司文化背影墙：1、内容参照附件；2、要求风格统一、颜色以紫、白为主，整体风格简约、商务；3、初期看看整体风格，满意后即可付款一部分，等后续设计完毕结清所有尾款。具体可V或电话联系。,2023.09.14,2023.11.23,任务编号：1057550,￥1500,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3487 次中标，交易总金额,￥1073.48万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起"
【PPT设计】公司PPT的设计,https://task.epwk.com/1057093/,216人,1人,1000-3000元,圆满完成,k5976****00,项目：公司PPT的设计称呼：张女士地区: 不详，服务商地域不限需求: 具体需求详见百度网盘：链接：https://pan.baidu.com/s/1n_R8QhH9LrF6IBkJ7010qg  提取码：81tt  要求服务商专业做PPT的，提供案例、报价预算: 看服务商报价时间：尽快备注：微信是手机号,2023.09.11,2023.10.19,任务编号：1057093,￥1500,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3487 次中标，交易总金额,￥1073.48万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起"
【LOGO设计】三维地质模型,https://task.epwk.com/1056782/,61人,1人,1000元以内,圆满完成,威震天McmcN,三维地质模型，类似附件图片这种，可以做平面的绘制，出这种效果就行，，具体联系沟通报价,2023.09.08,2023.09.15,任务编号：1056782,￥500,10天,广东省-深圳市,艺言设计,https://shop.epwk.com/m7d7w8pxr5q8/,艺言设计,出售服务,https://shop.epwk.com/m7d7w8pxr5q8/chushou/,工作室,一品,60分,总 37 次中标，交易总金额,￥19.57万,艺言设计,,视频剪辑制作/中视频创作,"￥1000
            /起",产品视频广告设计,"￥2500
            /起",MG动画/二维动画,"￥2500
            /起",三维动画设计制作/产品三维动画,"￥3000
            /起"
【详情页设计】需要美工工作大约1小时，详情页修改,https://task.epwk.com/1056602/,254人,7人,1000元以内,圆满完成,水晶鱼,需要美工工作大约1小时 可完成任务  50元  3个详情页  图片做些小修改想做找我发你压缩包  共4个,2023.09.06,2023.09.10,任务编号：1056602,"￥150,￥800","2天,1天","天津市-天津市-北辰区,山东省-青岛市",隐形人设计工作室,https://shop.epwk.com/omdwkv97mdrp/,隐形人设计工作室,出售服务,https://shop.epwk.com/omdwkv97mdrp/chushou/,工作室,一品,53分,,,隐形人设计工作室,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页"
【LOGO设计】项目:传媒公司的logo设计,https://task.epwk.com/1056310/,126人,1人,1000元以内,圆满完成,k4877****02,"项目:传媒公司的logo设计称呼:刘先生地区:黑龙江省,哈尔滨市（服务商地域不限）需求:传媒公司的logo设计，需要注册商标，新成立公司，在内蒙，图形来设计吧，体现内蒙大草原风情，蒙古包，马等这块的预算:报价联系",2023.09.05,2023.09.18,任务编号：1056310,￥800,7天,山东省-淄博市,青韵设计工作室,https://shop.epwk.com/0jnek9g2rnv3/,,,,,,,,,,,,,,,,,,
【包装设计】普洱茶饼包装设计,https://task.epwk.com/1056025/,50人,1人,1000元以内,圆满完成,k7800****92,项目：普洱茶饼包装设计称呼：刘女士地区: 郑州，服务商地域不限需求: 普洱茶饼包装设计，我已经有一个构想，需要设计师完善下，参考附件 。服务商提供案例、报价预算: 看服务商报价时间：未定备注：微信是手机号,2023.09.01,2023.09.13,任务编号：1056025,￥600,5天,山西省-太原市,欢喜创意,https://shop.epwk.com/9w56eqqrkdv1/,欢喜创意,出售服务,https://shop.epwk.com/9w56eqqrkdv1/chushou/,企业,四品,67分,总 38 次中标，交易总金额,￥4.48万,欢喜创意,,品牌VI-视觉识别系统,"￥2800
            /起",产品包装策划设计,"￥1988
            /起",文创及周边策划设计,"￥1688
            /起",标志（LOGO）创意设计,"￥888
            /起"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】纸杯图形设计,https://task.epwk.com/1055610/,161人,3人,1000元以内,圆满完成,威创金品M99mG,设计6款不同的图形，同一款风格,2023.08.29,2023.09.12,任务编号：1055610,"￥800,￥900","15天,2天","湖南省-常德市,浙江省-杭州市-西湖区",shirleylongs design,https://shop.epwk.com/rp5z4v78xdx3/,shirleylongs design,出售服务,https://shop.epwk.com/rp5z4v78xdx3/chushou/,个人,七品,53分,总 5 次中标，交易总金额,￥1050.00,shirleylongs design,,,,,,,,,
【海报设计】相册封面设计,https://task.epwk.com/1055424/,100人,1人,1000元以内,圆满完成,k8402****03,"项目:相册封面设计称呼:姜先生所在行业:组织性质:地区:江西省,南昌市需求:需要做相册的封面设计，原来稿件不合适，需要重新设计完成时间:5天预算:几百",2023.08.28,2023.09.04,任务编号：1055424,￥300,5天,福建省-厦门市,设计师小铺,https://shop.epwk.com/09drjjqlq53w/,,,,,,,,,,,,,,,,,,
【VI设计】活动线下物料平面设计,https://task.epwk.com/1055273/,626人,10人,5000-10000元,圆满完成,o596f30d0748fe,活动线下物料平面设计 具体需求详谈,2023.08.26,2023.10.19,任务编号：1055273,"￥5500,￥5000,￥3000,￥3000,￥3000,￥5000","30天,10天,7天,3天,5天,10天","湖北省-武汉市,山东省-烟台市,山东省-青岛市,黑龙江省-哈尔滨市,广东省-深圳市-市辖区,四川省-成都市",四喜广告,https://shop.epwk.com/3gd2mv9lvner/,四喜广告,出售服务,https://shop.epwk.com/3gd2mv9lvner/chushou/,企业,三品,79分,总 39 次中标，交易总金额,￥5.99万,四喜广告,,视频媒体 商业摄影 动态海报,价格面议,品牌整合 营销策划  地产推广,价格面议,包装设计 礼品设计 文创开发,价格面议,LOGO VI设计  海报设计  宣传册设计,价格面议
【LOGO设计】名片设计加制作,https://task.epwk.com/1055261/,109人,1人,1000元以内,圆满完成,mf186****5252,匡先生，设计名片，设计加制作出来，周日要设计出来，下周二前要拿到名片，三个人的，北京，比较急，,2023.08.26,2023.08.27,任务编号：1055261,￥300,2天,山西省-太原市,欢喜创意,https://shop.epwk.com/9w56eqqrkdv1/,欢喜创意,出售服务,https://shop.epwk.com/9w56eqqrkdv1/chushou/,企业,四品,67分,总 38 次中标，交易总金额,￥4.48万,欢喜创意,,品牌VI-视觉识别系统,"￥2800
            /起",产品包装策划设计,"￥1988
            /起",文创及周边策划设计,"￥1688
            /起",标志（LOGO）创意设计,"￥888
            /起"
【包装设计】伴手礼包装设计,https://task.epwk.com/1055171/,40人,1人,1000-3000元,圆满完成,k2544****66,"项目:伴手礼包装设计称呼:卢先生地区:浙江,金华市需求:伴手礼包装设计，厂家，要求好看高档些，具体详谈",2023.08.25,2023.09.12,任务编号：1055171,￥1000,3天,江苏省-南京市-栖霞区,谨明设计,https://shop.epwk.com/v0n1x4kqx57y/,谨明设计,出售服务,https://shop.epwk.com/v0n1x4kqx57y/chushou/,企业,五品,62分,总 25 次中标，交易总金额,￥5431.06,谨明设计,,LOGO设计 商标设计,"￥1000
            /起",VI设计　VI视觉识别系统,"￥2000
            /起",品牌全案设计,"￥18800
            /起",包装设计 商品外包装设计,"￥500
            /起"
【包装设计】淘宝店铺，换商标，公司名称，重新设计页面,https://task.epwk.com/1055088/,1012人,3人,5000-10000元,圆满完成,张荣俊,https://zhonggonggj.tmall.com换商标，公司名称，重新设计页面,2023.08.24,2023.11.08,任务编号：1055088,"￥8500,￥6500,￥8000","30天,8天,7天","辽宁省-大连市,山东省-菏泽市-东明县,山东省-青岛市",原色设计工作室,https://shop.epwk.com/7g5ykgm9gn0q/,原色设计工作室,出售服务,https://shop.epwk.com/7g5ykgm9gn0q/chushou/,企业,四品,60分,总 38 次中标，交易总金额,￥5.3万,原色设计工作室,,LOGO/VIS/包装设计/画册设计/海报设计,"￥1200
            /起",UI设计/APP界面/H5设计/小程序界面设计,"￥2000
            /起",食品、日化内外包装设计,"￥1800
            /件",京东/淘宝/团购平台/店铺装修定制设计 详情页  海报,"￥1800
            /起"
【详情页设计】详情页设计,https://task.epwk.com/1055051/,64人,1人,1000-3000元,圆满完成,k9030****10,项目：详情页设计称呼：喻院长地区: 广东惠州，服务商地域不限需求: 我们是中医馆，颈椎腰椎疼痛治疗的，需要找团队设计 美团详情页，官网，头图等内容，先期先设计一部分，如何合适可以长期合作  。服务商提供案例、报价预算: 看服务商报价时间：尽快备注：微信是手机号,2023.08.24,2023.08.30,任务编号：1055051,￥1350,3天,陕西省-西安市-雁塔区,传动设计,https://shop.epwk.com/4rn8q7x76ngm/,,,,,,,,,,,,,,,,,,
【LOGO设计】公司党建品牌LOGO设计,https://task.epwk.com/1054813/,84人,1人,1000元以内,圆满完成,k7104****11,"项目:公司党建品牌LOGO设计称呼:白先生地区:北京市,北京市需求:公司党建品牌LOGO设计，要求见附件完成时间:最近预算:设计报价备注：手机微信同号",2023.08.23,2023.08.24,任务编号：1054813,￥500,1天,山西省-太原市,欢喜创意,https://shop.epwk.com/9w56eqqrkdv1/,欢喜创意,出售服务,https://shop.epwk.com/9w56eqqrkdv1/chushou/,企业,四品,67分,总 38 次中标，交易总金额,￥4.48万,欢喜创意,,品牌VI-视觉识别系统,"￥2800
            /起",产品包装策划设计,"￥1988
            /起",文创及周边策划设计,"￥1688
            /起",标志（LOGO）创意设计,"￥888
            /起"
【LOGO设计】工牌设计,https://task.epwk.com/1053751/,36人,1人,1000元以内,圆满完成,k9234****55,项目:工牌设计称呼:余女士地区:贵州贵阳需求:煤炭能源行业，要做工牌设计，具体详谈,2023.08.15,2023.08.22,任务编号：1053751,￥200,3天,广东省-深圳市,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,
【包装设计】洗衣液外包装设计,https://task.epwk.com/1053702/,44人,1人,1000元以内,圆满完成,k4075****52,项目:洗衣液外包装设计称呼:路先生地区:山东菏泽市需求:洗衣液外包装设计，瓶身两面的图案设计。具体带案例沟通报价预算:联系报价,2023.08.15,2023.08.22,任务编号：1053702,￥600,3天,陕西省-西安市,青美知行,https://shop.epwk.com/2j5xogv105xm/,青美知行,出售服务,https://shop.epwk.com/2j5xogv105xm/chushou/,企业,七品,40分,,,青美知行,,插画漫画人物卡通形象ID吉祥物表情设计,"￥200
            /起",产品包装设计食品化妆品瓶贴纸箱礼盒标签包装袋设计,"￥200
            /起",logo设计企业商标标志定制设计,"￥200
            /起",短视频拍摄服务电商主图视频产品介绍视频拍摄剪辑,"￥200
            /起"
【LOGO设计】机车俱乐部logo设计,https://task.epwk.com/1053638/,147人,1人,5000-10000元,圆满完成,k2573****19,项目:机车俱乐部logo设计称呼:孙先生地区:新疆需求:机车俱乐部logo设计，设计想法联系详谈，设计带案例沟通报价预算:联系报价,2023.08.14,2023.08.31,任务编号：1053638,￥7700,15天,广东省-广州市,北来设计,https://shop.epwk.com/89dvg1prldl2/,北来设计,出售服务,https://shop.epwk.com/89dvg1prldl2/chushou/,企业,二品,65分,总 21 次中标，交易总金额,￥9.99万,北来设计,,主视觉（KV）设计,"￥2000
            /起",IP/吉祥物设计,"￥6800
            /起",产品包装设计,"￥3800
            /起",商业空间设计,"￥9800
            /套"
【店铺装修】店铺首页及产品主图设计,https://task.epwk.com/1053551/,443人,6人,1000元以内,圆满完成,mf151****8336,对现有的淘宝店铺首页及产品主图进行设计,2023.08.14,2023.09.18,任务编号：1053551,"￥600,￥800","7天,2天","山东省-淄博市,山东省-青岛市",青韵设计工作室,https://shop.epwk.com/0jnek9g2rnv3/,,,,,,,,,,,,,,,,,,
【包装设计】厨房五金用品纸箱版面设计,https://task.epwk.com/1052933/,191人,3人,1000元以内,圆满完成,k9278****45,项目:厨房五金用品纸箱版面设计称呼:陈先生所在行业:厨房五金用品组织性质:公司地区:广东中山（广东优先）需求:厨房五金用品纸箱版面设计，有自己的设计团队，但是设计的纸箱版面不是很好看，设计思路也比较局限，想要找专业的设计团队来做，设计风格要求：大气稳重，围绕自己的品牌logo，加上其他的元素进行设计，色彩比较鲜艳些，由于产品是经过传统代理商门店销售，没有走电商销售渠道，所以想要找性价比高一些的，设计师水平好一点的来做，备注：纸箱不是那种彩箱，是5毫米厚牛皮纸蜂窝膜的包装纸的， 设计师设计的时候要考虑方便印刷，能印出来，不要说设计的很酷炫，结果印刷实现不了。要求设计师是做过厨房五金用品的案例，小白勿扰完成时间:尽快预算:1000以内,2023.08.08,2023.08.11,任务编号：1052933,￥800,7天,广东省-深圳市,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,
"【LOGO设计】设计""敦煌论坛""logo",https://task.epwk.com/1052843/,126人,1人,1000-3000元,圆满完成,k3965****71,"敦煌论坛为丝绸之路敦煌国际文化博览会的重要组成部分,设计一个论坛logo,打造敦煌文化论坛的品牌Ip",2023.08.08,2023.09.06,任务编号：1052843,￥1500,7天,,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,
【包装设计】乳胶枕包装设计,https://task.epwk.com/1052732/,492人,5人,1000-3000元,圆满完成,o5fe15a7ca109e,品牌类型设计品牌名字：ZEN HOME 1.包装盒设计2.吊牌设计做过类似的可以加V,2023.08.07,2023.08.23,任务编号：1052732,"￥1000,￥2000,￥2000","5天,7天,5天","广东省-广州市,山东省-青岛市,广东省-广州市-越秀区",佐首品牌设计,https://shop.epwk.com/zqdplmj0pn1v/,,,,,,,,,,,,,,,,,,
【宣传册设计】产品宣传册设计,https://task.epwk.com/1052546/,459人,9人,1000元以内,圆满完成,山西图灵未来,从已有的PDF的文件中  截取部分的产品  最后统一风格  形成新的宣传册文档,2023.08.05,2023.08.29,任务编号：1052546,"￥800,￥900,￥800,￥1000,￥1000","7天,5天,7天,1天,5天","浙江省-杭州市-西湖区,湖北省-武汉市-市辖区,江苏省-苏州市,河北省-石家庄市-桥西区,广东省-广州市-越秀区",杭州万画广告发展有限公司,https://shop.epwk.com/p05qj8433dev/,杭州万画广告发展有限公司,出售服务,https://shop.epwk.com/p05qj8433dev/chushou/,企业,五品,36分,,,杭州万画广告发展有限公司,,卡通形象设计、插画设计,"￥3000
            /组",海报、彩页设计,"￥300
            /款",画册、宣传册、书籍设计,"￥300
            /页",企业形象墙设计,"￥3000
            /起"
【宣传册设计】农村厕所革命宣传册设计,https://task.epwk.com/1052183/,546人,8人,1000-3000元,圆满完成,o5bae3edddefc6,"农村厕所革命宣传册设计设计要求：1、简洁、明快、突出新农村建设风貌;2、用大量卡通图片介绍厕所革命相关政策、建造方法等;知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用。",2023.08.03,2023.08.17,任务编号：1052183,"￥2600,￥2000,￥2500,￥3000","3天,10天,5天,15天","广东省-深圳市,山东省-青岛市,广东省-广州市-越秀区,山东省-济南市",未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,
【卡通形象设计】IP公仔形象设计,https://task.epwk.com/1052104/,1202人,1人,3000-5000元,圆满完成,茗申,IP公仔形象设计，根据公司要求，进行创作设计，初稿通过后，还需要进行调整，直至满意为止。示例如下，这只是示例，要根据要求重新设计一个全新的公仔形象。,2023.08.02,2023.11.29,任务编号：1052104,￥3500,20天,广东省-深圳市,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,
【画册设计】家居画册设计,https://task.epwk.com/1052056/,154人,1人,1000元以内,圆满完成,V创x8tZB,居家画册排版设计，大概200页左右，主要是图片排版，具体详谈。,2023.08.02,2023.08.11,任务编号：1052056,￥300,3天,天津市-天津市-北辰区,隐形人设计工作室,https://shop.epwk.com/omdwkv97mdrp/,隐形人设计工作室,出售服务,https://shop.epwk.com/omdwkv97mdrp/chushou/,工作室,一品,53分,,,隐形人设计工作室,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页"
【主图设计】设计 一张足球场图片，就是线条组合,https://task.epwk.com/1052000/,304人,2人,1000元以内,圆满完成,mynuomi,设计 一张足球场图片，就是线条组合，细线，有样图，线粗了。,2023.08.02,2023.08.03,任务编号：1052000,￥200,1天,广东省-深圳市,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,
【包装设计】产品包装袋的图案设计,https://task.epwk.com/1051943/,79人,1人,1000元以内,圆满完成,k5837****18,项目:产品包装袋的图案设计称呼:周先生所在行业:日用品组织性质:公司地区:浙江义乌需求:产品包装袋的图案设计，类似胸贴的产品，雇主是厂家，有自己的商标，如图一所示，目前是全新的产品，想要用全新的包装袋图案， 整体的主题构思已有，思路比较清晰，自己有在网上找了元素如图二，想要让设计师组合进行设计，保证作品原创不侵权，有一些素材可以提供给设计师，可以先看下。备注：包装袋尺寸（竖状）如图三所示长：15cm宽：8cm正面文字：让小白兔也住进空调房胸清凉   心飞扬背面文字：专利产品日本顶级清凉因子韩国甄选玫瑰精油北极兔的夏季，您值得拥有完成时间:后天就要用预算:1000元以内，超过不考虑,2023.08.01,2023.08.03,任务编号：1051943,￥700,2天,山东省-济南市-历下区,奥创插画广告设计,https://shop.epwk.com/09drj817653w/,奥创插画广告设计,出售服务,https://shop.epwk.com/09drj817653w/chushou/,企业,八品,39分,,,奥创插画广告设计,,,,,,,,,
【包装设计】水杯包装盒平面设计（3款）,https://task.epwk.com/1051775/,438人,1人,1000-3000元,圆满完成,o58e5****63449,1.350ml儿童净水吸管杯包装盒平面设计；（适用3~12岁）2.500ml儿童净水保温吸管杯（带温度显示）包装盒平面设计；（适用8~12岁）3.1000ml学生净水吸管杯包装盒平面设计。（适用12岁以上学生）,2023.07.31,2023.09.13,任务编号：1051775,￥2400,20天,山东省-威海市-乳山市,众腾传媒,https://shop.epwk.com/2j5xogjy95xm/,众腾传媒,出售服务,https://shop.epwk.com/2j5xogjy95xm/chushou/,企业,一品,53分,,,众腾传媒,,动画创意制作,"￥1500
            /件",影视后期制作,"￥100
            /件",商业影视制作,"￥1000
            /件",品牌全案咨询,"￥3000
            /件"
【彩页设计】页面优化和排版优化设计,https://task.epwk.com/1051509/,315人,6人,1000-3000元,圆满完成,k1262****66,笔记本加宣传页，页面优化，排版优化设计,2023.07.29,2023.08.08,任务编号：1051509,"￥1300,￥800,￥800,￥1000","3天,7天,7天,5天","广东省-深圳市,广东省-广州市,广东省-深圳市-宝安区,北京市-北京市-东城区",未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,
【包装设计】肥料包装设计,https://task.epwk.com/1051096/,55人,1人,1000-3000元,圆满完成,下广大师,项目:肥料包装设计称呼:孙先生地区:黑龙江哈尔滨需求:肥料包装设计，袋装设计，具体详谈,2023.07.26,2023.08.05,任务编号：1051096,￥1300,5天,重庆市-市辖区-九龙坡区,藏元映画,https://shop.epwk.com/0z5o4r047njq/,,,,,,,,,,,,,,,,,,
【LOGO设计】家政行业门头设计,https://task.epwk.com/1050970/,39人,2人,1000元以内,圆满完成,k1068****91,项目:家政行业门头设计称呼:叶先生地区:安徽六安需求:家政行业门头设计，名称：星美洁高端家政服务中心，只用白色和克莱因蓝两种色设计，具体详谈,2023.07.25,2023.08.09,任务编号：1050970,￥300,3天,山西省-太原市,欢喜创意,https://shop.epwk.com/9w56eqqrkdv1/,欢喜创意,出售服务,https://shop.epwk.com/9w56eqqrkdv1/chushou/,企业,四品,67分,总 38 次中标，交易总金额,￥4.48万,欢喜创意,,品牌VI-视觉识别系统,"￥2800
            /起",产品包装策划设计,"￥1988
            /起",文创及周边策划设计,"￥1688
            /起",标志（LOGO）创意设计,"￥888
            /起"
【宣传册设计】家政公司宣传册设计,https://task.epwk.com/1050914/,177人,1人,3000-5000元,圆满完成,k5836****63,项目:家政公司宣传册设计称呼:李先生所在行业:家政行业组织性质:公司地区:河南商丘需求:家政公司宣传册设计，页面： 6-7页 希望是图文并茂的，以前有设计过，想要重新设计，内容包括：业务的项目，公司简介宣传，需要印刷10份，有一些内容可以发给设计师参考来做，要求设计满意后就投入印刷使用完成时间:未具体明确预算:联系报价,2023.07.25,2023.08.13,任务编号：1050914,￥3610,8天,山西省-太原市,欢喜创意,https://shop.epwk.com/9w56eqqrkdv1/,欢喜创意,出售服务,https://shop.epwk.com/9w56eqqrkdv1/chushou/,企业,四品,67分,总 38 次中标，交易总金额,￥4.48万,欢喜创意,,品牌VI-视觉识别系统,"￥2800
            /起",产品包装策划设计,"￥1988
            /起",文创及周边策划设计,"￥1688
            /起",标志（LOGO）创意设计,"￥888
            /起"
【产品外观设计】多功能手持风扇结构+外观设计第一期,https://task.epwk.com/1050496/,708人,7人,5000-10000元,圆满完成,领尊pmUED,有设计过手持吹风机机吸尘器无线驱蚊器手电筒补光灯 等数码产品,2023.07.21,2023.07.25,任务编号：1050496,"￥6000,￥35000,￥32000,￥100000,￥30000","20天,8天,30天,2天,30天","江苏省-常州市-天宁区,广东省-深圳市,河南省-郑州市,广东省-深圳市-南山区,广东省-深圳市-福田区",豹思创意设计有限公司,https://shop.epwk.com/3gd2mqq6pner/,豹思创意设计有限公司,出售服务,https://shop.epwk.com/3gd2mqq6pner/chushou/,企业,五品,44分,,,豹思创意设计有限公司,,摄影摄像 / 视频制作,"￥500
            /起",展览展示策划,"￥1000
            /起",文化创意策划,"￥1000
            /起",VI / LOGO / 包装 / 画册 海报 / 单页,"￥500
            /起"
【PPT设计】需要设计公司PPT（沈阳的公司或者个人最好）,https://task.epwk.com/1050423/,164人,1人,1000-3000元,圆满完成,o603b472252ef8,设计制作PPT大约在25页左右，公司主要做的招商加盟项目，对设计制作有极高的思维和超前的想法，沈阳的公司或者个人最好,2023.07.21,2023.07.30,任务编号：1050423,￥1000,7天,广东省-深圳市,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,
