标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,字段1_link,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【品牌起名】店面小儿推拿与产后康复中心取名,https://task.epwk.com/463224/,3519人,132人,¥200,圆满完成,单人悬赏,mf136****6290,取名要求大气，‘易记’,2016.12.06,2017.01.17,任务编号：463224,￥ 200,160,mf18363620650,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】坚果休闲零食品牌取名,https://task.epwk.com/463003/,6672人,181人,¥200,圆满完成,单人悬赏,mf177****9106,品牌取名:主营坚果休闲零食，准备开连锁店铺，上天猫淘宝开店。品牌定位:健康.时尚.快乐休闲食品品牌。同类品牌:良品铺子，百草味，三只松鼠。需求:请威客朋友们帮忙，要求如下（1）新颖，简单，时尚复合年轻人潮流，利于口碑传播。（2）突出经营产品主题，（3）可以注册29.30类商标，（4）如果有进一步的品牌宣传语和品牌故事及文案设计提供，可提高薪酬，（5）最好附加中英文。知识产权产权说明:1.作品必须原创，为第一次发布，未侵犯他人著作权，如有侵犯他人著作权，由设计者承担所有法律责任。2.中标的作品，我方支付设计制作费，即拥有该产品的知识产权，包括著作权，使用权和发布权，有权对设计作品进行修改，组合和应用，设计者不得再向其他任何地方使用该设计用品。                                                      2016年12月5日,2016.12.06,2016.12.30,任务编号：463003,￥ 200,256,潮落潮起的商铺,https://shop.epwk.com/09drj38oq53w/,https://shop.epwk.com/09drj38oq53w/chushou/,个人,四品,37分,,,,,,,,,,,,,,,,,,,,
【品牌起名】医药管理软件起名,https://task.epwk.com/462919/,4065人,148人,¥100,圆满完成,单人悬赏,songbiz,"本公司是一家未医药行业提供技术服务的软件公司，主要是做医药互联网方面的服务。公司主要产品是医药网上交易系统软件，现在需要为医药互联网交易管理系统软件起个名字。            要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;                            2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。            4、2-3个字                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.12.05,2017.02.02,任务编号：462919,￥ 100,190,精瀚堂品牌设计策划,https://shop.epwk.com/9w56ee42kdv1/,https://shop.epwk.com/9w56ee42kdv1/chushou/,企业,六品,45分,,,大幅广告,"￥1198
            /件",DM传单设计,"￥798
            /件",海报设计,"￥998
            /件",VI设计,9998,VI设计,7998,VI设计,4998,logo标志设计,"￥998
            /件",logo标志设计,"￥998
            /件",logo标志设计,"￥798
            /件"
【公司起名】网咖起名,https://task.epwk.com/462807/,5936人,230人,¥100,圆满完成,单人悬赏,o5844cd26aef7f,网咖起名，两个字的，要求时尚能注册,2016.12.05,2017.01.27,任务编号：462807,￥ 100,293,mf15229500531,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】科技公司取名+品牌,https://task.epwk.com/462604/,5001人,102人,¥100,圆满完成,单人悬赏,mf186****0298,"影音(HDMI高清)产品开发与销售要求凸显公司产品专业，服务到位。比较容易记住听起来像是做科技公司同时做网络推广,并可以注册商标名字：2字名字必须要注册使用了(深圳市***公司)知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.12.04,2017.01.26,任务编号：462604,￥ 100,143,异凡策划,https://shop.epwk.com/j7n38q6j25e1/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】互联网公司取名,https://task.epwk.com/462439/,3506人,113人,¥128,圆满完成,单人悬赏,mf139****3225,互联网公司取名名称征集，本公司位于厦门。经营介绍： 销售网站建设+广告推广要求：1、名称易记，易懂，有创意但不失稳重;(必需可以注册的)2、附上创意说明。3、厦门××网络科技有限公司（字数2-3字） 附带（可忽略）：2个合伙人有带“江”“萌”  （能结合进去最好）有条思路是带 水 木,2016.12.02,2016.12.22,任务编号：462439,￥ 128,132,创享新奇室,https://shop.epwk.com/9w56ee0vwdv1/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】婚纱影楼品牌名称征集,https://task.epwk.com/462418/,7469人,231人,¥200,圆满完成,单人悬赏,sdghdfbdh,求一品牌名称。主营婚纱影楼副营婚庆。。名称两到四字。。名称格式XXX影楼。提交方案时可不带“影楼”两字。另XXX还适用于XXX公司等格式最好。要求雅致，上口，且符合主业婚纱影楼，不过有的我感觉合适也可以忽略要求。直接选取。名称选取后开始悬赏LOGO。被选中者可以提前准备噢！！LOGO悬赏金大致300元左右。我还不是，所以土豪悬赏比较少，各位大哥大姐多多体谅。。郑重声明：信誉、安全、无托。。。,2016.12.02,2016.12.20,任务编号：462418,￥ 200,337,十月创意工作室,https://shop.epwk.com/omdwkj3qqdrp/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】健康产业投资公司名称征集,https://task.epwk.com/462275/,4347人,107人,¥200,圆满完成,单人悬赏,mf133****9520,该健康产业投资公司，主要职能是为医院基本建设融资以及发展老年医学、康复医疗、医学美容、养生保健等新兴医疗产业。名称的具体要求：1、简洁易懂，个性鲜明，便于记忆。2、凸显医疗服务行业特点和公司职能。3、符合社会主义价值观。4、体现“追求卓越、永续创新”的精神。5、附简要说明。备注：比较着急，请大家尽快投稿，可能会提前选稿，谢谢！,2016.12.02,2016.12.28,任务编号：462275,￥ 200,150,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】电商交易网站起名和字体设计应用,https://task.epwk.com/462025/,2662人,64人,¥600,圆满完成,单人悬赏,shuibowang,"环保行业（水、气、固废、污泥处理）电商交易网站起名+字体设计应用重要提示：所投稿件统一设置为隐藏。平台理念：以环保行业技术服务为先导，以环保电商交易为主；平台命名：****环境联盟或者*****环境服务平台；平台和网站名称相统一；环保行业热门词汇：筑龙网；土木在线；水工业网；慧聪网；水网；固废网；大气网；环保水圈；E20水网固废网；中国给水排水；亚洲环保网；工业水处理；环保人才网；环卫科技网；65环境；水处理技术；环保人；环保之家；工程客；中国海水淡化与水再利用学会；水进展；GE水处理；宜正环保电商等。根据环保行业交易的特征和一些环保行业交易网站名称总结，创意汇总如下：类似美国水联盟，整合行业内资源；突出“环境平台综合服务商”的理念；包含提供：技术服务，线上平台交易和线下平台交易；突出我们以环保行业技术为先导，知识渊博；而且胸怀宽广；突出环保技术服务+环保设备交易（网站）具体为**网；以环境平台服务为大的概念，交易和技术网站为其中一个分类；以线上交易和线下交易为辅；涵盖工业4.0或5.0的概念；平台发展方向是环保设备生产的智能化工厂；平台和网站起名要求：（网站名称和平台名称要统一，例如：假如平台名称为“慧聪环境服务平台”则网站名称为“慧聪网”）可以采用中文或中文和英文相结合的名称；字数为三个或四个字；例如：水工业网，E20环境平台大气、简洁，明快，容易记住，朗朗爽口；相当具有国际化潮流；以中文“环保”电商交易平台和“环境”综合服务商为创意元素。例如：**（两个字）电商交易平台（涵盖环保、服务、交易等）或者**（两个字）环境服务平台（涵盖环保、服务、交易等）；附创意说明；中标后提供字体设计VI文件3套（网站+期刊+形象墙）其中形象墙为立体字体，修改满意为止。知识产权说明： 所起的名字为原创，为第一次发布。中标的作品，我方支付费用，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用；设计者不得再向其他任何地方使用该设计作品；名字商标注册查询必须在35类和42类同时没有注册，同时保证在35类和42类三个字中没有二个字相同。所投稿件统一设置为隐藏；不隐藏的稿件一律不准入围和中标。",2016.12.01,2017.01.06,任务编号：462025,￥ 600,133,精瀚堂品牌设计策划,https://shop.epwk.com/9w56ee42kdv1/,https://shop.epwk.com/9w56ee42kdv1/chushou/,企业,六品,45分,,,大幅广告,"￥1198
            /件",DM传单设计,"￥798
            /件",海报设计,"￥998
            /件",VI设计,9998,VI设计,7998,VI设计,4998,logo标志设计,"￥998
            /件",logo标志设计,"￥998
            /件",logo标志设计,"￥798
            /件"
【广告策划】企业广告语征集,https://task.epwk.com/461972/,12310人,222人,¥800,圆满完成,单人悬赏,o583e3bbb944ee,要求：1.体现出国际化，让人记忆深刻，过目不忘。          2.要有独特的原创性，不得抄袭。          3.主题鲜明、富有创意、朗朗上口          4.构思精巧，耐人寻味，便于记忆          5.附简短文字说明市场定位：国内高端系统门窗企业，打造全国一流，世界知名门窗品牌。关于公司介绍请看附件应用范围：对外户外广告宣传、形象店、电视网络媒介等◆知识产权说明：1、 发布者所发布的广告语为原创，为第一次发布。未侵犯他人的著作权。如有侵犯他人著作权，由发布者承担所有法律责任。2、 中标的广告语，我方支付相应费用。即拥有该广告语所有产权，包括著作权、使用权和发布权等，并有权对广告语进行修改、组合和应用，发布者不得再向其他任何地方使用该广告语。,2016.12.01,2016.12.21,任务编号：461972,￥ 800,365,虎三,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌故事】企业品牌故事征集,https://task.epwk.com/461976/,13358人,67人,¥1500,圆满完成,单人悬赏,o583e3bbb944ee,要求：1.生动感人          2.能够很好的围绕品牌或者门窗来展开并要有完整的故事情节          3.体现出国际化          4.故事定位为西方的故事情节          5.300-1000字以内          6.公司相关介绍请看附件（打个比方：因为巴蒂格始于1951年，可以把这个故事叙述在这个之前，做系统门窗的诞生故事甚至更为久远，为什么要做门窗，因为什么产生了坚定做门窗的想法等等吧，仅供参考）  ◆知识产权说明：1、 发布者所发布的品牌故事为原创，为第一次发布。未侵犯他人的著作权。如有侵犯他人著作权，由发布者承担所有法律责任。2、 中标的品牌故事，我方支付相应费用。即拥有该品牌故事所有产权，包括著作权、使用权和发布权等，并有权对品牌故事进行修改、组合和应用，发布者不得再向其他任何地方使用类似的品牌故事。,2016.12.01,2016.12.30,任务编号：461976,￥ 1500,101,智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】健身器材公司名称征集,https://task.epwk.com/461911/,4765人,127人,¥100,圆满完成,单人悬赏,mf138****2621,征集内容：1.公司名称（中英文名）公司介绍：公司从事健身相关产业，主要是做互联网电商。主打家用运动健身产品。名称设计要求：1.中文名字 英文名字（需琅琅上口，易读，易记）。                            2.英文名称需要是中文名称的音译或者意译，符合英文拼写规则，不得使用拼音。                            3.产品定位：只做精品                            4.名字的字数：以2个字为主，若有优质的名称也可以采纳， 容易记忆与产品相关度高突显运动之美健身之美要求原创                            5.尽量能体现家用，实惠，美观，质量好。（此条不做硬性要求）。,2016.11.30,2017.01.21,任务编号：461911,￥ 100,151,天空文案（Sky Copywrite）,https://shop.epwk.com/7g5ykkx9gn0q/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】农产品品牌商标取名,https://task.epwk.com/461433/,6269人,197人,¥200,圆满完成,单人悬赏,mf180****6998,农产品商标取名要求：1.不超过4个字；2.是关于原生态、有机食品的，主营家禽家畜、蔬菜瓜果、土特产等。名字要符合原生态理念；3.用于商标注册。,2016.11.29,2017.05.18,任务编号：461433,￥ 200,270,鱼墨视觉,https://shop.epwk.com/4rn8qq79gngm/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】青少年国际教育中心取名,https://task.epwk.com/461558/,3875人,100人,¥200,圆满完成,单人悬赏,mf137****9278,1、需要中文和英文名，两者有意义或谐音上的联系最好；2、中英文名字需要寓意佳，朗朗上口；3、体现国际化，高雅大气； 4、务必原创，请勿抄袭。,2016.11.29,2017.03.23,任务编号：461558,￥ 200,135,耀设计创意工作室,https://shop.epwk.com/p05qjjve1dev/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】周姓女宝宝起名,https://task.epwk.com/461556/,7221人,140人,¥188,圆满完成,单人悬赏,o583d19880d9fc,"1、出生日期 阳历2016年11月19日 凌晨2点54分，体重6斤，2、母亲姓蒋，名字取三个字，我家宝宝是在爸爸妈妈无限期待下来到这个世界的，给了我们很大的惊喜，因此我们都很感恩，希望名字中体现，3、不使用生僻字,简洁大气，读起来朗朗上口，不拗口，不易重名，名字谐音没有不好的联想，寓意要吉祥，听起来没有歧义,字义好，4、符合传统命理五行，数理格局，结合周易五行八卦的算法生辰八字，五行旺衰喜忌进行综合分析交稿时附带详尽的名称寓意，命理分析，解释名字和生辰八字的联系，提交详细的起名方案。 麻烦在网上直接找软件起的就别来发了，谢谢。",2016.11.29,2017.02.19,任务编号：461556,￥ 188,188,美其名曰,https://shop.epwk.com/p05qjj7ewdev/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】小五金产品品牌起名,https://task.epwk.com/461475/,8135人,235人,¥720,圆满完成,单人悬赏,Mr137****1568,要求：1. 名称最好为四个字，易于传播，朗朗上口，给人能够留下深刻印象。2. 能够反映产品足质足量，完美品质的特点，拒绝行业内靠缺斤少两，分量不足，以次充好的恶意价格战竞争现象，使本产品成为小五金行业的“代名词”，实实在在，以严格遵循行业国际标准的要求，不偷工减料的诚信立足于市场。3. 具有一定深度的制造类的文化内涵。4. 产品为铰链，门吸，钉子，锁具，免钉胶等，所以需确保能够在6类，1类中注册，谢谢！,2016.11.29,2016.12.30,任务编号：461475,￥ 720,462,sx520fd,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【宣传策划】自媒体文章撰写,https://task.epwk.com/461378/,3098人,6人,¥100,圆满完成,单人悬赏,jzcaini,需求： 财经创业类文章一篇，可以是创业项目，可以是哪家店运营的特色，值得大家学习等等 娱乐类文章一篇，可以是电影、电视剧里的相关情节，或者明星等相关娱乐方面资讯都可以 投稿时要求原创或者伪原创，标题为时间 姓名 文章名称 要求：以WORD文档格式发给我，文章中配图4张（含4张）以上。 如有不明白的地方可以qq联系：1638684735 可能根据需求，提前选稿，请威客早点投稿，若威客个人只擅长一个类别的文章，就一个类别的文章投2篇文章，如质量高，可以考虑长期合作。,2016.11.28,2016.12.11,任务编号：461378,￥ 100,6,潦草文化工作室,https://shop.epwk.com/3gd2mm64ener/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】快递公司起名征集,https://task.epwk.com/461062/,6543人,251人,¥200,圆满完成,单人悬赏,富平金秋霜柿,公司起名，公司是从事快递仓储业务的，和现在百世云仓从事的业务相近。名称必须能注册 陕西省xx公司或者西安xx公司,2016.11.28,2017.03.13,任务编号：461062,￥ 200,309,mf13810125364,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】小吃店品牌取名征集，需原创,https://task.epwk.com/460992/,6887人,197人,¥150,圆满完成,单人悬赏,caomao8384,经营范围：鸡排、烤肉、热饮、糖葫芦等等小吃要求：1.网上复制粘贴的，或者文档一塞一大堆的不要来2.直接回复，设置隐藏即可！3.商标局可以注册4.贴近小吃，或者引自经典、诗词更佳！5.上口、易记！,2016.11.26,2016.12.18,任务编号：460992,￥ 150,312,心橙创品牌工作室,https://shop.epwk.com/2j5jjjyek5pz/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】药酒，保健酒品牌取名,https://task.epwk.com/460948/,6515人,141人,¥300,圆满完成,单人悬赏,mf138****7345,"药酒，保健酒取名名称征集，本公司位于深圳。 经营介绍： 主营男装的设计和销售，也有部分女装，消费人群以35-80岁男性为主。 产品主要二类： 1、产品功效：祛风除湿，养血通络，补养肝肾，通络止痛，美容养颜，延年益寿。治疗风湿性颈肩腰腿痛，手足麻木，手足拘挛，关节疼痛，血虚气虚等。 2.壮阳酒。要求： 1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册商标的) 2、附上创意说明。 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.11.26,2017.01.16,任务编号：460948,￥ 300,185,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】银制筷子广告语征集,https://task.epwk.com/460558/,4943人,136人,¥100,圆满完成,单人悬赏,mf158****0950,品牌文化介绍鑫谊，中国银制品新贵品牌。秉承中式传统银制品制造理念，将低奢风极致诠释，同时大胆融入现代创意趣味设计，为传统银制品注入年轻新活力，形成品牌专属的“基于传统，发于生活，形于时代”的新时尚银制品风格。我们的产品：主营银筷子，银茶壶；以“绿色用餐、健康环保、精致生活、轻松享受”为品牌基调。脱去艳丽的彩绘和浓稠的釉料，远离重金属污染，鑫谊，让饮食更安心。减少一次性筷子使用，养成自带筷子出行的生活习惯，鑫谊，让生活更环保。定制家庭特有的标识，赋予餐具专属的意义，鑫谊，让美好的祝福世代相传。要求：可以是一句话广告标语，也可以是一个品牌故事。市场定位：银制筷子，我们要颠覆中国的传统餐具文化，有传承的含义。包含标点符号最好在20字以内,2016.11.24,2016.12.29,任务编号：460558,￥ 100,193,虎三,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】羊奶粉商标起名,https://task.epwk.com/460123/,4522人,120人,¥200,圆满完成,单人悬赏,富平金秋霜柿,"羊奶粉商标名称征集，本公司位于山西富平。                            经营介绍： 羊奶粉                                    要求：                                            1、名称响亮，易记，有创意并且国际范;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、字数2~4个字，附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.11.23,2017.01.27,任务编号：460123,￥ 200,171,善道品牌策划,https://shop.epwk.com/z2nkzz8l2nqy/,https://shop.epwk.com/z2nkzz8l2nqy/chushou/,个人,七品,38分,,,专业品牌起名命名，专业查询付截图，保证原创，修改满意为止,￥588,,,,,,,,,,,,,,,,
【公司起名】身体养生SAP品牌取名,https://task.epwk.com/459658/,4770人,134人,¥200,圆满完成,单人悬赏,mf158****6911,商标名称要求：身体养生SAP品牌商标，想注册香港的，跟关爱健康息息相关的字数：4个字  要求附上寓意。由于需要注册要求原创。,2016.11.21,2017.01.30,任务编号：459658,￥ 200,175,云谊通网络科技,https://shop.epwk.com/p05qjjrkwdev/,https://shop.epwk.com/p05qjjrkwdev/chushou/,企业,五品,40分,,,微信三级分销,"￥6000
            /套",商铺会员系统(可对接微信公众号),"￥5000
            /件",微信抽奖活动开发,"￥3000
            /件",新媒体推广系统,"￥2000
            /件",APP开发,价格面议,APP开发,价格面议,专业电子商务网站开发,"￥5000
            /件",企业文件管理系统,"￥30
            /月",自主开发进销存软件,"￥666
            /套"
【其他】战春秋新酒产品策略点子征集,https://task.epwk.com/459899/,3642人,18人,¥300,圆满完成,单人悬赏,mf135****8030,产品品牌名《战春秋》，百度百科可查。原浆荞麦酒，产品在众筹推广上想回归初心，体现匠心酿好酒的理念，希望征集一个有创意性能体现产品理念的推广思路。产品slogen：人生一碗酒，热血战春秋。产品在浙江衢州乔老爷酒厂，产品以前是贡酒，原浆酿造，产品分为38度和52度两种。希望在角度考虑方面能够有不一样的视野格局，传统的勿扰参考视频：http://www.iqiyi.com/v_19rr9bqyto.html融入视频：http://www.kaihua163.com/video/video_265.html请参考以上,2016.11.22,2016.12.23,任务编号：459899,￥ 300,22,天禧品牌运营中心,https://shop.epwk.com/89dvggjx4dl2/,https://shop.epwk.com/89dvggjx4dl2/chushou/,企业,九品,37分,,,,,,,,,,,,,,,,,,,,
【公司起名】跟明星有关的公司名称征集,https://task.epwk.com/458634/,3411人,154人,¥100,圆满完成,单人悬赏,mf135****0257,公司取名，跟明星有关，跟创业有关，感谢大家献计2_3个字为宜,2016.11.21,2017.01.24,任务编号：458634,￥ 100,191,精瀚堂品牌设计策划,https://shop.epwk.com/9w56ee42kdv1/,https://shop.epwk.com/9w56ee42kdv1/chushou/,企业,六品,45分,,,大幅广告,"￥1198
            /件",DM传单设计,"￥798
            /件",海报设计,"￥998
            /件",VI设计,9998,VI设计,7998,VI设计,4998,logo标志设计,"￥998
            /件",logo标志设计,"￥998
            /件",logo标志设计,"￥798
            /件"
【商业提案】时尚宝妈10天的朋友圈内容编辑,https://task.epwk.com/459697/,3626人,11人,¥150,圆满完成,单人悬赏,ishiliao,"我在运营一个母婴类的微信号,需要每天更新朋友圈内容,目标是通过朋友圈展现一个时尚的宝宝妈形象,请各位威客帮我编辑10天的朋友圈内容,要求展示宝妈美好的生活情趣,展示真人生活各方面细节,要求有品位,有生活,有爱心.如果中标，以后会长期需要提供,这次提交的内容需要提供10天的用于朋友圈的文字和图片。可以参考其他辣妈和时尚达人的朋友圈内容，但不要侵权。",2016.11.21,2016.12.09,任务编号：459697,￥ 150,13,小芳工作室,https://shop.epwk.com/7lngqqrrrdmr/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】以体育舞蹈为中心的舞蹈艺术学校名字征集,https://task.epwk.com/459655/,4217人,112人,¥100,圆满完成,单人悬赏,mf130****0751,1.本校以体育舞蹈(拉丁舞，摩登舞）为中心的舞蹈艺术学校。年龄各个阶段都有。望各位清楚方向，建议度娘视频清楚了解一下。2.校名最好2字，跟以上俩种舞蹈有关联，大气，时尚。可注册，中英文名更好。3.极其不喜欢奇舞飞扬，舞魅，美姿，舞与伦比等名字。342e5858舞蹈艺术学校或是XX舞蹈艺术培训中心,2016.11.21,2016.12.16,任务编号：459655,￥ 100,139,hughes123的商铺,https://shop.epwk.com/j7n382wm95e1/,,,,,,,,,,,,,,,,,,,,,,,,
【宣传策划】聪农小镇休闲食品品牌故事征集,https://task.epwk.com/459647/,4529人,21人,¥1000,圆满完成,单人悬赏,mf153****3688,聪农小镇休闲食品征集品牌文化、小镇人物、故事聪农小镇休闲食品、线上微信分销形式、线下直营店、征集品牌文化、浪漫小镇故事、小镇人物等、小镇里出售鸡、鸭、牛、猪肉类休闲食品、冻干蔬菜水果类休闲食品、海鲜小黄鱼类休闲食品、特色酱腌菜小咸菜、干果类休闲食品、突出绿色食品主题、提现特色小镇文化、以漫画文字体现出来。文字要求：至少1000字,2016.11.21,2016.12.18,任务编号：459647,￥ 1000,31,小凿子的工作空间,https://shop.epwk.com/09drjegm353w/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌故事】中学作文征集,https://task.epwk.com/459609/,3183人,10人,¥100,圆满完成,单人悬赏,mf131****3605,瑞典文学院宣布，将2016年诺贝尔文学奖授予美国音乐人兼作家鲍勃·迪伦，以表彰他“在伟大的美国歌曲传统中创造了新的诗歌表达”。这是诺贝尔文学奖有史以来第一次颁给音乐人。的确，鲍勃·迪伦的作品虽然是让人“听”的，但完全可以把它们当作诗歌来“读”。下面就是鲍勃·迪伦的代表作《答案在风中飘荡》的歌词，请仔细阅读并领会其中的深刻寓意，然后以“答案在风中飘荡”为题写一篇文章，立意自定，体裁不限，字数限1500~1800 之间。具体要求请自己在网上看  要求纯原创，高质量,2016.11.21,2016.12.04,任务编号：459609,￥ 100,10,威威小妖,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】服装品牌起名征集,https://task.epwk.com/459472/,3315人,107人,¥100,圆满完成,单人悬赏,qq972****16,"要求：1、名称简洁，易记。并可注册25类商标。2、产品主营中高端健身服，瑜伽服，跑步运动服。名称要偏女性化。3、有中、英文相对应的两种名称，附上创意说明。知识产权说明：1、所设计的名称为原创，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.11.20,2016.12.16,任务编号：459472,￥ 100,146,xdfswyyg,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】电子琴钢琴类乐器起名,https://task.epwk.com/459169/,5653人,165人,¥468,圆满完成,单人悬赏,workman,1、易读（朗朗上口）、易识（好认、无生僻字）、易记（容易记住）2、通俗、贴近行业特点，简洁大气3、可在15类、42类、9类、41类注册，附商标查询结果4、汉字字数一般在4字以内，英文在8个字母以内5、主营范围：电子琴、钢琴等乐器的销售及培训（线上、线下）,2016.11.18,2017.01.06,任务编号：459169,￥ 468,335,美其名曰,https://shop.epwk.com/p05qjj7ewdev/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】文化、教育、医学类培训行业名称征集,https://task.epwk.com/459149/,3594人,111人,¥200,圆满完成,单人悬赏,Mr151****8949,XXX医学培训/教育平台/网、XXX平台-专注医学教育培训1.字数4字以内。     2.企业所属文化、教育、医学类培训行业。   3.公司经营范围：医学类各种资格证考试培训（如医师执业资格、药师资格、护士资格等等）、医学图书出版、泛医学领域相关的培训。  5.类似的有正保医学教育网、233网校、文都医考、中大网校等。,2016.11.18,2017.01.24,任务编号：459149,￥ 200,144,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】文化娱乐公司广告语,https://task.epwk.com/458819/,4967人,84人,¥100,圆满完成,单人悬赏,mf137****3388,"“盛娱星汇文化传播公司”  经营介绍： “盛娱星汇”是一家以经营 赛事举办，艺人包装，活动策划为主的文化传播公司。涉及大型赛事举办、运营、演艺活动。广告语要求：1、大气、简洁、明快;2、突出文化品牌元素;3、能体现公司名字特色。4、附上创意说明。5、公司起名寓意，盛娱星汇。盛娱：代表繁荣昌盛、娱乐文化产业。                                                星汇：代表群星汇聚。     6、要求广告语，三字对称、四字对称。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.11.16,2016.12.02,任务编号：458819,￥ 100,96,mf18363620650,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】“中”字头公司起名征集,https://task.epwk.com/458816/,4720人,95人,¥100,圆满完成,单人悬赏,mf137****6469,详细见附件。2~3个字都可以,2016.11.16,2016.11.28,任务编号：458816,￥ 100,138,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】王姓男孩取名，要求带水带木,https://task.epwk.com/458674/,13228人,264人,¥518,圆满完成,单人悬赏,mf183****2888,王姓男孩取名，名字要三个字，王字后面两个字要求五行中一个属水一个属木，雄，杰，玲，昆，舟，朵，定，莲，芝，玉，容等字都不能有，包括同音。名字要求打分要高，分数越高越能接受，当然前提是一个字属水一个字属木，谢谢大家！,2016.11.16,2016.12.10,任务编号：458674,￥ 518,353,乖乖宝周易起名QQ2055215326,https://shop.epwk.com/rp5z4q23wdx3/,,,,,,,,,,,,,,,,,,,,,,,,
