标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,
【视频定制】护肤品行业视频拍摄定制,https://task.epwk.com/1039852/,55人,1人,"¥4,102",圆满完成,,护肤品行业视频拍摄定制,直接雇佣￥ 4102,￥ 4102,任务编号：1039852,0-88.csv,,
【创意短视频】婴儿监护器产品招募创意视频拍摄及剪辑,https://task.epwk.com/1039853/,23人,1人,"¥1,000",圆满完成,,婴儿监护器产品招募创意视频拍摄及剪辑,直接雇佣￥ 1000,￥ 1000,任务编号：1039853,0-88.csv,,
【创意短视频】征集中秋创意广告故事,https://task.epwk.com/1039858/,18人,1人,¥500,圆满完成,,征集中秋创意广告故事,直接雇佣￥ 500,￥ 500,任务编号：1039858,0-88.csv,,
【创意短视频】创意广告短视频拍摄,https://task.epwk.com/1039861/,24人,1人,"¥1,200",圆满完成,,创意广告短视频拍摄,直接雇佣￥ 1200,￥ 1200,任务编号：1039861,0-88.csv,,
【创意短视频】木门全屋定制品牌升级创意TVC广告片,https://task.epwk.com/1039863/,17人,1人,"¥2,500",圆满完成,,木门全屋定制品牌升级创意TVC广告片,直接雇佣￥ 2500,￥ 2500,任务编号：1039863,0-88.csv,,
【创意短视频】创意宣传视频制作,https://task.epwk.com/1039864/,185人,1人,"¥3,000",圆满完成,,创意宣传视频制作,直接雇佣￥ 3000,￥ 3000,任务编号：1039864,0-88.csv,,
【创意短视频】需求视频创意拍摄团队,https://task.epwk.com/1039865/,70人,1人,"¥2,000",圆满完成,,需求视频创意拍摄团队,直接雇佣￥ 2000,￥ 2000,任务编号：1039865,0-88.csv,,
【抖音视频】短视频渠道代运营日常短视频拍摄,https://task.epwk.com/1039866/,116人,1人,"¥5,000",圆满完成,,短视频渠道代运营日常短视频拍摄,直接雇佣￥ 5000,￥ 5000,任务编号：1039866,0-88.csv,,
【标签设计】黄芪,https://task.epwk.com/1039877/,42人,1人,¥400,圆满完成,,黄芪,直接雇佣￥ 400,￥ 400,任务编号：1039877,0-88.csv,,
【抖音视频】短视频点赞网抑文配音 男性,https://task.epwk.com/1039885/,428人,1人,¥100,圆满完成,,短视频点赞网抑文配音 男性,直接雇佣￥ 100,￥ 100,任务编号：1039885,0-88.csv,,
【抖音视频】短视频平台认证代运营,https://task.epwk.com/1039886/,1059人,1人,"¥30,000",圆满完成,,短视频平台认证代运营,直接雇佣￥ 30000,￥ 30000,任务编号：1039886,0-88.csv,,
【抖音视频】短视频渠道加粉快手短视频剪辑,https://task.epwk.com/1039887/,79人,1人,"¥1,000",圆满完成,,短视频渠道加粉快手短视频剪辑,直接雇佣￥ 1000,￥ 1000,任务编号：1039887,0-88.csv,,
【抖音视频】短视频平台短视频,https://task.epwk.com/1039889/,100人,1人,"¥1,000",圆满完成,,短视频平台短视频,直接雇佣￥ 1000,￥ 1000,任务编号：1039889,0-88.csv,,
【抖音视频】寻找个人根据提供内容制作视频发布短视频渠道加粉,https://task.epwk.com/1039890/,92人,1人,¥300,圆满完成,,寻找个人根据提供内容制作视频发布短视频渠道加粉,直接雇佣￥ 300,￥ 300,任务编号：1039890,0-88.csv,,
【抖音视频】短视频点赞短视频制作剪辑,https://task.epwk.com/1039891/,254人,1人,"¥1,500",圆满完成,,短视频点赞短视频制作剪辑,直接雇佣￥ 1500,￥ 1500,任务编号：1039891,0-88.csv,,
【抖音视频】短视频渠道加粉剧情拍摄,https://task.epwk.com/1039892/,33人,1人,"¥1,000",圆满完成,,短视频渠道加粉剧情拍摄,直接雇佣￥ 1000,￥ 1000,任务编号：1039892,0-88.csv,,
【抖音视频】需求快手短视频渠道代运营的,https://task.epwk.com/1039893/,341人,1人,¥300,圆满完成,https://task.epwk.com/page3304.html?m=6&o=7,需求快手短视频渠道代运营的,直接雇佣￥ 300,￥ 300,任务编号：1039893,3153-3304.csv,,
【抖音视频】短视频平台种草koc,https://task.epwk.com/1039894/,443人,1人,¥600,圆满完成,https://task.epwk.com/page3304.html?m=6&o=7,短视频平台种草koc,直接雇佣￥ 600,￥ 600,任务编号：1039894,3153-3304.csv,,
【短视频营销】招直播互动人员,https://task.epwk.com/1039898/,32人,1人,"¥6,000",圆满完成,,招直播互动人员,直接雇佣￥ 6000,￥ 6000,任务编号：1039898,0-88.csv,,
【短视频营销】微视频剪辑,https://task.epwk.com/1039902/,509人,1人,"¥3,000",圆满完成,,微视频剪辑,直接雇佣￥ 3000,￥ 3000,任务编号：1039902,0-88.csv,,
【短视频营销】短视频起号运营,https://task.epwk.com/1039903/,71人,1人,"¥2,000",圆满完成,,短视频起号运营,直接雇佣￥ 2000,￥ 2000,任务编号：1039903,0-88.csv,,
【直播卖货】预制菜产品带货项目合作,https://task.epwk.com/1039904/,36人,1人,"¥20,000",圆满完成,,预制菜产品带货项目合作,直接雇佣￥ 20000,￥ 20000,任务编号：1039904,0-88.csv,,
【直播卖货】家具直播带货,https://task.epwk.com/1039906/,22人,1人,"¥8,000",圆满完成,,家具直播带货,直接雇佣￥ 8000,￥ 8000,任务编号：1039906,0-88.csv,,
【直播卖货】护肤品厂家直播带货,https://task.epwk.com/1039907/,77人,1人,"¥20,000",圆满完成,,护肤品厂家直播带货,直接雇佣￥ 20000,￥ 20000,任务编号：1039907,0-88.csv,,
【直播卖货】手机壳厂家短视频渠道代运营代运营+直播带货,https://task.epwk.com/1039908/,236人,1人,"¥30,000",圆满完成,,手机壳厂家短视频渠道代运营代运营+直播带货,直接雇佣￥ 30000,￥ 30000,任务编号：1039908,0-88.csv,,
【直播卖货】家具品牌方短视频平台认证直播带货,https://task.epwk.com/1039909/,46人,1人,"¥25,000",圆满完成,,家具品牌方短视频平台认证直播带货,直接雇佣￥ 25000,￥ 25000,任务编号：1039909,0-88.csv,,
【直播卖货】电商海参等产品直播带货,https://task.epwk.com/1039910/,31人,1人,"¥5,000",圆满完成,,电商海参等产品直播带货,直接雇佣￥ 5000,￥ 5000,任务编号：1039910,0-88.csv,,
【直播卖货】玉石文玩直播运营,https://task.epwk.com/1039911/,23人,1人,"¥3,000",圆满完成,,玉石文玩直播运营,直接雇佣￥ 3000,￥ 3000,任务编号：1039911,0-88.csv,,
【直播卖货】闽台特产直播带货,https://task.epwk.com/1039912/,173人,1人,"¥30,000",圆满完成,,闽台特产直播带货,直接雇佣￥ 30000,￥ 30000,任务编号：1039912,0-88.csv,,
【直播卖货】零食工厂直播带货,https://task.epwk.com/1039913/,176人,1人,"¥20,000",圆满完成,,零食工厂直播带货,直接雇佣￥ 20000,￥ 20000,任务编号：1039913,0-88.csv,,
【专题片制作】专题片制作剪辑,https://task.epwk.com/1039914/,33人,1人,"¥1,000",圆满完成,,专题片制作剪辑,直接雇佣￥ 1000,￥ 1000,任务编号：1039914,0-88.csv,,
【专题片制作】专题片拍摄需求,https://task.epwk.com/1039915/,31人,1人,"¥3,000",圆满完成,,专题片拍摄需求,直接雇佣￥ 3000,￥ 3000,任务编号：1039915,0-88.csv,,
【专题片制作】需要专题片专业拍摄,https://task.epwk.com/1039916/,23人,1人,"¥5,000",圆满完成,,需要专题片专业拍摄,直接雇佣￥ 5000,￥ 5000,任务编号：1039916,0-88.csv,,
【专题片制作】制作企业专题片,https://task.epwk.com/1039917/,23人,1人,"¥6,000",圆满完成,,制作企业专题片,直接雇佣￥ 6000,￥ 6000,任务编号：1039917,0-88.csv,,
【专题片制作】工业类企业专题片,https://task.epwk.com/1039918/,38人,1人,"¥10,000",圆满完成,,工业类企业专题片,直接雇佣￥ 10000,￥ 10000,任务编号：1039918,0-88.csv,,
【专题片制作】城市专题片制作,https://task.epwk.com/1039919/,29人,1人,"¥7,200",圆满完成,,城市专题片制作,直接雇佣￥ 7200,￥ 7200,任务编号：1039919,0-88.csv,,
【专题片制作】农业专题片制作,https://task.epwk.com/1039920/,42人,1人,"¥8,500",圆满完成,,农业专题片制作,直接雇佣￥ 8500,￥ 8500,任务编号：1039920,0-88.csv,,
【专题片制作】人物群像专题片制作,https://task.epwk.com/1039921/,159人,1人,"¥6,300",圆满完成,,人物群像专题片制作,直接雇佣￥ 6300,￥ 6300,任务编号：1039921,0-88.csv,,
【专题片制作】新闻专题片制作,https://task.epwk.com/1039922/,184人,1人,"¥5,000",圆满完成,,新闻专题片制作,直接雇佣￥ 5000,￥ 5000,任务编号：1039922,0-88.csv,,
【专题片制作】医疗企业专题片制作,https://task.epwk.com/1039923/,512人,1人,"¥12,000",圆满完成,,医疗企业专题片制作,直接雇佣￥ 12000,￥ 12000,任务编号：1039923,0-88.csv,,
【剪辑服务】心理咨询任务访谈视频剪辑,https://task.epwk.com/1039924/,180人,1人,"¥15,000",圆满完成,,心理咨询任务访谈视频剪辑,直接雇佣￥ 15000,￥ 15000,任务编号：1039924,0-88.csv,,
【剪辑服务】小杨哥直播切片带货视频剪辑，风格搞笑，熟练剪辑贴片的接,https://task.epwk.com/1039925/,53人,1人,¥800,圆满完成,,小杨哥直播切片带货视频剪辑，风格搞笑，熟练剪辑贴片的接,直接雇佣￥ 800,￥ 800,任务编号：1039925,0-88.csv,,
【剪辑服务】寻找类似于是大腿类剪辑人才，主要在短视频平台投放,https://task.epwk.com/1039926/,29人,1人,"¥1,700",圆满完成,,寻找类似于是大腿类剪辑人才，主要在短视频平台投放,直接雇佣￥ 1700,￥ 1700,任务编号：1039926,0-88.csv,,
【剪辑服务】生活vlog剪辑，我提供视频和文案，优秀剪辑师来接,https://task.epwk.com/1039927/,140人,1人,"¥2,500",圆满完成,,生活vlog剪辑，我提供视频和文案，优秀剪辑师来接,直接雇佣￥ 2500,￥ 2500,任务编号：1039927,0-88.csv,,
【剪辑服务】文化类企业寻找短视频剪辑团队,https://task.epwk.com/1039928/,87人,1人,"¥8,000",圆满完成,,文化类企业寻找短视频剪辑团队,直接雇佣￥ 8000,￥ 8000,任务编号：1039928,0-88.csv,,
【剪辑服务】找剪辑师，教育类视频 非常简单,https://task.epwk.com/1039929/,304人,1人,"¥5,000",圆满完成,,找剪辑师，教育类视频 非常简单,直接雇佣￥ 5000,￥ 5000,任务编号：1039929,0-88.csv,,
【剪辑服务】寻找汽车类短视频剪辑师,https://task.epwk.com/1039930/,238人,1人,"¥12,000",圆满完成,,寻找汽车类短视频剪辑师,直接雇佣￥ 12000,￥ 12000,任务编号：1039930,0-88.csv,,
【剪辑服务】品牌公司招募视频剪辑，找混剪量大长期合作,https://task.epwk.com/1039931/,594人,1人,"¥1,500",圆满完成,,品牌公司招募视频剪辑，找混剪量大长期合作,直接雇佣￥ 1500,￥ 1500,任务编号：1039931,0-88.csv,,
【剪辑服务】工作室招长期合作游戏视频剪辑师,https://task.epwk.com/1039932/,684人,1人,¥800,圆满完成,,工作室招长期合作游戏视频剪辑师,直接雇佣￥ 800,￥ 800,任务编号：1039932,0-88.csv,,
【剪辑服务】小说声画 短视频剪辑 长期合作,https://task.epwk.com/1039933/,880人,1人,¥500,圆满完成,,小说声画 短视频剪辑 长期合作,直接雇佣￥ 500,￥ 500,任务编号：1039933,0-88.csv,,
【产品拍摄】宠物彩妆产品拍摄急急急！,https://task.epwk.com/1039934/,30人,1人,"¥1,000",圆满完成,,宠物彩妆产品拍摄急急急！,直接雇佣￥ 1000,￥ 1000,任务编号：1039934,0-88.csv,,
【产品拍摄】拍摄猫咪视频素材 仅拍摄,https://task.epwk.com/1039935/,24人,1人,¥500,圆满完成,,拍摄猫咪视频素材 仅拍摄,直接雇佣￥ 500,￥ 500,任务编号：1039935,0-88.csv,,
【产品拍摄】电商女装类目产品平面拍摄,https://task.epwk.com/1039936/,33人,1人,¥700,圆满完成,,电商女装类目产品平面拍摄,直接雇佣￥ 700,￥ 700,任务编号：1039936,0-88.csv,,
【产品拍摄】连云港预开业店里产品拍摄 15张可用图片,https://task.epwk.com/1039937/,30人,1人,¥900,圆满完成,,连云港预开业店里产品拍摄 15张可用图片,直接雇佣￥ 900,￥ 900,任务编号：1039937,0-88.csv,,
【产品拍摄】拍摄美发护发产品需要图片展示素材,https://task.epwk.com/1039938/,29人,1人,"¥1,500",圆满完成,,拍摄美发护发产品需要图片展示素材,直接雇佣￥ 1500,￥ 1500,任务编号：1039938,0-88.csv,,
【产品拍摄】跨境电商公司寻求视觉达人，量大,https://task.epwk.com/1039939/,35人,1人,"¥2,000",圆满完成,,跨境电商公司寻求视觉达人，量大,直接雇佣￥ 2000,￥ 2000,任务编号：1039939,0-88.csv,,
【产品拍摄】毕业作品设计拍摄,https://task.epwk.com/1039940/,26人,1人,"¥1,800",圆满完成,,毕业作品设计拍摄,直接雇佣￥ 1800,￥ 1800,任务编号：1039940,0-88.csv,,
【产品拍摄】跨境电商平台简单图片拍摄,https://task.epwk.com/1039941/,74人,1人,¥700,圆满完成,,跨境电商平台简单图片拍摄,直接雇佣￥ 700,￥ 700,任务编号：1039941,0-88.csv,,
【产品拍摄】工业机械产品视频拍摄，苏州本地优先,https://task.epwk.com/1039942/,41人,1人,"¥2,000",圆满完成,,工业机械产品视频拍摄，苏州本地优先,直接雇佣￥ 2000,￥ 2000,任务编号：1039942,0-88.csv,,
【产品拍摄】需要网感强的产品拍摄,https://task.epwk.com/1039943/,55人,1人,"¥1,200",圆满完成,,需要网感强的产品拍摄,直接雇佣￥ 1200,￥ 1200,任务编号：1039943,0-88.csv,,
【VR/AR/MR】AR海上物流、救援公司宣传片,https://task.epwk.com/1039944/,20人,1人,"¥22,000",圆满完成,,AR海上物流、救援公司宣传片,直接雇佣￥ 22000,￥ 22000,任务编号：1039944,0-88.csv,,
【VR/AR/MR】3DVR看景制作,https://task.epwk.com/1039948/,16人,1人,"¥9,000",圆满完成,,3DVR看景制作,直接雇佣￥ 9000,￥ 9000,任务编号：1039948,0-88.csv,,
【VR/AR/MR】三维工业机器纯展示视频,https://task.epwk.com/1039951/,59人,1人,"¥6,000",圆满完成,,三维工业机器纯展示视频,直接雇佣￥ 6000,￥ 6000,任务编号：1039951,0-88.csv,,
【VR/AR/MR】三维动画制作,https://task.epwk.com/1039952/,89人,1人,"¥12,000",圆满完成,,三维动画制作,直接雇佣￥ 12000,￥ 12000,任务编号：1039952,0-88.csv,,
【VR/AR/MR】医学相关科普VR动画制作,https://task.epwk.com/1039953/,43人,1人,"¥5,500",圆满完成,,医学相关科普VR动画制作,直接雇佣￥ 5500,￥ 5500,任务编号：1039953,0-88.csv,,
【APP开发】h5殼包,https://task.epwk.com/1039963/,143人,1人,"¥6,500",圆满完成,,h5殼包,直接雇佣￥ 6500,￥ 6500,任务编号：1039963,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1040013/,68人,1人,"¥1,980",圆满完成,,LOGO设计,直接雇佣￥ 1980,￥ 1980,任务编号：1040013,0-88.csv,,
【包装设计】墨雨包装包装袋包装箱设计瓶型设计包装礼盒手提袋设计,https://task.epwk.com/1040015/,43人,1人,"¥1,000",圆满完成,,墨雨包装包装袋包装箱设计瓶型设计包装礼盒手提袋设计,直接雇佣￥ 1000,￥ 1000,任务编号：1040015,0-88.csv,,
【画册设计】墨雨【画册设计】产品展示/企业宣传册/创意画册设计制作,https://task.epwk.com/1040017/,68人,1人,"¥1,000",圆满完成,,墨雨【画册设计】产品展示/企业宣传册/创意画册设计制作,直接雇佣￥ 1000,￥ 1000,任务编号：1040017,0-88.csv,,
【喷绘写真制作】会展板kt板KV设计楼体墙面广告展架活动喷绘布,https://task.epwk.com/1040018/,62人,1人,"¥2,000",圆满完成,,会展板kt板KV设计楼体墙面广告展架活动喷绘布,直接雇佣￥ 2000,￥ 2000,任务编号：1040018,0-88.csv,,
【画册设计】新品画册编排设计,https://task.epwk.com/1040142/,75人,1人,"¥6,500",圆满完成,,新品画册编排设计,直接雇佣￥ 6500,￥ 6500,任务编号：1040142,0-88.csv,,
【其他网站】仿制网站加数据采集,https://task.epwk.com/1040275/,62人,1人,"¥5,000",圆满完成,,仿制网站加数据采集,直接雇佣￥ 5000,￥ 5000,任务编号：1040275,0-88.csv,,
【LOGO设计】商标设计,https://task.epwk.com/1040340/,55人,1人,"¥5,000",圆满完成,,商标设计,直接雇佣￥ 5000,￥ 5000,任务编号：1040340,0-88.csv,,
【喷绘写真制作】会展板kt板KV设计楼体墙面广告展架活动喷绘布,https://task.epwk.com/1040428/,84人,1人,"¥2,000",圆满完成,,会展板kt板KV设计楼体墙面广告展架活动喷绘布,直接雇佣￥ 2000,￥ 2000,任务编号：1040428,0-88.csv,,
【包装设计】墨雨包装设计包装盒,https://task.epwk.com/1040429/,48人,1人,"¥1,000",圆满完成,,墨雨包装设计包装盒,直接雇佣￥ 1000,￥ 1000,任务编号：1040429,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1040430/,64人,1人,"¥1,980",圆满完成,,LOGO设计,直接雇佣￥ 1980,￥ 1980,任务编号：1040430,0-88.csv,,
【PPT设计】PPT设计ppt制作演示汇报路演招商课件PPT简历PPT,https://task.epwk.com/1040432/,64人,1人,"¥1,600",圆满完成,,PPT设计ppt制作演示汇报路演招商课件PPT简历PPT,直接雇佣￥ 1600,￥ 1600,任务编号：1040432,0-88.csv,,
【画册设计】墨雨【画册设计】产品展示/企业宣传册/创意画册设计制作,https://task.epwk.com/1040609/,81人,1人,"¥1,000",圆满完成,,墨雨【画册设计】产品展示/企业宣传册/创意画册设计制作,直接雇佣￥ 1000,￥ 1000,任务编号：1040609,0-88.csv,,
【喷绘写真制作】会展板kt板KV设计楼体墙面广告展架活动喷绘布,https://task.epwk.com/1040610/,99人,1人,"¥2,000",圆满完成,,会展板kt板KV设计楼体墙面广告展架活动喷绘布,直接雇佣￥ 2000,￥ 2000,任务编号：1040610,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1040612/,44人,1人,"¥1,980",圆满完成,,LOGO设计,直接雇佣￥ 1980,￥ 1980,任务编号：1040612,0-88.csv,,
【包装设计】墨雨包装盒包装袋包装箱设计瓶型设计包装礼盒手提袋设计,https://task.epwk.com/1040613/,64人,1人,"¥1,000",圆满完成,,墨雨包装盒包装袋包装箱设计瓶型设计包装礼盒手提袋设计,直接雇佣￥ 1000,￥ 1000,任务编号：1040613,0-88.csv,,
【多媒体AI】音乐网站开发,https://task.epwk.com/1040665/,92人,1人,"¥7,800",圆满完成,,音乐网站开发,直接雇佣￥ 7800,￥ 7800,任务编号：1040665,0-88.csv,,
【IT解决方案】5月基础服务器运维租赁费用,https://task.epwk.com/1040674/,115人,1人,"¥49,999",圆满完成,,5月基础服务器运维租赁费用,直接雇佣￥ 49999,￥ 49999,任务编号：1040674,0-88.csv,,
【包装设计】包装设计,https://task.epwk.com/1040694/,80人,1人,"¥1,000",圆满完成,,包装设计,直接雇佣￥ 1000,￥ 1000,任务编号：1040694,0-88.csv,,
【商城建设】商城簽到功能,https://task.epwk.com/1040701/,73人,1人,"¥13,750",圆满完成,,商城簽到功能,直接雇佣￥ 13750,￥ 13750,任务编号：1040701,0-88.csv,,
【APP开发】做个最最简单的安卓本地文件管理app。,https://task.epwk.com/1040807/,73人,1人,"¥1,000",圆满完成,,做个最最简单的安卓本地文件管理app。,直接雇佣￥ 1000,￥ 1000,任务编号：1040807,0-88.csv,,
【VI设计】小家电品牌设计,https://task.epwk.com/1040826/,66人,1人,"¥12,800",圆满完成,,小家电品牌设计,直接雇佣￥ 12800,￥ 12800,任务编号：1040826,0-88.csv,,
【短视频营销】旅行类短视频文案配音剪辑,https://task.epwk.com/1040870/,66人,1人,"¥5,000",圆满完成,,旅行类短视频文案配音剪辑,直接雇佣￥ 5000,￥ 5000,任务编号：1040870,0-88.csv,,
【定制开发】学会网站设计,https://task.epwk.com/1040884/,259人,1人,"¥20,000",圆满完成,,学会网站设计,直接雇佣￥ 20000,￥ 20000,任务编号：1040884,0-88.csv,,
【宣传单设计】墨雨DM单页网络户外车身灯箱杂志墙体单页宣传单广告海报,https://task.epwk.com/1040915/,49人,1人,¥500,圆满完成,,墨雨DM单页网络户外车身灯箱杂志墙体单页宣传单广告海报,直接雇佣￥ 500,￥ 500,任务编号：1040915,0-88.csv,,
【其他宣传品设计】菜单菜谱展架折页墙体灯箱户外广告广告牌易拉宝台历海报画册,https://task.epwk.com/1040916/,59人,1人,¥700,圆满完成,,菜单菜谱展架折页墙体灯箱户外广告广告牌易拉宝台历海报画册,直接雇佣￥ 700,￥ 700,任务编号：1040916,0-88.csv,,
【吉祥物设计】吉祥物卡通形象商业Q版手绘表情包漫画IP公仔可爱动漫形象,https://task.epwk.com/1040921/,85人,1人,"¥2,998",圆满完成,,吉祥物卡通形象商业Q版手绘表情包漫画IP公仔可爱动漫形象,直接雇佣￥ 2998,￥ 2998,任务编号：1040921,0-88.csv,,
【VI设计】企业VI设计工业制造互联网金融服务通讯电子vis全套设计,https://task.epwk.com/1040922/,75人,1人,¥980,圆满完成,,企业VI设计工业制造互联网金融服务通讯电子vis全套设计,直接雇佣￥ 980,￥ 980,任务编号：1040922,0-88.csv,,
【H5开发】手机页面调整,https://task.epwk.com/1040990/,82人,1人,¥300,圆满完成,,手机页面调整,直接雇佣￥ 300,￥ 300,任务编号：1040990,0-88.csv,,
【视频推广】短视频 抖 dou音 转发任务 发布到个人账号粉丝量不限,https://task.epwk.com/1041096/,194人,1人,¥500,圆满完成,,短视频 抖 dou音 转发任务 发布到个人账号粉丝量不限,直接雇佣￥ 500,￥ 500,任务编号：1041096,0-88.csv,,
【排版设计】期刊设计,https://task.epwk.com/1041104/,61人,1人,"¥7,680",圆满完成,,期刊设计,直接雇佣￥ 7680,￥ 7680,任务编号：1041104,0-88.csv,,
【包装设计】食品包装设计,https://task.epwk.com/1041212/,72人,1人,"¥5,940",圆满完成,,食品包装设计,直接雇佣￥ 5940,￥ 5940,任务编号：1041212,0-88.csv,,
【产品外观设计】理发器外观设计,https://task.epwk.com/1041256/,71人,1人,"¥3,000",圆满完成,,理发器外观设计,直接雇佣￥ 3000,￥ 3000,任务编号：1041256,0-88.csv,,
【包装设计】花茶礼盒设计,https://task.epwk.com/1041272/,65人,1人,"¥1,000",圆满完成,,花茶礼盒设计,直接雇佣￥ 1000,￥ 1000,任务编号：1041272,0-88.csv,,
【电商网站】在现有的JAVA上完善PC网站,https://task.epwk.com/1041296/,301人,1人,"¥5,000",圆满完成,,在现有的JAVA上完善PC网站,直接雇佣￥ 5000,￥ 5000,任务编号：1041296,0-88.csv,,
【纪录片】人物纪录片,https://task.epwk.com/1041302/,43人,1人,"¥5,000",圆满完成,,人物纪录片,直接雇佣￥ 5000,￥ 5000,任务编号：1041302,0-88.csv,,
【剧本创作】优秀剧本创作,https://task.epwk.com/1041303/,91人,1人,"¥10,000",圆满完成,,优秀剧本创作,直接雇佣￥ 10000,￥ 10000,任务编号：1041303,0-88.csv,,
【淘宝视频】食品快消主图视频,https://task.epwk.com/1041304/,101人,1人,"¥1,800",圆满完成,,食品快消主图视频,直接雇佣￥ 1800,￥ 1800,任务编号：1041304,0-88.csv,,
【Vlog/微电影】找人代制作vlog（素材已经整好了）,https://task.epwk.com/1041305/,381人,1人,¥800,圆满完成,,找人代制作vlog（素材已经整好了）,直接雇佣￥ 800,￥ 800,任务编号：1041305,0-88.csv,,
【其他短视频】探店短视频拍摄,https://task.epwk.com/1041306/,462人,1人,"¥5,300",圆满完成,,探店短视频拍摄,直接雇佣￥ 5300,￥ 5300,任务编号：1041306,0-88.csv,,
【小红书营销】小红书运营，图文制作,https://task.epwk.com/1041317/,138人,1人,"¥1,200",圆满完成,,小红书运营，图文制作,直接雇佣￥ 1200,￥ 1200,任务编号：1041317,0-88.csv,,
【二维动画】二维动画形象设计,https://task.epwk.com/1041318/,55人,1人,"¥3,000",圆满完成,,二维动画形象设计,直接雇佣￥ 3000,￥ 3000,任务编号：1041318,0-88.csv,,
【动画制作】会沙雕动画制作的,https://task.epwk.com/1041319/,26人,1人,"¥2,600",圆满完成,,会沙雕动画制作的,直接雇佣￥ 2600,￥ 2600,任务编号：1041319,0-88.csv,,
【GIF动画】GIF动画制作,https://task.epwk.com/1041320/,37人,1人,¥800,圆满完成,,GIF动画制作,直接雇佣￥ 800,￥ 800,任务编号：1041320,0-88.csv,,
【产品拍摄】日化产品拍摄,https://task.epwk.com/1041321/,27人,1人,"¥1,300",圆满完成,,日化产品拍摄,直接雇佣￥ 1300,￥ 1300,任务编号：1041321,0-88.csv,,
【PS修图】室内设计修图,https://task.epwk.com/1041322/,71人,1人,"¥1,100",圆满完成,,室内设计修图,直接雇佣￥ 1100,￥ 1100,任务编号：1041322,0-88.csv,,
【广告摄影】宣传广告片,https://task.epwk.com/1041323/,65人,1人,"¥2,400",圆满完成,,宣传广告片,直接雇佣￥ 2400,￥ 2400,任务编号：1041323,0-88.csv,,
【VR效果图】VR效果图制作,https://task.epwk.com/1041324/,44人,1人,"¥1,600",圆满完成,,VR效果图制作,直接雇佣￥ 1600,￥ 1600,任务编号：1041324,0-88.csv,,
【3D效果图】产品3D全景图,https://task.epwk.com/1041325/,145人,1人,"¥1,500",圆满完成,,产品3D全景图,直接雇佣￥ 1500,￥ 1500,任务编号：1041325,0-88.csv,,
【3D视频】吉祥物3D动画制作,https://task.epwk.com/1041326/,143人,1人,"¥2,000",圆满完成,,吉祥物3D动画制作,直接雇佣￥ 2000,￥ 2000,任务编号：1041326,0-88.csv,,
【企业宣传片】企业宣传片,https://task.epwk.com/1041327/,94人,1人,"¥3,800",圆满完成,,企业宣传片,直接雇佣￥ 3800,￥ 3800,任务编号：1041327,0-88.csv,,
【广告片/MV】TVC广告创意,https://task.epwk.com/1041328/,26人,1人,"¥2,100",圆满完成,,TVC广告创意,直接雇佣￥ 2100,￥ 2100,任务编号：1041328,0-88.csv,,
【产品视频】产品宣传视频的拍摄,https://task.epwk.com/1041329/,54人,1人,"¥1,500",圆满完成,,产品宣传视频的拍摄,直接雇佣￥ 1500,￥ 1500,任务编号：1041329,0-88.csv,,
【视频定制】宠物玩具视频,https://task.epwk.com/1041330/,20人,1人,"¥1,600",圆满完成,,宠物玩具视频,直接雇佣￥ 1600,￥ 1600,任务编号：1041330,0-88.csv,,
【创意短视频】创意短片,https://task.epwk.com/1041331/,37人,1人,"¥2,000",圆满完成,,创意短片,直接雇佣￥ 2000,￥ 2000,任务编号：1041331,0-88.csv,,
【抖音视频】教育类短视频平台视频制作,https://task.epwk.com/1041332/,107人,1人,"¥1,800",圆满完成,,教育类短视频平台视频制作,直接雇佣￥ 1800,￥ 1800,任务编号：1041332,0-88.csv,,
【纪录片】夜市烤肉纪录片,https://task.epwk.com/1041333/,58人,1人,"¥10,000",圆满完成,,夜市烤肉纪录片,直接雇佣￥ 10000,￥ 10000,任务编号：1041333,0-88.csv,,
【淘宝视频】红酒制作教程淘宝视频,https://task.epwk.com/1041335/,90人,1人,¥800,圆满完成,,红酒制作教程淘宝视频,直接雇佣￥ 800,￥ 800,任务编号：1041335,0-88.csv,,
【小红书视频】服装搭配视频,https://task.epwk.com/1041336/,146人,1人,¥500,圆满完成,,服装搭配视频,直接雇佣￥ 500,￥ 500,任务编号：1041336,0-88.csv,,
【Vlog/微电影】美食vlog,https://task.epwk.com/1041337/,246人,1人,¥300,圆满完成,,美食vlog,直接雇佣￥ 300,￥ 300,任务编号：1041337,0-88.csv,,
【其他短视频】短视频搞笑,https://task.epwk.com/1041338/,256人,1人,¥400,圆满完成,,短视频搞笑,直接雇佣￥ 400,￥ 400,任务编号：1041338,0-88.csv,,
【小红书营销】电商小红书营销,https://task.epwk.com/1041339/,83人,1人,"¥2,500",圆满完成,,电商小红书营销,直接雇佣￥ 2500,￥ 2500,任务编号：1041339,0-88.csv,,
【二维动画】二维/3D动画制作,https://task.epwk.com/1041340/,156人,1人,"¥3,500",圆满完成,,二维/3D动画制作,直接雇佣￥ 3500,￥ 3500,任务编号：1041340,0-88.csv,,
